field_name,dedicated_division,facility,neighborhood,battting_cage,concession_stand,back_stop,infield,goal_post,lights,leftvalue,center,rightvalue,permit,drag,pashek_map_number,field_renovated,cd,lights_renovated,control_link
Dunbar Field #3,Western,DUNBAR PLAYGROUND,Crafton Heights,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,37.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
East Hills Park Field,Eastern,EAST HILLS PARK,East Hills,1.0,1.0,1.0,1.0,2.0,1.0,325,266,248,Yes,Yes,38.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 5-2011,Yes
East Liberty Park,Northeast,EAST LIBERTY PARK,East Liberty,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,39.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Farmhouse Field,Northeast,HIGHLAND PARK,Hihgland Park,1.0,1.0,1.0,1.0,2.0,1.0,210,255,191,Yes,Yes,59.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Fern Hollow,Eastern,FRICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,50.0,"2004 (R Sprow $4,150)",No,Yes 2009,No
Fifty-Seventh St. Field,Northeast,FIFTY-SEVENTH ST PLAYGROUND,Upper Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,180,180,179,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Fineview Field,Northern,FINEVIEW PLAYGROUND & FIELD,Fineview,1.0,1.0,1.0,1.0,2.0,1.0,265,280,236,Yes,Yes,41.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Fort Pitt Field #1,Northeast,FORT PITT PLAYGROUND,Garfield,1.0,1.0,1.0,1.0,2.0,1.0,315,387,284,Yes,Yes,42.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Fort Pitt Field #2,Northeast,FORT PITT PLAYGROUND,Garfield,1.0,1.0,1.0,1.0,2.0,1.0,269,300+,180,Yes,No,43.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Four Mile Run Field,Schenley,FOUR MILE RUN PLAYGROUND,Greenfield,1.0,1.0,1.0,1.0,2.0,1.0,160,140,130,Yes,No,44.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Fowler Field # 1,Northern,FOWLER PARK,Perry South,1.0,1.0,1.0,1.0,2.0,1.0,372,346,271,Yes,Yes,45.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 5-2010,Yes
Fowler Field # 2,Northern,FOWLER PARK,Perry South,1.0,1.0,1.0,1.0,2.0,1.0,242,236,247,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Gardner Field,Northern,GARDNER FIELD,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,258,290,250,Yes,Yes,51.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 9-2011,Yes
Gladstone Field,Schenley,GLADSTONE FIELD,Hazelwood,1.0,1.0,1.0,1.0,2.0,1.0,256,274,163,Yes,Yes,52.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Herschel Field #1 (Lower),Western,HERSCHEL PLAYGROUND,Elliott,1.0,1.0,1.0,1.0,2.0,1.0,315,387,367,Yes,Yes,53.0,"2004 (R. Sprow $9,756.50)",Yes,yes 9-2003,Yes
Herschel Field #2,Western,HERSCHEL PLAYGROUND,Elliott,1.0,1.0,1.0,1.0,2.0,1.0,180,180,180,Yes,Yes,55.0,2002 (Construction Division),Yes,Yes 2009,Yes
Heth's Field #1,Northeast,HETHS PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,376,315,195,Yes,Yes,56.0,"2004 (R.Sprow $8,220.29)",No,Yes 2009,No
Heth's Field #2,Northeast,HETHS PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,362,270,182,Yes,Yes,57.0,"2004 (R.Sprow $7,763.13)",No,Yes 2009,No
Heth's Field #3,Northeast,HETHS PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,58.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Horace Mann Field,Northern,HORACE MANN FIELD,Marshall-Shadeland,1.0,1.0,1.0,1.0,2.0,1.0,290,340,240,Yes,Yes,61.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Jim Rawe Field,Western,ALTON PLAYGROUND,Beechview,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,2.0,2006 ?,No,Yes 2009,No
Joe Natoli Field #1,Northeast,JOE NATOLI PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,337,351,290,Yes,Yes,62.0,2009,No,Yes 2009,Yes
Joe Natoli Field #2,Northeast,JOE NATOLI PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,254,311,227,Yes,Yes,63.0,2009( just touched up),No,Yes 2009,Yes
Joe Natoli Field #3,Northeast,JOE NATOLI PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,1.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
John McGrane Field #1,Northeast,LESLIE PARK,Central Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,413,320,205,Yes,Yes,66.0,"2004 (R. Sprow $6,579.00)",Yes,Yes 2009,Yes
John McGrane Field #2,Northeast,LESLIE PARK,Central Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,417,296,263,Yes,Yes,67.0,"2004 (R. Sprow $9,854.50)",Yes,Yes 2009,Yes
John Merry Field #3,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,320,375,252,Yes,Yes,17.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Kennard Field #1,Schenley,KENNARD PLAYGROUND,Terrace Village,1.0,1.0,1.0,1.0,2.0,1.0,395,453,345,Yes,Yes,65.0,"2004 (R. Sprow $8,178.30)",Yes,Yes 2009,Yes
Larimer Field,Northeast,LARIMER PLAYGROUND,Larimer,1.0,1.0,1.0,1.0,2.0,1.0,193,216,127,Yes,No,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Loretta Miller Field,Southern,McKINLEY PARK,Beltzhoover,1.0,1.0,1.0,1.0,2.0,1.0,195,175,140,Yes,Yes,76.0,"2005 (R. Sprow $10,982.90)",Yes,Yes 2009,No
M.L.King School,State,ALLEGHENY COMMONS PARK,Allegheny Center,1.0,1.0,1.0,1.0,2.0,1.0,190,276,190,Yes,Yes,40.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Magee Field #1,Schenley,MAGEE PLAYGROUND,Greenfield,1.0,1.0,1.0,1.0,2.0,1.0,362,324,209,Yes,Yes,68.0,"2004 (R. Sprow $17,626.88)",No,Yes 2009,Yes
Magee Field #2,Schenley,MAGEE PLAYGROUND,Greenfield,1.0,1.0,1.0,1.0,1.0,1.0,304,362,280,Yes,Yes,69.0,"2004 (R. Sprow $17,626.88)",No,Yes 2009,Yes
Manchester Field,Northern,MANCHESTER PLAYGROUND,Manchester,1.0,1.0,1.0,1.0,2.0,1.0,315,401,350,Yes,Yes,70.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Marmaduke Field,Northern,MARMADUKE PLAYGROUND,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,71.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Mazeroski Field,Schenley,SCHENLEY PARK,Squirrel Hill South,1.0,1.0,1.0,1.0,2.0,1.0,182,185,182,Yes,Yes,64.0,2004 (Pampena),No,Yes 2009,No
McBride Park Field,Southern,McBRIDE PARK,Lincoln Place,1.0,1.0,1.0,1.0,2.0,1.0,299,327,179,Yes,Yes,73.0,"2004 (R.Sprow 7,216.40)",No,Yes 2009,No
McGonigle Field,Western,McGONIGLE PLAYGROUND,Sheraden,1.0,1.0,1.0,1.0,2.0,1.0,200,222,250,Yes,Yes,74.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
McKinley Field #1,Southern,McKINLEY PARK,Beltzhoover,1.0,1.0,1.0,1.0,1.0,1.0,358,317,182,Yes,Yes,75.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
McKnight Field,Northern,McKNIGHT PLAYGROUND,Manchester,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,77.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Mellon Field L.L.,Eastern,MELLON PARK,Shadyside,1.0,1.0,1.0,1.0,2.0,1.0,162,165,161,Yes,Yes,78.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Mellon Field Main,Eastern,MELLON PARK,Shadyside,1.0,1.0,1.0,1.0,2.0,1.0,364,364,359,Yes,Yes,79.0,"2004 (R. Sprow $9,595.90) (2005 regrade because permit holder R.Sprow $700)",No,yes -2012,Yes
Mellon Field Middle,Eastern,MELLON PARK,Shadyside,1.0,1.0,1.0,1.0,2.0,1.0,179,195,179,Yes,Yes,80.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Michael Flynn Field,Northern,SPRING GARDEN FIELD,Spring Garden,1.0,1.0,1.0,1.0,2.0,1.0,178,170,153,Yes,Yes,105.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Monongahela Field,Southern,MONONGAHELA PLAYGROUND,Southside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,200,200,162,Yes,Yes,82.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Moore Field #1,Southern,MOORE PARK,Brookline,1.0,1.0,1.0,1.0,2.0,1.0,306,424,311,Yes,Yes,83.0,"2002 (R.Sprow ""SAMPLE OF WORK"")",No,Yes-2013,Yes
Moore Field #2,Southern,MOORE PARK,Brookline,1.0,1.0,1.0,1.0,2.0,1.0,189,304,216,Yes,Yes,84.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Oakwood,Western,OAKWOOD PLAYGROUND,Oakwood,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,87.0,"2010 ( Plavchak $15,205.18)",No,Yes 2009,No
Olympia Field #1,Western,OLYMPIA PARK,Mount Washington,1.0,1.0,1.0,1.0,2.0,1.0,286,440,353,Yes,Yes,88.0,"2004 (R. Sprow $10,331.70)",No,yes 4-2004,Yes
Olympia Field #2,Western,OLYMPIA PARK,Mount Washington,1.0,1.0,1.0,1.0,2.0,1.0,319,461,395,Yes,Yes,89.0,"2008 ( Plavchak $13,907.80)",No,yes 4-2004,Yes
Ormsby Field,Southern,ORMSBY PLAYGROUND,Southside Flats,1.0,1.0,1.0,1.0,2.0,1.0,165,195,135,Yes,Yes,90.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Oval Field,Schenley,SCHENLEY PARK,Squirrel Hill South,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,98.0,"2008 ( Plavchak $13,907.80)",No,yes 6-2007,Yes
Panorama Field,Southern,PANORAMA FIELD,New Homestead,1.0,1.0,1.0,1.0,2.0,1.0,200,200,200,Yes,Yes,93.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Panther Hollow,Schenley,SCHENLEY PARK,Squirrel Hill South,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,1.0,"2004 (Eichenlaub $9,650.00) 2007(R Sprow $5500.00)",No,Yes 2009,No
Paulson Field,Eastern,PAULSON PLAYGROUND,Lincoln-Lemington-Belmar,1.0,1.0,1.0,1.0,2.0,1.0,259,247,274,Yes,Yes,94.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Phillip Murray Field,Southern,PHILLIP MURRAY PLAYGROUND,Mt. Oliver Neigborhood,1.0,1.0,1.0,1.0,2.0,1.0,350,318,250,Yes,Yes,95.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Phillips Park Field,Southern,PHILLIPS PARK,Carrick,1.0,1.0,1.0,1.0,2.0,1.0,200,200,195,Yes,Yes,96.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
Quarry Field,Southern,SOUTHSIDE PARK,Southside Slopes,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,104.0,"2008 ( Plavchak $13,907.80)",Yes,yes 11-2011,Yes
Ray Miller Field,Schenley,BLAIR ST PARKLET,Hazelwood,1.0,1.0,1.0,1.0,2.0,1.0,311,260,241,Yes,Yes,13.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Richie McCabe Field,State,ALLEGHENY COMMONS PARK,Allegheny Center,1.0,1.0,1.0,1.0,2.0,1.0,307,336,289,Yes,Yes,115.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Rye-Molt Field,Northern,YOUNG FIELD,Marshall-Shadeland,1.0,1.0,1.0,1.0,2.0,1.0,220,270,215,Yes,Yes,122.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Sam Bryen Field #1,Southern,BROOKLINE MEMORIAL FIELD,Brookline,2.0,2.0,1.0,1.0,2.0,1.0,200,197,197,Yes,Yes,23.0,"2004 (R.Sprow $7,724.05) 2008 ( Plavchak $1,500.00)",No,Yes 2009,Yes
Sam Bryen Field #2,Southern,BROOKLINE MEMORIAL FIELD,Brookline,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,24.0,"2004 (R.Sprow $7,866.43)",No,Yes 2009,Yes
Scherer Field,Northern,SCHERER FIELD,Spring Hill-City View,1.0,1.0,1.0,1.0,2.0,1.0,176,170,195,Yes,Yes,100.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Sheraden Field #1,Western,SHERADEN PARK,Sheraden,1.0,1.0,1.0,1.0,2.0,1.0,246,235,180,Yes,Yes,101.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
Sheraden Field #2,Western,SHERADEN PARK,Sheraden,1.0,1.0,1.0,1.0,2.0,1.0,370,275,209,Yes,Yes,102.0,2009 (in house),No,Yes 2009,No
Southside Park Field,Southern,SOUTHSIDE PARK,Southside Slopes,1.0,2.0,1.0,1.0,2.0,1.0,150,150,150,Yes,No,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes-,Yes
Spring Hill Field,Northern,SPRING HILL PLAYGROUND,Spring Hill-City View,1.0,1.0,1.0,1.0,2.0,1.0,264,301,301,Yes,Yes,106.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Stan Lederman Field,Eastern,FRICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,183,189,192,Yes,Yes,49.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
Sullivan Field,Northeast,SULLIVAN PLAYGROUND,Lower Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,325,329,230,Yes,Yes,107.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Sunnyside Field,Northeast,DINAN PLAYGROUND,Stanton Heights,1.0,1.0,1.0,1.0,2.0,1.0,202,205,201,Yes,Yes,108.0,"2004 (R.Sprow $2,100.00)",No,Yes 2009,No
Vanucci Field #1,Western,VANUCCI FIELD,Beechview,1.0,1.0,1.0,1.0,2.0,1.0,250,250,250,Yes,Yes,109.0,"2004 (R.Sprow $15,304.30)",No,Yes 2009,Yes
Vanucci Field #2,Western,VANUCCI FIELD,Beechview,1.0,1.0,1.0,1.0,2.0,1.0,174,187,185,Yes,Yes,110.0,"2004 (R.Sprow $6,373.00)",No,Yes 2009,Yes
Volunteers Field #1,Southern,VOLUNTEERS FIELD,Carrick,1.0,1.0,1.0,1.0,2.0,1.0,271,255,285,Yes,Yes,111.0,"2005 (R.Sprow $6,544.00)",No,Yes 2009,Yes
Volunteers Field #2,Southern,VOLUNTEERS FIELD,Carrick,1.0,1.0,1.0,1.0,2.0,1.0,174,187,185,Yes,Yes,112.0,"2005 (R.Sprow $7,512.30)",No,Yes 2009,Yes
Wabash Field,Western,WABASH PLAYGROUND,West End,1.0,1.0,1.0,1.0,2.0,1.0,372,175,100,Yes,Yes,113.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Warren K Branch Field,Schenley,MARTIN LUTHER KING FIELD,Terrace Village,1.0,1.0,1.0,1.0,2.0,1.0,168,182,186,Yes,Yes,72.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Warrington Field,Southern,WARRINGTON PLAYGROUND,Beltzhoover,1.0,1.0,1.0,1.0,2.0,1.0,206,275,198,Yes,Yes,114.0,"2005 (R. Sprow $10,249.30)",Yes,Yes 2009,Yes
West Penn Field #1,State,WEST PENN PARK,Polish Hill,1.0,1.0,1.0,1.0,2.0,1.0,268,337,355,Yes,Yes,116.0,"2005 (R. Sprow $11,339.70)",Yes,Yes-2013,Yes
West Penn Field #2,State,WEST PENN PARK,Polish Hill,1.0,1.0,1.0,1.0,2.0,1.0,355,403,215,Yes,Yes,117.0,"2005 (R. Sprow $ 10,191.30)",Yes,Yes-2013,Yes
Westwood Field #1,Western,WESTWOOD SCHOOL,Westwood,1.0,1.0,1.0,1.0,2.0,1.0,300,270,185,Yes,Yes,118.0,"2010 ( Plavchak $17,482.21)",No,Yes 2009,Yes
Westwood Field #2,Western,WESTWOOD SCHOOL,Westwood,1.0,1.0,1.0,1.0,2.0,1.0,185,270,300,Yes,Yes,119.0,"2010 ( Plavchak $15,204.68)",No,Yes 2009,Yes
Wightman Field,Eastern,WIGHTMAN PLAYGROUND,Squirrel Hill North,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,120.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Willie Stargell #1,Eastern,HOMEWOOD PLAYGROUND,Homewood South,1.0,1.0,1.0,1.0,2.0,1.0,370,309,205,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",Yes,yes 8-2002,Yes
Willie Stargell #2,Eastern,HOMEWOOD PLAYGROUND,Homewood South,1.0,1.0,1.0,1.0,2.0,1.0,310,297,143,Yes,Yes,60.0,"2008 ( Plavchak $13,907.80)",Yes,yes 8-2002,Yes
Winters Field,Southern,WINTERS PLAYGROUND,Southside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,234,267,159,Yes,Yes,121.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
