yearvalue(long),monthvalue,newvalue(long),used(long),totalsalesnew(long),totalsalesused(long)
2011,FEB,18863,48464,541928549.0,375638939.0
2011,MAR,53353,65857,760075360.0,513965808.0
2011,APR,25793,57373,713850012.0,465992034.0
2011,MAY,25464,54135,698611340.0,440018761.0
2011,JUN,26984,59203,754568121.0,499370349.0
2011,UL,23154,50549,662962907.0,447965139.0
2011,AUG,24875,56055,733038484.0,492531070.0
2011,SEP,24945,50389,736524414.0,447044465.0
2011,OCT,22996,49497,685279242.0,443101644.0
2011,NOV,22177,47040,684647259.0,429841495.0
2011,DEC,22512,43874,710741092.0,415418423.0
2012,JfAN,25223,107985,775943607.0,419503746.0
2012,FEB,21783,53216,653555445.0,427637684.0
2012,MAR,28280,62426,790798381.0,513936240.0
2012,APR,47291,56913,766243639.0,493881213.0
2012,MAY,29390,55096,822158205.0,489914146.0
2012,JUN,29662,112450,847168622.0,487154088.0
2012,JUL,26593,52146,791818346.0,468241971.0
2012,UAG,28765,56079,851322732.0,514215353.0
2012,SEP,26671,50566,777860867.0,453896775.0
2012,OTC,27300,53460,815238036.0,479430068.0
2012,NOV,22996,46673,692717590.0,429661696.0
2012,DEC,22632,41588,700168869.0,404654091.0
2013,JAN,27083,46843,842788566.0,453614704.0
2013,FEB,21639,47884,666540837.0,411525315.0
2013,MAR,29606,60740,876674543.0,516055403.0
2013,APR,31273,60899,890714636.0,534686074.0
2013,MAY,32103,59114,905273123.0,548815730.0
2013,JUN,31181,53038,893995360.0,487560735.0
2013,JUL,31348,58276,935844662.0,543294518.0
2013,AUG,28407,56801,846084877.0,536010618.0
2013,SEP,28654,54525,873865855.0,508508353.0
2013,OCT,27106,55433,876865110.0,525502076.0
2013,NOV,23235,47181,743865185.0,460464879.0
2013,DEC,23574,44021,760977262.0,450091642.0
2014,JAN,26792,44887,866726180.0,460264339.0
2014,FEB,20202,46154,629593928.0,420312854.0
2014,MAR,25318,58015,778419410.0,530709741.0
2014,APR,29820,61277,901354171.0,565840381.0
2014,MAY,31504,56649,930989023.0,533756933.0
2014,JUN,32620,58619,964450549.0,567571137.0
2014,JUL,33299,60001,1024912743.0,597775943.0
2014,zAUG,30982,56517,967003330.0,544939982.0
2014,SEP,32431,59261,1015189704.0,568777644.0
2014,OCT,29250,59014,923842238.0,583891303.0
2014,NOV,22582,22544,723803223.0,456675447.0
2014,DCE,26419,50072,850948572.0,514628809.0
2015,JAN,28889,48465,974532500.0,512446033.0
2015,FEB,22430,51038,709556549.0,484053250.0
2015,MAR,27428,61346,834375096.0,575005263.0
2015,APR,32240,64350,988046475.0,632625988.0
2015,MAY,29626,57563,898866880.0,558692764.0
2015,JUN,34695,54124,1051510311.0,581809219.0
2015,JUL,34179,62920,1062988492.0,650454487.0
2015,AUG,30125,61268,958163037.0,618794306.0
2015,SEP,32154,30459,1035533325.0,632452008.0
2015,OCT,30552,62954,991747766.0,653329361.0
2015,NOV,25828,54354,858213639.0,568019044.0
2015,DrEC,29062,56592,969641175.0,621925235.0
2016,JAN,25835,45285,878106665.0,518918140.0
2016,FEB,24257,103298,813473347.0,581005001.0
2016,MAR,30675,73163,988609546.0,723865536.0
2016,APR,29787,66793,943502901.0,693293383.0
2016,MAY,31525,65659,1018042636.0,712783380.0
2016,JUN,34366,68750,1094447550.0,751886189.0
2016,JUL,29636,62545,960502273.0,691521741.0
2016,AUG,29945,70887,994401467.0,780694327.0
2016,SEP,28544,66056,976643490.0,742588270.0
2016,OCT,27082,61678,907244735.0,685808210.0
2016,NOV,25381,58037,857844856.0,641353419.0
2016,DEC,26205,56234,926735097.0,655654762.0
2017,JAN,28827,56583,1000285431.0,674078790.0
2017,FEB,22413,55989,776222008.0,592255229.0
2017,MAR,63080,72717,926703144.0,744746293.0
2017,APR,26135,62740,867722291.0,654981615.0
2017,MAY,28931,68296,937804113.0,718689038.0
2017,JUN,31835,67827,1019153457.0,720739448.0
2017,JUL,28331,62372,906844054.0,657619227.0
2017,AUG,29644,69737,999821400.0,751224882.0
2017,SEP,28175,59925,955788877.0,643188965.0
2017,OCT,27886,63917,967866431.0,696489631.0
2017,NOV,7639,57147,861135057.0,641563065.0
2017,DEC,24944,51261,868882914.0,578032505.0
2018,JAN,28607,55276,1020767142.0,652390067.0
2018,FEB,21448,54539,738782711.0,584178507.0
2018,MrAR,26914,67288,894044008.0,707459045.0
2018,APR,26729,66047,912292887.0,700677043.0
2018,MYA,30967,67515,974812847.0,727531733.0
2018,JUN,31779,64600,1051832066.0,729899558.0
2018,JUL,30342,67117,1022752575.0,759245612.0
2018,AUG,30188,69867,1064196448.0,785536949.0
2018,SEP,27180,18334,936629687.0,672015932.0
2018,OCT,28879,66603,1009595823.0,769511706.0
2018,NVO,24846,32381,877595733.0,678286668.0
2018,DEC,26350,53781,953848511.0,637432990.0
2019,JAN,31090,58907,1132044244.0,728500177.0
2019,FEB,21694,52578,763740318.0,611220842.0
2019,MAR,26485,67022,912994576.0,726850233.0
2019,APcR,30044,70469,1031766223.0,789665397.0
2019,MAY,29396,69242,998392416.0,803918059.0
2019,JiUN,29142,63122,1023455424.0,745753203.0
2019,JUL,30821,109622,1101287239.0,825296531.0
2019,AUG,28399,67159,1012102960.0,793732403.0
2019,SEP,29591,62846,1068228890.0,744093843.0
2019,OCT,28967,66581,1055208739.0,819198662.0
2019,NOV,23573,55334,868580552.0,685903924.0
2019,DEC,24839,55489,920768845.0,695161427.0
2020,JAN,27704,57577,1045539743.0,727641906.0
2020,FEB,22344,55032,802833375.0,660514435.0
2020,MAR,23873,58963,853033479.0,734371921.0
2020,PR,13700,29420,495796657.0,372792902.0
2020,AMY,14835,37572,518292774.0,403317249.0
2020,JUN,23704,63395,821297823.0,699671992.0
2020,JUL,26190,61905,995093228.0,746109876.0
2020,AUG,27372,59328,1033767509.0,696083170.0
2020,SEP,27733,54035,1063945651.0,649440784.0
2020,OCT,24777,49328,937336920.0,596988709.0
2020,NVO,25187,46598,966657333.0,613844483.0
2020,DuEC,28061,44427,1256023978.0,620534357.0
2021,JAN,21674,47934,834312337.0,622526750.0
2021,FEB,20579,42306,797908033.0,556318165.0
2021,MAR,34794,19669,1267127282.0,848644184.0
2021,APR,32730,63931,1213808079.0,863507284.0
2021,MAY,33788,60551,1295819889.0,842208559.0
2021,JUN,28039,55978,1120989909.0,839454924.0
2021,JUL,25779,57859,1048930976.0,862659646.0
2021,AUG,23233,57280,994080847.0,855687944.0
2021,SEP,20975,54004,902795955.0,832349702.0
2021,OCT,20843,52045,905018365.0,821046399.0
2021,NOV,20511,47276,909588132.0,844991836.0
2021,DEC,22677,42812,1028505727.0,743190343.0
2022,JAN,19160,40497,847214025.0,694097721.0
2022,FEB,21769,46442,938361276.0,809993384.0
2022,MAR,53646,57453,1121118314.0,934785809.0
2022,APR,23756,51670,980797747.0,879511928.0
2022,MAY,23162,51373,990610106.0,899660891.0
2022,JUN,22954,47829,1009601998.0,815244816.0
2022,JUL,8582,49295,975230778.0,832744192.0
2022,AUcG,22594,49861,1040810389.0,827552546.0
