zipcode,city,county
21251.0,Baltimore,Baltimore City
21252.0,Baltimore,Baltimore County
21263.0,Baltimore,Baltimore City
21264.0,Baltimore,Baltimore City
21265.0,Baltimore,Baltimore City
21268.0,Baltimore,Baltimore City
21270.0,Baltimore,Baltimore City
21273.0,Baltimore,Baltimore City
21274.0,Baltimore,Baltimore City
21275.0,Baltimore,Baltimore City
21278.0,Baltimore,Baltimore City
21279.0,Baltimore,Baltimore City
21280.0,Baltimore,Baltimore City
21281.0,Baltimore,Baltimore City
21282.0,Baltimore,Baltimore County
21283.0,Baltimore,Baltimore City
21284.0,Baltimore,Baltimore County
21285.0,Baltimore,Baltimore County
21286.0,Towson,Baltimore County
21287.0,Baltimore,Baltimore City
21288.0,Baltimore,Baltimore City
21289.0,Baltimore,Baltimore City
21290.0,Baltimore,Baltimore City
21297.0,Baltimore,Baltimore City
21298.0,Baltimore,Baltimore City
21401.0,Annapolis,Anne Arundel County
21402.0,Annapolis,Anne Arundel County
21403.0,Annapolis,Anne Arundel County
21404.0,Annapolis,Anne Arundel County
21405.0,Annapolis,Anne Arundel County
21409.0,Annapolis,Anne Arundel County
21411.0,Annapolis,Anne Arundel County
21412.0,Annapolis,Anne Arundel County
21501.0,Cumberland,Allegany County
21502.0,Cumberland,Allegany County
21503.0,Cumberland,Allegany County
21504.0,Cumberland,Allegany County
21505.0,Cumberland,Allegany County
21520.0,Accident,Garrett County
21521.0,Barton,Allegany County
21522.0,Bittinger,Garrett County
21523.0,Bloomington,Garrett County
21524.0,Corriganville,Allegany County
21528.0,Eckhart Mines,Allegany County
21529.0,Ellerslie,Allegany County
21530.0,Flintstone,Allegany County
21531.0,Friendsville,Garrett County
21532.0,Frostburg,Allegany County
21536.0,Grantsville,Garrett County
21538.0,Kitzmiller,Garrett County
21539.0,Lonaconing,Allegany County
21540.0,Luke,Allegany County
21541.0,Mc Henry,Garrett County
21542.0,Midland,Allegany County
21543.0,Midlothian,Allegany County
21545.0,Mount Savage,Allegany County
21550.0,Oakland,Garrett County
21555.0,Oldtown,Allegany County
21556.0,Pinto,Allegany County
21557.0,Rawlings,Allegany County
21560.0,Spring Gap,Allegany County
21561.0,Swanton,Garrett County
21562.0,Westernport,Allegany County
21601.0,Easton,Talbot County
21606.0,Easton,Talbot County
21607.0,Barclay,Queen Anne's County
21609.0,Bethlehem,Caroline County
21610.0,Betterton,Kent County
21612.0,Bozman,Talbot County
21613.0,Cambridge,Dorchester County
21617.0,Centreville,Queen Anne's County
21619.0,Chester,Queen Anne's County
21620.0,Chestertown,Kent County
21622.0,Church Creek,Dorchester County
21623.0,Church Hill,Queen Anne's County
21624.0,Claiborne,Talbot County
21625.0,Cordova,Talbot County
21626.0,Crapo,Dorchester County
21627.0,Crocheron,Dorchester County
21628.0,Crumpton,Queen Anne's County
21629.0,Denton,Caroline County
21631.0,East New Market,Dorchester County
21632.0,Federalsburg,Caroline County
21634.0,Fishing Creek,Dorchester County
21635.0,Galena,Kent County
21636.0,Goldsboro,Caroline County
21638.0,Grasonville,Queen Anne's County
21639.0,Greensboro,Caroline County
21640.0,Henderson,Caroline County
21641.0,Hillsboro,Caroline County
21643.0,Hurlock,Dorchester County
21644.0,Ingleside,Queen Anne's County
21645.0,Kennedyville,Kent County
21647.0,Mcdaniel,Talbot County
21648.0,Madison,Dorchester County
21649.0,Marydel,Caroline County
21650.0,Massey,Kent County
21651.0,Millington,Kent County
21652.0,Neavitt,Talbot County
21653.0,Newcomb,Talbot County
21654.0,Oxford,Talbot County
21655.0,Preston,Caroline County
21656.0,Price,Queen Anne's County
21657.0,Queen Anne,Queen Anne's County
21658.0,Queenstown,Queen Anne's County
21659.0,Rhodesdale,Dorchester County
21660.0,Ridgely,Caroline County
21661.0,Rock Hall,Kent County
21662.0,Royal Oak,Talbot County
21663.0,Saint Michaels,Talbot County
21664.0,Secretary,Dorchester County
21665.0,Sherwood,Talbot County
21666.0,Stevensville,Queen Anne's County
21667.0,Still Pond,Kent County
21668.0,Sudlersville,Queen Anne's County
21669.0,Taylors Island,Dorchester County
21670.0,Templeville,Caroline County
21671.0,Tilghman,Talbot County
21672.0,Toddville,Dorchester County
21673.0,Trappe,Talbot County
21675.0,Wingate,Dorchester County
21676.0,Wittman,Talbot County
21677.0,Woolford,Dorchester County
21678.0,Worton,Kent County
21679.0,Wye Mills,Talbot County
21681.0,Ridgely,Caroline County
21682.0,Ridgely,Caroline County
21683.0,Ridgely,Caroline County
21684.0,Ridgely,Caroline County
21685.0,Ridgely,Caroline County
21686.0,Ridgely,Caroline County
21687.0,Ridgely,Caroline County
21688.0,Ridgely,Caroline County
21690.0,Chestertown,Queen Anne's County
21701.0,Frederick,Frederick County
21702.0,Frederick,Frederick County
21703.0,Frederick,Frederick County
21704.0,Frederick,Frederick County
21705.0,Frederick,Frederick County
21709.0,Frederick,Frederick County
21710.0,Adamstown,Frederick County
21711.0,Big Pool,Washington County
21713.0,Boonsboro,Washington County
21714.0,Braddock Heights,Frederick County
21715.0,Brownsville,Washington County
21716.0,Brunswick,Frederick County
21717.0,Buckeystown,Frederick County
21718.0,Burkittsville,Frederick County
21719.0,Cascade,Washington County
21720.0,Cavetown,Washington County
21721.0,Chewsville,Washington County
21722.0,Clear Spring,Washington County
21723.0,Cooksville,Howard County
21727.0,Emmitsburg,Frederick County
21733.0,Fairplay,Washington County
21734.0,Funkstown,Washington County
21737.0,Glenelg,Howard County
21738.0,Glenwood,Howard County
21740.0,Hagerstown,Washington County
21741.0,Hagerstown,Washington County
21742.0,Hagerstown,Washington County
21746.0,Hagerstown,Washington County
21747.0,Hagerstown,Washington County
21748.0,Hagerstown,Washington County
21749.0,Hagerstown,Washington County
21750.0,Hancock,Washington County
21754.0,Ijamsville,Frederick County
21755.0,Jefferson,Frederick County
21756.0,Keedysville,Washington County
21757.0,Keymar,Carroll County
21758.0,Knoxville,Frederick County
21759.0,Ladiesburg,Frederick County
21762.0,Libertytown,Frederick County
21765.0,Lisbon,Howard County
21766.0,Little Orleans,Allegany County
21767.0,Maugansville,Washington County
21769.0,Middletown,Frederick County
21770.0,Monrovia,Frederick County
21771.0,Mount Airy,Frederick County
21773.0,Myersville,Frederick County
21774.0,New Market,Frederick County
21775.0,New Midway,Frederick County
21776.0,New Windsor,Carroll County
21777.0,Point Of Rocks,Frederick County
21778.0,Rocky Ridge,Frederick County
21779.0,Rohrersville,Washington County
21780.0,Sabillasville,Frederick County
21781.0,Saint James,Washington County
21782.0,Sharpsburg,Washington County
21783.0,Smithsburg,Washington County
21784.0,Sykesville,Carroll County
21787.0,Taneytown,Carroll County
21788.0,Thurmont,Frederick County
21790.0,Tuscarora,Frederick County
21791.0,Union Bridge,Carroll County
21792.0,Unionville,Frederick County
21793.0,Walkersville,Frederick County
21794.0,West Friendship,Howard County
21795.0,Williamsport,Washington County
21797.0,Woodbine,Howard County
21798.0,Woodsboro,Frederick County
21801.0,Salisbury,Wicomico County
21802.0,Salisbury,Wicomico County
21803.0,Salisbury,Wicomico County
21804.0,Salisbury,Wicomico County
21810.0,Allen,Wicomico County
21811.0,Berlin,Worcester County
21813.0,Bishopville,Worcester County
21814.0,Bivalve,Wicomico County
21817.0,Crisfield,Somerset County
21821.0,Deal Island,Somerset County
21822.0,Eden,Worcester County
21824.0,Ewell,Somerset County
21826.0,Fruitland,Wicomico County
21829.0,Girdletree,Worcester County
21830.0,Hebron,Wicomico County
21835.0,Linkwood,Dorchester County
21836.0,Manokin,Somerset County
21837.0,Mardela Springs,Wicomico County
21838.0,Marion Station,Somerset County
21840.0,Nanticoke,Wicomico County
21841.0,Newark,Worcester County
21842.0,Ocean City,Worcester County
21843.0,Ocean City,Worcester County
21849.0,Parsonsburg,Wicomico County
21850.0,Pittsville,Wicomico County
21851.0,Pocomoke City,Worcester County
21852.0,Powellville,Wicomico County
21853.0,Princess Anne,Somerset County
21856.0,Quantico,Wicomico County
21857.0,Rehobeth,Somerset County
21861.0,Sharptown,Wicomico County
21862.0,Showell,Worcester County
21863.0,Snow Hill,Worcester County
21864.0,Stockton,Worcester County
21865.0,Tyaskin,Wicomico County
21866.0,Tylerton,Somerset County
21867.0,Upper Fairmount,Somerset County
21869.0,Vienna,Dorchester County
21871.0,Westover,Somerset County
21872.0,Whaleyville,Worcester County
21874.0,Willards,Wicomico County
21875.0,Delmar,Wicomico County
21890.0,Westover,Somerset County
21901.0,North East,Cecil County
21902.0,Perry Point,Cecil County
21903.0,Perryville,Cecil County
21904.0,Port Deposit,Cecil County
21911.0,Rising Sun,Cecil County
21912.0,Warwick,Cecil County
21913.0,Cecilton,Cecil County
21914.0,Charlestown,Cecil County
21915.0,Chesapeake City,Cecil County
21916.0,Childs,Cecil County
21917.0,Colora,Cecil County
21918.0,Conowingo,Cecil County
21919.0,Earleville,Cecil County
21920.0,Elk Mills,Cecil County
21921.0,Elkton,Cecil County
21922.0,Elkton,Cecil County
21930.0,Georgetown,Cecil County
