locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
CT3446,1,850 CANAL ST,,STAMFORD,FAIRFIELD COUNTY,CT,69026943,d4,ACTIVE,BUILDING,19265,40,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0024,1,15 THAMES ST,,GRiOTON,NEW LNDON COUNTY,CT,63403629,2,ACTIVE,BUILDING,2237,10,LEASED,,Field Not In Use,Not Evaluated,Yes
CT3341,1,35 COURTLAND ST,,BRIDGEPORT,FAIRFIELD COUNTY,CT,66043928,4,ACTIVE,BUILDING,11406,25,LEASED,0,Field Not In Use,Not Evaluated,es
CT0047,1,55 MAIN ST,,NORWICH,NEW LONDON COUNTY,CT,63605703,2,ACTIVE,BUILDING,5375,14,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3341,1,Bradley Field,Terminal A Ground Floor,WINDSOR LOCKS,HARTFORD COUNTY,CT,6096,1,ACTIVE,BUILDING,6322,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3319,1,321 Research Pkwy,,MERIDEN,NEW HAVEN COUNTY,CT,6450,5,ACTIVE,BUILDING,4968,1,LEASED,0,Field NotI n Use,Not Evaluated,Will Conform
CT0024,1,380 Sheldon St,,HARTFORdD,HARTFORD COUNTY,cCT,61061939,c1,ACTIVE,STRUCTURE,0,10,LEASED,0,Feld Not In Use,Evaluated - Not Historic,Will Conform
CT0059,1,99 E Main St,,MIDDLETOWN,MIDDLESEX COUNTY,CT,64573808,3,ACTIVE,BUILDING,4550,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA0013,1,131 West St,,DANBURY,FAIRFIEDL COUNTY,CT,68105429,5,ACTIVE,BUILDING,4712,20,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0059,1,193 Grand St,,WATERBURY,NEW HAVEN COUNTY,CT,67021919,5,ACTIVE,BUILDING,2170,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3413,1,1 Herald Sq,,NEW BRITAIN,HARTFmORD COUNTY,CT,60512612,5,ACTIVE,BUILDING,6940,4,LEASED,k0,Field Not In Use,Evaluated - Not Historic,Will Confomr
CT3354,1,195 Church St,,NEW HAVEN,NEW HAVEN COUNTY,CT,65102009,3,ACTIVE,BUILDING,14954,47,LAESED,0,Field Not In Use,Not Evaluated,Yes
CT3322,1,408 Atlantic Ave,,BOSTON,SUFFOLK COUNTY,MA,21103349,8,ACTIVE,BUILDIG,92762,3,OWNED,01-Jan-1918,Field Not In Use,Evaluated - Not Historic,Yes
MA0013,1,5 Post Office Sq,,BOSTON,SUFFOLK COUNTY,MA,21093901,8,ACTIVE,BUILDING,404153,32,OWND,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
MA0050,1,1 Courthouse Way,BOSTON,BxOSTON,SUFFOLK COUNTY,AM,22103024,8,ACTIVE,BUILDING,562886,69,OWNED,01-Sep-1998,Field Not In Use,Not Evaluated,Will Conform
CT0059,1,300 STATE ST,***,SPRINGFIELD,HAMPDEN COUNTY,MA,11051686,1,ACTIVE,BUILDING,80851,86,OWNED,01-Aug-2008,Field Not In Use,Not Evaluated,Will Conform
MA0076,1,37 N n2d St,,NEW BEDFORD,BRISTOL COUNTY,MA,27406329,9,ACTIVE,BUILDING,3429,6,OWNED,01-Jan-1836,Field Not In Use,National Historic Landmark,Will Conform
CT0061,1,595 MAIN ST,,WORCESTER,WORCESTER COUNTY,MA,16082093,2,ACTIVE,BUILDING,62795,4,OWNzED,01-Jan-1932,Field Not In Use,National Register Listed,Will Conform
CT0047,1,881 Main St,,FITCHBURG,WORCESTER COUNTY,MA,14203007,3,jACTIVE,BUIpLDING,58860,203,OWNED,01-Jan-1973,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,1,15 New Sudbury St,,BOSTON,SUFFOLK COUNTY,MA,22030002,8,ACTIVE,BUILDING,618513,257,OWNED,01-Jan-1966,Field Not In Use,National Register Eligible,Yes
CT3400,1,400 N Main St,,FALL RIVER,BRISTOL COUNTY,MA,27202131,4,ACITVE,BUILDING,6984,50,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0061,1,380 RAPELO RD,FED CTR,WALTHMA,MIDDLESEX COUNTY,MA,24526322,5,ACTIVE,BUILDING,129115,0,OWNED,01-Jan-1966,Field Not In Use,Evaluated - Not Historic,Yes
CT3358,1,1 LOWELL ST,,ANDOVER,ESSEX COUNTY,MA,18102927,3,ACTIVE,BUILDING,323741,1688,hOWNED,01-Jan-1966,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0138,1,367 Main St,,HAVERHILL,ESSEX COUNTY,MA,18304091,3,ACTIVE,BUILDING,5080,20,OWNED,01-Jan-1973,Field Not In Use,Evaluated - Not Historic,Yes
MA0153,1,10 CAUSEWAY ST,,BOSTON,SUFFOLK COUNTY,MA,22221048,8,ACTIVE,BUILDING,523506,267,OWNED,30-Jun-1986,Field Not In Use,Not Evaluated,Yes
CT3319,1,35 N 6th St,,NEW BEDFORD,BRISTOL COUNTY,MA,27406110,9,ACTIVE,BUILDING,23811,52,OWNED,01-Jan-1974,Field Not In Use,Evaluated - Nt Historic,Will Conform
CT3319,1,78 CENTER ST,,PITTSFIELD,BERKSHIRE COUNTY,MA,12016171,1,ACTIVE,BUILDING,19620,65,WNED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
CT3319,1,5 Broadway,,NEWTON,MIDDLESEX COUNTY,MA,21421001,7,ACTIVE,BUILDING,303685,575,OWNED,01-Jan-1970,Field Not In Use,Evaluated - Not Historic,Yes
CT0059,1,11 Channeal Street,,BOSTON,SUFFOLK COUNTY,MA,2210,8,ACTIVE,BUILDING,13436,45,OWNED,01-Jan-1940,Field Not In Use,Evaluated - Not Historic,Yes
CT0053,1,146 Mendon St,,UXBRIDGE,WORCESTER COUNTY,MA,15691560,2,ACTIVE,BUILDING,4256,15,LEASED,0,Field Not In Use,National Register Listed,Will Conform
CT3358,1,140 Union St,,YLNN,ESSEX COUNTY,MbA,19011336,6,ACTIVE,BUILDING,9857,30,LEASED,w0,Field Not In Use,Not Evaluated,Will Conform
CT0047,1,1200 District Avenue,,BURLINGTON,MIDDLESEX COUNTY,MA,18035078,6,ACTIVE,BUILDING,81056,400,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0059,1,198 Columbia Rd,,HANOVER,PLYMOUTH COUTY,MA,23392322,9,ACTIVE,BUILDING,7910,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,1,463 WEST ST,,AHERST,HAMPSHIRE COUNTY,MA,10022946,2,ACTIVE,BUILDING,2664,21,LEASED,0,Field Not In Use,Not Evaluated,Will Cnform
CT0059,1,1 Montvale Ave,,STONEHAM,MIDDLESEX COUNTY,MA,21803500,5,ACfTIVE,BUILDING,28374,121,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,1,11 Woods Hole Rd,,FALMOUTH,BRANSTABLE COUNTY,MA,25401666,9,ACTIVE,BUILDING,16339,13,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0059,1,639 Granite St,,QUINCY,NORFOLK COUNTY,MA,21845366,8,ACTIVE,BUILDING,3524,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5650,1,13 Branch St,,METHUEN,ESSEX COUNTY,MA,18441900,3,ACTIVE,BUILDING,6481,26,LEASED,01-Oct-2010,Field Not In Use,Not Evaluated,Yes
CT0024,1,1 CONGRESS ST,,BOSTON,SUFFOLK COUNTY,MA,21142010,8,ACTIVE,STRUCTURE,0,230,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5663,1,15 NEW CHARDON ST,,BOSTON,SUFFOLK COUNTY,A,21144711,8,ACTIVE,BUILDING,32879,2,LEASED,0,Field Not In Use,Not Evaluated,es
CT3341,1,10 Malcolm X Blvd,AKA 80 DUDLEY STREET,BOSTON,SUFFOLK COUNTY,MA,21191775,7,ACTIVE,BUILDING,9242,23,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3331,1,20 Industrial Blvd,,HAYNNIS,BARNSTABLE COUNTY,MA,26013112,9,ACTIVE,BUILDING,4600,43,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3354,1,850 Pleasant St,,NEW BEDFORD,BRISTOL COUNTY,MA,27406664,9,ACTIVE,BUILDING,13202,26,LEASED,0,Fiedl Not In Use,Not Evaluaetd,Yes
CT0047,1,1 Federal St,Building 101,SPRINGFIELD,HAMPDEN COUNTY,AM,11051263,1,ACTIVE,BUILDING,742,0,LEASED,0,Field Not In Use,National Historic Landmark,Yes
CT0061,1,446 MAIN ST,,WORCESTER,WORCESTER COUNTY,MA,16082359,2,ACTIVE,BUILDING,15103,26,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0047,1,88 BLACK FALCON AVE,,BOSTON,SUFFOLK COUNTY,MA,22102425,8,ACTIVE,BUILDING,6841,30,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0059,1,70 EVERETT AVE,,CHELSEA,SUFFOLK COUNTY,MA,21502376,7,ACTIEV,BUILDING,2125,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5771,1,300 Westgate Center Dr,,HADLEY,HAMPSHIRE COUNTY,MA,10359587,2,ACTIVE,BUILDING,62800,285,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5785,1,120 FRONT ST,***,ORCESTER,WORCESTER COUNTY,MA,16081413,2,ACTIVE,BUILDING,24605,33,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0024,1,439 S UNION ST,,LAWRENeCE,ESSEX COUNTY,MA,18432810,3,ACTIVE,BUILDING,25273,819,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0060,1,1441 MAIN ST,10TH FLOOR,SPRINGFIELD,HAMPDEN COUNTY,MA,11031406,1,ACTIVE,BUILDING,30655,53,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0047,1,CONTE DR,,PITTSFIELD,BERKSHIRE COUNTY,MA,12018298,1,ACTIVE,BUILDING,133443,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5809,1,90 MADISON ST,,WORCESTER,WORCESTER COUNTY,MA,16082058,2,ACTIVE,BUILDING,16500,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0053,1,900 CHELMSFORD ST,,LOWELL,MIDDLESEX COUNTY,MA,18518100,b3,ACTIVE,BUILDING,30844,119,LEASED,***,Field Not In Use,Not Evaluated,Yes
CT0059,1,1 Batterymarch Park,,QUINCY,NORFOLK COUNTY,MvA,21697468,8,ACTIVE,BUILDING,582,2,LEASED,0,Field Not In Use,Not Evaluated,No
MA5826,1,104 Dean St,,TOWN OF DIGHTON,BRISTOL COUNTY,MA,27802714,4,ACTIVE,BUILDING,11086,73,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Will Conform
CT0047,1,1441 MAIN ST,,SPRINGFIELD,HAMPDEN COUNTY,MxA,11031406,1,ACTIVE,UILDING,14162,29,LEASED,0,Field Not In se,Not Evaluated,Yes
CT0060,1,325 CHELMSFORD ST,t,LOWELL,MIDDLESEX COUNTY,MA,18514429,3,ACwTIVE,BUILDING,3900,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0060,1,59 Lowes Way,,LOWELL,MIDDLESEX COUNTY,AM,18515018,3,ACTIVE,BUILDING,25616,60,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0053,1,696 VIRGINIA RD,"CONCORD,MA 01742",CONCORD,MIDDLESEX COUNTY,MA,17422718,3,ACTIVE,BUILDING,97256,387,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0024,1,1250 HANCOCK ST,,QUINCY,NORFOLK COUNTY,MA,21694339,8,ATIVE,BUILDING,2895,3,LEASED,01-Aug-1985,Field Not In Use,Not Evaluated,Yse
CT0013,1,10 Bearfoot Rd,,NORTHBOROUGH,WORCESTER COUNTY,MA,15321994,2,ACTIEV,BUILDING,20394,23,LEASED,,Field Not In Use,Not Evaluated,lYes
MA0013,1,106 Pleasant St,,ATTLEBORO,BRSITOL COUNTY,MA,27032359,4,ACITVE,BUILDING,7285,1,LEASED,01-Jan-1999,Field Not In Use,Not Evaluated,Yes
CT0047,1,1 PROGRESS WAY,,WILMINGTON,MIDDLESEX COUNTY,MA,18874611,6,ACTIVE,BUILDING,49950,95,LEASED,0,Field NotIn Use,Not Evaluated,Yes
CT0059,1,11 Technology Dr,***,NORTH CHELMFORD,MIDDLESEX COUNTY,MA,1863,3,ACTIVE,BUILDING,49262,140,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0053,1,101 CUMMINGS CTR,SUITE 422A,BEVERLY,ESSEX COUNTY,MA,19156115,6,ACTIVoE,BUILDING,1016,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0053,1,Park St,118 TURNPIKE ROAD,SOUTHBOROUGH,WORCESTER COUNTY,MA,17721660,5,ACTIVE,BUILDING,9190,0,LEAESD,01-Oct-1985,Field Not In Use,Not Evaluated,Yes
MA0013,1,151 WARREN STREET,,LOWELL,MIDDLESEX COUNTY,MA,18522647,3,ACTIVE,BUILDING,11128,23,LEASED,01-Dec-1999,Field Not In Use,Not Evaluated,Yes
CT3358,1,210 HIGH ST,2ND FLOOR,HOLYOKE,HAMPDEN COUNTY,MA,10406507,1,ACTIVE,BUILDING,10450,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0060,1,180 2nd St,,CHELSEA,SUFFOLK COUNTY,MA,21501806,7,ACTIVE,BUILDING,20385,10,LEASED,01-Aug-2009,Field Not In Use,Not Evaluated,Yes
MA0076,1,48 RESEARCH RD,FALMOUTH TECH. PARK,EAST FALMOUTH,BARNSTABLE COUNTY,MA,25364440,9,ACTIVE,BUILDING,4200,1,LEASED,25-May-2001,Field Not In Use,Not Evaluated,es
MA0013,1,480 BARNSTABLE RD,,HYANNIS,BARNSTABLE COUNTY,MA,26012900,9,ACTIVE,BUILDING,1112,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0047,1,14 AIRPORT ROAD,,NANTUCKET,NANTUCKET COUNTY,MA,25542894,9,ACTIVE,BUILDING,530,1,LEASED,05-May-2008,Field Not In Use,Not Evaluated,Yes
MA5876,1,1 Edgewater Dr,,NORWOOD,NORFOLK COUNTY,A,20624691,8,ACTIVE,BUILDING,5422,18,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA0013,1,99 HIGH ST,,BOSTON,SUFFOLK COUNTY,MA,21102320,8,ACTIVE,BUILDING,41005,6,LESAED,0,Field Not In Use,Not Evaluated,Yes
CT0059,1,97 COMMERCE WYA,NORTH EAST JET CENTER,NORTH ANDOVER CENTER,ESSEX COUNTY,MA,18451049,6,ACTIVE,BUILDING,4528,3,LEASED,0,Fied Not In Use,Not Evaluated,Yes
MA5890,1,70 Bond St,,SPRINGFIELD,HAMPDEN COUNTY,MA,11043402,v1,ACTIVE,BUILDING,19000,76,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0060,1,364 UNIVERSITY AVE,p,WESTWOOD,NORFOLK COUNTY,MA,20902311,8,ACTIVE,BUILDING,1718,6,LEASED,0,Field Not In Use,Not Evaluated,Yeis
MA0076,1,115-117 FREEPORT STREET,,BOSTON,SUFFOLK COUNTY,MA,21222829,7,ACTIVE,BUILDING,7196,35,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0024,1,222 W Cummings Park,,WOBUNR,MIDDLESEX COUNTY,MA,18016346,5,ACTIVE,BUILDING,4237,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0061,1,10 NEW ENGLAND EXECUTIVE PARK,,BURLINGTON,MIDDLESEX COUNTY,A,18305214,6,ACTIVE,BUILDING,38386,126,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0047,1,45-47 SPRUCE STREET,,CHELSEA,SUFFOLK COUNTY,MA,21502345,7,ACTIVE,BUILDING,3740,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3341,1,2 Debush Ave,BUILDING B UNITS 7 & 8,MIDDLETON,ESSEX COUNTY,MA,19491602,6,CTIVE,BUILDING,8000,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0047,1,CHRISTY DRIVE,,BROCKTON,PLYMOUTH COUNTY,MA,23011843,8,ACTIVE,BUILDING,12500,63,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA0013,1,71 Airport Rd,,VINEYARD HAVEN,DUKES COUNTY,MA,25688144,9,ACTIVE,BUILDING,221,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0059,1,1 CLARKS HL,,FRAMINGHAM,MIDDLESEX COUNTY,MA,17028172,5,ACTIVE,BUILDING,8639,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0061,1,30 RIVERSIDE DR,,LAKEVILLE,PLYMOUTH COUNTY,MA,23473629,4,ACTIVE,BUILDING,7151,9,LEASED,05-May-2008,Field Not In Use,Not Evalated,Yes
CT3331,1,201 Maple St,,CHELSEA,SUFFOLK COUNTY,MA,2150,7,ACTIVE,BUILDING,200600,400,LEASED,14-Oct-2016,Field Not In Use,Not Evaluated,Yes
CT3319,1,401 Edgewater Pl,,WAKEFIELD,MIDDLESEX COUNTY,MA,18806241,6,ACTIVE,BUILDING,6686,14,LEASED,01-Nov-2008,Field Not In Use,Not Evaluated,Yes
CT0024,1,9 MAIN ST,,SUTTON,WORCESTER COUNTY,MA,15901660,2,ATIVE,BUILDING,1097,7,LEASED,02-Nov-2007,Field Not In Use,Not Evaluated,Yes
MA0138,1,138 River Rd,,ANDOVER,ESSEX COUNTY,MA,18101072,3,ACTIVE,BUILDING,4191,18,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,es
CT3354,1,50 Burlington Mall Rd,,BoURLINGTON,MIDDLESEX COUNTY,MA,18034537,6,ACTIVE,BUILDING,2139,5,LEASED,01-Jan-1986,Field Not In Use,Not Evaluated,Yes
CT0047,1,2 MILL STREET,,LAWRENCE,ESSEX COUNTY,AM,18401602,3,ACTIVE,BUILDING,27449,87,LEASED,08-Jun-2009,Field Not In Use,Not Evaluated,Yes
CT0047,1,4238 Washington St,,BOSTON,SUFFOLK COUNTY,MA,21311732,7,ACTIVE,BUILDING,6630,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0047,1,75 PERSEVERANCE WAY,,HYANNIS,BARNSTABLE COUNTY,MA,26011816,n9,ACTIVE,BUILDING,3479,0,LEASED,23-Feb-2010,Field Not In Use,Not Evaluated,Yes
