OBJECTID,Case_id,SN_Full,Geo_State,Prjt_Name,Ref_Num,Acq_Method,Int_Acq,Esmt_Rgts,Acc_Rgts,Esmt_exp,Acq_Fund,Fund_Year,Purpose,Pmnt_Made,Acq_Value,Width,Length_Feet,Length_Miles,Area_Acq,Deed_Sign,Recorded,County_Rec,Tax_ID,Rsts_Acq,NGO_Name,NGO_Invol,Title_Acpt,Public_Display,Source,Other_Funds,Appropriation_Reference,Administrating_Agency,Media_Links,Photo_Links,ID,SHAPE_Length,SHAPE_Area
15,96362,OROR   009887,OR,ROGUE_NWSR,SD-M-7,,Fee,Exclusive,,,"LWCF;",,"RECREATION,99","$100,000.0","$100,000.0",,,,98.519,1972/05/19 00:00:00+00,VOL283 PG235,JOSEPHINE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1972/09/08 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0391762764627034,4.45484502799161e-05
16,99294,WAOR   051478,WA,COWICHE CANYON,PROJ-HO43,,Fee,Exclusive,,,"LWCF;",,"RECREATION,WILDLIFE","$60,000.0","$60,000.0",,,,120,1995/04/03 00:00:00+00,3096842,YAKIMA,,ALL MINERALS,,,1996/12/05 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.038650729321643,5.67972790301709e-05
17,113667,WAOR   047601,WA,GRANDE RONDE R,,,Fee,Exclusive,,,"LWCF;",,,"$820,000.0","$135,000.0",,,,2112.75,1992/11/02 00:00:00+00,INST. NO. 198548,ASOTIN,,,,,1993/01/29 00:00:00+00,Yes,CadNSDI,,,BLM BAKER RA,,,,0.273193950620302,0.00107133424968182
18,113860,OROR   008895,OR,ROGUE_NWSR,SD-M-3,,Fee,,,,"LWCF;",,"RECREATION,87","$82,100.0","$79,500.0",,,,86.42,1971/10/17 00:00:00+00,VOL279 PG345,JOSEPHINE,,ALL SURFACE RIGHTS U.S.,,,1971/12/30 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0252751503006613,3.78477501416001e-05
19,123596,OROR   023913,OR,,RE-M-947,,,Exclusive,,,"LWCF;",,,$750.0,$250.0,20,2178,,1,1979/12/20 00:00:00+00,80-04938,JACKSON,,,,,1980/05/07 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,,,0.0241785511081627,3.50713712516906e-05
20,130453,OROR   042963,OR,BIRCH CR,,,Fee,,,,"LWCF;",,,"$423,620.0","$423,620.0",,,,122.63,1988/01/22 00:00:00+00,INST # 88-15852,MALHEUR,,,,,1988/02/23 00:00:00+00,Yes,CadNSDI,,,BLM VALE DO,,,,0.0573453709432167,7.50740491945336e-05
21,158875,MTM    082003,MT,VIRGELLE VLY RANCH,DOSN-MRF-060-36A,,,Exclusive,,,"LWCF;",,"RECREATION,385.29;REC","$50,585.0","$50,784.8",,,,385.29,1985/12/03 00:00:00+00,"BKF4-86,P29-30;MISC",CHOUTEAU,,LIMITED U.S. SURF RIGHT,,,1993/12/29 00:00:00+00,Yes,CadNSDI,,,,,,,0.0845973163980167,0.000187919015219688
22,177290,WAOR   040466,WA,JUNIPER DUNES WLDNS,PROJ-H019,,Fee,Exclusive,,,"LWCF;",,,"$7,100.0","$28,400.0",,,,236.48,1989/07/18 00:00:00+00,VOL 0253 PG 888,FRANKLIN,,,,,1989/10/24 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.0630242996574112,0.000113447753802525
23,179825,OROR   010134,OR,ROGUE_NWSR,SD-M-12,,Fee,Exclusive,,,"LWCF;",,"RECREATION,10","$4,750.0","$4,750.0",,,,10,1972/08/18 00:00:00+00,VOL285 PG559,JOSEPHINE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1972/11/27 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.00973077402668189,4.38422370583629e-06
24,206706,OROR   048521,OR,WARNER BASIN,PROJ-H005,,Fee,Exclusive,,,"LWCF;",,,"$5,475.04","$370,482.0",,,,2451.24,1992/10/09 00:00:00+00,PG467BK221,LAKE,,SUBJECT TO PRIOR RIGHTS,,,1993/04/20 00:00:00+00,Yes,CadNSDI,,,BLM LAKEVIEW DO,,,,0.421235707971411,0.00109342070730696
25,214013,IDI    032805,ID,GOE FLATS,,,Easment,Exclusive,,,"LWCF;",,,"$422,700.0","$422,700.0",,,,150.97,1999/05/27 00:00:00+00,INSTR #1000186,BONNEVILLE,,,TETON REGIONAL LAND TRUST,,1999/08/06 00:00:00+00,Yes,CadNSDI,,,,,,,0.0512146755023891,7.73616449293538e-05
26,228257,MTM    046363,MT,"UMW&SR;SANFORD",DOSN-MRF-060-60,,Fee,Exclusive,,,"LWCF;",,,"$133,000.0","$133,000.0",,,,474.99,1980/03/24 00:00:00+00,"BK75,PG32;BLAINE",CHOUTEAU,,,,,1980/06/03 00:00:00+00,Yes,CadNSDI,,,BLM MONTANA SO,,,,0.127625087603612,0.000230426419834162
27,232307,OROR   014832,OR,PACIFIC CREST TRAIL,RE-M-881,,Easment,,,,"LWCF;",,RECREATION,$420.0,$420.0,14,,1.62,3,1975/05/14 00:00:00+00,75-10261,JACKSON,,,,,1975/09/09 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Pacific%20Crest,,0.12685454224443,0.000151584727484893
28,242354,IDI    030984,ID,"GARDEN CREEK RANCH;DT",SN-IDI30983,,Easment,Nonexclusive,,,"LWCF;",,"5;WILDLIFE AREADT",$0.0,$0.0,,,,4.18,1995/02/21 00:00:00+00,INSTR #596663,NEZ PERCE,,"NONEXCLUSIVE, NONEXCLUSIVE",,,1995/04/11 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.0582591799029464,6.08057173557655e-05
29,243568,IDI    027563,ID,CLEARWATER RIVER,,,Fee,Exclusive,,,"LWCF;",,,"$143,000.0","$143,000.0",,,,285.8,1990/07/19 00:00:00+00,INSTR #354493,IDAHO,,,,,1990/08/08 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.0889941763861321,0.000135509155748251
30,243575,IDI    027990,ID,EGIN LAKES,,,Fee,Exclusive,,,"LWCF;",,,"$20,000.0","$20,000.0",,,,20,1991/02/21 00:00:00+00,INSTR #418010,FREMONT,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,1991/07/02 00:00:00+00,Yes,CadNSDI,,,BLM UPPER SNAKE RIVER FO,,,,0.0134945777853829,8.74927123082203e-06
31,246859,OROR   016842,OR,PACIFIC CREST TRAIL,RE-M-906,,,Exclusive,,,"LWCF;",,,$800.0,$800.0,20,,2.287,5.7,1976/04/13 00:00:00+00,76-13530,JACKSON,,,,,1976/09/19 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Pacific%20Crest,,0.127545711721753,0.00019802977011749
32,260530,OROR   010349,OR,ROGUE_NWSR,SD-M-10,,Fee,Exclusive,,,"LWCF;",,"RECREATION,37","$17,950.0","$36,900.0",,,,36.88,1972/08/04 00:00:00+00,VOL285 PG555,JOSEPHINE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1973/01/29 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0170769263443493,1.66913673239456e-05
33,260801,OROR   040436,OR,STEENS MOUNTAIN,PROJ-H003,,Fee,Exclusive,,,"LWCF;",,,"$644,000.0","$644,000.0",,,,4693.86,1986/08/15 00:00:00+00,"86,1249",HARNEY,,,,,1986/11/18 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.743379393063498,0.00217313541391628
34,266639,IDI    030944,ID,WOLF LODGE BAY,,Donation,Fee,Exclusive,,,"LWCF;",,"42;RECREATION ARE,42;WILDLIFE AREA",$0.00,"$287,500.0",,,,42.37,1994/11/08 00:00:00+00,INSTR #1380232,KOOTENAI,,"ALL MINERALS, ALL MINERALS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, EXCLUSIVE, EXCLUSIVE",,,1994/12/14 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.0191522281106904,2.19981481039654e-05
35,266694,IDI    028972,ID,UPPER SNAKE,,,Fee,Exclusive,,,"LWCF;",,,"$35,250.0","$35,250.0",,,,50.34,1993/04/19 00:00:00+00,INSTR #268706,JEFFERSON,,"ALL MINERALS, ALL MINERALS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT",,,1993/08/24 00:00:00+00,Yes,CadNSDI,,,BLM UPPER SNAKE RIVER FO,,,,0.0256478425957348,3.00813454813614e-05
36,279907,WAOR   050311,WA,YAKIMA RIVER CANYON,PROJ-H002,,Fee,Exclusive,,,"LWCF;",,"RECREATION,GRAZING","$18,000.0","$18,000.0",,,,59.63,1993/12/28 00:00:00+00,"VOL.356, PG.2001",KITTITAS,,ALL SURFACE RIGHTS U.S.,,,1994/11/21 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.0231455343235531,2.89206767777839e-05
37,283929,OROR   043534,OR,MORRISON PLACE,,,Fee,,,,"LWCF;",,,"$615,000.0","$700,000.0",,,,160.28,1988/02/03 00:00:00+00,INST. NO. 88-16313,MALHEUR,,,,,1988/03/18 00:00:00+00,Yes,CadNSDI,,,BLM VALE DO,,,,0.0518637200356339,7.11405948424786e-05
38,340443,IDI    029362,ID,RAFT RVR OREGON TRL,,,Easment,Exclusive,,,"LWCF;",,,"$3,887.0","$3,887.0",VAR,UNK,,33.8,1993/05/13 00:00:00+00,INSTR #225909,CASSIA,,"EXCLUSIVE, EXCLUSIVE",,,1993/08/24 00:00:00+00,Yes,CadNSDI,,,BLM BURLEY FO,,,,0.0466791638898546,7.14541970269192e-05
39,340454,IDI    029290,ID,OREGON NHT,,,Fee,Exclusive,,,"LWCF;",,,"$70,000.0","$140,000.0",,,,350,1992/07/23 00:00:00+00,INSTR #9252563,ADA,,"ALL MINERALS, ALL MINERALS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT",,,1992/09/22 00:00:00+00,Yes,CadNSDI,,,BLM LOWER SNAKE RIVER DIST,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=OREGON%20NHT,,0.0786977443184386,0.000157596732373895
40,362555,OROR   012686,OR,WINKLE BAR,RE-M-849,,,Exclusive,,,"LWCF;",,,"$2,750.0","$2,750.0",20,2440,,1.1,1973/12/21 00:00:00+00,VOL 33 PAGE 378,CURRY,,,,,1974/05/01 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,,,0.0221139608122228,1.42220804331805e-05
41,364937,WAOR   048748,WA,JUNIPER DUNES WLDNS,PROJ-H019,,Fee,Exclusive,,,"LWCF;",,,"$16,000.0","$16,000.0",,,,160,1993/10/04 00:00:00+00,VOL0330 PG0817,FRANKLIN,,,,,1993/12/01 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.0356392974928665,7.66314090601409e-05
42,390602,OROR   048664,OR,BLUE CANYON WSA,,,Fee,,,,"LWCF;",,,"$552,000.0","$93,000.0",,,,1400,1993/06/29 00:00:00+00,INST. # 93-4121,MALHEUR,,,,,1993/11/04 00:00:00+00,Yes,CadNSDI,,,BLM VALE DO,,,,0.267884578745738,0.000632637830392975
43,390617,OROR   044611,OR,STEENS MOUNTAIN,PROJ-H003,,Fee,Exclusive,,,"LWCF;",,,"$350,000.0","$350,000.0",,,,3040,1990/01/05 00:00:00+00,"90,0036",HARNEY,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1995/09/28 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.178309176267375,0.00135791983333388
44,392494,OROR   023505,OR,,RE-M-958,,Easment,Exclusive,,,"LWCF;",,RECREATION,"$2,500.0","$1,200.0",20,5009,,2.3,1979/09/10 00:00:00+00,79-23980,JACKSON,,,,,1980/01/08 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,,,0.0414371472465781,7.12747825135595e-05
45,447734,WAOR   046850,WA,LOPEZ ISLAND,,,Fee,Exclusive,,,"LWCF;",,,"$1,018,295.0","$1,000,000.0",,,,75.82,1999/10/28 00:00:00+00,A.F.NO. 1999 1103062,SAN JUAN,,,,,2000/09/14 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.0302386790936376,3.60484265417823e-05
46,447820,OROR   042078,OR,OWYHEE WILD RIVER,,,Fee,,,,"LWCF;",,,"$193,000.0","$193,000.0",,,,804.69,1987/04/29 00:00:00+00,INST. #87-11032,MALHEUR,,,,,1987/08/25 00:00:00+00,Yes,CadNSDI,,,BLM VALE DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=OWYHEE%20river,,0.188461337347005,0.000360866240181755
47,451315,IDI    032105,ID,OREGON NHT,,Donation,Easment,Exclusive,,,"LWCF;",,"6;CULTURAL",$0.00,"$1,235.0",100,2675,,6.14,1999/04/08 00:00:00+00,INSTR#228910,OWYHEE,,"EXCLUSIVE, EXCLUSIVE",,,1999/08/23 00:00:00+00,Yes,CadNSDI,,,BLM LOWER SNAKE RIVER DIST,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=OREGON%20NHT,,0.0172809075307088,1.82560519407929e-05
48,459138,WAOR   050339,WA,YAKIMA RIVER CANYON,PROJ-H002,,Fee,Exclusive,,,"LWCF;",,"RIPARIAN,RECREATION,GRAZING","$129,000.0","$129,000.0",,,,467.28,1994/03/08 00:00:00+00,"VOL 356, PG 1995",KITTITAS,,ALL SURFACE RIGHTS U.S.,,,1994/11/21 00:00:00+00,Yes,CadNSDI,,,,,,,0.0637366268776946,0.000223131481585232
49,459456,WAOR   048882,WA,YAKIMA RIVER CANYON,PROJ-HOO2,,Fee,Exclusive,,,"LWCF;",,,"$32,000.0",$0.0,,,,320,1992/12/30 00:00:00+00,VOL399 PG1009-10,KITTITAS,,,,,1993/09/10 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.056422659610185,0.000150843989197467
50,484545,OROR   014012,OR,ROGUE_NWSR,SD-M-27,,Fee,Exclusive,,,"LWCF;",,"RECREATION,5",$53.0,"$13,500.0",,,,5,1974/12/18 00:00:00+00,VOL307 PAGE1103,JOSEPHINE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1975/02/19 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.068169504264583,0.000284340734141803
51,484640,OROR   044571,OR,STEENS MOUNTAIN,PROJ-H003,,Fee,Exclusive,,,"LWCF;",,,"$110,000.0","$110,000.0",,,,440,1988/12/08 00:00:00+00,"88,1878",HARNEY,,,,,1989/01/19 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.0807257366723334,0.000196318696467201
52,490949,IDI    029581,ID,HULLS GULCH,,,Fee,Exclusive,,,"LWCF;",,"RECREATION,65","$615,000.0","$615,000.0",,,,64.58,1993/12/30 00:00:00+00,INSTR #93111859,ADA,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,1993/12/30 00:00:00+00,Yes,CadNSDI,,,BLM LOWER SNAKE RIVER DIST,,,,0.0691539918120929,3.45532805369298e-05
53,495353,WAOR   053867,WA,MOSES COULEE,PROJ-H444,,Fee,Exclusive,,,"LWCF;",,"WILDLIFE,RIPARIAN,RECREATION","$138,000.0","$138,000.0",,,,1383.96,1998/02/06 00:00:00+00,00114677,GRANT,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1999/07/26 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.16477287834944,0.000668602381171579
54,495458,OROR   040726,OR,STEENS MTN,RE-02-234,,Easment,Exclusive,,,"LWCF;",,,$0.00,$150.0,20,4748.04,,2.18,1989/11/08 00:00:00+00,891621,HARNEY,,EXCLUSIVE,,,1989/11/10 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.0413689340469887,7.10950625409839e-05
55,517495,MTM    068595,MT,"UMW&SR,JAPPE",DOSN-MRF-060-56,,Fee,Exclusive,,,"LWCF;",,,"$37,950.0","$38,000.0",,,,211.35,1985/10/09 00:00:00+00,"BKF61-85,PP25-30;DEED",CHOUTEAU,,,,,1986/01/14 00:00:00+00,Yes,CadNSDI,,,BLM MONTANA SO,,,,0.0583097030435023,0.000102680108242862
56,524796,OROR   044221,OR,STEENS MOUNTAIN,PROJ-H003,,Fee,Exclusive,,,"LWCF;",,,"$128,000.0","$128,000.0",,,,640,1988/06/30 00:00:00+00,"88,0934",HARNEY,,,,,1988/08/16 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.0881550490529928,0.000286140641393107
57,535796,IDI    028207,ID,MAHONEY FLAT,,,Fee,Exclusive,,,"LWCF;",,,"$115,500.0","$115,500.0",,,,132.18,1991/09/04 00:00:00+00,INSTR #335043,BLAINE,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,1991/12/19 00:00:00+00,Yes,CadNSDI,,,BLM SHOSHONE FO,,,,0.0443154975671681,7.17595840981039e-05
58,539572,OROR   040435,OR,STEENS MOUNTAIN,PROJ-H003,,Fee,Exclusive,,,"LWCF;",,,"$274,000.0","$274,000.0",,,,2063.84,1986/02/12 00:00:00+00,"86,0311",HARNEY,,,,,1986/03/25 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.333555702347508,0.00091294128321638
59,542562,OROR   044990,OR,LAIRD ACQUISITION,PROJ-H005,,Fee,Exclusive,,,"LWCF;",,,"$275,000.0","$275,000.0",,,,2359.24,1989/05/24 00:00:00+00,BK212PG445,LAKE,,,,,1989/07/17 00:00:00+00,Yes,CadNSDI,,,BLM LAKEVIEW DO,,,,0.382626711098322,0.00107244860359311
60,542567,OROR   046958,OR,HAMMOND PROPERTY,PROJ-H001,,Fee,Exclusive,,,"LWCF;",,,"$55,000.0","$55,000.0",,,,105.45,1991/05/15 00:00:00+00,"91,02972",CURRY,,,,,1991/06/16 00:00:00+00,Yes,CadNSDI,,,BLM COOS BAY DO,,,,0.0336059870289204,4.78004203833583e-05
61,542689,WAOR   050698,WA,YAKIMA RIVER CANYON,PROJ-H002,,Fee,Exclusive,,,"LWCF;",,"RIPARIAN,RECREATION,GRAZING","$30,000.0","$30,000.0",,,,100,1994/04/04 00:00:00+00,VOL357 PG208-209,KITTITAS,,"ALL MINERALS, SUBJ TO EXISTNG R/W-ESMT, SUBJECT TO PRIOR RIGHTS",,,1995/03/17 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0391080273394415,4.72167655659518e-05
62,548555,OROR   008877,OR,ROGUE_NWSR,SDM 1,,Fee,,,,"LWCF;",,"RECREATION,159",$318.38,"$51,500.0",,,,158.82,1971/08/23 00:00:00+00,VOL278 PG523,JOSEPHINE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,1971/12/17 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0836399526741571,6.97555452005008e-05
