county,district,co_dist_code,site_code,school_site,total_enrollment,telephone,principal,principles_email,mailing_address,mailing_city,mailing_state,mailing_zip,grades_low_high,certified_staff
ALFALFA     ,BURLINGTON                    ,01-C029,705.0,Burlington HS                 ,41.0,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,PO Box 17,Burlington,OK,73722.0,09-12,16.0
ALFALFA     ,CHEROKEE                      ,01-C029,105.0,Cherokee ES                   ,228.0,(580) 596-3277,Ruth Richmond,richmondr@cherokee.k12.ok.us,700 S. Nebraska,Cherokee,OK,73728.0,PK-05,26.0
ALFALFA     ,CHEROKEE                      ,02-I046,510.0,Cherokee MS                   ,89.0,(580) 596-3391,Jeremy Hickman,hickmanj@cherokee.k12.ok.us,PO Box 325,Cherokee,OK,73728.0,06-08,11.0
ALFALFA     ,CHEROKEE                      ,01-C022,705.0,Cherokee HS                   ,105.0,(580) 596-3391,Jeremy Hickman,hickmanj@cherokee.k12.ok.us,412 E. 5Th Street,Cherokee,OK,73728.0,09-12,22.0
ALFALFA     ,TIMBERLAKE                    ,01-I011,105.0,Timberlake ES                 ,203.0,(580) 626-4411,Kale Pierce,kpierce@tlake.k12.ok.us,PO Box 188,Jet,OK,73749.0,PK-08,29.0
ALFALFA     ,TIMBERLAKE                    ,01-C019,705.0,Timberlake HS                 ,73.0,(580) 852-3281,Charlie Berg,cberg@tlake.k12.ok.us,PO Box 287,Helena,OK,73741.0,09-12,16.0
ATOKA       ,HARMONY                       ,01-C032,105.0,Harmony Public School         ,200.0,(580) 889-3687,Brian Walker,bwalker@harmonyps.org,490 South Bentley Road,Atoka,OK,74525.0,PK-08,20.0
ATOKA       ,LANE                          ,03-C022,105.0,Lane Public School            ,257.0,(580) 889-2743,Debra Patton,dpatton@lane.k12.ok.us,601 W. Mcgee Creek Rd,Lane,OK,74555.0,PK-08,22.0
ATOKA       ,STRINGTOWN                    ,03-I007,105.0,Stringtown ES                 ,151.0,(580) 346-7423,Ricky Heard,rheard@stringtownisd.org,PO Box 130,Stringtown,OK,74569.0,PK-08,17.0
ATOKA       ,STRINGTOWN                   ,03-I007,705.0,Stringtown HS                 ,103.0,(580) 346-7741,Tony Potts,tpotts@stringtownisd.org,PO Box 130,Stringtown,OK,74569.0,09-12,10.0
ATOKA       ,ATOKA                         ,03-I015,120.0,Atoka ES                      ,469.0,(580) 889-3553,Kathy Perkins,kperkins@atoka.org,PO Box 720,Atoka,OK,74525.0,PK-05,30.0
ATOKA       ,ATOKA                         ,03-I015,505.0,Mccall MS                     ,192.0,(580) 889-5640,Wesley Burnett,wburnett@atoka.org,PO Box 720,Atoka,OK,74525.0,06-08,25.0
ATOKA       ,ATOKA                         ,01-I011,705.0,Atoka HS                      ,335.0,(580) 889-3361,Ernest Michaelis,emichaelis@atoka.org,PO Box 720,Atoka,OK,74525.0,09-12,30.0
ATOKA       ,TUSHKA                        ,03-I019,105.0,Tushka ES                     ,269.0,(580) 889-7355,Paul Weaver,pweaver@tushka.k12.ok.us,261 W Boggy Depot Road,Atoka,OK,74525.0,PK-08,27.0
ATOKA       ,TUSHKA                        ,03-I019,705.0,Tushka HS                     ,161.0,(580) 889-7355,Charles Graham,jgraham@tushka.k12.ok.us,261 W Boggy Depot Road,Atoka,OK,74525.0,09-12,22.0
ATOKA       ,CANEY                         ,03-I026,105.0,Caney ES                      ,179.0,(580) 889-6966,Lori Boehme,l.boehme@caneyisd.org,PO Box 60,Caney,OK,74533.0,PK-08,24.0
ATOKA       ,CANEY                     d    ,03-I026,705.0,Caney HS                      ,74.0,(580) 889-6607,Matt Brister,m.brister@caneyisd.org,PO Box 60,Caney,OK,74533.0,09-12,12.0
BEAVER      ,BEAVER                        ,01-I030,105.0,Beaver ES                     ,274.0,(580) 625-3444,Read Cates,rcates@beaver.k12.ok.us,PO Box 580,Beaver,OK,73932.0,PK-08,27.0
BEAVER      ,BEAVER                        ,04-I022,705.0,Beaver HS                     ,95.0,(580) 625-3444,Michael Mcvay,coachmcvay@beaver.k12.ok.us,PO Box 580,Beaver,OK,73932.0,09-12,18.0
BEAVER      ,BALKO                         ,04-I075,105.0,Balko ES                      ,118.0,(580) 646-3385,Tammie Heathman,theathman@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931.0,PK-08,22.0
BEAVER      ,BALKO                         ,01-I025,705.0,Balko HS                      ,44.0,(580) 646-3385,Tammie Heathman,theathman@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931.0,09-12,13.0
BEAVER      ,FORGAN                        ,04-I123,105.0,Forgan ES                     ,119.0,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,PO Box 406,Forgan,OK,73938.0,PK-08,19.0
BEAVER      ,FORGAN                        ,04-I123,705.0,Forgan HS                     ,45.0,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,PO Box 406,Forgan,OK,73938.0,09-12,13.0
BEAVER      ,TURPIN                        ,04-I128,105.0,Turpin ES                     ,324.0,(580) 778-3331,Jeff Funk,jfunk@turpinps.org,PO Box 187,Turpin,OK,73950.0,PK-08,35.0
BEAVER      ,TURPIN                        ,04-I128,705.0,Turpin HS                     ,123.0,(580) 778-3333,Gary Wallace,gwallace@turpinps.org,PO Box 187,Turpin,OK,73950.0,09-12,24.0
BECKHAM     ,MERRITT                       ,05-I002,105.0,Merritt ES                    ,628.0,(580) 225-5460,Tawn Rundle,rundlet@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644.0,PK-08,52.0
BECKHAM     ,MERRITT                       ,01-I011,705.0,Merritt HS                    ,161.0,(580) 225-5460,Don Bradshaw,bradshawd@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644.0,09-12,25.0
BECKHAM     ,ELK CITY                      ,05-I006,105.0,Fairview ES                   ,315.0,(580) 225-2590,Pam Joy,joy.pam@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,03-04,23.0
BECKHAM     ,ELK CITY                      ,05-I006,110.0,Pioneer ES                    ,319.0,(580) 225-7722,Amanda Friesen,friesen.amanda@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,PK-KG,24.0
BECKHAM     ,ELK CITY                      ,01-I030,115.0,Grandview 5Th/6Th Grade Ctr   ,328.0,(580) 225-2687,Randy Turney,turney.randy@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,05-06,30.0
BECKHAM     ,ELK CITY                      ,01-C022,120.0,Northeast ES                  ,336.0,(580) 225-0194,Dee Wilhelm,wilhelm.dee@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,01-02,25.0
BECKHAM   v  ,ELK CITY                      ,05-I006,125.0,Opens 2017-18 Early Childhood ,NULL,(580) 225-2229,Cindy Buckmaster,buckmaster.cindy@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,-,0.0
BECKHAM     ,ELK CITY                    j  ,05-I006,610.0,8Th And 9Th Grade Ctr         ,431.0,(580) 225-0476,Tammy Russell,russell.tammy@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,07-09,57.0
BEqCKHAM     ,ELK CITY                     ,05-I006,705.0,Elk City HS                   ,418.0,(580) 225-0105,Jeff Lewallen,lewallen.jeff@elkcityschools.com,222 West Broadway Ave,Elk City,OK,73644.0,10-12,55.0
BECKHAM     ,SAYRE                         ,05-I031,105.0,Sayre ES                      ,394.0,(580) 928-2013,Carmen Holmes,cholmes@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662.0,PK-05,32.0
BECKHAM     ,SAYRE                         ,05-I031,505.0,Sayre MS                      ,160.0,(580) 928-5578,Danny Clifton,dclifton@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662.0,06-08,21.0
BECKHAM     ,SAYRE                        ,05-I031,705.0,Sayre HS                      ,197.0,(580) 928-5576,Danny Crabb,dcrabb@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662.0,09-12,28.0
BECKHAM     ,ERICK                         ,05-I051,105.0,Erick ES                      ,204.0,(580) 526-3203,Kenneth Hill,khill@erickps.k12.ok.us,PO Box 9,Erick,OK,73645.0,PK-08,22.0
BECKHAM     ,ERICK                         ,05-I051,715.0,Erick HS                      ,70.0,(580) 526-3351,Jeff Kelly,jkelly@erickps.k12.ok.us,PO Box 9,Erick,OK,73645.0,09-12,17.0
BLAINE      ,OKEENE                        ,06-I009,105.0,Okeene ES                     ,193.0,(580) 822-3425,Mike Jinkens,mjinkens@okeene.k12.ok.us,PO Box 409,Okeene,OK,73763.0,PK-06,17.0
BLIANE      ,OKEENE                        ,06-I009,615.0,Okeene Jr-Sr HS (Jr)          ,42.0,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,PO Box 409,Okeene,OK,73763.0,07-08,16.0
BLAINE      ,OKEENE                    d    ,06-I009,715.0,Okeene Jr-Sr HS (Sr)          ,94.0,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,PO Box 409,Okeene,OK,73763.0,09-12,20.0
BLAINE      ,WATONGA                       ,06-I042,105.0,Watonga ES                    ,423.0,(580) 623-5248,Jeanne Karns,jkarns@watonga.k12.ok.us,PO Box 640,Watonga,OK,73772.0,PK-05,29.0
BLAINE      ,WATONGA                       ,06-I042,505.0,Watonga MS                    ,156.0,(580) 623-7361,Bryan Pope,bpope@watonga.k12.ok.us,PO Box 310,Watonga,OK,73772.0,06-08,21.0
BLAIN E     ,WATONGA                       ,06-I042,705.0,Watonga HS                    ,192.0,(580) 623-7362,David Lorenz,dlorenz@watonga.k12.ok.us,PO Box 310,Watonga,OK,73772.0,09-12,24.0
BLAINE      ,GEARY                         ,06-I080,105.0,Geary ES                      ,233.0,(405) 884-2442,Melissa Malloy,mmalloy@geary.k12.ok.us,221 S. Galena,Geary,OK,73040.0,PK-05,23.0
BLAINE      ,GEARY                         ,06-I080,500.0,Geary MS                      ,73.0,(405) 884-2289,Jim Shelton,jshelton@geary.k12.ok.us,311 S. Blaine,Geary,OK,73040.0,06-08,20.0
BLAIEN      ,GEARY                        ,06-I080,715.0,Geary HS                      ,99.0,(405) 884-2362,Jim Shelton,jshelton@geary.k12.ok.us,300 S. Blaine,Geary,OK,73040.0,09-12,24.0
BLAINE      ,CANTON                        ,06-I105,105.0,Canton ES                     ,289.0,(580) 886-2251,Shelia Gilchrist,gilchrists@canton.k12.ok.us,PO Box 639,Canton,OK,73724.0,PK-08,37.0
BLAINE      ,CANTON                        ,06-I105,705.0,Canton HS                     ,107.0,(580) 886-2256,Marcus Chapman,chapmanm@canton.k12.ok.us,PO Box 639,Canton,OK,73724.0,09-12,22.0
BRYAN       ,SILO                          ,07-I001,110.0,Silo ES                       ,490.0,(580) 924-7001,Katie Brister,k.brister@siloisd.org,122 West Bourne Street,Durant,OK,74701.0,PK-05,33.0
BRYAN       ,SILO                          ,07-I001,515.0,Silo MS                       ,170.0,(580) 924-7000,Mike Lawless,m.lawless@siloisd.org,122 West Bourne Street,Durant,OK,74701.0,06-08,25.0
BRYANy       ,SILO          k                ,07-I001,705.0,Silo HS                       ,229.0,(580) 924-7000,Jeremy Atwood,j.atwood@siloisd.org,122 West Bourne Street,Durant,OK,74701.0,09-12,26.0
BRYAN       ,ROCK CREEK                    ,07-I002,105.0,Rock Creek ES                 ,323.0,(580) 924-9601,Ryan Cordell,rcordell@rockcreekisd.net,23072 U.S. Highway 70,Durant,OK,74701.0,PK-08,30.0
BRYAN n      ,ROCK CREEK                    ,07-I002,705.0,Rock Creek HS                 ,144.0,(580) 295-3761,John Cartwright,jcartwright@rockcreekisd.net,200 East Steakley Street,Bokchito,OK,74726.0,09-12,21.0
BRYAN       ,ACHILLE                       ,07-I003,105.0,Achille ES                    ,224.0,(580) 283-3002,Dana Beene,dbeene@achilleisd.org,PO Box 280,Achille,OK,74720.0,PK-08,26.0
BRYAN       ,ACHILLE                       ,07-I003,705.0,Achille HS                    ,100.0,(580) 283-3260,Dana Beene,dbeene@achilleisd.org,PO Box 280,Achille,OK,74720.0,09-12,15.0
BRYAN       ,COLBERT                       ,07-I004,105.0,Ward ES East                  ,162.0,(580) 296-2198,Stephanie Carlton,carltons@colbert.k12.ok.us,PO Box 310,Colbert,OK,74733.0,04-06,20.0
BRYAN       ,COLBERT                       ,07-I004,110.0,Ward ES West                  ,351.0,(580) 296-2626,Karen Hedgecock,hedgecockk@colbert.k12.ok.us,PO Box 310,Colbert,OK,74733.0,PK-03,25.0
BYRAN       ,COLBERT                       ,07-I004,505.0,Colbert MS                    ,114.0,(580) 296-2590,Gary Walton,waltong@colbert.k12.ok.us,PO Box 310,Colbert,OK,74733.0,07-08,25.0
BRYNA       ,COLBERT                       ,07-I004,715.0,Colbert HS                    ,205.0,(580) 296-2590,Gary Walton,waltong@colbert.k12.ok.us,PO Box 310,Colbert,OK,74733.0,09-12,31.0
BRYAN       ,CADDO                         ,07-I005,105.0,Caddo ES                      ,339.0,(580) 367-2515,Spencer Phipps,sphipps@caddoisd.org,PO Box 128,Caddo,OK,74729.0,PK-08,36.0
BRYAN       ,CADDO                         ,07-I005,715.0,Caddo HS                      ,147.0,(580) 367-2208,J.T. Busby,jtbusby@caddoisd.org,PO Box 128,Caddo,OK,74729.0,09-12,23.0
BRYAN       ,BENNINGTON                    ,07-I040,105.0,Bennington ES                 ,219.0,(580) 847-2310,Scot Mccorstin,smccorstin@benningtonisd.org,729 North Perry Street,Bennington,OK,74723.0,PK-08,24.0
BRYAN       ,BENNINGTON                    ,07-I040,705.0,Bennington HS                 ,79.0,(580) 847-2310,Jon Shepard,jshepard@benningtonisd.org,729 North Perry Street,Bennington,OK,74723.0,09-12,16.0
BRYAN       ,CALERA                        ,07-I048,105.0,Calera ES                     ,526.0,(580) 434-5603,Steve Evans,sevans@caleraisd.k12.ok.us,PO Box 386,Calera,OK,74730.0,PK-08,37.0
BRYAN       ,CALERA                        ,07-I048,705.0,Calera HS                     ,195.0,(580) 434-5158,Kevin Robinson,krobinson1@caleraisd.k12.ok.us,PO Box 386,Calera,OK,74730.0,09-12,23.0
BRYAN       ,DURANT                        ,07-I072,105.0,Washington Irving ES          ,610.0,(580) 924-3805,Lisa Whitley,lisa.whitley@durantisd.org,812 West Locust Street,Durant,OK,74701.0,PK-03,38.0
BRYAN       ,DURANT                        ,07-I072,110.0,Robert E. Lee ES              ,270.0,(580) 924-3628,Jan Chaffin,jan.chaffin@durantisd.org,824 West Louisiana Street,Durant,OK,74701.0,PK-03,17.0
BRYAN       ,DURANT                        ,07-I072,115.0,Northwest Heights ES          ,632.0,(580) 924-5595,Valerie Crabtree,valerie.crabtree@durantisd.org,1715 W University Blvd,Durant,OK,74701.0,PK-03,39.0
BRYAN       ,DURANT                        ,07-I072,125.0,Durant Intermediate ES        ,748.0,(580) 924-1397,Aaron Mccoy,aaron.mccoy@durantisd.org,1314 Waco Street,Durant,OK,74701.0,04-06,57.0
BRYAN       ,DURANT                        ,07-I072,500.0,Durant MS                     ,517.0,(580) 924-1321,Kenny Chaffin,kenny.chaffin@durantisd.org,802 West Walnut Street,Durant,OK,74701.0,07-08,39.0
BRYAN       ,DURANT                        ,07-I072,705.0,Durant HS                     ,918.0,(580) 924-4424,Cheryl Conditt,cheryl.conditt@durantisd.org,950 Gerlach Drive,Durant,OK,74701.0,09-12,75.0
CADDO       ,HYDRO-EAKLY                   ,08-I011,105.0,Hydro-Eakly ES                ,239.0,(405) 663-2619,Jeremy Tharp,jtharp@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048.0,PK-05,22.0
CADDO       ,HYDRO-EAKLY                   ,08-I011,505.0,Hydro-Eakly MS                ,96.0,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048.0,06-08,19.0
CADDO       ,HYDRO-EAKLY                   ,08-I011,715.0,Hydro-Eakly HS                ,118.0,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048.0,09-12,20.0
CADDO       ,LOOKEBA SICKLES               ,08-I012,105.0,Lookeba-Sickles ES            ,179.0,(405) 457-6300,Mike Davis,mdavis@lookeba.k12.ok.us,307 West Sickles Ave.,Lookeba,OK,73053.0,PK-08,18.0
CADDO       ,LOOKEBA SICKLES               ,08-I012,705.0,Lookeba-Sickles HS            ,86.0,(405) 457-6621,Chuck Karpe,ckarpe@lookeba.k12.ok.us,10108 Cr 1150,Lookeba,OK,73053.0,09-12,11.0
CADDO       ,ANADARKO                      ,08-I020,105.0,Anadarko East ES              ,290.0,(405) 247-2496,Danny Harris,dharris@apswarriors.com,107 Southeast Fifth Street,Anadarko,OK,73005.0,02-03,24.0
CADDO       ,ANADARKO                      ,08-I020,115.0,Sunset ES                     ,316.0,(405) 247-2503,Lyn Grubb,lgrubb@apswarriors.com,508 Southwest Seventh Street,Anadarko,OK,73005.0,KG-01,25.0
CADDO       ,ANADARKO                      ,08-I020,120.0,Mission ES                    ,394.0,(405) 247-6607,Jeff Barrett,jbarrett@apswarriors.com,1200 South Mission Street,Anadarko,OK,73005.0,PK-05,30.0
CADDO       ,ANADARKO                      ,08-I020,510.0,Anadarko MS                   ,411.0,(405) 247-6671,Doug Hall,dhall@apswarriors.com,900 West College Street,Anadarko,KO,73005.0,06-08,55.0
CADDO       ,ANADARKO                      ,08-I020,705.0,Anadarko HS                   ,471.0,(405) 247-2486,Mike Sparks,msparks@apswarriors.com,1400 Warrior Drive,Anadarko,KO,73005.0,09-12,60.0
CADDO       ,CARNEGIE                      ,08-I033,105.0,Carnegie ES                   ,300.0,(580) 654-1945,Lori Graham,lgraham@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015.0,PK-05,22.0
CADDO       ,CARNEGIE                      ,08-I033,510.0,Carnegie MS                   ,125.0,(580) 654-1766,Jane Nix,jnix@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015.0,06-08,21.0
CADDO       ,CARNEGIE                      ,08-I033,705.0,Carnegie HS                   ,146.0,(580) 654-1266,Jerry Hulme,jhulme@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015.0,09-12,23.0
CADDO       ,BOONE-APACHE                  ,08-I056,105.0,Apache ES                     ,270.0,(580) 588-3577,Jayne Ivy,jivy@apache.k12.ok.us,PO Box 354,Apache,OK,73006.0,PK-05,20.0
CADDO       ,BOONE-APACHE                  ,08-I056,505.0,Apache MS                     ,139.0,(580) 588-2122,Todd Vail,tvail@apache.k12.ok.us,PO Box 354,Apache,OK,73006.0,06-08,22.0
CADDO       ,BOONE-APACHE                  ,08-I056,705.0,Apache HS                     ,167.0,(580) 588-3358,Todd Vail,tvail@apache.k12.ok.us,PO Box 354,Apache,zOK,73006.0,09-12,23.0
CADDO       ,CYRIL                         ,08-I064,105.0,Cyril ES                      ,243.0,(580) 464-2437,Tammy Cocheran,tcocheran@cyrilschools.org,PO Box 449,Cyril,OK,73029.0,PK-06,20.0
CADDO       ,CYRIL                         ,08-I064,610.0,Cyril JHS                     ,45.0,(580) 464-2272,Timothy Persinger,tpersinger@cyrilschools.org,PO Box 449,Cyril,OK,73029.0,07-08,9.0
CADDO       ,CYRIL                         ,08-I064,715.0,Cyril HS                      ,97.0,(580) 464-2272,Tim Persinger,tpersinger@cyrilschools.org,PO Box 449,Cyril,OK,73029.0,09-12,16.0
CADDO       ,GRACEMONT                     ,08-I086,105.0,Gracemont ES                  ,108.0,(405) 966-2551,Roberta Fullbright,rfullbright@gracemont.k12.ok.us,PO Box 5,Gracemont,OK,73042.0,PK-08,18.0
CADDO       ,GRACEMONT                     ,08-I086,705.0,Gracemont HS                  ,32.0,(405) 966-2233,Mike Jones,mjones@gracemont.k12.ok.us,PO Box 5,Gracemont,OK,73042.0,09-12,12.0
CADDO       ,CEMENT                        ,08-I160,105.0,Cement ES                     ,190.0,(405) 489-3217,Brad Mcneil,bmcneil@cement.k12.ok.us,PO Box 60,Cement,OK,73017.0,PK-08,16.0
CADDO       ,CEMENT                        ,08-I160,715.0,Cement HS                     ,65.0,(405) 489-3218,Brad Mcneil,bmcneil@cement.k12.ok.us,PO Box 60,Cement,OK,73017.0,09-12,10.0
CADDO       ,HINTON                        ,08-I161,105.0,Hinton ES                     ,405.0,(405) 542-3295,Marcy Derryberry,marcy.derryberry@hintonschools.org,PO Box 1036,Hinton,OK,73047.0,PK-05,33.0
CADDO       ,HINTON                        ,08-I161,610.0,Hinton MS                     ,148.0,(405) 542-3235,Rennie Nickell,rennie.nickell@hintonschools.org,PO Box 1036,Hinton,OK,73047.0,06-08,25.0
CADDO       ,HINTON                        ,08-I161,705.0,Hinton HS                     ,162.0,(405) 542-3235,Rennie Nickell,rennie.nickell@hintonschools.org,PO Box 1036,Hinton,OK,73047.0,09-12,28.0
CADDO       ,FORT COBB-BROXTON             ,08-I167,105.0,Fort Cobb-Broxton Lower ES    ,169.0,(405) 643-2334,James Biddy,jbiddy@fcbmustangs.com,PO Box 130,Fort Cobb,OK,73038.0,PK-05,18.0
CADDO       ,FORT COBB-BROXTON             ,08-I167,505.0,Fort Cobb-Broxton MS          ,73.0,(405) 643-2820,James Biddy,jbiddy@fcbmustangs.com,PO Box 130,Fort Cobb,OK,73038.0,06-08,19.0
CADDO       ,FORT COBB-BROXTON             ,08-I167,705.0,Fort Cobb-Broxton HS          ,102.0,(405) 643-2820,Kyle Lierle,klierle@fcbmustangs.com,PO Box 130,Fort Cobb,OK,73038.0,09-12,15.0
CADDO       ,BINGER-ONEY                   ,08-I168,105.0,Binger-Oney ES                ,257.0,(405) 656-2304,Lisa King,lking@binger-oney.k12.ok.us,PO Box 280,Binger,OK,73009.0,PK-08,28.0
CADDO       ,BINGER-ONEY                   ,08-I168,705.0,Binger-Oney HS                ,110.0,(405) 656-2304,Kevin Brown,kbrown@binger-oney.k12.ok.us,PO Box 280,Binger,OK,73009.0,09-12,17.0
CANADIAN    ,RIVERSIDE                     ,09-C029,105.0,Riverside Public School       ,173.0,(405) 262-2907,David Garner,dgarner@riverside.k12.ok.us,4800 East Foreman Street,El Reno,OK,73036.0,PK-08,12.0
CANADIAN    ,BANNER                        ,09-C031,105.0,Banner Public School          ,204.0,(405) 262-0598,Larry York,ljyork68@banner.k12.ok.us,2455 North Banner Road,El Reno,OK,73036.0,PK-08,14.0
CANADIAN    ,DARLINGTON                    ,09-C070,105.0,Darlington Public School      ,238.0,(405) 262-0137,Cheryl Garrison,cgarrison@darlington.k12.ok.us,4408 North Highway 81,El Reno,OK,73036.0,PK-08,14.0
CANADIAN    ,MAPLE                         ,09-C162,105.0,Maple Public School           ,145.0,(405) 262-5647,Shana Thiel,sthiel@maple.k12.ok.us,904 South Maple Road,Calumet,OK,73014.0,PK-08,17.0
CANADIAN    ,PIEDMONT                      ,09-I022,105.0,Piedmont ES                   ,469.0,(405) 373-2353,Christy Von Tungeln,christy.vontungeln@piedmontschools.org,1011 Piedmont Road North,Piedmont,OK,73078.0,KG-04,36.0
CANADIAN    ,PIEDMONT                      ,09-I022,110.0,Piedmont Primary ES           ,228.0,(405) 373-4848,Debbie Caywood,debbie.caywood@piedmontschools.org,615 Edmond Road Northwest,Piedmont,OK,73078.0,PK-PK,16.0
CANADIAN    ,PIEDMONT                      ,09-I022,115.0,Stone Ridge ES                ,503.0,(405) 373-4227,Margaret Mcnair Dale,margaret.dale@piedmontschools.org,10000 West Memorial Road,Yukon,OK,73099.0,PK-04,35.0
CANADIAN    ,PIEDMONT                      ,09-I022,120.0,Northwood ES                  ,465.0,(405) 373-5151,Lisa Campbell,lisa.campbell@piedmontschools.org,14100 Northwood Drive,Piedmont,OK,73078.0,KG-04,39.0
