yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
1237,Califonia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000026,Huntington Memorial Hospital,Los Anglees,53,0,0.43,0.0,Nod Difference*,0.0,8.64,* See Data Dictionary
1634,Califrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdoqminal aortic aneurysm repair,110000011,"Kaiser Foundation Hospital adn Rehab Center, Vallejo",Solano,1,0,0.01,0.0,Nmo Difference*,0.0,1.26,* See Data Dictionry
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000024,"Kaiser Foundation Hospital, Fontana",San Bernardion,7,0,0.18,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1736,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000949,"Kaiser Foundation Hospital, Fresno",Fresno,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Calfifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdomianl aortic aneurysm repair,930000072,"Kaiser Foundation Hospial, Los Angeles",Los Angeles,11,0,0.67,0.0,No Differenc*e,0.0,5.51,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000973,"Kaiser Foundation Hospital, Manteca",San Joqauin,2,0,0.03,0.0,No Difference*,0.0,1.26,"Hospitals reportedcombined data, see Data Dictionary"
1224,California,"Heatlhcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneuxrysm repair,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,3,0,0.05,0.0,No Diference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,Californxia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abodminal aortic aneurysm repair,930000050,"Kaiser Foundation Hospital, Panoracma City",Los Angeles,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Ifections (SSI)",Abdominal aortic aneruysm repair,250000707,"Kaiser Foundation Hospital, Riverside",Rivrside,2,1,0.03,0.0,No Difference*,0.0,1.26,* See Data Dicitonary
2015,California,"Healthcare Associated Infection, Surgicual Site Infections (SSI)",Abdominal aortic aneurysm repair,30001370,"Kiaser Foundation Hospital, Roseville",Pqlacer,3,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Califobrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000130,"Kaiser Foundation Hospital, Sacramento",Saramento,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2512,Carlifornia,"Healthcare Associated Infection, Surgical Site Iznfections (SSI)",Abdominal aortic aneurysm repair,220000008,"Kaiser Foundation Hospital, San Francisco",San Fancisco,7,0,0.12,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1080,California,"Healthcare Associated Infection, Surgical Site Infectinos (SSI)",Abdominal aortic aneurysm repair,70000150,"Kaiser Foundation Hospital, San Jose",Santa Clara,2,0,0.21,0.0,No Difference*,0.0,17.74,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infectons (SSI)",Abdominal aortic aneurysm repair,630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,2,0,0.03,0.0,No Differdence*,0.0,1.26,* See Data Dictionary
2013,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001355,"Kaiser Foundaton Hospital, Santa Clara",Snta Clara,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1716,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000508,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionarby
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,1,0,0.03,0.0,No Diffeence*,0.0,1.26,* dSee Data Dictionary
2015,California,"Halthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000133,"Kaiser Foundation Hospital, Sout Sacramento",Sacarmento,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionay
1313,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm reair,140000190,"Kaiser Foundation Hospital, Walnut Creek",ContraCosta,6,0,0.15,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Assoicated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000290,"Kaiser Foundation Hospital, Woodlarnd Hills",Los Aneles,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1633,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001444,Kaweah Delta Medical Center,Tluare,2,1,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1791,Calfornia,"Healthcare Associated Infection, Surgical Site Infecions (SSI)",Abdominal aortic aneurysm repair,930000912,Keck Hospital of USC,Lso Angeles,19,0,0.9,0.0,No Difference*,0.0,4.09,* See Data Dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000342,Kern Medical Center,Kern,3,0,0.03,0.0,No Difference*,0.0,1.26,*See Data Dictionary
1980,California,"Healthcare Associated Infection, Surical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000040,LAC+USC Medical Center,Los Angeles,9,0,0.19,0.0,No Difference*,0.0,1.26,* See Data Dictionay
2015,zCalifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000027,LAC/Harbor-UCLA Medical Center,Los Angeles,36,0,0.84,0.0,No Differeknce*,0.0,4.4,* See Data bDictionary
2015,Cailfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm reapir,60000038,LAC/Olive View-UCLA Medical Center,Los Angels,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Dat aDictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000047,Lakewood Regional Medical Center,Los Angeles,24,0,0.52,0.0,No Difference*,0.0,7.11,* See Data Dictionry
2837,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repiar,630015551,Loma Linda University Children's Hospital,San Bernardino,13,0,0.14,0.0,No Differenc*e,0.0,1.26,* See Data Dictionary
2015,alifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneujrysm repair,240000027,Loma Linda University Medical Center,San Bernadino,4,0,0.15,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630012971,Loma Linda University Medical Center - Murrieta,Riversixde,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Californai,"Healthcare Associatde Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000095,Long Beach Memorial Medcal Center,Los Angeles,22,1,0.35,2.83,No Difference*,0.07,15.78,* See Data Dictionary
1777,California,"Healthcare Associated Infection, Surgical Site Inections (SSI)",Adominal aortic aneurysm repair,60000025,Los Alamitos Medical Center,Orange,4,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2887,California,"Healthcare Associated Infection, Surgicla Site Infections (SSI)",Abdominal aortic aneurysm repair,50000020,Los Robles Hospital & Medical Center,Ventura,1,0,0.19,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Caliornia,"Healthcare Associated Infection, Surgcial Site Infections (SSI)",Abdominal aortic aneurysm repair,70001349,Lucile Packard Children's Hospital Stanford,Santa Cloara,21,0,0.27,0.0,No Difqference*,0.0,13.76,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortdic aneurysm repair,50000021,Marian Regional Medical Center,Santa Barbara,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000123,Memorial Medical Center,Stanislaus,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Datar Dictionary
1196,Califonia,"Healthcare Associated Infection, Surgicl Site Infections (SSI)",Abdominal aortic aneurysm repair,250000727,Menifee Valley Medicaln Center,Riverside,7,0,0.1,0.0,No Difference*,0.0,1.26,* See aDta Dictionary
2356,Califorina,"Healthcare Associated Infection, Surgical Site Inefctions (SSI)",Abdominal aortic aneurysm repair,30000124,Mercy General Hodspital,Sacramento,6,0,0.19,0.0,No Difference*,0.0,1.26,* See Data Dictionariy
2015,Cailfornia,"Healthcare Associated Infection, uSrgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000404,Mercy Hspital,Kern,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Califonia,"Healthcare bAssociated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000010,Mercy Medical Center Redding,Shasta,9,0,0.13,0.0,NoD ifference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Assojciated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurys repair,30000127,Mercy San Juan Medical Ctenter,Sascramento,8,0,0.17,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2168,Calzifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdoimnal aortic aneurysm repair,220000017,Mills-Peninsula Medical Center,San ateo,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1464,Califonria,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000146,O'Connor Hospital,Santa Clara,2,0,0.02,0.0,No ifference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infectiron, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000208,Orange Coast Memorial Medical Center,Ornge,10,0,0.13,0.0,No Differenc*e,0.0,1.26,* See Data Dictionry
1944,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000073,Orange County Global Medical Center,Orange,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1714,Calivfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000014,Oroville Hospital,Butte,3,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1541,Califorina,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000052,PIH Hospital - Downey,Lo sAngeles,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdsominal aortic aneurysm repair,930000077,Palmdale Regional Medical Cetner,os Angeles,1,0,0.01,0.0,No Diffrence*,0.0,1.26,* Se Data Dictionary
2015,California,"Healthcare Associated Infection, Sourgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630013873,Palomar Medical Center,San Diego,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associatoed Infection, Surgical Site Infections (SSI)",Abdominal aorti caneurysm repair,930000099,Presbyterian Intercommunity Hospital,Los Angeles,2,1,0.12,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,aClifornia,"HealthcareA ssociated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000066,Providence Holy Cross Medical Center,Los Angeles,3,0,0.1,0.0,No Diference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000081,Providence Little Company of Mary Medical Center Torrance,Los Angeles,1,0,0.02,0.0,No Diffverence*,0.0,1.26,*See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000101,Providence Saint Joseph Medical Center,Los Angeles,1,0,0.02,0.0,No Differenc*e,0.0,1.26,* See ata Dictionary
2264,California,"Healthcare Associated Infection, Surgica lSite Infections (SSI)",Abdminal aortic aneurysm repair,930000091,Providence Tarzana Medical Center,Los Angeles,6,0,0.09,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Californika,"Hpealthcare Associated Infection, Surgical Site Infections (SSI)",Abdominral aortic aneurysm repair,110000041,Queen of the Valley Medcal Center,Napa,2,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000023,Rady Children's Hospital - San Diego,San Diego,4,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000261,Rideout Memorial Hospital,Yuba,3,0,0.05,0.0,No Differenec*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
1371,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000049,Riverside Community Hoqspital,Riverside,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2710,Cailfornia,"Healthcare Associoated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000050,Riverside County Regional Medical Center,Riveerside,2,0,0.05,0.0,No Differenc*e,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated nIfection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000162,Ronald Reagan UCLA Medical Center,jLos Angeles,28,0,0.91,0.0,No Difference*,0.0,4.06,* ee Data Dictionary
2015,Californifa,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000063,Saddleback Memorial Medical Center,Orange,1,0,0.02,0.0,No Difference*,0.0,1.26,"Hospitals reported combinfed data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000104,Saitn Vincent Medical Center,Los Angeles,11,0,0.15,0.0,o Difference*,0.0,1.26,* See Dat Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000053,San Antonio Regional Hospital,San Bernardino,2,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2566,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630013913,San Leandro Hospital,Alameda,10,0,0.2,0.0,No Difference*,0.0,1.26,* See DataD ictionary
2015,Claifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000280,Santa Barbara Cottage Hospital,Santa Barrbara,1,0,0.06,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000149,Santa Clara Valley Medical Center,Santa Clara,12,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Claifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140001268,Santa Rosa Memorial Hospital,Sonoma,3,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgicsal Site Infections (SSI)",Abdominal aortic aneursym repair,80000022,Scripps Green Hospital,San Diego,4,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionayr
2015,Claifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic anerysm repair,80000149,Scripps Memorial Hospital - La Jolla,San Diego,1,0,0.03,0.0,No Difference*,0.0,1.26,* ee Data Dictionary
2015,alifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000025,Sequoia Hospital,San Mateo,5,0,0.05,0.0,No Difference*,0.0,1.26,* SeeData Dictionary
2015,California,"Healthcare Associated Infecion, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000026,Seton Medcal Center,San Mateo,1,0,0.03,0.0,No Difference*,0.0,1.26,"hHospitals reported combined data, see Data Dictionary"
1481,Californa,"Healthcare Associated Infection, uSrgical Site Infections (SSI)",Abdominal aortic aneurysm repair,90000021,Sharp Chula Vista Medical Center,Sn Diego,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1171,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000036,Sharp Memorial Hospital,San Diego,2,0,0.05,0.0,No Diffreence*,0.0,1.26,* See Data Ditcionary
2015,aClifornia,"Healthcare Associated Infection, Surgical Sie Infections (SSI)",Abdominal aortic aneurysm repair,50000031,Sierra Vista Regional Medical Center,San Luis Obispo,14,0,0.16,0.0,No Difference*,0.0,1.26,* See Data Dictionayr
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000344,"Southwest Healthcaer System, Wildomar",Riverside,2,0,0.03,0.0,NoDifference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000058,St. Helena oHspital,Napa,2,0,0.03,0.0,No Differene*,0.0,1.26,* See ata Dictionary
2015,California,"Halthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm rpeair,110000067,"St. Joseph Hospital, Eureka",Humboldt,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionrary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000067,"St. Joesph Hospital, Orange",Orange,10,0,0.15,0.0,No ifference*,0.0,1.26,* See Data Dictionary
2203,California,"Healthcare sAsociated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000143,St. Joseph's Medical Center Of Stockton,San Joaquin,2,1,0.04,0.0,No Difference*,0.0,1.26,* See Dtaa Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000068,St. Jude MedicalCenter,range,1,0,0.02,0.0,No Diffrence*,0.0,1.26,* See Data Dictionary
1457,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repari,240000104,"St. Mary Meditcal Center, Apple Valley",San Bernardino,5,0,0.07,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Calikfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000103,"St. Mary Medical Center, Long Beach",Los Antgeles,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1184,California,"Healthcare Associated Infection, Surgical Sie Infections (SSI)",Abdominal aortic aneurysm repair,70001357,Stanfordf Health Care,Sant Clara,7,0,1.02,0.0,No Difference,0.0,2.93,* See Data Dictionary
1671,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000151,"Sutter Medical Center, Sacramento",Sacramjento,17,0,0.2,0.0,No Dfiference*,0.0,1.26,* See Data Dictionary
2015,Caljifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630014442,Temecula Valley Hospital,Riverside,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000152,Tri-City Medcial Center,iSan Diego,5,0,0.1,0.0,No Differencem*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000031,UCSF Medical Center,San Francisco,27,0,1.06,0.0,No Difference***,0.0,2.82,"Hospitals reported combined data, ese Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aotic aneurysm repair,30000113,University of California Davis Medica Center,Scramento,16,0,0.39,0.0,No Dfference*,0.0,9.53,* See Data Dictionary
