year,state,hai,operative_procedure,facility_id_one,facility_name_one,county,procedure_count,infection_count,predicted_infection_count,sir,comparison,sirci_nine_five_lower_limit,sirci_nine_five_upper_limit,notes
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000196,John Muir Medical Center-Concord Campus,Contra Costa,5,0,0.21,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,3,0,0.056,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000074,"Kaiser Foundation Hospital, Downey",Los Angeles,1,0,0.026,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000024,"Kaiser Foundation Hospital, Fontana",San Bernardino,3,0,0.039,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,10,0,0.422,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630013929,"Kaiser Foundation Hospital, Orange County, Anaheim",Orange,3,0,0.05,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000707,"Kaiser Foundation Hospital, Riverside",Riverside,2,0,0.04,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30001370,"Kaiser Foundation Hospital, Roseville",Placer,5,0,0.067,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000130,"Kaiser Foundation Hospital, Sacramento",Sacramento,6,0,0.082,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000144,"Kaiser Foundation Hospital, San Diego",San Diego,4,0,0.066,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000008,"Kaiser Foundation Hospital, San Francisco",San Francisco,10,0,0.258,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000150,"Kaiser Foundation Hospital, San Jose",Santa Clara,1,0,0.025,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001355,"Kaiser Foundation Hospital, Santa Clara",Santa Clara,3,0,0.158,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000508,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,4,0,0.045,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,1,0,0.018,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000133,"Kaiser Foundation Hospital, South Sacramento",Sacramento,6,0,0.089,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,3,1,0.106,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000076,"Kaiser Foundation Hospital, West LA",Los Angeles,1,0,0.016,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000290,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,2,0,0.03,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000912,Keck Hospital of USC,Los Angeles,22,0,1.031,0.0,No Difference,0.0,2.91,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000342,Kern Medical Center,Kern,2,0,0.016,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000027,LAC/Harbor-UCLA Medical Center,Los Angeles,22,0,0.545,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000047,Lakewood Regional Medical Center,Los Angeles,7,0,0.163,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000027,Loma Linda University Medical Center,San Bernardino,8,0,0.617,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630012971,Loma Linda University Medical Center - Murrieta,Riverside,18,0,0.249,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000095,Long Beach Memorial Medical Center,Los Angeles,22,0,0.261,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000025,Los Alamitos Medical Center,Orange,1,0,0.013,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000038,Los Angeles County Olive View-UCLA Medical Center,Los Angeles,2,0,0.051,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000020,Los Robles Hospital & Medical Center,Ventura,3,0,0.038,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001349,Lucile Salter Packard Children's Hospital at Stanford,Santa Clara,16,0,0.325,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000953,Marin General Hospital,Marin,6,0,0.052,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000123,Memorial Medical Center,Stanislaus,4,0,0.085,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000727,Menifee Valley Medical Center,Riverside,4,0,0.038,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000124,Mercy General Hospital,Sacramento,14,0,0.791,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000404,Mercy Hospital,Kern,1,0,0.022,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000010,Mercy Medical Center Redding,Shasta,8,0,0.103,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000127,Mercy San Juan Medical Center,Sacramento,10,0,0.276,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000701,Mercy Southwest Hospital,Kern,1,0,0.043,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000017,Mills-Peninsula Medical Center,San Mateo,7,0,0.556,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000111,Northridge Hospital Medical Center,Los Angeles,1,0,0.014,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000146,O'Connor Hospital,Santa Clara,4,0,0.048,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000208,Orange Coast Memorial Medical Center,Orange,2,0,0.041,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000052,PIH Hospital - Downey,Los Angeles,1,0,0.011,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000077,Palmdale Regional Medical Center,Los Angeles,1,0,0.009,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630013873,Palomar Medical Center,San Diego,2,0,0.038,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000123,Pomona Valley Hospital Medical Center,Los Angeles,2,0,0.022,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000099,Presbyterian Intercommunity Hospital,Los Angeles,2,0,0.041,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000066,Providence Holy Cross Medical Center,Los Angeles,2,0,0.058,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000081,Providence Little Company of Mary Medical Center Torrance,Los Angeles,1,0,0.014,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000100,Providence Saint John's Health Center,Los Angeles,1,0,0.017,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000101,Providence Saint Joseph Medical Center,Los Angeles,3,1,0.05,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000091,Providence Tarzana Medical Center,Los Angeles,10,0,0.132,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000023,Rady Children's Hospital - San Diego,San Diego,4,0,0.046,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000133,Regional Medical Center of San Jose,Santa Clara,4,0,0.067,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000261,Rideout Memorial Hospital,Sutter,2,0,0.029,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000049,Riverside Community Hospital,Riverside,1,0,0.027,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000050,Riverside County Regional Medical Center,Riverside,6,0,0.086,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000162,Ronald Reagan UCLA Medical Center,Los Angeles,28,0,1.157,0.0,No Difference,0.0,2.59,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000063,Saddleback Memorial Medical Center,Orange,2,0,0.032,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000126,Saint Agnes Medical Center,Fresno,2,0,0.035,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000128,Saint Francis Medical Center,Los Angeles,1,0,0.01,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000104,Saint Vincent Medical Center,Los Angeles,15,0,0.207,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000147,Salinas Valley Memorial Hospital,Monterey,1,0,0.014,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000053,San Antonio Community Hospital,San Bernardino,5,0,0.171,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000019,San Francisco General Hospital,San Francisco,2,0,0.031,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000411,San Joaquin Community Hospital,Kern,2,0,0.025,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630013913,San Leandro Hospital,Alameda,12,0,0.132,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000280,Santa Barbara Cottage Hospital,Santa Barbara,4,0,0.089,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000149,Santa Clara Valley Medical Center,Santa Clara,1,0,0.049,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140001268,Santa Rosa Memorial Hospital,Sonoma,2,0,0.021,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000022,Scripps Green Hospital,San Diego,1,0,0.019,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000150,Scripps Memorial Hospital - Encinitas,San Diego,1,0,0.009,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000149,Scripps Memorial Hospital - La Jolla,San Diego,3,0,0.051,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,90000025,Scripps Mercy Hospital,San Diego,5,0,0.215,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000025,Sequoia Hospital,San Mateo,4,0,0.044,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000026,Seton Medical Center,San Mateo,1,0,0.014,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000036,Sharp Memorial Hospital,San Diego,3,0,0.179,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000031,Sierra Vista Regional Medical Center,San Luis Obispo,10,0,0.1,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000035,St Johns Regional Medical Center,Ventura,2,0,0.058,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000067,St Joseph Hospital,Orange,2,0,0.024,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000058,St. Helena Hospital,Napa,1,0,0.012,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000067,St. Joseph Hospital,Humboldt,1,0,0.015,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000143,St. Joseph's Medical Center Of Stockton,San Joaquin,4,1,0.098,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000068,St. Jude Medical Center,Orange,4,0,0.072,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000104,"St. Mary Medical Center, Apple Valley",San Bernardino,1,0,0.013,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000103,"St. Mary Medical Center, Long Beach",Los Angeles,1,0,0.012,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001357,Stanford Hospital,Santa Clara,22,0,1.208,0.0,No Difference,0.0,2.48,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000151,Sutter General Hospital,Sacramento,25,0,0.312,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,630014442,Temecula Valley Hospital,Riverside,2,1,0.021,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000152,Tri-City Medical Center,San Diego,3,0,0.071,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000031,UCSF Medical Center,San Francisco,31,0,0.795,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000113,University of California Davis Medical Center,Sacramento,15,1,0.504,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000071,University of California Irvine Medical Center,Orange,4,0,0.141,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,90000154,"University of California, San Diego Medical Center",San Diego,6,0,0.256,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000039,Ventura County Medical Center,Ventura,1,0,0.011,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000054,Victor Valley Global Medical Center,San Bernardino,1,0,0.02,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000028,West Hills Hospital & Medical Center,Los Angeles,1,0,0.011,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000073,Western Medical Center Santa Ana,Orange,2,0,0.013,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000151,Whittier Hospital Medical Center,Los Angeles,1,0,0.011,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,60000002,AHMC Anaheim Regional Medical Center,Orange,86,0,0.545,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,630012960,Adventist Medical Center,Kings,44,0,0.325,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,40000124,Adventist Medical Center - Reedley,Fresno,13,0,0.102,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,40000122,Adventist Medical Center - Selma,Fresno,16,0,0.103,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,140000011,Alameda Hospital,Alameda,22,0,0.128,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000005,Alhambra Hospital Medical Center,Los Angeles,13,0,0.085,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,140000425,Alta Bates Summit Medical Center,Alameda,97,1,0.951,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,140000012,Alta Bates Summit Medical Center-Alta Bates Campus,Alameda,148,3,1.473,2.037,No Difference,0.52,5.54,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,90000013,Alvarado Hospital Medical Center,San Diego,7,0,0.062,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000008,Antelope Valley Hospital,Los Angeles,177,1,1.56,0.641,No Difference,0.03,3.16,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,240000100,Arrowhead Regional Medical Center,San Bernardino,155,2,1.713,1.168,No Difference,0.2,3.86,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,120000338,Bakersfield Memorial Hospital,Kern,114,1,0.964,1.037,No Difference*,0.03,5.78,* See Data Dictionary
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,230000008,Banner Lassen Medical Center,Lassen,9,0,0.069,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,240000001,Barstow Community Hospital,San Bernardino,12,0,0.107,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,30000114,Barton Memorial Hospital,El Dorado,26,0,0.187,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000012,Beverly Hospital,Los Angeles,62,0,0.503,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000002,California Hospital Medical Center - Los Angeles,Los Angeles,149,0,1.093,0.0,No Difference,0.0,2.74,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,220000023,California Pacific Medical Center - Davies Campus Hospital,San Francisco,2,0,0.027,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,220000022,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,103,0,0.807,0.0,No Difference*,0.0,4.57,* See Data Dictionary
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,220000002,California Pacific Medical Center  California West Campus Hospital,San Francisco,109,0,0.563,0.0,No Difference*,0.0,6.55,* See Data Dictionary
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,220000018,California Pacific Medical Center  St. Lukes Campus Hospital,San Francisco,13,0,0.083,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000004,Cedars-Sinai Medical Center,Los Angeles,364,2,2.148,0.931,No Difference,0.16,3.08,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000022,Centinela Hospital Medical Center,Los Angeles,19,0,0.17,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,60000006,Chapman Medical Center,Orange,3,0,0.01,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,220000003,Chinese Hospital,San Francisco,13,0,0.08,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,240000003,Chino Valley Medical Center,San Bernardino,3,0,0.025,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000070,Citrus Valley Medical Center - IC Campus,Los Angeles,154,1,0.879,1.138,No Difference*,0.03,6.34,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,930000036,City of Hope Helford Clinical Research Hospital,Los Angeles,153,0,2.792,0.0,No Difference,0.0,1.07,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal hysterectomy,40000095,Clovis Community Medical Center,Fresno,411,0,2.842,0.0,No Difference,0.0,1.05,
