License_No,License_Type,Issue_Date,License_Status,Expire_date,Legal_Name,Street1,Street2,City,State,Zip,County_Code
02161131,Cig/OTP Retail,6/21/2016,Issued,2/28/2017,JOSEPH NISTICO,552 THIRD ST                                                ,                                        ,CLAIRTON                                ,PA ,15025     ,02                                      
70159099,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4900 LIBRARY RD                                             ,                                        ,BETHEL PARK                             ,PA ,15102-2810,02                                      
02023092,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,LARRYS HOTEL,3401 WALNUT ST                                              ,                                        ,MCKEESPORT                              ,PA ,15132     ,02                                      
70167284,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,3457 WILLIAM PENN HIGHWAY                                   ,                                        ,PITTSBURGH                              ,PA ,15235     ,02                                      
70167286,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,3025 BABCOCK BLVD                                           ,                                        ,PITTSBURGH                              ,PA ,15237     ,02                                      
70167295,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,1910 MT NEBO ROAD                                           ,                                        ,SEWICKLEY                               ,PA ,15143     ,02                                      
70167299,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,4599 LIBRARY ROAD                                           ,                                        ,BETHEL PARK                             ,PA ,15102     ,02                                      
02267745,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,RONNIE WARREN JR,7289 MT CARMEL RD                                           ,                                        ,PENN HILLS                              ,PA ,15235     ,02                                      
02267815,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,PERRY MARKET LLC,2601 PERRYSVILLE AVENUE                                     ,                                        ,PITTSBURGH                              ,PA ,15212     ,02                                      
02268130,Cig/OTP Retail,3/17/2016,Issued,2/28/2017,"SWATI, INC.",201 WEST LINCOLN AVENUE                                     ,                                        ,MCDONALD                                ,PA ,15057     ,02                                      
02268217,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,R & D VENTURES INC,3406 WILLIAM PENN HIGHWAY                                   ,                                        ,WILKINS TWP                             ,PA ,15235     ,02                                      
70167110,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,8607 PERRY HWY                                              ,MCCANDLESS                              ,PITTSBURGH                              ,PA ,15237     ,02                                      
02259601,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,DERF JOHNSON,7403 FRANKSTOWN AVENUE                                      ,                                        ,PITTSBURGH                              ,PA ,15208     ,02                                      
02259603,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,DERF JOHNSON,7300 LEMINGTON AVE                                          ,                                        ,PITTSBURGH                              ,PA ,15235-1006,02                                      
02259569,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,BELLEVUE TOBACCO & NEWS LLC,615 LINCOLN AVENUE                                          ,                                        ,BELLEVUE                                ,PA ,15202     ,02                                      
02257275,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,RCK CRANBERRY INC,700 CHARTIERS AVENUE                                        ,                                        ,MCKEES ROCKS                            ,PA ,15136     ,02                                      
02257672,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SYED & HARNEET LLC,2316 BAILIE AVENUE                                          ,                                        ,MCKEESPORT                              ,PA ,15132     ,02                                      
02266747,Cig/OTP Retail,4/21/2016,Issued,2/28/2017,STEEL CITY BEER LLC,2200 MAIN ST                                                ,                                        ,SHARPSBURG                              ,PA ,15215-2811,02                                      
02260937,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,CIGARETTES 4 LESS LLC,2100 WASHINGTON PIKE                                        ,RACEWAY PLAZA                           ,HEIDELBERG                              ,PA ,15106     ,02                                      
02255263,Cig/OTP Retail,2/11/2016,Issued,2/28/2017,CROSS KEYS LLC,806 FREEPORT ROAD                                           ,                                        ,BLAWNOX                                 ,PA ,15238     ,02                                      
02255713,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TIN UNITED INC,6500 SALTSBURG RD                                           ,                                        ,PITTSBURGH                              ,PA ,15235-2122,02                                      
02261147,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,S A CONVENIENCE INC,601 MONONGAHELA AVE                                         ,                                        ,GLASSPORT                               ,PA ,15045     ,02                                      
02253240,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,SHREEJI IMPEX INC,132 N HIGHLAND AVE                                          ,                                        ,PITTSBURGH                              ,PA ,15206-3022,02                                      
70052131,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,J & L FOOD SERVICES INC,95 WARRENDALE BAYNE RD                                      ,                                        ,WARRENDALE                              ,PA ,15086-6500,02                                      
02256474,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,RADOKOVIC ENTERPRISES LLC,5700 HOMEVILLE RD                                           ,                                        ,WEST MIFFLIN                            ,PA ,15122-3654,02                                      
02265889,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,RADOKOVIC ENTERPRISES LLC,1826 LINCOLN HWY                                            ,                                        ,N VERSAILLES                            ,PA ,15137-2512,02                                      
02266984,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,FMLONE CORPORATION,999 GREENTREE RD                                            ,                                        ,PITTSBURGH                              ,PA ,15220-3238,02                                      
02261861,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,DS FOOD MART INC,929 UNION AVE                                               ,                                        ,MCKEESPORT                              ,PA ,15132-3340,02                                      
02253690,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,DAG HARRIS INC,2001 LINCOLN WAY                                            ,                                        ,WHITE OAK                               ,PA ,15131     ,02                                      
02268972,Cig/OTP Retail,3/22/2016,Issued,2/28/2017,SK & NK INC,1860 CENTRE AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15219-4369,02                                      
02269009,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,BHANGAL LLC,1003 FREEPORT RD                                            ,                                        ,CHESWICK                                ,PA ,15024-1211,02                                      
02253898,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,SHREE VINAYAK INC,209 INDUSTRY ROAD                                           ,                                        ,BUENA VISTA                             ,PA ,15018     ,02                                      
02262519,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,NEIGHBORHOOD DOLLAR INC,336 5TH AVE                                                 ,                                        ,MCKEESPORT                              ,PA ,15132-2615,02                                      
02266665,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,DELTA AANDW INC,710 BROWN AVENUE                                            ,                                        ,TURTLE CREEK                            ,PA ,15145     ,02                                      
02257709,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,KAMALJIT KAUR,1300 WOODLAND AVENUE                                        ,                                        ,PITTSBURGH                              ,PA ,15212     ,02                                      
02262880,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,KRUPA GAS CORPORATION,2520 WASHINGTON ROAD                                        ,                                        ,PITTSBURGH                              ,PA ,15241     ,02                                      
02254932,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,BROOKLINE MINIMART INC,1001 BROOKLINE BLVD                                         ,                                        ,BROOKLINE                               ,PA ,15226     ,02                                      
02257836,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,OLD ALLEGHENY SMOKE SHOP LLC,4755 CLAIRTON BLVD                                          ,                                        ,PITTSBURGH                              ,PA ,15236     ,02                                      
02255470,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,1311 PARTNERS LLC,1311 E CARSON ST                                            ,                                        ,PITTSBURGH                              ,PA ,15203     ,02                                      
02257974,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,GLOBAL CONTACTS LLC,2602 FREEPORT ROAD                                          ,                                        ,NATRONA HEIGHTS                         ,PA ,15065     ,02                                      
02259545,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,GLOBAL CONTACTS LLC,3039 FREEPORT RD                                            ,                                        ,NATRONA HTS                             ,PA ,15065-1909,02                                      
02258140,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,K&T FISH AND CHICKEN INC,4521 CENTRE AVENUE                                          ,                                        ,PITTSBURGH                              ,PA ,15213     ,02                                      
02258669,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,DIAMOND D ENTERPRISES INC,1450 STATE ROUTE 51                                         ,SUITE 104                               ,JEFFERSON HILLS                         ,PA ,15025     ,02                                      
02256166,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,SGII ENERGY LLC,8936 FRANKSTOWN RD                                          ,                                        ,PITTSBURGH                              ,PA ,15235-1427,02                                      
02182259,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,GEORGE NORKUS,818 E WARRINGTON AVE                                        ,                                        ,PITTSBURGH                              ,PA ,15210-1560,02                                      
02183202,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,BUTTERMILK HOLLOW SUPER DOLLAR INC,4647 BUTTERMILK HOLLOW RD                                   ,                                        ,WEST MIFFLIN                            ,PA ,15122     ,02                                      
02256315,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,INDS INC,500 PINE HOLLOW ROAD                                        ,                                        ,MCKEES ROCKS                            ,PA ,15136     ,02                                      
02252275,Cig/OTP Retail,3/11/2016,Issued,2/28/2017,LAXMI NARAYANA CORPORATION,1405 N STATE STREET                                         ,                                        ,CLAIRTON                                ,PA ,15025     ,02                                      
02254716,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,LAXMI NARAYANA CORPORATION,1739 PENNSYLVANIA AVE                                       ,                                        ,WEST MIFFLIN                            ,PA ,15122-3928,02                                      
02263064,Cig/OTP Retail,3/11/2016,Issued,2/28/2017,LAXMI NARAYANA CORPORATION,2405 ROUTE 206                                              ,                                        ,PITTSBURGH                              ,PA ,15239     ,02                                      
02060088,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,BLOOMS INC,2716 5TH AVE                                                ,                                        ,MCKEESPORT                              ,PA ,15132-1132,02                                      
02212484,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,B L B FOODS INC,800 MCKEESPORT RD                                           ,                                        ,ELIZABETH                               ,PA ,15037     ,02                                      
02241866,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,DINO DEFLAVIO,1200 S BRADDOCK AVE                                         ,                                        ,PITTSBURGH                              ,PA ,15218-1279,02                                      
02267554,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,SITARAM OIL CORPOARTION,2000 S BRADDOCK AVE                                         ,                                        ,PITTSBURGH                              ,PA ,15218-2160,02                                      
02260418,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,ABBEANA MURRAY,2408 REED ST                                                ,                                        ,PITTSBURGH                              ,PA ,15219-8800,02                                      
02268116,Cig/OTP Retail,6/20/2016,Issued,2/28/2017,VILLAIN VAPE SHOP LLC,1415 PITTSBURGH ST                                          ,                                        ,CHESWICK                                ,PA ,15024     ,02                                      
02268298,Retail,8/24/2016,Issued,2/28/2017,"CHAUTARI, INC",2116 BROWNSVILLE RD                                         ,                                        ,PITTSBURGH                              ,PA ,15210-4206,02                                      
02268619,Cig/OTP Retail,7/8/2016,Issued,2/28/2017,DHARAJ BROS LLC,3004 WILLOWBROOK DR                                         ,                                        ,BRIDGEVILLE                             ,PA ,15017-1544,02                                      
70158170,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,5504 WALNUT ST                                              ,                                        ,PITTSBURGH                              ,PA ,15232-2312,02                                      
70158171,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,230 HAYS AVE                                                ,                                        ,PITTSBURGH                              ,PA ,15210-2202,02                                      
70158174,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,209 ATWOOD ST                                               ,                                        ,PITTSBURGH                              ,PA ,15213-4001,02                                      
70158175,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,2300 JANE ST                                                ,                                        ,PITTSBURGH                              ,PA ,15203-2361,02                                      
70158176,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,1700 MURRAY AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15217-1604,02                                      
02249987,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PERVEEN CHAUDHRY,537 E OHIO ST                                               ,                                        ,PITTSBURGH                              ,PA ,15212-5516,02                                      
02249658,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,HARTLEY INC,2362 GOLDEN MILE HWY                                        ,                                        ,PITTSBURGH                              ,PA ,15239-2710,02                                      
70158260,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,725 LYSLE BLVD                                              ,                                        ,MCKEESPORT                              ,PA ,15132-2515,02                                      
02170150,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,HAMMS MARKET,1239 ITEN ST                                                ,                                        ,PITTSBURGH                              ,PA ,15212     ,02                                      
70158279,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,412 BROADWAY ST                                             ,                                        ,CORAOPOLIS                              ,PA ,15108-1632,02                                      
70158291,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,6375 LIBRARY RD                                             ,                                        ,SOUTH PARK                              ,PA ,15129-8502,02                                      
02250650,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,PUJA ENTERPRISES INC,5900 UNIVERISTY BLVD                                        ,                                        ,CORAOPOLIS                              ,PA ,15108     ,02                                      
70158348,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,210 9TH STREET                                              ,                                        ,GLASSPORT                               ,PA ,15045-1652,02                                      
70158394,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,300 MARKET STREET                                           ,                                        ,ELIZABETH                               ,PA ,15037     ,02                                      
02256677,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,NAEEM KHOKHAR,256S HIGHLAND AVENUE                                        ,                                        ,PITTSBURGH                              ,PA ,15206     ,02                                      
70048009,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,107 WALMART DR                                              ,                                        ,N VERSAILLES                            ,PA ,15137-1531,02                                      
70048039,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,600 RODI RD                                                 ,                                        ,PITTSBURGH                              ,PA ,15235-4524,02                                      
70048061,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,SUNOCO INC R & M,2000 EASTERN AVE                                            ,                                        ,VERONA                                  ,PA ,15147-3847,02                                      
70048064,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,SUNOCO INC R & M,1020 MOUNT ROYAL BLVD                                       ,                                        ,PITTSBURGH                              ,PA ,15223-1033,02                                      
70048065,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,SUNOCO INC R & M,195 N CRAIG ST                                              ,                                        ,PITTSBURGH                              ,PA ,15213-1555,02                                      
70190344,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,513 PERRY HWY                                               ,                                        ,PITTSBURGH                              ,PA ,15229-1820,02                                      
70190346,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,1701 DUNCAN AVE                                             ,                                        ,ALLISON PARK                            ,PA ,15101-2865,02                                      
70190354,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,1804 GOLDEN MILE HWY                                        ,                                        ,PITTSBURGH                              ,PA ,15239-2828,02                                      
70190361,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,623 SMITHFIELD ST                                           ,                                        ,PITTSBURGH                              ,PA ,15222-2505,02                                      
70190378,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,7345 SALTSBURG RD                                           ,                                        ,PENN HILLS                              ,PA ,15235-2222,02                                      
02257241,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,INDRAVADAN ARYA,1118 CARSON STREET                                          ,                                        ,PITTSBURGH                              ,PA ,15203     ,02                                      
02251664,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,BANK JANI,726 BROADWAY AVE                                            ,                                        ,MC KEES ROCKS                           ,PA ,15136-2226,02                                      
02252717,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,KEVIN BERTOCKI,328 E 6TH AVE                                               ,                                        ,TARENTUM                                ,PA ,15084     ,02                                      
02268943,Cig/OTP Retail,2/26/2016,Issued,2/28/2017,LADANI PETRO INC,319 S CRAIG ST                                              ,                                        ,PITTSBURGH                              ,PA ,15213-3726,02                                      
02246027,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,DEEP ENTERPRISE INC,4061 PERRYSVILLE AVE                                        ,                                        ,PITTSBURGH                              ,PA ,15214     ,02                                      
02259989,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,LAWRENCE LABAD & WAEL LOBBAD LABAD,1727 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15222-4320,02                                      
02267996,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,AYUVED INC,10991 FRANKSTOWN RD                                         ,                                        ,PENN HILLS                              ,PA ,15235-3045,02                                      
02267686,Cig/OTP Retail,3/9/2016,Issued,2/28/2017,CRUISERS LLC,5735 BAUM BLVD                                              ,                                        ,PITTSBURGH                              ,PA ,15206-3703,02                                      
