zipcode,totalpopulation,medianage,totalmales,totalfemales,totalhouseholds,averagehouseholdsize
90041.0,27425,39.0,13212,14213,9513,2.71
90042.0,62430,33.6,30836,31594,19892,3.11
90043.0,44789,38.7,20561,24228,16075,2.76
90044.0,89779,28.6,43128,46651,25144,3.55
90045.0,39480,35.6,18958,20522,15224,2.37
90046.0,48581,38.5,25854,22727,28534,1.69
90047.0,48606,36.2,22129,26477,16168,2.99
90048.0,21397,39.2,10132,11265,11821,1.77
90049.0,35482,41.3,16359,19123,16657,2.09
90056.0,7827,48.4,3436,4391,3371,2.32
90057.0,44998,31.2,24300,20698,15658,2.81
90058.0,3223,26.0,1555,1668,892,3.6
90059.0,40952,25.7,19623,21329,9596,4.19
90061.0,26872,28.4,13049,13823,6892,3.85
90062.0,32821,31.8,15720,17101,9155,3.55
90063.0,55758,29.0,27843,27915,13260,4.19
90064.0,25403,40.0,12297,13106,10968,2.29
90065.0,45527,36.1,22873,22654,14476,3.12
90066.0,55277,37.3,27714,27563,23985,2.29
90067.0,2424,65.3,1074,1350,1510,1.61
90068.0,22286,39.4,12018,10268,12326,1.8
90069.0,20483,41.5,12153,8330,13364,1.53
90071.0,15,45.5,13,2,0,0.0
90073.0,539,56.9,506,33,4,1.25
90077.0,9377,47.9,4594,4783,3615,2.57
90079.0,0,0.0,0,0,0,0.0
90089.0,3217,19.3,1436,1781,31,1.94
90090.0,0,0.0,0,0,0,0.0
90094.0,5464,33.7,2559,2905,2949,1.85
90095.0,3,52.5,2,1,2,1.5
90201.0,101279,27.8,50658,50621,24104,4.16
90210.0,21741,47.5,10292,11449,8669,2.49
90211.0,8434,40.6,3849,4585,3706,2.28
90212.0,11555,41.2,5211,6344,5567,2.08
90220.0,49328,29.8,23773,25555,12741,3.85
90221.0,53704,26.7,26346,27358,11630,4.57
90222.0,31869,27.3,15375,16494,7520,4.21
90230.0,31766,39.1,14932,16834,12883,2.45
90232.0,15149,38.6,7333,7816,6605,2.28
90240.0,25876,35.5,12501,13375,7632,3.36
90241.0,42399,33.9,20466,21933,13617,3.09
90242.0,43497,31.6,21207,22290,12687,3.41
90245.0,16654,39.2,8304,8350,7085,2.34
90247.0,47487,35.5,23217,24270,15830,2.96
90248.0,9947,41.2,4823,5124,3427,2.89
90249.0,26669,37.2,12897,13772,8880,2.98
90250.0,93193,31.9,45113,48080,31087,2.98
90254.0,19506,37.0,10273,9233,9550,2.04
90255.0,75066,29.1,37525,37541,18419,4.06
90260.0,34924,32.7,17509,17415,10429,3.33
90262.0,69745,27.8,33919,35826,14669,4.57
90263.0,1612,19.7,665,947,0,0.0
90265.0,18116,46.5,9159,8957,7174,2.39
90266.0,35135,40.9,17605,17530,14038,2.5
90270.0,27372,27.9,13992,13380,6554,4.16
90272.0,22986,47.3,10952,12034,9212,2.49
90274.0,25209,49.4,12199,13010,9479,2.66
90275.0,41804,47.8,20283,21521,15618,2.65
90277.0,35293,42.0,17521,17772,16910,2.07
90278.0,40071,38.2,19848,20223,16009,2.49
90280.0,94396,29.4,46321,48075,23278,4.05
90290.0,6368,45.0,3180,3188,2612,2.44
90291.0,28341,37.6,14757,13584,14261,1.95
90292.0,21576,41.2,10729,10847,12654,1.7
90293.0,12132,40.4,5890,6242,6575,1.83
90301.0,36568,32.6,17633,18935,11895,3.01
90302.0,29415,32.8,13803,15612,10684,2.74
90303.0,26176,30.4,12733,13443,7290,3.58
90304.0,28210,28.1,14503,13707,6634,4.22
90305.0,14853,43.3,6552,8301,5933,2.46
90401.0,6722,37.8,3524,3198,4188,1.49
90402.0,12250,47.0,5809,6441,5301,2.31
90403.0,24525,40.8,11426,13099,13970,1.74
90404.0,21360,37.4,10292,11068,10089,2.01
90405.0,27186,40.8,13364,13822,14376,1.87
90501.0,43180,35.0,21483,21697,14610,2.94
90502.0,18010,40.2,8811,9199,5717,2.94
90503.0,44383,40.8,21481,22902,17183,2.55
90504.0,32102,40.3,15886,16216,11580,2.76
90505.0,36678,43.0,17684,18994,14244,2.55
90506.0,0,0.0,0,0,0,0.0
90601.0,31974,36.6,15312,16662,11027,2.89
90602.0,25777,30.9,12720,13057,7980,3.09
90603.0,20063,39.4,9694,10369,6788,2.93
90604.0,39407,34.1,19270,20137,11932,3.29
90605.0,40331,32.6,20033,20298,10527,3.81
90606.0,32396,33.5,15936,16460,8633,3.72
90621.0,35153,32.1,17377,17776,10304,3.38
90623.0,15554,41.2,7516,8038,5072,3.06
90630.0,47993,40.0,23204,24789,15785,3.02
90631.0,67619,34.8,33320,34299,21452,3.13
90638.0,49012,37.9,23520,25492,14821,3.11
90640.0,62549,34.7,30189,32360,19027,3.27
90650.0,105549,32.5,52364,53185,27130,3.83
90660.0,62928,34.0,30738,32190,16564,3.77
90670.0,14866,36.2,7163,7703,4393,3.34
90701.0,16591,38.2,8227,8364,4553,3.51
90703.0,49399,43.9,23785,25614,15604,3.16
90704.0,4090,37.2,2101,1989,1629,2.5
90706.0,76615,31.9,37203,39412,23650,3.21
90710.0,25457,36.7,12291,13166,8717,2.91
90712.0,31499,38.4,15277,16222,10794,2.91
90713.0,27925,39.0,13574,14351,9447,2.95
90715.0,20388,33.9,9935,10453,6105,3.33
90716.0,14184,28.3,7078,7106,3515,4.03
90717.0,21318,39.5,10317,11001,8520,2.48
90720.0,21751,41.7,10423,11328,7789,2.74
90723.0,54099,28.6,26315,27784,13882,3.87
90731.0,59662,35.6,29951,29711,22044,2.62
90732.0,21115,45.0,9843,11272,8611,2.38
90740.0,23729,57.5,10423,13306,12830,1.83
90744.0,53815,28.7,27298,26517,13999,3.83
90745.0,57251,37.1,27754,29497,15210,3.73
90746.0,25990,40.7,11944,14046,8050,3.14
90747.0,0,0.0,0,0,0,0.0
90755.0,11074,36.1,5462,5612,4172,2.64
90802.0,39347,34.7,20387,18960,19853,1.93
90803.0,32031,42.7,15609,16422,17318,1.84
90804.0,40311,29.8,19686,20625,14556,2.7
90805.0,93524,29.0,45229,48295,26056,3.56
90806.0,42399,30.3,20717,21682,12184,3.44
90807.0,31481,39.7,15153,16328,12452,2.49
90808.0,38232,41.6,18408,19824,14167,2.69
90810.0,36735,31.8,18067,18668,9289,3.9
90813.0,58911,27.3,29425,29486,16425,3.5
90814.0,19131,37.2,9356,9775,9170,2.06
90815.0,39733,37.9,19124,20609,14836,2.53
90822.0,117,63.9,109,8,2,4.5
90831.0,0,0.0,0,0,0,0.0
91001.0,36126,41.6,17421,18705,12663,2.83
91006.0,31715,42.7,15283,16432,10652,2.98
91007.0,34095,43.8,16039,18056,12033,2.73
91008.0,1391,54.6,614,777,562,2.39
91010.0,26074,38.1,12461,13613,7972,3.2
91011.0,20280,45.9,9863,10417,6859,2.95
91016.0,40598,37.9,19434,21164,15029,2.69
91020.0,8415,40.2,3966,4449,3385,2.43
91024.0,10917,46.6,5165,5752,4837,2.26
91030.0,25616,40.1,12160,13456,10466,2.43
91040.0,20372,43.3,10120,10252,7359,2.72
91042.0,27585,40.7,13734,13851,9987,2.74
91046.0,156,74.0,51,105,114,1.37
91101.0,20460,33.7,9926,10534,10869,1.86
91103.0,27480,35.0,13481,13999,8492,3.11
91104.0,36751,38.2,17874,18877,12922,2.8
91105.0,11254,49.0,5432,5822,5213,2.07
91106.0,24229,34.6,11993,12236,10723,2.17
91107.0,32940,41.2,15940,17000,13028,2.51
91108.0,13361,45.4,6410,6951,4415,3.01
91201.0,22781,40.4,11123,11658,8150,2.78
91202.0,22830,41.7,10805,12025,8879,2.56
91203.0,13220,38.9,6279,6941,5044,2.62
91204.0,16032,38.1,7699,8333,5639,2.76
91205.0,37810,39.1,18084,19726,14089,2.67
91206.0,33065,42.6,15544,17521,13261,2.48
91207.0,10506,45.5,4924,5582,4097,2.56
91208.0,16245,43.6,7756,8489,6106,2.66
91210.0,328,33.9,162,166,178,1.84
91214.0,30356,42.5,14642,15714,10551,2.87
91301.0,25488,42.7,12511,12977,9208,2.76
91302.0,25709,42.4,12487,13222,9303,2.76
91303.0,26855,31.1,13907,12948,8697,3.08
91304.0,50231,35.9,24827,25404,16532,3.0
91306.0,45061,35.4,22679,22382,13635,3.28
91307.0,24474,43.4,11939,12535,8315,2.91
91311.0,36557,42.7,17838,18719,13425,2.66
91316.0,26898,42.1,12717,14181,11911,2.26
91321.0,34882,33.3,17402,17480,11215,3.04
91324.0,27669,36.5,13545,14124,9289,2.95
91325.0,32417,35.4,15819,16598,11825,2.72
91326.0,33708,42.7,16394,17314,11770,2.86
91330.0,2702,19.6,1103,1599,2,2.5
91331.0,103689,29.5,52358,51331,22465,4.6
91335.0,74363,35.5,36596,37767,22855,3.21
91340.0,34188,30.1,17130,17058,8176,4.17
91342.0,91725,31.9,45786,45939,23543,3.83
91343.0,60254,32.3,30145,30109,16802,3.55
91344.0,51747,41.0,25212,26535,16872,3.03
91345.0,18496,35.7,9110,9386,5192,3.52
91350.0,33348,36.4,16270,17078,10991,3.01
91351.0,32362,33.9,16086,16276,10036,3.22
91352.0,47807,32.1,23980,23827,11985,3.95
91354.0,28722,36.4,14046,14676,9522,3.01
91355.0,32605,38.8,15773,16832,12772,2.51
91356.0,29458,41.7,14216,15242,11686,2.5
91361.0,20438,47.6,9854,10584,8374,2.43
91362.0,36045,42.6,17562,18483,13563,2.65
91364.0,25851,44.0,12739,13112,10409,2.47
91367.0,39499,41.0,19171,20328,16697,2.35
91377.0,13811,41.7,6641,7170,5158,2.68
91381.0,20158,36.0,9852,10306,6636,3.04
91384.0,29855,32.5,18503,11352,6925,3.3
91387.0,40328,33.0,20106,20222,12871,3.13
91390.0,19786,40.1,9911,9875,6369,3.07
91401.0,39285,36.0,19613,19672,14380,2.7
91402.0,69817,30.1,35095,34722,18194,3.81
91403.0,23484,39.4,11277,12207,11358,2.06
91405.0,51145,32.6,25498,25647,16256,3.11
91406.0,51558,33.6,25956,25602,17042,3.02
91411.0,24628,33.8,12495,12133,9177,2.63
91423.0,30991,39.2,14789,16202,14876,2.07
91436.0,14372,46.5,6890,7482,5552,2.57
91501.0,20849,38.3,10040,10809,8235,2.53
91502.0,11371,36.4,5402,5969,5001,2.26
91504.0,24939,38.6,12006,12933,9180,2.69
91505.0,30778,38.9,15121,15657,13180,2.33
91506.0,18904,40.9,9115,9789,7555,2.45
91601.0,37180,32.9,18932,18248,15970,2.32
91602.0,17473,38.0,8722,8751,9277,1.88
91604.0,29034,40.2,14271,14763,14292,2.01
91605.0,56343,31.9,28417,27926,15357,3.61
91606.0,44958,34.3,22376,22582,14903,3.0
91607.0,27927,38.2,13635,14292,12859,2.15
91608.0,0,0.0,0,0,0,0.0
91702.0,59705,29.4,29486,30219,15455,3.67
91706.0,76571,30.5,37969,38602,17504,4.35
91709.0,74796,36.6,36954,37842,22940,3.25
91710.0,80358,33.0,42283,38075,21952,3.43
91711.0,35705,38.6,16777,18928,11868,2.58
91722.0,34409,34.0,16859,17550,10079,3.41
91723.0,18275,35.0,8783,9492,6296,2.86
91724.0,26184,37.9,12780,13404,8508,3.05
91731.0,29591,32.9,14888,14703,8007,3.66
91732.0,61386,31.4,30755,30631,14700,4.13
91733.0,43896,30.5,22191,21705,9918,4.4
91740.0,25356,38.5,12269,13087,8376,2.94
91741.0,25824,41.8,12498,13326,9126,2.82
91744.0,85040,30.9,42564,42476,18648,4.55
91745.0,54013,40.1,26287,27726,16188,3.33
91746.0,30485,32.4,15116,15369,6743,4.5
91748.0,45406,39.8,22368,23038,13311,3.4
91750.0,33249,42.6,15881,17368,11944,2.71
91754.0,32742,42.9,15620,17122,11193,2.92
91755.0,27496,43.4,13271,14225,8760,3.12
91759.0,476,47.2,239,237,216,2.2
91763.0,36375,30.8,18099,18276,9450,3.81
91765.0,46457,40.8,22702,23755,15039,3.08
91766.0,71599,28.7,36111,35488,17708,4.01
91767.0,48068,31.2,23685,24383,13691,3.47
91768.0,34537,27.3,17509,17028,7885,3.87
91770.0,62097,38.3,30521,31576,16588,3.7
91773.0,33119,42.5,15737,17382,11941,2.73
91775.0,23988,41.4,11448,12540,8227,2.9
91776.0,38475,39.0,18751,19724,11776,3.24
91780.0,34332,41.1,16438,17894,11318,3.03
91784.0,25938,44.5,12729,13209,8934,2.9
91786.0,51165,33.0,24516,26649,18087,2.79
91789.0,43079,42.8,20988,22091,12891,3.31
91790.0,44907,35.2,21721,23186,12751,3.49
91791.0,32414,38.0,15512,16902,10236,3.15
91792.0,30854,35.3,14950,15904,9154,3.35
91801.0,52735,39.1,24833,27902,19315,2.71
91803.0,30322,39.6,14486,15836,9894,3.04
92301.0,32725,25.6,16857,15868,8132,3.81
92371.0,16763,37.9,8565,8198,5370,3.11
92372.0,6220,41.8,3136,3084,2198,2.83
92397.0,4894,44.1,2522,2372,1998,2.45
92821.0,35533,38.7,17338,18195,13062,2.72
92823.0,3613,38.6,1757,1856,1154,3.13
92833.0,51767,36.0,25643,26124,15849,3.23
93040.0,2031,29.3,1052,979,522,3.89
93063.0,54366,39.0,26592,27774,18650,2.9
93225.0,5077,44.0,2585,2492,2080,2.44
93243.0,1699,40.9,884,815,623,2.73
93252.0,4176,38.4,3301,875,647,2.81
93510.0,7993,45.2,4086,3907,2729,2.86
93523.0,3074,27.0,1531,1543,1056,2.91
93532.0,2932,41.7,1642,1290,1079,2.45
93534.0,39341,31.1,18601,20740,14038,2.74
93535.0,72046,28.3,34879,37167,20672,3.44
93536.0,70918,34.4,37804,33114,20964,3.07
93543.0,13033,32.9,6695,6338,3560,3.66
93544.0,1259,52.4,689,570,569,2.2
93550.0,74929,27.5,36414,38515,20864,3.58
93551.0,50798,37.0,25056,25742,15963,3.18
93552.0,38158,28.4,18711,19447,9690,3.93
93553.0,2138,43.3,1121,1017,816,2.62
93560.0,18910,32.4,9491,9419,6469,2.92
93563.0,388,44.5,263,125,103,2.53
93591.0,7285,30.9,3653,3632,1982,3.67
