objectid,dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe,vdatum,depth,lenunit,velocity,velunit,arrevert,bferevert,deprevert,sourcecit,hydroid,cstmdlid
847099,35001C,1549138_5582,AE,NULL,T,5274.0,NAVD88,NULL,FEET,NULL,NULL,NULL,-9999.0,NULL,1549138_STUDY4,1549138_-9999,NULL
847106,35001C,1549138_7350,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329,35001C,1549138_6822,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_5655,AH,NULL,T,4978.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,9999.0,1429057_STUDY1,1549138_-9999,1549138_-9999
847104,35001C,1549138_6014,AH,NULL,T,4936.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847055,35001C,1549138_6076,AE,NULL,T,5032.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0***,1549138_STUDY4,1549138_-9999,1549138_-9999
847056,35001C,1549138_6178,AH,NULL,T,4938.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847058,35001C,1549138_5747,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-99990,1549138_STUDY4,1549138_-9999,1549138_-9999
847059,35001C,1549138_5974,AH,NULL,T,4927.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-999o9.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847060,35001C,1549138_7363,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847061,35001C,1549138_5656,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847062,35001C,1549138_5566,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847063,35001C,1549138_6020,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847064,35001C,1549138_6044,AO,NULL,T,-9999.0,NULL,3.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847065,35001C,1549138_6343,AE,NULL,T,5001.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847066,35001C,1549138_7586,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847067,35001C,1549138_5687,AH,NULL,T,4971.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847068,35001C,1549138_6203,AH,NULL,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847057,35001C,1549138_6110,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847069,35001C,1549138_6160,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847075,35001C,1549138_5901,AE,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847070,35001C,1549138_6031,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847071,35001C,1549138_7660,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847076,35001C,1549138_6715,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847077,35001C,1549138_6342,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847072,35001C,1549138_5520,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_5545,AH,NULL,T,5000.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847079,35001C,1549138_5515,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847080,35001C,1549138_6189,AH,NULL,T,4929.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847081,35001C,1549138_6885,AE,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_6000,AO,NULL,T,-9999.0,NULL,3.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847083,35001C,1549138_5753,AE,NULL,T,5928.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847073,35001C,1549138_7129,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847084,35001C,1549138_5487,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847085,35001C,1549138_6236,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847074,35001C,1549138_7589,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847086,35001C,1549138_5564,AE,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846991,35001C,1549138_7193,AE,FLOODWAY,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846987,35001C,1549138_5823,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846992,35001C,1549138_5471,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846993,35001C,1549138_6044,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846994,35001C,1549138_6059,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846995,35001C,1549138_5876,AH,NULL,T,4953.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846996,35001C,1549138_7133,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846997,35001C,1549138_5535,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846998,35001C,1549138_6701,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846999,35001C,1549138_6020,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847000,35001C,1549138_6704,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846988,35001C,1549138_6570,AH,NULL,T,5219.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846989,35001C,1549138_6100,AH,NULL,T,4943.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847001,35001C,1549138_6361,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847097,35001C,1549138_6181,AH,NULL,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_7755,AE,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_7315,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847017,35001C,1549138_5534,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847018,35001C,1549138_5947,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847019,35001C,1549138_5744,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847020,35001C,1549138_5850,AE,NULL,T,5430.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847021,35001C,1549138_7244,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847022,35001C,1549138_7131,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847023,35001C,1549138_6348,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847024,35001C,1549138_6044,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847025,35001C,1549138_5500,AH,NULL,T,4996.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847026,35001C,1549138_7660,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847006,35001C,1549138_6003,AE,NULL,T,4962.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847007,35001C,1549138_5791,AH,NULL,T,5097.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
