OBJECTID,PlanYear,DensityType,Shape__Area,Shape__Length
109,0,1,725665.318481445,8416.04011344611
110,0,4,306759.91204834,3601.69481120068
111,0,2,96669.1625366211,2050.15957054061
112,0,3,77628.2901000977,1433.6772743761
113,0,2,89562.3321533203,1738.00066968868
114,0,4,596982.989624023,3150.70960770589
115,0,4,53848.4226074219,1017.51780690085
116,0,0,258356.784545898,2369.31147547629
117,0,2,294524.285461426,4544.19875211767
118,0,4,70144.9153442383,1175.23580904413
119,0,4,2629390.53466797,7254.16918817297
120,0,2,24012.7502441406,649.375228670064
121,0,2,117447.906494141,2251.81464563197
122,0,2,96273.8428955078,2203.61367440487
123,0,2,85730.1622924805,1728.06011255442
124,0,2,85265.2659912109,1730.89853721736
125,0,6,128738.163024902,1460.03305022993
126,0,4,98298.8329467773,1495.57868909132
127,0,2,49707.5925292969,1129.13372193602
128,0,2,61310.9519042969,1379.04790143076
129,0,2,69875.3270263672,1537.00961443721
130,0,3,230742.793579102,2037.79633592799
131,0,4,92158.3825073242,1315.12374678952
132,0,2,120693.588012695,2499.94922758903
133,0,2,61186.371887207,1361.82228874061
134,0,2,70910.3427734375,1404.38329866448
135,0,0,117780.900939941,2685.38801529528
136,0,2,74019.7006225586,3852.62537473121
137,0,2,94819.5751342773,1689.85870049358
138,0,2,1103162.83453369,4832.58478547302
139,0,4,72079.3291625977,1127.06249119453
140,0,2,73339.3736572266,1512.33065753967
141,0,3,38103.8981933594,1014.13838639493
142,0,4,713093.232727051,4327.33974895166
143,0,4,569743.155639648,3587.01439642348
144,0,3,33172.6876831055,741.114568797249
145,0,4,716177.532714844,3592.27368828728
146,0,2,96496.3342895508,2066.09952075624
147,0,2,129461.581665039,2460.13140627052
148,0,0,79279.7921142578,1843.09540611166
149,0,2,37952.9202270508,946.100457217768
150,0,4,1039465.65917969,4584.93434176395
151,0,1,336595.299194336,3249.41840166267
152,0,2,22423.6536254883,635.198210596307
153,0,2,62190.8244628906,1177.38436331593
154,0,2,137331.571899414,2717.28955629099
155,0,2,50902.565246582,1136.7426337677
156,0,4,265377.723632813,2297.49742026991
157,0,2,48928.537902832,1189.85597345464
158,0,2,50642.0386962891,1135.00336953188
159,0,2,165177.042663574,2704.49935966341
160,0,2,353139.075317383,4336.18079785157
161,0,2,68700.8309936523,1442.45842414129
162,0,2,140349.64630127,2753.44746177927
163,0,2,138172.244812012,1610.66494913134
164,0,4,1139078.97113037,5231.70407470819
165,0,2,122235.127563477,2380.96519005245
166,0,2,78712.1491088867,1650.79782864459
167,0,2,1454367.91094971,19911.3551045109
168,0,3,45363.2537841797,861.16339472623
169,0,3,146652.77557373,2372.29535834449
170,0,3,155957.14630127,2292.96550274048
171,0,2,144571.100769043,2688.73030977743
172,0,1,195638.820800781,2028.26128790358
173,0,2,125490.344543457,2298.25752576463
174,0,4,72088.323059082,1313.46268446445
175,0,0,74870.4967651367,1710.56163555776
176,0,4,56025.4483642578,1406.30830162612
177,0,2,137772.379455566,2700.65985845552
178,0,2,53736.34375,1176.80690329858
179,0,2,76022.248046875,1580.81196709898
180,0,0,20302.6272583008,596.716117217998
181,0,2,60559.460144043,1313.16789814941
182,0,2,210033.551452637,3361.4242857861
183,0,3,242.523681640625,453.367172905821
184,0,2,51530.1456298828,1164.17618949587
185,0,2,94864.2417602539,1793.95148573076
186,0,2,166701.688720703,3120.95775041902
187,0,2,30731.1138916016,841.30733920105
188,0,0,228112.086425781,2212.82751317678
189,0,0,67185.9377441406,1212.01891979278
190,0,0,178458.505981445,1971.90951437641
191,0,3,10026.8485717773,393.709986383886
192,0,3,49982.1131591797,1065.40067796004
193,0,2,57612.4196166992,1314.45375158777
194,0,2,84520.3227539063,1831.14924121743
195,0,2,47579.3571777344,1013.69774071191
196,0,2,152818.342041016,3113.53160857511
197,0,2,25563.0139160156,682.602421641922
198,0,0,15284.6214599609,497.917244445549
199,0,4,969045.129760742,4172.96923798741
200,0,0,103557.70300293,2239.17568886188
201,0,2,113551.494445801,2185.63311270727
202,0,0,26086.5189208984,729.233301971379
203,0,3,226660.344726563,2364.8405210499
204,0,6,276604.40057373,2123.37581668984
205,0,2,207859.284240723,4169.18816681763
206,0,2,27851.516418457,731.939330795636
207,0,2,316142.115478516,5480.40272116294
208,0,2,177115.450439453,3464.61557953361
209,0,2,9601.76977539063,645.251489149521
210,0,2,65051.5643310547,1448.18257311278
211,0,4,71838.2551269531,1134.14991340624
212,0,0,69940.8026123047,1418.56350311747
213,0,2,67204.5284423828,1593.42954955176
214,0,2,66349.9511108398,1444.24738245278
215,0,2,121308.255004883,2513.08403995688
216,0,2,199814.303833008,2180.05810160798
217,0,2,41737.8962402344,801.194240570012
218,0,4,470177.183898926,2792.22060141247
219,0,2,96716.647644043,1976.47412502059
220,0,4,906364.12890625,3905.33675202264
221,0,0,46591.2774658203,1083.04808385474
222,0,4,84228.6289672852,1498.79407469769
223,0,3,144126.265991211,2163.63551579965
224,0,2,43230.0794677734,992.637917372612
225,0,4,725594.156555176,4434.68196443244
226,0,2,75700.7691040039,1613.95751637256
227,0,2,113593.792785645,2177.09713731339
228,0,7,67742.1993408203,1095.83937435747
229,0,2,108830.870544434,2250.26004170455
230,0,2,213886.376220703,3753.75564462266
231,0,2,31894.4888305664,794.051786872777
232,0,0,59810.3561401367,1239.03567339091
233,0,2,51102.9339599609,1156.18242834498
234,0,4,1300167.22357178,6523.99656227501
235,0,2,106870.837219238,2077.90129250859
236,0,2,65944.4739990234,1316.31628245543
237,0,2,88339.6888427734,1788.66504146528
238,0,3,99792.689453125,1723.25257238992
239,0,2,197302.600158691,3125.26016136869
240,0,2,28728.1779174805,752.057197068136
241,0,4,1772124.8984375,6646.45935327888
242,0,2,132606.039001465,2468.67464820851
243,0,2,109118.612243652,2416.34268465078
244,0,3,75708.9934692383,1335.09600390015
245,0,3,1565159.30609131,9283.90481801363
246,0,0,54235.2811889648,1303.62057240869
247,0,2,260024.362304688,2948.43382677511
248,0,0,131523.810241699,2978.23160663107
249,0,2,48860.7643432617,962.486581235418
250,0,2,74176.1912231445,1575.30580841796
251,0,0,108898.796936035,2427.69850634985
252,0,2,105541.429199219,2234.89463614015
253,0,0,92325.1486816406,2111.85637928521
254,0,1,251608.35534668,2362.42564335262
255,0,6,59991.4077148438,1113.1673107601
256,0,2,105071.10168457,2323.26027037297
257,0,2,142421.361755371,2720.42728330706
258,0,6,182306.085021973,2474.40074959459
259,0,2,116249.522277832,2326.53658722989
260,0,0,53411.9780883789,1377.74135507771
261,0,2,65327.0716552734,1418.91143824604
262,0,2,116211.951049805,2457.50042130077
263,0,3,147815.379882813,2523.22648425565
264,0,2,201999.832397461,3864.22639046162
265,0,2,195997.003356934,2112.21296982783
266,0,3,1164942.34051514,4320.2087850511
267,0,2,88403.0850830078,1799.0604618561
268,0,2,335707.924499512,3661.22433422462
269,0,2,191633.163085938,3064.32951434707
270,0,4,44718.9326782227,866.243214757473
271,0,2,72502.6793823242,1418.87858955538
272,0,2,110959.656982422,2309.90252528641
273,0,2,159778.126647949,1825.39097094991
274,0,2,67325.0350341797,1503.62553148432
275,0,0,157575.202270508,3472.17904345891
276,0,0,30040.0987548828,842.295656307792
277,0,0,117737.080505371,2684.50931417998
278,0,6,248098.872314453,7169.90704492647
279,0,2,70538.4360351563,1492.79484254979
280,0,6,128763.942016602,1466.61381085042
281,0,2,209854.11138916,3971.40688349048
282,0,2,216228.291503906,2375.31395308645
283,0,7,750847.614868164,3907.76033565502
284,0,6,1111995.79656982,6096.92937312152
285,0,2,79457.4985961914,1697.13272887203
286,0,2,45071.4602050781,1137.8697740011
287,0,3,43671.2749633789,836.014313429161
288,0,1,348675.817932129,2323.96959385152
289,0,2,64733.7518310547,1460.57006721241
290,0,2,138634.401794434,2818.87048838776
291,0,3,269.983520507813,331.200991338545
292,0,2,33479.6508789063,837.515789162866
293,0,2,49945.0745849609,1227.88702114099
294,0,2,65722.7157592773,1574.48185825348
295,0,2,143370.237609863,2813.68261025039
296,0,2,152916.998352051,3148.87581375687
297,0,2,169322.457214355,1892.38609733774
298,0,2,133035.441223145,2632.51543986432
299,0,2,220955.77154541,2989.35647804471
300,0,2,64824.3550415039,1395.11450133645
301,0,2,152016.424621582,3064.87874466707
302,0,2,119102.022644043,2686.93845126548
303,0,4,783736.700012207,4384.54116577711
304,0,2,62070.0534667969,1328.08173260696
305,0,2,54302.615234375,1015.82049777865
306,0,3,143192.818786621,1485.58444003178
307,0,2,67587.4323730469,1380.25289287128
308,0,2,52162.2568359375,1113.90641647304
309,0,2,117460.785400391,1832.82495231095
310,0,2,124217.498413086,2443.61914087604
311,0,2,47128.7466430664,1063.52645329003
312,0,0,104967.165161133,1549.77193272132
313,0,2,103072.437927246,1404.92173872522
314,0,2,58784.6905517578,1440.88191716187
315,0,2,227800.061706543,3630.54771629078
316,0,0,127534.672485352,2317.38457067964
317,0,7,2497470.21411133,6714.15181365217
318,0,3,60455.0308227539,1378.00330321612
319,0,2,710658.474365234,4321.29763655424
320,0,2,118396.438476563,2340.30773347797
321,0,2,17786.6216430664,555.229791890661
322,0,2,116970.543701172,2663.51160646117
323,0,2,115769.586853027,2334.71251891189
324,0,2,26540.107421875,741.838752229407
325,0,2,73479.2125854492,1619.39319747063
326,0,2,781376.753112793,7440.74229282725
327,0,0,103574.98828125,2239.47146107111
328,0,2,274096.49987793,3289.85208290453
329,0,1,325104.206726074,2982.28172940112
330,0,0,225881.927490234,3246.13375553024
331,0,2,156161.797973633,3233.79570003422
332,0,2,105475.863830566,2134.21828979795
333,0,4,72776.3007202148,1238.81246464944
334,0,2,29441.0744018555,700.134726156322
335,0,3,732483.090209961,3630.04364325637
336,0,1,1479217.69274902,6231.11774126562
337,0,0,39587.3426513672,939.862100106115
338,0,0,59964.9823608398,1213.34570518218
339,0,2,105833.863586426,2222.37710027203
340,0,1,186418.311035156,1782.92556212067
341,0,2,93869.2554931641,2035.04411482705
342,0,2,108894.840881348,2186.4194203183
343,0,0,53550.9600830078,1067.49780521097
344,0,0,117836.366455078,2686.62768553126
345,0,3,14339.5572509766,495.952178501745
346,0,2,50607.7119750977,1199.7885273092
347,0,2,95405.1024780273,1937.06956023811
348,0,3,270561.166320801,3240.78690021512
349,0,5,45410.4837036133,1038.04229954349
350,0,2,61053.2778320313,1359.12199475264
351,0,2,65295.4301147461,1410.25709421452
352,0,2,67592.7938232422,1436.56778104365
353,0,0,142473.364501953,2962.26593047738
354,0,7,385644.385559082,2501.46770609519
355,0,2,49039.5873413086,1015.32073630371
356,0,0,107905.978515625,2246.47847131118
357,0,2,49576.4995727539,1149.32294297325
358,0,2,167932.84185791,2101.34501845888
359,0,2,58736.4752807617,1288.57705583265
360,0,2,78245.2045288086,1650.93889631951
361,0,2,71458.3928833008,1472.05113713062
362,0,3,99333.6464233398,1302.32024014154
363,0,2,61310.798034668,1308.53272802945
364,0,0,150794.961303711,3005.35765337038
365,0,2,91572.623840332,1874.86892165506
366,0,2,91472.4934692383,1224.2054802738
367,0,2,65955.9418334961,1467.545438656
368,0,3,458207.084472656,3391.5011536255
369,0,2,122867.920288086,2355.64522755834
370,0,2,1099626.44659424,14791.7209204714
371,0,2,84003.3932495117,1740.22400493422
372,0,1,801426.139099121,3923.89748455352
373,0,2,70610.9169921875,1454.32567543647
374,0,2,201327.260375977,3880.01564030841
375,0,2,67562.0435791016,1437.02688290843
376,0,2,117987.687927246,2192.49933805835
377,0,1,193499.456726074,2691.4152110264
378,0,2,62279.1892700195,1349.60869219569
379,0,2,75880.3048095703,1567.35835471022
380,0,2,128504.623046875,2687.55497344994
381,0,3,168854.48614502,1747.89735146748
382,0,2,67114.9599609375,1429.48919973867
383,0,2,157191.575012207,1593.42143583095
384,0,2,32864.7354125977,861.445997002222
385,0,5,488584.239562988,3329.62431001724
386,0,2,50011.9097290039,1123.7994536179
387,0,3,87854.3215942383,1290.44973120482
388,0,1,155694.069946289,2786.00555252267
389,0,3,145928.82208252,1787.1529749505
390,0,4,71173.3059082031,1257.53910828358
391,0,3,98040.4895019531,1517.97950582934
392,0,4,1186006.59240723,6919.16195933236
393,0,3,31095.7628173828,831.678074003161
394,0,2,169267.211181641,3247.43497845905
395,0,3,360014.175476074,2938.1860432608
396,0,2,91330.8477172852,1969.53325473019
397,0,7,155311.470947266,1543.23003762688
398,0,2,217132.571716309,4130.75755736435
399,0,0,98307.5286865234,2180.75626885051
400,0,2,96729.1991577148,2212.62498563327
401,0,2,419412.130554199,5299.00995116331
402,0,0,146964.36315918,1491.31031475636
403,0,3,156173.188110352,3059.76141336642
404,0,3,66620.4176635742,1185.16026041876
405,0,0,33748.7030029297,894.614046295823
406,0,2,53013.0670776367,1153.72396272264
407,0,3,23011.5748901367,763.10297822092
408,0,3,64372.7103881836,1569.6217847901
409,0,2,45860.1060791016,1002.28434075241
410,0,6,225591.788269043,1900.55863835158
411,0,2,328383.12322998,3985.38546320128
412,0,2,95900.3602905273,1752.73227058161
413,0,2,57021.089050293,1226.80502161404
414,0,3,201823.444213867,2121.59485720559
415,0,4,30181.8094482422,694.17478917238
416,0,3,108813.516235352,2216.25294265534
417,0,0,237439.12902832,3378.73657968724
418,0,2,96506.1802978516,1755.07134011903
419,0,2,22762.1830444336,637.014138970108
420,0,1,2565307.3515625,12710.7224726971
421,0,2,21331.7066650391,598.649832653496
422,0,2,56787.2091064453,1161.21411426044
423,0,2,69439.4235229492,1543.50957137192
424,0,3,134123.771362305,2824.56886881369
425,0,0,70346.6704711914,1233.66263631431
426,0,2,149684.831054688,2946.34515673178
427,0,2,44715.7365112305,964.20703342073
428,0,3,24700.9660644531,713.890909526222
429,0,3,109589.392333984,2554.89171567305
430,0,0,107976.678283691,2248.7690356372
431,0,2,47146.126953125,1008.0719075562
432,0,0,20596.5031738281,602.715612789899
433,0,2,82408.5894165039,1659.67738062875
434,0,2,63218.4993896484,1385.67638906816
435,0,1,517110.983032227,3268.56277217225
436,0,7,54372.8425292969,981.719982299374
437,0,3,175791.008361816,1794.01029974317
438,0,2,46964.1802978516,1094.87381677053
439,0,1,148753.845397949,1585.00411387942
440,0,2,3370.00799560547,622.096714287521
441,0,2,62413.1578979492,1331.82815122324
442,0,0,25952.6907958984,725.111968905499
443,0,7,726048.014282227,3477.02411952439
444,0,2,36606.1404418945,874.043690446751
445,0,2,116790.696044922,2371.2796136371
446,0,1,264010.079650879,4037.71217207004
447,0,2,143681.903137207,2725.94344732314
448,0,4,380643.083068848,3148.51917857059
449,0,3,69516.8560180664,1643.55983206701
450,0,2,60978.6440429688,1290.57870925711
451,0,2,33791.2163696289,821.580077314276
452,0,2,202404.21887207,3922.40578067719
453,0,2,110947.68963623,2259.86468619132
454,0,2,123642.818908691,2427.69009692747
455,0,2,144446.810791016,1500.25148136853
456,0,2,208144.340698242,3386.08785722228
457,0,3,1120734.97369385,5608.11115352494
458,0,2,47534.026550293,1069.3425701113
459,0,0,141848.532958984,2950.18692625586
460,0,3,63521.74609375,1330.84644640918
461,0,2,219371.819580078,3997.87875912625
462,0,2,218238.561767578,2425.216455338
463,0,2,68266.2176513672,1440.26280668353
464,0,2,65669.7697753906,1470.69141943615
465,0,7,129052.245544434,1673.48948055595
466,0,2,98689.5869750977,2258.52712049767
467,0,2,73632.7843017578,1547.85598669683
468,0,2,92020.7276000977,1822.98486242383
469,0,2,31735.2424926758,794.008058022047
470,0,2,159998.31072998,1915.56496019857
471,0,2,53640.189453125,1315.95819635391
472,0,2,109056.518432617,2173.79024619616
473,0,3,34988.7901611328,779.880656787548
474,0,3,37447.8267822266,815.616466330717
475,0,2,258602.036743164,4988.6244353271
476,0,4,209913.180358887,2869.91926393648
477,0,3,133491.769042969,2280.47318516689
478,0,2,164293.451477051,3094.0184078038
479,0,4,877313.125488281,4591.15784004111
480,0,2,22251.3172607422,616.518775294903
481,0,4,41425.1192016602,1015.04038854121
482,0,2,104512.716796875,2195.96472883531
483,0,3,371978.209716797,2373.91965340361
484,0,2,53175.5675048828,1214.0305036477
485,0,2,88294.3591918945,1732.55518112044
486,0,2,133471.249084473,2562.81900168818
487,0,2,64171.4725952148,979.855441146443
488,0,2,154858.967102051,1834.46106331117
489,0,2,151078.61529541,1891.31846620109
490,0,2,80954.4795532227,1677.05177746657
491,0,2,99660.8783569336,2018.12860643237
492,0,2,383914.123413086,2801.45184780613
493,0,0,68052.4724731445,1223.88336303356
494,0,2,104486.739746094,2089.67484465615
495,0,2,113166.52545166,2330.39216052069
496,0,2,19759.0454101563,592.603380141667
497,0,2,48158.1185913086,1122.41881620885
498,0,0,75398.1463012695,1412.23190877605
499,0,2,122402.894775391,2432.57388525832
500,0,2,94970.9795532227,2263.15510058137
501,0,4,83419.2446899414,1244.81289730216
502,0,0,69633.2022705078,1623.24631293097
503,0,2,143497.649475098,3116.12787053056
504,0,2,52903.2887573242,1208.71790528862
505,0,2,68347.7079467773,1433.22566670821
506,0,2,94157.4300537109,1744.20916725462
507,0,6,713515.285461426,3621.61094150826
508,0,0,122805.287414551,2144.2480397751
509,0,1,138590.151245117,1464.86326564093
510,0,0,68058.0194702148,1223.95914385801
511,0,0,82524.2583618164,1779.21832223791
512,0,2,117176.407226563,2120.01722832234
513,0,2,62343.8540649414,1440.35222733879
514,0,2,125171.912658691,1440.08256246457
515,,7,74488.6766357422,1217.17437758006
516,0,4,713445.287719727,3450.04316980398
517,0,7,76896.3974609375,1217.70334054465
518,0,3,546478.232910156,2974.67934092876
519,0,3,70623.5245361328,1173.71792142271
520,0,4,61965.9554443359,1418.60126486543
521,0,2,117009.91619873,2664.46022052066
522,0,2,255735.025085449,4344.86245027442
523,0,0,52742.1576538086,1006.0009579937
524,0,0,65107.8826293945,1417.33038338822
525,0,2,130757.486083984,1501.63769053666
526,0,2,204281.417236328,3412.96303375283
527,0,2,75678.0609741211,1435.47566737725
528,0,2,106371.203857422,2069.70194899103
529,0,2,56603.9088134766,1266.82936628628
530,0,2,161561.219116211,3144.61062018853
531,0,2,109818.053649902,2375.43468674078
532,0,3,16628.5917358398,514.823083311565
533,0,2,98597.8879394531,2106.87596387064
534,0,2,71080.3871459961,1174.66698708256
535,0,2,146062.030639648,1794.60599312351
536,0,2,496458.069641113,7876.78672406291
537,0,6,244044.917175293,2061.25449629883
538,0,2,104900.69708252,1758.93172493096
539,0,2,72131.8481445313,1533.03337262909
540,0,4,168669.199401855,2916.22570021753
541,0,2,55563.9771728516,1127.22942258717
542,0,4,95937.2196655273,1333.23395233824
543,0,2,15630.6619262695,546.853035777164
544,0,2,133565.184448242,2452.06908634485
545,0,2,95941.2860717773,1964.07299692372
546,0,2,68443.3378295898,1497.86893218619
547,0,3,143467.295288086,1718.79258470073
548,0,3,121113.053344727,1887.24239228298
549,0,0,58833.8591308594,1433.16380517465
550,0,0,154186.993713379,3037.39665429004
551,0,6,560021.879516602,3393.98417233297
552,0,2,73111.6627807617,1243.50607973158
553,0,2,178494.65802002,2036.43419160402
554,0,2,60933.6845703125,1349.00136363658
555,0,2,61305.9268798828,1378.9387585132
556,0,1,546175.780639648,3287.02672641026
557,0,0,26872.9685668945,738.223148417935
558,0,4,58056.680480957,988.218171487466
559,0,2,39960.7794799805,880.365801717854
560,0,3,249580.700500488,5982.83594174602
561,0,2,53300.0773925781,1201.67141659183
562,0,0,150201.856018066,1601.40579480723
563,0,2,76109.9180908203,1453.57799820292
564,0,4,651998.424804688,4715.03298847026
565,0,2,105932.070129395,2248.02782295573
566,0,4,1632135.13519287,5139.90357783178
567,0,2,64981.3970336914,1446.83571112174
568,0,2,231375.134765625,3489.10263655915
569,0,3,26890.4112548828,675.259824298072
570,0,2,47255.7196655273,1086.40188263984
571,0,0,89407.6209716797,2009.46288854118
572,0,2,43189.1661987305,1115.98107264555
573,0,5,378620.845275879,2450.82269700443
574,0,2,15888.143737793,504.001487951198
575,0,2,99716.2454223633,2153.05362134726
576,0,2,76103.0627441406,1531.74949131131
577,0,2,100650.701965332,1322.44808690442
578,0,2,57412.9514770508,1906.24498518541
579,0,2,25969.1128540039,700.253453742571
580,0,5,33414.9393310547,731.890037534466
581,0,2,173500.335693359,1707.00408691913
582,0,2,75861.9870605469,1703.31128413396
583,0,2,772421.010498047,8733.83857735143
584,0,2,82850.5643920898,1794.24052058537
585,0,2,126117.281005859,2402.82829235132
586,0,1,247740.348754883,1975.91027349296
587,0,2,32708.4037475586,750.487294320345
588,0,2,8955.53918457031,400.123795238134
589,0,4,415841.503540039,2699.63641397442
590,0,0,70338.5421142578,1233.60020387041
591,0,3,88320.353515625,1309.78509881663
592,0,3,256902.251525879,2315.89818298984
593,0,2,59384.7282714844,1239.40707528667
594,0,2,106576.137695313,2299.58672178933
595,0,1,705988.478942871,3761.32974277479
596,0,2,103335.135253906,2172.31466906111
597,0,2,137583.459655762,2752.49336222264
598,0,2,163943.588623047,2165.35654488513
599,0,0,10315.5059814453,488.549346542102
600,0,2,63210.969909668,1386.77996658419
601,0,2,51097.5123291016,1192.96711495063
602,0,2,26261.2739868164,709.282396760381
603,0,2,95848.0083007813,2024.49108583965
604,0,2,45897.2241821289,1030.07257658152
605,0,2,105274.053161621,2229.46884151431
606,0,0,88135.6411132813,2016.45347478152
607,0,3,116135.425170898,1354.62863376989
608,0,2,50410.4776000977,1061.53894530273
609,0,2,48525.1189575195,1166.11952418196
610,0,3,53899.7294921875,1075.6783273482
611,0,2,92781.7993164063,1946.21771146872
612,0,0,255056.419555664,2364.58191591725
613,0,1,410630.637207031,4533.54195700247
614,0,2,110972.27355957,2226.95164618711
615,0,2,88628.5684814453,1828.98026311795
616,0,2,120558.120544434,2620.05886168648
617,0,2,121584.949462891,2377.94592778739
618,0,2,166580.309631348,3271.3697222697
619,0,2,45507.3381347656,1064.41003027104
620,0,2,62928.4399414063,1513.20180972761
621,0,2,154422.122009277,1811.2527317826
622,0,4,25854.9663085938,655.027890221971
623,0,7,141688.269714355,1783.652590139
624,0,2,69736.9423828125,1525.63853365181
625,0,2,104960.93548584,2194.30825194923
626,0,0,74870.3447265625,1710.56159903916
627,0,2,81749.9400024414,1737.59386423329
628,0,3,350022.795288086,5328.22626979227
629,0,4,300260.232299805,2217.58836958284
630,0,1,222297.128723145,2406.25003569772
631,0,4,513219.304382324,3901.35581827082
632,0,2,140096.089233398,2727.84546147941
633,0,2,18900.7002563477,573.32201625511
634,0,4,164978.944885254,1705.62110122008
635,0,2,99412.8664550781,1961.84271184529
636,0,2,21929.6879272461,620.908127102973
637,0,2,134340.771240234,2776.45783111851
638,0,2,81372.2691650391,1571.61576278865
639,0,2,172383.980957031,1719.3182409732
640,0,3,666752.453796387,3406.88804188893
641,0,0,112006.791259766,1359.79030414892
642,0,0,31298.4653930664,867.771654912446
643,0,2,133181.682006836,2782.36171669032
644,0,2,37047.7924804688,818.483846095722
645,0,3,66568.4737548828,1204.36654294717
646,0,3,102432.199462891,1290.15147594135
647,0,2,66835.7203979492,1386.80651799292
648,0,2,54768.6948852539,1240.67933599534
649,0,2,159613.044311523,3316.43112139036
650,0,2,64635.9022216797,1409.9904157659
651,0,2,100374.15612793,1921.7923142694
652,0,0,84631.6729736328,1879.00736950542
