objectid,cyclevalue,namevalue,locationvalue,acres,nhdbasin,aquaticlife,recreation,fishconsumption,drinkingwatersupply,shape_area,shape_length
108.0,2010,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,49.9,1080205,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,2173456.36401367,8614.07142330482
110.0,2010,Gay City Pond (Hebron),Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,5.14,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,223781.077392578,2790.65186705454
111.0,2010,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,145.49,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6337717.80187988,11945.7822982541
116.0,2010,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,9.39,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,409075.181762695,4211.48706473134
118.0,2010,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",502.28,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,21879476.708252,31556.9655711367
119.0,2010,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",140.58,1080205,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,6123651.40002441,19689.5237317629
122.0,2010,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir",82.11,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3576632.83843994,14161.952164617
124.0,2010,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",30.96,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1348373.05950928,11255.5418040463
125.0,2010,Beseck Lake (Middlefield),East central Middlefield.,112.83,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4914699.51251221,12942.445154837
137.0,2010,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",77.15,1100002,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,3360761.06787109,12713.7080777554
142.0,2010,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River",10.68,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,465258.132019043,4528.27458217864
143.0,2010,Wadsworth Falls Park Pond (Middletown),"Small pond within Wadsworth Falls State Park, between mouths of Laurel Brook and Wadsworth Brook, Middlefield.",1.37,1080205,Not Assessed,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,59807.0780639648,966.014095373398
144.0,2010,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",0.58,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,25247.1849975586,812.441000152715
147.0,2010,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",14.3,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,622674.853637695,3909.72429641666
148.0,2010,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",9.35,1080205,Not Assessed,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,407170.603149414,3554.73329429429
150.0,2010,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield",6.05,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,263646.824890137,2833.0142623508
151.0,2010,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",1594.85,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,70562246.552124,190484.378351044
182.0,2010,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)",2.63,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,114672.52923584,1335.89294512298
