ID,Q1a_Service_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Promote_diversity/inclusiveness,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Are_emp_ethical-way_conduct_business,Q1l_Sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_of_streets-neighborhood,Q2b_Condition_of_sidewalks-neighborhood,Q2c_Maint_of_private_property-neighbor,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_of_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_Most_emphasis,Q3_2nd_emphasis,Q4_Condition_of_your_neighborhood,Q5_Public_safety_concern,Q6_Services/Facility_uses-past_12_mo,Q6_2nd,Q6_3rd,Q6_4th,Q6_5th,Q6_6th,Q6_7th,Q6_8th,Q6_9th,Q6_10th,Q6_11th,Q6_12th,Q6_13th,Q6_14th,Q6_15th,Q6_Other,Q7a_Quality_of_large_parks,Q7b_Recreation_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_history_museum,Q7i_Library_facilities,Q7j_Disability_access-prog/fac,Q8_Most_emphasis-programs,Q8_2nd_-_programs,Q9a_Library_services,Q9b_Condition_of_streets,Q9c_Condition/clarity_st_signs,Q9d_Local_transit_service,Q9e_Traffic_flow_streets,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maint-st/sidewalks,Q9j_Appearance_of_residential_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_svc,Q9p_Water_service,Q9q_Local_polices_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_to_prevent_crims,Q9u_Recreation_prot/svcs,Q9v_Maintenance_city_parks,Q10_Most_emphasis-city_services,Q10_2nd-city_services,Q10_3rd-city_services,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Most_emphasis-social/human_svcs,Q12_2nd-social/human_svcs,Q12_3rd-social/human_svcs,Q13_Use_to_get_information_about_city,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_receive_info,Q13a_2nd_preference,Q13a_3rd_preference,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded,Q14f_How_ell_issue_handled,Q15_City's_top_priority_next_year,Q15_2nd_priority,Q15_3rd_priority,Q15_4th_priority,Q15_5th_priority,Q18a_Years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_yr,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18_j_Have_Smart_Phone,Q18-j_Internet_access-home,Q18k_Visited_downtown_during_past_yr,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Zip,OBJECTID
11,4,5,4,3,4,4,5,3,3,3,4,4,3,3,4,4,2,9,4,5,5,C,A,3,,1,3,4,8,,,,,,,,,,,,,4,9,9,5,9,3,4,4,9,9,Z,,9,3,4,3,3,4,9,2,3,2,4,4,5,5,5,4,5,5,5,4,9,4,H,J,I,99,,,,,,,,,99,,,5,7,9,10,,,,,,,5,9,10,9,,,,,,6,8,,,,5,4,1,1,2,1,2,5,1,1,2,1,1,3,,,,,85281,10
12,4,4,4,4,4,5,4,4,4,4,4,4,5,4,2,4,4,4,4,4,3,A,F,4,,2,3,4,7,10,11,12,13,,,,,,,,,4,9,9,9,9,4,9,5,5,9,Z,,5,2,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,E,,,99,,,,,,,,,4,6,7,2,5,9,,,,,,,,99,,,2,,,,,,2,11,,,,5,5,2,1,2,1,1,5,1,1,2,1,1,3,,,,,85282,11
13,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,2,1,3,1,2,D,F,3,,2,3,10,11,,,,,,,,,,,,,4,4,3,3,3,4,3,4,4,4,C,D,4,4,3,4,3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,4,3,3,J,K,O,99,,,,,,,,,99,,,1,2,5,9,,,,,,,2,5,9,2,,,,,,6,7,,,,5,5,2,1,2,2,1,2,1,1,2,2,1,4,,,,,85282,12
14,2,4,4,3,4,4,3,2,3,1,1,3,1,1,1,1,3,1,5,3,1,A,G,3,,99,,,,,,,,,,,,,,,,4,3,3,3,4,4,4,4,4,4,Z,,5,1,5,5,1,1,1,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,Q,T,P,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,1,3,3,3,3,3,99,,,,,1,1,1,2,1,2,1,3,1,1,1,1,1,3,,,,,85282,13
15,4,3,4,3,4,4,3,3,3,3,3,4,4,3,4,2,2,1,4,4,2,C,G,3,,2,3,5,7,9,10,11,,,,,,,,,,4,4,4,4,9,9,9,4,4,9,E,J,4,4,3,5,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,H,J,I,2,3,9,,,,,,,2,,,2,5,9,,,,,,,,99,,,2,,,,,,6,11,,,,5,4,2,1,2,1,1,4,1,2,1,1,1,3,,,,,85281,14
16,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,C,E,2,,2,3,4,7,11,12,14,,,,,,,,,,5,5,5,5,5,5,9,5,5,9,I,E,5,4,5,5,2,2,4,2,5,4,5,5,5,5,5,5,5,5,5,4,5,5,T,F,E,9,,,,,,,,,2,3,5,2,5,,,,,,,,,99,,,2,,,,,,1,9,,,,5,3,2,1,2,1,1,5,1,1,2,1,1,3,,,,,85281,15
17,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,4,4,9,4,5,5,C,D,5,,3,4,5,8,11,14,,,,,,,,,,,5,9,9,5,9,9,5,9,9,9,A,E,9,5,5,5,4,4,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,V,J,H,99,,,,,,,,,99,,,5,8,,,,,,,,,5,8,6,1,5,5,4,5,5,2,11,,,,3,1,1,1,1,1,1,4,1,1,1,1,1,3,,,,,85281,16
18,5,5,5,5,5,5,5,5,5,5,5,9,4,5,4,4,4,5,5,5,5,C,,4,,2,3,4,8,10,12,14,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,A,F,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,H,J,T,2,,,,,,,,,2,3,9,2,4,5,9,,,,,,,5,2,,1,5,5,5,5,5,4,7,,,,5,6,2,2,2,2,1,4,1,1,2,1,1,2,3,,,,85282,17
19,4,4,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,A,F,4,,3,6,14,,,,,,,,,,,,,,4,3,3,3,3,3,9,9,9,5,A,J,9,4,4,5,4,4,4,3,4,4,3,4,5,5,5,5,5,2,4,4,9,4,R,T,M,99,,,,,,,,,99,,,5,7,9,10,,,,,,,5,7,10,9,,,,,,3,7,,,,5,3,2,2,2,1,1,2,1,1,2,1,1,3,,,,,85282,18
20,5,5,5,5,5,5,9,5,5,9,9,5,5,9,5,5,5,9,2,5,4,E,G,5,,3,4,12,,,,,,,,,,,,,,5,9,9,9,9,9,9,9,9,9,Z,,9,5,5,9,4,5,9,9,5,5,5,5,5,5,5,5,5,5,9,3,9,5,T,E,F,99,,,,,,,,,99,,,5,,,,,,,,,,5,1,8,1,5,5,5,5,5,9,11,,,,4,3,1,2,2,1,2,5,1,1,1,1,1,3,,,,,85284,19
21,4,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,F,A,3,,4,11,,,,,,,,,,,,,,,3,3,3,3,3,3,4,3,3,3,A,D,3,3,3,4,3,3,3,3,3,2,3,3,4,4,4,3,3,3,3,3,3,3,J,H,K,99,,,,,,,,,99,,,5,7,9,,,,,,,,5,7,9,2,,,,,,2,6,,,,3,1,1,1,1,1,1,5,2,1,1,1,1,4,,,,,85281,20
22,5,3,4,9,4,4,9,3,3,3,9,3,3,3,2,3,1,5,4,2,3,A,C,2,,1,3,6,11,14,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,Z,,4,1,4,4,3,4,3,1,3,1,4,3,5,5,4,4,5,4,5,3,3,4,B,H,E,99,,,,,,,,,99,,,3,5,9,,,,,,,,5,9,3,1,4,4,4,5,5,2,3,,,,5,4,2,1,2,1,1,4,1,1,2,1,1,3,,,,,85281,21
23,4,4,4,4,4,3,4,4,4,4,4,4,2,2,4,2,4,4,3,1,1,F,G,4,,1,2,3,4,5,6,9,10,11,12,13,,,,,,4,4,4,4,4,4,4,4,4,2,E,F,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,U,D,V,1,3,4,5,8,9,,,,9,8,3,2,5,6,8,,,,,,,6,2,8,1,1,4,3,4,3,4,10,,,,5,2,2,1,2,2,1,4,1,1,2,1,1,3,,,,,85281,22
24,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,3,4,3,3,E,A,3,,2,3,5,8,10,11,13,14,,,,,,,,,2,3,3,2,1,4,4,4,4,4,E,D,4,2,4,4,4,4,2,3,3,3,3,2,4,4,3,3,4,3,4,3,2,3,U,G,B,1,6,8,9,,,,,,9,6,1,1,2,4,7,8,9,10,,,,4,9,1,1,4,4,2,2,2,4,5,,,,5,4,1,1,2,2,1,5,1,1,1,1,1,3,,,,,85282,23
25,3,5,5,3,5,5,3,2,1,1,2,3,4,4,1,3,1,4,5,5,5,A,C,3,,2,3,6,7,11,,,,,,,,,,,,5,5,3,5,5,5,9,5,5,5,C,,5,1,4,5,5,5,5,2,5,2,2,3,5,5,5,3,5,5,5,5,5,5,B,H,J,99,,,,,,,,,99,,,2,4,5,,,,,,,,5,4,2,1,5,5,5,5,5,3,8,,,,5,4,2,1,2,1,1,4,1,1,1,1,1,3,,,,,85282,24
26,3,4,4,9,9,4,1,2,3,3,3,1,3,3,4,4,3,4,4,4,4,Z,,4,,2,3,,,,,,,,,,,,,,,5,9,9,9,9,9,9,9,4,9,Z,,5,4,4,9,3,9,9,9,4,3,3,4,4,3,3,4,4,3,3,3,3,4,Z,,,99,,,,,,,,,99,,,4,8,,,,,,,,,99,,,1,2,1,1,2,2,5,,,,,1,3,2,2,2,2,1,5,2,2,2,2,2,3,,,,,85282,25
27,5,5,4,2,4,4,4,4,4,4,4,5,4,4,5,4,2,4,4,2,4,C,F,3,,2,3,4,7,,,,,,,,,,,,,5,3,3,3,3,3,3,4,4,3,H,I,4,5,5,5,4,5,4,2,4,4,4,5,5,5,4,5,9,4,4,9,9,4,H,F,D,99,,,,,,,,,99,,,2,5,7,8,9,10,,,,,99,,,1,4,4,2,4,2,2,7,,,,5,5,1,1,2,1,1,3,1,2,2,1,1,3,,,,,85281,26
28,4,4,4,4,4,3,4,5,4,4,4,4,3,3,2,3,2,2,4,5,4,A,C,3,,2,3,4,11,14,,,,,,,,,,,,5,3,3,3,4,4,3,5,5,5,E,F,5,4,4,4,4,5,5,2,2,2,4,4,4,4,4,4,5,5,4,4,4,5,H,I,J,99,,,,,,,,,99,,,5,7,9,10,,,,,,,7,9,10,2,,,,,,1,5,,,,5,5,1,1,2,1,1,3,1,2,2,1,1,3,,,,,85282,27
29,4,4,4,4,4,4,3,4,4,3,9,9,4,3,4,4,4,3,4,4,4,E,A,5,,2,11,,,,,,,,,,,,,,,3,3,9,9,9,9,9,9,9,9,A,,9,4,4,3,3,3,3,4,4,4,4,4,5,4,5,5,4,4,3,3,9,9,G,L,T,99,,,,,,,,,99,,,5,7,9,10,,,,,,,9,8,7,2,,,,,,8,12,,,,5,5,1,2,2,1,2,3,1,1,2,1,1,3,,,,,85283,28
30,5,5,5,5,5,5,9,5,4,4,9,5,5,5,2,4,4,3,4,5,5,A,D,4,,2,4,8,,,,,,,,,,,,,,4,5,4,4,4,4,3,9,5,9,G,A,5,4,4,4,4,4,4,9,4,3,3,4,5,5,5,5,5,3,4,4,4,4,R,J,K,99,,,,,,,,,99,,,3,7,9,,,,,,,,99,,,1,5,5,5,5,5,3,11,,,,5,5,2,2,2,1,1,4,1,1,1,1,1,3,,,,,85284,29
31,4,4,4,2,4,2,3,1,1,1,2,2,2,2,4,4,4,9,3,1,1,E,G,9,,99,,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,9,5,A,J,9,4,1,9,2,9,1,1,3,3,4,4,4,4,4,4,4,4,4,2,9,3,R,Q,T,99,,,,,,,,,99,,,7,8,,,,,,,,,8,7,,2,,,,,,2,8,,,,5,2,1,2,2,1,2,5,2,1,1,1,1,3,,,,,85282,30
32,4,4,4,9,4,4,4,9,4,3,9,4,3,4,4,4,4,4,9,4,4,E,G,4,,2,3,4,7,9,10,11,12,13,14,,,,,,,4,4,4,4,4,4,9,4,4,4,A,I,4,4,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,9,4,4,T,E,K,99,,,,,,,,,7,3,6,2,5,10,,,,,,,,10,5,2,2,,,,,,8,12,,,,3,2,2,1,2,1,2,5,1,2,1,1,1,3,,,,,85281,31
33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,D,C,5,,3,4,6,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,E,F,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,T,R,J,99,,,,,,,,,7,8,9,5,6,9,,,,,,,,6,5,,2,,,,,,3,11,,,,5,3,2,1,2,1,2,3,1,1,1,1,1,3,,,,,85284,32
34,4,3,4,2,3,2,3,3,4,3,3,3,3,1,4,4,2,9,2,4,3,E,C,2,,3,4,5,6,14,,,,,,,,,,,,4,4,4,4,3,3,3,4,3,3,Z,,3,4,4,3,4,4,4,1,4,4,4,4,1,4,4,1,2,3,3,2,4,4,T,M,,99,,,,,,,,,99,,,1,5,7,8,9,,,,,,99,,,1,4,4,2,4,2,6,8,,,,4,4,1,2,2,2,2,5,2,1,2,1,1,3,,,,,85284,33
35,5,4,5,9,5,5,5,4,4,5,9,5,5,5,4,4,3,4,4,5,4,A,E,3,,2,3,4,5,9,10,11,12,14,,,,,,,,5,4,1,4,4,4,4,4,5,9,A,E,5,5,5,5,4,4,5,3,4,3,5,4,5,5,5,5,5,5,5,5,5,5,Q,U,A,9,,,,,,,,,9,2,3,2,3,5,8,,,,,,,6,3,8,2,,,,,,3,8,,,,4,2,2,1,2,1,1,5,1,1,1,1,1,4,,,,,85282,34
36,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,2,3,4,2,G,B,3,,2,3,4,11,12,14,,,,,,,,,,,4,3,9,3,9,9,9,4,3,9,I,A,3,3,3,4,4,4,3,9,9,9,9,4,3,1,9,3,3,3,3,3,4,4,N,G,F,99,,,,,,,,,9,,,3,5,8,,,,,,,,5,8,6,2,,,,,,4,10,,,,4,1,1,1,1,2,1,4,2,2,1,1,1,3,,,,,85281,35
37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,9,5,5,5,E,A,4,,99,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,Z,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,9,,,,,,99,,,,,5,5,2,2,2,1,2,2,1,2,2,2,1,4,,,,,85281,36
38,4,2,2,2,3,2,2,2,2,2,4,3,2,3,4,4,2,3,2,4,4,E,C,4,,2,3,4,8,15,,,,,,,,,,,BUILDING INSPECTORS           ,4,4,4,4,4,4,4,4,4,4,Z,,4,2,2,3,2,4,4,1,2,3,2,2,5,5,5,5,4,4,5,2,4,4,H,I,G,99,,,,,,,,,99,,,4,5,8,,,,,,,,5,8,4,1,4,5,4,5,4,2,11,,,,4,5,1,1,2,1,1,4,1,1,1,1,2,3,,,,,85282,37
39,5,4,5,4,5,5,4,4,4,3,3,3,4,4,4,4,2,4,4,3,5,C,,3,,2,3,4,5,8,11,12,,,,,,,,,,5,5,3,5,3,3,5,9,5,3,A,G,5,4,4,5,4,5,4,2,4,2,3,4,5,5,5,5,5,5,5,4,5,5,H,J,T,99,,,,,,,,,99,,,7,9,10,,,,,,,,99,,,1,5,5,5,4,4,3,6,,,,5,5,1,1,2,1,1,5,1,1,1,1,1,4,,,,,85282,38
40,4,4,4,4,5,4,3,4,3,4,3,3,3,4,4,4,4,4,4,2,2,F,G,4,,2,3,4,5,11,,,,,,,,,,,,3,9,9,4,9,9,9,9,5,9,A,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,V,T,,99,,,,,,,,,99,,,2,3,5,7,10,,,,,,2,7,5,2,,,,,,7,10,,,,4,1,1,1,1,1,1,4,1,1,1,1,1,3,,,,,85282,39
41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,F,B,3,,3,8,,,,,,,,,,,,,,,4,3,3,4,3,3,5,3,3,3,Z,,3,4,3,3,2,3,1,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,G,E,U,99,,,,,,,,,9,8,,5,,,,,,,,,,8,2,,1,3,4,4,4,4,6,8,,,,5,1,1,2,1,2,1,4,1,1,1,1,1,3,,,,,85282,40
42,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,3,F,C,3,,3,4,,,,,,,,,,,,,,,4,9,5,5,5,5,5,4,5,4,F,E,5,4,3,2,4,5,5,1,2,2,1,4,5,5,5,5,5,5,5,5,5,4,H,K,D,2,9,,,,,,,,2,9,7,2,3,5,6,,,,,,,6,2,3,2,,,,,,6,,,,,5,3,2,1,2,1,1,3,1,1,1,1,1,3,,,,,85283,41
43,4,5,5,9,9,1,2,9,1,2,5,3,3,9,4,9,3,5,5,5,4,F,,4,,14,,,,,,,,,,,,,,,,4,4,9,9,9,9,9,9,5,4,I,J,5,5,4,4,3,4,9,9,4,4,4,4,5,5,5,5,5,5,5,5,4,4,R,S,T,99,,,,,,,,,2,3,6,4,5,9,,,,,,,,5,4,9,2,,,,,,8,12,,,,5,6,1,2,1,2,1,4,1,2,2,1,2,3,,,,,85282,42
44,3,3,3,3,3,3,9,9,9,9,4,9,9,9,4,4,1,4,3,3,1,G,F,3,,3,4,,,,,,,,,,,,,,,4,4,9,9,9,9,9,9,9,9,E,A,9,3,3,9,1,3,1,1,3,1,3,3,5,5,5,5,9,1,9,9,9,9,R,J,G,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,2,,,,,,6,,,,,3,1,2,2,1,1,1,3,1,1,2,1,1,3,,,,,85281,43
