contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
letter,What happened before the Big Bang?,"<p>Was the Universe before the Big Bang of classical nature, described well by a smooth space&#8211;time? Or was it in a highly fluctuating quantum state? This is one of the most basic questions that we may ask once it is accepted that there was something before the Big Bang. Loop quantum gravity applied to isotropic models has shown that the quantum evolution of a wavefunction extends through the Big Bang. Although a general demonstration is still lacking, this may suggest that calculations, and possibly future indirect observations, may allow us to see the Universe as it was before the Big Bang. Here, we analyse an explicit model with a pre-Big Bang era, indicating limitations that would imply that it is practically impossible to answer some of our questions. Assumptions (or prejudice) will remain necessary for knowing the precise state of the Universe, which cannot be fully justified within science itself.</p>",[],True,"[""Martin Bojowald""]","Bojowald, M. What happened before the Big Bang?. Nature Phys3, 523–525 (2007).",1823,43,57,aplusplus,10.1038/nphys654,https://doi.org/10.1038/nphys654,,8,nphys,nature physics,1183248000,2007-07-01,,https://www.nature.com/articles/nphys654,3
letter,Weather in stellar atmosphere revealed by the dynamics of mercury clouds in α Andromedae,"<p>The formation of long-lasting structures at the surfaces of stars is commonly ascribed to the action of strong magnetic fields. This paradigm is supported by observations of evolving cool spots in the Sun and active late-type stars, and stationary chemical spots in the early-type magnetic stars. However, results of our seven-year monitoring of mercury spots in non-magnetic early-type star &#945;&#160;Andromedae show that the picture of magnetically driven structure formation is fundamentally incomplete. Using an indirect stellar-surface mapping technique, we construct a series of two-dimensional images of starspots and discover a secular evolution of the mercury cloud cover in this star. This remarkable structure-formation process, observed for the first time in any star, is plausibly attributed to a non-equilibrium, dynamical evolution of the heavy-element clouds created by atomic diffusion, and may have the same underlying physics as the weather patterns on terrestrial and giant planets.</p>",[],True,"[""Oleg Kochukhov"", ""Saul J. Adelman"", ""Austin F. Gulliver"", ""Nikolai Piskunov""]","Kochukhov, O., Adelman, S., Gulliver, A. et al. Weather in stellar atmosphere revealed by the dynamics of mercury clouds in α Andromedae. Nature Phys3, 526–529 (2007).",66,3,49,aplusplus,10.1038/nphys648,https://doi.org/10.1038/nphys648,,8,nphys,nature physics,1182643200,2007-06-24,,https://www.nature.com/articles/nphys648,3
letter,Violation of the London law and Onsager–Feynman quantization in multicomponent superconductors,"<p>Non-classical response to rotation is a hallmark of quantum ordered states such as superconductors and superfluids. The rotational responses of all currently known single-component &#8216;super&#8217; states of matter (superconductors, superfluids and supersolids) are largely described by two fundamental principles and fall into two categories according to whether the systems are composed of charged or neutral particles: the London law relating the angular velocity to a subsequently established magnetic field and the Onsager&#8211;Feynman quantization of superfluid velocity. These laws are theoretically shown to be violated in a two-component superconductor such as the projected liquid metallic states of hydrogen and deuterium at high pressures. The rotational responses of liquid metallic hydrogen or deuterium identify them as a new class of dissipationless states; they also directly point to a particular experimental route for verification of their existence.</p>",[],True,"[""Egor Babaev"", ""N. W. Ashcroft""]","Babaev, E., Ashcroft, N. Violation of the London law and Onsager–Feynman quantization in multicomponent superconductors. Nature Phys3, 530–533 (2007).",275,3,50,aplusplus,10.1038/nphys646,https://doi.org/10.1038/nphys646,,8,nphys,nature physics,1182038400,2007-06-17,,https://www.nature.com/articles/nphys646,3
letter,Controlled dephasing of electrons by non-gaussian shot noise,"<p>In a &#8216;controlled dephasing&#8217; experiment, an interferometer loses its coherence owing to entanglement of the interfering electron with a controlled quantum system, which effectively is equivalent to path detection. In previous experiments, only partial dephasing was achieved owing to weak interactions between many detector electrons and the interfering electron, leading to a gaussian-phase randomizing process. Here, we report the opposite extreme, where interference is completely destroyed by a few (that is, one to three) detector electrons, each of which has a strong randomizing effect on the phase. We observe quenching of the interference pattern in a periodic, lobe-type fashion as the detector current is varied, and with a peculiar V-shaped dependence on the detector&#8217;s partitioning. We ascribe these features to the non-gaussian nature of the noise, which is also important for qubit decoherence. In other words, the interference seems to be highly sensitive to the full counting statistics of the detector&#8217;s shot noise.</p>",[],True,"[""Izhar Neder"", ""Florian Marquardt"", ""Moty Heiblum"", ""Diana Mahalu"", ""Vladimir Umansky""]","Neder, I., Marquardt, F., Heiblum, M. et al. Controlled dephasing of electrons by non-gaussian shot noise. Nature Phys3, 534–537 (2007).",222,9,78,aplusplus,10.1038/nphys627,https://doi.org/10.1038/nphys627,,8,nphys,nature physics,1180828800,2007-06-03,,https://www.nature.com/articles/nphys627,3
letter,Quantum interference of photon pairs from two remote trapped atomic ions,"<p>Trapped atomic ions are among the most attractive implementations of quantum bits for applications in quantum-information processing, owing to their long trapping lifetimes and long coherence times. Although nearby trapped ions can be entangled through their Coulomb-coupled motion, it seems more natural to entangle remotely located ions through a coupling mediated by photons, eliminating the need to control the ion motion. A promising way to entangle ions via a photonic channel is to interfere two photons emitted from the ions and then detect appropriate photon coincidence events. Here, we report the pivotal element of this scheme in the observation of quantum interference between pairs of single photons emitted from two atomic ions residing in independent traps.</p>",[],True,"[""P. Maunz"", ""D. L. Moehring"", ""S. Olmschenk"", ""K. C. Younge"", ""D. N. Matsukevich"", ""C. Monroe""]","Maunz, P., Moehring, D., Olmschenk, S. et al. Quantum interference of photon pairs from two remote trapped atomic ions. Nature Phys3, 538–541 (2007).",911,0,177,aplusplus,10.1038/nphys644,https://doi.org/10.1038/nphys644,,8,nphys,nature physics,1181433600,2007-06-10,,https://www.nature.com/articles/nphys644,3
letter,Electrical spin-injection into silicon from a ferromagnetic metal/tunnel barrier contact,"<p>The electron&#8217;s spin angular momentum is one of several alternative state variables under consideration on the International Technology Roadmap for Semiconductors (ITRS) for processing information in the fundamentally new ways that will be required beyond the ultimate scaling limits of silicon-based complementary metal&#8211;oxide&#8211;semiconductor technology. Electrical injection/transport of spin-polarized carriers is prerequisite for developing such an approach. Although significant progress has been realized in GaAs (ref.&#160;), little progress has been made in Si, despite its overwhelming dominance of the semiconductor industry. Here, we report successful injection of spin-polarized electrons from an iron film through an Al<sub>2</sub>O<sub>3</sub> tunnel barrier into Si(001). The circular polarization of the electroluminescence resulting from radiative recombination in Si and in GaAs (in Si/AlGaAs/GaAs structures) tracks the Fe magnetization, confirming that these spin-polarized electrons originate from the Fe contact. The polarization reflects Fe majority spin. We determine a lower bound for the Si electron spin polarization of 10%, and obtain an estimate of &#8764;30% at 5&#8201;K, with significant polarization extending to at least 125&#8201;K. We further demonstrate spin transport across the Si/AlGaAs interface.</p>",[],True,"[""Berend T. Jonker"", ""George Kioseoglou"", ""Aubrey T. Hanbicki"", ""Connie H. Li"", ""Phillip E. Thompson""]","Jonker, B., Kioseoglou, G., Hanbicki, A. et al. Electrical spin-injection into silicon from a ferromagnetic metal/tunnel barrier contact. Nature Phys3, 542–546 (2007).",810,3,301,aplusplus,10.1038/nphys673,https://doi.org/10.1038/nphys673,,8,nphys,nature physics,1184457600,2007-07-15,,https://www.nature.com/articles/nphys673,3
letter,Tunable scaling behaviour observed in Barkhausen criticality of a ferromagnetic film,"<p>A ferromagnetic material shows a sequence of discrete and jerky domain jumps, known as the Barkhausen avalanche, in the presence of an external magnetic field. Studies of Barkhausen avalanches reveal power-law scaling behaviour that suggests an underlying criticality, as observed in a wide variety of systems such as superconductor vortices, microfractures, earthquakes, lung inflations, mass extinctions, financial markets and charge-density waves. The most interesting unsolved fundamental question is whether the universality in the scaling exponent holds regardless of the material and its detailed microstructure. Here we show that the scaling behaviour of Barkhausen criticality in a given ferromagnetic film is experimentally tunable by varying the temperature (not dimensionality). We observe for the first time that the scaling behaviour in the Barkhausen criticality of a given system crosses over between two universality classes when the relative contributions from the dipolar interaction and domain-wall energies are altered by an experimental parameter.</p>",[],True,"[""Kwang-Su Ryu"", ""Hiro Akinaga"", ""Sung-Chul Shin""]","Ryu, KS., Akinaga, H. & Shin, SC. Tunable scaling behaviour observed in Barkhausen criticality of a ferromagnetic film. Nature Phys3, 547–550 (2007).",274,0,68,aplusplus,10.1038/nphys659,https://doi.org/10.1038/nphys659,,8,nphys,nature physics,1184457600,2007-07-15,,https://www.nature.com/articles/nphys659,3
letter,Colossal magnetocapacitance and scale-invariant dielectric response in phase-separated manganites,"<p>Afull characterization of phase separation and the competition between phases is necessary for a comprehensive understanding of strongly correlated electron materials, such as under-doped high-temperature superconductors, complex oxide heterojunctions, spinels, multiferroics, rare-earth ferroelectric manganites and mixed-valence manganites in which phase competition is the dominant mechanism governing the insulator&#8211;metal (IM) transition and the associated colossal magnetoresistance effect. Thin films of strongly correlated electron materials are often grown epitaxially on planar substrates and typically have anisotropic properties that are usually not captured by edge-mounted four-terminal electrical measurements, which are primarily sensitive to in-plane conduction paths. We present an experimental study of anisotropic transport in phase-separated manganite thin films by using an unconventional arrangement of contact electrodes that enables the simultaneous determination of colossal magnetoresistance associated with d.c. transport parallel to the film substrate and colossal magnetocapacitance associated with a.c. transport in the perpendicular direction. We distinguish two distinct direction-dependent IM transitions and find a dielectric response that collapses onto a scale-invariant dependence over a large range of frequency, temperature and magnetic field.</p>",[],True,"[""Ryan P. Rairigh"", ""Guneeta Singh-Bhalla"", ""Sefaatin Tongay"", ""Tara Dhakal"", ""Amlan Biswas"", ""Arthur F. Hebard""]","Rairigh, R., Singh-Bhalla, G., Tongay, S. et al. Colossal magnetocapacitance and scale-invariant dielectric response in phase-separated manganites. Nature Phys3, 551–555 (2007).",220,3,46,aplusplus,10.1038/nphys626,https://doi.org/10.1038/nphys626,,8,nphys,nature physics,1180224000,2007-05-27,,https://www.nature.com/articles/nphys626,3
letter,Imaging single atoms in a three-dimensional array,"<p>Asingle neutral atom trapped by light is a promising qubit. It has weak, well-understood interactions with the environment, its internal state can be precisely manipulated, interactions that entangle atoms can be varied from negligible to strong and many single atoms can be trapped near each other in an optical lattice. This collection of features would allow for a relatively large quantum computer if each neutral atom qubit could be independently detected and addressed. A quantum computer with even 50 qubits would allow quantum simulations that are out of the reach of classical computers. So far, fewer than ten single atoms have been simultaneously imaged. Here we demonstrate trapping and imaging of 250 single atoms in a three-dimensional optical lattice and show that imaging is highly unlikely to change the pattern of site occupancy. Our lattice spacing is large enough that, in principle, individual atoms can be addressed, which in combination with reproducible imaging should allow for verifiable filling of vacancies, execution of site-specific quantum gates and measurement of each atom&#8217;s final quantum state. The lattice we use can readily be scaled to include thousands of trapped atoms.</p>",[],True,"[""Karl D. Nelson"", ""Xiao Li"", ""David S. Weiss""]","Nelson, K., Li, X. & Weiss, D. Imaging single atoms in a three-dimensional array. Nature Phys3, 556–560 (2007).",1260,14,249,aplusplus,10.1038/nphys645,https://doi.org/10.1038/nphys645,,8,nphys,nature physics,1182038400,2007-06-17,,https://www.nature.com/articles/nphys645,3
article,Fractional quantum Hall effect in a quantum point contact at filling fraction 5/2,"<p>Recent theories suggest that the quasiparticles that populate certain quantum Hall states should exhibit exotic braiding statistics that could be used to build topological quantum gates. Confined systems that support such states at a filling fraction &#957;=5/2 are of particular interest for testing these predictions. Here, we report transport measurements of just such a system, which consists of a quantum point contact (QPC) in a two-dimensional GaAs/AlGaAs electron gas that itself exhibits a well-developed fractional quantum Hall effect at a bulk filling fraction &#957;<sub>bulk</sub>=5/2. We observe plateau-like features at an effective filling fraction of &#957;<sub>QPC</sub>=5/2 for lithographic contact widths of 1.2&#8201;&#956;m and 0.8&#8201;&#956;m, but not 0.5&#8201;&#956;m. Transport near &#957;<sub>QPC</sub>=5/2 in the QPCs is consistent with a picture of chiral Luttinger-liquid edge states with inter-edge tunnelling, suggesting that an incompressible state at &#957;<sub>QPC</sub>=5/2 forms in this confined geometry.</p>",[],False,"[""Jeffrey B. Miller"", ""Iuliana P. Radu"", ""Dominik M. Zumb\u00fchl"", ""Eli M. Levenson-Falk"", ""Marc A. Kastner"", ""Charles M. Marcus"", ""Loren N. Pfeiffer"", ""Ken W. West""]","Miller, J., Radu, I., Zumbühl, D. et al. Fractional quantum Hall effect in a quantum point contact at filling fraction 5/2. Nature Phys3, 561–565 (2007).",274,3,69,aplusplus,10.1038/nphys658,https://doi.org/10.1038/nphys658,,8,nphys,nature physics,1183248000,2007-07-01,,https://www.nature.com/articles/nphys658,3
article,Pinch points and Kasteleyn transitions in kagome ice,"<p>Complex disordered states&#8212;from liquids and glasses to exotic quantum matter&#8212;are ubiquitous in nature. Their key properties include finite entropy, power-law correlations and emergent organizing principles. In spin ice, spin correlations are determined by the &#8216;ice rules&#8217; organizing principle that stabilizes a magnetic state with the same zero-point entropy as water ice. The entropy can be manipulated with great precision by an applied magnetic field: when directed along the three-fold crystallographic axis, the field produces a state of finite entropy, known as kagome ice. Here, we investigate the spin-ice material Ho<sub>2</sub>Ti<sub>2</sub>O<sub>7</sub> by tilting the magnetic field slightly away from that axis. We thus realize a classic statistical system named after Kasteleyn, in which the entropy of a critical phase can be continuously tuned. Our neutron scattering experiments reveal how this process occurs at a microscopic level.</p>",[],False,"[""T. Fennell"", ""S. T. Bramwell"", ""D. F. McMorrow"", ""P. Manuel"", ""A. R. Wildes""]","Fennell, T., Bramwell, S., McMorrow, D. et al. Pinch points and Kasteleyn transitions in kagome ice. Nature Phys3, 566–572 (2007).",325,0,76,aplusplus,10.1038/nphys632,https://doi.org/10.1038/nphys632,,8,nphys,nature physics,1181433600,2007-06-10,,https://www.nature.com/articles/nphys632,3
article,"A non-volatile-memory device on the basis of engineered anisotropies in (Ga,Mn)As","<p>The rich anisotropic transport behaviour shown by ferromagnetic semiconductors arises from a complex interplay of their electronic density of states and magnetic response. Such behaviour promises to enable devices whose ability to manipulate information in the form of electronic spin goes well beyond the now ubiquitous spin-valve read heads of magnetoelectronics, and on a platform that is compatible with conventional complementary metal oxide semiconductor technology. Most ferromagnetic semiconductor devices so far have relied on the bulk anisotropic behaviour of their constituent layers. Recent improvements in lithographic patterning enable the fabrication of a novel class of devices in which the anisotropy of many individual elements can be independently engineered. Here we demonstrate the first such device consisting of two nanobars with mutually orthogonal easy axes linked by a constriction. It behaves as a non-volatile memory element, where information can be written by setting the relative orientation of the magnetization of the nanobars, and read by measuring the constriction resistance.</p>",[],False,"[""Katrin Pappert"", ""Silvia H\u00fcmpfner"", ""Charles Gould"", ""Jan Wenisch"", ""Karl Brunner"", ""Georg Schmidt"", ""Laurens W. Molenkamp""]","Pappert, K., Hümpfner, S., Gould, C. et al.A non-volatile-memory device on the basis of engineered anisotropies in (Ga, Mn)As. Nature Phys3, 573–578 (2007).",51,0,46,aplusplus,10.1038/nphys652,https://doi.org/10.1038/nphys652,,8,nphys,nature physics,1183248000,2007-07-01,,https://www.nature.com/articles/nphys652,3
futures,Physics 2.0,,[],True,"[""Craig DeLancey""]","DeLancey, C. Physics 2.0. Nature Phys3, 580 (2007).",85,6,0,aplusplus,10.1038/nphys693,https://doi.org/10.1038/nphys693,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys693,3
in this issue,This issue,,[],True,[],"This issue. Nature Phys3,v (2007).",16,0,0,aplusplus,10.1038/nphys695,https://doi.org/10.1038/nphys695,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys695,3
