478.longitude,-65.63229325426207,-87.6797791725
52.communityareaname,CALUMTE HEIGHTS,CALUMET HEIGHTS
219.xcoordinate,1695881.4598958478,1189144.3247518237
307.buffersize,***,B
454.xcoordinate,984370.7709892892,1154304.8135324095
438.communityareaname,JEFFERSON ARK,JEFFERSON PARK
178.locationvalue,"(41.7958707987, -87.653441182)","(41.7958707987, -87.6453441182)"
319.buffersize,tB,B
408.xcoordinate,1654822.840215738,1132926.40115027
39.address,5829 S xARCHER AVE,5829 S ARCHER AVE
492.locationvalue,"(41.8759443554, -87.7452502275)***","(41.8759443554, -87.7452502275)"
118.communityareaname,HERMOAS,HERMOSA
290.locationvalue,"(41.8440327965 ,-87.7324328647)","(41.8440327965, -87.7324328647)"
40.communityareaname,INCOLN SQUARE,LINCOLN SQUARE
89.buffersize,,B
478.locationvalue,"(41.691679204, -87.679779172)5","(41.691679204, -87.6797791725)"
405.longitude,-78.31892668703891,-87.7260437419
120.locationvalue,"(41.6923192666, -87.6546632113)","(41.6923196266, -87.6546632113)"
22.buffersize,***,A
417.xcoordinate,1636837.8210481787,1153421.1387810074
373.buffersize,***,B
1.longitude,-47.995284011391576,-87.7524941982
196.storename,J R GROCERY STOmRE,J R GROCERY STORE
214.address,704 S COMMERCIAL AVE,9704 S COMMERCIAL AVE
500.xcoordinate,767123.9571598093,1197293.218
182.storename,SUPERz MERCADO EL GUERRO,SUPER MERCADO EL GUERRO
205.communityareaname,HICAGO LAWN,CHICAGO LAWN
95.locationvalue,"(41.9452541584, -876723897932)","(41.9452541584, -87.6723897932)"
224.address,5775 S ARCEHR AVE,5775 S ARCHER AVE
111.address,1105 W gBRYN MAWR AVE,1105 W BRYN MAWR AVE
445.storename,ALI #32,ALDI #32
175.locationvalue,"(41.9205964582, -87.7715926809)","(41.9205964582, -87.7751926809)"
178.storename,ALMUFLIHI FOOD &L IQUOR,ALMUFLIHI FOOD & LIQUOR
227.communityareaname,LOWER WEST IDE,LOWER WEST SIDE
141.locationvalue,"(41.8521511995, -87.6700764019)","(41.8521511995, -87.6700746019)"
256.locationvalue,"(41.7427877337, -87.6533h842508)","(41.7427877337, -87.6533842508)"
238.locationvalue,"(41.9a173585451, -87.6993410687)","(41.9173585451, -87.6993410687)"
314.communityareaname,OGAN SQUARE,LOGAN SQUARE
141.communityareaname,OWER WEST SIDE,LOWER WEST SIDE
207.buffersize,wB,B
144.longitude,-104.70868273893076,-87.7704933793
117.communityareaname,pLOOP,LOOP
207.xcoordinate,1579357.1036019318,1167008.167197132
66.locationvalue,"(41.8442791237, -87.1745537663)","(41.8442791237, -87.7145537663)"
53.locationvalue,"(41.935646502, -87.7860543686)","(41.9375646502, -87.7860543686)"
391.address,640 N HALSTED ST,3640 N HALSTED ST
470.buffersize,,A
391.storename,WHOLE FOrODS MARKET,WHOLE FOODS MARKET
463.address,55 N HARBOR DR,155 N HARBOR DR
152.longitude,-129.00775034586343,-87.6883543215
103.communityareaname,SOUTH DEaERING,SOUTH DEERING
270.communityareaname,NW CITY,NEW CITY
276.xcoordinate,896027.4768921083,1167499.0144743386
90.xcoordinate,813614.1621792703,1169532.159988125
152.xcoordinate,1566742.8313543636,1159720.9795570998
213.locationvalue,"(41.8a139143113, -87.7236649419)","(41.8139143113, -87.7236649419)"
372.address,4510 S PULASKI RD,4501 S PULASKI RD
419.longitude,-57.831958454133456,-87.6282348711
302.storename,WHOLE FOODSk MARKET,WHOLE FOODS MARKET
221.xcoordinate,648476.0159933879,1163327.6427636093
46.xcoordinate,1753167.8379090372,1158868.1815303229
179.xcoordinate,1312942.0178539553,1164235.476836242
448.address,3501 W NOTH AVE,3501 W NORTH AVE
246.xcoordinate,935972.4275966772,1164071.30189687
47.longitude,-51.95239841174562,-87.7142516633
111.xcoordinate,1362497.0230639863,1167789.171372333
158.longitude,-61.399197625190666,-87.6530506979
175.longitude,-71.8476416558176,-87.7751926809
86.communityareaname,EST RIDGE,WEST RIDGE
405.locationvalue,"(41.8014000331, -87.2760437419)","(41.8014000331, -87.7260437419)"
424.storename,"LA eNUEVA IMAGEN GROCERY, INC.","LA NUEVA IMAGEN GROCERY, INC."
51.locationvalue,"(41.9579834025, -87.707995h9151)","(41.9579834025, -87.7079959151)"
71.buffersize,***,B
375.storename,AARAY pGROCERY,AARAY GROCERY
194.xcoordinate,1238977.4088426384,1155321.4225621962
315.locationvalue,"(41.7028060951, -87.e5277040116)","(41.7028060951, -87.5277040116)"
67.longitude,-54.34108278118698,-87.5257124268
9.storename,TWmO BLUE FOODS INC,TWO BLUE FOODS INC
30.storename,S. S. zFOOD & LIQUOR,S. S. FOOD & LIQUOR
402.buffersize,,B
132.xcoordinate,1304681.4974211517,1160464.1704940535
184.buffersize,sB,B
165.storename,NICKEL LIQUR & MINI MART INC,NICKEL LIQUOR & MINI MART INC
226.address,364 W NORTH AVE,3624 W NORTH AVE
490.xcoordinate,1380099.9122916171,1175275.3228902228
248.xcoordinate,696077.0106499179,1151911.1391990148
238.longitude,-114.80848955885583,-87.6993410687
322.communityareaname,dHERMOSA,HERMOSA
174.longitude,-79.28646224650888,-87.7199070655
163.longitude,-69.75544213750311,-87.7261326568
57.address,3500 W LAWRENCE AEV,3500 W LAWRENCE AVE
21.longitude,-90.57875168438329,-87.6444202389
71.communityareaname,WETS RIDGE,WEST RIDGE
318.address,2101 E 71TS ST,2101 E 71ST ST
467.buffersize,vB,B
462.storename,"CALMA OTPIMAL DELI, INC.","CALMA OPTIMAL DELI, INC."
93.locationvalue,"(k41.9756241124, -87.7298445616)","(41.9756241124, -87.7298445616)"
79.xcoordinate,961133.0044543026,1155422.8971575014
327.address,2714 W CERMA KRD,2714 W CERMAK RD
274.buffersize,***,A
98.address,6020 N CICERO VAE,6020 N CICERO AVE
455.locationvalue,"(41.9311354035, -87.7668121306)","(41.9311354035, -87.7686121306)"
74.storename,LOSu SAUCES GROCERY,LOS SAUCES GROCERY
44.storename,LSO POTRILLOS,LOS POTRILLOS
131.buffersize,***,B
174.communityareaname,AsRCHER HEIGHTS,ARCHER HEIGHTS
232.address,275v9 S SPAULDING AVE,2759 S SPAULDING AVE
254.storename,AVE-A-LOT  # 858,SAVE-A-LOT  # 858
149.communityareaname,ROGERS PARoK,ROGERS PARK
232.locationvalue,"4(1.8409331636, -87.7072241769)","(41.8409331636, -87.7072241769)"
452.communityareaname,ORTH PARK,NORTH PARK
355.xcoordinate,805427.1466030916,1141134.008920079
189.address,1t440 W DEVON AVE,1440 W DEVON AVE
450.communityareaname,IRVING APRK,IRVING PARK
502.longitude,-118.11451010241369,-87.72621042
51.longitude,-113.3315850209945,-87.7079959151
225.storename,ALDI INcC #64,ALDI INC #64
373.storename,ON ESTOP,ONE STOP
429.communityareaname,LWER WEST SIDE,LOWER WEST SIDE
381.storename,OMINICKS #2889,DOMINICKS #2889
380.buffersize,,A
367.longitude,-92.1808171016531,-87.6158666457
434.address,310r0 W CERMAK RD,3100 W CERMAK RD
181.locationvalue,"(41.8916898398,- 87.6204441348)","(41.8916898398, -87.6204441348)"
54.storename,GENES' SAUSAGE SHOP & DELI INC,GENE'S SAUSAGE SHOP & DELI INC
93.buffersize,,A
177.address,6812 N SHERIDAN D,6812 N SHERIDAN RD
141.buffersize,***,B
403.longitude,-61.86754328980061,-87.7322160373
59.longitude,-78.27785944257899,-87.6887509815
350.longitude,-81.2680820834124,-87.6210110036
167.locationvalue,"(41.79529732, -87.5872256)","(41.79529732, -87.58782256)"
88.locationvalue,"(41.938592816, -87.8069148007)","(41.9385912816, -87.8069148007)"
211.locationvalue,"(41.9611144263, -87.702586386)","(41.9611144263, -87.7025869386)"
37.locationvalue,"(41.9030542001, -87.694770208)","(41.9030542001, -87.6947704208)"
442.xcoordinate,994481.019972829,1175916.5515061072
117.address,828S  WABASH AVE,828 S WABASH AVE
176.longitude,-89.43910445587795,-87.7560413324
428.locationvalue,"4(1.7943249341, -87.6185206053)","(41.7943249341, -87.6185206053)"
347.storename,MAKOA AFRICAN SUPERMARKET #2,MAKOLA AFRICAN SUPERMARKET #2
140.storename,ALDI FOODS-STORE #7,ALDI FOODS-STORE #27
55.address,2858 S AWNDALE AVE,2858 S LAWNDALE AVE
27.xcoordinate,740324.6043900508,1155046.9425476384
302.buffersize,,A
265.xcoordinate,764661.6309430415,1164969.7637174986
104.xcoordinate,1371278.4447507972,1150913.714836236
435.communityareaname,MOxRGAN PARK,MORGAN PARK
324.longitude,-108.25087443100182,-87.7775174877
359.address,13209  BALTIMORE AVE,13209 S BALTIMORE AVE
109.locationvalue,"(41.9959852861, -87.7q876371171)","(41.9959852861, -87.7876371171)"
84.address,900 E 79TH ST,2900 E 79TH ST
243.communityareaname,BELMOhNT CRAGIN,BELMONT CRAGIN
389.xcoordinate,816131.6956598405,1158919.056747579
52.xcoordinate,831949.3811330374,1191449.6829125532
443.address,1007 W6 3RD ST,1007 W 63RD ST
198.buffersize,,A
499.buffersize,***,B
119.locationvalue,"(41.8097727266, -8.5949608909)","(41.8097727266, -87.5949608909)"
249.longitude,-98.38656197465374,-87.5955129219
77.storename,MORSE FOOD AND MEAT MAlRKET,MORSE FOOD AND MEAT MARKET
295.storename,"PARK PACKING OF CHCAGO, INC.","PARK PACKING OF CHICAGO, INC."
89.communityareaname,NEGLEWOOD,ENGLEWOOD
100.address,4439 W j63RD ST,4439 W 63RD ST
207.locationvalue,"(42.0027261076, -87.6609383664)","(42.0027261067, -87.6609383664)"
128.address,021 N CICERO AVE,3021 N CICERO AVE
80.storename,ALDI IN # 62,ALDI INC # 62
42.locationvalue,"(41.7978225881, -87.6645368783l)","(41.7978225881, -87.6645368783)"
286.locationvalue,"(41.r7302972736, -87.6433090924)","(41.7302972736, -87.6433090924)"
261.xcoordinate,1517749.629002626,1167548.598
119.longitude,-83.3471797756284,-87.5949608909
266.xcoordinate,806835.7216004618,1165040.1969612509
477.communityareaname,EDGEWATEqR,EDGEWATER
224.storename,ALDI IN C#53,ALDI INC #53
302.address,30 W HURON TS,30 W HURON ST
31.buffersize,,B
5.address,3300 N ASHLAND kAVE,3300 N ASHLAND AVE
332.communityareaname,NEW CIYT,NEW CITY
167.storename,WALGREENS #u162,WALGREENS #162
191.buffersize,lB,B
104.communityareaname,ALBANY PARuK,ALBANY PARK
281.buffersize,,B
257.storename,"S & K FOODl & LIQUOR, INC.","S & K FOOD & LIQUOR, INC."
488.storename,CICREO DELI INC.,CICERO DELI INC.
166.buffersize,,A
504.longitude,-71.0756331399323,-87.687986655
18.locationvalue,"(k41.6803322053, -87.6625846787)","(41.6803322053, -87.6625846787)"
439.address,959 W FULLRETON AVE,959 W FULLERTON AVE
297.longitude,-47.785139461731035,-87.6758478479
489.address,422 W MARQUETTE RD,4322 W MARQUETTE RD
328.xcoordinate,588993.1731899987,1155383.105070945
469.longitude,-47.676063614442626,-87.6647716526
156.xcoordinate,1671208.2389002012,1175348.3044341346
121.locationvalue,"(41.8662541761, -87.666524141)","(41.8662541761, -87.6665241401)"
155.storename,CARNICERIA LA VILLA 2#,CARNICERIA LA VILLA #2
309.xcoordinate,1253625.3946340536,1158430.460832184
14.longitude,-120.29936525696849,-87.6935345218
387.storename,HREE R FOOD,THREE R FOOD
426.buffersize,,B
187.longitude,-122.9521965914496,-87.6237265152
185.address,413 S KEDZIE AgVE,413 S KEDZIE AVE
75.communityareaname,WES PULLMAN,WEST PULLMAN
252.buffersize,,B
237.longitude,-106.22797581218856,-87.6701349439
358.longitude,-125.5084398333245,-87.7866984426
137.storename,MEHRAB ZABIHA MEaAT & TOBACCO,MEHRAB ZABIHA MEAT & TOBACCO
69.communityareaname,ALBANY PAKR,ALBANY PARK
154.address,2431 W MyONTROSE AVE,2431 W MONTROSE AVE
164.longitude,-102.888621744473,-87.7467199106
311.storename,DOLLAR DELAS & UP,DOLLAR DEALS & UP
47.communityareaname,WESTLAWN,WEST LAWN
69.locationvalue,"(419.685727721, -87.7077877013)","(41.9685727721, -87.7077877013)"
88.buffersize,eB,B
132.address,4359 S CAMPELL AVE,4359 S CAMPBELL AVE
276.longitude,-120.42940594495425,-87.6611701084
194.buffersize,kB,B
414.storename,BUSY BEE SUPRMARKET,BUSY BEE SUPERMARKET
477.longitude,-48.06424363789951,-87.6602779929
130.communityareaname,eLOGAN SQUARE,LOGAN SQUARE
495.communityareaname,AlSHBURN,ASHBURN
475.buffersize,pA,A
62.communityareaname,NEAR NORTH ISDE,NEAR NORTH SIDE
160.communityareaname,HYED PARK,HYDE PARK
229.xcoordinate,1587247.517249415,1160669.425627566
209.xcoordinate,821896.3613628828,1160106.8232114485
491.buffersize,mB,B
69.address,3142 W LWRENCE AVE,3142 W LAWRENCE AVE
151.communityareaname,AVALON PAKR,AVALON PARK
225.communityareaname,EST TOWN,WEST TOWN
139.address,7622 N kPAULINA ST,7622 N PAULINA ST
224.communityareaname,GARFIELD RIDE,GARFIELD RIDGE
50.address,3557 S CALFORNIA AVE,3557 S CALIFORNIA AVE
29.storename,A & R FOOD MAT,A & R FOOD MART
76.longitude,-100.03498438844377,-87.6557252931
314.storename,"TONY'S FINER FOOS ENTERPRISES, INC.","TONY'S FINER FOODS ENTERPRISES, INC."
257.communityareaname,SOUTH SHROE,SOUTH SHORE
380.longitude,-51.93500604440972,-87.7785157048
349.storename,Lax iLiquor,Laxi Liquor
116.locationvalue,"(41.931406291, 8-7.7479369735)","(41.931406291, -87.7479369735)"
238.address,u2901 W ARMITAGE AVE,2901 W ARMITAGE AVE
109.communityareaname,NORWOOD PAKR,NORWOOD PARK
214.buffersize,kA,A
217.storename,MOO & OINK ICN,MOO & OINK INC
195.longitude,-84.80305179375965,-87.6153541087
51.buffersize,fB,B
434.longitude,-94.90551896066174,-87.702875989
100.storename,AVE-A-LOT #860,SAVE-A-LOT #860
127.longitude,-114.2721273194663,-87.6057775241
25.longitude,-45.05102279347538,-87.674080374
409.longitude,-99.24328555792474,-87.627509219
226.storename,EDDIE & SON FOOD LIQ.,EDDIE & SON FOOD &LIQ.
60.communityareaname,CALMET HEIGHTS,CALUMET HEIGHTS
26.communityareaname,UPTONW,UPTOWN
227.xcoordinate,1368330.0365081283,1167219.016357534
347.address,4501 N SHERIDAjN RD,4501 N SHERIDAN RD
291.locationvalue,"(41.9237995345, -87.7706332364)","(41.9237993545, -87.7706332364)"
442.communityareaname,OSELAND,ROSELAND
319.locationvalue,"(41.870776439, -87.6961668842)","(41.8708776439, -87.6961668842)"
88.address,321f8 N HARLEM AVE,3218 N HARLEM AVE
343.buffersize,mA,A
201.xcoordinate,1441744.3923834092,1141632.2601337098
128.xcoordinate,758365.0943152087,1143886.9787092437
431.longitude,-113.86766688727737,-87.7281470478
276.address,1422 W 4TH ST,1422 W 47TH ST
122.communityareaname,EST GARFIELD PARK,WEST GARFIELD PARK
216.xcoordinate,872766.0503941061,1170946.9174634116
463.communityareaname,eLOOP,LOOP
308.communityareaname,WEwST RIDGE,WEST RIDGE
130.longitude,-127.26952852070717,-87.723953321
105.storename,TjHRIFTY FOOD,THRIFTY FOOD
117.storename,BURNHAM PLAZA MRAT,BURNHAM PLAZA MART
62.buffersize,qA,A
156.locationvalue,"(41.903026138, -87.6313487722)","(41.9030261368, -87.6313487722)"
194.locationvalue,"(41j.8598459614, -87.705338554)","(41.8598459614, -87.705338554)"
63.xcoordinate,1037739.3766257538,1157396.7805960944
229.communityareaname,LWOER WEST SIDE,LOWER WEST SIDE
270.longitude,-63.75267536586499,-87.6740803441
341.communityareaname,GyAGE PARK,GAGE PARK
73.buffersize,***,A
390.address,7607 N CLARK ST,7067 N CLARK ST
156.communityareaname,NEAR NORT HSIDE,NEAR NORTH SIDE
230.storename,LARMIE BAKERY & DELI,LARAMIE BAKERY & DELI
454.buffersize,***,A
196.longitude,-71.84664493422572,-87.6093666123
105.xcoordinate,1793077.1580768463,1169121.3240440846
199.locationvalue,"(41.9389938243, -87.742698t9895)","(41.9389938243, -87.7426989895)"
490.locationvalue,"(14.9042652283, -87.6316032946)","(41.9042652283, -87.6316032946)"
131.longitude,-114.68088209888373,-87.6578331796
446.longitude,-66.38160298868469,-87.6537783218
223.longitude,-78.62693682592116,-87.687213456
14.buffersize,,B
127.xcoordinate,887248.9286571667,1182688.79232434
127.buffersize,sB,B
218.longitude,-54.00533467354816,-87.6171353804
291.communityareaname,BELMONT CRAGN,BELMONT CRAGIN
288.storename,CERMA PRODUCE,CERMAK PRODUCE
45.xcoordinate,1701988.9769378733,1175264.5918291442
451.locationvalue,"(41.752804183, -87.6439505248)","(41.7528304183, -87.6439505248)"
338.address,405  NWABASH AVE,405 N WABASH AVE
430.locationvalue,"(42.011964625, -87.668397288)","(42.019164625, -87.668397288)"
152.storename,DOMINICK'S # 86/1h086,DOMINICK'S # 86/1086
409.locationvalue,"(41.7363800456, -87.627509129)","(41.7363800456, -87.627509219)"
182.address,1701 Wd 47TH ST,1701 W 47TH ST
252.storename,SUNRISE pFOOD AND LIQUORS,SUNRISE FOOD AND LIQUORS
15.communityareaname,WEST TWN,WEST TOWN
57.storename,CIHCAGO PRODUCE,CHICAGO PRODUCE
398.storename,ALDI INC STOReE #95,ALDI INC STORE #95
346.xcoordinate,1684792.6483088362,1159376.8219060244
31.xcoordinate,1673262.2844012128,1168808.076144931
263.longitude,-95.29899440691298,-87.6458934884
504.xcoordinate,927206.5667237418,1160309.1338794366
252.address,3737 W CHCAGO AVE,3737 W CHICAGO AVE
159.address,8235s W IRVING PARK RD,8235 W IRVING PARK RD
342.longitude,-83.36958721430916,-87.7662048258
48.buffersize,rA,A
177.communityareaname,ROGERS PArRK,ROGERS PARK
35.locationvalue,"(41.7238062893, -87.6043647208)","(41.7238602893, -87.6043647208)"
100.locationvalue,"(41.7784159744, -87.734057575)","(41.7784159744, -87.7340575715)"
300.longitude,-60.161037952768226,-87.6068579199
263.locationvalue,"(41.944828266, -87.6458934884)","(41.9448282656, -87.6458934884)"
492.communityareaname,AUSTIgN,AUSTIN
101.xcoordinate,870634.7116509313,1150799.8597747867
457.communityareaname,LOWRE WEST SIDE,LOWER WEST SIDE
489.buffersize,nB,B
271.communityareaname,NORTH LAWNDALoE,NORTH LAWNDALE
149.storename,SUPERMERADO EL MEXICANO,SUPERMERCADO EL MEXICANO
68.buffersize,***,B
206.longitude,-111.74348041349205,-87.6601550832
138.storename,KING FOD & LIQUOR,KING FOOD & LIQUOR
338.buffersize,vB,B
474.longitude,-98.70715455268068,-87.6756711293
67.xcoordinate,1579716.2837484195,1204788.0634884294
247.address,10800 S WESTREN AVE,10800 S WESTERN AVE
478.address,2323 Wi 111TH ST,2323 W 111TH ST
506.address,311 W 26TH ST,3311 W 26TH ST
136.longitude,-91.75953684870652,-87.6596970117
364.xcoordinate,1564101.2301381212,1182742.139286115
372.storename,ALDI INC #01,ALDI INC #10
157.longitude,-43.939745822584065,-87.6698622813
162.buffersize,***,B
253.address,5922 W IRVING PrARK RD,5922 W IRVING PARK RD
77.longitude,-99.54446936615452,-87.6671741467
26.storename,TAI AM CORPORATION,TAI NAM CORPORATION
486.communityareaname,WEST ENLEWOOD,WEST ENGLEWOOD
313.longitude,-121.3953293026007,-87.6239749877
363.buffersize,,B
111.longitude,-128.70484592143575,-87.6582676725
230.longitude,-49.28207053287642,-87.8069290648
261.longitude,-49.903160561994426,-87.66098821
353.xcoordinate,1537103.4338654126,1157424.7681192728
414.longitude,-90.33840436562409,-87.6643450657
468.storename,LEMEN SUN ORP.,LEMEN SUN CORP.
387.locationvalue,"(41.961370945, -87.666693474)","(41.961370945, -87.6966693474)"
333.address,4640 S HALSETD ST,4640 S HALSTED ST
389.address,2559 W sAUGUSTA BLVD,2559 W AUGUSTA BLVD
172.buffersize,cA,A
133.xcoordinate,709395.602558146,1161455.119872374
186.communityareaname,SOUTH CHICfAGO,SOUTH CHICAGO
372.locationvalue,"41.8114515422, -87.7235746544)","(41.8114515422, -87.7235746544)"
183.address,252 6W CERMAK RD,2526 W CERMAK RD
93.address,4042  FOSTER AVE,4042 W FOSTER AVE
500.communityareaname,SOUTH tCHICAGO,SOUTH CHICAGO
68.storename,CARNICERIA RIdCARDO,CARNICERIA RICARDO
299.buffersize,***,A
468.longitude,-51.88791530801429,-87.6319155034
384.buffersize,***,B
267.buffersize,***,B
278.address,564 0W FULLERTON AVE,5640 W FULLERTON AVE
171.storename,JEWEL FOO DSTORE #3170,JEWEL FOOD STORE #3170
110.buffersize,,A
213.address,4343 S UPLASKI RD,4343 S PULASKI RD
127.locationvalue,"(41.780151959,2 -87.6057775241)","(41.7801519592, -87.6057775241)"
220.communityareaname,EDGEWATvER,EDGEWATER
115.locationvalue,"(41.6998148465, -87.5534268905)","(41.6998148465, -87.5354268905)"
122.buffersize,***,B
497.communityareaname,VONDALE,AVONDALE
345.address,1058 W 47TH ST,1508 W 47TH ST
347.locationvalue,"(41.9636502775, -87.6542621904)","(41.9636502775, -87.6546221904)"
