id,obsdate,asm(double precision),asmdoneone(double precision),asmd(double precision),asmddoneone(double precision),asmi(double precision),asmidoneone(double precision),rpm(double precision),rpmdoneone(double precision),rpmd(double precision),rpmddoneone(double precision),rpmi(double precision),rpmidoneone(double precision),loadfactor(double precision),loadfactordoneone(double precision),loadfactord(double precision),loadfactorddoneone(double precision),loadfactori(double precision),loadfactoridoneone(double precision),enplanei(double precision),enplaneidoneone(double precision),enplaned(double precision),enplaneddoneone(double precision),enplane(double precision),enplanedoneone(double precision),airrpmtsi(double precision),airrpmtsidoneone(double precision),airrtmfm(double precision),airrtmfmdoneone(double precision),railfrtcarloads(long),railfrtcarloadsdoneone(long),railfrtintermodal(long),railfrtintermodaldoneone(long),railpm(double precision),railpmdoneone(double precision),transit(double precision),transitdoneone(double precision),petroleum(double precision),petroleumdoneone(double precision),naturalgas(double precision),naturalgasdoneone(double precision),waterborne(double precision),waterbornedoneone(double precision),truckdoneone(double precision),vmt(double precision),vmtdoneone(double precision),tsifreight(double precision),tsifreightc(double precision),tsipassenger(double precision),tsipassengerc(double precision),tsitotal(double precision),tsitotalc(double precision),indpro(double precision),manuf(double precision),invtosales(double precision),idxairrpm(double precision),idxairrtmfm(double precision),idxrailfrtcarloads(double precision),idxrailfrtintermodal(double precision),idxrailpm(double precision),idxtransitdoneone(double precision),idxpetroleumdoneone(double precision),idxnaturalgasdoneone(double precision),idxwaterbornedoneone(double precision),idxtruckdoneone(double precision)
SATD200011,1101/2000,78368993.0,81358502.0,57757912.0,59437195.0,20611081.0,21921307.0,55302968.0,59007282.0,40712967.0,42490209.0,14590001.0,16517073.0,70.6,72.5,70.5,71.5,70.8,75.3,5327.0,6161.0,49632.0,51515.0,54959.0,57676.0,56283261.0,59443355.0,2702423.0,2639286.0,1346909,1364778,755194,763167,442268378.0,474417974.0,816120.0,806755.0,226901.0,228391.0,1908.5,1967.7,50.0,48.4,74.8,222819.0,229865.0,99.9,0.4,101.2,0.2,100.4,0.4,100.1540688,99.040833809,1.62,1.0073,1.0281,0.9755,0.9996,1.0178,1.0246,1.021,1.0504,0.9794,0.9988
SATD200012,12/01/2000,79075993.0,79703051.0,57886109.0,57882666.0,21189884.0,21820385.0,54460418.0,55738084.0,39656140.0,40579418.0,14804278.0,15158666.0,68.9,69.9,68.5,70.1,69.9,69.5,5470.0,5654.0,47051.0,48087.0,52521.0,53741.0,55380280.0,57349981.0,2707863.0,2634450.0,1298609,1356615,710715,755862,461651082.0,457329814.0,755040.0,805309.0,233175.0,227620.0,2587.5,2138.9,41.3,41.9,74.2,218390.0,224132.0,99.1,-0.8,98.6,-2.6,99.0,-1.4,99.823852022,100.36579098,1.62,0.9719,1.0262,0.9696,0.99,0.9812,1.0227,1.0175,1.1418,0.8478,0.9912
SATD200101,01/01/2001,81196157.0,82817730.0,59766686.0,60778732.0,21429471.0,22038997.0,52049391.0,57860664.0,37179562.0,41969896.0,14869829.0,15890768.0,64.1,69.9,62.2,69.1,69.4,72.1,5543.0,5853.0,44074.0,50024.0,49617.0,55877.0,53129922.0,59362987.0,2290401.0,2560132.0,1378715,1398025,718208,761211,379458113.0,454186949.0,800293.0,811091.0,228953.0,225813.0,2677.0,1925.5,39.3,46.0,74.6,209685.0,231442.0,99.4,0.3,101.2,2.6,100.0,1.0,99.281222036,97.788692176,1.61,1.006,0.9972,0.9992,0.997,0.9744,1.0301,1.0095,1.0279,0.9316,0.9963
SATD20102,02/01/2001,73704583.0,82288550.0,54313589.0,60004776.0,19390994.0,22283775.0,48845243.0,57995132.0,35784235.0,41890432.0,13061008.0,16104700.0,66.3,70.5,65.9,69.8,67.4,72.3,4980.0,5796.0,43149.0,49676.0,48129.0,55472.0,49992995.0,59293460.0,2276553.0,2553865.0,1272599,1401356,666813,746712,366288212.0,451766238.0,761213.0,812201.0,199107.0,225327.0,2309.5,1880.0,40.9,47.6,74.5,200876.0,230672.0,99.3,-0.1,101.1,-0.1,99.9,-0.1,98.609676974,98.897772701,1.6,1.0048,0.9948,1.0016,0.978,0.9692,1.0315,1.0073,1.0036,0.9636,0.9948
SATD200103,03/01/2001,82211844.0,81409434.0,60467225.0,59121983.0,21744619.0,22287451.0,60769073.0,58095991.0,44208143.0,41744559.0,16560930.0,16351432.0,73.9,71.4,73.1,70.6,76.2,73.4,6101.0,5833.0,53020.0,49465.0,59121.0,55298.0,62323049.0,59824722.0,2671787.0,2481943.0,1457199,1415374,761942,751154,448912584.0,454477729.0,846702.0,806154.0,225282.0,228094.0,2246.6,1893.9,47.1,47.0,74.8,232587.0,231165.0,99.5,0.2,101.6,0.5,100.2,0.3,98.358535302,97.044545974,1.61,1.0138,0.9668,1.0116,0.9838,0.9751,1.0238,1.0197,1.011,0.952,0.9984
SATD200104,04/01/2001,80938470.0,82137973.0,58851713.0,59718656.0,22086757.0,22419317.0,58479185.0,58633153.0,42363481.0,42033398.0,16115704.0,16599755.0,72.3,71.4,72.0,70.4,73.0,74.0,5900.0,5905.0,50702.0,49635.0,56602.0,55540.0,59801567.0,60021123.0,2399580.0,2407153.0,1390615,1403265,717396,733628,455496342.0,445810720.0,803744.0,803596.0,225210.0,228316.0,1807.2,1872.1,49.4,47.9,73.4,232513.0,232994.0,98.0,-1.5,101.6,0.0,99.2,-1.0,98.036625187,94.448886351,1.58,1.0171,0.9376,1.003,0.9609,0.9565,1.0205,1.0206,0.9993,0.97,0.9793
SATD200105,05/01/2001,83754265.0,82238237.0,60862387.0,60108247.0,22891878.0,22129990.0,59190930.0,58267875.0,42517548.0,41881941.0,16673382.0,16385934.0,70.7,70.9,69.9,69.7,72.8,74.0,5911.0,5853.0,51052.0,49140.0,56963.0,54993.0,60246478.0,59921160.0,2415262.0,2410716.0,1436953,1400369,734970,726002,462376555.0,453337478.0,850680.0,814915.0,233859.0,226861.0,1522.4,1833.8,47.7,46.6,75.4,245357.0,232201.0,99.5,1.5,102.0,0.4,100.3,1.1,97.495397624,96.478583666,1.59,1.0154,0.939,1.0009,0.9509,0.9726,1.0349,1.0141,0.9789,0.9439,1.0072
SATD200106,06/01/2001,82865877.0,81499317.0,60231368.0,59721572.0,22634509.0,21777746.0,63729974.0,58148806.0,45304289.0,41635479.0,18425685.0,16513328.0,76.9,71.3,75.2,69.7,81.4,75.8,6503.0,5868.0,53384.0,48772.0,59887.0,54640.0,64987598.0,59631031.0,2475195.0,2471594.0,1382844,1387456,743527,731768,528690495.0,473874573.0,807301.0,818299.0,218802.0,214059.0,1444.4,1794.0,50.9,49.0,74.5,243498.0,231645.0,98.6,-0.9,101.9,-0.1,99.6,-0.7,96.942627038,94.592518561,1.59,1.0105,0.9627,0.9917,0.9585,1.0167,1.0392,0.9569,0.9577,0.9925,0.9948
SATD200107,07/01/2001,87079555.0,81701629.0,63439069.0,60020492.0,23640486.0,21681137.0,67144380.0,58602374.0,48067498.0,42138622.0,19076882.0,16463752.0,77.1,71.7,75.8,70.2,80.7,75.9,6959.0,5811.0,55696.0,49749.0,62655.0,55560.0,68573410.0,59586984.0,2226571.0,2226195.0,1331669,1353607,733967,731767,564037290.0,468302770.0,785014.0,813973.0,231408.0,225365.0,1598.1,1821.5,51.2,47.6,74.4,250363.0,232941.0,97.8,-0.8,101.6,-0.3,99.0,-0.6,96.366770404,93.567390063,1.6,1.0098,0.8671,0.9675,0.9584,1.0047,1.0337,1.0075,0.9724,0.9626,0.9927
SAT200108,08/10/2001,87717155.0,82072527.0,64098172.0,60361768.0,23618983.0,21710759.0,67664023.0,58982731.0,48579798.0,42450897.0,19084225.0,16531834.0,77.1,71.9,75.8,70.3,80.8,76.1,6946.0,5906.0,56292.0,51148.0,63238.0,57053.0,69003617.0,59997674.0,2356106.0,2307291.0,1444314,1374093,802542,747536,562266005.0,477735879.0,809941.0,810453.0,230280.0,223952.0,1669.2,1869.0,51.8,49.3,75.2,253274.0,233413.0,99.2,1.4,102.0,0.4,100.1,1.1,96.24950623,94.399486008,1.6,1.0167,0.8987,0.9821,0.9791,1.025,1.0293,1.0011,0.9977,0.9978,1.0035
SATD200109,09/01/2001,65361009.0,66707092.0,47039597.0,48770915.0,18321412.0,17936177.0,38207236.0,41642845.0,26230752.0,29628292.0,11976484.0,12014553.0,58.5,62.4,55.8,60.7,65.4,67.0,4109.0,4515.0,30499.0,35026.0,34608.0,39541.0,39106905.0,44002597.0,1998724.0,2049610.0,1387189,1377791,775082,760084,446266947.0,486442152.0,768513.0,777039.0,221754.0,224411.0,1494.1,1882.2,47.5,49.0,74.4,226312.0,232276.0,98.2,-1.0,82.3,-19.3,93.6,-6.5,95.739995013,91.939177613,1.63,0.7457,0.7984,0.9848,0.9955,1.0436,0.9868,1.0032,1.0048,0.9919,0.9935
SATD200110,10/01/2001,69552136.0,68573466.0,51592799.0,50659643.0,17959337.0,17913823.0,43609263.0,44779763.0,33428069.0,34160800.0,10181194.0,10618963.0,62.7,65.3,64.8,67.4,56.7,59.3,3789.0,4196.0,40242.0,40718.0,44031.0,44914.0,44271037.0,45320215.0,2417439.0,2234437.0,1489178,1395933,827614,751716,452095177.0,476097019.0,871470.0,799563.0,224931.0,224288.0,1649.1,1968.0,49.9,46.9,74.6,241050.0,233772.0,98.9,0.7,84.6,2.8,94.8,1.3,95.446241245,91.392061679,1.48,0.768,0.8704,0.9977,0.9846,1.0214,1.0154,1.0026,1.0506,0.9492,0.9955
SATD20111,11/01/2001,66632329.0,69172050.0,49928543.0,51390250.0,16703786.0,17781799.0,44598156.0,47275718.0,34035501.0,35375296.0,10562655.0,11900422.0,66.9,68.3,68.2,68.8,63.2,66.9,4031.0,4618.0,40647.0,41559.0,44678.0,46177.0,45245063.0,48032641.0,2261922.0,2203477.0,1376611,1394769,743670,747376,446094295.0,472965735.0,820117.0,808807.0,220487.0,222105.0,1701.0,1757.2,48.5,47.0,74.6,230511.0,236644.0,98.1,-0.8,88.1,4.1,95.3,0.5,94.893470658,91.38206739,1.51,0.814,0.8583,0.9969,0.9789,1.0147,1.0272,0.9929,0.938,0.951,0.996
SATD200112,12/01/2001,69510768.0,70001727.0,52105691.0,52117142.0,17405077.0,17884585.0,47422033.0,48981188.0,34900093.0,36070143.0,12521940.0,12911046.0,68.2,70.0,67.0,69.2,71.9,72.2,4676.0,4841.0,40860.0,42442.0,45536.0,47283.0,48167518.0,50437055.0,2332011.0,2266337.0,1323085,1381479,688215,729459,479188686.0,477884104.0,756221.0,809758.0,225164.0,219375.0,2120.2,1748.7,46.1,46.7,74.4,229584.0,236694.0,97.7,-0.4,91.0,3.3,95.9,0.6,94.860891284,92.051970303,1.53,0.8547,0.8828,0.9874,0.9554,1.0253,1.0284,0.9807,0.9335,0.946,0.9927
SATD200201,01/01/2002,70105149.0,71300113.0,52524740.0,53262587.0,17580409.0,18037526.0,45699949.0,50558487.0,32996179.0,37034167.0,12703770.0,13524321.0,65.2,70.9,62.8,69.5,72.3,75.0,4786.0,5024.0,38499.0,43604.0,43285.0,48628.0,46587854.0,52445515.0,2049355.0,2283098.0,1362045,1382959,701350,743784,398443099.0,470744329.0,794010.0,804957.0,223335.0,220384.0,2487.6,1786.0,41.3,47.6,75.2,215215.0,236712.0,98.8,1.1,93.1,2.3,97.3,1.5,95.521432716,91.441176471,1.54,0.8887,0.8893,0.9885,0.9742,1.01,1.0223,0.9852,0.9534,0.9642,1.0043
SATD200202,02/01/2002,64517654.0,72091909.0,48746054.0,53965796.0,15771600.0,18126113.0,43964813.0,52194434.0,32587181.0,38166455.0,11377632.0,14027979.0,68.1,72.4,66.9,70.7,72.1,77.4,4441.0,5169.0,38561.0,44457.0,43002.0,49625.0,45157584.0,54286088.0,2024465.0,2280936.0,1252632,1383674,688595,770606,397948979.0,483739590.0,756102.0,806661.0,192964.0,218977.0,2242.4,1821.0,40.5,47.3,76.2,208237.0,238125.0,99.9,1.1,95.4,2.5,98.7,1.4,95.511723631,91.390062821,1.54,0.9199,0.8885,0.989,1.0093,1.0378,1.0244,0.9789,0.9721,0.9569,1.0179
SATD200203,03/01/2002,73503746.0,72719234.0,55533933.0,54315956.0,17969813.0,18403278.0,56037382.0,52982154.0,41424662.0,38799772.0,14612720.0,14182382.0,76.2,72.9,74.6,71.4,81.3,77.1,5602.0,5280.0,48397.0,44960.0,53999.0,50240.0,57423396.0,54245224.0,2483076.0,2362497.0,1373143,1330564,758158,760508,459147305.0,442759130.0,820151.0,796112.0,214550.0,216529.0,2258.4,1910.2,45.9,45.7,75.7,236070.0,235504.0,99.1,-0.8,94.7,-0.7,98.0,-0.7,96.238286843,91.848372359,1.54,0.9192,0.9202,0.951,0.9961,0.9499,1.011,0.968,1.0197,0.9253,1.0103
SATD200204,04/1/2002,72803818.0,73924576.0,54440293.0,55175558.0,18363525.0,18749018.0,51993221.0,52827386.0,38475773.0,38583797.0,13517448.0,14243589.0,71.4,71.5,70.7,69.9,73.6,76.0,5100.0,5245.0,45358.0,44839.0,50458.0,50083.0,53013179.0,54389786.0,2426477.0,2379992.0,1359576,1368018,774537,775747,453149024.0,468278379.0,824757.0,805515.0,210758.0,214162.0,1881.0,1961.7,47.2,45.5,75.9,237226.0,236391.0,99.8,0.7,95.4,0.7,98.7,0.7,96.70130233,93.36407767,1.52,0.9217,0.9271,0.9778,1.0161,1.0047,1.023,0.9574,1.0472,0.9213,1.0135
SATD200205,05/01/2002,75809674.0,74558682.0,56184515.0,55568434.0,19625159.0,18990248.0,54695480.0,53484827.0,39908390.0,39033862.0,14787090.0,14450964.0,72.1,71.7,71.0,70.2,75.3,76.1,5351.0,5273.0,47050.0,44709.0,52401.0,49982.0,55663570.0,54924285.0,2408401.0,2409205.0,1408401,1370345,800215,789962,461622928.0,448036615.0,838274.0,802426.0,220991.0,213484.0,1611.5,1940.4,47.4,46.2,77.2,251746.0,237506.0,101.1,1.3,95.8,0.4,99.7,1.0,97.12008754,93.981724729,1.56,0.9308,0.9384,0.9794,1.0347,0.9612,1.0191,0.9543,1.0358,0.935,1.0306
SATD200206,06/01/2002,76879798.0,75475137.0,57080224.0,56475668.0,19799574.0,18999469.0,59031826.0,54004506.0,42899467.0,39547385.0,16132359.0,14457121.0,76.8,71.6,75.2,70.0,81.5,76.1,5848.0,5296.0,49095.0,45638.0,54943.0,50935.0,60224150.0,54948396.0,2477418.0,2490523.0,1392903,1397603,805089,799290,499734575.0,448786164.0,772040.0,803674.0,219492.0,215284.0,1591.4,1973.8,48.8,46.9,77.0,247868.0,238073.0,101.5,0.4,95.9,0.1,100.0,0.3,97.915585258,93.886921759,1.55,0.9312,0.9701,0.9989,1.0469,0.9628,1.0206,0.9624,1.0536,0.9486,1.0275
SATD200207,07/01/2002,80595218.0,75525857.0,59807169.0,56493637.0,20788049.0,19032220.0,61965515.0,54004194.0,45270461.0,39585580.0,16695054.0,14418614.0,76.9,71.5,75.7,70.1,80.3,75.8,6321.0,5303.0,51065.0,45370.0,57386.0,50673.0,63828500.0,54687995.0,2521489.0,2504756.0,1363443,1384333,800913,795509,564023742.0,467579603.0,782849.0,796254.0,223444.0,218012.0,1748.4,1988.1,50.9,47.3,78.4,256392.0,237780.0,102.8,1.3,95.4,-0.5,100.7,0.7,97.893146483,92.842946887,1.54,0.9267,0.9757,0.9894,1.0419,1.0032,1.0112,0.9746,1.0613,0.9583,1.0462
SATD200208,08/01/2002,80868442.0,75713341.0,59972808.0,56603974.0,20895634.0,19109367.0,62332762.0,54659305.0,45415533.0,40045624.0,16917229.0,14613682.0,77.1,72.2,75.7,70.7,81.0,76.5,6418.0,5439.0,51141.0,47015.0,57559.0,52455.0,63657944.0,54976947.0,2518364.0,2486494.0,1467852,1399412,867104,805584,516067118.0,437613120.0,781609.0,797394.0,218464.0,211815.0,1725.7,1925.7,48.8,46.4,78.3,258666.0,239615.0,102.6,-0.2,95.6,0.2,100.7,0.0,97.767036254,94.200456882,1.53,0.9316,0.9685,1.0002,1.0551,0.9389,1.0127,0.9469,1.028,0.9401,1.045
SATD20029,09/01/002,73849591.0,75479250.0,54357595.0,56290637.0,19491996.0,19188613.0,48731119.0,53199837.0,34211925.0,38549870.0,14519194.0,14649968.0,66.0,70.5,62.9,68.5,74.5,76.3,5082.0,5571.0,40143.0,45407.0,45225.0,50978.0,49270915.0,54250841.0,2385972.0,2427861.0,1395757,1385972,810856,798812,385089969.0,423330164.0,805016.0,794986.0,209278.0,212273.0,1542.2,1940.6,44.9,46.9,79.1,233625.0,239653.0,103.1,0.5,94.6,-1.0,100.7,0.0,97.872002253,94.340376927,1.57,0.9193,0.9457,0.9906,1.0463,0.9082,1.0096,0.9489,1.0359,0.95,1.0561
SATD200210,10/01/2002,77124746.0,76219063.0,57505033.0,56568446.0,19619713.0,19650617.0,53268604.0,54528899.0,39065248.0,39740513.0,14203356.0,14788385.0,69.1,71.5,67.9,70.3,72.4,75.3,5100.0,5634.0,48055.0,48526.0,53155.0,54159.0,54019748.0,55053226.0,3345807.0,3090525.0,1462330,1370535,791259,721242,399247828.0,421606418.0,877109.0,802969.0,210045.0,209857.0,1645.9,1965.1,50.3,47.5,79.1,245556.0,237938.0,104.5,1.4,95.9,1.4,102.0,1.3,97.617192705,94.108794974,1.57,0.9329,1.2038,0.9796,0.9447,0.9045,1.0198,0.9381,1.049,0.9607,1.0561
SATD200211,11/01/2002,72812742.0,75902557.0,54513457.0,56427089.0,18299285.0,19475469.0,49186629.0,54515846.0,36348009.0,39974980.0,12838620.0,14540866.0,67.6,71.8,66.7,70.8,70.2,74.7,4866.0,5632.0,44850.0,48384.0,49716.0,54015.0,50106815.0,56042198.0,3074803.0,2916214.0,1359625,1378979,791000,790964,376011411.0,428258538.0,788746.0,795322.0,212871.0,214678.0,1913.6,1986.8,50.7,49.4,79.3,230648.0,238385.0,104.9,0.4,96.8,0.9,102.6,0.6,98.150545121,94.496002284,1.57,0.9497,1.1359,0.9856,1.036,0.9188,1.01,0.9597,1.0606,1.0,1.0586
SATD200212,12/01/2002,75616059.0,75834982.0,56713015.0,56429205.0,18903044.0,19405778.0,55458015.0,55150404.0,41361303.0,40643904.0,14096712.0,14506500.0,73.3,72.7,72.9,72.0,74.6,74.8,5360.0,5528.0,49684.0,49016.0,55044.0,54544.0,56656595.0,56115016.0,2810584.0,2785847.0,1326501,1385043,744615,786200,448245893.0,418169030.0,754257.0,791892.0,229928.0,223683.0,2378.9,1956.6,46.4,47.1,80.2,234260.0,239969.0,105.2,0.3,96.7,-0.1,102.7,0.1,97.621507854,92.708737864,1.56,0.9509,1.0851,0.9899,1.0297,0.8972,1.0057,0.9999,1.0445,0.9536,1.0706
SATD200301,01/01/2003,75100667.0,76340086.0,56191300.0,56974840.0,18909367.0,19365246.0,49830903.0,54735813.0,36211422.0,40334942.0,13619481.0,14400871.0,66.4,71.7,64.4,70.8,72.0,74.4,5206.0,5476.0,43032.0,47980.0,48238.0,53456.0,51197174.0,56474742.0,2573661.0,2857626.0,1348631,1371586,787446,807259,393287373.0,460453531.0,778679.0,788732.0,222634.0,219793.0,2700.6,1938.4,39.7,45.4,79.3,218534.0,239077.0,104.2,-1.0,97.2,0.5,102.3,-0.4,98.428009201,94.167618504,1.56,0.957,1.1131,0.9803,1.0573,0.9879,1.0017,0.9825,1.0347,0.9194,1.0582
