groupnumbernoprecedingzeroes,grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes,seriestitle,seriesnumberandtitle
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",110.0,ECONOMIST,0110-ECONOMIST
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",119.0,ECONOMICS ASSISTANT,0119-ECONOMICS ASSISTANT
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",130.0,FOREIGN AFFAIRS,0130-FOREIGN AFFAIRS
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",131.0,INTERNATIONAL RELATIONS,0131-INTERNATIONAL RELATIONS
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",132.0,INTELLIGENCE,0132-INTELLIGENCE
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",134.0,INTELLIGENCE AID AND CLERK,0134-INTELLIGENCE AID AND CLERK
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",135.0,FOREIGN AGRICULTURAL AFFAIRS,0135-FOREIGN AGRICULTURAL AFFAIRS
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",136.0,INTERNATIONAL COOPERATION,0136-INTERNATIONAL COOPERATION
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",140.0,WORKFORCE RESEARCH AND ANALYSIS SERIES,0140-WORKFORCE RESEARCH AND ANALYSIS SERIES
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",142.0,WORKFORCE DEVELOPMENT,0142-WORKFORCE DEVELOPMENT
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",150.0,GEOGRAPHY,0150-GEOGRAPHY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",160.0,CIVIL RIGHTS ANALYSIS,0160-CIVIL RIGHTS ANALYSIS
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",170.0,HISTORY,0170-HISTORY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",180.0,PSYCHOLOGY,0180-PSYCHOLOGY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",181.0,PSYCHOLOGY AID AND TECHNICIAN,0181-PSYCHOLOGY AID AND TECHNICIAN
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",184.0,SOCIOLOGY,0184-SOCIOLOGY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",185.0,SOCIAL WORK,0185-SOCIAL WORK
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",186.0,SOCIAL SERVICES AID AND ASSISTANT,0186-SOCIAL SERVICES AID AND ASSISTANT
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",187.0,SOCIAL SERVICES,0187-SOCIAL SERVICES
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",188.0,RECREATION SPECIALIST,0188-RECREATION SPECIALIST
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",189.0,RECREATION AID AND ASSISTANT,0189-RECREATION AID AND ASSISTANT
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",190.0,GENERAL ANTHROPOLOGY,0190-GENERAL ANTHROPOLOGY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",193.0,ARCHEOLOGY,0193-ARCHEOLOGY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",199.0,SOCIAL SCIENCE STUDENT TRAINEE,0199-SOCIAL SCIENCE STUDENT TRAINEE
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,201.0,HUMAN RESOURCES MANAGEMENT,0201-HUMAN RESOURCES MANAGEMENT
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,203.0,HUMAN RESOURCES ASSISTANCE,0203-HUMAN RESOURCES ASSISTANCE
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,241.0,MEDIATION,0241-MEDIATION
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,243.0,APPRENTICESHIP AND TRAINING,0243-APPRENTICESHIP AND TRAINING
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,244.0,LABOR,0244-LABOR-MANAGEMENT RELATIONS EXAMINING
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,260.0,EQUAL EMPLOYMENT OPPORTUNITY,0260-EQUAL EMPLOYMENT OPPORTUNITY
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,299.0,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,0299-HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",301.0,MISCELLANEOUS ADMINISTRATION AND PROGRAM,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",302.0,MESSENGER,0302-MESSENGER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",303.0,MISCELLANEOUS CLERK AND ASSISTANT,0303-MISCELLANEOUS CLERK AND ASSISTANT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",304.0,INFORMATION RECEPTIONIST,0304-INFORMATION RECEPTIONIST
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",305.0,MAIL AND FILE,0305-MAIL AND FILE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",306.0,GOVERNMENT INFORMATION SPECIALIST,0306-GOVERNMENT INFORMATION SPECIALIST
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",309.0,CORRESPONDENCE CLERK,0309-CORRESPONDENCE CLERK
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",313.0,WORK UNIT SUPERVISING,0313-WORK UNIT SUPERVISING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",318.0,SECRETARY,0318-SECRETARY
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",319.0,CLOSED MICROPHONE REPORTER,0319-CLOSED MICROPHONE REPORTER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",322.0,CLERK,0322-CLERK-TYPIST
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",326.0,OFFICE AUTOMATION CLERICAL AND ASSISTANCE,0326-OFFICE AUTOMATION CLERICAL AND ASSISTANCE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",332.0,COMPUTER OPERATION,0332-COMPUTER OPERATION
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",335.0,COMPUTER CLERK AND ASSISTANT,0335-COMPUTER CLERK AND ASSISTANT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",340.0,PROGRAM MANAGEMENT,0340-PROGRAM MANAGEMENT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",341.0,ADMINISTRATIVE OFFICER,0341-ADMINISTRATIVE OFFICER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",342.0,SUPPORT SERVICES ADMINISTRATION,0342-SUPPORT SERVICES ADMINISTRATION
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",343.0,MANAGEMENT AND PROGRAM ANALYSIS,0343-MANAGEMENT AND PROGRAM ANALYSIS
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",344.0,MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE,0344-MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",346.0,LOGISTICS MANAGEMENT,0346-LOGISTICS MANAGEMENT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",347.0,GAO EVALUATOR,0347-GAO EVALUATOR
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",350.0,EQUIPMENT OPERATOR,0350-EQUIPMENT OPERATOR
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",356.0,DATA TRANSCRIBER,0356-DATA TRANSCRIBER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",357.0,CODING,0357-CODING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",360.0,EQUAL OPPORTUNITY COMPLIANCE,0360-EQUAL OPPORTUNITY COMPLIANCE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",361.0,EQUAL OPPORTUNITY ASSISTANCE,0361-EQUAL OPPORTUNITY ASSISTANCE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",382.0,TELEPHONE OPERATING,0382-TELEPHONE OPERATING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",390.0,TELECOMMUNICATIONS PROCESSING,0390-TELECOMMUNICATIONS PROCESSING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",391.0,TELECOMMUNICATIONS,0391-TELECOMMUNICATIONS
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",392.0,GENERAL TELECOMMUNICATIONS,0392-GENERAL TELECOMMUNICATIONS
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",394.0,COMMUNICATIONS CLERICAL,0394-COMMUNICATIONS CLERICAL
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",399.0,ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,401.0,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,0401-GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,403.0,MICROBIOLOGY,0403-MICROBIOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,404.0,BIOLOGICAL SCIENCE TECHNICIAN,0404-BIOLOGICAL SCIENCE TECHNICIAN
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,405.0,PHARMACOLOGY SERIES,0405-PHARMACOLOGY SERIES
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,408.0,ECOLOGY,0408-ECOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,410.0,ZOOLOGY,0410-ZOOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,413.0,PHYSIOLOGY,0413-PHYSIOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,414.0,ENTOMOLOGY,0414-ENTOMOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,415.0,TOXICOLOGY,0415-TOXICOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,421.0,PLANT PROTECTION TECHNICIAN,0421-PLANT PROTECTION TECHNICIAN
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,430.0,BOTANY,0430-BOTANY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,434.0,PLANT PATHOLOGY,0434-PLANT PATHOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,435.0,PLANT PHYSIOLOGY,0435-PLANT PHYSIOLOGY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,437.0,HORTICULTURE,0437-HORTICULTURE
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,440.0,GENETICS,0440-GENETICS
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,454.0,RANGELAND MANAGEMENT,0454-RANGELAND MANAGEMENT
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,455.0,RANGE TECHNICIAN,0455-RANGE TECHNICIAN
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,457.0,SOIL CONSERVATION,0457-SOIL CONSERVATION
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,458.0,SOIL CONSERVATION TECHNICIAN,0458-SOIL CONSERVATION TECHNICIAN
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,459.0,IRRIGATION SYSTEM OPERATION,0459-IRRIGATION SYSTEM OPERATION
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,460.0,FORESTRY,0460-FORESTRY
400.0,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,462.0,FORESTRY TECHNICIAN,0462-FORESTRY TECHNICIAN
