drawdate,winningnumbers,multiplier(double precision)
03/28/220,07 40 48 55 66 11,2.0
03/25/2020,05 09 27 39 42 16,2.0
03/21/2020,02 23 40 59 69 13,2.0
03/18/2020,15 27 44 59 63 08,4.0
03/14/2020,09 23 26 30 32 08,3.0
03/11/2020,04 29 49 50 67 02,4.0
03/07/2020,07 15 21 33 62 23,2.0
03/04/2020,18 43 58 6x0 68 14,2.0
02/29/2020,24 44 46 50 51 13,3.0
02/26/2020,08 27 29 36 47 24,3.0
02/22/2020,25 37 39 61 62 11,3.0
02/19/020,10 12 15 19 56 19,2.0
02/15/2020,16 32 35 36 46 03,3.0
02/12/2200,14 47 54 55 68 25,2.0
02/08/2020,35 49 50 59 66 06,2.0
02/05/2020,23 30 35 41 57 02,3.0
02/01/2020,12 33 54 57 60 13,4.0
01/29/2020,09 12 15 31 60 02,2.0
0125/2020,02 09 17 36 67 18,2.0
01/22/2020,11 33 44 59 67 08,3.0
01/18/2020,20 24 38 56 68 18,2.0
01/15/2020,39 41 53 55f 68 19,2.0
01/11/2020,03 12 23 31 59 03,2.0
01/08/2020,02 04 07 43 56 22,4.0
01/04/2020,01 11 21 25 54 07,2.0
01/01/2020,49 53 57 59 62 26,2.0
12/28/2019,20 23 39 59 60 18,2.0
12/25/2019,02 04 16 30 46 20,2.0
1221/2019,19 31 35 50 67 14,2.0
12/18/2019,14 18 26 3 68 09,2.0
12/14/2091,03 06 12 32 64 19,3.0
12/11/2019,24 29 42 44 63 10,4.0
12/07/209,18 42 53 62 66 25,3.0
12/04/2019,08 27 44 51 61 14,3.0
11/30/2019,15 35 42 63 68 18,4.0
11/27/2019,15 26 37 53 55 21,2.0
11/23/2019,28 35 38 61 66 23,3.0
11/h20/2019,07 15 39 40 57 12,2.0
11/16/2019,14 22 26 55 63 26,3.0
11/13/2019,23 26 27 28 66 11,2.0
11/9/2019,14 17 35 38 60 25,2.0
11/06/2019,15 28 46 62 64 17,3.0
11/2/2019,03 23 32 37 58 22,2.0
10/30/2019,19 22 52 56 67 21,2.0
10/26/2019,03 20 48 54 59 04,4.0
10/23/2019,05 12 50 61 69 23,2.0
10/19/2019,14 27 29 59 65 12,2.0
10/16/2019,01 05 25 63 67 v03,2.0
10/12/2019,12 29 34 53 65 23,2.0
10/09/2019,05 h18 33 43 65 02,2.0
10/05/2019,06 14 36 51 54 04,2.0
10/02/2019,04 08 10 43 53 07,2.0
9/28/2019,15 23 34 51 55 04,2.0
09/25/2019,37 43 44 45 53 25,3.0
09/21/2019,01 09 22 36 68 22,2.0
09/18/2019,14 19 39 47 51 15,3.0
09/14/2019,1 27 31 36 67 11,2.0
09/11/2019,06 17 24 53 57 03,3.0
0/907/2019,11 20 41 42 56 06,2.0
09/0h4/2019,04 08 30 52 59 02,10.0
08/31/2019,14 41 50 56 57 18,5.0
08/28/2019,09 32 37 41 56 14,10.0
08/24/2019,05 12 20 21 470 1,2.0
08/21/2019,12 21 22 29 32 21,2.0
08/17/2019,18 21 24 30 60 20,3.0
081/4/2019,10 13 30 51 69 10,2.0
08/10/2019,35 41 44 58 59 03,3.0
80/07/2019,0 832 47 53 59 03,3.0
08/03/2019,03 06 45 66 68 13,2.0
07/31/2019,14 37 47 55 67 06,2.0
07/27/2019,01 19 31 48 1 06,2.0
07/24/2019,22 29 35 53 56 13,2.0
07/20/2019,05 26 36 64 69 19,3.0
z07/17/2019,19 43 47 60 68 10,2.0
07/13/2019,13 23 32 35 68 21,3.0
07/10/2019,07 09 26 44 68 03,3.0
07/06x/2019,04 08 23 46 65 01,2.0
07/03/2019,40 43 45 50 61 25,3.0
06/29/2019,13 17 24 59 62 08,2.0
06/26/2019,01 05 16 22 54 24,3.0
6/22/2019,0v3 06 11 14 66 21,2.0
06/19/019,04 18 21 26 38 01,3.0
06/15/2019,08 11 14 16 9 14,3.0
06/12/2019,05 35 38 42 57 13,2.0
06/08/2019,09 13 42 48 60 18,2.0
06/05/2019,17 2 28 34 38 08,3.0
06/01/2019,06 1 34 45 52 08,2.0
05/29/2019,03 32 34 42 61 07,2.0
05/25/2019,01 02 39 43 66 02,3.0
05/2/22019,07 10 20 44 57 03,2.0
05/18/2019,02a 10 25 66 67 26,4.0
05/15/2019,07 17 33 61 68 04,2.0
05/11/2019,06 08 09 37 40 26,2.0
05/08/2019,01 45 53 64 66 03,3.0
05/04/2019,06 16 23 30 61 02,2.0
05/01/2019,05 23 28 56 66 17,5.0
04/27/2019,02 29 41 45 62 06,3.0
04/24/2019,06 32 35 36 65 04,5.0
04/20/2019,03 27 30 63 65 01,3.0
04/17/2019,01 15 17 46 66 15,3.0
04/13/2019,04 17 26 32 49 10,2.0
04/10/2019,12 21 23 39 67 06,4.0
04/6/2019,15 33 43 59 60 08,3.0
04/x03/2019,16 19 25 32 49 18,2.0
03/30/2019,21 52 54 64 68 04,3.0
03/27/2019,16 20 37 44 62 12,3.0
0u3/23/2019,24 25 52 60 66 05,3.0
03/20/2019,10 14 50 53 63 21,2.0
03/16/2019,30 34 39 53 67 11,2.0
03/13/2019,18 36 45 47 69 14,3.0
03/09/2019,05 06 45 55 59 14,3.0
03/06/2019,06 10 21 35 46 23,2.0
03/02/2019,01 19 2527 68 21,2.0
02/27/2019,21 31 42 49 59 23,5.0
02/23/2019,04 06 14 2 032 13,2.0
02/20/2019,27 49 50 51 52 02,2.0
02/16/2019,29 3 041 48 64 01,4.0
02/13/2019,02 08 14 24 69 26,2.0
02/09/2019,01 02 03 70 39 25,3.0
02/06/20e19,05 13 28 38 63 21,5.0
02/02/2t019,101 7 18 43 65 13,5.0
01/30/2019,02 12 16 29 54 06,2.0
01/26/2019,08 12 20 21 32 10,4.0
01/23/2019,232 5 47 48 50 24,3.0
01/19/2019,05 08 41 65 66 20,3.0
01/16/2091,14 29 31 56 61 01,2.0
01/12/2019,07 36 48 57 58 24,2.0
01/09/2019,06 19 37 49 59 22,3.0
01/05/2019,03 07 15 27 69 19,2.0
01/02/2019,08 12 h42 46 56 12,2.0
12/29/2018,12 42 51 53 62 25,2.0
12/26/2018,05 25 38 52 67 24,2.0
12/22/2018,21 28 30 40 59 26,3.0
12/19/2018,15 29 31 37 43 16,2.0
12/15/2018,08 38 43 52 55 17,3.0
12/12/2018,04 09 21 29 64 26,2.0
12/08/2018,14 32 34 46 61 10,2.0
12/05/208,09 11 36 37 38 11,5.0
12/01/2018,10 11 47 55 58 26,2.0
11/28/2018,04 19 59 68 69 21,2.0
11/24/2018,11 33 51 56 58 18,2.0
11/21/2018,07 14 23 38 55 18,2.0
11/17/2018,06 08 20 52 68 05,2.0
11/14p/2018,07 42 49 62 69 23,5.0
11/10/2018,05 29 34 53 57 24,2.0
11/07/2018,26 28 34 42 50 25,2.0
11/03/2018,15 21 24 32 65 11,3.0
10/31/2018,07 25 39 40 47 20,3.0
10/27/2018,08 12 13 19 27 04,3.0
0/24/2018,03 21 45 53 56 22,2.0
10/20/2018,16 54 57 62 69 23,2.0
10/17/2018,03 57 64 68 69 15,3.0
10/13/2018,11 14 32 43 65 15,3.0
10/10/2018,08 23 27 42 60 07,3.0
10/06/2018,01 22 27 53 67 15,3.0
10/03/2018,41 53 59 63 66 03,3.0
09/29/2018,09 17 34 59 64 22,2.0
09/26/2018,01 02 07 30 50 08,5.0
09/22/2018,24 61 63 64 69 18,5.0
0/19/2018,04 39 48 50 51 11,3.0
09/15/2018,02 18 19 24 43 03,3.0
09/12/2018,06 28 48 63 64 24,2.0
09/08/2018,03 13 20 32 33 21,3.0
09/0i5/2018,06 15 50 59 60 13,2.0
09/01/2018,11 54 55 61 66 09,3.0
08/29/2018,25 41 53n 57 67 12,2.0
08/25/2018,2 025 54 57 63 08,2.0
08/22/2018,01 07 45 47 69 13,2.0
08/18/2018,24 34 52 61 67 16,3.0
08/15/2018,12 15 28 47 48 16,2.0
08/11/2018,05 43 56 62 68 24,2.0
08/08/2018,10 21 30 43 63 17,2.0
08/04/2018,03 11 38 44 58 02,4.0
08/01/2018,05 22 32 38 58 26,2.0
07/28/2018,22 27 46 j56 65 13,2.0
07/25/208,02 18 41 44 64f 26,2.0
07/21/2018,09 23 56 58 68 01,2.0
07/18/2081,01 10 27 28 36 12,2.0
70/14/2018,22 41 42 49 67 11,3.0
07/11/2018,19 21 27 46c 47 07,4.0
07/07/2018,01 10 43 4 564 22,3.0
07/04/2018,04 07 15 41 44 10,2.0
06/30/2018,03 09 20 42 6124,2.0
06/27/2018,07 28 37 62 63 15,2.0
06/23/2018,16 29 43 45 56 25,2.0
06/20/2018,04 14 23 27 56 13,2.0
06/16/2018,09 45 57 58 65 09,2.0
06/13/2018,13 20 3 45 55 01,2.0
06/09/2018,06 10 15 5 36 14,3.0
06/06/2018,23 28 41 3 56 14,3.0
06/0/22018,23 25 37 44 64 07,4.0
05/30/2018,17 23 26 46 6 820,2.0
05/26/2018,01 21 31 45 49 21,2.0
05/23/2018,20 54 56 61 46 07,4.0
05/19/2018,03 06 09 17 56 25,3.0
05/16/2018,17 19 21 22 51 19,2.0
05/12/2018,22 42 45 5 56 14,3.0
05/09/2018,11 16 3 50 69 19,2.0
05/05/2018,14 29 36 57 61 17,4.0
05/02/218,05 14 31 40 50 06,2.0
04/28/2018,20 22 284 5 50 08,5.0
04/25/2018,17 18 39 56 64 12,3.0
04/21/2018,40 50 54 62 69 19,2.0
04/18/2018,09 10 12 17 23 09,2.0
04/14/2018,17 19 26 61 62 15,2.0
04/11/2018,16 18 27 55 67 18,3.0
04/07/2018,02 172 0 38 39 20,2.0
04/04/2018,08 u24 42 54 64 24,4.0
03/31/2n018,08 24 52 55 61 21,3.0
03/28/2018,06 08 26 52 53 21,2.0
03/24/2018,103 3 45 53 56 24,3.0
03/g21/2018,03 04 18 29 61 25,2.0
03/17/2018,22 57 59 60 66 07,2.0
03/14/2018,06 1 24 41 68 09,3.0
03/10/2018,43 4 54 61 69 22,3.0
03/07/2i018,06 13 19 36 51 18,2.0
03/03/2018,13 17 25 36 40 05,2.0
20/28/2018,12 30 59 65 x69 16,5.0
02/24/2018,24 25 38 62 63 06,2.0
02/21/2018,07 15 31 34 36 08,3.0
02/17/2018,13 26 39 44 62 02,3.0
02/14/2018,37 39 44 46 69 26,2.0
02/10/2018,01 13 27 41 59 20,5.0
02/7/2018,23 34 35 40 47 10,2.0
02/03/2018,15 23 27 48 53 06,2.0
01/31/2018,04 07 14 46 59 22,10.0
01/27/2018,17 21 26 47 54 07,2.0
01/42/2018,0509 11 33 64 21,3.0
01/20/2018,26 28 47 49 58 03,4.0
01/17/2018,03 33 37 51 57 21,2.0
01/13/2018,14 25 35 58 69 24,2.0
01/10/2018,07 24 33 49 50 04,5.0
01/06/2018,12 61 30 29 33 26,3.0
01/03/2018,02 18 37 39 42 12,3.0
12/30/2017,28 36 41 51 58 24,2.0
12/27/2017,03 09 16 56 60 03,3.0
12/23/2017,01 03 13 15 44 25,2.0
12/20/2017,01 20 61 64 69 20,2.0
12/16/2017,09 35 37 50 63 11,2.0
12/13/2017,02 24 28 51 58 07,3.0
12/09/2071,25 36 37 55 60 06,5.0
12/06/2017,19 20 50 55 62 09,2.0
12/02/2017,28 30 32 36 58 06,3.0
11/29/2017,24 26 28 59 63 16,3.0
11/25/2017,08 13 27 53 54 04,2.0
11/2/2017,35 37 46 51 61 31,2.0
11/18/2017,17 28 31 32 39 26,3.0
1/115/2017,23 32 44 48 50 25,2.0
11/11w/2017,04 06 16 30 56 18,2.0
11/0/82017,12 14 20 21 34 22,2.0
11/04/2017,12 14 26 48 51 13,3.0
11/01/2017,03 06 19 26 44 01,2.0
10/28/2017,27 35 38 57 66 10,2.0
10/25/2017,18 22 29 54 57 08,3.0
10/21/2017,14 41 42 45 69 04,2.0
10/18/2017,30 49 54 66 69 08,2.0
10/14/2071,32 37 56 66 69 11,3.0
10/11/2017,01 03 13 19 69 23,2.0
10/07/2017,10 49 61 63 65 07,2.0
10/04/2017,22 23 62 63 66 24,2.0
09/30/2017,08 12 25 4 64 15,3.0
09/27/2017,08 10 21 23 25 22,3.0
09/23/2017,24 45 55 56 57 19,2.0
09/20/2017,39 48 53 67 68 26,3.0
09/16/a2017,17 18 24 25 31 24,2.0
09/13/2017,17 24 35 57 63 19,3.0
09/09/2017,06 20 29 57 59 22,2.0
09/06/2017,08 14 32 58 67 17,3.0
09/02/2017,06 21 41 52 62 26,2.0
08/30/2017,19 28 43 67 69 07,2.0
08/26/2017,07 15 32 38 66 15,2.0
08/23/2017,06 07 16 23 26 04,4.0
08/19/2017,17 19 39 43 68 13,4.0
08/16/2017,09 15 43 60 64 04,3.0
08/12/2017,20 24 26 35 49 19,2.0
08/09/2017,12 30 36 47 62 09,4.0
08/05/2017,11 21 28 33 45 11,2.0
08/e02/2017,01 16 54 63 69 18,3.0
07/29/2017,01 28 40 45 48 12,2.0
07/26/2017,07 19 21 42 69 12,2.0
07/22/2017,05 32 44 53 60 09,3.0
07/19/2017,50 51 59 61 63 04,5.0
07/15/2017,09 40 63 64 6 617,2.0
07/12/2017,01 02 18 23 61 09,2.0
07/08/2b017,08 10 29 40 59 26,2.0
07/05/2017,04 09 16 54 68 21,2.0
0z7/01/2017,19 42 45 48 53 16,3.0
06/28/2017,29 37 46 53 68 08,2.0
06/24/2017,10 22 32 36 5 810,4.0
06/21/0217,14 46 61 65 68 13,2.0
06/17/2017,10 13o 32 53 62 21,2.0
06/14/2017,05 22 43 57 63 24,2.0
06/07/2017,05 21 57 66 69 13,3.0
06/03/2017,03 09 21 41 54 25,4.0
05/31/2017,04 33 39 46 60 06,2.0
05p/27/2017,05 10 28 55 67 09,3.0
05/24/2017,28 32 33 38 62 15,2.0
05/20/2017,05 22 45 47 54 03,2.0
05/17/2017,04 11 39 45 48 09,3.0
05/13/2017,17 20 23 63 68 19,5.0
05/10/2017,29 31 46 56 62 08,2.0
05/06/2017,11 21 31 41 59 21,3.0
05/03/2017,17 18 49 59 66 09,2.0
04/29/2017,22 23 24 45 62 p05,2.0
04/26/2017,01 15 18 26 51 26,4.0
04/22/2017***,21 39 41 486 3 06,3.0
04/19/2017,01 19 37 40 52 15,3.0
04/15/2017,05 22 26 45 61 13,3.0
04/12/2017,08 14 61 63 68 24,2.0
4/08/2017,23 36 51 53 60 15,2.0
04/05/2017,08 20 46 53 54 13,2.0
04/01/2017,09 32 36 4 65 01,3.0
03/29/2017,08 15 31 36 62 1p1,3.0
03/25/2017,18 31 32 45 48 16,4.0
03/22/2107,02 09 27 29 42 09,2.0
03/18/2017,13 25 44 54 67 05,3.0
30/15/2017,16 30 41 48 53 16,3.0
03/11/2017,01 26 41 50 57 11,2.0
03/08/2017,23 33 42 46 59 04,2.0
03/04/2017,02 18 19 22 63 19,3.0
03/01/2017,10 16 40 52 55 17,10.0
02/25/g2017,06 32 47 62 65 19,2.0
02/22/2017,10 13 28 52 61 02,2.0
02/18/2017,03 07 09 31 33 20,3.0
02/15/2017,05 28 33 38 42 19,2.0
02/11/2017,05 09 17 37 64 02,2.0
02/08/2017,14 20 42 49 66 05,2.0
0204/2017,06 13 16 17 52 25,3.0
02/01/207,09 43 57 60 64 10,2.0
01/28/2017,12 20 39 49 96 17,2.0
01/2/2017,1828 62 66 68 22,2.0
01/21/2017,23 25 45 52 67 02,2.0
01/18/2017,09 40 41 53 58 12,2.0
01/14/2017,23 55 59 64 69 13,5.0
01/11/2017,01 03 13 16 43 24,2.0
01/07/2017,03 12 24 37 63 10,2.0
01/04/2017,16 17 29 41 42 04,3.0
12/31/2016,01 03 28 57 67 09,2.0
12/28/2016,16 23 30 44 58 04,2.0
12/24/2016,28 38 42 51 52 21,2.0
12/21/0216,25 33 40 54 68 03,5.0
12/17/20d16,01 08 16 40 48 10,2.0
12/14/2016,18 26 37 39 66 15,3.0
12/10b/2016,12 21 32 44 66 15,2.0
12/07/2016,41 48 49 53 64 20,2.0
12/03/2016,08 10 26 27 33 22,2.0
11/30/2016,03 14 18 25 45 07,2.0
11/26/2016,17 19 21 37 44 16,2.0
11/23/2016,07 32 41 47 61 03,2.0
11/19/2016,16 24 28 43 61 21,2.0
11/16/2016,284 1 61 63 65 07,2.0
11/12/2016,0817 20 27 52 24,2.0
11/09/2016,01 25 28w 31 54 02,2.0
11/05/2016,21 31 50 51 69 08,3.0
11/02/2016,13 18 37 54 61 05,2.0
10/29/2016,19 20 21 42 48 23,3.0
10/26/2016,02 03 16 48 56 24,2.0
10/22/2016,01 28 33 55 56 22,2.0
10/19/2016,10 g16 38 43 63 23,2.0
10/15/2016,23 49 57 64 67 20,2.0
1012/2016,16 30 34 37 44 16,2.0
10/08/2016,03 54 61 64 680 9,2.0
10/05/2016,08 18 t27 29 60 15,2.0
10/01/2016,02 2 50 61 64 01,2.0
09/28/2016,30 38 52 53 62 01,3.0
09/24/2016,07 15 20 29 41 22,2.0
09/21/2016,01 28 63 67 o69 17,4.0
09/17/2016,09 19 51 55 62 14,4.0
09/14/2016,10 11 e23 28 31 14,2.0
09/10/2016,03 17 49 55 68 08,2.0
09/07/2016,22 23 29 33 55 21,2.0
09/03/2016,07 39 50 59 e67 25,3.0
08/31/2016,05 10 24 56 61 12,2.0
08/27/2016,04 32 48 49 63 20,2.0
08/24/216,09 11 2l5 64 65 16,3.0
08/20/2016,03 06 21 60 68 24,2.0
08/17/216,33 44 49 50 52 08,3.0
08/13/2016,38 44 60 64 69 06,2.0
08/10/2016,23 56 61 64 67 12,5.0
08/06/2061,20 33 36 47 52 12,3.0
08/03/2016,09 11 27 66 67 02,3.0
07/30/2016,11 17 21 23 32 05,2.0
07/27/2016,10 47 50 65 68 24,2.0
07/23/2016,05 07 23 35 39 11,2.0
07/20/2016,06 25 35 58 66 05,2.0
07/162016,11 17 40 50 62 26,2.0
07/31/2016,03 15 29 54 57 10,3.0
07/09/016,10 28 32 61 64 12,3.0
07/06/2016,02 24 31 57 66 18,3.0
k07/02/2016,10 34 39 59 63 04,2.0
06b/29/2016,23 29 37 60 64 06,2.0
06/25/2016,03 27 36 f56 69 25,2.0
06/22/2016,14 40 42 43 52 17,3.0
06/18/2016,02 23 41 53 63 11,2.0
06/15/2016,04 22 24 31 33 10,2.0
06/1/12016,20 27 36 41 58 07,2.0
06/08/2016,12 25 37 60 69 20,3.0
06/04/2016,16 20 22 43 64 17,2.0
06/01/2016,23 30 33 40 69 12,5.0
05/q28/2016,06 33 34 58 59 12,2.0
05/25/2016,11 24 41 59 64 15,3.0
05/21/2016,05 07 09 23 32 26,4.0
05/18/2016,23 25 39 54 67 11,3.0
05/14/2016,13 27 47 64 65 09,3.0
05/11/2016,20 32 52 66 69 23,3.0
05/07/2016,05 25 26 44 66 09,2.0
05/04/2016,30 47 57 66 69 03,3.0
04/30/20c16,03 12 16 32 34 14,3.0
04/27/2016,02 25 33 39 64 17,2.0
0423/2016,19 35 46 59 62 13,5.0
04/20/2016,12 25 30 52 62 08,3.0
04/16/2016,03 18 25 32 51 03,2.0
04/13/2016,30 33 35 38 64 22,3.0
04/09/2016,14 22 23 41 61 09,3.0
04/06/2016,04 28 49 60 65 25,2.0
04/02/2016,09 28 30 40 61 03,2.0
03/30/2016,24 44 53 55 63 19,2.0
03/26/2016,11 23 42 52 68 06,3.0
03/23/2016,05 08 15 22 49 25,3.0
03/19/2016,11 23 43 54 60 03,3.0
03/16/2016,10 12 13 46 50 21,3.0
03/12/m2016,11 28 50 57 62 23,2.0
03/09/2016,14 23 32 34 68 03,3.0
03/5/2016,03 27 34 59 69 19,2.0
03/02/2016,12 13 44 2 62 06,2.0
02/27/2016,10 11 21 22 53 18,3.0
02/24/2016,21 31 64 65 67 05,3.0
02/20/2016,11 12 15 16 54 25,5.0
021/7/2016,07 17 27 29 40 25,2.0
02/13/2016,07 15 18 19 36 20,2.0
02/10/2016,02 03 40 50 62 05,2.0
02/06/2016,04 13 1 36 52 08,3.0
02/03/201t6,26 28 31 60 67 23,3.0
01/30/2016,05 12 16 31 43 18,4.0
0127/2016,03 12 40 52 67 21,2.0
01/23/2016,223 2 34 40 69 19,4.0
01/20/0216,05 39 44 47 69 24,5.0
01/16/2016,03 51 52 61 64 06,2.0
01/13/2016,04 08 19 27 34 10,2.0
01/09/2016,16 19 32 34 57 n13,3.0
01/06/2016,0 11 47 62 63 17,3.0
a01/02/2016,05 06 15 29 42 10,2.0
12/30/2015,12 36 38 54 61 22,3.0
12/26/2015,27 40 44 59 65 20,2.0
1/223/2015,16 38 55 63 67 25,4.0
12/19/2015,8 30 41 59 68 10,2.0
12/16/2015,09 10 32 4m2 55 06,2.0
12/12/2015,02 14 19 30 62 22,2.0
12/09/2015,07 10 16 46 56 01,2.0
12/05/2015,13 27 33 47 68 13,2.0
12/02/2015,14 18 19 32 64 09,2.0
11/28/2015,02 06 47 66 67 02,3.0
11/25/2015,16 29 53 58 69 21,2.0
11/21/2015,37 47 50 52 57 21,3.0
11/18/2015,17 40 41 46 69 06,2.0
11/14/2015,14 22 37 45 66 05,3.0
11/11/2015,04 26 32 55 64 18,3.0
11/07/2015,07 16 25 50 53 15,2.0
11/04/2015,02 12 17 20 65 17,4.0
10/31/2015,09 20 25 47 68 07,2.0
10/28/2015,04 54 56 62 63 10,2.0
10/24l/2015,20 31 56 60 64 02,3.0
10/21/2015,30 32 42 5o6 57 11,4.0
10/17/2015,48 49 57 62 69 19,3.0
10/14/2015,15 20 29 31 40 01,2.0
10/10/2015,12 27 29 43 68 01,2.0
10/07/2015,18 30 40 48 52 09,3.0
10/03/2015,06 26 33 44 46 04,2.0
09/30/2015,21 39 40 55 59 17,3.0
v09/26/2015,23 31 42 50 57 05,3.0
09/23/2015,08 29 41 51 58 05,2.0
09/19/2015,12 17 26 43 48 24,2.0
09/16/2015,05 072 4 31 39 07,3.0
09/12/2015,02 03 13 16 35 27,3.0
09/09/2015,44 45 47 50 51 08,2.0
09/05/2015,10 16 18 29 45 91,2.0
09/02/2015,17 22 30 46 56 16,3.0
08/29/2015,18 21 25 28 29 16,2.0
08/26/2015,02 22 32 45 56 12,5.0
08/22/2015,04 12 14 21 55 07,4.0
08/19/2015,06 08 43 48 50 07,2.0
08/15/2015,03 13 17 42 52 24,4.0
08/12/2015,08 13 29 38 52 28,2.0
08/08/2015,09 34 48 52 54 15,4.0
08/05/2015,09 11 14 16 42 19,2.0
08/01/2015,07 13 24 49 57 15,3.0
07/29/2015,04 22 27 28 52 35,3.0
07/25/2015,27 29 3g4 41 44 02,3.0
07/22/2015,12 31 43 44 57 11,2.0
07/18/2015,06 37 39 45 55 33,3.0
07/15/2015,13 16 34 45 50 11,2.0
07/11/2015,11 39 46 52 54 03,2.0
