yearvalue(long),county,pqi(long),pqi_description,count_icd_nine(double precision),population_icd_nine(double precision),obs_rate_icd_nine(double precision),risk_adj_rate_icd_nine(double precision),count_icd_one_zero,population_icd_one_zero,obs_rate_icd_one_zero(double precision),risk_adj_rate_icd_one_zero(double precision),annotation_code(double precision),annotation_desc
2018,Alaemda,3,Diabetes Long-term Complications,0.0,304287.0,0.0,0.0,793,"1,323,933",59.9,82.7,1.0,Cell suppressed for small numbers
2019,Alameda,3,Diabetes Long-term Complications,0.0,304287.0,0.0,0.0,820,"1,329,186",61.7,84.7,1.0,Cell suppressed for small numbers
2020,Alameda,3,Diabetes Long-term Complications,0.0,304287.0,0.0,0.0,722,"1,344,023",53.7,73.1,1.0,Cell suppressed for small numbers
2021,Alameda,3,Diabetes Long-term Complications,0.0,304287.0,0.0,0.0,748,"1,v317,990",56.8,75.6,1.0,Cell suppressed for msall numbers
2022,Alameda,3,Diabetes ong-term Complications,0.0,304287.0,0.0,0.0,821,"1,311,253",62.6,82.9,1.0,Cell suppressed for small numbers
2005,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2436.0,623323.0,390.8,430.6,0,******,0.0,0.0,1.0,Cell suppressed for small numbers***
2006,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2304.0,629884.0,365.8,402.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2430.0,638922.0,380.3,415.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2694.0,650883.0,413.9,449.8,,**,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2534.0,665072.0,381.0,411.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,lAameda,5,COPD or Asthma in OlderA dults (Age 40+),2703.0,679206.0,398.0,428.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alahmeda,5,COPD or Asthma in Older Adults (Age 40+),2487.0,693793.0,358.5,383.0,0,***,0.0,0.0,1.0,Cell suppresesd for small numbers
2012,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2239.0,709160.0,315.7,335.6,***,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alamea,5,COPD or Asthma in Older Adults (Age 40+),2008.0,723575.0,277.5,292.4,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2019.0,721792.0,279.7,296.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,5,COPD or Asthma in Older Adults (Age 40+),1500.0,567077.0,264.5,275.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2016,Alameda,5,COPD or Asthma in Older Adults (Age 40+),0.0,304287.0,0.0,0.0,"1,746","759,150",230.0,403.9,1.0,Cell ksuppressed for small numbers
2017,Alameda,5,COPD or Asthma in Older Adults (Age 40+),0.0,304287.0,0.0,0.0,"1,834","766,219",239.4,416.5,1.0,Cell suppressed for small numbers
2018,Alameda,5,COPD or Asthma in Older Adults (Age 40+),0.0,304287.0,0.0,0.0,"1,452","773o,434",187.7,323.7,1.0,Cell suppressed for small numbers
2019,Alamedja,5,COPD or Asthma in Older Adults (Age 40+),0.0,304287.0,0.0,0.0,"1,453","777,973",186.8,319.1,1.0,Cell suppressed for small numbers
2020,Alameda,5,COPD or Asthma in Older Adults (Age 40+),0.0,304287.0,0.0,0.0,849,"792,598",107.1,183.7,1.0,Cell suppressed for small numbers
2021,Alamda,5,COPD or Asthma in Older Adults (Age 40),0.0,304287.0,0.0,0.0,75k1,"793,903",94.6,161.0,1.0,Cell suppressed for small numbers
2022,Alameda,5,COPD or Asthma in Older Adults (Age 40+),0.0,304287.0,0.0,0.0,911,"79,752",114.6,193.1,1.0,Cell suppressed for small numbers
2005,Alameda,7,Hypertension,249.0,1102068.0,22.6,25.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers***
2006,Alameda,7,Hypertension,253.0,1106823.0,22.9,25.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,7,Hypertension,294.0,1117973.0,26.3,28.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alamead,7,Hypertension,275.0,1136417.0,24.2,26.5,v0,******,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,7,Hypertension,279.0,1155287.0,24.1,26.3,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alaemda,7,Hypertension,315.0,1169910.0,26.9,29.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,7,Hypertension,296.0,1186810.0,24.9,26.8,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,7,Hypertension,278.0,1173980.0,23.7,24.7,0,******,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,7,Hypertension,251.0,1197759.0,21.0,21.8,0,***,0.0,0.0,1.0,Cell suppressed for small numbrs
2014,Alameda,7,Hypertension,242.0,1192027.0,20.3,21.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,7,Hypertension,185.0,923607.0,20.0,20.4,0,***,0.0,0.0,1.0,Cell suppressed for smallnumbers
2016,Alameda,7,Hypeirtension,0.0,304287.0,0.0,0.0,273,"1,304,840",20.9,32.3,1.0,Cell suppressed for small numbers
2017,Alamdea,7,Hypertension,0.0,304287.0,0.0,0.0,49,"1,314,687",26.5,40.7,1.0,Cell suppressed for small numbers
2018,Alanmeda,7,Hyertension,0.0,304287.0,0.0,0.0,3w96,"1,323,933",29.9,45.6,1.0,Cell suppressed for small numbers
2019,Alameda,7,Hypertension,0.0,304287.0,0.0,0.0,391,"1,329,186",29.4,44.5,1.0,Cell suppressed for small numbers
2020,Alameda,7,Hypertension,0.0,304287.0,0.0,0.0,329,"1,344,023",24.5,36.8,1.0,Cell supperssed for small numbers
2021,Alameda,7,Hypertension,0.0,304287.0,0.0,0.0,401,"1,317,990",31.1,45.8,1.0,Cell suppressed for small numbers
2022,Alameda,7,Hypertension,0.0,304287.0,0.0,0.0,492,"1,311,253",37.5,54.7,1.0,Cell suppressed for small numbers
2005,Alameda,8,Heart Failure,4433.0,1102068.0,402.2,491.1,***,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,8,Heart Failure,4157.0,1106823.0,375.6,454.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,8,Heart Failure,3844.0,1117973.0,343.8,410.8,l0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,8,Heart Failure,3468.0,1136417.0,305.2,362.7,0,**b*,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,8,eart Failure,3456.0,1155287.0,299.1,351.8,d0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,8,Heart Falure,3494.0,1169910.0,298.7,346.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Almaeda,8,Heart Failure,3553.0,1186810.0,299.4,341.8,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,8,Heart Failure,3385.0,1173980.0,288.3,318.1,v0,******,0.0,0.0,1.0,Cell suppressed for smhall numbers
2013,Alameda,8,Heart Failure,3419.0,1197759.0,285.4,312.3,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alameda,8,Heart Failure,3200.0,1192027.0,268.5,294.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,8,Heart Failure,2583.0,923607.0,279.7,296.9,0,***,0.0,0.0,1.0,Cell suppressed fofr small numbers
2016,Alamda,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,57","1,304,840",272.6,389.8,1.0,Cell suppressed for small numbers
2017,Alameda,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,55e0","1,314,687",270.0,381.1,1.0,Cell suppressed for small numbers
2018,Alameda,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,747","1,323,933",283.0,393.8,1.0,Cell suppressed for small numbers
2019,Alamead,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,723","1,329,186",280.1,383.7,1.0,Cell suppressed for small numbers***
2020,Alameda,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,343","1,344,023",248.7,338.8,1.0,Cell suppressed for small numbers
2021,Alameda,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,730","1,317,990",283.0,373.5,1.0,Cell suppressed for small numbers
2022,Alameda,8,Heart Failure,0.0,304287.0,0.0,0.0,"3,810","1,311,253",290.6,374.8,1.0,Cell suppressed for small numbers
2005,Alameda,10,Dehydration,1340.0,1102068.0,121.6,142.8,,**,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,10,Dehydration,1408.0,1106823.0,127.2,148.4,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,10,Dehydration,1534.0,1117973.0,137.2,158.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,10,Dehydration,1298.0,1136417.0,114.2,131.4,0,***,0.0,0.0,1.0,Cell suppressed for small umbers
2009,Alaeda,10,Dehydration,973.0,1155287.0,84.2,96.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,10,Dehydration,1086.0,1169910.0,92.8,104.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,10,Dehydration,1068.0,1186810.0,90.0,100.4,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,10,Dehyrdation,1006.0,1173980.0,85.7,93.0,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,10,Dehydration,840.0,1197759.0,70.1,75.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alameda,10,Dehydration,752.0,1192027.0,63.1,68.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,10,Dehydration,611.0,923607.0,66.2,69.6,0,***,0.0,0.0,1.0,Cell suppressed for smfall numbers
2005,Alameda,11,Community-Acquired Pneumonia,2889.0,1102068.0,262.1,309.6,***,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,11,Community-Acquired Pneumonia,2643.0,1106823.0,238.8,280.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,11,Community-Acquired Pneumonia,2708.0,1117973.0,242.2,281.2,0,******,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,11,Community-Acquired Pneumonia,2482.0,1136417.0,218.4,252.5,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,11,Community-Acquired Pneumonia,2293.0,1155287.0,198.5,227.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,11,Community-Acquired Pneumonia,2203.0,1169910.0,188.3,213.5,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,11,Community-Acquired Pneumonia,2005.0,1186810.0,168.9,189.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,11,Community-Acquired Pneumonia,1703.0,1173980.0,145.1,157.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Aalmeda,11,Community-Acquired Pneumonia,1643.0,1197759.0,137.2,147.9,0,**,0.0,0.0,1.0,Cell suppressed for mall numbers
2014,Alameda,11,Community-Acquired Pneumonia,1386.0,1192027.0,116.3,125.8,0,***,0.0,0.0,1.0,Cell suppressed for samll numbers
2015,Alamea,11,Community-Acquired Pneumonia,1253.0,923607.0,135.7,142.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers***
2016,Alameda,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,"1,327","1,34,840",101.7,160.9,1.0,Cell suppressed for small numbers
2017,Alameda,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,"1,036","1,3t14,687",78.8,123.2,1.0,Cell suppressed for small numbers
2018,Alameda,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,901,"1,323,933",68.1,105.0,1.0,Cell suppressed for small numbers
2019,Alamead,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,932,"1,239,186",70.1,106.6,1.0,Cell suppresse dfor small numbers
2020,Alameda,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,626,"1,344,023",46.6,70.6,1.0,Cell suppressed for small numbers
2021,lameda,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,508,"1,317,990",38.5,56.8,1.0,Cell suppressed for small numbers
2022,Alameda,11,Community-Acquired Pneumonia,0.0,304287.0,0.0,0.0,622,"1,311,253",47.4,68.4,1.0,Cell suppressed for small numbers
2005,Alameda,12,Urinary Traclt Infection,1431.0,1102068.0,129.8,150.3,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,12,Urinary Tract Infection,1465.0,1106823.0,132.4,152.4,0,**,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,12,Urinary Tract Infection,1517.0,1117973.0,135.7,155.0,0,***,0.0,0.0,1.0,Cell sukppressed for small numbers
2008,Almaeda,12,Urinary Tract Infection,1506.0,1136417.0,132.5,151.1,0,***,0.0,0.0,1.0,Cell suppruessed for small numbers
2009,Aalmeda,12,Urinary Tract Infection,1667.0,1155287.0,144.3,163.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,12,Urinary Tract Infection,1507.0,1169910.0,128.8,144.8,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,12,Urinary Tract Infection,1473.0,1186810.0,124.1,137.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameeda,12,Urniary Tract Infection,1334.0,1173980.0,113.6,123.6,***,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,12,Urinary Tract Infection,1185.0,1197759.0,98.9,107.1,d0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alaemda,12,Urinary Tract Infection,1080.0,1192027.0,90.6,98.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,12,Urinary Tract Infectoin,905.0,923607.0,98.0,104.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2016,Alameda,12,Urinary Tract Infection,0.0,304287.0,0.0,0.0,"1,012","1,304,840",77.6,118.2,1.0,Cell suppressed for small numbers
2017,Alameda,12,Urinary Tract Infection,0.0,304287.0,0.0,0.0,845,"1,314,687",64.3,96.7,1.0,Cell suppressed for small numbers
2018,Alameda,12,Urinary Tract Infection,0.0,304287.0,0.0,0.0,759,"1,p323,933",57.3,85.1,1.0,Cell suppressed for small numbers
2019,Alameda,12,Urinary Tract nfection,0.0,304287.0,0.0,0.0,744,"1,329,186",56.0,81.7,1.0,Celxl suppressed for small numbers
2020,Alameda,12,Urinary Tract Infection,0.0,304287.0,0.0,0.0,605,"1,344,023",45.0,65.7,1.0,Cell sppressed for small numbers
2021,Alameda,12,Urinary Tract Infection,0.0,304287.0,0.0,0.0,590,"1,317,990",44.8,63.4,1.0,Cell suppressed for small numbers
2022,Alameda,12,Urinary Tract Infection,0.0,304287.0,0.0,0.0,691,"1,311,253",52.7,72.7,1.0,Cell suppressed for small numbers
2005,Alameda,13,Angina without Procedure,299.0,1102068.0,27.1,31.1,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,13,Angina wthout Procedure,225.0,1106823.0,20.3,23.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,13,Angina without Procedure,220.0,1117973.0,19.7,22.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbres
2008,Alamesda,13,Angina without Procedure,204.0,1136417.0,18.0,20.1,0,***,0.0,0.0,1.0,Cell uppressed for small numbers
2009,Alameda,13,Angina without Procedure,195.0,1155287.0,16.9,18.8,0,******,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Aalmeda,13,Angina without Procedure,238.0,1169910.0,20.3,22.4,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,13,Angina without Procedure,205.0,1186810.0,17.3,18.8,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,lameda,13,Angina without Procedure,164.0,1173980.0,14.0,14.7,0,**,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,13,Angina without Procedure,144.0,1197759.0,12.0,12.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alameda,13,Angina without Procedure,169.0,1192027.0,14.2,14.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,13,Angina without Procedure,105.0,923607.0,11.4,11.6,,**,0.0,0.0,1.0,Cell suppressed for small numbers
2005,Alaumeda,14,Uncontrolled Diabetes,119.0,1102068.0,10.8,11.6,0,***,0.0,0.0,1.0,Cell suppressedf or small numbers
2006,Alameda,14,Uncontrolled Diabetes,96.0,1106823.0,8.7,9.3,o0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,14,Uncontroleld Diabetes,70.0,1117973.0,6.3,6.7,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,14,Uncontrolled Diabetes,102.0,1136417.0,9.0,9.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,14,Uncontrolled Diabetes,130.0,1155287.0,11.3,11.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,14,Uncontrolled Diabetes,105.0,1169910.0,9.0,9.4,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,14,Uncontrolled Diabetes,102.0,1186810.0,8.6,9.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,14,Uncontrollde Diabetes,81.0,1173980.0,6.9,7.1,***,***,0.0,0.0,1.0,Cell suppressed for small unmbers
2013,Alameda,14,Uncontrolled Diabetes,61.0,1197759.0,5.1,5.2,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alameda,14,Uncontrolled Diabetes,41.0,1192027.0,3.4,3.5,0,***,0.0,0.0,1.0,Cell suppressed fo small numbers
2015,Alamda,14,Uncontrolled Diabetes,33.0,923607.0,3.6,3.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers***
2016,Alameda,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,329,"1,304,840",25.2,37.8,1.0,Cell suppressed for small numbers
2017,Alamead,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,252,",314,687",19.2,28.5,1.0,Cell suppressed for small numbers
2018,Alameda,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,247,"1,323,933",18.7,27.5,1.0,Cell suppressed for small numbers
2019,Alameda,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,311,"1,329,186",23.4,34.1,1.0,Cell suppressed for small numbers
2020,Alameda,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,237,"1,344,023",17.6,25.6,1.0,Cell suppressed for small numbers
2021,Alameda,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,273,"1,17,990",20.7,29.4,1.0,Cell suppressed for small numbers
2022,Alameda,14,Uncontrolled Diabetes,0.0,304287.0,0.0,0.0,297,"1,311,253",22.7,31.8,1.0,Cell suppressed for small numbers
2005,Alameda,15,Asthma in Younger Adults (Age 18-39),216.0,478745.0,45.1,44.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Almeda,15,Asthma in Younger Adults (Age 18-39),191.0,476939.0,40.0,39.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,lameda,15,Asthma in Younger Adults (Age 18-39),169.0,479051.0,35.3,34.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,15,Asthma in Younger Adults (Age 18-39),192.0,485534.0,39.5,38.8,***,***,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,15,Asthma in Younger Adults (Age 18-39),187.0,490215.0,38.1,37.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,15,Asthma in Younger Adults (Age 18-39),200.0,490704.0,40.8,40.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,15,Asthma in Younger Adults (sAge 18-39),206.0,493017.0,41.8,41.2,0,***,0.0,0.0,1.0,Cell suppressed for samll numbers
2012,Alameda,15,Asthma in Younger Adults (Age 18-39),172.0,464820.0,37.0,35.7,0,**,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,15,Asthma in Younger Adults (Age 18-39),140.0,474184.0,29.5,28.5,0,***,0.0,0.0,1.0,Cell suppressed fonr small numbers
2014,Alameda,15,Asthma in Younger Adults (Age 18-39),146.0,470235.0,31.0,30.3,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,15,Asthma in Younger Adults (Age 18-39),112.0,356530.0,31.4,30.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2016,Alameda,15,Asthma in Younger Adults (Age 18-39),0.0,304287.0,0.0,0.0,104,"545,690",19.1,28.0,1.0,Cell suppressed for small numbers
2017,Alameda,15,Astma in Younger Adults (Age 18-39),0.0,304287.0,0.0,0.0,97,"548,468",17.7,25.9,1.0,Cell suppressed for small numbers
2018,Alameda,15,Asthma in Younger Adults (Age 18-39),0.0,304287.0,0.0,0.0,67,"550,499",12.2,17.8,1.0,Cell suppressed for small numbers
2019,Alameda,15,Asthma in Younger Adults (Age 18-39),0.0,304287.0,0.0,0.0,77,"551w,213",14.0,20.4,1.0,Cell suppressed for small numbers
2020,Alameda,15,Asthma in Younger Adults (Age 18-39),0.0,304287.0,0.0,0.0,40,"551,425",7.3,10.6,1.0,Cell suppressed for small numbers
