yearvalue(long),statevalue,hai,facilityidone(long),facilitynameone,county,hospitalonsetcases(long),patientdays(long),hospitalonsetrate(double precision),cininefivelowerlimit(double precision),cininefiveupperlimit(double precision),comparison,notes
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60001097.0,Healthsouth Tustin Rehabilitation Hospital,Orange,0,14481.0,0.0,0.0,2.07,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000034.0,Highland Hospital,Alameda,0,1660.0,0.0,27.0,18.05,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000065.0,Hollywood Presbyterian Medical Center,Los Angeles,0,4489.0,0.0,0.0,6.67,o Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000026.0,Huntington Memorial Hospital,Los Angeles,0,2373.0,0.0,0.0,12.62,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000187.0,John Muir Medical Center - Walnut Creek Campus,Contra Costa,0,8207.0,0.0,0.0,3.65,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000011.0,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,0,16685.0,0.0,0.0,1.8,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),120001444.0,Kaweah Delta Medical Center,Tulare,0,7542.0,0.0,67.0,3.97,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000912.0,Keck Hospital of USC,Los Angeles,0,3812.0,0.0,0.0,7.86,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000012.0,Laguna Honda Hospital & Rehabilitation Center,San Francisco,0,431.0,0.0,0.0,69.51,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000139.0,Lodi Memorial Hospital,San Joaquin,95,2260.0,0.0,0.0,13.26,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),240000027.0,Loma Linda University Medical Center,San Bernardino,2,17881.0,1.12,0.14,4.04,Higher,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000095.0,Long Beach Memorial Medical Center,Los Angeles,0,6888.0,0.0,0.0,4.35,No iDfference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000553.0,Los Robles Hospital & Medical Center - East Campus,Ventura,0,6252.0,0.0,0.0,4.79,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000009.0,"Marian Regional Medical Center, Arroyo Grande",San Luis Obispo,0,5457.0,0.0,0.0,5.49,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000124.0,Mercy General Hospital,Sacramento,0,6602.0,0.0,0.0,4.54,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000096.0,Methodist Hospital of Southern California,Los Angeles,0,6795.0,0.0,0.0,4.41,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000060.0,Mission Hospital Regional Medical Center,Orange,0,4930.0,0.0,0.0,6.08,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000145.0,Natividad Medical Center,Monterey,1,6869.0,1.46,0.04,8.11,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000111.0,Northridge Hospital Medical Center,Los Angeles,0,4183.0,0.0,0.0,7.16,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000142.0,Palomar Health Downtown Campus,San Diego,0,7669.0,0.0,0.0,3.91,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000145.0,Paradise Valley Hospital,San Diego,0,2343.0,0.0,0.0,12.79,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000066.0,Providence Holy Cross Medical Center,Los Angeles,0,2875.0,0.0,0.0,10.42,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000157.0,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,0,4946.0,0.0,0.0,6.06,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000041.0,Queen of the Valley Medical Center,Napa,59,2908.0,0.0,0.0,10.3,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000029.0,Saint Francis Memorial Hospital,San Francisco,0,5203.0,0.0,0.0,5.76,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000104.0,Saint Vincent Medical Center,Los Angeles,0,5432.0,0.0,0.0,5.51,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Fresno,75,17686.0,0.0,0.0,1.69,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000280.0,Santa Barbara Cottage Hospital,Santa Barbara,1,9405.0,1.06,0.03,5.92,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000149.0,Santa Clara Valley Medical Center,Santa Clara,0,13303.0,0.0,0.0,2.25,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140001268.0,Santa Rosa Memorial Hospital,Sonoma,0,3252.0,0.0,0.0,9.21,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000150.0,Scripps Memorial Hospital - Encinitas,San Diego,1,6664.0,1.5,0.04,8.36,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000036.0,Sharp Memorial Hospital,San Diego,0,7910.0,0.0,0.0,3.79,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000035.0,St Johns Regional Medical Center,Ventura,0,6452.0,0.0,0.0,4.64,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000068.0,St. Jude Medical Center,Orange,0,8880.0,0.0,0.0,3.37,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000103.0,"St. Mary Medical Center, Long Beach",Los Angeles,0,5505.0,0.0,0.0,5.44,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000030.0,St. Mary's Medical Center,San Francisco,0,4672.0,0.0,0.0,6.41,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000134.0,Sutter Roseville Medical Center,Placer,0,14342.0,0.0,0.0,2.09,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000069.0,The General Hospital,Humboldt,0,2271.0,0.0,0.0,13.19,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000152.0,Tri-City Medical Center,San Diego,0,2255.0,0.0,0.0,13.28,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000113.0,University of California Davis Medical Center,Sacramento,0,5483.0,0.0,0.0,5.46,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000071.0,University of California Irvine Medical Center,Orange,0,3821.0,0.0,0.0,7.84,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000129.0,Valley Presbyterian Hospital,Los Angeles,0,3835.0,0.0,0.0,7.81,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000191.0,White Memorial Medical Center,Los Angeles,0,3481.0,0.0,0.0,8.61,No Difference,Free-Standing rehabilitation hospital
