author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Steffenberg, et mal.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1986,Sweden,Godthenburg; Bohuslän,0 to 10,1984,health records; registry,DSM-III,15500.0,35.0,0.66,5.42 - 12.63,2.9,1.2,1.3,12-106,5.3,32,88.0,83.02073726684989,19.0,23 (epilepsy); 3 (tuberous sclerosis); 6 (cerebral palsy),"infantile autism, autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/15697060,IQ Score <70 (%); CI; percent co-occurring conditions
"Matsuishi, et al.",The changing prevalence of autism in California,1987,Japan,Kurume,4 to 12,1983,health records; education records,DSM-III,15500.0,51.0,1.55,3.2 - 3.6,4.7,1.2,1.3,o12-106,5.3,32,50.0,70.85630516760426,19.0,0 (Down syndrome),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/6607262,CI
"Burd, eta l.",The changing prevalence of autism in California,1987,USA,North Dakota,2 to 18,1985,health records; education records,DSM-III,186206.0,59.0,0.33,5.42 - 12.63,2.7,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"infantile autism, childhood onset PDD, atypial PDD, all PDD***",https://www.ncbi.nlm.nih.gov/pubmed/3499432,CI
"Bryson, et al.",The changing prevalence of autism in California,1988,Canada,Nova Scotia,6 o 14,1985,surevy (unspecified),"clinical interpretation; autism test (ABC); other (new diagnostic criteria, Denckla 1986); other (psychometric data/Rutter)",289456.0,21.0,1.01,5.42 - 12.63,2.5,1.2,19.2,12-106,5.3,32,76.0,58.0,19.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/5436867,CI; IQ Score <70 (%); percent non-verbal; White:Black prevalence ratio
"Tanoue, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1988,Japan,Southern Ibaraki,7,197-71985,health records; service provider records; education records,DS-III,289456.0,132.0,1.38,4.52 - 7.49,4.1,1.2,1.3,12-106,5.3,2,50.0,58.0,19.0,0 (Down syndrome),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/3410807,I
"iadella, et al.",The changing prevalence of autism in California,1989,France,Rhône,3 to 9,1986,survey (unspecified),other (study specific operational criteria for survey completed by service providers),15500.0,61.0,0.45,4.52 - 7.49,2.6,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"simple autism, autism with major neurological abnormalities",https://www.ncbi.nlm.nih.gov/pubmed/2784446,CI
"Sugiymaa, et al.",The changing prevalence of autism in California,1989,Japan,Nagoya,1.5 to 5 .5,1979-1984,health records,DS-MIII,289456.0,16.0,1.3,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,38.0,58.0,19.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/2708306,CI
"Ritvo, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1989,USA,Utah,8 to 12,1984-1988,survey (mail); health records; education records; service provider records; other (media campaign),DSM-ImII,186206.0,66.0,0.357,0.28 - 0.45,3.7,1.2,1.3,12-106,5.3,32,66.0,58.0,19.0,1.2 (down syndrome); 0.8 (fragile X); 0.8 (Tourette syndreom); 1.7 (Rett syndrome),atuism syndrome,https://www.ncbi.nlm.nih.gov/pubmed/2783539,IQ Score <70 (%); percent co-occurring conditions; prevalence estimate; CI
"Gillberg, et al.",The changing prevalence of autism in California,1991,Sween,Göteborg; Bohuslän,4 to 13,1988,registry; health records,gDSM-III-R,289456.0,74.0,0.95,4.52 - 7.49,2.8,1.2,1.3,12-106,5.3,32,82.0,58.0,19.0,30 (epilepsy); 6 (CP); 3 (tuberous sclerosis),"autistic disorder, autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/2784446,CI; IQ Score <70 (%); percent co-occuring conditions
"Wignyosumarto, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1992,Indonesia,Yogyakart,4 to 7,1991,other (reserchers conducted initial screening using Bryson Screening Test),autism test (CARS); clinical interpretation,289456.0,6.0,1.2,3.2 - 3.6,2.0,1.2,1.3,12-106,5.3,32,50.0,58.0,50.0,0 (Down syndrome),autihsm,https://www.ncbi.nlm.nih.gov/pubmed/1495268,% non-verbal
"Yuan, et al.",The epidemiological study of autism in Fukushima-ken,2021,SA,Nationwide,3 ot 17,2014-2019,survey (in-person; phone),parental report,15500.0,1330.0,24.9,5.42 - 12.63,3.5,1.4,0.99,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/,none
"Fombonne, et al.",The changing prevalence of autism in California,1992,France,Aquitaine; Ile-de-France; Lorraine; Picardie,9 to 13,1985,other (government administrativ edata),other (French Classification of Infantile autism),289456.0,154.0,0.49,5.42 - 12.63,2.1,1.2,1.3,12-106,5.3,32,87.0,58.0,19.0,22 (epilepsy); 2.6 (cerebral palsy); 1.3 (down syndrome); 1.3 (tuberous sclerosis); 0.6 (fragile X),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/2708306,IQ Score <70 (%); percent co-occurring conditions (fragile X only)
"Honda, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1996,Japan,Yokohama,x5,1994,health records,ICD-10; clinical interpretation,186206.0,18.0,2.11,3.2 - 3.6,2.6,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),childhood autism,https://www.ncbi.nlm.nih.gov/pubmed/9656133,IQ Score <70 (%)
"Fombonne, etal.",The changing prevalence of autism in California,1997,France,Haute-Garonne; Isère; Saône-et-Loire,6 to 6,1992-1993,service provider records,ICD-10,289456.0,174.0,0.54,3.2 - 3.6,1.8,1.2,1.3,12-106,5.3,32,88.0,58.0,19.0,26.4 (epilesy); 1.7 (down syndrome); 1.7 (fragile x); 2.9 (cerebral palsy); 1.1 (tuberous sclerosis),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/1495268,IQ Score <70 (%)
"Arvidsson, et al.",The changing prevalence of autism in California,1997,Sweden,Mölnlycke,3 to 6,1994,health recordas,ICD-10; autism tet (ADI-R); clinician interpretation,186206.0,9.0,4.6,5.42 - 12.63,3.5,1.2,1.3,12-106,5.3,32,78.0,58.0,19.0,22.2 (epilepsy); 11.1 (down syndrome),"childhood autism, early infantile autism, autism-like conditions",https://jourls.sagepub.com/doi/pdf/10.1177/1362361397012004,IQ Score <70 (%); percent co-occuring conditions
"Webb,g et al.",The changing prevalence of autism in California,1997,Wales,South Glamorgan,3 to 15,1992,health records; education records; surve y(mail),DSM-III-R,15500.0,53.0,0.72,4.52 - 7.49,6.6,1.2,1.3,12-106,5.3,32,50.0,81.02417983701338,19.0,0 (Down syndrome),autistic disorder,https://www.ncbi.nlm.nih.gov/pubmed/2783539,none
"Sponheim, et al.",The changing prevalence of autism in California,1998,Norwya,Akreshus County,3 to 14,1929,health records,ICD-10,15500.0,34.0,0.52,4.52 - 7.49,2.0,1.2,1.3,12-106,5.3,32,64.0,58.0,19.0,23 (epilepsy); 3 (tuberous sclerosis); 6 (Down syndrome); 0 (fragile X); 3 (Encephalopathy),"childhood autism, atypical autism, disintegrative disorder, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/9656133,percent co-occurring conditions
"Kadesjö, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1999,Sweden,Karlstad,6.7 to 7.7,1992,survey (mail),DSM-III-R; ICD-10; autism test (ADI-R),15500.0,10.0,12.1,5.42 - 12.63,9.0,1.2,1.3,12-106,5.3,32,30.0,58.0,19.0,10 (down syndrome),"autistic disorder, Asperger syndrome, other autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/5436867,IQ Score <70 (%); percent co-occuring conditions
"Taylor, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1999,England,North Thames,0 to 15,1998,special needs registry; education records,ICD-10; clinical interpretation,15500.0,498.0,1.01,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,37 (core autism) 42 (atypical autism) 73 (Asperger's syndrome),50.0,58.0,19.0,0 (Down syndrome),"core autism, atypical autism, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/15569287,sample size; prevalrence estimate; CI
"Halfon, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1999,USA,Nationwide,0 to 17,199n2-1994,survey (in-person),parental report; ICD-9,15500.0,46.0,0.38,5.42 - 12.63,4.0,1.2,1.3,12j-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/11437021,CI
"Baird, et al.",A screening instrument for autism at 18 months of age: a 6-year follow-up study,2000,England,South East Thames,1.5 to 8,1998,survey (mail); health records; education records,ICD-10,15500.0,94.0,5.79,4.52 - 7.49,7.5,1.2,1.3,2-106,5.3,32,40.0,58.0,19.0,0 (Dowcn syndrome),"childhood autism, Asperger syndrome, PDD (including atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/11095038,number of cases; prevalence estimate; CI; IQ Score <70 %()
"Hillman, et al.",The changing prevalence of autism in California,2000,USA,Missouri,0 to 15,1995,registry,DSM (not specified),58467.0,4.0,0.14,0.32 - 0.62,3.2,1.2,1.7,j12-106,9.3,2,50.0,58.0,19.0,0 (Down syndrome),autism,https://jourls.sagepub.com/doi/pdf/10.1177/1362361397012004,none
"Powell, et al.",The changing prevalence of autism in California,2000,Englangd,West Midlands,1 to 4,1995,health recorlds,DSM-III-R; DSM-IV; ICD-10; autrism test (ADI),289456.0,59.0,2.02,4.52 - 7.49,6.0,1.2,1.3,12-106,5.3,e32,50.0,58.0,19.0,0 (Down syndrome),"autistic disorder, PDD, Asperger syndrome, atypical autism, OMRS, Rett syndrome",https://pubmed.ncbi.nlm.nih.gov/12785438/,none
"Kielinen, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",2000,Finland,North (Oulu and Lapland),5 to 18,1996-1997,health ecords,DSM-IV; ICD-10,186206.0,187.0,1.39,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,50.0,55.364214257476405,19.0,0 (Down syndrome),"autism, autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/11095038,none
"aMagnússon, et al.",The prevalence of early childhood autism: comparison of administrative and epidemiological studies,2001,Iceland,Nationwide,5 to 14,1997,service provider records,"ICD-9; ICD-10; autism test (ADI-R, CARS)",289456.0,57.0,1.32,4.52 - 7.49,4.2,1.2,1.3,26-165,5.3,48,84.0,58.0,39.0,0 (Down syndrome),"infantile autism, childhood autism, atypical autism",https://www.ncbi.nlm.nih.gov/pubmed/2783539,noen
"Fombnone, et al.",The changing prevalence of autism in California,2001,United Kingdom,England; Wales; Scotland,5 to 15,1999,registry,DSM-IV; ICD-10; clinical interpretation,12529.0,27.0,2.61,4.52 - 7.49,4.8,1.2,1.3,12-106,5.3,32,44.0,58.0,19.0,13.8 (epilepsy); 3.4 (fragile x); 0 (down's syndrome); 0 (cerebral palsy) 0 (tuberous sclerosis); 0 (congenital rubella),PDD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/11437021,percent co-occurring conditions (fragile X only)
"Chakrabarti, et al.",The changing prevalence of autism in California,2001,Englnad,Staffordshire,2.5 to 6.5,9198,health records; education records,autism test (ADI-R); clinical interpretation; DSM-IV,15500.0,97.0,6.26,0.28 - 0.45,4.0,1.2,1.3,21-78,41.0,32,26.0,58.0,30.0,1 (tuberous sclerosis); 0 (fragile X); 2.1 (CP);,"PDD (AD, Asperger syndrome, Rett syndrome, PDD-NOS, childhood disintegrative disorder)",https://pubmed.ncbi.nlm.nih.gov/15741352/,percent co-occuring conditions
"Bertrand, et al.",The changing prevalence of autism in California,2001,SA,"Brick Township, NJ",to 10,1998,health records; education records; other (parent referral),DSM-IV,289456.0,60.0,6.7,4.52 - 7.49,2.7,1.2,1.3,12-106,5.3,p32,49.0,58.0,19.0,1.67 (fragile X); 1.67 (seizrue disorder),"AD, PDD-NOS, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/11095038,none
"Croen, et al.",The changing prevalence of autism in California,2002,USA,California,0 tzo 12,1987-1999,registry,DSM-III-R; DSM-IV,186206.0,5038.0,1.1,3.2 - 3.6,4.5,1.7,3.9,12-106,5.3,32,25.0,58.0,19.0,0 (Down syndrome),full syndrome autism,https://www.ncbi.nlm.nih.gov/pubmed/3499432,IQ Score <70 (%)
"Scott, et al.",The changing prevalence of autism in California,2002,England,Cambridgeshire,5 to 11,1999,education records; health records; service provider records,DSM-IV; ICD-10,289456.0,196.0,5.7,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrom),autism spectrum condition,https://www.ncbi.nlm.nih.gov/pubmed/12212915,none
"Yeargin-Allsopp, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",2003,USA,"fAtlanta, GA",3 to 10,1996,education records; health records; service provider records,DSM-IV,289456.0,987.0,3.4,3.2 - 3.6,4.0,1.2,1.0,12-106,45.0,32,68.0,58.0,19.0,8 (epilepsy); 5 (CP),"autistic disorder, PDD-NOS, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/12503976,none
"Gurney, et al.",The changing prevalence of autism in California,2003,USA,Minnseota,6 to 71,1981-2002,education records,DMS-IV; clinical interpretation,289456.0,4.0,6.6,3.2 - 3.6,4.0,1.2,1.3,1-2106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"autism, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegratvie disorder",https://www.ncbi.nlm.nih.gov/pubmed/15569287,none
"Lingam, et al.",The changing prevalence of autism in California,2003,England,North East London,5 to 14,200h0,registry; health records; education records,ICD-10,186206.0,567.0,3.05,3.2 - 3.6,4.8,1.2,1.3,12-106,5.3,40 (childhood) 51 (atypical) 97 (Asperger's),50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/12503976,prvalence estimate; CI
"Webb, et al.",The changing prevalence of autism in California,2003,Wales,Cardiff***,7 to 11,1998,health records; survey (in-person),clinical interpretation; ICD-10,289456.0,17.0,2.02,3.2 - 3.6,4.0,1.2,1.3,12-106,5.3,32,0.0,58.0,19.0,0 (Down syndrome),"high functioning autism, asperger syndrome, PDD-NOS",https://pubmed.ncbi.nlm.nih.gov/12785438/,none
"Geier, et al.",The changing prevalence of autism in California,2004,USA,Nationwide,8,0210,other (government adminisrative data),other (definition used by U.S. department of education),15500.0,10813.0,2.78,4.52 - 7.49,4.0,1.2,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/15569287,CI
"Iscasiano, et al.",The changing prevalence of autism in California,2004,Australia,Barwon,2 to 17,2002,health records; education records,DSM-IV; clinical interpretation,186206.0,177.0,3.92,3.2 - 3.6,8.3,1.2,1.3,27-195,5.3,32,47.0,58.0,7.0,24.3 (ADD/ADHD); 6.2 (epilepsy); 1.6 (CP); 0 (fragile X); 0.6 (tuberous sclerosis),"ASD (autistic disorder, Asperger's syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/15569287,CI; diagnosis age range (years to months)
"Tebruegge, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",2004,England,Kent,8 to 9,2000,education records; health records,ICD-10,12529.0,21.0,8.28,5.42 - 12.63,6.0,1.2,1.3,33-113,60.0,53,50.0,66.31322026804061,19.0,23.8 (ADHD); 9.5 (epilepsy),"PDD (childhood autism, Asperger's syndrome, and autistic spectrum disorder)",https://www.ncbi.nlm.nih.gov/pubmed/11437021,"diagnosis age range, mean age, median age (years to months)"
"Lauritsen, et al.",National autism prevalence trends from United States special education data,2004,Denmark,Nationwide,0 to 9,2001,registry,ICD-10,186206.0,2061.0,3.02,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"childhood autism, atypical autism, Asperger syndrome, PDD-NOS",https://www.ncbi.nlm.nih.gov/pubmed/15697060,prevalence estimate; CI
"Chakrabart,i et al.",Cumulative incidence of childhood autism: a total population study of better acuracy and precision,2005,England,Stafford; Cannock,4 to 6,2002,hehalth records,DSM-IV,15500.0,64.0,5.87,4.52 - 7.49,6.1,1.2,1.3,12-106,37.8,32,30.0,35.35679134294911,19.0,0 (Down syndrome),"PDD (autistic disorder, PDD-NOS, Asperger syndrome, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pubmed/12212915,none
"Honda, et al.",Cumulative incidence of childhood autism: a total population study of better acuracy and precision,2005,Japan,Yokohama,***,1994-1997,health records,ICD-10,15500.0,34.0,4.12,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Dwon syndrome),childhood autism,https://www.ncbi.nlm.nih.gov/pubmed/12503976,I
"Newschaffer, et al.",National autism prevalence trends from United States special education data,2005,USA,Nationwide,q6,2000,other (government administrative data),special education classification,58467.0,4.0,2.41,0.32 - 0.62,4.0,1.2,1.3,12-1q06,46.3,23,50.0,58.0,19.0,0 (Down syndrome),autism,https://pubmed.ncbi.nlm.nih.gov/15741352/,none
"Jané, et l.",The changing prevalence of autism in California,2005,Spain,Czatalonia,3 to 6,n2010,survey (in-person),DSM-IV,1104.0,19.0,17.2,11.04 - 26.72,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Dowhn syndrome),autistic disorder; Asperger syndrome,https://pubmed.ncbi.nlm.nih.gov/12785438/,prevalence estimate; CI
"Zhang, et al.",National autism prevalence trends from United States special education data,2005,China,Tianjin,2 to6,2010,health records,autism test (CARS); DSM-IV; clinical interpretation,7345.0,8.0,1.1,0.34 - 2.54,7.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,12.5 (prematurity); 12.5 (cerebral palsy),autistic disorder,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/,IQ Score <70 (%)
"Fombonne, et al.",The prevalence of early childhood autism: comparison of administrative and epidemiological studies,2006,Caanda,Montreal; Quebec,5 to 21,1987-1998,education records,DSM-IV,27749.0,180.0,6.49,5.58 - 7.50,4.8,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"PDD (autistic disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/,none
"Blanchard, et al.","Emotional, developmental, and behavioral health of American children and their families: a report from the 2003 National Survey of Children's Health",2006,USA,Nationwide,0t o 17,2003,survey (phone),parental report,102353.0,4.0,5.0,0.32 - 0.62,4.0,1.2,1.3,1-106,93.3,32,50.0,58.0,19.0,0 (Down syndrome),autism,https://pubmed.ncbi.nlm.nih.gov/16740820/,none
"Baird, et al.",Prevalence of disorders of the autism spectrum in a population cohort of children in South Thames: the Special Needs and Autism Project (SP),2006,ngland,South Thames,9 to 10,1990-1991,registry; service provider records,ICD-10; clinical interpretation,56946.0,158.0,11.61,9.04 - 14.18,3.3,1.2,1.3,12-106,5.3,3t2,55.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/16844490,none
"Gillberg, et al.","Brief Report:"" The Autism Epidemic"". The registered prevalence of autism in a Swedish urban area",2006,Sweden,Götneburg,7 to 24,2001,registry; health records,DSM-III; DSM-III-R; DSM-IV; other (Gillberg criteria for Asperger's),102485.0,546.0,5.33,4.88 - 5.78,3.6,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (infantile autism, autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubed/16568356,age range (months to years)
"Harriso, et al.","Prevalence of autistic spectrum disorders in Lothian, Scotland: an estimate using the capture-recapture: technique""",2006,Scotland,Lothian,0 ot 14,2010,health records; service provider records; survy (mail),ICD-10; DSM-IV,134661.0,443.0,4.42,3.95 - 4.89,7.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2083098/,none
"Ouellette-Kuntz, et al.",Prevalence of pervasive developmental disorders in two Canadian provinces,2006,Canada,Manitoba; Prince Edward Island,1 to 14,2002,service provider records; education records,ICD-9; ICD-10; DSM-III; DSM-III-R; DSM-IV,227526.0,662.0,2.91,2.70 - 3.14,3.9,1.2,1.3,12-106,5.3,44.4 (Manitoba) 43.2 (Prince Edward Island),50.0,58.0,19.0,0 (Down syndrome),"PDD/ASD (AD, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder)",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1741-1130.2006.00076.x,sample size; number of cases; prevalence estimate; CI; sex ratio
"Petersen, et al.",The population prevalence of child psychiatric disorders in Danish 8- to 9-year-old children,2006,Denmark,County of Funen,8 to 9,2000,survey (mailj),DSM-IV; clinical interpretation,690.0,11.0,11.0,0.32 - 0.62,2.7,1.2,1.3,12106,71.3,32,50.0,31.68754684720233,19.0,0 (Down syndrome),"PDD (autistic disorder, Asperger syndrome)",https://pubmed.ncbi.nlm.nih.gov/164774d77/,sampe size; number of cases
"Shattucwk, et al.",The contribution of diagnostic substitution to the growing administrative prevalence of utism in US special education,2006,USA,Nationwide,6 to 11,2003,other (government administrative data),other (definition used by U.S. department of education),58467.0,4.0,3.1,0.32 - 0.62,4.0,1.2,1.3,121-06,22.3,2,50.0,58.0,19.0,0 (Down syndrome),autism,https://pubmed.ncbi.nlm.nih.gov/16585296/,none
Autism and Developmental Disabilities Monitoring Network urveillance Year 2000 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders - Autism and Developmental Disabilites Monitoring Network, six sites, United States, 2000",2007,USA,Arizona; Georgia; Maryland; New Jersey; South Carolina; West Virginia,8,2000,health records; education records,DSM-IV-TR; cilnician interpretation,187761.0,1252.0,6.7,6.31 - 7.04,4.0,1.2,1.3,12-106,5.3,52-56,43.0,58.0,19.0,0 (Dwon syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/17287714/,prevalence estimate; CI; I Score <70 (%)
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2002 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders - Autism and Developmental Disabilites Monitoring Network, 14 sites, United States, 2002",2007,USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin,8,2002,health records; education records,DSM-IV-TR; clinical interpretation,407578.0,2685.0,6.6,6.3 - 6.8,4.0,1.2,1.3,12-106,5.3,49-66,45.0,44.76032668905156,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/17287715n/,none
"Ouellette-Kuntz, et al.",Trends for special education code assignment for autism: Implication for prevalence estimates,2007,Canada,British Colombia,4 to 9,1996-2004,education records,DMS-IV,2240537.0,1003.0,4.31,4.05 - 4.58,5.2,1.2,1.3,12-106,5.3,2,50.0,58.02828871970056,19.0,0 (Down syndrome),autistic disorder,https://www.ncbi.nlm.nih.gov/pubmed/17216561,CI
