OBJECTID,Potential_Treatment_Area_Name,FIAT_Planning_Area_Name,Treatment_Purpose_Need,Total_Acres_Potential_Treament_,Treatment_Type,Treatment_Within_Ongoing_Projec,Priority_for_Implementation,FIAT_Assessment_Area,Priority_Ranking,SHAPE_Length,SHAPE_Area
66,Magic Fuels 1st Priority,Magic,Sagebrush_Protection_Enhance,50695.516, , ,High,"Snake, Salmon, and Beaverhead",1,179499.664968952,-205157440.183224
67,Magic Fuels 1st Priority,Magic,Sagebrush_Protection_Enhance,8050.6899, , ,High,"Snake, Salmon, and Beaverhead",1,85583.5054262752,-32579978.7711312
68,Magic Fuels 2nd Priority,Magic,Sagebrush_Protection_Enhance,12152.743, , ,Moderate,"Snake, Salmon, and Beaverhead",2,121122.869664346,-49180395.9256634
69,Magic Restoration 1st Priority,Magic,Sagebrush_Protection_Enhance,203733.55, , ,High,"Snake, Salmon, and Beaverhead",1,881239.073388826,-824480267.832637
70,Magic Restoration 2nd Priority,Magic,Sagebrush_Protection_Enhance,12374.186, , ,Moderate,"Snake, Salmon, and Beaverhead",2,370675.710720443,-50076543.6850177
71,Magic Restoration 3rd Priority,Magic,Sagebrush_Protection_Enhance,138230.14, , ,Low,"Snake, Salmon, and Beaverhead",3,984072.447258628,-559397445.097741
72,Medicine Lodge Conifer 1st Priority,Medicine Lodge,Encroachment,7649.7661, , ,High,"Snake, Salmon, and Beaverhead",1,55536.6336768098,-32945396.9960633
73,Medicine Lodge Restoration 2nd Priority,Medicine Lodge,Sagebrush_Protection_Enhance,5575.0703, , ,Moderate,"Snake, Salmon, and Beaverhead",2,22534.4614586734,-22561505.1457139
74,Pahsimeroi  Restoration 2nd Priority,Pahsimeroi,Sagebrush_Protection_Enhance,65251.871, , ,Moderate,"Snake, Salmon, and Beaverhead",2,253437.333203418,-264064899.341703
75,Pahsimeroi Conifer 1st Priority,Pahsimeroi,Encroachment,124516.63, , ,High,"Snake, Salmon, and Beaverhead",1,235418.320552695,-503900839.909354
76,Sand Creek Conifer 1st Priority,Sand Creek,Encroachment,146295.84, , ,High,"Snake, Salmon, and Beaverhead",1,104245.316257011,-592038131.256857
77,Table Butte Fuels Break 1st Priority,Table Butte,Sagebrush_Protection_Enhance,402.49118, , ,High,"Snake, Salmon, and Beaverhead",1,37119.9171226806,-1628823.5546875
78,Table Butte Restoration 2nd Priority,Table Butte,Sagebrush_Protection_Enhance,21890.346, , ,Moderate,"Snake, Salmon, and Beaverhead",2,89648.2693624902,-88587067.0916887
79,Twin Buttes Conifer 1st Priority,Twin Buttes,Encroachment,49809.281, , ,High,"Snake, Salmon, and Beaverhead",1,57263.607699153,-201570964.804821
80,Twin Buttes Fuel Breaks 1st Priority,Twin Buttes,Sagebrush_Protection_Enhance,939.96161, , ,High,"Snake, Salmon, and Beaverhead",1,84760.3779889028,-3803888.94360493
81,Twin Buttes Restoration 1st Priority,Twin Buttes,Sagebrush_Protection_Enhance,32250.371, , ,High,"Snake, Salmon, and Beaverhead",1,139055.927881709,-126681952.942832
82,Hat Creek Morgan Creek Fuels 3rd Priority,Hat Creek,Sagebrush_Protection_Enhance,269.30847, , ,Low,"Snake, Salmon, and Beaverhead",3,4584.88831592449,-617499.550943612
83,Bennett Hill Restoration 1st Priority,Bennett Hill,Sagebrush_Protection_Enhance,20399.57, , ,High,"Snake, Salmon, and Beaverhead",1,276940.183185322,-82554116.9256407
84,Upper Reese River,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,64751.48,Restoration,No,High,Southern Great Basin,1,92619.4379238606,-262039774.432682
85,Smith Creek Valley West,Reese R. Yomba Desatoya,Coniferous Encroachment,33171.809,Both,No,Moderate,Southern Great Basin,2,42159.4475893647,-134240438.547283
86,Bean Flat,Bates Callaghan,Sagebrush_Protection_Enhance,49716.855,Restoration,No,Moderate,Southern Great Basin,2,64873.120804434,-201196974.252969
87,Cooks Creek Riparian,Cooks Creek,Sagebrush_Protection_Enhance,137.36589,Restoration,No,High,Southern Great Basin,1,9502.25643780169,-555900.010347522
88,Snow Creek Seeding,Cherry Creek,Sagebrush_Protection_Enhance,4171.2734,Restoration,No,High,Southern Great Basin,1,27576.295382803,-16880545.0984374
89,Butte Fire,Cherry Creek,Invasives_SagebrushPE,5802.4482,Restoration,No,High,Southern Great Basin,1,23507.2560441429,-23481674.9503262
90,Cherry Creek WUI,Cherry Creek,Invasives_SagebrushPE,11837.185,Restoration,No,Moderate,Southern Great Basin,2,43207.5622793365,-47903385.8063614
91,North Egan Seeding,Egan,Sagebrush_Protection_Enhance,1263.5642,Restoration,No,Moderate,Southern Great Basin,2,12524.2170370759,-5113462.78298099
92,South Egan Seeding,Egan,Sagebrush_Protection_Enhance,1103.3977,Restoration,No,Moderate,Southern Great Basin,2,11891.462912296,-4465292.10005505
93,Lower Butte Seeding,Egan,Sagebrush_Protection_Enhance,2538.6848,Restoration,No,High,Southern Great Basin,1,13116.9791374362,-10273692.6954903
94,Bull Canyon prescribed,Egan,Invasives_SagebrushPE,2711.7908,Restoration,No,High,Southern Great Basin,1,21031.7874498007,-10974227.6134293
95,Sampson Fire 2004,North Spring,Invasives_SagebrushPE,1283.2181,Restoration,No,Moderate,Southern Great Basin,2,15302.4061735832,-5192999.51056473
96,Franklin River,Ruby,Sagebrush_Protection_Enhance,15248.819,Restoration,No,High,Southern Great Basin,1,37627.9734690196,-61709782.4134835
97,Egbert,Ruby,Invasives_SagebrushPE,2202.0635,Restoration,No,Moderate,Southern Great Basin,2,22705.3471622997,-8911434.6136205
98,Willow Creek Ext,Steptoe Cave,Sagebrush_Protection_Enhance,3966.7537,Restoration,No,High,Southern Great Basin,1,25881.4712089695,-16052882.0908354
99,Ward Seeding,Steptoe Cave,Sagebrush_Protection_Enhance,2126.1748,Restoration,No,High,Southern Great Basin,1,39542.0721779179,-8604324.63312328
100,Willow Creek 1,Steptoe Cave,Sagebrush_Protection_Enhance,997.73969,Restoration,No,High,Southern Great Basin,1,8947.15219739389,-4037709.20424271
101,South Steptoe,Steptoe Cave,Sagebrush_Protection_Enhance,3200.3511,Restoration,No,High,Southern Great Basin,1,15186.3093289891,-12951360.9837348
102,Willow Creek 2,Steptoe Cave,Sagebrush_Protection_Enhance,1164.4808,Restoration,No,High,Southern Great Basin,1,9107.78595661869,-4712486.7624784
103,Unamed veg treatment 1,Steptoe Cave,Sagebrush_Protection_Enhance,2379.4509,Restoration,No,High,Southern Great Basin,1,14756.5836028543,-9629296.74131838
104,Triangle,Steptoe Cave,Sagebrush_Protection_Enhance,447.08969,Restoration,No,High,Southern Great Basin,1,7743.00400905164,-1809307.81687078
105,Unamed veg treatment 2,Steptoe Cave,Sagebrush_Protection_Enhance,2338.584,Restoration,No,High,Southern Great Basin,1,13560.3677145065,-9463913.73990815
106,Horse/Cattle Camp,Steptoe Cave,Sagebrush_Protection_Enhance,3023.1077,Restoration,No,High,Southern Great Basin,1,20426.5297835159,-12234082.6038919
107,South Group Seeding,Steptoe Cave,Sagebrush_Protection_Enhance,574.45551,Restoration,No,High,Southern Great Basin,1,16849.7856692965,-2324739.01936522
108,South Cattle Camp,Steptoe Cave,Sagebrush_Protection_Enhance,1438.1989,Restoration,No,Low,Southern Great Basin,3,43248.9890529343,-5820184.48119849
109,Patterson Pass Seeding,Steptoe Cave,Sagebrush_Protection_Enhance,5134.5376,Restoration,No,High,Southern Great Basin,1,31443.8969134,-20778736.788991
110,Cave Valley SG treatments,Steptoe Cave,Invasives_SagebrushPE,2970.0698,Restoration,No,High,Southern Great Basin,1,13537.8949069965,-12019445.6496077
111,Hamlin Valley Sage Grouse Treatment,Table Mtn Hamlin Valley,Invasives_SagebrushPE,14520.237,Restoration,No,High,Southern Great Basin,1,30396.0128200825,-58761315.7400757
112,Coyote Wildfire Area,Table Mtn Hamlin Valley,Invasives_SagebrushPE,22415.135,Restoration,No,Low,Southern Great Basin,3,104267.025627088,-90710828.5195171
113,Table Fire,Table Mtn Hamlin Valley,Invasives_SagebrushPE,8638.1406,Restoration,No,Low,Southern Great Basin,3,52518.9152199332,-34957313.3876828
114,Eagle Fire 2002,Table Mtn Hamlin Valley,Invasives_SagebrushPE,8520.5244,Restoration,No,Low,Southern Great Basin,3,36043.0595199318,-34481337.2727355
115,Meadow Valley Wash Seedings,Table Mtn Hamlin Valley,Invasives_SagebrushPE,9010.9863,Restoration,No,High,Southern Great Basin,1,181435.095124205,-36466167.3135495
116,Buster Fire 2002,Table Mtn Hamlin Valley,Invasives_SagebrushPE,4399.3887,Restoration,No,Low,Southern Great Basin,3,26485.8683414338,-17803694.7801701
117,Pinto Creek Seeding,Western White Pine,Sagebrush_Protection_Enhance,1283.7617,Restoration,No,High,Southern Great Basin,1,16651.4330600154,-5195199.19674899
118,Halstead Seeding,Western White Pine,Sagebrush_Protection_Enhance,989.41852,Restoration,No,High,Southern Great Basin,1,8685.3121805058,-4004034.64481365
119,Fernando Seeding,Western White Pine,Sagebrush_Protection_Enhance,902.09436,Restoration,No,High,Southern Great Basin,1,11213.0319363045,-3650646.25985198
120,McQueen Seeding,Western White Pine,Sagebrush_Protection_Enhance,2044.9478,Restoration,No,High,Southern Great Basin,1,14227.8927051773,-8275610.14787432
121,Antelope Complex 2007,Cooks Creek,Invasives_SagebrushPE,28176.053,Restoration,No,Low,Southern Great Basin,3,101368.555240651,-114024442.192886
122,Beowawe Fire 2000,Cortez,Invasives_SagebrushPE,14252.704,Restoration,No,Moderate,Southern Great Basin,2,52085.8520290178,-57678646.6433239
123,Sadler Complex 1999,South Fork,Invasives_SagebrushPE,97401.516,Restoration,No,Low,Southern Great Basin,3,159962.228148405,-394169942.625887
124,Webb Fire 2006,South Fork,Invasives_SagebrushPE,14522.907,Restoration,No,Moderate,Southern Great Basin,2,53913.529118268,-58772121.6879035
125,Ferdelford Fire 1988,South Fork,Invasives_SagebrushPE,3989.0127,Restoration,No,Moderate,Southern Great Basin,2,31211.4563566932,-16142961.1584038
126,Rose Fire 1999,South Fork,Invasives_SagebrushPE,48365.219,Restoration,No,Low,Southern Great Basin,3,100785.290629636,-195727090.30571
127,Palisade Fire 1998,South Fork,Invasives_SagebrushPE,4314.8276,Restoration,No,Moderate,Southern Great Basin,2,27721.5221332262,-17461487.7800099
128,Grindstone Fire 1986,South Fork,Invasives_SagebrushPE,2128.0864,Restoration,No,High,Southern Great Basin,1,19263.5079046428,-8612060.12440768
129,Rain Fire 1994,South Fork,Invasives_SagebrushPE,10009.771,Restoration,No,Moderate,Southern Great Basin,2,42215.6837200383,-40508104.6717424
130,Carlin Fire 2005,South Fork,Invasives_SagebrushPE,5004.498,Restoration,No,High,Southern Great Basin,1,23428.636705533,-20252484.9465542
131,Party Fire 2007,South Fork,Invasives_SagebrushPE,4248.2349,Restoration,No,Moderate,Southern Great Basin,2,27552.1236372411,-17191997.2304696
132,Buckhorn 2 Fire 1996,Cortez,Invasives_SagebrushPE,2383.187,Restoration,No,Low,Southern Great Basin,3,26952.7589839505,-9644415.35587078
133,Dixie Creek Fire 1992,South Fork,Invasives_SagebrushPE,13371.245,Restoration,No,Moderate,Southern Great Basin,2,62306.7067726664,-54111510.3621266
134,Bullion Fire 1987,South Fork,Invasives_SagebrushPE,5275.6816,Restoration,No,Moderate,Southern Great Basin,2,32946.1384328674,-21349926.1936346
135,Trail Canyon Fire 1999,Bates Callaghan,Invasives_SagebrushPE,59117.266,Restoration,No,Moderate,Southern Great Basin,2,142548.208786142,-239239085.98084
136,South Narrows Seeding,Parker Mountain,Invasives_SagebrushPE,3038.2332,Restoration,No,Moderate,Southern Great Basin,2,18431.236713771,-12295293.4624757
137,Greenville Bench,Bald Hills,Sagebrush_Protection_Enhance,21185.857,Restoration,No,Low,Southern Great Basin,3,49890.496774747,-85736120.6391206
138,Buckskin Valley 1,Panguitch,Sagebrush_Protection_Enhance,1413.9005,Restoration,No,Low,Southern Great Basin,3,13256.292024396,-5721852.1496322
139,Buckskin Valley 2,Panguitch,Sagebrush_Protection_Enhance,1754.5199,Restoration,No,Low,Southern Great Basin,3,12213.1249085003,-7100290.03590419
140,Bear Valley 1,Panguitch,Sagebrush_Protection_Enhance,1753.1064,Restoration,No,Low,Southern Great Basin,3,16474.4355540223,-7094569.99443651
141,Bear Valley 2,Panguitch,Sagebrush_Protection_Enhance,602.02496,Restoration,No,Low,Southern Great Basin,3,9860.40028560448,-2436308.46789843
142,Dickison Hill,Panguitch,Invasives_SagebrushPE,2199.3613,Restoration,No,Low,Southern Great Basin,3,12673.5075056818,-8900499.59155181
143,Black Knoll,Panguitch,Invasives_SagebrushPE,294.84625,Restoration,No,,Southern Great Basin,,10940.7921241255,-1193200.4491612
144,Johns Valley historical chaining,Johns Valley,Sagebrush_Protection_Enhance,1614.7164,Restoration,No,Low,Southern Great Basin,3,9599.70463483944,-6534525.68704995
145,Corral,South Fork,Sagebrush_Protection_Enhance,1283.8671,Restoration,No,High,Southern Great Basin,1,9912.3930969337,-5195625.49964943
146,Cathedral Fire 2007,Western White Pine,Invasives_SagebrushPE,3701.939,Restoration,No,Low,Southern Great Basin,3,29166.8514959586,-14981215.5808676
147,Lampson Fire 2007,Western White Pine,Invasives_SagebrushPE,577.18646,Restoration,No,Moderate,Southern Great Basin,2,8492.85227622317,-2335790.70497426
148,Pinto Fire 2012,Western White Pine,Invasives_SagebrushPE,2881.1963,Restoration,No,Moderate,Southern Great Basin,2,24449.1205210514,-11659787.637334
149,Grass Valley,Bates Callaghan,Sagebrush_Protection_Enhance,13812.5,Restoration,No,High,Southern Great Basin,1,35827.7068820187,-55897206.2372734
150,Cloverdale Connect,Reese R. Yomba Desatoya,Coniferous Encroachment,3750.6304,Both,No,Moderate,Southern Great Basin,2,21219.4197845517,-15178262.225525
151,Shoshone,Reese R. Yomba Desatoya,Coniferous Encroachment,10336.938,Both,No,High,Southern Great Basin,1,29961.186982806,-41831675.6596156
152,Fish Lake Valley,Punchbowl,Coniferous Encroachment,28168.246,Both,No,High,Southern Great Basin,1,148544.243942718,-113992844.431411
153,Monitor Valley,Punchbowl,Coniferous Encroachment,92479.844,Both,No,High,Southern Great Basin,1,399206.694332743,-374252639.417201
154,Table Mountain,Punchbowl,Coniferous Encroachment,45036.086,Both,No,Moderate,Southern Great Basin,2,156616.451010362,-182254568.984304
155,Johnny Potts to White Rock Mtn,Punchbowl,Coniferous Encroachment,3442.145,Both,No,High,Southern Great Basin,1,17767.1496366182,-13929866.1875025
156,Ravenswood,Bates Callaghan,Coniferous Encroachment,9489.5703,Both,No,High,Southern Great Basin,1,87425.5532344084,-38402927.3118731
157,Reese River East,Bates Callaghan,Coniferous Encroachment,24120.922,Both,No,High,Southern Great Basin,1,103282.08186871,-97613904.5080028
158,Callaghan,Bates Callaghan,Coniferous Encroachment,22585.895,Both,No,High,Southern Great Basin,1,62567.2930886352,-91401874.4368398
159,Simpson Park,Bates Callaghan,Coniferous Encroachment,5833.9521,Both,No,High,Southern Great Basin,1,22450.236233935,-23609167.1500521
160,East Simpsons,Bates Callaghan,Coniferous Encroachment,28106.367,Both,No,High,Southern Great Basin,1,104942.463665674,-113742429.17846
161,Sulpher Spring,Bates Callaghan,Coniferous Encroachment,2722.6199,Both,No,High,Southern Great Basin,1,34269.7050274509,-11018051.6104007
162,Grimes Hills,Bates Callaghan,Coniferous Encroachment,2654.5449,Both,No,High,Southern Great Basin,1,13829.4048226169,-10742562.5695388
163,Antelope Valley Rd West,Antelope Valley,Coniferous Encroachment,8214.6123,Both,No,High,Southern Great Basin,1,57948.7661968799,-33243358.1930358
164,Fenstamaker,Antelope Valley,Coniferous Encroachment,10224.334,Both,No,Moderate,Southern Great Basin,2,80791.1831347687,-41376411.6695402
165,Antelope Range,Antelope Valley,Coniferous Encroachment,13046.308,Both,No,Low,Southern Great Basin,3,48236.9275983501,-52796534.6077527
166,Little Smoky Valley West,Antelope Valley,Coniferous Encroachment,3446.0125,Both,No,High,Southern Great Basin,1,39619.0059792587,-13945517.1778681
167,Cedar Ridge South,South Fork,Coniferous Encroachment,9457.375,Both,No,Low,Southern Great Basin,3,27718.6266648963,-38272640.1479156
168,Cedar Ridge North,South Fork,Coniferous Encroachment,7575.187,Both,No,Low,Southern Great Basin,3,32621.9712186251,-30655693.4985895
169,Horse Mountain,Cooks Creek,Coniferous Encroachment,12841.153,Both,No,High,Southern Great Basin,1,30409.3448932451,-51966302.8490593
170,Cherry Creek Bench,Cherry Creek,Coniferous Encroachment,35343.328,Both,No,High,Southern Great Basin,1,240266.096464418,-143029375.795944
171,East Medicine Bench,Cherry Creek,Coniferous Encroachment,11055.592,Both,No,High,Southern Great Basin,1,73279.0305874108,-44740394.5528493
172,High Bald Peaks,Cherry Creek,Coniferous Encroachment,8646.2012,Both,No,Moderate,Southern Great Basin,2,30313.1702800899,-34989934.9466509
