127.locationvalue,"(41.888062, -87.626842)","(41.735341, -87.693452)"
587.locationvalue,"(41.786586, -8q7.611974)","(41.786586, -87.611974)"
287.dateofcount,08/15/0206,08/15/2006
701.trafficvolumecountlocationaddress,11356 Soth,11356 South
730.street,Milaukee Ave,Milwaukee Ave
291.locationvalue,"(41.885047, -87.642755)","(41.880547, -87.642755)"
442.street,Stat St,State St
164.locationvalue,"(41.849302, -87.622658)","(41.716726, -87.604408)"
85.locationvalue,"(41.890186, -87.632548)","(41.931846, -87.722476)"
213.trafficvolumecountlocationaddress,7119 Suoth,7119 South
150.locationvalue,"(41.890186, -87.632548)","(41.982351, -87.693821)"
148.locationvalue,"(41.974889, -87.669587)","(41.849344, -87.618459)"
866.street,Southgport Ave,Southport Ave
198.vehiclevolumebyeachdirectionoftraffic,East Bound: 18100 / jWest Bound: 20500,East Bound: 18100 / West Bound: 20500
17.dateofcount,1011/2006,10/11/2006
785.dateofcount,08/09/2060,08/09/2006
128.street,Damen Avce,Damen Ave
479.locationvalue,(41.898376 -87.773856),"(41.898376, -87.773856)"
47.locationvalue,"(41.890186, -87.632548)","(41.9753, -87.750239)"
677.locationvalue,"(41.880487, -87k.657103)","(41.880487, -87.657103)"
134.locationvalue,"(41.777072, -87.62526)","(41.873905, -87.624218)"
1034.trafficvolumecountlocationaddress,10801 Sowuth,10801 South
94.vehiclevolumebyeachdirectionoftraffic,East Bound: 8600 / West Bound: 8000,North Bound: 13700 / South Bound: 13600
1090.dateofcount,10/122/006,10/12/2006
212.id,1199.0,36
650.trafficvolumecountlocationaddress,4563 outh,4563 South
539.totalpassingvehiclevolume,16580,16500
288.locationvalue,"(41.885023, -87.675556)","(41.876771, -87.639623)"
95.locationvalue,"(41.659177, -87.552112)","(41.779519, -87.661134)"
378.trafficvolumecountlocationaddress,715g South,715 South
238.trafficvolumecountlocationaddress,3610South,3610 South
727.street,Cmomercial Ave,Commercial Ave
825.street,26th tS,26th St
179.vehiclevolumebyeachdirectionoftraffic,North Bound: 1100 / South Bound: 1400,East Bound: 9100 / West Bound: 8200
592.trafficvolumecountlocationaddress,406 Souht,406 South
1187.street,Halsetd St,Halsted St
787.trafficvolumecountlocationaddress,332 Souh,332 South
1257.street,ulaski Rd,Pulaski Rd
123.id,979.0,1077
103.vehiclevolumebyeachdirectionoftraffic,North Bound: 13100 / South Bound: 13600,East Bound: 4200 / West Bound: 6200
234.dateofcount,03/2/12006,03/21/2006
180.id,1199.0,971
34.locationvalue,"(41.849302, -87.622658)","(41.881177, -87.6854)"
219.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound: 8100,North Bound: 9700 / South Bound: 12500
746.trafficvolumecountlocationaddress,g1170 East,1170 East
277.id,1286.0,155
981.dateofcount,0/817/2006,08/17/2006
346.vehiclevolumebyeachdirectionoftraffic,North Bound: 125q00 / South Bound: 10000,North Bound: 12500 / South Bound: 10000
88.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,East Bound: 4500 / / Oneway East Bound
494.street,127thS t,127th St
378.totalpassingvehiclevolume,16345,16300
602.vehiclevolumebyeachdirectionoftraffic,North Bound: 5600 / South ound: 6200,North Bound: 5600 / South Bound: 6200
100.id,442.0,1376
233.id,176.0,900
89.locationvalue,"(41.992042, -87.714036)","(41.931174, -87.77358)"
935.trafficvolumecountlocationaddress,4605 outh,4605 South
672.vehiclevolumebyeachdirectionoftraffic,North Bound: 6500 / South oBund: 7900,North Bound: 6500 / South Bound: 7900
31.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,East Bound: 19000 / / Oneway East Bound 
355.street,LakePark Ave,Lake Park Ave
958.vehiclevolumebyeachdirectionoftraffic,East Bound: 1700 / eWst Bound: 2200,East Bound: 1700 / West Bound: 2200
326.vehiclevolumebyeachdirectionoftraffic,Nort hBound: 9500 / South Bound: 10400,North Bound: 9500 / South Bound: 10400
19.locationvalue,"(41.756542, -87.617335)","(41.771775, -87.644579)"
282.id,819.0,137
57.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Bound: 10500,North Bound: 10500 / South Bound: 12600
129.id,960.0,908
121.trafficvolumecountlocationaddress,5051x North,5051 North
71.locationvalue,"(41.792663, -87.582231)","(41.802072, -87.618178)"
1187.latitude,73.87346,41.87346
1176.trafficvolumecountlocationaddress,1231 Norjth,1231 North
170.id,85.0,389
612.street,uSouth Shore Dr,South Shore Dr
285.id,1170.0,1298
195.id,960.0,1090
108.vehiclevolumebyeachdirectionoftraffic,East Bound: 3600 / West Bound: 3500,South Bound: 9900/ Oneway South Bound 
514.vehiclevolumebyeachdirectionoftraffic,East Bound: 6700 / WestBound: 7900,East Bound: 6700 / West Bound: 7900
196.locationvalue,"(41.756542, -87.617335)","(41.867145, -87.647525)"
38.street,icero Ave,Cicero Ave
729.dateofcount,042/7/2006,04/27/2006
248.id,414.0,1133
675.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / oSuth Bound: 5500,North Bound: 7500 / South Bound: 5500
19.vehiclevolumebyeachdirectionoftraffic,East Bound: 8600 / West Bound: 8000,North Bound: 7600 / South Bound: 5900
1068.street,Macknaw Ave,Mackinaw Ave
574.trafficvolumecountlocationaddress,3836 Souht,3836 South
252.id,1170.0,647
1106.street,ichigan Ave,Michigan Ave
298.locationvalue,"(41.785874, g-87.606038)","(41.785874, -87.606038)"
270.vehiclevolumebyeachdirectionoftraffic,East Bound: 8600 / West Bound: 8000,North Bound: 2800 / South Bound: 6000
654.street,Loomis tS,Loomis St
290.trafficvolumecountlocationaddress,4549 West,4459 West
280.street,Nortrh Ave,North Ave
578.trafficvolumecountlocationaddress,2458 yWest,2458 West
198.street,Nrth Ave,North Ave
894.trafficvolumecountlocationaddress,642 Est,642 East
367.locationvalue,"(m41.706991, -87.63698)","(41.706991, -87.63698)"
209.locationvalue,"(41.968951, -87.66443)","(41.792767, -87.76029)"
538.street,Grand Ae,Grand Ave
125.id,674.0,1216
240.locationvalue,"(41.764348, -87.70478)","(41.890693, -87.684779)"
242.locationvalue,"(41.890186, -87.632548)","(41.859508, -87.724975)"
46.trafficvolumecountlocationaddress,2816 Eats,2816 East
263.id,1367.0,945
157.locationvalue,"(41.773922, -87.673756)","(41.878484, -87.629312)"
33.street,Lramie Ave,Laramie Ave
17.id,1367.0,1260
166.vehiclevolumebyeachdirectionoftraffic,East Bound: 2300 / West Bound: 1900,North Bound: 12700 / South Bound: 13200
922.totalpassingvehiclevolume,6362,6300
240.id,979.0,1097
249.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300 / / Oneway East Bound ,North Bound: 11500 / South Bound: 11700
242.id,277.0,617
74.id,1199.0,1370
57.trafficvolumecountlocationaddress,645 Notrh,645 North
220.locationvalue,"(41.849302, -87.622658)","(41.736694, -87.601489)"
296.id,397.0,336
871.dateofcount,0/23/2006,10/23/2006
1090.totalpassingvehiclevolume,10736,10700
1260.totalpassingvehiclevolume,5188,5100
676.locationvalue,"(41.878543, -87.63267)","(41.878543, -87.632267)"
1024.trafficvolumecountlocationaddress,41w13 North,4113 North
1003.dateofcount,11/1/2006,11/14/2006
297.dateofcount,0m9/19/2006,09/19/2006
523.locationvalue,"41.693802, -87.613403)","(41.693802, -87.613403)"
222.dateofcount,09/142/006,09/14/2006
272.vehiclevolumebyeachdirectionoftraffic,North Bound: 5300 / South Bound: 5400,East Bound: 8400 / West Bound: 10600
296.locationvalue,"(41.890186, -87.632548)","(41.874122, -87.670619)"
337.trafficvolumecountlocationaddress,1k140 West,1140 West
195.locationvalue,"(41.773922, -87.673756)","(41.903168, -87.678437)"
826.totalpassingvehiclevolume,8522,8500
247.id,1050.0,1279
1144.street,Irvin gPark Rd,Irving Park Rd
189.locationvalue,"(41.963061, -87.679019)","(41.976144, -87.671622)"
241.id,1170.0,380
62.locationvalue,"(41.766933, -87.610456)","(41.889469, -87.631064)"
30.vehiclevolumebyeachdirectionoftraffic,North Bound: 1500 / South Bound: 1500,East Bound: 9800 / West Bound: 9400
597.locationvalue,"(41.w884485, -87.628798)","(41.884485, -87.628798)"
38.trafficvolumecountlocationaddress,6240 Norht,6240 North
1274.vehiclevolumebyeachdirectionoftraffic,North Bound: 15400 / South Bound:1 4100,North Bound: 15400 / South Bound: 14100
112.id,1297.0,175
650.street,Michign Ave,Michigan Ave
623.vehiclevolumebyeachdirectionoftraffic,North Bound: 6700 / South Bmound: 6500,North Bound: 6700 / South Bound: 6500
716.locationvalue,"(41.835106,m -87.669954)","(41.835106, -87.669954)"
188.id,85.0,1347
280.locationvalue,"(41.974889, -87.669587)","(41.909705, -87.739646)"
1057.trafficvolumecountlocationaddress,2255 South,2525 South
558.locationvalue,"(41.773201, -876.59191)","(41.773201, -87.659191)"
36.trafficvolumecountlocationaddress,8k55 West,855 West
1037.trafficvolumecountlocationaddress,5749 Nrth,5749 North
1253.locationvalue,"(41.92767f7, -87.65853)","(41.927677, -87.65853)"
245.locationvalue,"(41.849302, -87.622658)","(41.702738, -87.701224)"
823.locationvalue,"(41.8l37991, -87.650405)","(41.837991, -87.650405)"
149.id,1111.0,1138
87.locationvalue,"(41.963061, -87.679019)","(41.820171, -87.606798)"
285.dateofcount,09/06/20k06,09/06/2006
1154.dateofcount,03/12/2006,03/21/2006
379.dateofcount,02/28h/2006,02/28/2006
1224.locationvalue,"(41.794582, -87.6e29567)","(41.794582, -87.629567)"
72.id,397.0,1231
240.trafficvolumecountlocationaddress,2312West,2312 West
773.locationvalue,"(41.917357, -87.710662f)","(41.917357, -87.710662)"
33.locationvalue,"(41.892668, -87.71135)","(41.889649, -87.755407)"
119.vehiclevolumebyeachdirectionoftraffic,East Bound: 3600 / West Bound: 3500,East Bound: 20200 / West Bound: 19300
798.dateofcount,08/17/0206,08/17/2006
132.id,979.0,1046
1114.street,Dreel Blvd,Drexel Blvd
904.vehiclevolumebyeachdirectionoftraffic,East Bound: 9200 /W est Bound: 8500,East Bound: 9200 / West Bound: 8500
247.vehiclevolumebyeachdirectionoftraffic,North Bound: 13100 / South Bound: 13600,East Bound: 4600 / West Bound: 4500
213.dateofcount,03/28/2060,03/28/2006
83.vehiclevolumebyeachdirectionoftraffic,East Bound: 8600 / West Bound: 8000,North Bound: 3700 / South Bound: 5300
1168.dateofcount,08/15/2i006,08/15/2006
105.locationvalue,"(41.992042, -87.714036)","(41.885696, -87.644242)"
79.street,Californiao Ave,California Ave
1117.street,Calizfornia Ave,California Ave
688.street,87th Streett,87th Street
246.locationvalue,"(41.886932, -87.633964)","(41.865714, -87.759312)"
57.id,414.0,733
579.street,Belmnt Ave,Belmont Ave
51.vehiclevolumebyeachdirectionoftraffic,East Bound: 400 / West Bound: 300,East Bound: 21300 / West Bound: 16600
144.id,960.0,1355
658.street,Blu eIsland Ave,Blue Island Ave
1276.locationvalue,"(41.918169,- 87.72659)","(41.918169, -87.72659)"
121.id,414.0,967
849.locationvalue,"(41.896097, -87.666598)","(41.896097, -87.665698)"
203.id,414.0,253
244.id,1286.0,100
70.locationvalue,"(41.930851, -87.797915)","(41.79459, -87.684058)"
1234.street,Kmball Ave,Kimball Ave
236.id,442.0,143
1084.vehiclevolumebyeachdirectionoftraffic,Norh Bound: 10200 / South Bound: 9300,North Bound: 10200 / South Bound: 9300
650.dateofcount,03/02/2p006,03/02/2006
67.trafficvolumecountlocationaddress,22q31 North,2231 North
585.vehiclevolumebyeachdirectionoftraffic,East Bound :11200 / West Bound: 11200,East Bound: 11200 / West Bound: 11200
705.dateofcount,r10/12/2006,10/12/2006
1203.locationvalue,"(41.778678, -87.57956c8)","(41.778678, -87.579568)"
66.id,819.0,9
1153.locationvalue,"t(41.873925, -87.62919)","(41.873925, -87.62919)"
574.locationvalue,"(41.82k5153, -87.607512)","(41.825153, -87.607512)"
114.vehiclevolumebyeachdirectionoftraffic,East Bound: 3600 / West Bound: 3500,North Bound: 17300 / South Bound: 15800
146.locationvalue,"(41.729262, -87.541841)","(41.78747, -87.619044)"
1017.locationvalue,"(41.763965, -87j.663752)","(41.763965, -87.663752)"
545.locationvalue,"(41.816676, -w87.614468)","(41.816676, -87.614468)"
477.vehiclevolumebyeachdirectionoftraffic,East Boun:d 8100 / West Bound: 8000,East Bound: 8100 / West Bound: 8000
96.locationvalue,"(41.792663, -87.582231)","(41.878904, -87.641098)"
661.trafficvolumecountlocationaddress,607 1North,6071 North
359.dateofcount,1h1/20/2006,11/20/2006
57.locationvalue,"(41.756542, -87.617335)","(41.893306, -87.628117)"
348.trafficvolumecountlocationaddress,299 Noth,299 North
154.vehiclevolumebyeachdirectionoftraffic,East Bound: 8600 / West Bound: 8000,North Bound: 6200 / South Bound: 8500
778.trafficvolumecountlocationaddress,134 East,1340 East
135.vehiclevolumebyeachdirectionoftraffic,East Bound: 11800 / West Bound: 11800,East Bound: 2500 / West Bound: 4400
207.vehiclevolumebyeachdirectionoftraffic,North Bound: 5300 / South Bound: 5400,East Bound: 5100 / West Bound: 3800
302.trafficvolumecountlocationaddress,8539 Soutah,8539 South
78.id,1328.0,550
302.id,258.0,10
700.street,Harlem vAe,Harlem Ave
104.id,414.0,1361
518.vehiclevolumebyeachdirectionoftraffic,East Bound: 7400 / West oBund: 8000,East Bound: 7400 / West Bound: 8000
561.dateofcount,10/16/2060,10/16/2006
601.locationvalue,"(s41.743249, -87.651157)","(41.743249, -87.651157)"
616.trafficvolumecountlocationaddress,7 7East,77 East
724.dateofcount,09/19/206,09/19/2006
802.vehiclevolumebyeachdirectionoftraffic,North Bound: 9500 / outh Bound: 10000,North Bound: 9500 / South Bound: 10000
865.dateofcount,08/15/206,08/15/2006
1130.dateofcount,03/2/2006,03/28/2006
1028.street,5t9h St,59th St
1126.dateofcount,08/10/006,08/10/2006
630.trafficvolumecountlocationaddress,25 eWst,25 West
156.id,1308.0,404
75.id,819.0,946
1056.dateofcount,1024/2006,10/24/2006
18.street,Pershingf Rd,Pershing Rd
942.street,130tjh St,130th St
173.vehiclevolumebyeachdirectionoftraffic,North Bound: 1500 / South Bound: 1500,West Bound: 18500/ Oneway West Bound 
182.id,85.0,684
