sexandraceethnicity,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total - Hispanic,NULL,Hispanic,2007,231.0,1.3,NULL
Total - Hispanic,NULL,Hispanic,2008,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2009,235.0,1.4,NULL
Total - Hispanic,NULL,Hispanic,2010,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2011,237.0,1.3,NULL
Total - Hispanic,NULL,Hispanic,2012,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2013,238.0,1.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hihspanic",2001,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hisepanic",2002,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hipsanic",2004,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,249.0,3.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asina, non-Hispanic",2007,249.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,253.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,266.0,6.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2013,258.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,227.0,7.3,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2013,232.0,4.3,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"America nIndian/Alaska Native, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2003,234.0,1.7,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, on-Hispanic",2004,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,236.0,2.1,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, nno-Hispanic",2006,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,235.0,2.7,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2009,232.0,3.2,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-iHspanic",2010,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Aplaska Native, non-Hispanic",2011,232.0,3.8,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hisnpanic",2012,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indin/Alaska Native, non-Hispanic",2013,241.0,4.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,250.0,5.3,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2013,248.0,2.9,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,244.0,3.2,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,256.0,0.7,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,258.0,0.7,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,260.0,0.7,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,263.0,0.7,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,264.0,0.8,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,262.0,0.7,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2000,206.0,4.8,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2001,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2002,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2003,220.0,1.2,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2004,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2005,224.0,1.1,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2006,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2007,227.0,1.5,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2008,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,231.0,1.4,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,232.0,1.2,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2012,NULL,NULL,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2013,234.0,0.9,NULL
"Total - Male, Hispanic",Male,Hispanic,2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2003,230.0,2.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2004,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,232.0,1.4,NULL
"Total - Male, Hispanic",Male,Hispanic,2006,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,233.0,1.6,NULL
"Total - Male, Hispanic",Male,Hispanic,2008,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,238.0,1.6,NULL
"Total - Male, Hispanic",Male,Hispanic,2010,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,239.0,1.7,NULL
"Total - Male, Hispanic",Male,Hispanic,2012,NULL,NULL,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,239.0,1.3,NULL
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,253.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,249.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,248.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,254.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,267.0,7.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,NULL,NULL,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,264.0,5.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,229.0,9.7,NULL
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,231.0,4.5,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,234.0,2.2,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,237.0,2.5,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,236.0,3.8,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,234.0,3.9,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,237.0,4.4,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,245.0,4.2,NULL
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,254.0,6.9,NULL
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,252.0,4.2,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,229.0,3.4,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,247.0,1.0,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,248.0,0.8,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,251.0,1.2,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,254.0,0.8,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,254.0,1.0,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,252.0,0.8,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2000,206.0,5.1,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2001,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2002,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2003,217.0,1.8,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2004,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2005,219.0,1.3,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2006,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2007,225.0,1.9,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2008,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2009,226.0,1.7,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2010,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2011,229.0,1.5,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2012,NULL,NULL,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2013,229.0,1.4,NULL
"Total - Female, Hispanic",Female,Hispanic,2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2001,NULL,NULL,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2002,NULL,NULL,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,225.0,2.2,NULL
"Total - Female, Hispanic",Female,Hispanic,2004,NULL,NULL,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,225.0,1.6,NULL
"Total - Female, Hispanic",Female,Hispanic,2006,NULL,NULL,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,227.0,2.4,NULL
"Total - Female, Hispanic",Female,Hispanic,2008,NULL,NULL,Data not available.
