Entity,Callsign,Frequency,Units,Pag,CODE,Svc,City
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,89,0,MO,PW,SUNOL
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,1,0,FX1,PW,SAN FRANCISCO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,89,0,MO,PW,SAN FRANCISCO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,1,0,FX1,PW,VACAVILLE
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,89,0,MO,PW,VACAVILLE
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,1,0,FX1,PW,DALY CITY
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,89,0,MO,PW,DALY CITY
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,1,0,FX1,PW,NOVATO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.5125,89,0,MO,PW,NOVATO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,89,0,MO,PW,DALY CITY
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,89,0,MO,PW,NOVATO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,1,0,FX1,PW,SUNOL
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,1,0,FX1,PW,SAN FRANCISCO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,1,0,FX1,PW,VACAVILLE
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,89,0,MO,PW,SUNOL
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,89,0,MO,PW,SAN FRANCISCO
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,89,0,MO,PW,VACAVILLE
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,1,0,FX1,PW,DALY CITY
BAY AREA AIR QUALITY MANAGEMENT DIS,KWM922,491.9625,1,0,FX1,PW,NOVATO
Bay Area Air Quality Management Dis,WQIZ321,4940.0,0,0,,PA,
Bay Area Air Quality Management Dis,WQIZ321,4940.0,0,0,,PA,
