1786.latitude,2.34,42.34
1838.groundor_surface,urface,Surface
53.spdes_permit_number,NY0259616,NY0271217
7.location_one,"(41.71, -74.56)","(43.25, -73.82)"
1205.average_design_hydraulic_flow,206,20.6
1866.zip_code,1197d8.0,11978.0
1892.average_design_hydraulic_flow,31.0,310.0
16.spdes_permit_number,NY0023680,NY0021377
2028.location_one,"r(43.06, -75.38)","(43.06, -75.38)"
1904.city,BROOKmLYN,BROOKLYN
43.spdes_permit_number,NY0236616,NY0267091
1973.longitude,-7.927,-79.27
1205.latitude,4.095,40.95
1369.groundor_surface,urface,Surface
24.spdes_permit_number,NY0246492,NY0020281
1193.zip_code,12065.x0,12065.0
9.spdes_permit_number,NY0271420,NY0268771
2028.longitude,-7538,-75.38
464.longitude,-72.62,-72.26
2085.location_one,"(43.07, -772.9)","(43.07, -77.29)"
1798.latitude,4.74,42.74
1205.location_one,"(40.95, -73.37)","(40.95, -73.73)"
95.spdes_permit_number,NY0236616,NY0226831
1866.location_one,"t(40.84, -72.63)","(40.84, -72.63)"
1116.longitude,-72.36,-72.63
42.location_one,"(42.94, -73.65)","(43.25, -78.17)"
2028.street,NORTmON AVE,NORTON AVE
1798.zip_code,1441.0,14541.0
2085.latitude,4.07,43.07
21.location_one,"(40.94, -72.97)","(40.77, -73.21)"
915.longitude,-7x2.75,-72.75
4.location_one,"(41.99, -73.88)","(43.08, -76.0)"
66.spdes_permit_number,NY0236616,NY0215601
1237.latitude,40.8n7,40.87
1904.longitude,-37.88,-73.88
1838.street,BETWEEN AUDUBON & AMSTERDAM AND BTEWEEN W 178TH&  W 179TH STS,BETWEEN AUDUBON & AMSTERDAM AND BETWEEN W 178TH&  W 179TH STS
2028.facility_name,CLINTON SEWAGE TREATMENT LPANT,CLINTON SEWAGE TREATMENT PLANT
1973.city,CEORON,CELORON
96.spdes_permit_number,NY0272817,NY0268925
1230.latitude,42g.23,42.23
1973.facility_name,SOUT & CENTER CHAUTAUQUA LAKE SD WWTP,SOUTH & CENTER CHAUTAUQUA LAKE SD WWTP
1838.longitude,-73.f93,-73.93
1798.facility_name,SENECA COUNTY SEWE DISTRICT #2 (5 PTS CORRECTIONAL WRRF),SENECA COUNTY SEWER DISTRICT #2 (5 PTS CORRECTIONAL WRRF)
41.location_one,"(41.48, -74.01)","(43.31, -75.62)"
1205.facility_name,AMMARONECK WWTP,MAMARONECK WWTP
70.spdes_permit_number,NY0025461,NY0165891
1798.city,Rmoulus,Romulus
20.spdes_permit_number,NY0259616,NY0027766
36.spdes_permit_number,NY0236616,NY0030139
1904.average_design_hydraulic_flow,8.50,85.0
7.spdes_permit_number,NY0259616,NY0266167
79.spdes_permit_number,NY0246492,NY0266396
1040.longitude,-72.62,-72.26
1866.latitude,40.48,40.84
21.spdes_permit_number,NY0236616,NY0279919
915.street,4062 GRUMAN BLVD|135.20-1-12,4062 GRUMMAN BLVD|135.20-1-12
23.location_one,"(42.01, -74.27)","(44.0, -75.92)"
336.average_design_hydraulic_flow,0j.11,0.11
1849.location_one,"(42.85j, -78.65)","(42.85, -78.65)"
1904.location_one,"(40.5, -73.88)","(40.65, -73.88)"
1849.average_design_hydraulic_flow,.02,0.02
1892.longitude,-7.395,-73.95
1237.location_one,(40.87 -73.14),"(40.87, -73.14)"
35.spdes_permit_number,NY0259616,NY0025739
336.groundor_surface,Surace,Surface
71.spdes_permit_number,NY0259616,NY0002950
76.spdes_permit_number,NY0223107,NY0121053
1866.average_design_hydraulic_flow,0.a1,0.1
99.spdes_permit_number,NY0271420,NY0035530
317.latitude,0.81,40.81
65.spdes_permit_number,NY0026310,NY0171352
47.spdes_permit_number,NY0210803,NY0206148
458.longitude,d-72.26,-72.26
68.spdes_permit_number,NY0210803,NY0269379
87.spdes_permit_number,NY0272817,NY0200506
2085.zip_code,14520.0,14502.0
2085.average_design_hydraulic_flow,0.57,0.75
1369.latitude,4.78,40.78
42.spdes_permit_number,NY0025461,NY0028401
1904.zip_code,12r207.0,12207.0
50.spdes_permit_number,NY0272817,NY0107051
1237.city,SAINT JoAMES,SAINT JAMES
55.spdes_permit_number,NY0271420,NY0036790
336.street,3368 DUNBA RD,3368 DUNBAR RD
1753.longitude,-72.62,-72.26
336.latitude,4.284,42.84
84.spdes_permit_number,NY0223107,NY0266736
74.spdes_permit_number,NY0272817,NY0261777
103.spdes_permit_number,NY0026310,NY0031411
1193.longitude,-73h.87,-73.87
1849.latitude,4s2.85,42.85
2085.street,135 MAIN ST|ST RTE 31 - S SIDE - OPPOSITE QUAKER RzD,135 MAIN ST|ST RTE 31 - S SIDE - OPPOSITE QUAKER RD
1193.city,CLpIFTON PARK,CLIFTON PARK
36.location_one,"(42.47, -77.77)","(42.65, -73.93)"
1055.latitude,4.78,40.78
436.groundor_surface,Sufrface,Surface
1892.groundor_surface,urface,Surface
1786.street,CO RTE 25 & ROSSMAN HLIL RD,CO RTE 25 & ROSSMAN HILL RD
22.location_one,"(42.01, -74.27)","(40.67, -73.52)"
34.location_one,"(40.94, -72.97)","(44.07, -76.13)"
436.facility_name,SKANEATEELS (V) WWTP,SKANEATELES (V) WWTP
336.location_one,"(42.84, -78.6)","(42.84, -78.26)"
81.spdes_permit_number,NY0210803,NY0105180
336.longitude,-n78.26,-78.26
2028.groundor_surface,Srface,Surface
28.spdes_permit_number,NY0246492,NY0032972
59.spdes_permit_number,NY0210803,NY0109932
43.location_one,"(42.54, -73.76)","(40.96, -72.26)"
1230.facility_name,TOWN F CLAVERACK BOOSTER PUMP STATION,TOWN OF CLAVERACK BOOSTER PUMP STATION
27.spdes_permit_number,NY0259616,NY0005134
1838.latitude,0.85,40.85
94.spdes_permit_number,NY0026310,NY0220621
82.spdes_permit_number,NY0026310,NY0255882
1904.facility_name,26TH WARD WASTEWATER RESOURCE zRECOVERY FACILITY,26TH WARD WASTEWATER RESOURCE RECOVERY FACILITY
23.spdes_permit_number,NY0246492,NY0257567
1193.average_design_hydraulic_flow,.02,0.02
32.spdes_permit_number,NY0259616,NY0003689
28.location_one,"(42.18, -73.52)","(41.61, -73.75)"
1260.latitude,0.79,40.79
12.spdes_permit_number,NY0236616,NY0271497
720.longitude,-72q.26,-72.26
38.spdes_permit_number,NY0023680,NY0110744
1205.longitude,-7.73,-73.73
45.spdes_permit_number,NY0271420,NY0248029
29.spdes_permit_number,NY0210803,NY0265594
1849.zip_code,14059d.0,14059.0
12.location_one,"(42.54, -73.76)","(43.21, -78.37)"
1814.latitude,4u0.84,40.84
436.latitude,42.m96,42.96
915.location_one,"(40.92, -7m2.75)","(40.92, -72.75)"
1798.location_one,"(42.74, -76.38)","(42.74, -76.83)"
1866.groundor_surface,Grond,Ground
436.city,SKANEATELS,SKANEATELES
716.longitude,72.26,-72.26
31.spdes_permit_number,NY0023680,NY0228478
635.latitude,0.96,40.96
1477.longitude,-7.226,-72.26
62.spdes_permit_number,NY0025461,NY0000078
1205.city,WHITE PLANIS,WHITE PLAINS
915.facility_name,CLVERTON STP,CALVERTON STP
436.zip_code,3152.0,13152.0
19.spdes_permit_number,NY0236616,NY0272582
41.spdes_permit_number,NY0023680,NY0090123
90.spdes_permit_number,NY0271420,NY0256536
2028.average_design_hydraulic_flow,25,2.5
1193.facility_name,RIVERVIEW LANDING SP,RIVERVIEW LANDING STP
1369.average_design_hydraulic_flow,1o50.0,150.0
72.spdes_permit_number,NY0025461,NY0022501
52.spdes_permit_number,NY0223107,NY0035131
37.spdes_permit_number,NY0026310,NY0239682
1369.facility_name,BOWERY BAY WASTEWATER RESOURCE RECOVREY FACILITY,BOWERY BAY WASTEWATER RESOURCE RECOVERY FACILITY
1866.city,WESHTAMPTON BEACH,WESTHAMPTON BEACH
1205.street,W BOSTONh POST RD,W BOSTON POST RD
