fullstreetname,streetname,streettype,postdirection
ACEVEDO AVE,ACEVEDO,AVE,NORTH
ACME ALY,ACME,ALY,NORTH
ACORN ALY,ACORN,ALY,NORTH
ACTON ST,ACTON,ST,NORTH
ADA CT,ADA,CT,NORTH
ADAIR ST,ADAIR,ST,NORTH
ADAM ST,ADAM,ST,NORTH
ADDISON ST,ADDISON,ST,NORTH
ADELE CT,ADELE,CT,NORTH
ADMIRAL AVE,ADMIRAL,AVE,NORTH
ADOLPH SUTRO CT,ADOLPH SUTRO,CT,NORTH
AERIAL WAY,AERIAL,WAY,NORTH
AGNON AVE,AGNON,AVE,NORTH
AGUA WAY,AGUA,WAY,NORTH
AHERN WAY,AHERN,WAY,NORTH
ALABAMA ST,ALABAMA,ST,NORTH
ALADDIN TER,ALADDIN,TER,NORTH
ALAMEDA ST,ALAMEDA,ST,NORTH
ALANA WAY,ALANA,WAY,NORTH
ALBATROSS CT,ALBATROSS,CT,NORTH
ALBERTA ST,ALBERTA,ST,NORTH
ALBION ST,ALBION,ST,NORTH
ALDER ST,ALDER,ST,NORTH
ALEMANY BLVD,ALEMANY,BLVD,NORTH
ALEMANY BLVD OFF RAMP,ALEMANY BLVD OFF,RAMP,NORTH
ALERT ALY,ALERT,ALY,NORTH
ALHAMBRA ST,ALHAMBRA,ST,NORTH
ALICE B TOKLAS PL,ALICE B TOKLAS,PL,NORTH
ALLEN ST,ALLEN,ST,NORTH
ALLISON ST,ALLISON,ST,NORTH
ALLSTON WAY,ALLSTON,WAY,NORTH
ALMA ST,ALMA,ST,NORTH
ALMADEN CT,ALMADEN,CT,NORTH
ALOHA AVE,ALOHA,AVE,NORTH
ALPHA ST,ALPHA,ST,NORTH
ALPINE TER,ALPINE,TER,NORTH
ALTA ST,ALTA,ST,NORTH
ALTA MAR WAY,ALTA MAR,WAY,NORTH
ALTA VISTA TER,ALTA VISTA,TER,NORTH
ALTON AVE,ALTON,AVE,NORTH
ALVARADO ST,ALVARADO,ST,NORTH
ALVISO ST,ALVISO,ST,NORTH
ALVORD ST,ALVORD,ST,NORTH
AMADOR ST,AMADOR,ST,NORTH
AMATISTA LN,AMATISTA,LN,NORTH
AMATURY LOOP,AMATURY,LOOP,NORTH
AMAZON AVE,AMAZON,AVE,NORTH
AMBER DR,AMBER,DR,NORTH
AMBROSE BIERCE ST,AMBROSE BIERCE,ST,NORTH
AMES ST,AMES,ST,NORTH
AMETHYST WAY,AMETHYST,WAY,NORTH
AMHERST ST,AMHERST,ST,NORTH
AMITY ALY,AMITY,ALY,NORTH
ANDERSON ST,ANDERSON,ST,NORTH
ANDOVER ST,ANDOVER,ST,NORTH
ANDREW ST,ANDREW,ST,NORTH
ANGELOS ALY,ANGELOS,ALY,NORTH
ANGLO ALY,ANGLO,ALY,NORTH
ANKENY ST,ANKENY,ST,NORTH
ANNAPOLIS TER,ANNAPOLIS,TER,NORTH
ANNIE ST,ANNIE,ST,NORTH
ANSON PL,ANSON,PL,NORTH
ANTHONY ST,ANTHONY,ST,NORTH
ANTONIO ST,ANTONIO,ST,NORTH
ANZA AVE,ANZA,AVE,NORTH
ANZA ST,ANZA,ST,NORTH
ANZAVISTA AVE,ANZAVISTA,AVE,NORTH
APOLLO ST,APOLLO,ST,NORTH
APPAREL WAY,APPAREL,WAY,NORTH
APPLETON AVE,APPLETON,AVE,NORTH
APPLETON ST,APPLETON,ST,NORTH
APTOS AVE,APTOS,AVE,NORTH
AQUAVISTA WAY,AQUAVISTA,WAY,NORTH
ARAGO ST,ARAGO,ST,NORTH
ARBALLO DR,ARBALLO,DR,NORTH
ARBOL LN,ARBOL,LN,NORTH
ARBOR ST,ARBOR,ST,NORTH
ARCH ST,ARCH,ST,NORTH
ARCO WAY,ARCO,WAY,NORTH
ARDATH CT,ARDATH,CT,NORTH
ARDENWOOD WAY,ARDENWOOD,WAY,NORTH
ARELIOUS WALKER DR,ARELIOUS WALKER,DR,NORTH
ARELLANO AVE,ARELLANO,AVE,NORTH
ARGENT ALY,ARGENT,ALY,NORTH
ARGONAUT AVE,ARGONAUT,AVE,NORTH
ARGUELLO BLVD,ARGUELLO,BLVD,NORTH
ARKANSAS ST,ARKANSAS,ST,NORTH
ARLETA AVE,ARLETA,AVE,NORTH
ARLINGTON ST,ARLINGTON,ST,NORTH
ARMISTEAD RD,ARMISTEAD,RD,NORTH
ARMORY DR,ARMORY,DR,NORTH
ARMSTRONG AVE,ARMSTRONG,AVE,NORTH
ARNOLD AVE,ARNOLD,AVE,NORTH
ARROYO WAY,ARROYO,WAY,NORTH
ARTHUR AVE,ARTHUR,AVE,NORTH
ASH ST,ASH,ST,NORTH
ASHBURTON PL,ASHBURTON,PL,NORTH
ASHBURY ST,ASHBURY,ST,NORTH
ASHBURY TER,ASHBURY,TER,NORTH
ASHTON AVE,ASHTON,AVE,NORTH
ASHWOOD LN,ASHWOOD,LN,NORTH
ASPEN CT,ASPEN,CT,NORTH
ATALAYA TER,ATALAYA,TER,NORTH
ATHENS ST,ATHENS,ST,NORTH
ATOLL CIR,ATOLL,CIR,NORTH
ATTRIDGE ALY,ATTRIDGE,ALY,NORTH
AUBURN ST,AUBURN,ST,NORTH
AUGUST ALY,AUGUST,ALY,NORTH
AUGUSTA ST,AUGUSTA,ST,NORTH
AUSTIN ST,AUSTIN,ST,NORTH
AUTO DR,AUTO,DR,NORTH
AUTOMOBILE DR,AUTOMOBILE,DR,NORTH
AVALON AVE,AVALON,AVE,NORTH
AVENUE B,AVENUE B,ST,NORTH
AVENUE C,AVENUE C,ST,NORTH
AVENUE D,AVENUE D,ST,NORTH
AVENUE E,AVENUE E,ST,NORTH
AVENUE F,AVENUE F,ST,NORTH
AVENUE H,AVENUE H,ST,NORTH
AVENUE I,AVENUE I,ST,NORTH
AVENUE M,AVENUE M,ST,NORTH
AVENUE N,AVENUE N,ST,NORTH
AVENUE OF THE PALMS,AVENUE OF THE PALMS,ST,NORTH
AVERY ST,AVERY,ST,NORTH
AVILA ST,AVILA,ST,NORTH
AVOCA ALY,AVOCA,ALY,NORTH
WURSTER LN,WURSTER,LN,NORTH
AVON WAY,AVON,WAY,NORTH
AZTEC ST,AZTEC,ST,NORTH
BACHE ST,BACHE,ST,NORTH
BACON ST,BACON,ST,NORTH
BADEN ST,BADEN,ST,NORTH
BADGER ST,BADGER,ST,NORTH
BAKER CT,BAKER,CT,NORTH
BAKER ST,BAKER,ST,NORTH
BALANCE ST,BALANCE,ST,NORTH
BALBOA ST,BALBOA,ST,NORTH
BALCETA AVE,BALCETA,AVE,NORTH
BALDWIN CT,BALDWIN,CT,NORTH
BALHI CT,BALHI,CT,NORTH
BALMY ST,BALMY,ST,NORTH
BALTIMORE WAY,BALTIMORE,WAY,NORTH
BANBURY DR,BANBURY,DR,NORTH
BANCROFT AVE,BANCROFT,AVE,NORTH
BANK ST,BANK,ST,NORTH
BANKS ST,BANKS,ST,NORTH
BANNAN PL,BANNAN,PL,NORTH
BANNEKER WAY,BANNEKER,WAY,NORTH
BANNOCK ST,BANNOCK,ST,NORTH
BARCELONA AVE,BARCELONA,AVE,NORTH
BARNARD AVE,BARNARD,AVE,NORTH
BARNEVELD AVE,BARNEVELD,AVE,NORTH
BARRY CT,BARRY,CT,NORTH
BARTLETT ST,BARTLETT,ST,NORTH
BARTOL ST,BARTOL,ST,NORTH
BASS CT,BASS,CT,NORTH
BATTERY ST,BATTERY,ST,NORTH
BATTERY BLANEY RD,BATTERY BLANEY,RD,NORTH
BATTERY CAULFIELD RD,BATTERY CAULFIELD,RD,NORTH
BATTERY CHAMBERLIN RD,BATTERY CHAMBERLIN,RD,NORTH
BATTERY CRANSTON RD,BATTERY CRANSTON,RD,NORTH
BATTERY CROSBY RD,BATTERY CROSBY,RD,NORTH
BATTERY DYNAMITE RD,BATTERY DYNAMITE,RD,NORTH
BATTERY EAST RD,BATTERY EAST,RD,NORTH
BATTERY SAFFORD RD,BATTERY SAFFORD,RD,NORTH
BATTERY WAGNER RD,BATTERY WAGNER,RD,NORTH
BAXTER ALY,BAXTER,ALY,NORTH
BAY ST,BAY,ST,NORTH
BAY SHORE BLVD,BAY SHORE,BLVD,NORTH
BAY SHORE BLVD OFF RAMP,BAY SHORE BLVD OFF,RAMP,NORTH
BAY SHORE BLVD ON RAMP,BAY SHORE BLVD ON,RAMP,NORTH
BAY VIEW ST,BAY VIEW,ST,NORTH
BAYSIDE DR,BAYSIDE,DR,NORTH
BAYSIDE VILLAGE PL,BAYSIDE VILLAGE,PL,NORTH
BAYVIEW CIR,BAYVIEW,CIR,NORTH
BAYVIEW PARK RD,BAYVIEW PARK,RD,NORTH
BAYWOOD CT,BAYWOOD,CT,NORTH
BEACH ST,BEACH,ST,NORTH
BEACHMONT DR,BEACHMONT,DR,NORTH
BEACON ST,BEACON,ST,NORTH
BEALE ST,BEALE,ST,NORTH
BEATRICE LN,BEATRICE,LN,NORTH
BEAUMONT AVE,BEAUMONT,AVE,NORTH
BEAVER ST,BEAVER,ST,NORTH
BECKETT ST,BECKETT,ST,NORTH
BEDFORD PL,BEDFORD,PL,NORTH
BEEMAN LN,BEEMAN,LN,NORTH
BEHR AVE,BEHR,AVE,NORTH
BEIDEMAN ST,BEIDEMAN,ST,NORTH
BELCHER ST,BELCHER,ST,NORTH
BELDEN ST,BELDEN,ST,NORTH
BELGRAVE AVE,BELGRAVE,AVE,NORTH
BELL CT,BELL,CT,NORTH
BELLA VISTA WAY,BELLA VISTA,WAY,NORTH
BELLAIR PL,BELLAIR,PL,NORTH
BELLE AVE,BELLE,AVE,NORTH
BELLES ST,BELLES,ST,NORTH
BELLEVUE AVE,BELLEVUE,AVE,NORTH
BELMONT AVE,BELMONT,AVE,NORTH
BELVEDERE ST,BELVEDERE,ST,NORTH
BEMIS ST,BEMIS,ST,NORTH
BENGAL ALY,BENGAL,ALY,NORTH
BENNINGTON ST,BENNINGTON,ST,NORTH
BENTON AVE,BENTON,AVE,NORTH
BEPLER ST,BEPLER,ST,NORTH
BERCUT ACCESS RD,BERCUT ACCESS,RD,NORTH
BERGEN ALY,BERGEN,ALY,NORTH
BERKELEY WAY,BERKELEY,WAY,NORTH
BERKSHIRE WAY,BERKSHIRE,WAY,NORTH
BERNAL HEIGHTS BLVD,BERNAL HEIGHTS,BLVD,NORTH
BERNARD ST,BERNARD,ST,NORTH
BERNICE ST,BERNICE,ST,NORTH
BERNICE RODGERS WAY,BERNICE RODGERS,WAY,NORTH
BERRY ST,BERRY,ST,NORTH
BERRY EXTENSION ST,BERRY EXTENSION,ST,NORTH
BERTHA LN,BERTHA,LN,NORTH
BERTIE MINOR LN,BERTIE MINOR,LN,NORTH
BERTITA ST,BERTITA,ST,NORTH
BERWICK PL,BERWICK,PL,NORTH
BESSIE ST,BESSIE,ST,NORTH
BEULAH ST,BEULAH,ST,NORTH
BEVERLY ST,BEVERLY,ST,NORTH
BIGELOW CT,BIGELOW,CT,NORTH
BIGLER AVE,BIGLER,AVE,NORTH
BIRCH ST,BIRCH,ST,NORTH
BIRCHWOOD CT,BIRCHWOOD,CT,NORTH
BIRD ST,BIRD,ST,NORTH
BIRMINGHAM RD,BIRMINGHAM,RD,NORTH
BISHOP ST,BISHOP,ST,NORTH
BITTING AVE,BITTING,AVE,NORTH
BLACK PL,BLACK,PL,NORTH
BLACKSTONE CT,BLACKSTONE,CT,NORTH
BLAIR TER,BLAIR,TER,NORTH
BLAIRWOOD LN,BLAIRWOOD,LN,NORTH
BLAKE ST,BLAKE,ST,NORTH
BLANCHE ST,BLANCHE,ST,NORTH
BLANDY ST,BLANDY,ST,NORTH
BLANKEN AVE,BLANKEN,AVE,NORTH
BLATCHFORD LN,BLATCHFORD,LN,NORTH
BLISS CT,BLISS,CT,NORTH
BLISS RD,BLISS,RD,NORTH
BLUXOME ST,BLUXOME,ST,NORTH
BLYTHDALE AVE,BLYTHDALE,AVE,NORTH
BOALT ST,BOALT,ST,NORTH
BOARDMAN PL,BOARDMAN,PL,NORTH
BOB KAUFMAN ALY,BOB KAUFMAN,ALY,NORTH
BOCANA ST,BOCANA,ST,NORTH
BONIFACIO ST,BONIFACIO,ST,NORTH
BONITA ST,BONITA,ST,NORTH
BONNIE BRAE LN,BONNIE BRAE,LN,NORTH
BONVIEW ST,BONVIEW,ST,NORTH
BORICA ST,BORICA,ST,NORTH
BOSWORTH ST,BOSWORTH,ST,NORTH
BOUTWELL ST,BOUTWELL,ST,NORTH
BOWDOIN ST,BOWDOIN,ST,NORTH
BOWLEY CT,BOWLEY,CT,NORTH
BOWLEY ST,BOWLEY,ST,NORTH
BOWLING GREEN DR,BOWLING GREEN,DR,NORTH
BOWMAN CT,BOWMAN,CT,NORTH
BOYD ST,BOYD,ST,NORTH
BOYLSTON ST,BOYLSTON,ST,NORTH
BOYNTON CT,BOYNTON,CT,NORTH
BRADFORD ST,BRADFORD,ST,NORTH
BRADY ST,BRADY,ST,NORTH
BRANNAN ST,BRANNAN,ST,NORTH
BRANT ALY,BRANT,ALY,NORTH
BRAZIL AVE,BRAZIL,AVE,NORTH
BREEN PL,BREEN,PL,NORTH
BRENTWOOD AVE,BRENTWOOD,AVE,NORTH
BRET HARTE TER,BRET HARTE,TER,NORTH
BREWSTER ST,BREWSTER,ST,NORTH
BRICE TER,BRICE,TER,NORTH
BRIDGEVIEW DR,BRIDGEVIEW,DR,NORTH
BRIDGEVIEW WAY,BRIDGEVIEW,WAY,NORTH
BRIGHT ST,BRIGHT,ST,NORTH
BRIGHTON AVE,BRIGHTON,AVE,NORTH
BRITTON ST,BRITTON,ST,NORTH
BROAD ST,BROAD,ST,NORTH
BROADMOOR DR,BROADMOOR,DR,NORTH
BROADWAY,BROADWAY,ST,NORTH
BRODERICK ST,BRODERICK,ST,NORTH
BROMLEY PL,BROMLEY,PL,NORTH
BROMPTON AVE,BROMPTON,AVE,NORTH
BRONTE ST,BRONTE,ST,NORTH
BROOK ST,BROOK,ST,NORTH
BROOKDALE AVE,BROOKDALE,AVE,NORTH
BROOKHAVEN LN,BROOKHAVEN,LN,NORTH
BROOKLYN PL,BROOKLYN,PL,NORTH
BROOKS ST,BROOKS,ST,NORTH
BROSNAN ST,BROSNAN,ST,NORTH
BROTHERHOOD WAY,BROTHERHOOD,WAY,NORTH
BROWN ST,BROWN,ST,NORTH
BRUCE AVE,BRUCE,AVE,NORTH
BRUMISS TER,BRUMISS,TER,NORTH
BRUNSWICK ST,BRUNSWICK,ST,NORTH
BRUSH LN,BRUSH,LN,NORTH
BRUSH PL,BRUSH,PL,NORTH
BRUSSELS ST,BRUSSELS,ST,NORTH
BRYANT ST,BRYANT,ST,NORTH
BUCARELI DR,BUCARELI,DR,NORTH
BUCHANAN ST,BUCHANAN,ST,NORTH
BUCKINGHAM WAY,BUCKINGHAM,WAY,NORTH
SAN FRANCISCO GOLF CLUB RD,SAN FRANCISCO GOLF CLUB,RD,NORTH
VICHA RATANAPAKDEE WAY,VICHA RATANAPAKDEE,WAY,NORTH
BUENA VISTA TER,BUENA VISTA,TER,NORTH
BURGOYNE ST,BURGOYNE,ST,NORTH
BURKE AVE,BURKE,AVE,NORTH
BURLWOOD DR,BURLWOOD,DR,NORTH
BURNETT AVE,BURNETT,AVE,NORTH
JEFF ADACHI WAY,JEFF ADACHI,WAY,NORTH
BURNS PL,BURNS,PL,NORTH
BURNSIDE AVE,BURNSIDE,AVE,NORTH
BURR AVE,BURR,AVE,NORTH
BURRITT ST,BURRITT,ST,NORTH
BURROWS ST,BURROWS,ST,NORTH
BUSH ST,BUSH,ST,NORTH
BUTTE PL,BUTTE,PL,NORTH
BYRON CT,BYRON,CT,NORTH
BYXBEE ST,BYXBEE,ST,NORTH
C ST,C,ST,NORTH
CABRILLO ST,CABRILLO,ST,NORTH
CADELL PL,CADELL,PL,NORTH
CAINE AVE,CAINE,AVE,NORTH
CAIRE TER,CAIRE,TER,NORTH
CALEDONIA ST,CALEDONIA,ST,NORTH
CALGARY ST,CALGARY,ST,NORTH
CALHOUN TER,CALHOUN,TER,NORTH
CALIFORNIA AVE,CALIFORNIA,AVE,NORTH
CALIFORNIA ST,CALIFORNIA,ST,NORTH
CALVERT DR,CALVERT,DR,NORTH
CAMBON DR,CAMBON,DR,NORTH
CAMBRIDGE ST,CAMBRIDGE,ST,NORTH
CAMELLIA AVE,CAMELLIA,AVE,NORTH
CAMEO WAY,CAMEO,WAY,NORTH
CAMERON WAY,CAMERON,WAY,NORTH
CAMP ST,CAMP,ST,NORTH
LONG BRIDGE VARA,LONG BRIDGE VARA,ST,NORTH
CAMPBELL AVE,CAMPBELL,AVE,NORTH
CAMPTON PL,CAMPTON,PL,NORTH
CAMPUS LN,CAMPUS,LN,NORTH
CAMPUS WAY,CAMPUS,WAY,NORTH
CANBY LN,CANBY,LN,NORTH
CANBY ST,CANBY,ST,NORTH
CANDLESTICK COVE WAY,CANDLESTICK COVE,WAY,NORTH
CANDLESTICK POINT SRA,CANDLESTICK POINT SRA,ST,NORTH
CANYON DR,CANYON,DR,NORTH
CAPISTRANO AVE,CAPISTRANO,AVE,NORTH
CAPITOL AVE,CAPITOL,AVE,NORTH
CAPP ST,CAPP,ST,NORTH
CAPRA WAY,CAPRA,WAY,NORTH
CARD ALY,CARD,ALY,NORTH
CARDENAS AVE,CARDENAS,AVE,NORTH
CARGO WAY,CARGO,WAY,NORTH
CARL ST,CARL,ST,NORTH
CARMEL ST,CARMEL,ST,NORTH
CARMELITA ST,CARMELITA,ST,NORTH
CARNELIAN WAY,CARNELIAN,WAY,NORTH
CAROLINA ST,CAROLINA,ST,NORTH
CARPENTER CT,CARPENTER,CT,NORTH
CARR ST,CARR,ST,NORTH
CARRIE ST,CARRIE,ST,NORTH
CARRIZAL ST,CARRIZAL,ST,NORTH
CARROLL AVE,CARROLL,AVE,NORTH
CARSON ST,CARSON,ST,NORTH
CARTER ST,CARTER,ST,NORTH
CARVER ST,CARVER,ST,NORTH
CASA WAY,CASA,WAY,NORTH
CASCADE WALK,CASCADE,WALK,NORTH
CASE ST,CASE,ST,NORTH
CASELLI AVE,CASELLI,AVE,NORTH
CASHMERE ST,CASHMERE,ST,NORTH
CASITAS AVE,CASITAS,AVE,NORTH
CASSANDRA CT,CASSANDRA,CT,NORTH
CASTELO AVE,CASTELO,AVE,NORTH
CASTENADA AVE,CASTENADA,AVE,NORTH
CASTILLO ST,CASTILLO,ST,NORTH
CASTLE ST,CASTLE,ST,NORTH
CASTLE MANOR AVE,CASTLE MANOR,AVE,NORTH
CASTRO ST,CASTRO,ST,NORTH
DR MAYA ANGELOU LN,DR MAYA ANGELOU,LN,NORTH
CATHERINE CT,CATHERINE,CT,NORTH
CAYUGA AVE,CAYUGA,AVE,NORTH
CCSF PARKING LOT,CCSF PARKING LOT,ST,NORTH
CECILIA AVE,CECILIA,AVE,NORTH
CEDAR ST,CEDAR,ST,NORTH
CEDRO AVE,CEDRO,AVE,NORTH
CENTRAL AVE,CENTRAL,AVE,NORTH
CENTRAL MAGAZINE RD,CENTRAL MAGAZINE,RD,NORTH
CENTURY PL,CENTURY,PL,NORTH
CERES ST,CERES,ST,NORTH
CERRITOS AVE,CERRITOS,AVE,NORTH
CERVANTES BLVD,CERVANTES,BLVD,NORTH
CESAR CHAVEZ ST,CESAR CHAVEZ,ST,NORTH
CESAR CHAVEZ ON RAMP,CESAR CHAVEZ ON,RAMP,NORTH
CHABOT TER,CHABOT,TER,NORTH
CHAIN OF LAKES DR,CHAIN OF LAKES,DR,NORTH
CHANCERY LN,CHANCERY,LN,NORTH
SLOAN ALY,SLOAN,ALY,NORTH
CHANNEL ST,CHANNEL,ST,NORTH
CHAPMAN ST,CHAPMAN,ST,NORTH
CHARLES ST,CHARLES,ST,NORTH
CHARLES J BRENHAM PL,CHARLES J BRENHAM,PL,NORTH
CHARLTON CT,CHARLTON,CT,NORTH
CHARTER OAK AVE,CHARTER OAK,AVE,NORTH
CHASE CT,CHASE,CT,NORTH
CHATHAM PL,CHATHAM,PL,NORTH
CHATTANOOGA ST,CHATTANOOGA,ST,NORTH
CHAVES AVE,CHAVES,AVE,NORTH
CHENERY ST,CHENERY,ST,NORTH
CHERRY ST,CHERRY,ST,NORTH
CHESLEY ST,CHESLEY,ST,NORTH
CHESTER AVE,CHESTER,AVE,NORTH
CHESTNUT ST,CHESTNUT,ST,NORTH
CHICAGO WAY,CHICAGO,WAY,NORTH
CHILD ST,CHILD,ST,NORTH
CHILTON AVE,CHILTON,AVE,NORTH
CHINA BASIN ST,CHINA BASIN,ST,NORTH
CHINOOK CT,CHINOOK,CT,NORTH
CHRISTMAS TREE POINT RD,CHRISTMAS TREE POINT,RD,NORTH
CHRISTOPHER DR,CHRISTOPHER,DR,NORTH
CHULA LN,CHULA,LN,NORTH
CHUMASERO DR,CHUMASERO,DR,NORTH
CHURCH ST,CHURCH,ST,NORTH
CHURCH ACCESS RD,CHURCH ACCESS,RD,NORTH
CHURCH PARKING LOT,CHURCH PARKING LOT,ST,NORTH
CIELITO DR,CIELITO,DR,NORTH
CIRCULAR AVE,CIRCULAR,AVE,NORTH
CITYVIEW WAY,CITYVIEW,WAY,NORTH
CLAIRVIEW CT,CLAIRVIEW,CT,NORTH
CLARA ST,CLARA,ST,NORTH
CLAREMONT BLVD,CLAREMONT,BLVD,NORTH
CLARENCE PL,CLARENCE,PL,NORTH
CLARENDON AVE,CLARENDON,AVE,NORTH
CLARION ALY,CLARION,ALY,NORTH
CLARKE LN,CLARKE,LN,NORTH
CLARKE ST,CLARKE,ST,NORTH
CLARKSON ST,CLARKSON,ST,NORTH
CLAUDE LN,CLAUDE,LN,NORTH
CLAY ST,CLAY,ST,NORTH
CLAYTON ST,CLAYTON,ST,NORTH
CLEARFIELD DR,CLEARFIELD,DR,NORTH
CLEARVIEW CT,CLEARVIEW,CT,NORTH
CLEARY CT,CLEARY,CT,NORTH
CLEMENT ST,CLEMENT,ST,NORTH
CLEMENTINA ST,CLEMENTINA,ST,NORTH
CLEO RAND AVE,CLEO RAND,AVE,NORTH
CLEVELAND ST,CLEVELAND,ST,NORTH
CLIFFORD TER,CLIFFORD,TER,NORTH
CLINTON PARK,CLINTON,PARK,NORTH
CLIPPER ST,CLIPPER,ST,NORTH
CLIPPER TER,CLIPPER,TER,NORTH
CLIPPER COVE WAY,CLIPPER COVE,WAY,NORTH
CLOUD CIR,CLOUD,CIR,NORTH
CLOVER LN,CLOVER,LN,NORTH
CLOVER ST,CLOVER,ST,NORTH
CLYDE ST,CLYDE,ST,NORTH
COCHRANE ST,COCHRANE,ST,NORTH
CODMAN PL,CODMAN,PL,NORTH
COLBY ST,COLBY,ST,NORTH
COLE ST,COLE,ST,NORTH
COLEMAN ST,COLEMAN,ST,NORTH
COLERIDGE ST,COLERIDGE,ST,NORTH
COLIN PL,COLIN,PL,NORTH
COLIN P KELLY JR ST,COLIN P KELLY JR,ST,NORTH
COLLEEN WAY,COLLEEN,WAY,NORTH
COLLEGE AVE,COLLEGE,AVE,NORTH
COLLEGE TER,COLLEGE,TER,NORTH
COLLINGWOOD ST,COLLINGWOOD,ST,NORTH
COLLINS ST,COLLINS,ST,NORTH
COLON AVE,COLON,AVE,NORTH
COLONIAL WAY,COLONIAL,WAY,NORTH
COLTON ST,COLTON,ST,NORTH
COLUMBIA SQUARE ST,COLUMBIA SQUARE,ST,NORTH
COLUMBUS AVE,COLUMBUS,AVE,NORTH
COLUSA PL,COLUSA,PL,NORTH
COMERFORD ST,COMERFORD,ST,NORTH
COMMER CT,COMMER,CT,NORTH
COMMERCIAL ST,COMMERCIAL,ST,NORTH
COMMONWEALTH AVE,COMMONWEALTH,AVE,NORTH
COMPTON RD,COMPTON,RD,NORTH
CONCORD ST,CONCORD,ST,NORTH
CONCOURSE DR,CONCOURSE,DR,NORTH
CONGDON ST,CONGDON,ST,NORTH
CONGO ST,CONGO,ST,NORTH
CONKLING ST,CONKLING,ST,NORTH
CONNECTICUT ST,CONNECTICUT,ST,NORTH
