CT,BLPAD,BLPAN,BLWAD,BLWAN,BLMAD,BLMAN
460002,2021,154,1102,68,919,86
461000,420,43,222,19,198,24
462100,1103,106,595,45,508,61
462600,1338,91,710,39,628,52
463900,973,85,536,44,437,41
464300,1451,99,783,45,668,54
464400,922,62,487,30,435,32
465600,1110,83,620,43,490,40
465800,1594,81,858,37,736,44
468700,739,53,393,24,346,29
468800,915,66,510,32,405,34
468900,1522,109,833,59,689,50
469000,2447,163,1322,67,1125,96
470300,1986,142,1104,64,882,78
470400,1635,106,906,49,729,57
470501,1273,73,705,31,568,42
470502,1667,123,906,55,761,68
470600,1353,93,718,43,635,50
471000,498,41,262,16,236,25
472100,1141,55,618,26,523,29
472200,984,44,512,23,472,21
472300,784,55,430,24,354,31
472400,1039,62,546,23,493,39
473100,2458,85,1319,40,1139,45
473200,1604,73,912,32,692,41
473300,3156,148,1738,85,1418,63
473401,1922,59,1000,23,922,36
473402,1797,76,950,34,847,42
473500,1983,68,1029,29,954,39
473601,2083,65,1116,24,967,41
473602,2442,128,1348,71,1094,57
474101,2286,82,1188,33,1098,49
474102,2071,85,1074,44,997,41
474201,1452,50,752,18,700,32
474202,2817,130,1458,48,1359,82
474203,2646,134,1378,46,1268,88
475101,2523,188,1430,103,1093,85
475102,958,55,485,21,473,34
475200,2848,185,1508,91,1340,94
475301,2458,195,1329,100,1129,95
475303,2439,179,1300,69,1139,110
475304,2996,140,1591,59,1405,81
475401,2180,164,1167,78,1013,86
475402,1757,104,940,46,817,58
476100,2293,148,1277,81,1016,67
476200,1735,135,952,64,783,71
477100,2073,150,1124,60,949,90
477200,2481,208,1365,104,1116,104
477300,3047,176,1583,82,1464,94
478100,2060,129,1086,64,974,65
478200,2934,152,1557,61,1377,91
479000,1101,87,601,45,500,42
480101,2601,161,1364,85,1237,76
480102,1730,140,951,70,779,70
480200,1950,146,1017,61,933,85
480300,1956,124,1042,67,914,57
480400,2743,221,1500,97,1243,124
481000,1403,80,782,41,621,39
482500,1016,112,554,64,462,48
483800,1172,149,693,92,479,57
484300,1501,114,821,48,680,66
484500,3223,259,1756,123,1467,136
484600,1085,85,627,51,458,34
485000,587,35,330,18,257,17
486700,810,56,495,34,315,22
486800,678,58,363,28,315,30
486900,573,50,329,30,244,20
487000,909,104,492,59,417,45
488100,1171,94,628,49,543,45
488200,1678,118,950,55,728,63
488300,1149,116,623,52,526,64
488400,2301,182,1322,97,979,85
488500,1481,122,797,51,684,71
488600,2544,213,1427,101,1117,112
489001,2585,240,1425,129,1160,111
489002,2184,126,1146,57,1038,69
490002,2498,211,1350,96,1148,115
490003,2040,125,1050,59,990,66
490004,2887,184,1531,78,1356,106
491101,4083,220,2138,88,1945,132
491200,1076,97,589,51,487,46
492700,797,77,447,40,350,37
492800,1101,116,652,71,449,45
492900,893,96,506,51,387,45
494000,702,62,400,32,302,30
495000,1005,110,533,50,472,60
496101,1802,155,962,93,840,62
496102,2561,273,1366,134,1195,139
496200,3178,280,1708,132,1470,148
497000,526,51,282,25,244,26
498000,1398,144,757,69,641,75
499300,794,73,448,34,346,39
499400,1264,141,710,70,554,71
500300,1911,158,1101,82,810,76
501000,704,80,392,47,312,33
503002,3215,332,1815,178,1400,154
504100,2178,222,1228,123,950,99
507000,955,86,524,39,431,47
508000,694,55,389,31,305,24
509400,2149,200,1227,110,922,90
510000,651,43,385,23,266,20
512000,838,99,463,47,375,52
512800,474,43,276,24,198,19
512900,440,38,253,26,187,12
513800,747,70,440,43,307,27
514000,756,63,463,36,293,27
515100,1083,76,631,41,452,35
515200,921,70,534,38,387,32
515300,763,64,475,47,288,17
515401,1117,45,655,23,462,22
516100,713,20,385,5,328,15
516200,949,32,520,17,429,15
517000,744,79,424,39,320,40
518001,2009,142,1159,83,850,59
519000,1748,119,927,48,821,71
520001,1600,156,872,76,728,80
520002,1531,135,848,69,683,66
521100,2319,187,1261,88,1058,99
521200,1983,158,1095,70,888,88
521301,1830,180,1053,96,777,84
521302,1994,139,1080,67,914,72
521401,1337,131,743,56,594,75
521402,2194,152,1145,62,1049,90
521500,2229,202,1200,96,1029,106
522000,1279,91,731,45,548,46
523100,1695,173,1004,98,691,75
523200,1878,147,1069,81,809,66
523300,1918,137,1064,64,854,73
523400,2392,182,1405,98,987,84
523501,2237,187,1236,76,1001,111
523502,734,71,425,35,309,36
523600,2408,237,1362,118,1046,119
523701,2128,180,1150,81,978,99
523702,2536,216,1414,110,1122,106
523800,2450,197,1343,87,1107,110
524000,1091,92,569,39,522,53
525100,1111,49,634,23,477,26
525200,1129,90,645,47,484,43
525300,1216,77,649,36,567,41
526101,2105,135,1119,75,986,60
526102,1065,72,548,38,517,34
526201,2184,169,1142,81,1042,88
526202,2512,165,1333,69,1179,96
526301,2252,194,1200,90,1052,104
526302,2459,172,1296,74,1163,98
550900,675,64,371,32,304,32
551200,1397,129,791,72,606,57
551300,1290,121,706,65,584,56
551900,516,55,286,33,230,22
552000,1239,110,735,60,504,50
552100,359,28,215,18,144,10
552200,479,38,280,21,199,17
552300,893,74,503,44,390,30
552400,1397,148,764,77,633,71
560400,497,35,304,21,193,14
560500,983,34,548,18,435,16
560600,401,24,232,15,169,9
561000,466,29,247,12,219,17
561100,340,17,196,8,144,9
561200,425,38,239,20,186,18
561400,1625,151,1003,85,622,66
561500,1097,95,660,57,437,38
561600,961,66,547,34,414,32
561700,303,21,157,13,146,8
561900,848,80,502,49,346,31
562000,776,49,404,26,372,23
562300,1335,112,775,66,560,46
562400,1094,78,626,42,468,36
562500,976,77,552,40,424,37
562600,1024,72,545,30,479,42
562700,448,21,241,13,207,8
562800,622,55,332,32,290,23
562900,816,57,463,32,353,25
563000,1159,95,669,49,490,46
563100,1867,122,992,67,875,55
563200,700,39,359,19,341,20
563300,887,29,462,11,425,18
563800,1845,106,998,46,847,60
563900,1963,153,1094,78,869,75
564000,1625,97,874,58,751,39
564100,517,27,261,7,256,20
564200,991,99,539,56,452,43
564400,2797,269,1529,138,1268,131
564500,806,79,440,45,366,34
980000,4,1,3,1,1,0
980100,7,0,6,0,1,0
980700,9,0,5,0,4,0
