objectid(long),id_three_zero_five_b,cyclevalue(long),namevalue,locationvalue,nhdbasin(long),acres(double precision),aquaticlife,recreation,fishconsumption,drinkingwatersupply,impaired,shape_area(double precision),shape_length(double precision)
103,CT6000-00-5+L4_01,2012,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.",1100005,346.29,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,15084482.8284302,69430.8367148112
104,CT6000-88-1-L1_01,2012,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",1100005,4.02,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,175247.794189453,1855.56413565994
105,CT6914-06-1-L1_01,2460,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",1100005,100.3,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,4369071.7041626,19245.3777138373
107,CT4300-00-5+L5_01,2012,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,1080207,214.44,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,9341263.7723999,60317.9244968144
110,CT4308-00-1-L2_01,2012,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,1080207,385.75,Fully Supporting,Fully Supporting,Not Supporting,Fully Supporting,Yes,16803189.2424316,52352.7224736564
115,CT4500-00-3-L3_01,2012,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,1080205,49.9,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,2173456.36401367,8614.07142330482
117,CT4707-00-2-L2_01,2012,Gay City Pond (Hebron),Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,1080205,5.14,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,223781.077392578,2790.65186705454
118,CT4401-00-1-L1_01,2936,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,1080205,145.49,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,6337717.80187988,11945.7822982541
123,CT5111-09-2-L3_01,2012,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,1100004,9.39,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,409075.181762695,4211.48706473134
125,CT4709-04-1-L1_01,2472,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",1080205,502.28,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,21879476.708252,31556.9655711367
126,CT4601-00-1-L2_01,2987,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",1080205,140.58,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,6123651.40002441,19689.5237317629
129,CT4710-06-1-L1_01,2012,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir",1080205,82.11,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3576632.83843994,14161.952164617
131,CT4013-05-1-L1_01,2012,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",1080205,30.96,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,1348373.05950928,11255.5418040463
132,CT4607-10-1-L1_01,2442,Beseck Lake (Middlefield),East central Middlefield.,1080205,112.83,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,4914699.51251221,12942.445154837
144,CT3805-00-3-L6_01,2012,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",1100002,77.15,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,3360761.06787109,12713.7080777554
149,CT5202-00-1-L3_01,2601,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River",1100004,10.68,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,465258.132019043,4528.27458217864
150,CT4607-00-UL_pond_01,2012,Wadsworth Falls Park Pond (Middletown),"Small pond within Wadsworth Falls State Park, between mouths of Laurel Brook and Wadsworth Brook, Middlefield.",1080205,1.37,Not Assessed,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,Yes,59807.0780639648,966.014095373398
151,CT3900-00-UL_pond_01,2012,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",1100003,0.58,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,25247.1849975586,812.441000152715
154,CT3800-00-6+L3_01,2012,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",1100002,14.3,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,622674.853637695,3909.72429641666
155,CT4009-00-2-L4_01,2012,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",1080205,9.35,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,407170.603149414,3554.73329429429
157,CT3207-16-1-L1_01,2012,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield",1100002,6.05,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,263646.824890137,2833.0142623508
158,CT6000-00-5+L1_01,2012,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",1100005,1594.85,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,70562246.552124,190484.378351044
182,CT3106-06-1-L2_01,2012,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)",1100002,2.63,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,114672.52923584,1335.89294512298
