OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,OFFSET_FT,LEGAL_DESCR,ADMIN_ST,GlobalID,Shape_Length
78,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{A980C1C0-C318-4B05-B138-D19395E8B871},16.9725394514589
79,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{2780D056-37DE-442C-B8F1-3B1F3EEDEF09},9935.14554893769
80,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{47CFFA8A-CA2C-49D5-B15D-D59A3ACD8C12},327.351295386126
82,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{F6BE5E07-E5AD-4574-A7FA-F2412796F70A},146.598871909301
84,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{4BB78AD3-487F-4C2F-93B4-4007DD2E0D20},146.598871909301
86,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{98F0A525-0A77-4F1D-839E-B83C25BACB55},11502.5953873051
87,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{6DBB1BFE-B4E3-4DE5-A95D-76341BB2A2C2},87830.882765912
88,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{742E6EAB-7868-454E-B760-D6B0710AE5E6},3580.9136372372
91,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{5FACCADB-5393-4C91-9D8C-01011909159E},1287.2195680614
92,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{04FB3002-1468-43D6-97EF-4DA5E51EDE45},84.8088919958854
93,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{9A66BA32-B0B1-41B8-822C-257944D5ED8B},55532.4737804627
97,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{4B29AD53-1778-4D06-819F-A257E08A599A},15976.0727744851
98,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{13DEC41E-F42C-434C-9287-8C6A950344F8},1.85502999136082
99,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{D03F7A98-BDC3-4440-9E9D-AC3ACA6D335F},1987.14728411853
100,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{9F12A1C9-0DD9-4D04-A229-888A6BB632A3},7311.14298025886
101,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{EED27668-62D1-4D51-A3CF-422197CA80F7},105.823234309396
102,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{B9B2BCD4-1E51-40D7-951C-9D09DA28B3E9},8147.81151635662
103,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{92F6AED1-646B-46FE-8C27-CE512F407641},1583.17696411726
104,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{0A43A1AB-B1FE-4510-93E9-BF18AE4BAA60},171.325384277854
105,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{2F3852D6-1336-4976-8D54-C2D930BC40BC},272.956131760552
106,UNK,,UNK,,-1,0,,UT,{A562E0FA-C452-4A68-8C40-2EA299FA1A65},345.204188748226
107,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{87A7DFAA-04C7-4801-93A8-0258C5CED925},175.245198993903
108,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{17918219-A062-44A3-9309-E3F8BD2949A2},18423.9412044659
109,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{E705D85C-1CBC-415B-B6F2-A118DD700D3D},7187.44716978136
110,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{09CD9922-1071-4F95-BAB8-E552F30DF10A},13791.6410941444
111,UNK,,UNK,,-1,0,,UT,{D3CF6E6A-93A2-45A8-9034-7BE9BEA4A284},3671.08179669812
112,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{6E471E28-86C1-44C6-B722-2A02E1DCCE83},8379.71279641272
113,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{897332EE-2294-4D84-9972-61C781A1C9EC},2255.48812284877
114,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{0A3248DB-6FF1-4310-B369-E1BBF55BFA2F},2060.0485810113
115,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{24FB5276-C4AF-4070-BC12-49C2AA0B6C05},7349.16995400388
116,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{846B1145-2655-465C-A4BB-1569A4267274},3953.28325955522
117,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{0997B560-6FA0-4C89-B7D5-D329FB10EF60},3416.78916552516
118,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{EDB44047-BD4D-4FD8-88CF-702E86335B6A},159.174402291653
119,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{8958AEBB-2021-4992-BF1F-D50DEFAAA049},20675.9033934194
120,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{3D245A6C-36A5-4EB5-B9B4-1689F97330E5},6052.67126138993
121,UNK,,UNK,,-1,0,,UT,{6A163B5C-A91C-4F0F-993C-E267105E137B},66.8836256497057
122,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{BB93F39D-F6FE-4E76-B3B1-094EC855593C},1269.96507798948
123,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{560A4F94-88B0-4979-9228-1EBF68B69B82},177.58284534623
124,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{E6575631-7A16-489F-AFBC-B1661F23C8F0},1749.6615585653
125,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{E9F98668-410A-451E-990C-52BBB2E6A469},405.639471973674
126,UNK,,UNK,,-1,0,,UT,{7CC39C09-C9AC-4425-BBA7-08333E342CFD},2125.34787129181
127,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{2BD50F23-9A53-47F4-BAC8-E9102F615B70},582.240629389664
128,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{983859F0-2FE1-4902-B22B-9C28191F0788},5140.97800369306
129,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{583A19F1-5CFD-4AA7-A88A-CBA3568E8995},4007.7482531637
130,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{B320B720-CFCB-4E23-9C99-DF3DA6B026EC},648.610358315696
131,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{6B78E4B4-FF8D-4D73-809A-B00746C9FA4B},6058.64980212601
132,UNK,,UNK,,-1,0,,UT,{69350C02-AB3E-490B-8825-E506ACE6B2B5},888.025990506849
133,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{18F927EB-20FF-4449-AE38-B286B41E5CF2},42055.5484420667
134,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{21786E0E-B318-4336-8B77-C5B6B1A6B948},2385.27975147599
135,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{6DF86F48-B2E5-4A8D-A450-D024F9D6391E},595.954573647058
136,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{17AA25E3-5FA5-48C5-A27A-9A2A1C4A0BBA},41388.156962201
137,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{833BA56A-1F63-4894-9467-5C676959744F},43605.4576009485
138,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{FF052436-D24C-4286-8A0A-3E3D241269BE},1328.8576767438
139,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{EAE16F5B-5BE3-4B8B-B75A-DFFCDC7EC17D},10124.0087575354
140,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{C4E8A33C-C6D2-46E9-B593-14BB2CEB2783},704.566727239332
