319.boardpresident,Kylse Jones,Kyles Jones
515.websiteurl,www.collegiatehasll.org,www.collegiatehall.org
505.superintendent,Phillip Ratycliff,Phillip Ratcliff
441.address,201c South Division,201 South Division
305.districtname,EUFAULAl                       ,EUFAULA                       
41.websiteurl,www.hydreoakly.k12.ok.us,www.hydroeakly.k12.ok.us
479.fax,(918) 427-128j8,(918) 427-1288
231.fax,(580) 569-2405,(580) 569-4205
353.code,55I-007,55-I007
458.superintendent,Donna Capmo,Donna Campo
538.superintendentsemail,vwvincent@dewek12.org,vwvincent@deweyk12.org
418.websiteurl,http://www.indianola.k2.ok.us/,http://www.indianola.k12.ok.us/
243.countyname,E FLORE    ,LE FLORE    
214.statevalue,KO,OK
50.phone,(405) 463-2336,(405) 643-2336
468.websiteurl,www.bowlegs.k12.ok.uss,www.bowlegs.k12.ok.us
487.countyname,SEQUOAH    ,SEQUOYAH    
414.code,61-I002***,61-I002
203.boardpresident,Braya nWalker,Brayan Walker
535.districtname,WAGONER                      ,WAGONER                       
502.websiteurl,tyroen@tyrone.k12.ok.us,tyrone@tyrone.k12.ok.us
253.boardpresident,J. L.H enry,J. L. Henry
171.superintendentsemail,msparks@pioneerk8.k12.ok.su,msparks@pioneerk8.k12.ok.us
358.boardpresident,immie Nolen,Jimmie Nolen
356.statevalue,OuK,OK
498.websiteurl,http://www.yrabrough.k12.ok.us,http://www.yarbrough.k12.ok.us
88.address,208 North Second Strenet,208 North Second Street
76.superintendent,John qCox,John Cox
113.code,17z-I101,17-I101
454.superintendentsemail,creed@sweetwater.k1.2ok.us,creed@sweetwater.k12.ok.us
189.superintendentsemail,dspradlin@buffaloschojol.net,dspradlin@buffaloschool.net
30.districtname,GEARY                         ***,GEARY                         
541.address,708 E. Wsahington,708 E. Washington
393.districtname,COMMERCE                      ***,COMMERCE                      
142.city,Jary,Jay
331.superintendent,Stiles iMchelle,Stiles Michelle
446.superintendent,Charles Caupghern Jr.,Charles Caughern Jr.
334.statevalue,KO,OK
309.superintendentsemail,gary.jones@sulphurk1.org,gary.jones@sulphurk12.org
198.code,3-I048,32-I048
161.statevalue,K,OK
535.websiteurl,www.agonerps.org,www.wagonerps.org
531.code,72-Ie013,72-I013
65.websiteurl,www.ploainview.k12.ok.us,www.plainview.k12.ok.us
186.districtname,HOLLIS                     b   ,HOLLIS                        
85.address,604 N. 7Th S.t,604 N. 7Th St.
541.superintendentsemail,jgoostdree@sentinel.k12.ok.us,jgoostree@sentinel.k12.ok.us
263.statevalue,KO,OK
413.websiteurl,http://www.ahrtshorne.k12.ok.us/,http://www.hartshorne.k12.ok.us/
261.fax,(450) 865-2345,(405) 865-2345
552.superintendent,Grnat Ralls,Grant Ralls
540.countyname,WASHINGTNO  ,WASHINGTON  
256.address,17 Broadway,417 Broadway
177.districtname,RIDGE CREEK                  ,BRIDGE CREEK                  
186.phone,(580) 6883-450,(580) 688-3450
376.statevalue,KO,OK
275.boardpresident,Mik eMathis,Mike Mathis
399.boardpresident,Danny ard,Danny Ward
187.countyname,HRAPER      ,HARPER      
325.statevalue,OtK,OK
349.city,War Acres,Warr Acres
28.districtname,OKEENE                       ,OKEENE                        
61.fax,(405) 8932409,(405) 893-2409
278.address,7960 Wemst 490,7960 West 490
10.superintendent,Geary Borwn,Geary Brown
254.countyname,LINCLON     ,LINCOLN     
23.fax,(580) 778-179,(580) 778-3179
181.boardpresident,Travis Jnatzen,Travis Jantzen
522.code,7m2-I003,72-I003
208.city,Wuarika,Waurika
530.boardpresident,aPt Vanatta,Pat Vanatta
45.boardpresident,Charlotnte Myers,Charlotte Myers
238.websiteurl,http://www.ohdgen.k12.ok.us/,http://www.hodgen.k12.ok.us/
83.phone,(918) 207-490,(918) 207-4900
29.countyname,BLAINE     ,BLAINE      
509.city,hSand Springs,Sand Springs
342.code,55-E0c10,55-E010
198.superintendent,Trais Graham,Travis Graham
412.statevalue,KO,OK
144.countyname,DELAWARE  k  ,DELAWARE    
25.statevalue,K,OK
372.address,1201 est Ninth Street,1201 West Ninth Street
494.superintendentsemail,bnewton@central.zk12.ok.us,bnewton@central.k12.ok.us
487.boardpresident,Dhavid Slaughter,David Slaughter
160.districtname,COVINGTON-DOUGLAS            h ,COVINGTON-DOUGLAS             
192.superintendent,Monty Gutehrie,Monty Guthrie
457.statevalue,KO,OK
473.superintendent,Kolby Joahnson,Kolby Johnson
211.boardpresident,Kathy Caswtleberry,Kathy Castleberry
489.phone,(580) 25-50686,(580) 255-0686
412.code,61E020,61-E020
182.websiteurl,http://www.pondcrek-hunter.k12.ok.us/,http://www.pondcreek-hunter.k12.ok.us/
187.superintendent,Eddie Thomoas,Eddie Thomas
255.city,Chandelr,Chandler
394.countyname,OTTAWA      ***,OTTAWA      
384.fax,(91i8) 847-3029,(918) 847-3029
259.phone,(405) 788-4540***,(405) 788-4540
80.statevalue,OgK,OK
173.code,26-002,26-I002
464.countyname,ROGERS     ,ROGERS      
539.superintendentsemail,rpeters@caneyvalleycshool.org,rpeters@caneyvalleyschool.org
58.phone,(405) 262-1073,(405) 262-1703
360.superintendent,Drew Eichelbeger,Drew Eichelberger
489.superintendentsemail,melonie.hua@duncanps.org,melonie.hau@duncanps.org
264.code,4w2-I002,42-I002
186.fax,(580)688-2532,(580) 688-2532
83.address,16951 W Cherokee iSt,16951 W Cherokee St
175.boardpresident,To mKetchum,Tom Ketchum
65.code,10I027,10-I027
486.fax,(198) 489-5664,(918) 489-5664
373.countyname,OKMULGEE    ***,OKMULGEE    
85.countyname,CHOCTAW   h  ,CHOCTAW     
105.statevalue,K,OK
180.statevalue,K,OK
503.statevalue,OuK,OK
346.countyname,OlKLAHOMA    ,OKLAHOMA    
508.statevalue,pOK,OK
338.phone,(405) 75-6400,(405) 475-6400
170.fax,(405) 485-3024,(405) 485-3204
132.superintendentsemail,rarmstrongb@sapulpaps.org,rarmstrong@sapulpaps.org
378.districtname,BOWRNIG                       ,BOWRING                       
475.city,Oklahomag City,Oklahoma City
517.countyname,TULSA       ***,TULSA       
512.superintendent,Carlisha iWlliams,Carlisha Williams
220.phone,(580) i628-3597,(580) 628-3597
298.countyname,MkCCURTAIN   ,MCCURTAIN   
45.superintendentsemail,dschnpeberger@apacheps.org,dschneberger@apacheps.org
198.city,Clvin,Calvin
354.fax,(405) 399-w9212,(405) 399-9212
357.superintendentsemail,joe.kitchens@westernehights.k12.ok.us,joe.kitchens@westernheights.k12.ok.us
17.statevalue,KO,OK
275.phone,(580) 795-3330,(580) 795-3303
320.districtname,WARNER d                       ,WARNER                        
27.countyname,BECKHA     ,BECKHAM     
396.countyname,OTTAWA      ***,OTTAWA      
23.superintendent,Keith rCuster,Keith Custer
259.websiteurl,www.meetker.k12.ok.us,www.meeker.k12.ok.us
151.boardpresident,xRocky West,Rocky West
45.address,522e East Floyd Street,522 East Floyd Street
461.city,Inoola,Inola
335.countyname,OKmLAHOMA    ,OKLAHOMA    
166.boardpresident,Katie Jhonson,Katie Johnson
110.superintendentsemail,nmearz@elginps.net,nmeraz@elginps.net
192.address,309 Northwfest E Street,309 Northwest E Street
81.statevalue,K,OK
527.address,400 West Mai Street,400 West Main Street
203.phone,(580) 6482243,(580) 648-2243
295.fax,(58q0) 286-8276,(580) 286-8276
204.superintendentsemail,smith@blairschool.org,jsmith@blairschool.org
128.address,4600 Wes t151St Street,4600 West 151St Street
471.boardpresident,J. P. Dvuall,J. P. Duvall
379.districtname,AVANT                         ***,AVANT                         
384.code,57-I0x29,57-I029
196.statevalue,lOK,OK
229.boardpresident,cSott Keesee,Scott Keesee
184.city,Mangm,Mangum
481.boardpresident,Frank Sullipvan,Frank Sullivan
253.statevalue,OtK,OK
518.superintendent,Deborah Bropwn,Deborah Brown
305.superintendentsemail,jfsmith@eufaula.k12d.ok.us,jfsmith@eufaula.k12.ok.us
527.districtname,SPERRY d                       ,SPERRY                        
284.websiteurl,http://www.negwcastle.k12.ok.us,http://www.newcastle.k12.ok.us
357.boardpresident,Robert Evrman,Robert Everman
23.countyname,BEAVE      ,BEAVER      
155.address,305 Utha,305 Utah
198.phone,4(05) 645-2411,(405) 645-2411
359.websiteurl,www.rookedoak.org,www.crookedoak.org
504.superintendent,To Schroeder,Tom Schroeder
323.statevalue,KO,OK
191.address,Jct Hw 2 & 31,Jct Hwy 2 & 31
525.websiteurl,www.collinsville.k12.ok.us***,www.collinsville.k12.ok.us
374.superintendentsemail,acallahan@schulter.1k2.ok.us,acallahan@schulter.k12.ok.us
383.websiteurl,www.shidlerpublicschools.cmo,www.shidlerpublicschools.com
304.boardpresident,AbeMcintosh,Abe Mcintosh
85.code,12-I00d1,12-I001
430.fax,(405) 273-3768,(405) 273-7368
505.boardpresident,Vicki Siknner,Vicki Skinner
385.statevalue,K,OK
486.city,Groe,Gore
219.city,Pona City,Ponca City
36.countyname,BRYAqN       ,BRYAN       
97.fax,(405) 759-2929,(405) 579-2929
85.superintendent,Keithy Edge,Keith Edge
369.address,31 E. 8Th Street ,316 E. 8Th Street 
434.statevalue,K,OK
276.boardpresident,Randy Arnyeson,Randy Arneson
552.fax,(k) -,() -
50.fax,(405) 6432547,(405) 643-2547
273.websiteurl,httpz://www.fairviewschools.net/,http://www.fairviewschools.net/
308.statevalue,KO,OK
48.phone,(405) 489-3126,(405) 489-3216
334.code,54-I05d4,54-I054
144.statevalue,K,OK
403.websiteurl,http://www.p-t.k12.o.us/,http://www.p-t.k12.ok.us/
336.websiteurl,www.crutchoesdm.org,www.crutchoesd.org
63.websiteurl,www.ardmoureschools.org,www.ardmoreschools.org
159.districtname,DRUMMOND            z          ,DRUMMOND                      
174.superintendent,ToddBunch,Todd Bunch
52.websiteurl,ww.riversidenews.webs.com,www.riversidenews.webs.com
216.phone,(580) 362-2633***,(580) 362-2633
218.superintendentsemail,rriwggs@blackwell.k12.ok.us,rriggs@blackwell.k12.ok.us
417.superintendentsemail,shenderson@quvintonschools.com,shenderson@quintonschools.com
31.phone,(580) 886f-3516,(580) 886-3516
156.websiteurl,http://www.graber.k12.ok.us/,http://www.garber.k12.ok.us/
168.boardpresident,Tony Dais,Tony Davis
532.superintendent,Jnim Gilmartin,Jim Gilmartin
494.fax,(58)0 658-8006,(580) 658-8006
196.address,416 South Tier Street,416 South Tiger Street
450.code,6-I022,64-I022
212.city,Tgishomingo,Tishomingo
360.statevalue,bOK,OK
393.superintendent,Jimwmy Haynes,Jimmy Haynes
478.superintendentsemail,greynolds@brushy.1k2.ok.us,greynolds@brushy.k12.ok.us
2.countyname,tADAIR       ,ADAIR       
539.phone,(918) 536-2500***,(918) 536-2500
117.code,18-bI017,18-I017
112.fax,(580) 85-2831,(580) 875-2831
447.superintendentsemail,spillow@rattan.rk12.ok.us,spillow@rattan.k12.ok.us
345.superintendentsemail,al@pdoveschools.org,alp@doveschools.org
247.countyname,LE FLOREd    ,LE FLORE    
26.city,Syayre,Sayre
474.districtname,BUTNER                       ,BUTNER                        
526.boardpresident,Tim Alen,Tim Allen
465.superintendentsemail,cbryan@justice.k12.oku.s,cbryan@justice.k12.ok.us
291.address,1685 Old Broke Bow Hwy,1685 Old Broken Bow Hwy
114.countyname,COTTNO      ,COTTON      
79.boardpresident,Darryl Mahews,Darryl Mathews
371.countyname,OKMULGEE    ***,OKMULGEE    
547.websiteurl,www.freedom.k21.ok.us,www.freedom.k12.ok.us
2.superintendentsemail,lmens@maryetta.k12.ok.us,lmeans@maryetta.k12.ok.us
217.fax,(508) 362-2811,(580) 362-2811
251.statevalue,OnK,OK
155.websiteurl,www.chisholm.k12.ok.us***,www.chisholm.k12.ok.us
380.districtname,zANDERSON                      ,ANDERSON                      
31.districtname,ANTON                        ,CANTON                        
85.websiteurl,www.bosweellschools.org,www.boswellschools.org
452.districtname,REYDON                       ,REYDON                        
292.districtname,GLOVER b                       ,GLOVER                        
13.address,601 N.l Main,601 N. Main
63.countyname,CARTER k     ,CARTER      
70.phone,(580) 23-3624,(580) 223-3624
23.boardpresident,Jhon Moses,John Moses
87.city,Spoer,Soper
140.address,48625 South 502 Rod,48625 South 502 Road
21.superintendent,Rogr Mendell,Roger Mendell
394.superintendentsemail,jhogan@mpswardogs.cm,jhogan@mpswardogs.com
57.boardpresident,Sjuzanne Cannon,Suzanne Cannon
517.districtname,DOVE SCHOOLS OF TULSA         ***,DOVE SCHOOLS OF TULSA         
98.city,Coalgae,Coalgate
476.districtname,LIBERTY                      ,LIBERTY                       
459.superintendentsemail,irmcspadden@chelseadragons.net,rmcspadden@chelseadragons.net
307.address,316 South Pinie,316 South Pine
335.code,55-C0x29,55-C029
252.address,21444 E.N. Railroad Strete,21444 E.N. Railroad Street
250.districtname,TALIHINA                      ***,TALIHINA                      
515.fax,(198) 925-1629,(918) 925-1629
490.phone,(580) 43v9-2900,(580) 439-2900
283.address,521 Northu Mccracken,521 North Mccracken
125.statevalue,KO,OK
403.phone,(405) 457-5703,(405) 547-5703
67.districtname,WLSON                        ,WILSON                        
460.address,10700 South Hwyq 169,10700 South Hwy 169
284.fax,(405)387-3482,(405) 387-3482
340.phone,(40) 606-8742,(405) 606-8742
196.countyname,HUGHES     ,HUGHES      
313.boardpresident,Larry Sad,Larry Sand
525.districtname,COLLINSVILLE                  ***,COLLINSVILLE                  
53.websiteurl,www.abnner.k12.ok.us,www.banner.k12.ok.us
382.websiteurl,www.pawhuskpadistrict.org,www.pawhuskadistrict.org
71.city,Fx,Fox
430.boardpresident,Ricey Gowin,Rickey Gowin
441.websiteurl,www.asher.tk12.ok.us,www.asher.k12.ok.us
56.address,713q Piedmont Road North,713 Piedmont Road North
438.countyname,POTTAWATOIME,POTTAWATOMIE
513.superintendentsemail,cvanacore@collegeboundschoolj.org,cvanacore@collegeboundschool.org
15.superintendent,Roland Smiht,Roland Smith
20.superintendent,ScottKinsey,Scott Kinsey
385.city,zWynona,Wynona
177.city,Blancvhard,Blanchard
69.fax,(580) 673-2398,(580) 673-2389
242.districtname,OCOLA                        ,POCOLA                        
403.code,60-I05w6,60-I056
149.countyname,EDWEY       ,DEWEY       
196.city,Weumka,Wetumka
310.websiteurl,www.davisowlves.org,www.daviswolves.org
173.city,Mino,Minco
130.countyname,CREErK       ,CREEK       
22.code,0-4I123,04-I123
48.superintendentsemail,ddavidson@cement.k12.ok.su,ddavidson@cement.k12.ok.us
228.fax,(580) 7262-855,(580) 726-2855
526.countyname,ULSA       ,TULSA       
218.address,210 East Blackwell Avenue,201 East Blackwell Avenue
87.websiteurl,http://www.soprerschools.com/,http://www.soperschools.com/
38.statevalue,KO,OK
49.city,Hintn,Hinton
62.superintendent,Ryan Cloe,Ryan Cole
25.fax,(580) 2c25-8644,(580) 225-8644
425.code,62-I106,62-I016
176.boardpresident,Eddie Rathbkun,Eddie Rathbun
329.city,Okedmah,Okemah
84.fax,(580) n873-9493,(580) 873-9493
494.code,69-034,69-I034
381.city,Ponbca City,Ponca City
89.countyname,CIMARRON    ***,CIMARRON    
127.phone,(918) 352-9657,(918) 352-9567
63.superintendent,Kim olland,Kim Holland
216.address,7175 West Schol Street,7175 West School Street
530.fax,(918) 272-811,(918) 272-8111
272.phone,(580) 463t-2255,(580) 463-2255
144.phone,(918) 886-2562,(918) 868-2562
377.superintendentsemail,principal@osagethills.k12.ok.us,principal@osagehills.k12.ok.us
219.superintendentsemail,matlos@pcps.ujs,matlos@pcps.us
94.countyname,CfLEVELAND   ,CLEVELAND   
459.address,401 Redbud Laen,401 Redbud Lane
344.code,55-021,55-E021
402.address,3r14 South Lewis Street,314 South Lewis Street
200.address,15695 South County Road2 10,15695 South County Road 210
289.city,Blachard,Blanchard
182.code,2-7I090,27-I090
133.boardpresident,Anthpony Sylvester,Anthony Sylvester
146.address,3c57 W. Main,357 W. Main
365.fax,(40) 259-8332,(405) 259-8332
272.address,301 Easst Ash,301 East Ash
345.superintendent,mit Alpaslan,Umit Alpaslan
296.city,Haworvth,Haworth
193.superintendentsemail,deward.palmer@mccurtainchools.org,deward.palmer@mccurtainschools.org
243.superintendent,Bil Neyman,Bill Neyman
543.superintendent,Larry Parish,Larry Parrish
522.phone,(918)259-5700,(918) 259-5700
361.superintendentsemail,aalora@oekcps.org,aalora@okcps.org
245.districtname,PANAMA                       ,PANAMA                        
345.phone,(l405) 605-0201,(405) 605-0201
138.fax,(918) 256-2182,(918) 256-2128
470.address,116G ross Street,116 Gross Street
10.code,0-1I030,01-I030
138.districtname,CLEOR                        ,CLEORA                        
247.superintendentsemail,gralls@bokoshe.k12.o.kus,gralls@bokoshe.k12.ok.us
273.superintendentsemail,craig.church@fairviewschosols.net,craig.church@fairviewschools.net
149.districtname,TALOGA                      y  ,TALOGA                        
48.superintendent,Davdi Davidson,David Davidson
1.statevalue,KO,OK
496.address,107 E Th St.,107 E 5Th St.
485.statevalue,K,OK
315.phone,(918)d 687-7556,(918) 687-7556
203.statevalue,sOK,OK
13.websiteurl,www.tlake.k12.o.kus,www.tlake.k12.ok.us
339.address,1508f Nw 106Th,1508 Nw 106Th
93.statevalue,KO,OK
137.boardpresident,"Floyd mSimon, Jr.","Floyd Simon, Jr."
266.superintendentsemail,JSUMRALL@colye.k12.ok.us,JSUMRALL@coyle.k12.ok.us
369.phone,(918)7 58-2000,(918) 758-2000
398.websiteurl,http://www.pawnee.k12.okus/,http://www.pawnee.k12.ok.us/
103.boardpresident,arol Haney,Karol Haney
350.phone,(405) 77-3233,(405) 277-3233
169.superintendent,Jaso Brittain,Jason Brittain
164.phone,p(405) 867-5595,(405) 867-5595
493.statevalue,K,OK
173.superintendentsemail,ksims@imnco.k12.ok.us,ksims@minco.k12.ok.us
502.districtname,TYRONE            v            ,TYRONE                        
234.superintendent,Justin Kenedy,Justin Kennedy
402.superintendent,Marc Mooer,Marc Moore
262.districtname,AGR A                         ,AGRA                          
91.districtname,KEYES                   g      ,KEYES                         
306.city,Checoath,Checotah
514.boardpresident,Kkian Kamas,Kian Kamas
206.fax,(580)l 757-2609,(580) 757-2609
245.superintendent,Grant Raulls,Grant Ralls
192.phone,(198) 967-2805,(918) 967-2805
42.superintendentsemail,mdavislsps16@gmail.om,mdavislsps16@gmail.com
461.statevalue,OuK,OK
21.superintendentsemail,rmendwell@balko.k12.ok.us,rmendell@balko.k12.ok.us
104.address,g307 Chebahtah,307 Chebahtah
513.address,2525 S 101St Eats Avenue,2525 S 101St East Avenue
46.city,Ciyril,Cyril
112.countyname,COTTON     ,COTTON      
1.websiteurl,http://www.peavinepanther.snet/,http://www.peavinepanthers.net/
260.city,Praguqe,Prague
33.address,200 Eas tSteakley Street,200 East Steakley Street
127.websiteurl,httpt://www.olive.k12.ok.us,http://www.olive.k12.ok.us
216.websiteurl,www.peckha.k12.ok.us,www.peckham.k12.ok.us
390.fax,(918) 7864902,(918) 786-4902
262.countyname,LINCOLN   v  ,LINCOLN     
360.websiteurl,http://www.betahnyschools.com,http://www.bethanyschools.com
451.city,Leeddey,Leedey
452.superintendentsemail,pdrouhard@reydon.kg12.ok.us,pdrouhard@reydon.k12.ok.us
106.superintendent,Kent Lemofns,Kent Lemons
532.statevalue,zOK,OK
169.fax,(405) 222-5v416,(405) 222-5416
345.districtname,OKC CHARTER: DOVE SCIkENCE ACAD,OKC CHARTER: DOVE SCIENCE ACAD
360.phone,4(05) 789-3801,(405) 789-3801
207.websiteurl,http://www.rignling.k12.ok.us/,http://www.ringling.k12.ok.us/
178.websiteurl,wwwtuttleschools.info,www.tuttleschools.info
387.superintendentsemail,tscullyp@rue.k12.ok.us,tscully@prue.k12.ok.us
338.superintendent,Janet Girgg,Janet Grigg
414.statevalue,kOK,OK
274.statevalue,K,OK
124.fax,(918) 367-5884,(918) 367-5848
99.city,Colgate,Coalgate
27.boardpresident,Bady Greer,Brady Greer
476.websiteurl,www.liberty.seq.k12.k.us,www.liberty.seq.k12.ok.us
207.city,Rngling,Ringling
366.phone,(918) 9773-285,(918) 977-3285
38.superintendentsemail,tgparks@caleraisd.k12.ok.us,gparks@caleraisd.k12.ok.us
195.fax,(405) 739-2333,(405) 379-2333
133.code,1x9-I039,19-I039
356.code,55-Ij037,55-I037
36.boardpresident,Steev Kelso,Steve Kelso
160.code,2r4-I094,24-I094
347.superintendent,Joseph Pierec,Joseph Pierce
281.superintendentsemail,thomas@salinawildcats.org,tthomas@salinawildcats.org
432.countyname,PiOTTAWATOMIE,POTTAWATOMIE
488.statevalue,KO,OK
409.statevalue,hOK,OK
29.address,1200 yEagle Lane,1200 Eagle Lane
522.fax,(9m18) 258-0399,(918) 258-0399
204.address,610 Zin nStreet,610 Zinn Street
418.phone,(918) 82h3-4231,(918) 823-4231
310.statevalue,K,OK
117.superintendent,R. Clark Mgckeon,R. Clark Mckeon
540.city,Bartlesiville,Bartlesville
9.districtname,STILWELL                      ***,STILWELL                      
9.address,1801 Wsest Locust Street,1801 West Locust Street
210.phone,(580 371-9163,(580) 371-9163
509.countyname,TULSA   f    ,TULSA       
386.phone,(918) 885g-6511,(918) 885-6511
229.phone,(58p0) 846-9091,(580) 846-9091
41.code,l08-I011,08-I011
175.code,2-6I056,26-I056
452.city,Reydn,Reydon
498.code,07-I001,70-I001
16.websiteurl,www.stringtown.k12.ok.us***,www.stringtown.k12.ok.us
46.superintendent,Jamie Mitchell***,Jamie Mitchell
292.superintendentsemail,tstuart@glover.k12.o.kus,tstuart@glover.k12.ok.us
290.countyname,MCCURTANI   ,MCCURTAIN   
76.address,10821 Wests Hickory Ave.,10821 West Hickory Ave.
551.phone,(580) 66-2611,(580) 766-2611
181.statevalue,KO,OK
9.superintendent,Gei Gilstrap,Geri Gilstrap
513.boardpresident,JoeyWignarajah,Joey Wignarajah
380.superintendentsemail,kyounger@anderontrojans.org,kyounger@andersontrojans.org
532.code,72I-014,72-I014
492.code,69-Ih015,69-I015
268.city,Thaczkerville,Thackerville
518.superintendentsemail,dbrown@hdbcschool.org,dbrown@dbcschool.org
331.countyname,OKvFUSKEE    ,OKFUSKEE    
69.boardpresident,tOto Young,Otto Young
235.code,39-I040,39-I004
78.address,17210 Sout h569 Road,17210 South 569 Road
48.city,Clement,Cement
208.districtname,WAURIKA                       ***,WAURIKA                       
476.superintendent,Jgeff Ransom,Jeff Ransom
387.address,104 Broadwya,104 Broadway
168.countyname,GARVIN    g  ,GARVIN      
425.statevalue,KO,OK
154.superintendentsemail,pattonj@kremlin.k12.o.kus,pattonj@kremlin.k12.ok.us
278.districtname,OSAGE                        ,OSAGE                         
26.boardpresident,BandySilk,Bandy Silk
41.boardpresident,Winson Barnett,Winston Barnett
297.code,48-zI011,48-I011
250.superintendentsemail,jlockhart@talihina.ke12.ok.us,jlockhart@talihina.k12.ok.us
205.superintendent,qGreg Fouse,Greg Fouse
411.superintendent,hillip Rattan,Phillip Rattan
167.fax,(405) x665-5425,(405) 665-5425
323.address,11 North Central,311 North Central
57.code,09z-I027,09-I027
35.code,07-I04,07-I004
44.address,330 West Wildcat Dirve,330 West Wildcat Drive
286.boardpresident,aPul Moore,Paul Moore
205.city,Terarl,Terral
359.superintendent,Brad Rfichards,Brad Richards
81.websiteurl,http://www.hulbertriders.co/,http://www.hulbertriders.com/
379.websiteurl,www.avant.k12.okus,www.avant.k12.ok.us
268.districtname,THACKERVILLE     i             ,THACKERVILLE                  
123.city,uTlsa,Tulsa
287.address,212 SouthS eifried Street,212 South Seifried Street
73.fax,(981) 478-3833,(918) 478-3833
535.boardpresident,Brendra Barney,Brenda Barney
526.code,72I007,72-I007
233.boardpresident,Steve Brewr,Steve Brewer
4.websiteurl,www.bokosheschool.ogr,www.bokosheschool.org
68.superintendent,Taerry Shaw,Terry Shaw
231.city,Mt. Prak,Mt. Park
