Population_Served,Fiscal_Year,Outcomes,Number_of_people_served,Date,ObjectId
Individuals with Disabilities,16/17,Maintained or improved their ability to perform activities of daily life,145,2017/06/30 07:00:00+00,102
Individuals with Disabilities,16/17,Received home upgrades to improve resident quality of life,5,2017/06/30 07:00:00+00,103
Seniors,16/17,Increased knowledge about changes to Medicare & Insurance Programs,458,2017/06/30 07:00:00+00,104
Seniors,16/17,Improved overall health and well-being including decreasing social isolation,280,2017/06/30 07:00:00+00,105
Seniors,16/17,Maintained independent living status & increased access to community resources,201,2017/06/30 07:00:00+00,106
Seniors,16/17,Maintained independent living status & received quality home care services,40,2017/06/30 07:00:00+00,107
Youth,17/18,Participated in well-child literacy program,3516,2018/06/30 07:00:00+00,108
Youth,17/18,Improved resiliency and protective factors  related to suicide prevention,3665,2018/06/30 07:00:00+00,109
Youth,17/18,Achieved academic success in after school programs,1263,2018/06/30 07:00:00+00,110
Youth,17/18,Increased financial literacy,2733,2018/06/30 07:00:00+00,111
Youth,17/18,Demonstrated strong leadership skills,86,2018/06/30 07:00:00+00,112
Youth,17/18,Youth gained practical life skills & practiced healthy living,489,2018/06/30 07:00:00+00,113
Youth,17/18,Title I students prepared for school entry,229,2018/06/30 07:00:00+00,114
Youth,17/18,Improved parenting skills,21,2018/06/30 07:00:00+00,115
Youth,17/18,Increased knowledge about child abuse prevention,394,2018/06/30 07:00:00+00,116
Youth,17/18,Demonstrated reduction in negative behaviors,105,2018/06/30 07:00:00+00,117
Youth,17/18,Developed their own case management plan (homeless teens),46,2018/06/30 07:00:00+00,118
Youth,17/18,Youth remained in safe foster/adoptive homes,32,2018/06/30 07:00:00+00,119
Youth,17/18,Secured safe and stable housing to improve academic success (homeless teens),11,2018/06/30 07:00:00+00,120
Youth,17/18,Youth access counseling to build coping skills,1438,2018/06/30 07:00:00+00,121
Youth,17/18,Children up to age 12 receive emergency shelter,0,2018/06/30 07:00:00+00,122
Youth,17/18,Unsheltered LGBTQ Youth received therapeutic services,37,2018/06/30 07:00:00+00,123
Youth,17/18,Demonstrated improved leadership and academic skills,406,2018/06/30 07:00:00+00,124
Youth,17/18,Increased physical activity and knowledge of health by youth with intellectual disabilities,1153,2018/06/30 07:00:00+00,125
Homeless,17/18,Prevented homelessness - avoiding eviction and utility cancellation,6137,2018/06/30 07:00:00+00,126
Homeless,17/18,Took steps to address their substance abuse or mental health issues beyond crisis,1429,2018/06/30 07:00:00+00,127
Homeless,17/18,Created an action plan to end homelessness,397,2018/06/30 07:00:00+00,128
Homeless,17/18,Received on-site supportive services designed to reduce homelessness,714,2018/06/30 07:00:00+00,129
Homeless,17/18,Increased their level of self sufficiency including employment,43,2018/06/30 07:00:00+00,130
Homeless,17/18,Increased general health through comprehensive healthcare,978,2018/06/30 07:00:00+00,131
Homeless,17/18,Achieved permanent housing,9,2018/06/30 07:00:00+00,132
Homeless,17/18,Acquired parenting skills training & education,18,2018/06/30 07:00:00+00,133
Homeless,17/18,"Developed monthly budget, addressed credit issues & established savings accounts",60,2018/06/30 07:00:00+00,134
Working Poor,18/19,Free medical/health legal services,220,2019/06/30 07:00:00+00,135
Working Poor,18/19,"Reliable transportation, financial coaching and workforce development",9,2019/06/30 07:00:00+00,136
Working Poor,18/19,"Financial coaching, credit counseling, homeownership counseling",464,2019/06/30 07:00:00+00,137
Working Poor,18/19,"Free tax preparation, financial education and community outreach",494,2019/06/30 07:00:00+00,138
Individuals with Disabilities,18/19,Supportive living program,123,2019/06/30 07:00:00+00,139
Individuals with Disabilities,18/19,Friendship and leadership for students with intellectual/developmental disabilities,168,2019/06/30 07:00:00+00,140
Individuals with Disabilities,18/19,Job training and skill development,124,2019/06/30 07:00:00+00,141
Individuals with Disabilities,18/19,Social and leadership skills ,105,2019/06/30 07:00:00+00,142
Individuals with Disabilities,18/19,"Music Therapy for youth with autism spectrum disorder, down syndrome and developmental disabilities",295,2019/06/30 07:00:00+00,143
Individuals with Disabilities,18/19,"Independent living skills, safety, and community",4,2019/06/30 07:00:00+00,144
Domestic Violence,18/19,Crisis shelter and services,53,2019/06/30 07:00:00+00,145
Homeless,19/20,Emergency shelter and support services - families,72,2020/06/30 07:00:00+00,146
Homeless,19/20,Shelter and services,25,2020/06/30 07:00:00+00,147
Homeless,19/20,Shelter and services,119,2020/06/30 07:00:00+00,148
Homeless,19/20,Holistic healthcare and wrap-around services ,861,2020/06/30 07:00:00+00,149
Homeless,19/20,Mobile community outreach and behavioral health-related crisis services,1589,2020/06/30 07:00:00+00,150
Homeless,19/20,"Transitional housing for families who are homeless, working poor and/or have experienced domestic violence",19,2020/06/30 07:00:00+00,151
Homeless,19/20,Shelter/housing and wrap-around services for vulnerable women and their babies in Tempe,21,2020/06/30 07:00:00+00,152
Homeless,19/20,"Meals and food assistance, rent and utility assistance, weekly showers, haircare, clothing, assistance with obtaining Arizona identification and birth certificates, a job program",525,2020/06/30 07:00:00+00,153
Homeless,19/20,Emergency rent/mortgage and/or utility assistance,1650,2020/06/30 07:00:00+00,154
Homeless,19/20,"Rotating lodging program for homeless 
individuals 7 nights a week",461,2020/06/30 07:00:00+00,155
Homeless,19/20,"Provides rental assistance, utility assistance, food boxes, clothing, motel vouchers, emergency travel tickets and case management",3796,2020/06/30 07:00:00+00,156
Homeless,19/20,Access of permanent housing for youth,233,2020/06/30 07:00:00+00,157
Homeless,19/20,Obtain and maintain permanent housing - Families,74,2020/06/30 07:00:00+00,158
Homeless,19/20,"Permanent housing, income to support permanent housing, and selfsufficiency",48,2020/06/30 07:00:00+00,159
Homeless,19/20,Case management,31,2020/06/30 07:00:00+00,160
Youth,19/20,Supporting residents in their roles as parents and caregivers,252,2020/06/30 07:00:00+00,161
Youth,19/20,"Recruits, trains, licenses/certificates and monitors foster and adoptive homes",244,2020/06/30 07:00:00+00,162
Youth,19/20,"A residential group home for Gay, Bi-sexual, Transgender, Questioning and Ally youth",39,2020/06/30 07:00:00+00,163
Youth,19/20,a 24-hour free and confidential peer supported hotline and text line 365 days a year to prevent teen suicide,1296,2020/06/30 07:00:00+00,164
Youth,19/20,Provides the needed essentials for students,307,2020/06/30 07:00:00+00,165
Youth,19/20,One-to-one mentoring services in Tempe for youth ages 6-18,27,2020/06/30 07:00:00+00,166
Youth,19/20,"Academic success, good character & citizenship, and healthy lifestyles",1124,2020/06/30 07:00:00+00,167
Youth,19/20,Teach healthy emotional and social skills to children and families,108,2020/06/30 07:00:00+00,168
Youth,19/20,Support for loss of a loved one to suicide,1193,2020/06/30 07:00:00+00,169
Youth,19/20,Primary prevention program,69,2020/06/30 07:00:00+00,170
Youth,19/20,Financial literacy,522,2020/06/30 07:00:00+00,171
Youth,19/20,"Student, faculty and parent prevention programming",2229,2020/06/30 07:00:00+00,172
Youth,19/20,A positive youth development and leadership program,3571,2020/06/30 07:00:00+00,173
Youth,19/20,Prevention of sexual or teen dating violence,332,2020/06/30 07:00:00+00,174
Youth,19/20,Promotes early literacy and school readiness,2746,2020/06/30 07:00:00+00,175
Domestic Violence,19/20,"Crisis shelter, outpatient counseling, transitional housing, victim 
advocacy, legal advocacy, a crisis hotline, and an offender treatment 
program",37,2020/06/30 07:00:00+00,176
Domestic Violence,19/20,Safe shelter and supportive services for women and children ,64,2020/06/30 07:00:00+00,177
Domestic Violence,19/20,Safe shelter and supportive services for women and children ,14,2020/06/30 07:00:00+00,178
Working Poor,19/20,"Emergency food boxes, holiday food boxes and  Meals to Grow backpacks for Tempe High School Students",2205,2020/06/30 07:00:00+00,179
Working Poor,19/20,Healthy food and connecting  to resources,24326,2020/06/30 07:00:00+00,180
Working Poor,19/20,Food distribution network,833000,2020/06/30 07:00:00+00,181
Working Poor,19/20,Civil law services for low-income residents,121,2020/06/30 07:00:00+00,182
Working Poor,19/20,Information and referral services for health and human services,7966,2020/06/30 07:00:00+00,183
Working Poor,19/20,Free legal assistance to low-income patients,116,2020/06/30 07:00:00+00,184
Working Poor,19/20,"Financial coaching, credit counseling, homebuyer education/ homeownership counseling",139,2020/06/30 07:00:00+00,185
Working Poor,19/20,"Free tax preparation, asset development opportunities, financial education",27,2020/06/30 07:00:00+00,186
Seniors,19/20,"Alzheimer’s disease and related disorders, and family and friends who serve as caregivers and support",35,2020/06/30 07:00:00+00,187
Seniors,19/20,Non-medical home care and support service,111,2020/06/30 07:00:00+00,188
Seniors,19/20,Dementia Friendly Tempe,251,2020/06/30 07:00:00+00,189
Seniors,19/20,Suports Deaf seniors,93,2020/06/30 07:00:00+00,190
Seniors,19/20,"Social service support to economically, physically and emotionally vulnerable seniors as well as their caregivers",770,2020/06/30 07:00:00+00,191
Individuals with Disabilities,19/20,Children with severe Intellectual and Developmental Disabilities,12,2020/06/30 07:00:00+00,192
Individuals with Disabilities,19/20,"Assists residents in maintaining and enhancing independent living, safety, and community participation",1,2020/06/30 07:00:00+00,193
Individuals with Disabilities,19/20,Children in foster care,141,2020/06/30 07:00:00+00,194
Individuals with Disabilities,19/20,Friendship and leadership development for students with and without intellectual/developmental disabilities,200,2020/06/30 07:00:00+00,195
Individuals with Disabilities,19/20,"Day program of therapeutic recreation, nursing care and health monitoring, rehabilitative and social services for disabled, atrisk seniors and adults 18",148,2020/06/30 07:00:00+00,196
Individuals with Disabilities,19/20,"Music therapy groups for children and teens with autism spectrum disorder, down syndrome and developmental disabilities.",151,2020/06/30 07:00:00+00,197
Individuals with Disabilities,19/20,"Day program for adults, employment services, transportation, and a safe place for them to live",5,2020/06/30 07:00:00+00,198
Individuals with Disabilities,19/20,Employment skills,61,2020/06/30 07:00:00+00,199
