year,state,hai,operative_procedure,facid_one,facility_name_one,facid_two,facility_name_two,facid_three,facility_name_three,county,procedure_count,infection_count,notes
2013,California,SSI, Heart transplant,90000154,"Loma Linda UNIV Medical Center, Loma Linda",090001116,"UCSD-La Jolla, John M.& Sally B. Thornton Hospital",630012294,.,San Diego,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000002,"Loma Linda UNIV Medical Center, Loma Linda",.,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,.,Orange,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000034,"California Pacific Medical Center, Pacific Campus Hospital, SF",630012960,Adventist Medical Center-Selma,,.,Kings-Fresno,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000034,"Loma Linda UNIV Medical Center, Loma Linda",140000184,"Alameda County Medical Center-Fairmont Campus, San Leandro",.,.,Alameda,29.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000004,"Ronald Reagan UCLA Medical Center, Los Angeles",140000006,"Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,.,Alameda,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000425,Childrens Hospital of Los Angeles,140000203,"Alta Bates Summit Medical Center, Summit Campus, Oakland",,.,Alameda,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",090000839,"Alvarado Hospital Medical Center, Campus #2, San Diego",.,.,San Diego,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000008,"Antelope Valley Hospital, Lancaster",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000151,"Arrowhead Regional Medical Center, Colton",.,.,.,f.,San Bernardino,35.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000004,Bakersfield Memorial Hospital,.,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Kern,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000031,"Loma Linda UNIV Medical Center, Loma Linda",.,.,.,***,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000002,"California Hospital Medical Center, Los Angeles",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,220000031,"California Pacific Medical Center, Pacific Campus Hospital, SF",220000002,.,.,.,San Francisco,122.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000031,"Ronald Reagan UCLA Medical Center, Los Angeles",.,.,.,***,San Francisco,140.0,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000004,"Cedars-Sinai Medical Center, Los Angeles",.,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Los Angeles,257.0,1.0,NULL
2013,California,SSI, Kidney surgery,930000022,"California Pacific Medical Center, Pacific Campus Hospital, SF",.,***,***,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,40000129,"Loma Linda UNIV Medical Center, Loma Linda",.,.,***,.,Madera,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000034,Childrens Hospital and Research Center at Oakland,.,.,.,.,Alameda,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000034,Childrens Hospital of Los Angeles,.,.,.,.,Los Angeles,41.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000003,"California Pacific Medical Center, Pacific Campus Hospital, SF",.,,.,.,San Francisco,140.0,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000070,"Citrus Valley Medical Center, IC , Covina",930000132,"Citrus Valley Medical Center, QV,  West Covina",.,y.,Los Angeles,24.0,1.0,NULL
2013,California,SSI, Kidney surgery,930000036,"City of Hope Helford Clinical Research Hospital, Duarte",.,,,w.,Los Angeles,85.0,NULL,NULL
2013,California,SSI, Kidney surgery,40000095,Clovis Community Medical Center,.,t.,.,.,Fresno,26.0,0.0,NULL
2013,California,SSI, Kidney surgery,60000021,"Loma Linda UNIV Medical Center, Loma Linda",e.,.,.,.,Orange,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70000137,"California Pacific Medical Center, Pacific Campus Hospital, SF",.,.,.,.,Monterey,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,50000014,"Community Memorial Hospital, San Buenaventura, Ventura",,.,,.,Ventura,28.0,0.0,NULL
2013,California,SSI, Kidney surgery,40000101,"Community Regional Medical Center, Fresno",.,.,.,.,Fresno,68.0,NULL,NULL
2013,California,SSI, Kidney surgery,930000034,"Cedars-Sinai Medical Center, Los Angeles",.,.,.,,Contra Costa,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,250000008,"Loma Linda UNIV Medical Center, Loma Linda",.,.,.,.,Riverside,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,240001330,"Desert Valley Hospital, Victorville",.,.,.,,San Bernardino,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000118,"Cedars-Sinai Medical Center, Los Angeles",.,.,.,.,San Joaquin,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000122,"Loma Linda UNIV Medical Center, Loma Linda",.,.,.,.,Stanislaus,31.0,1.0,NULL
2013,California,SSI, Kidney surgery,110001204,"Doctors Medical Center, San Pablo",.,.,.,.,Contra Costa,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70000139,Dominican Hospital,.,.,.,.,Santa Cruz,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000052,Downey Regional Medical Center,.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930001709,"Earl & Loraine Miller Children's Hospital, Long Beach",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000053,"East Los Angeles Doctors Hospital, Los Angeles",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000183,"Eden Medical Center, Castro Valley",.,.,.,.,Alameda,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,250000011,"Eisenhower Medical Center, Rancho Mirage",.,.,.,.,Riverside,43.0,0.0,NULL
2013,California,SSI, Kidney surgery,70000136,"El Camino Hospital, Los Gatos",.,.,.,.,Santa Clara,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70001351,"El Camino Hospital, Mountain View",.,.,.,.,Santa Clara,55.0,0.0,NULL
2013,California,SSI, Kidney surgery,90000040,El Centro Regional Medical Center,.,.,.,.,Imperial,140.0,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000125,"Emanuel Medical Center Inc, Turlock",.,.,.,.,Stanislaus,140.0,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000034,"Enloe Medical Center-Cohasset, Chico",230000002,"Enloe Medical Center-Esplanade, Chico",230000405,"Enloe Rehabilitation Center, Chico",Butte,21.0,1.0,NULL
2013,California,SSI, Kidney surgery,930000056,"Foothill Presbyterian Hospital-Johnston Memorial, Glendora",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000011,Fountain Valley Regional Hospital & Medical Center,060000936,Fountain Valley Regional Hospital & Medical Center,.,.,Orange,21.0,0.0,NULL
2013,California,SSI, Kidney surgery,230000261,"Fremont Medical Center, Yuba City",230000260,"Rideout Memorial Hospital, Marysville",.,.,Sutter-Yuba,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,50000016,"French Hospital Medical Center, San Luis Obispo",.,.,.,.,San Luis Obispo,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,40000254,Fresno Surgical Hospital,.,.,.,.,Fresno,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000058,"Garfield Medical Center, Monterey Park",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000059,Glendale Adventist Medical Center,.,.,.,.,Los Angeles,21.0,0.0,NULL
2013,California,SSI, Kidney surgery,40000113,Mercy Medical Center Merced,.,.,.,.,Merced,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000093,Glendale Memorial Hospital and Health Center,.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000068,"Good Samaritan Hospital, Los Angeles",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70000153,"Good Samaritan Hospital, San Jose",070000154,"Mission Oaks Hospital, Los Gatos",.,.,Santa Clara,31.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000062,"Greater El Monte Community Hospital, South El Monte",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,80000045,"Grossmont Hospital, La Mesa",.,.,.,.,San Diego,27.0,0.0,NULL
2013,California,SSI, Kidney surgery,250000012,Hemet Valley Medical Center,.,.,.,.,Riverside,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000014,"Hoag Memorial Hospital Presbyterian, Newport Beach",060001022,"Hoag Hospital, Irvine",.,.,Orange,68.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000065,"Hollywood Presbyterian Medical Center, Los Angeles",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000026,"Huntington Memorial Hospital, Pasadena",.,.,.,.,Los Angeles,98.0,1.0,NULL
2013,California,SSI, Kidney surgery,140000196,"John Muir Medical Center, Concord",.,.,.,.,Contra Costa,50.0,0.0,NULL
2013,California,SSI, Kidney surgery,140000187,"John Muir Medical Center, Walnut Creek",.,.,.,.,Contra Costa,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,110000011,"Kaiser Foundation Hospital & Rehab. Center, Vallejo",.,.,.,.,Solano,35.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000071,"Kaiser Foundation Hospital South Bay, Harbor City",.,.,.,.,Los Angeles,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,630013929,"Kaiser Foundation Hospital, Anaheim Medical Center",060000018,Kaiser Foundation Hospital-Lakeview Medical Center,.,.,Orange,38.0,0.0,NULL
2013,California,SSI, Kidney surgery,630011203,"Kaiser Foundation Hospital, Antioch",.,.,.,.,Contra Costa,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,930001543,"Kaiser Foundation Hospital, Baldwin Park",.,.,.,.,Los Angeles,50.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000074,"Kaiser Foundation Hospital, Downey, Bellflower",.,.,.,.,Los Angeles,101.0,1.0,NULL
2013,California,SSI, Kidney surgery,240000024,"Kaiser Foundation Hospital, Fontana",.,.,.,.,San Bernardino,57.0,0.0,NULL
2013,California,SSI, Kidney surgery,40000949,"Kaiser Foundation Hospital, Fresno",.,.,.,.,Fresno,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000189,"Kaiser Foundation Hospital, Hayward/Fremont",140001086,"Kaiser Foundation Hospital, Fremont",.,.,Alameda,26.0,0.0,NULL
2013,California,SSI, Kidney surgery,630011745,"Kaiser Foundation Hospital, Irvine",.,.,.,.,Orange,41.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000072,"Kaiser Foundation Hospital, Los Angeles",.,.,.,.,Los Angeles,103.0,0.0,NULL
2013,California,SSI, Kidney surgery,30000973,"Kaiser Foundation Hospital, Manteca",630011683,"Kaiser Foundation Hospital, Modesto",.,.,Stanislaus-San Joaquin,36.0,0.0,NULL
2013,California,SSI, Kidney surgery,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",140000191,"Kaiser Foundation Hospital, Richmond Campus",.,.,Alameda-Contra Costa,72.0,0.0,NULL
2013,California,SSI, Kidney surgery,630013398,"Kaiser Foundation Hospital, Ontario",.,.,.,.,San Bernardino,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000050,"Kaiser Foundation Hospital, Panorama City",.,.,.,.,Los Angeles,38.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000010,"Kaiser Foundation Hospital, Redwood City",.,.,.,.,San Mateo,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,250000707,"Kaiser Foundation Hospital, Riverside",.,.,.,.,Riverside,30.0,0.0,NULL
2013,California,SSI, Kidney surgery,30001370,"Kaiser Foundation Hospital, Roseville",.,.,.,.,Placer,51.0,0.0,NULL
2013,California,SSI, Kidney surgery,30000130,"Kaiser Foundation Hospital, Sacramento",.,.,.,.,Sacramento,25.0,0.0,NULL
2013,California,SSI, Kidney surgery,80000144,"Kaiser Foundation Hospital, San Diego",.,.,.,.,San Diego,69.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000008,"Kaiser Foundation Hospital, San Francisco",.,.,.,.,San Francisco,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,70000150,"Kaiser Foundation Hospital, San Jose",.,.,.,.,Santa Clara,26.0,0.0,NULL
2013,California,SSI, Kidney surgery,110000944,"Kaiser Foundation Hospital, San Rafael",.,.,.,.,Marin,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70001355,"Kaiser Foundation Hospital, Santa Clara",.,.,.,.,Santa Clara,94.0,0.0,NULL
2013,California,SSI, Kidney surgery,110000508,"Kaiser Foundation Hospital, Santa Rosa",.,.,.,.,Sonoma,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000133,"Kaiser Foundation Hospital, South Sacramento",.,.,.,.,Sacramento,72.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000009,"Kaiser Foundation Hospital, South San Francisco",.,.,.,.,San Mateo,20.0,0.0,NULL
2013,California,SSI, Kidney surgery,630012364,"Kaiser Foundation Hospital, Vacaville",.,.,.,.,Solano,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000190,"Kaiser Foundation Hospital, Walnut Creek",.,.,.,.,Contra Costa,77.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000076,"Kaiser Foundation Hospital, West LA, Los Angeles",.,.,.,.,Los Angeles,92.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000290,"Kaiser Foundation Hospital, Woodland Hills",.,.,.,.,Los Angeles,42.0,0.0,NULL
2013,California,SSI, Kidney surgery,120001444,"Kaweah Delta Medical Center, Visalia",.,.,.,.,Tulare,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000912,"Keck Hospital of USC, Los Angeles",.,.,.,.,Los Angeles,454.0,2.0,NULL
2013,California,SSI, Kidney surgery,120000342,"Kern Medical Center, Bakersfield",.,.,.,.,Kern,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000040,"LAC+USC Medical Center, Los Angeles",.,.,.,.,Los Angeles,93.0,0.0,NULL
2013,California,SSI, Kidney surgery,60000027,"LAC/Harbor-UCLA Medical Center, Torrance",.,.,.,.,Los Angeles,53.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000047,Lakewood Regional Medical Center,.,.,.,.,Los Angeles,21.0,0.0,NULL
2013,California,SSI, Kidney surgery,30000139,Lodi Memorial Hospital,030000136,Lodi Memorial Hospital-West,.,.,San Joaquin,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,240000027,"Loma Linda UNIV Medical Center, Loma Linda",240000025,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,166.0,0.0,NULL
2013,California,SSI, Kidney surgery,630012971,Loma Linda University Medical Center - Murrieta,.,.,.,.,Riverside,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000095,"Long Beach Memorial Medical Center, Long Beach",.,.,.,.,Los Angeles,21.0,0.0,NULL
2013,California,SSI, Kidney surgery,60000025,Los Alamitos Medical Center,.,.,.,.,Orange,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000038,"Los Angeles Co Olive View-UCLA Medical Center, Sylmar",.,.,.,.,Los Angeles,55.0,0.0,NULL
2013,California,SSI, Kidney surgery,50000020,"Los Robles Hospital & Medical Center, Thousand Oaks",050000553,"Los Robles Hospital & Medical Center, E  , Thousand Oaks",050001468,Thousand Oaks Surgical Hospital,Ventura,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70001349,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,.,.,Santa Clara,32.0,0.0,NULL
2013,California,SSI, Kidney surgery,240000005,Mammoth Hospital,.,.,.,.,Mono,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,50000021,Marian Regional Medical Center,.,.,.,.,Santa Barbara,22.0,0.0,NULL
2013,California,SSI, Kidney surgery,110000953,"Marin General Hospital, Greenbrae",.,.,.,.,Marin,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000044,Marina Del Rey Hospital,.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000121,"Marshall Medical Center (1-Rh), Placerville",.,.,.,.,El Dorado,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000123,"Memorial Medical Center, Modesto",.,.,.,.,Stanislaus,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,250000727,"Menifee Valley Medical Center, Sun City",.,.,.,.,Riverside,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000124,"Mercy General Hospital, Sacramento",.,.,.,.,Sacramento,46.0,0.0,NULL
2013,California,SSI, Kidney surgery,30000901,Mercy Hospital of Folsom,.,.,.,.,Sacramento,34.0,0.0,NULL
2013,California,SSI, Kidney surgery,120000404,"Mercy Hospital, Bakersfield",120000701,"Mercy Southwest Hospital, Bakersfield",.,.,Kern,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,230000010,Mercy Medical Center Redding,.,.,.,.,Shasta,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000127,"Mercy San Juan Medical Center, Carmichael",.,.,.,.,Sacramento,51.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000096,"Methodist Hospital of Southern CA, Arcadia",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,220000017,"Mills-Peninsula Medical Center, Burlingame",220000004,"Mills Health Center, San Mateo",.,.,San Mateo,29.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000027,"Mission Community Hospital, Panorama",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000060,"Mission Hospital Regional Medical Center, Mission Viejo",.,.,.,.,Orange,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70000145,"Natividad Medical Center, Salinas",.,.,.,.,Monterey,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,110000010,"Northbay Medical Center, Fairfield",.,.,.,.,Solano,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,110000378,"Northbay Vacavalley Hospital, Vacaville",.,.,.,.,Solano,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000111,Northridge Hospital Medical Center,.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,110000982,Novato Community Hospital,.,.,.,.,Marin,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,70000146,"O'connor Hospital, San Jose",.,.,.,.,Santa Clara,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000105,"Olympia Medical Center, Los Angeles",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000208,"Orange Coast Memorial Medical Center, Fountain Valley",.,.,.,.,Orange,21.0,1.0,NULL
2013,California,SSI, Kidney surgery,230000014,Oroville Hospital,.,.,.,.,Butte,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000133,"Pacifica Hospital of The Valley, Sun Valley",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,110000038,"Palm Drive Hospital, Sebastopol",.,.,.,.,Sonoma,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000077,Palmdale Regional Medical Center,.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,80000142,"Palomar Health Downtown Campus, Escondido",630013873,"Palomar Medical Center, Escondido",.,.,San Diego,102.0,0.0,NULL
2013,California,SSI, Kidney surgery,90000145,"Paradise Valley Hospital, National City",.,.,.,.,San Diego,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,250000044,"Parkview Community Hospital Medical Center, Riverside",.,.,.,.,Riverside,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,90000146,"Pioneers Memorial Healthcare District, Brawley",.,.,.,.,Imperial,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,60000062,Placentia Linda Hospital,.,.,.,.,Orange,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,80000147,"Pomerado Hospital, Poway",.,.,.,.,San Diego,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000123,"Pomona Valley Hospital Medical Center, Pomona",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000099,"Presbyterian Intercommunity Hospital, Whittier",.,.,.,.,Los Angeles,29.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000066,"Providence Holy Cross Medical Center, Mission Hills",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000157,"Providence Little Company of Mary Medical Center, San Pedro",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000081,"Providence Little Company of Mary Medical Center, Torrance",.,.,.,.,Los Angeles,36.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000101,"Providence Saint Joseph Medical Center, Burbank",.,.,.,.,Los Angeles,34.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000091,"Providence Tarzana Medical Center, Tarzana",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,110000041,"Queen of The Valley Medical Center, Napa",.,.,.,.,Napa,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,80000023,"Rady Children's Hospital, San Diego",.,.,.,.,San Diego,23.0,0.0,NULL
2013,California,SSI, Kidney surgery,240000046,Redlands Community Hospital,.,.,.,.,San Bernardino,24.0,0.0,NULL
2013,California,SSI, Kidney surgery,70000133,Regional Medical Center of San Jose,.,.,.,.,Santa Clara,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,250000049,Riverside Community Hospital,.,.,.,.,Riverside,57.0,1.0,NULL
2013,California,SSI, Kidney surgery,250000050,"Riverside County Regional Medical Center, Moreno Valley",.,.,.,.,Riverside,32.0,1.0,NULL
2013,California,SSI, Kidney surgery,930000162,"Ronald Reagan UCLA Medical Center, Los Angeles",.,.,.,.,Los Angeles,257.0,1.0,NULL
2013,California,SSI, Kidney surgery,60000063,"Saddleback Memorial Medical Center, Laguna Hills",060000064,Saddleback Memorial Medical Center-San Clemente,.,.,Orange,25.0,0.0,NULL
2013,California,SSI, Kidney surgery,40000126,"Saint Agnes Medical Center, Fresno",.,.,.,.,Fresno,49.0,0.0,NULL
2013,California,SSI, Kidney surgery,930000128,"Saint Francis Medical Center, Lynwood",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,220000029,"Saint Francis Memorial Hospital, San Francisco",.,.,.,.,San Francisco,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000100,"Saint John's Health Center, Santa Monica",.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,930000104,"Saint Vincent Medical Center, Los Angeles",.,.,.,.,Los Angeles,32.0,0.0,NULL
2013,California,SSI, Kidney surgery,70000147,Salinas Valley Memorial Hospital,.,.,.,.,Monterey,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,240000053,"San Antonio Community Hospital, Upland",.,.,.,.,San Bernardino,22.0,0.0,NULL
2013,California,SSI, Kidney surgery,220000019,San Francisco General Hospital,.,.,.,.,San Francisco,26.0,0.0,NULL
2013,California,SSI, Kidney surgery,120000411,"San Joaquin Community Hospital, Bakersfield",.,.,.,.,Kern,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,30000135,"San Joaquin General Hospital, French Camp",.,.,.,.,San Joaquin,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,220000007,San Mateo Medical Center,.,.,.,.,San Mateo,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,140000704,San Ramon Regional Medical Center,140000683,San Ramon Regional Medical Center South Building,.,.,Contra Costa,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Kidney surgery,50000280,Santa Barbara Cottage Hospital,050000022,Cottage Rehabilitation Hospital at Santa Barbara,.,.,Santa Barbara,57.0,0.0,NULL
2013,California,SSI, Kidney surgery,70000149,"Santa Clara Valley Medical Center, San Jose",.,.,.,.,Santa Clara,57.0,1.0,NULL
2013,California,SSI, Kidney surgery,930000049,"Santa Monica, UCLA Medical Center and Orthopaedic",.,.,.,.,Los Angeles,25.0,1.0,NULL
