objectid(long),nlcsid,trailtype,nshtsgmntno,nlcsname,famsid,casefileno,mngagcy,adminst,nhtcndctgy,coordsrctype,deffettype,accuracyft(long),global_id,shape_length(double precision)
731.0,NLCS000851,Historic,UT00000021,Califosrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},4969.74766937493
714.0,NLCS000851,Historic,UT00000022,California Trali,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E8E80A8F-7F46-48A4-BCE6-7C35EF547539},261.644492090508
731.0,NLCS0x00851,Historic,UT00000023,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F8540A30-BF36-41BA-A8DA-9997FF622B1B},584.57436245599
713.0,NLCS000851,Historic,UT00000024,Califrornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6E913850-228C-4B83-8070-0E2F29BC944C},4412.23064188358
713.0,LNCS000851,Historic,UT00000025,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{A64D9EE0-2380-4B5D-AA96-4114A80AABB4},4301.62807756569
736.0,NLCS000851,Historic,UT00000026,aClifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D81EF1A4-71C7-4A77-B330-E4F561E63FC2},11421.1333727335
737.0,NLCS000851,Historic,UT00000027,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D49EF2F2-2C4A-4061-9888-0E8797582F53},3816.91762188161
719.0,NLCS000851,Historic,UT00000028,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E8E80A8F-7F46-48A4-BCE6-7C35EF547539},265.129617163914
717.0,NLCS000851,Historic,UT00000029,Californa Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{2281C8B6-8E2E-4B3B-9184-E525B9B8B577},310.733095676425
721.0,NLCS00851,Historic,UT00000030,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{93F88A07-9701-41FE-946E-B0934BA99530},2021.0407491506
713.0,NLCS00851,Historic,UT00000031,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{9AC5E1D0-FAF2-4AB7-9AFE-25838D856250},9479.96498363868
720.0,NLCS000851,Historic,UT00000032,California Tril,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E2DCB316-0D47-4B52-9375-BC4FC3C2944D},7032.37327727892
714.0,NLCS000851,Historic,UT00000033,California Tral,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{4F70010C-20D8-49BF-A995-4735D28CC411},9513.77998105915
798.0,NLCS000851***,Historic,UT00000034,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0245B7DC-6CEF-471D-A0B6-58C2D27A644D},7792.25877253672
745.0,NLCS000851,Historic,UT00000035,California Trali,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{30DEBDED-5036-46D7-BF6F-93510415ACD6},10502.2788998549
726.0,NLCS008051,Historic,UT00000036,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{2281C8B6-8E2E-4B3B-9184-E525B9B8B577},15166.5277456818
747.0,NLCS0a00851,Historic,UT00000037,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{666D83D1-539B-4F7F-900F-E81D948D7FF8},2242.22192365185
748.0,NLCS000851,Historic,UT00000038,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{30DEBDED-5036-46D7-BF6F-93510415ACD6},232.002831907697
713.0,NLCS000851,Historic,UT00000039,Calkifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E2DCB316-0D47-4B52-9375-BC4FC3C2944D},12298.8718554285
753.0,NLCS000851,Historic,UT00000040,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6BFFA123-D382-4BED-9902-1B7407477C2B},9519.1069513864
711.0,NLCS000851,Historic,UT00000041,California Tril,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{4F70010C-20D8-49BF-A995-4735D28CC411},1594.86487445268
722.0,NLCS000851,Historic,UT00000042,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{C7414CD0-5D46-4581-B406-25A24B5EE0D9},26328.5529832103
753.0,NLCS000851,Historic,UT00000043,Californai Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{094BB7BF-3EC2-44E7-9DC9-76911454DC8C},5099.05085234604
724.0,NLCS00h0851,Historic,UT00000044,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{4F70010C-20D8-49BF-A995-4735D28CC411},19104.5797668546
719.0,NLCS000851,Historic,UT00000045,Califronia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},157.40120144335
716.0,NLCS00085y1,Historic,UT00000046,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{666D83D1-539B-4F7F-900F-E81D948D7FF8},579.370967007009
745.0,NLCS000851,Historic,UT00000047,Calfiornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{A64D9EE0-2380-4B5D-AA96-4114A80AABB4},2217.77940027469
731.0,LNCS000851,Historic,UT00000048,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{30DEBDED-5036-46D7-BF6F-93510415ACD6},848.726504443289
726.0,NLCS00085b1,Historic,UT00000049,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F11B3E30-1579-49D9-A41C-8E2CFB020CA8},6959.99665097081
714.0,NLCS000851,Historic,UT00000050,Califorlnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},939.270158203831
720.0,NLC000851,Historic,UT00000051,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{659FC9CD-A19B-4EFC-8F72-F7CDCD125D88},14816.4653595083
731.0,NLCS000851,Historic,UT00000052,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E2DCB316-0D47-4B52-9375-BC4FC3C2944D},11128.6485347363
720.0,NLCS000851,Historic,UT00000053,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6BFFA123-D382-4BED-9902-1B7407477C2B},3468.79172850618
714.0,NLCS000851,Historic,UT00000054,Californa Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{15B16687-5F6E-4638-9526-A568F39E0B30},2733.50868369207
721.0,NLCS000851,Historic,UT00000055,Califogrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F27534F5-44B2-4EA7-94BB-872BA03942A1},1922.25039597834
766.0,NLCS000851,Historic,UT00000011,CaliforniaTrail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{2281C8B6-8E2E-4B3B-9184-E525B9B8B577},6954.51882371158
767.0,NLCS000851***,Historic,UT00000057,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6FB9758A-929D-4E99-846A-ADAC52BEE293},4204.16459980582
736.0,NLCS000851,Historic,UT00000058,Califrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{094BB7BF-3EC2-44E7-9DC9-76911454DC8C},4638.02360916147
719.0,NLCuS000851,Historic,UT00000059,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{9AC5E1D0-FAF2-4AB7-9AFE-25838D856250},3143.57404428125
737.0,NLCS00051,Historic,UT00000060,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{780AA8F4-DCCB-4E93-B4E1-023A8F16A74C},14292.5242516013
736.0,NLCS00851,Historic,UT00000061,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6E913850-228C-4B83-8070-0E2F29BC944C},12442.8066768661
716.0,NLCS0g00851,Historic,UT00000062,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{15B16687-5F6E-4638-9526-A568F39E0B30},22447.4763768544
773.0,NLCS000851,Historic,UT00000063,California Tradil,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{FDB971B2-F586-430E-A5B1-C8C97AC44253},6687.39860349291
767.0,NLCS000851,Historic,UT00000064,Caliofrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6BFFA123-D382-4BED-9902-1B7407477C2B},6900.58364129135
773.0,NLCS000851,Historic,UT00000065,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{4F70010C-20D8-49BF-A995-4735D28CC411},84.5597751907625
745.0,NLCS000851,Historic,UT00000066,California Trbail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{659FC9CD-A19B-4EFC-8F72-F7CDCD125D88},6635.00746902108
777.0,NLCS000851,Historic,UT00000081,Californai Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{FDB971B2-F586-430E-A5B1-C8C97AC44253},726.653590342703
719.0,NyLCS000851,Historic,UT00000068,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{659FC9CD-A19B-4EFC-8F72-F7CDCD125D88},2646.1540282371
779.0,NLCS000851,Historic,UT00000069,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D64E76CF-1FD3-43AD-AD2F-DEF40B6B3C3C},46872.8075510008
713.0,NLCS000851,Historic,UT00000070,Califoria Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{15B16687-5F6E-4638-9526-A568F39E0B30},12258.9164820113
723.0,NLCS000851,Historic,UT00000071,California rail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0E902E02-2119-4996-A1D0-07A62AD58607},10336.2523722096
713.0,NLCS00051,Historic,UT00000072,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{93F88A07-9701-41FE-946E-B0934BA99530},12487.8600621724
719.0,NLCS000851,Historic,UT00000073,California rail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F8540A30-BF36-41BA-A8DA-9997FF622B1B},6612.72037586635
784.0,NLCS000851,Historic,UT00000043,Califrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6FB9758A-929D-4E99-846A-ADAC52BEE293},381.66017387477
730.0,LNCS000851,Historic,UT00000075,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{C7414CD0-5D46-4581-B406-25A24B5EE0D9},462.714507002681
713.0,NLSC000851,Historic,UT00000076,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},3396.97123059905
779.0,NLCS000851,Historic,UT00000077,Calvifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E8E80A8F-7F46-48A4-BCE6-7C35EF547539},3595.46596920589
727.0,NLCS00851,Historic,UT00000078,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{A64D9EE0-2380-4B5D-AA96-4114A80AABB4},7157.88688323122
730.0,NLC000851,Historic,UT00000079,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6E913850-228C-4B83-8070-0E2F29BC944C},789.599785558847
748.0,NLCS00q0851,Historic,UT00000080,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},409.783051564786
791.0,NLCS000851,Historic,UT00000081,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6FB9758A-929D-4E99-846A-ADAC52BEE293},5805.27053746313
719.0,NLCS000851,Historic,UT00000082,Clifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0245B7DC-6CEF-471D-A0B6-58C2D27A644D},3595.01774261674
714.0,NLS000851,Historic,UT00000083,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F27534F5-44B2-4EA7-94BB-872BA03942A1},9639.93212998762
721.0,NLCS000851,Historic,UT00000084,Claifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{C7414CD0-5D46-4581-B406-25A24B5EE0D9},7033.90873562469
722.0,NLCS000851,Historic,UT00000085,Califodrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{93F88A07-9701-41FE-946E-B0934BA99530},3469.78636584384
714.0,NLCS000851,Historic,UT00000086,Califonia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0E902E02-2119-4996-A1D0-07A62AD58607},21033.5719020952
797.0,LCS000851,Historic,UT00000063,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6BFFA123-D382-4BED-9902-1B7407477C2B},1544.63783003618
798.0,NLS000851,Historic,UT00000088,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{30DEBDED-5036-46D7-BF6F-93510415ACD6},417.676342342405
713.0,NLCS000851***,Historic,UT00000089,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6FB9758A-929D-4E99-846A-ADAC52BEE293},1079.53621109466
714.0,LCS000851,Historic,UT00000090,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{9AC5E1D0-FAF2-4AB7-9AFE-25838D856250},1415.4539074808
713.0,NLCS000851,Historic,UT00000091,Californi aTrail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F11B3E30-1579-49D9-A41C-8E2CFB020CA8},15188.2926413376
802.0,NLCS000815,Historic,UT00000092,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{094BB7BF-3EC2-44E7-9DC9-76911454DC8C},38301.5154311606
803.0,NLCS000851,Historic,UT00000012,Califcornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{666D83D1-539B-4F7F-900F-E81D948D7FF8},1040.11346849989
804.0,NLCS000815,Historic,UT00000023,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{2281C8B6-8E2E-4B3B-9184-E525B9B8B577},938.637104533385
805.0,NLS000851,Historic,UT00000095,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{2281C8B6-8E2E-4B3B-9184-E525B9B8B577},21799.2427514187
806.0,NLCS000851,Historic,UT00000018,Calfiornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{62F33775-E8A4-4995-B58C-92F3F249A908},1522.67807421922
807.0,NLCS000851,Historic,UT00000049,California Tril,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{061E0581-004B-4C54-B2C2-19F546FE10E5},1493.38142788413
808.0,NLCS000851,Historic,UT00000098,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{BB024A82-856B-4049-96C6-64B287A5F178},2794.75157680472
809.0,NLCS000851,Historic,UT00000099,Califotrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F1CF0DB5-3304-49E4-97B0-62C75A48A4F8},9041.20715613994
810.0,NLCS008051,Historic,UT00000100,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D60896F8-AF4D-41AB-B08A-4F9E6B91E5C2},9201.38542610992
811.0,NLCS00k0851,Historic,UT00000101,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E4C29FDB-95D6-44F4-85DC-CABE20CFA4B8},18728.5176988765
812.0,NCLS000851,Historic,UT00000102,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D5A0BEDF-37E4-4936-813E-0C5097B38796},2514.18625656752
813.0,NLCS000851***,Historic,UT00000103,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{A734B046-C5D2-43CF-B552-41C389EB938F},698.288690454671
814.0,NLCS000851,Historic,UT00000104,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{4731FC61-2798-4472-A2E7-D1C5BF56F6D8},124.256655946352
815.0,NLCS00051,Historic,UT00000105,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{1EBC8885-72FF-4491-9435-FB1E8EB5DEDE},1260.73850625203
816.0,NLCS000581,Historic,UT00000106,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{C9F458F9-2D56-471E-9F0F-0B9E362ED8DE},107.658290947795
817.0,LCS000851,Historic,UT00000107,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{B98B8F08-E393-47B3-8A44-CBB12E58AE5A},3852.08497081763
818.0,NLCS00851,Historic,UT00000108,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{BEFD8031-83B7-4972-85BB-FB731D2E0636},1878.0354713895
819.0,NLCS000851,Historic,UT00000109,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{224BD3A8-E95E-4020-8E99-F171F89ACD74},4169.18198757525
820.0,NLCS00851,Historic,UT00000110,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{522D2033-EE19-42B7-887C-479DF0910102},5186.11632341015
821.0,NLCS000851,Historic,UT00000111,Calisfornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{06864622-4C6F-43EF-A025-EC7EF47FEF9E},85.1763825704051
822.0,NLrCS000851,Historic,UT00000112,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0A6AFA19-E5D0-4C53-8E9E-F4CF4EB18B45},4134.30471709846
823.0,NLCS00085e1,Historic,UT00000113,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{262B6BA0-6BBA-41B4-8695-84CE0F7DD904},484.296350845009
824.0,NLCS000581,Historic,UT00000114,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{5B255895-128C-4AF4-94F0-0ADF6DFE9EE5},444.571461703585
825.0,NLCS000851,Historic,UT00000115,alifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{1DCCB90A-61F2-4154-B544-325F3262EDEB},4699.83773480195
826.0,NLCS000851,Historic,UT00000116,Caklifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D21DBF10-28C3-4B22-B2C5-E73AB05FBF8C},1112.75425920359
827.0,NLC0S00851,Historic,UT00000117,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6D32D019-1265-44F6-A31B-053FDD1F6FCD},2148.73091923594
828.0,NLCS00851,Historic,UT00000118,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{657925C1-4B8A-47CA-B5EC-52B165F4FFD3},274.207512879525
829.0,NLCSw000851,Historic,UT00000119,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{AA15CCE4-F899-4767-875E-8410F935E6BD},1862.15327773595
830.0,NLCS000851,Historic,UT00000120,Californi aTrail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{71ED2D5D-8EFC-4CDE-9A6A-5C93F47EB1ED},9008.44343862314
831.0,NLCS000851,Historic,UT00000121,CaliforniaT rail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{58D85C92-EBA8-44B3-BA44-105F9BE87C6D},2220.11558453504
832.0,NLCS000851,Historic,UT00000122,Califonria Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{9256D138-729A-4742-9A83-27BBC62A77EC},5012.71585328742
833.0,NLCxS000851,Historic,UT00000123,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E4DC9FE1-6753-402C-B546-26AAC0485300},22065.9336625103
834.0,NLCS000851,Historic,UT00000124,Californa Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D00A70F8-F719-4AAD-9760-00A208880269},1125.59543847161
835.0,NLCS0008i51,Historic,UT00000125,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{80109CB8-DED2-407A-AF8A-50C38A170558},1046.27881441193
836.0,NLCS000851,Historic,UT00000126,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{1CAE2BB1-2C0D-4119-9EE0-CF53A267B624},4951.41026556039
837.0,NLCS000851,Historic,UT00000127,California Taril,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{DB059521-05F9-4741-9ED7-BCE6C1167EE7},123.147777030891
838.0,NLCS000851,Historic,UT00000128,Califorrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{08E03CF3-1807-4485-8FD4-ADE7422F71C4},4306.3894884434
839.0,NLCS000851,Historic,UT00000129,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{175E0477-E7B1-4B6E-AD40-C11662BB0C6E},19728.1618163297
840.0,NLCS000851,Historic,UT00000130,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F4BC8186-9C54-474C-929C-A536EFC0EC10},9457.99989324372
841.0,NLCS000851,Historic,UT00000131,Californi Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{9C4487D5-1635-47D6-A256-213CCCC45569},8316.07510913254
842.0,NLCS00051,Historic,UT00000132,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E8AD9DBE-1ECB-4AC8-8A5E-97FB1A9A4EBE},2532.45484364633
843.0,NLCS000851,Historic,UT00000133,California Trali,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F81A2E37-CD80-4B15-BC30-2EB6C8560994},6926.40225941737
851.0,NLCS000852,Historic,UT00000141,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{BD7001E7-29CB-4022-810F-ED71CACE08A3},12948.5708987379
852.0,NLCS000852,Historic,UT00000142,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{FDDDE32D-D929-4D32-BC42-6ADF1CD2E531},4134.30471709846
853.0,NLCS000852,Historic,UT00000143,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{136B14EA-96A2-4724-B20C-BBBF1A5B21FC},484.296350845009
1018.0,NLCS000852,Historic,UT00000308,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{866AE049-B289-475E-9BD9-91F0FC911C68},444.571461703585
1097.0,NLCS000852,Historic,UT00000387,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{5C76C40E-2F92-4525-ABDD-FA1FE7C7AF58},4699.83773480195
1098.0,NLCS000852,Historic,UT00000388,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E86E208B-B03D-4B1E-B540-0B481749A4E1},1112.75425920359
1099.0,NLCS000852,Historic,UT00000389,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{1F2354EF-AEC4-4633-90F8-2C7F1CD4F9A9},787.024716711727
1100.0,NLCS000852,Historic,UT00000390,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{98DE492B-BCDD-4066-A210-0AFEB0C6AEC1},2148.73091923594
1101.0,NLCS000852,Historic,UT00000391,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{5E5C9893-D2E5-4CDB-B625-EE97AF841C79},274.207512879525
1102.0,NLCS000852,Historic,UT00000392,Mormon Pioneer Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{FCEF13E3-0851-44B2-92CF-9ADC70DB5971},1862.15327773595
