sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,173.0,7.7,Data not available.
Total - Female,Female,"America nIndian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Tpotal - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,188.0,1.1,Data not available.
Total - Femle,emale,"American Indian/Alaska Native, non-Hispanic",2003,187.0,1.0,Data not availbale.
Total - Female,Female,"Aumerican Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2005,191.0,0.7,Data not available.
Total - Fenmale,Femarle,"American Indian/Alaska Native, non-Hispaic",2006,169.0,0.6,Data not available.
Tota - Female,Femael,"AmericanI ndian/Alaska Native, non-Hispanic",2007,191.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Fermale,Febmale,"American Indian/Alaska Native, non-Hispanic",2009,190.0,1.0,ata not available.
Total Female,Femhale,"American Indian/Alaskak Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Femle,Female,"American Indian/Alaska Native, non-Hispanic",2011,187.0,0.9,Data noto available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.9,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,182.0,5.2,Data not acvailable.
"Total - White, non-Hispanic",emale,"White, onn-Hispanic",2001,169.0,0.6,Dkata not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2002,195.0,0.8,Data not available.
"Total - Whiteq, non-Hispanic",Female,"White, non-Hispanic",2003,194.0,0.7,Data not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,199.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White,non-Hispanic",2006,169.0,0.6,Dtaa not available.
"Total - White, non-Hispanic",Female,"yWhite, non-Hispanic",2007,200.0,0.6,Datanot available.
"Total - White, non-wHispanic",Female,"White, nno-Hispanic",2008,169.0,0.6,Data not available.
"Total - White, non-Hispanic",kFemale,"White, non-Hispanic",2009,200.0,0.7,Data not available.
"Total - White, no-Hispanic",Femalge,"White, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,197.0,0.6,Data not availamble.
"Totla - White, non-Hispanic",Feale,"White, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - White, non-Hispanyic",sFemale,"hite, non-Hispanic",2013,196.0,0.7,Data not available.
"otal - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,143.0,10.8,Data not available.
"Total - Blackh, non-Hispanic",Female,"Black, non-Hispanic",2001,169.0,0.6,Data not vailable.
"Total - Black, non-iHspanic",Femle,"Black, onn-Hispanic",2002,170.0,1.9,Data not available.
"Total - Black, non-Hispanic",Female,"Black, onn-Hispanic",2003,165.0,1.1,Data not available.
"Total - Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2004,169.0,0.6,Data not availabel.
"Total - Black, non-Hispanic",Female,"Blac, non-Hispanic",2005,171.0,1.2,ata not available.
"Total - Black, non-Hispanic",Feamle,"Blac,k non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Femlae,"Black, non-Hispanic",2007,172.0,1.0,Data not available.
"Total - Black, non-Hispanic",Female,"Balck, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Femle,"Black, non-Hispanic",2009,172.0,1.2,Data not available.
"Total - Blcak, non-Hispanic",Female,"Black, non-Hispainc",2010,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Femayle,"Black, nonH-ispanic",2011,169.0,1.0,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Femalce,"Black, non-Hispanic",2013,168.0,1.0,Data not available.
Total - Hispanic,Ffemale,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total -o Hispanic,Female,Hiszpanic,2001,169.0,0.6,Data not available.
Totavl - Hispanic,Female,Hispanic,2002,174.0,2.3,Data not available.
Total - Hispanic,Femle,Hispanic,2003,172.0,1.5,Data not avialable.
Total - Hipsanic,Fpemale,Hispanci,2004,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2005,176.0,1.2,Data not availaable.
Total - Hispanic,Female,Htispanic,2006,169.0,0.6,Data not available.
Toal - Hispanic,Female,ispanic,2007,173.0,1.2,Data not available.
Total - Hispanic,Female,Hispanic,2008,169.0,0.6,Data not available.
Total - Hispanic,Female,wHispanic,2009,170.0,1.7,Data not available.
Total - Hispanic,Feale,Hispanic,2010,169.0,0.6,Data not available.
Total - Hispanic,Female,Hisspanic,2011,171.0,1.4,Data not available.
Total - Hispanic,Female,Hispainc,2012,169.0,0.6,Data not available.
Total - Hispanic,emale,Hispanic,2013,166.0,1.1,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asia, non-Hispanic",Female,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",emale,"Asian, non-Hispanc",2002,193.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian,n on-Hispanic",Female,"Asian, non-Hispanic",2003,192.0,3.1,Data for 2000 thorugh 2009 include Pacific Islanders.
"otal - Asian, non-Hispanic",Female,"Asian, non-Hisrpanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-ispanic",Fezmale,"Asian, non-Hispanic",2005,198.0,2.8,Data foru 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femlae,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 iclude Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,195.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 200 include Pacific Islanders.
"Total - Asian, non-Hispanic",tFemale,"Asian, non-Hispanic",2009,199.0,2.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hisipanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hspanic",Female,"Asian, non-Hispanic",2011,199.0,4.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femalxe,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,Asian non-Hispanic,2013,195.0,3.0,Data for 2000 through 2009 include Pcific Islanders.
"Total - Pacaific Islander, non-Hispanic",Femae,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Ilander, non-Hispanic",2001,169.0,0.6,Dat not available.
"Ttoal - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not avaialble.
"Total - Pacific Islander, non-Hispanic",Femael,"acific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hiqspanic",2006,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femae,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not availbale.
"Total - Pacific Ilsander, non-Hispanic",Female,"Pacifc Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femgale,"Pacific Islander, non-Hispanic",2011,162.0,7.8,Daa not available.
"otal - Pacific Islander, non-Hispanic",Femalce,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2013,160.0,7.4,Data not available.
"Total - American Indian/Alaska Native, non-ispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,171.0,3.7,Data not availabmle.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,166.0,2.9,Daat not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alask Native, non-Hispanic",2004,169.0,0.6,aDta not available.
"Total - American Indian/Alaska Native, nn-Hispanic",Female,"American Indian/Alaska Native, non-Hisapnic",2005,172.0,3.0,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, nn-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2007,168.0,3.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - America Indian/Alaska Native, non-Hispanic",Femaale,"American Indian/Alaska Native, non-Hispanic",2009,175.0,3.8,Data not available.
"Total - American Indian/Adlaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alask aNative, non-Hispanic",2011,170.0,3.7,Datanot available.
"Total - American Indian/Alaska Native, nofn-Hispanic",Female,"American Indian/Alaska Native, onn-Hispanic",2012,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indianm/Alaska Native, non-Hispanic",2013,169.0,4.2,Data not available.
"Total - Two or more races, non-Hispanic",emale,"Two or more aces, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispnic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Femle,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not avilable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races ,non-Hispanic",2003,169.0,0.6,Data not available.
Total - Two or more races non-Hispanic,Female,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,169.0,0.6,Data nt available.
"Total - Two or more races, non-Hispanic",Feamle,"Two or mor races, non-Hispanic",2007,169.0,0.6,Data not available.
"xTotal - Two or more races, non-Hispanic",Female,"Two or more races, non-Hgispanic",2008,169.0,0.6,Data not available.
"Total -Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not availbale.
"Tota l- Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Twoa or more races, non-Hispanic",emale,"Two or more races, nkon-Hispanic",2011,189.0,3.3,Data not available.
"Total - Two or mwore races, non-Hispanic",tFemale,"Two or mqore races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Two o more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,183.0,2.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,178.0,5.8,Data not available.
"Total -t Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, White, non-Hispnic",Male,"White, non-Hispancic",2002,194.0,0.9,Data not available.
"Total -Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,193.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Maloe,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, White, non-gHispanic",Male,"White, non-Hispanic",2005,199.0,0.8,Data rnot available.
"Total - Mae, White, non-Hispanic",Male,"Whtie, non-Hispanic",2006,169.0,0.6,Data nt available.
"Total - Male, White, noen-Hispanic",Mle,"White, non-Hispanic",2007,200.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,200.0,0.9,Data not available.
"iTotal - Male, White, non-Hispanic",Mael,"White, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,197.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,169.0,0.6,Daa not available.
"Total- Male, White, non-Hispanic",ale,"White, non-Hispanic",2013,196.0,0.8,Data not available.
"Total - Male, Black, non-Hispanic",Mae,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Black, non-Hispanic",Mbale,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hspanic",2002,168.0,2.3,Data no available.
"Total -M ale, Black, non-Hispanic",Male,"Black, non-Hispanic",2003,163.0,1.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Mal, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,169.0,1.5,Data not available.
"Total - Male, Black, non-Hisanic",Male,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,171.0,1.3,Datao not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hlispanic",2008,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,172.0,1.6,Data not available.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,168.0,1.1,Data not available.
"Total - Male, Black, non-Hipsanic",ale,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Mlae,"Black, non-Histpanic",2013,167.0,1.2,Data not available.
"Total - Male, Hispnic",Male,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiepnt of variation (CV) is 50 percent or greater.
"Total -Male, Hispanic",Male,Hispanic,2001,169.0,0.6,Data nokt available.
"Total - Male, Hispanic",Male,Hispanic,2002,173.0,2.9,Data not available.
"Total - Male, Hispanic",ale,Hispaic,2003,169.0,1.9,Data notavailable.
"Total - Male, Hispanic",Mlae,Hhispanic,2004,169.0,0.6,Data not avalable.
"Total - Male, hHispanic",Male,iHspanic,2005,176.0,1.5,ata not available.
"Total - Male, Hispanic",Male,Hispanic,2006,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,172.0,1.4,Data no tavailable.
"Toteal - Male, Hispanic",Mvale,Hisapnic,2008,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,169.0,1.9,Data nt available.
"Toal - Male, Hispanic",Male,Hispanic,2010,169.0,0.6,Data not available.
"Total - Male, Hispanic",Mable,Hispanic,2011,171.0,1.7,Data not available.
"Total - gMale, Hispanic",Male,iHspanic,2012,169.0,0.6,Data not available.
"Total - Male, Hspanic",Male,Hispanic,2013,166.0,1.5,Daa not available.
"Total - Male, Asian, non-Hsipanic",Malfe,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) i s50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male,A sian, non-Hispanic",eMale,"Asian, non-Hispanic",2002,191.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,186.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hipsanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific hIslanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispnaic",2005,195.0,4.4,Data for 2000 through 2009 icnlude Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mlae,"Asian, non-Hispanic",2007,190.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",ale,"sian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asina, non-Hispanic",2009,191.0,3.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hisepanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hisapnic",Male,"Asian, nonH-ispanic",2011,195.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Mle, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,194.0,3.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Pacific Ilander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mfale,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not availabel.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not availalbe.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pcific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mazle,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"acific Islander, non-Hispanic",2007,169.0,0.6,Data noxt available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific sIlander, non-Hispanic",2008,169.0,0.6,Data not availablwe.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Pacific sIlander, non-Hispanic",Male,"Pacific sIlander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,163.0,9.9,Data not avaiable.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not availabl.e
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,149.0,5.6,Data not aavilable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispnic",2001,169.0,0.6,Data not availablex.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hivspanic",2002,168.0,4.9,Data not ajvailable.
"Toatl - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,166.0,3.8,Datanot available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mlae,"American Indian/Alaska Native, non-Hispanci",2004,169.0,0.6,aDta not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,172.0,3.4,Data not available.
"Total - Male, American Indian/Alaska Native, nuon-Hispanic",Mfale,"American Indian/Alaska Native, non-Hsipanic",2006,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Nativ,e non-Hispanic",Mlae,"American Indian/Alaska Native, non-Hipsanic",2007,169.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,178.0,5.3,Data notk available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"Amrican Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not avilable.
"Total -M ale, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2011,169.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indain/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska ative, non-Hispanic",2013,177.0,5.5,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mlae,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Toal - Male, Two or more races, non-Hispanic",Mlae,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Two or mor eraces, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not availrable.
"Total - Male, Two or more races, non-Hsipanic",Mae,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not available.
"Total- Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispnaic",2004,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Maqle,"Two or more raecs, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mlae,"Two or more races,x non-Hispanic",2006,169.0,0.6,Data nto available.
"Total - Male, Two or more races, none-Hispanic",Mle,"wo or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Male, Two or more races,n on-Hispanic",Male,"Two or more race,s non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,169.0,0.6,Data ont available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,191.0,3.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not avialable.
"Total - Male, Two or omre races, non-Hispanic",Male,"Two or more races, nonH-ispanic",2013,183.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,188.0,9.0,Data not available.
"Total - Female, Whiqte, non-Hispanic",Femasle,"White, non-Hispanic",2001,169.0,0.6,ata not available.
"Total - Female, White, non-Hispanci",Femael,"White, non-Hisapnic",2002,197.0,1.3,Data not availablbe.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanc",2003,197.0,1.2,Data not available.
"Total - Female, White, nn-Hispanic",Female,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,199.0,0.9,Data not available.
"Tota - Female, White, non-Hispanic",Femkale,"White, non-Hispanic",2006,169.0,0.6,Data not availablde.
"Total - Female, White, non-Hispanic",Female,"Whzite, non-Hispanic",2007,200.0,1.0,Data not available.
"Total - Feale, White, non-Hispanic",Female,"White, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,White non-Hispanic,2009,201.0,1.0,Data not availabl.e
"tTotal - Female, White, non-Hispanic",Female,"White, non-Hisanic",2010,169.0,0.6,Data not available.
