license_no(long),license_type,issue_date,license_status,expiredate,legal_name,street_one,street_two,city,statevalue,zip,county_code(long)
2000931,Cigarette Stamping Agent & Retail,12/18/2015,Issued,2/28/2017,A J SILBERMAN AND CO LP,267 BLUE RUN ROAD,,INDIANOLA,PA,15051,2
2215438,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,ANTHONY MAZZARINI,910 W SAW MILL RUN BLVD,,PITTSBURGH,PA,15220,2
70167208,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SHEETZ INC,12000 PERRY HWY,,WEXFORD,PA,15090,2
70159080,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,2055 WASHINGTON PIKE,,CARNEGIE,PA,15106,2
70303173,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,740 W INGOMAR ROAD,,PITTSBURGH,PA,15237,1
70159085,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,6906 UNIVERSITY BLVD,,MOON TWP,PA,15108-4248,2
2000875,Cigarette Stamping Agent & Retail,1/29/2016,Issued,2/28/2017,EISENSTAT CANDY CO INC,112 ST JOSEPH ST,,PITTSBURGH,PA,15210,2
70167228,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,2100 MOSSIDE BLVD,,MONROEVILLE,PA,15146,2
70167240,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,5410 CAMPBELLS RUN ROAD,,PITTSBURGH,PA,15205,1
70167243,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,3954 WILLIAM PENN HIGHWAY,,MONROEVILLE,PA,15146,2
2265953,Cig/OTP Retail,12/30/2015,Issued,2/28/2017,SQUIRREL HILL NEWS,5804 FORBES AVE,,PITTSBURGH,PA,15217-1602,2
2266581,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SAFI MARKET LLC,1518 MIFFLIN STREET,,HOMESTEAD,PA,15120,2
70167251,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,1000 CLAIRTON BLVD,,PITTSBURGH,PA,15236,2
2258482,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ROBERT PASCULLE,944 GREENSBURG PIKE,,EAST PITTSBURGH,PA,15112,2
70167254,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,9002 UNIVERSITY BOULVARD,,MOON TOWNSHIP,PA,15108,2
2089086,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,P R A INC,426 BROADWAY,,PITCAIRN,PA,15140,2
70159090,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,7628 PENN AVE,,PITTSBURGH,PA,15221-2114,2
2176948,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MONTOUR HEIGHTS COUNTRY CLUB,1491 CORAOPOLIS HEIGHTS RD,,CORAOPOLIS,PA,15108-2958,2
2203360,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,WAYNE CROUSE,1608 COCHRAN RD,,PITTSBURGH,PA,15220-1001,2
70167278,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,2175 HULTON RD,,VERONA,PA,15147-3808,2
2161131,Cig/OTP Retail,6/21/2016,Issued,2/28/2017,JOSEPH NISTICO,552 THIRD ST,,CLAIRTON,PA,15025,2
70159099,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4900 LIBRARY RD,,BETHEL PARK,PA,15102-2810,2
2023092,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,LARRYS HOTEL,3401 WALNUT ST,,MCKEESPORT,PA,15132,2
70167284,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,3457 WILLIAM PENN HIGHWAY,,PITTSBURGH,PA,15235,2
70167286,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,3025 BABCOCK BLVD,,PITTSBURGH,PA,15237,2
70167295,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,1910 MT NEBO ROAD,,SEWICKLEY,PA,15143,2
70167299,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,4599 LIBRARY ROAD,,BETHEL PARK,PA,15102,2
2267745,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,RONNIE WARREN JR,7289 MT CARMEL RD,,PENN HILLS,PA,15235,2
2267815,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,PERRY MARKET LLC,2601 PERRYSVILLE AVENUE,,PITTSBURGH,PA,15212,2
2268130,Cig/OTP Retail,3/17/2016,Issued,2/28/2017,"SWATI, INC.",201 WEST LINCOLN AVENUE,,MCDONALD,PA,15057,2
2268217,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,R & D VENTURES INC,3406 WILLIAM PENN HIGHWAY,,WILKINS TWP,PA,15235,2
70167110,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,8607 PERRY HWY,MCCANDLESS,PITTSBURGH,PA,15237,2
2259601,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,DERF JOHNSON,7403 FRANKSTOWN AVENUE,,PITTSBURGH,PA,15208,2
2259603,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,DERF JOHNSON,7300 LEMINGTON AVE,,PITTSBURGH,PA,15235-1006,2
2259569,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,BELLEVUE TOBACCO & NEWS LLC,615 LINCOLN AVENUE,,BELLEVUE,PA,15202,2
2257275,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,RCK CRANBERRY INC,700 CHARTIERS AVENUE,,MCKEES ROCKS,PA,15136,2
2257672,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SYED & HARNEET LLC,2316 BAILIE AVENUE,,MCKEESPORT,PA,15132,2
2266747,Cig/OTP Retail,4/21/2016,Issued,2/28/2017,STEEL CITY BEER LLC,2200 MAIN ST,,SHARPSBURG,PA,15215-2811,2
2260937,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,CIGARETTES 4 LESS LLC,2100 WASHINGTON PIKE,RACEWAY PLAZA,HEIDELBERG,PA,15106,2
2255263,Cig/OTP Retail,2/11/2016,Issued,2/28/2017,CROSS KEYS LLC,806 FREEPORT ROAD,,BLAWNOX,PA,15238,2
2255713,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TIN UNITED INC,6500 SALTSBURG RD,,PITTSBURGH,PA,15235-2122,2
2261147,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,S A CONVENIENCE INC,601 MONONGAHELA AVE,,GLASSPORT,PA,15045,1
2253240,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,SHREEJI IMPEX INC,132 N HIGHLAND AVE,,PITTSBURGH,PA,15206-3022,2
70052131,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,J & L FOOD SERVICES INC,95 WARRENDALE BAYNE RD,,WARRENDALE,PA,15086-6500,2
2256474,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,RADOKOVIC ENTERPRISES LLC,5700 HOMEVILLE RD,,WEST MIFFLIN,PA,15122-3654,2
2265889,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,RADOKOVIC ENTERPRISES LLC,1826 LINCOLN HWY,,N VERSAILLES,PA,15137-2512,2
2266984,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,FMLONE CORPORATION,999 GREENTREE RD,,PITTSBURGH,PA,15220-3238,1
2261861,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,DS FOOD MART INC,929 UNION AVE,,MCKEESPORT,PA,15132-3340,2
2253690,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,DAG HARRIS INC,2001 LINCOLN WAY,,WHITE OAK,PA,15131,2
2268972,Cig/OTP Retail,3/22/2016,Issued,2/28/2017,SK & NK INC,1860 CENTRE AVE,,PITTSBURGH,PA,15219-4369,2
2269009,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,BHANGAL LLC,1003 FREEPORT RD,,CHESWICK,PA,15024-1211,2
2253898,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,SHREE VINAYAK INC,209 INDUSTRY ROAD,,BUENA VISTA,PA,15018,2
2262519,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,NEIGHBORHOOD DOLLAR INC,336 5TH AVE,,MCKEESPORT,PA,15132-2615,2
2266665,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,DELTA AANDW INC,710 BROWN AVENUE,,TURTLE CREEK,PA,15145,2
2257709,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,KAMALJIT KAUR,1300 WOODLAND AVENUE,,PITTSBURGH,PA,15212,2
2262880,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,KRUPA GAS CORPORATION,2520 WASHINGTON ROAD,,PITTSBURGH,PA,15241,2
2254932,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,BROOKLINE MINIMART INC,1001 BROOKLINE BLVD,,BROOKLINE,PA,15226,2
2257836,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,OLD ALLEGHENY SMOKE SHOP LLC,4755 CLAIRTON BLVD,,PITTSBURGH,PA,15236,2
2255470,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,1311 PARTNERS LLC,1311 E CARSON ST,,PITTSBURGH,PA,15203,2
2257974,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,GLOBAL CONTACTS LLC,2602 FREEPORT ROAD,,NATRONA HEIGHTS,PA,15065,2
2259545,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,GLOBAL CONTACTS LLC,3039 FREEPORT RD,,NATRONA HTS,PA,15065-1909,2
2258140,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,K&T FISH AND CHICKEN INC,4521 CENTRE AVENUE,,PITTSBURGH,PA,15213,2
2258669,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,DIAMOND D ENTERPRISES INC,1450 STATE ROUTE 51,SUITE 104,JEFFERSON HILLS,PA,15025,2
2256166,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,SGII ENERGY LLC,8936 FRANKSTOWN RD,,PITTSBURGH,PA,15235-1427,2
2182259,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,GEORGE NORKUS,818 E WARRINGTON AVE,,PITTSBURGH,PA,15210-1560,2
2183202,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,BUTTERMILK HOLLOW SUPER DOLLAR INC,4647 BUTTERMILK HOLLOW RD,,WEST MIFFLIN,PA,15122,2
2256315,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,INDS INC,500 PINE HOLLOW ROAD,,MCKEES ROCKS,PA,15136,2
2252275,Cig/OTP Retail,3/11/2016,Issued,2/28/2017,LAXMI NARAYANA CORPORATION,1405 N STATE STREET,,CLAIRTON,PA,15025,2
2254716,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,LAXMI NARAYANA CORPORATION,1739 PENNSYLVANIA AVE,,WEST MIFFLIN,PA,15122-3928,2
2263064,Cig/OTP Retail,3/11/2016,Issued,2/28/2017,LAXMI NARAYANA CORPORATION,2405 ROUTE 206,,PITTSBURGH,PA,15239,2
2060088,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,BLOOMS INC,2716 5TH AVE,,MCKEESPORT,PA,15132-1132,2
2212484,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,B L B FOODS INC,800 MCKEESPORT RD,,ELIZABETH,PA,15037,1
2241866,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,DINO DEFLAVIO,1200 S BRADDOCK AVE,,PITTSBURGH,PA,15218-1279,2
2267554,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,SITARAM OIL CORPOARTION,2000 S BRADDOCK AVE,,PITTSBURGH,PA,15218-2160,2
2260418,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,ABBEANA MURRAY,2408 REED ST,,PITTSBURGH,PA,15219-8800,2
2268116,Cig/OTP Retail,6/20/2016,Issued,2/28/2017,VILLAIN VAPE SHOP LLC,1415 PITTSBURGH ST,,CHESWICK,PA,15024,2
2268298,Retail,8/24/2016,Issued,2/28/2017,"CHAUTARI, INC",2116 BROWNSVILLE RD,,PITTSBURGH,PA,15210-4206,2
2268619,Cig/OTP Retail,7/8/2016,Issued,2/28/2017,DHARAJ BROS LLC,3004 WILLOWBROOK DR,,BRIDGEVILLE,PA,15017-1544,2
70158170,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,5504 WALNUT ST,,PITTSBURGH,PA,15232-2312,2
70158171,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,230 HAYS AVE,,PITTSBURGH,PA,15210-2202,2
70158174,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,209 ATWOOD ST,,PITTSBURGH,PA,15213-4001,2
70158175,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,2300 JANE ST,,PITTSBURGH,PA,15203-2361,2
70158176,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,1700 MURRAY AVE,,PITTSBURGH,PA,15217-1604,2
2249987,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PERVEEN CHAUDHRY,537 E OHIO ST,,PITTSBURGH,PA,15212-5516,1
2249658,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,HARTLEY INC,2362 GOLDEN MILE HWY,,PITTSBURGH,PA,15239-2710,2
70158260,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,725 LYSLE BLVD,,MCKEESPORT,PA,15132-2515,2
2170150,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,HAMMS MARKET,1239 ITEN ST,,PITTSBURGH,PA,15212,1
70158279,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,412 BROADWAY ST,,CORAOPOLIS,PA,15108-1632,2
70158291,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,6375 LIBRARY RD,,SOUTH PARK,PA,15129-8502,2
2250650,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,PUJA ENTERPRISES INC,5900 UNIVERISTY BLVD,,CORAOPOLIS,PA,15108,2
70158348,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,210 9TH STREET,,GLASSPORT,PA,15045-1652,2
70158394,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,RITE AID OF PENNSYLVANIA INC,300 MARKET STREET,,ELIZABETH,PA,15037,2
2256677,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,NAEEM KHOKHAR,256S HIGHLAND AVENUE,,PITTSBURGH,PA,15206,2
70048009,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,107 WALMART DR,,N VERSAILLES,PA,15137-1531,2
70048039,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,600 RODI RD,,PITTSBURGH,PA,15235-4524,2
70048061,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,SUNOCO INC R & M,2000 EASTERN AVE,,VERONA,PA,15147-3847,2
70048064,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,SUNOCO INC R & M,1020 MOUNT ROYAL BLVD,,PITTSBURGH,PA,15223-1033,2
70048065,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,SUNOCO INC R & M,195 N CRAIG ST,,PITTSBURGH,PA,15213-1555,2
70190344,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,513 PERRY HWY,,PITTSBURGH,PA,15229-1820,1
70190346,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,1701 DUNCAN AVE,,ALLISON PARK,PA,15101-2865,2
70190354,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,1804 GOLDEN MILE HWY,,PITTSBURGH,PA,15239-2828,2
70190361,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,623 SMITHFIELD ST,,PITTSBURGH,PA,15222-2505,2
70190378,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,7345 SALTSBURG RD,,PENN HILLS,PA,15235-2222,2
2257241,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,INDRAVADAN ARYA,1118 CARSON STREET,,PITTSBURGH,PA,15203,2
2251664,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,BANK JANI,726 BROADWAY AVE,,MC KEES ROCKS,PA,15136-2226,2
2252717,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,KEVIN BERTOCKI,328 E 6TH AVE,,TARENTUM,PA,15084,2
2268943,Cig/OTP Retail,2/26/2016,Issued,2/28/2017,LADANI PETRO INC,319 S CRAIG ST,,PITTSBURGH,PA,15213-3726,2
2246027,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,DEEP ENTERPRISE INC,4061 PERRYSVILLE AVE,,PITTSBURGH,PA,15214,2
2259989,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,LAWRENCE LABAD & WAEL LOBBAD LABAD,1727 PENN AVE,,PITTSBURGH,PA,15222-4320,2
2267996,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,AYUVED INC,10991 FRANKSTOWN RD,,PENN HILLS,PA,15235-3045,2
2267686,Cig/OTP Retail,3/9/2016,Issued,2/28/2017,CRUISERS LLC,5735 BAUM BLVD,,PITTSBURGH,PA,15206-3703,2
4263264,Cig/OTP Retail,3/9/2016,Issued,2/28/2017,CRUISERS LLC,3186 BRODHEAD RD REAR,,ALIQUIPPA,PA,15001-1374,2
2250148,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,DAILY MART CONVENIENCE STORE INC,1125ARLINGTON AVE,,PITTSBURGH,PA,15203,2
2268520,Cig/OTP Retail,2/9/2016,Issued,2/28/2017,HOMEWOODS QUICK PICK INC,7201 FRANKSTOWN ROAD,,PITTSBURGH,PA,15208,2
2252104,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,MSPG INC,1969 LINCOLN HWY,,WHITE OAK,PA,15131,2
2255892,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,TJS BEER DISTRIBUTOR INC,316 BROADWAY,,PITCAIRN,PA,15140,2
2288302,Cig/OTP Retail,2/23/2016,Issued,2/28/2017,SHRAAM CORP.,141 MCKEESPORT RD,,ELIZABETH,PA,15037-1650,2
2288478,Cig/OTP Retail,2/22/2016,Issued,2/28/2017,BROAD LEAF CLUB LLC,424 BROAD ST,,SEWICKLEY,PA,15143-1534,2
2288663,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,"SMOKE WIZARD, LLC",CENTURY III MALLL,3075 CLAIRTON RD,WEST MIFFLIN,PA,15123-0021,2
2288718,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,ANYTIME MARKET INC,730 BROADWAY AVE,,MC KEES ROCKS,PA,15136-2226,2
2288746,Cig/OTP Retail,3/9/2016,Issued,2/28/2017,TRIANGLE CANDY & TOBACCO COMPANY INC,145 SANDY CREEK RD,,VERONA,PA,15147-1727,2
2288807,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,6513A STEUBENVILLE PIKE,,PITTSBURGH,PA,15205,2
2288779,Cig/OTP Retail,3/22/2016,Issued,2/28/2017,GARFIELD MARKET INC,340 NORTH AIKEN AVENUE,,PITTSBURGH,PA,15206,2
2288450,Cig/OTP Retail,7/12/2016,Issued,2/28/2017,FAYAD ENTERPRISE INC,2929 SAW MILL RUN BLVD,,PITTSBURGH,PA,15227-2311,2
2288760,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,ENIGMA INC,738 BELLEFONTE STREET 2ND FLOOR,,PITTSBURGH,PA,15232,2
2288675,Cig/OTP Retail,5/11/2016,Issued,2/28/2017,STEAMWORKS VAPOR COMPANY LLC,4967 WILLIAM FLYNN HWY STE 6,,GIBSONIA,PA,15044-8405,2
2288811,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,DIALLO FAMILY UNITED INC,7520 STEUBENVILLE PIKE,,OAKDALE,PA,15071-9330,2
2288371,Cig/OTP Retail,2/10/2016,Issued,2/28/2017,JODHA LLC,2200 BABCOCK BLVD,,PITTSBURGH,PA,15237-3218,2
2288557,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,6513-B STEUBENVILLE PIKE,,PITTSBURGH,PA,15205,2
2288445,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,"A & F, LLC",544 NORTH AVE,,MILLVALE,PA,15209-2349,2
2288457,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,HEMA DULANI,5150 BUTLER STREET,,PITTSBURGH,PA,15201,2
2288301,Cig/OTP Retail,2/23/2016,Issued,2/28/2017,SHRAAM CORP.,2002 LINCOLN BLVD # 2004,,ELIZABETH,PA,15037-2900,2
2288780,Cig/OTP Retail,3/3/2016,Issued,2/28/2017,CHOICE CIGARETTE OUTLET OF OAKDALE INC,7859 STUEBENVILLE PIKE,,OAKDALE,PA,15071,2
2288619,Cig/OTP Retail,7/27/2016,Issued,2/28/2017,"HOMEWOOD'S FRANKSTOWN MARKET, INC.",7210 FRANKSTOWN AVE,,PITTSBURGH,PA,15208-1452,2
2288829,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,ARASK ASSOCIATION INC,7615 SALSTBURG RD,,PLUM,PA,15239,1
2288703,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,BEER D SPENCER LLC,201 N 2ND AVE,,ELIZABETH,PA,15037-1534,2
2288680,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHREE AMBIKA INC,280 HULTON RD,,VERONA,PA,15147-3510,2
2288679,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ELEGANT BEAUTY STORE INC,2140 WYLIE AVE,,PITTSBURGH,PA,15219-6343,2
2288355,Cig/OTP Retail,2/18/2016,Issued,2/28/2017,HIDEAWAY MINI MART INC,815 BROOKLINE BLVD,,PITTSBURGH,PA,15226-2103,2
2288692,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HANINI'S MARKET,2625 BROWNSVILLE RD,,PITTSBURGH,PA,15227,1
