449.countyname,ROEGRS,ROGERS
480.districtname,EMmPIRE,EMPIRE
260.fax,(405) 282-5b904,(405) 282-5904
382.mailingaddress,"305 West First Strete
Quapaw, OK 74363
(36.95806560900047, -94.7902874889997)","305 West First Street
Quapaw, OK 74363
(36.95806560900047, -94.7902874889997)"
54.mailingaddress,"304 Highland St.
Stringtown, OK 74569
(34.46593218500044, -96.05201645999966)","904 South Maple Road
Calumet, OK 73014
(35.52712060200048, -98.16695477699966)"
475.countyname,STEPHEjNS,STEPHENS
483.boardpresident,Louis J. Lonqg,Louis J. Long
41.mailingaddress,"504 West Main
Forgan, OK 73938
(36.907069555000476, -100.53572912699968)","10108 Cr 1150
Lookeba, OK 73053
(35.36618287500045, -98.3933894059997)"
69.mailingaddress,"4762 State Highway 199
Ardmore, OK 73401
(34.187259956000446,m -96.98463692599967)","4762 State Highway 199
Ardmore, OK 73401
(34.187259956000446, -96.98463692599967)"
222.countyname,KINGFSIHER,KINGFISHER
494.districtname,RFEDERICK,FREDERICK
77.boardpresident,Charly Holcomb,Charley Holcomb
39.fax,(918) 696-6226,(580) 924-6019
486.code,7k0I008,70I008
300.code,48bI071,48I071
529.boardpresident,Sammy Stbbs,Sammy Stubbs
506.fax,918) 396-1799,(918) 396-1799
271.fax,(580) 796-2k350,(580) 796-2350
386.code,8I031,58I031
298.mailingaddress,"339 Main St.
Smithville, K 74957
(34.470476704000475, -94.6448419789997)","339 Main St.
Smithville, OK 74957
(34.470476704000475, -94.6448419789997)"
57.superintendent,Crig Mcvay,Craig Mcvay
421.fax,(405)k 273-8926,(405) 273-8926
113.districtname,KECHUM,KETCHUM
122.fax,(918)865-3405,(918) 865-3405
50.districtname,BINGER-ONY,BINGER-ONEY
190.phone,(918)9 45-7237,(918) 945-7237
295.code,g48I006,48I006
511.websiteurl,http://www.grlenpool.k12.ok.us,http://www.glenpool.k12.ok.us
26.code,07I005,05I031
75.fax,(918) 456-1562,(918) 456-1526
469.districtname,VAIN,VIAN
503.phone,(918)r 366-2200,(918) 366-2200
506.mailingaddress,"355 South Osag Street
Skiatook, OK 74070
(36.36628195200046, -96.00125860299966)","355 South Osage Street
Skiatook, OK 74070
(36.36628195200046, -96.00125860299966)"
57.code,01C019,09I034
34.mailingaddress,"77943 Hwy 59 N.
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","101 N 5Th Ave
Achille, OK 74720
(33.83501551600045, -96.3930176509997)"
462.countyname,kSEMINOLE,SEMINOLE
167.superintendent,Alto nRawlins,Alton Rawlins
308.superintendent,ary Jones,Gary Jones
232.mailingaddress,"4384 Southeast Highway 63
Talihina, OK 4571
(34.73134872300045, -95.24576290199968)","4384 Southeast Highway 63
Talihina, OK 74571
(34.73134872300045, -95.24576290199968)"
63.code,02I001,10I021
55.mailingaddress,"124 W. Park St.
Hinton, OK 73047
(35.47444640300046, -98.35601998799967)","713 Piedmont Road North
Piedmont, OK 73078
(35.64619013100048, -97.74526868599969)"
128.mailingaddress,"144 S. Elm
Kellyville, OK 74039
(35.942395339000484, -96.213375m6349997)","144 S. Elm
Kellyville, OK 74039
(35.942395339000484, -96.2133756349997)"
230.fax,(918) 465-3068,(918) 465-3086
292.mailingaddress,"Rural Route 4, Box 230
Idabel, OK 74745
(33.89487276800048, -94.82w409773699965)","Rural Route 4, Box 230
Idabel, OK 74745
(33.89487276800048, -94.82409773699965)"
313.fax,(918) 464-213,(918) 464-2313
268.districtname,RINGWOD,RINGWOOD
499.districtname,TULSA CHARTER: LIGHTHOUSE vACAD,TULSA CHARTER: LIGHTHOUSE ACAD
177.countyname,GRAwDY,GRADY
250.code,40I0j91,40I091
460.countyname,SEIMNOLE,SEMINOLE
272.mailingaddress,"601 West Mcarthur Street
Madill, KO 73446
(34.08618366200045, -96.77822668299967)","601 West Mcarthur Street
Madill, OK 73446
(34.08618366200045, -96.77822668299967)"
221.mailingaddress,"18319 N 2700 Rd
Omega, O K73764
(35.84831339800047, -98.18952365399969)","18319 N 2700 Rd
Omega, OK 73764
(35.84831339800047, -98.18952365399969)"
486.mailingaddress,"801 N. Beaver
Guymon, OK 73942
(36.68593379400045 ,-101.4880120099997)","801 N. Beaver
Guymon, OK 73942
(36.68593379400045, -101.4880120099997)"
4.superintendent,Charlse Benham,Charles Benham
118.mailingaddress,"30899 South 417Th West Avenue
Depew, OK7 4028
(35.71310994500044, -96.45885679799966)","30899 South 417Th West Avenue
Depew, OK 74028
(35.71310994500044, -96.45885679799966)"
263.countyname,OLGAN,LOGAN
49.superintendent,Kyle Lirele,Kyle Lierle
4.code,02I001,01C028
479.districtname,ELMA-ALMA,VELMA-ALMA
423.code,63I02,63I002
285.countyname,MCCLANI,MCCLAIN
418.superintendent,BlakeMoody,Blake Moody
150.fax,(58) 938-8019,(580) 938-8019
321.fax,(580) 725-3m278,(580) 725-3278
451.boardpresident,Lrry Mallory,Larry Mallory
514.districtname,mCOWETA,COWETA
427.mailingaddress,"1301 East Highland Street
Tecumseh, OK 74873
(35.25354769300485, -96.92093102399969)","1301 East Highland Street
Tecumseh, OK 74873
(35.253547693000485, -96.92093102399969)"
47.phone,(580) 889-7355,(405) 489-3216
442.districtname,SWhEETWATER,SWEETWATER
45.mailingaddress,"Rural Route 1 Box 1589
Bunch, OK 74931
(35.73982727800046, -94.83477776099966)","326 W. Windle Avenue
Cyril, OK 73029
(34.898583105000455, -98.20947794899968)"
360.code,56oI001,56I001
215.boardpresident,Dustni Schickram,Dustin Schickram
350.boardpresident,Kein Mcbrayer,Kevin Mcbrayer
475.districtname,GRANDVEIW,GRANDVIEW
285.superintendent,A.J. rewer,A.J. Brewer
162.countyname,GARVxIN,GARVIN
42.fax,(580) 852-3280,(405) 247-6819
33.mailingaddress,"Rural Route 6, Box 2840
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","200 East Steakley Street
Bokchito, OK 74726
(34.01897966900049, -96.14305822299968)"
410.countyname,IPTTSBURG,PITTSBURG
213.districtname,WPAANUCKA,WAPANUCKA
28.code,01C022,06I009
531.boardpresident,Lynn Esaterwood,Lynn Easterwood
36.mailingaddress,"504 West Main
Forgan, OK 73938
(36.907069555000476, -100.53572912699968)","600 S. Mcpherren St.
Caddo, OK 74729
(34.12543771400044, -96.26919291699966)"
342.boardpresident,Jac Kirk,Jace Kirk
57.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","100 South Bickford Avenue
El Reno, OK 73036
(35.53286080500044, -97.95379380799966)"
159.districtname,WHITEEAD,WHITEBEAD
282.fax,(405) 783-4j237,(405) 783-4237
482.websiteurl,http://www.braydoyle.k12.ok.yus/,http://www.braydoyle.k12.ok.us/
201.phone,q(580) 648-2243,(580) 648-2243
428.districtname,SHAWNEE***,SHAWNEE
296.boardpresident,Gaylen Halye,Gaylen Hale
261.websiteurl,htp://www.crescentok.com,http://www.crescentok.com
142.districtname,OCLCORD,COLCORD
17.fax,(918) 696-2193,(580) 889-2513
500.superintendent,Keith Ballrad,Keith Ballard
27.mailingaddress,"504 West Main
Forgan, OK 73938
(36.907069555000476, -100.53572912699968)","319 S. Pine St.
Erick, OK 73645
(35.21258417500047, -99.86410381699966)"
269.fax,(580) 63-2256,(580) 463-2256
195.districtname,CAVLIN,CALVIN
52.phone,(580) 625-3444,(405) 262-0598
216.fax,(508) 363-5513,(580) 363-5513
252.mailingaddress,"901 South Chs Street
Chandler, OK 74834
(35.70352190200046, -96.88458624599969)","901 South Chs Street
Chandler, OK 74834
(35.70352910200046, -96.88458624599969)"
256.code,1I095,41I095
373.fax,(918) a287-4461,(918) 287-4461
447.superintendent,Rich Mscpadden,Rich Mcspadden
309.code,0I010,50I010
234.fax,(918) 9k63-2605,(918) 963-2605
479.phone,(580) 444-335,(580) 444-3355
401.code,61I00b1,61I001
98.countyname,OAL,COAL
65.code,02I001,10I032
416.countyname,PONTTOOC,PONTOTOC
43.websiteurl,hrttp://www.carnegieschools.com,http://www.carnegieschools.com
471.superintendent,Larryi Calloway,Larry Calloway
124.websiteurl,http://ww.olive.k12.ok.us,http://www.olive.k12.ok.us
324.mailingaddress,"Rural Route 1, Box 377-7
South Coffeyville, OK 74702
(36.99182757800048, -95.62052855599967)","Rural Route 1, Box 377-7
South Coffeyville, OK 74072
(36.99182757800048, -95.62052855599967)"
90.boardpresident,J. B. Southerlnad,J. B. Southerland
33.phone,(580) 889-6611,(580) 295-3137
183.code,28I00z3,28I003
403.mailingaddress,"3Rd &amp; Riley Street
Haileyville, OK 74546
(34.8544020500047, -95.5818971119997)","3Rd &amp; Riley Street
Haileyville, OK 74546
(34.85440205700047, -95.5818971119997)"
319.districtname,PORMU,PORUM
63.mailingaddress,"407 N 6Th Street
Fort Cobb, OK 73038
(35.09784254800047, -98.44128351499967)","16624 Us Hwy 77
Springer, OK 73458
(34.31230053100046, -97.14295729299965)"
360.boardpresident,Mike Jams,Mike James
121.superintendent,Jeanpene Barnett,Jeanene Barnett
22.code,01C022,04I123
153.countyname,cGARFIELD,GARFIELD
378.websiteurl,http://www.prue.k1.2ok.us,http://www.prue.k12.ok.us
65.superintendent,Todd Garrison***,Todd Garrison
478.websiteurl,http://www.marlow.k12.k.us,http://www.marlow.k12.ok.us
49.fax,(918) 696-6746,(405) 643-2547
356.districtname,CROOKE OAK,CROOKED OAK
51.fax,(580) 646-3499,(405) 262-2925
108.countyname,COMANHE,COMANCHE
55.countyname,CAANDIAN,CANADIAN
144.superintendent,Coby Nnelson,Coby Nelson
483.code,07C009,70C009
464.superintendent,BillLondon,Bill London
263.mailingaddress,"700 S Cottingham
Coyle, OK 73027
(35.95095187200047, -97.2392437099967)","700 S Cottingham
Coyle, OK 73027
(35.95095187200047, -97.23592437099967)"
193.websiteurl,http:/www.wetumka.k12.ok.us,http://www.wetumka.k12.ok.us
43.fax,(918) 696-6746,(580) 654-1644
131.superintendent,Bob Hagard,Bob Haggard
195.boardpresident,MarkBattershell,Mark Battershell
80.phone,(918) 458-410,(918) 458-4100
364.fax,(918) 756-212e2,(918) 756-2122
304.websiteurl,http//www.eufaula.k12.ok.us/,http://www.eufaula.k12.ok.us/
98.code,15I02,15I002
145.boardpresident,Bob Tayte,Bob Tate
9.code,01I030,01I025
307.districtname,HNNA,HANNA
406.boardpresident,Ro dGriffith,Rod Griffith
45.code,01C024,08I064
493.countyname,TILLAN,TILLMAN
210.code,k35I020,35I020
91.mailingaddress,"1500 Southeast 4Th Street
Moore, OK 7i3160
(35.33417285200045, -97.46534039499966)","1500 Southeast 4Th Street
Moore, OK 73160
(35.33417285200045, -97.46534039499966)"
63.districtname,SPRIyNGER,SPRINGER
32.fax,(918) 696-2199,(580) 920-7988
496.boardpresident,Dwight aHworth,Dwight Haworth
288.mailingaddress,"211 North Tyler AvenueB
lanchard, OK 73010
(35.13785414700044, -97.65314881299969)","211 North Tyler Avenue
Blanchard, OK 73010
(35.13785414700044, -97.65314881299969)"
371.superintendent,BrettBanker,Brett Banker
158.districtname,OVINGTON-DOUGLAS,COVINGTON-DOUGLAS
405.districtname,QUINiTON,QUINTON
48.code,01C032,08I161
276.superintendent,Lrry Larmon,Larry Larmon
501.countyname,TULAS,TULSA
24.mailingaddress,"412 East 5Th Street
Cherokee, OK 73728
(36.753647153000486, -98.35294801199967)","19693 East 1130 Road
Elk City, OK 73644
(35.40958079000046, -99.41491757899968)"
25.districtname,ELK CnITY,ELK CITY
227.code,38I020,38I002
521.countyname,WASITA,WASHITA
445.phone,(18) 923-4200,(918) 923-4200
35.fax,(918) 696-2199,(580) 296-2088
35.code,07I005,07I004
477.websiteurl,http://www.comanche.k1.ok.us,http://www.comanche.k12.ok.us
423.fax,(405) 964k-5559,(405) 964-5559
80.superintendent,Lisa Preslery,Lisa Presley
162.code,25I07,25I007
41.fax,(580) 852-3280,(405) 457-6382
338.fax,4(05) 524-9471,(405) 524-9471
282.phone,(405) 83-4366,(405) 783-4366
394.countyname,PAYEN,PAYNE
268.countyname,MAOJR,MAJOR
25.fax,(918) 696-2192,(580) 225-8644
79.districtname,kHULBERT,HULBERT
38.fax,(918) 696-2193,(580) 434-5800
435.districtname,RATTAxN,RATTAN
193.superintendent,Donna Mcge,Donna Mcgee
416.boardpresident,Charlie aHll,Charlie Hall
46.phone,(918) 422-5311,(405) 966-2236
21.mailingaddress,"77943 Hwy 59 N.
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","Rural Route 1, Box 37
Balko, OK 73931
(36.59213921200046, -100.66138668599967)"
44.fax,(580) 852-3280,(580) 588-3400
99.websiteurl,http://www.flowermpound.k12.ok.us,http://www.flowermound.k12.ok.us
486.districtname,GUYMN,GUYMON
84.phone,(580) 83-2712,(580) 873-2712
25.mailingaddress,"504 West Main
Forgan, OK 73938
(36.907069555000476, -100.53572912699968)","222 West Broadway Avenue
Elk City, OK 73644
(35.41065399800044, -99.4065374809997)"
399.code,1C056,61C056
366.mailingaddress,"8867 Chestnut Road
Henryetta, OK 74437
(35.50746203100044, 9-6.03662656299969)","8867 Chestnut Road
Henryetta, OK 74437
(35.50746203100044, -96.03662656299969)"
253.fax,918) 377-2553,(918) 377-2553
461.mailingaddress,"36085 Ew 1140
Seminole, OK 74868
(35.36268049400047, -96.62700684799967)***","36085 Ew 1140
Seminole, OK 74868
(35.36268049400047, -96.62700684799967)"
432.boardpresident,RebeccaLudlow,Rebecca Ludlow
32.superintendent,Dr.B ill Caruthers,Dr. Bill Caruthers
201.fax,(580) 64-82501,(580) 648-2501
327.superintendent,aDnielle Deere,Danielle Deere
177.phone,(405) 453-7427,(405) 453-7247
102.boardpresident,Coljleen Longacre,Colleen Longacre
316.districtname,HpILLDALE,HILLDALE
65.mailingaddress,"304 Highland St.
Stringtown, OK 74569
(34.46593218500044, -96.05201645999966)","16841 Us Hwy 70
Lone Grove, OK 73443
(34.17283295000044, -97.26142108199969)"
367.phone,(918) 652-u9625,(918) 652-9625
434.code,e64C015,64C015
220.websiteurl,http://awww.dover.k12.ok.us,http://www.dover.k12.ok.us
326.mailingaddress,"600 E. 5Th
South Coffeyville, OK 74072
(36.99182758700048, -95.62052855599967)","600 E. 5Th
South Coffeyville, OK 74072
(36.99182757800048, -95.62052855599967)"
109.countyname,OTTON,COTTON
39.websiteurl,http://www.durantids.org,http://www.durantisd.org
524.fax,(j580) 832-1090,(580) 832-1090
85.districtname,SPOER,SOPER
381.fax,(918) 67-82304,(918) 678-2304
513.boardpresident,Nickl Davis,Nick Davis
59.phone,(918) 696-2285,(405) 376-2461
121.fax,(918) 367-848,(918) 367-5848
147.districtname,FARGcO,FARGO
209.boardpresident,Shaon Beratto,Sharon Beratto
474.districtname,CENTRwAL,CENTRAL
501.mailingaddress,"11 West Broadway
Sand Springs, OK 74063
(36.13967876300046, -96.1044756699965)","11 West Broadway
Sand Springs, OK 74063
(36.13967876300046, -96.11044756699965)"
395.countyname,ePAYNE,PAYNE
297.countyname,MCCwURTAIN,MCCURTAIN
117.code,19dC008,19C008
469.countyname,SQUOYAH,SEQUOYAH
222.websiteurl,http://www.kingfisherk.12.ok.us/,http://www.kingfisher.k12.ok.us/
26.fax,(580) 889-6144,(580) 928-5538
36.superintendent,RichardT homas,Richard Thomas
330.superintendent,ony Dean,Tony Dean
301.districtname,BROKEN BWO,BROKEN BOW
510.districtname,OWASO,OWASSO
237.fax,(918) 6592-275,(918) 659-2275
51.phone,(580) 588-3369,(405) 262-2907
315.superintendent,Mke Garde,Mike Garde
269.superintendent,Bary Nault,Barry Nault
504.mailingaddress,"205 East B StreetJenks, OK 74037
(36.024617811000496, -95.9675607049997)","205 East B Street
Jenks, OK 74037
(36.024617811000496, -95.9675607049997)"
155.fax,(580) 578-3504,(580) 758-3504
39.mailingaddress,"1020 N. Noble
Watonga, OK 73772
(35.85437047700049, -98.41303687799967)","1323 Waco Street
Durant, OK 74701
(34.006973798000445, -96.38670750299968)"
297.districtname,EpAGLETOWN,EAGLETOWN
152.code,24I18,24I018
50.superintendent,Kirk Wilshon,Kirk Wilson
481.fax,(850) 658-8006,(580) 658-8006
438.phone,(580) 298-559,(580) 298-5549
403.websiteurl,http://www.haileyville.k12o.k.us,http://www.haileyville.k12.ok.us
207.districtname,MANcNSVILLE,MANNSVILLE
52.mailingaddress,"Rural Route 1 Box 1589
Bunch, OK 74931
(35.73982727800046, -94.83477776099966)","2455 North Banner Road
El Reno, OK 73036
(35.494103021000456, -97.84875457199968)"
482.code,9I042,69I042
33.superintendent,Pureston Burns,Preston Burns
511.fax,(918) p322-1529,(918) 322-1529
383.countyname,OTTAWA***,OTTAWA
284.superintendent,Chd Clanton,Chad Clanton
55.superintendent,James yWhite,James White
190.countyname,HASEKLL,HASKELL
393.fax,(405) 5472020,(405) 547-2020
231.districtname,RE OAK,RED OAK
62.mailingaddress,"Rural Route 6, Box 2840
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","800 M Street Ne
Ardmore, OK 73401
(34.17922386300046, -97.11194599199968)"
303.code,49C01h6,49C016
424.districtname,BETHL,BETHEL
406.websiteurl,http/:/Butner.k12.ok.us,http://Butner.k12.ok.us
200.districtname,ELORADO,ELDORADO
42.boardpresident,Betty Geis,Greg Delaney
206.phone,(580)2 28-3373,(580) 228-3373
232.countyname,LATIhMER,LATIMER
179.websiteurl,htpt://www.medford.k12.ok.us,http://www.medford.k12.ok.us
455.mailingaddress,"300 W 10Th
Wewoka, OK 74884
(35.14892561500045, -9.49549996499968)","300 W 10Th
Wewoka, OK 74884
(35.14892561500045, -96.49549996499968)"
326.districtname,SOUTH COFFEYIVLLE,SOUTH COFFEYVILLE
79.mailingaddress,"316 Rider Lane
ulbert, OK 74441
(35.932320037000466, -95.14504696599965)","316 Rider Lane
Hulbert, OK 74441
(35.932320037000466, -95.14504696599965)"
290.superintendent,KurtN eal,Kurt Neal
362.fax,(918) 733-425,(918) 733-4205
89.boardpresident,Avis Straksner,Avis Strasner
310.mailingaddress,"115 E. Walnut
Wainwright, OK 74468
(35.61248198800047, -95.564844o2319997)","115 E. Walnut
Wainwright, OK 74468
(35.61248198800047, -95.5648442319997)"
322.boardpresident,Cherjyl Lane,Cheryl Lane
225.boardpresident,Heather ance,Heather Nance
186.districtname,BUFFAOL,BUFFALO
497.superintendent,ric Doss,Eric Doss
358.mailingaddress,"900 North Klein Avenue
Oklahoma City, OK 73106
(35.4769136700044, -97.53189459299966)","900 North Klein Avenue
Oklahoma City, OK 73106
(35.47691376700044, -97.53189459299966)"
351.phone,(405)399-9215,(405) 399-9215
528.countyname,WOcODWARD,WOODWARD
415.countyname,PONTOOTC,PONTOTOC
57.phone,(580) 225-5460,(405) 262-1703
307.superintendent,Paptricia Berry,Patricia Berry
237.countyname,LE LORE,LE FLORE
282.boardpresident,Regina Maddn,Regina Madden
340.boardpresident,Rhodna Thompson,Rhonda Thompson
182.boardpresident,Shwn Laughlin,Shawn Laughlin
256.websiteurl,http://www.meeker.k12.ok.su,http://www.meeker.k12.ok.us
11.fax,(918) 422-5556,(580) 431-2237
30.mailingaddress,"412 East 5Th Street
Cherokee, OK 73728
(36.753647153000486, -98.35294801199967)","110 Southwest Embree Drive
Geary, OK 73040
(35.62890349400044, -98.31782037499966)"
36.fax,(580) 852-3280,(580) 367-2837
441.districtname,CHEYrENNE,CHEYENNE
32.boardpresident,Cecil Mackey,Ken Grider
512.countyname,TLSA,TULSA
276.countyname,MAYSE,MAYES
48.phone,(580) 596-3391,(405) 542-3257
69.boardpresident,Kent Doncia,Kent Donica
60.mailingaddress,"504 West Main
Forgan, OK 73938
(36.907069555000476, -100.53572912699968)","110 N. Freehome
Calumet, OK 73014
(35.60116541600047, -98.12108824099965)"
452.phone,918) 266-7227,(918) 266-7227
15.code,03I015,03C022
454.phone,k(405) 382-5085,(405) 382-5085
254.countyname,LINCONL,LINCOLN
278.mailingaddress,"202 Se 1St St.
Adair, OK 74330
(36.43501795900405, -95.26893684999965)","202 Se 1St St.
Adair, OK 74330
(36.43501795900045, -95.26893684999965)"
347.countyname,OKALHOMA,OKLAHOMA
152.mailingaddress,"705 Fifth
Kremlin, OK 73753
(36.54398317900046, -97.830451665997)","705 Fifth
Kremlin, OK 73753
(36.54398317900046, -97.8304516659997)"
51.websiteurl,http://www.riersidenews.webs.com,http://www.riversidenews.webs.com
81.boardpresident,Denni Lee,Dennis Lee
281.mailingaddress,"521 North Mccracken
Cohouteau, OK 74337
(36.19263929300047, -95.34504046599966)","521 North Mccracken
Chouteau, OK 74337
(36.19263929300047, -95.34504046599966)"
116.websiteurl,http://wwvw.vinitahornets.com,http://www.vinitahornets.com
230.superintendent,Beatirce Butler,Beatrice Butler
325.websiteurl,http:/www.npsok.org,http://www.npsok.org
151.mailingaddress,"209 West Locust
Waukomis, OK 73773
(36.27656550j800049, -97.89905295599965)","209 West Locust
Waukomis, OK 73773
(36.27656550800049, -97.89905295599965)"
448.websiteurl,http://www.oologah.k12.okus,http://www.oologah.k12.ok.us
392.mailingaddress,"314 South Lewis Streeit
Stillwater, OK 74074
(36.11873686100046, -97.05733130899966)","314 South Lewis Street
Stillwater, OK 74074
(36.11873686100046, -97.05733130899966)"
331.mailingaddress,"302 E. 6Th
Weleetka, OK 74880
(35.391270937000456, -96.0641188m569997)","302 E. 6Th
Weleetka, OK 74880
(35.391270937000456, -96.0641188569997)"
61.code,02I001,10C072
235.code,400C11,40C011
420.superintendent,Tylre Bridges,Tyler Bridges
396.districtname,fYALE,YALE
520.countyname,WAeSHINGTON,WASHINGTON
322.websiteurl,http://waww.frontierok.com,http://www.frontierok.com
65.districtname,LONEt GROVE,LONE GROVE
244.districtname,OKOSHE,BOKOSHE
355.fax,(405) 739-161z5,(405) 739-1615
274.websiteurl,http://Boutner.k12.ok.us,http://Butner.k12.ok.us
479.superintendent,Raymon dRice,Raymond Rice
37.phone,(918) 696-7818,(580) 847-2737
355.phone,(405) 73-74461,(405) 737-4461
298.phone,(850) 244-3333,(580) 244-3333
239.mailingaddress,"500 West 2Nd Street
Heavener, OK 74937
(34.88944625100049, -94.60481793599968)***","500 West 2Nd Street
Heavener, OK 74937
(34.88944625100049, -94.60481793599968)"
138.countyname,DELAAWRE,DELAWARE
381.boardpresident,iTm Stone,Tim Stone
247.fax,(918) 567-35s07,(918) 567-3507
48.fax,(918) 696-3654,(405) 542-3286
342.websiteurl,httdp://Butner.k12.ok.us,http://Butner.k12.ok.us
42.mailingaddress,"1020 N. Noble
Watonga, OK 73772
(35.85437047700049, -98.41303687799967)","1400 South Mission Street
Anadarko, OK 73005
(35.06240222200046, -98.25148124599968)"
389.mailingaddress,"600 North Gilbert Ave
Cleveland, OK 74020
(36.31193852000047, -96.47649643199969)***","600 North Gilbert Ave
Cleveland, OK 74020
(36.31193852000047, -96.47649643199969)"
261.superintendent,H.T. (Butch) eGe,H.T. (Butch) Gee
294.fax,(f580) 286-8276,(580) 286-8276
403.districtname,HAILEYVILEL,HAILEYVILLE
279.districtname,SArLINA,SALINA
283.websiteurl,http://www.enwcastle.k12.ok.us,http://www.newcastle.k12.ok.us
361.countyname,OKMULEE,OKMULGEE
242.superintendent,Jimu Caughern,Jim Caughern
173.phone,(405)785-2605,(405) 785-2605
272.countyname,MARSHpALL,MARSHALL
219.websiteurl,http:/y/www.newkirkps.com,http://www.newkirkps.com
70.phone,(918)e 456-4053,(918) 456-4053
