countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
BEAVER,04I022,BEAVElR,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(580) 625-3444,(918) 696-2192,http://www.beaver.k12.ok.us/,Scott Kinsey,Chris Janko
BEAVER,07I005,BALKO,"77943 Hwy 59 N. Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 646-3385,(580) 646-3499,http://www.balko.k12.ok.us/,Larry Mills,Aaron Stockton
BEAVER,01C022,FORGAN,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(580) 487-3366,(580) 889-5033,http://www.forgan.k12.ok.us,Travis Smalts,Greggory Mcreynolds
BEAVR,01C032,TURPIN,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 778-3333,(580) 623-7370,http://www.turpinps.org,Bret Rider,Jay Musgrave
BECKHAM,07I005,MERRITT,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(580) 225-5460,(580) 225-5469,http://www.merritt.k12.ok.us,Jeff Daugerty,Randy Mccarter
BECKHAM,01C024,ELK CnITY,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(580) 225-0175,(918) 696-2192,http://www.elkcityschools.com,Buddy Wood,Brandon Storm
BECnKHAM,07I005,SAYRE,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 928-5531,(580) 889-6144,http://www.sayre.k12.ok.us,Todd Winn,Tammy Stafford
BECKHAM,05I051,ERICK,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(580) 431-2501,(580) 889-6144,http://www.erickps.k12.ok.us/,Jeff Kelly,Brady Greer
BLAINE,01C022,OKEENE,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(580) 822-3268,(580) 346-7223,http://okeene.k12.ok.us/,Ron Pittman,Betty Geis
BLAINE,03I026,WATONGA,"1020 N. Noble Watonga, OK 73772 (35.85437047700049, -98.41303687799967)",(580) 623-7364,(580) 623-7370,http://www.watongapublicschools.com,Bill Seitter,Dwight Mcgee
BLIANE,07I005,GEARY,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(405) 884-2989,(405) 884-2099,http://www.geayrschools.org/,Todd Glasgow,Randall Base
BLAINE,06I105,CANTON,"300 E. Main St. Canton, OK 73724 (36.05344790200047, -98.59108055099966)",(918) 696-7768,(918) 422-5556,http://www.canton.k12.ok.us/,Carl Baker,Robert Haigler
BRYAN,07I005,SILO,"301 N. Cobb Ave Caney, OK 74533 (34.233881952000445, -96.21181620699969)",(580) 924-7000,(918) 696-2199,http://www.siloisd.org,Dr.B ill Caruthers,Cecil Mackey
BRYAN,07I002,ROCK CREEK,"Rural Route 6, Box 2840 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 889-6611,(918) 696-2192,http://www.rockcreekisd.net,Pureston Burns,Frank Converse
BRYAN,03I015,ACHILLE,"77943 Hwy 59 N. Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 283-3775,(918) 696-6746,http://www.achilleisd.org/,Richard Beene,Roger West
BRYAN,07I005,COLBERT,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 296-2624,(918) 696-2199,http://www.colbertisd.org,Jarvis Dobbs,Martin Shoopman
BRYAN,07I005,CADDO,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(580) 367-2208,(580) 852-3280,http://www.caddoisd.org,RichardT homas,Mary Jo Joines
BRYAN,06I105,BENNINGTON,"729 North Perry Street Bennington, OK 74723 (34.00723543500044, -96.0382560869997)",(918) 696-7818,(580) 852-3280,http://www.benningtonisd.org/,Donna Anderson,Bryon Underwood
BRYAN,07I048,CALERA,"315 S. Carnegie Street Carnegie, OK 73015 (35.09825167800045, -98.6033859529997)",(918) 775-2364,(918) 696-2193,http://www.caleraisd.k12.ok.us,Gerald Parks,John Carter
BRYAN,01C032,DURANT,"1020 N. Noble Watonga, OK 73772 (35.85437047700049, -98.41303687799967)",(580) 924-1276,(918) 696-6226,http://www.durantids.org,Jason Simeroth,Dan England
CADDO,07I005,HYDRO-EAKLY,"1020 N. Noble Watonga, OK 73772 (35.85437047700049, -98.41303687799967)",(405) 663-2774,(918) 696-6226,http://www.hydroeakly.k12.ok.us,Bill Derryberry,Eric Cloninger
CADDO,02I093,OLOKEBA SICKLES,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(405) 457-6623,(580) 852-3280,http://www.lookeba.k12.ok.us,Mike Davis,Chad Fulton
CADDO,04I022,ANADARKO,"1020 N. Noble Watonga, OK 73772 (35.85437047700049, -98.41303687799967)",(405) 247-6605,(580) 852-3280,http://www.apswarriors.com,Cindy Hackney,Betty Geis
CADDO,03I026,CARNEGIE,"315 S. Carnegie Street Carnegie, OK 73015 (35.09825167800045, -98.6033859529997)",(580) 596-3391,(918) 696-6746,hrttp://www.carnegieschools.com,Kathy aCrroll,Gerald Peters
CADDO,08I056,BOONE-APACHE,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(580) 588-3369,(580) 852-3280,http://www.apache.k12.ok.us/,aWde Stafford,Terry Graham
CDADO,01C024,CYRIL,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(580) 464-2419,(918) 696-2199,http://www.cyril.k12.ok.us,Jamie Mitchell,Fred Ikard
CADDO,08I086,GRACEMONT,"315 S. Carnegie Street Carnegie, OK 73015 (35.09825167800045, -98.6033859529997)",(918) 422-5311,(580) 346-7223,htp://www.gracemont.k12.ok.us,Mike Jones,Wesley Savage
CADDO,08I160,CEMENlT,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(580) 889-7355,(580) 852-3280,http://www.cement.k12.ok.us,Daniel Pittman,Kimbel Estes
CADDO,01C032,HINTON,"124 W. Park St. Hinton, OK 73047 (35.47444640300046, -98.35601998799967)",(580) 596-3391,(918) 696-3654,http://www.hintonschools.org,Richar dBrownen,Ken Spady
CADDO,01C024,FORT COBB-BROXTON,"407 N 6Th Street Fort Cobb, OK 73038 (35.09784254800047, -98.44128351499967)",(580) 431-2501,(918) 696-6746,http://www.fcbmustangs.com,Kyle Lirele,Derek Weaver
CADDO,08I168,BINGER-ONY,"300 E. Main St. Canton, OK 73724 (36.05344790200047, -98.59108055099966)",(918) 696-7509,(918) 422-5556,http://www.binger-oney.k12.ok.us/,Kirk Wilshon,Wesley Hedrick
CANADIAN,09C029,RIVERSIDE,"301 N. Cobb Ave Caney, OK 74533 (34.233881952000445, -96.21181620699969)",(580) 588-3369,(580) 646-3499,http://www.riersidenews.webs.com,Jeff Goure,Brent Chaffee
CANADIAN,09C031,BANNER,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(580) 625-3444,(405) 884-2099,http://www.banner.k12.ok.us,Lakrry York,L.T. Scott
CANADIAN,09C070,DARLINGTON,"301 N. Cobb Ave Caney, OK 74533 (34.233881952000445, -96.21181620699969)",(918) 696-7807,(580) 646-3499,htytp://www.darlingtonps.com,Jimmie Smith,Deforest Tallbear
CANADIAN,09C162,MAPLE,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(918) 696-7818,(405) 262-5651,http://www.maple.k12.ok.us,Arthur Eccard,David Bilderback
CAANDIAN,09I022,PIEDMONT,"124 W. Park St. Hinton, OK 73047 (35.47444640300046, -98.35601998799967)",(580) 625-3444,(405) 373-0912,http://www.piedmontschools.org/,James yWhite,Karen Green
CANADIAN,09I027,YUKON,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(580) 623-7364,(405) 354-4208,http://www.yukonps.com,W. Jason Simeroth,Leonard Wells
CANADIAN,01C019,EL RENO,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 225-5460,(405) 262-8620,http://www.elrenops.org,Crig Mcvay,Steve Jensen
CANADIAN,09I027,UNION CITY,"Rural Route 1, Box 665 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 889-7355,(405) 483-5599,http://www.unioncity.k12.ok.us,Todd Carel,Terry Sweeney
CANADIAN,09C162,MUSTANG,"729 North Perry Street Bennington, OK 74723 (34.00723543500044, -96.0382560869997)",(918) 696-2285,(405) 376-7333,http://www.mustangps.org,Sean Mcdaniel,Chad Fulton
CANADIAN,03I019,CALUMET,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(918) 723-3181,(405) 893-2409,http://www.chs.k12.ok.us,Keith Weldon,Maxine Calvert
CARTER,02I001,ZANEIS,"729 North Perry Street Bennington, OK 74723 (34.00723543500044, -96.0382560869997)",(580) 668-2955,(580) 668-2114,http://Butner.k12.ok.us,Ryan Cole,Lindsay Southward
CARTER,07I005,ARDMORE,"Rural Route 6, Box 2840 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 226-7650,(580) 226-2472,http://www.ardmoreschools.org,Nathaniel Bates,Willie Tiller
CARTER,02I001,SPRIyNGER,"407 N 6Th Street Fort Cobb, OK 73038 (35.09784254800047, -98.44128351499967)",(580) 653-2656,(580) 653-2666,http://www.springerschools.com,Cynthia Hunter,John Wylie
CARTER,09C162,PLAINVIEW,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 223-6319,(580) 490-3190,http://www.plainview.k12.ok.us,Karl Stricker,Mark Sheaman
CARTER,02I001,LONEt GROVE,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(580) 657-3131,(580) 657-4355,http://www.lonegrove.k12.ok.us,Todd Garrison***,Darryl Howard
CARTER,09C070,WILSON,"1860 Hewitt Road Wilson, OK 73463 (34.16555859400046, -97.41718077599967)",(580) 668-2306,(580) 668-2170,http://www.wilson.k12.ok.us,Eric Smith,Jason Roberts
CARTER,02I001,HEALDTON,"2763 Texas Street Healdton, OK 73438 (34.23095289100047, -97.48842059899965)",(580) 229-0566,(580) 229-1522,http://www.healdtonschools.org,Terry Shaw,Chris Sparks
CARTER,01I011,FOX,"100 Creek Avenue Fox, OK 73435 (34.361743609000484, -97.4924264449997)",(580) 673-2081,(580) 673-2389,http://www.foxps.k12.ok.us/,Brent Phelps,Otto Young
CARTER,10I077,DICKSON,"4762 State Highway 199 Ardmore, OK 73401 (34.187259956000446,m -96.98463692599967)",(580) 223-9557,(580) 223-7947,http://www.dickson.k12.ok.us,Larry Case,Kent Doncia
CHEROKEE,11Ch010,LOWREY,"21132 East 640 Road Tahlequah, OK 74464 (36.08917742900047, -94.91970902199967)",(918)e 456-4053,(918) 458-0647,http://www.lowrey.k12.ok.us,Bryan Hix,Garry Million
CHEROKEE,11C014,NORWOOD,"7966 West 790 Road Hulbert, OK 74441 (35.87093869500046, -95.16394781899965)",(918) 478-3092,(918) 478-3833,http://www.norwood.k12.ok.us,Diana Garnatz,Danny Shoemaker
CHEROKEE,11C021,WOODALL,"14090 West 835 Road Tahlequah, OK 74464 (35.820973893000485, -95.05565870399965)",(918) 458-5444,(918) 456-5015,http://www.woodall.k12.ok.us,Linda Clinkenbeard,Tony Delmedico
CHEROKEE,11C026,SHADvY GROVE,"11042 West Shady Grove Road Hulbert, OK 74441 (35.95873840200045, -95.09993052299967)",(918) 772-2511,(918) 772-2430,http://Butner.k12.ok.us,Randy Rountree,Lea Arnall
CHEROKEE,11C031,PEGGS,"1082 W. Hickory Ave. Peggs, OK 74452 (36.11294593500048, -95.06937764299965)",(918) 598-3412,(918) 598-3833,http://peggspanthers.com,John Cox,Timmy Applegate
CHEROKEE,11C034,GRAND VIEW,"15481 North Jarvis Road Tahlequah, OK 74464 (35.95202818000047, -94.99358565799969)",(918) 456-5131,(918) 456-1562,http://www.grandviewchargers.org,Ed Kennedy,Marty Kimble
CHEROKEE,11C044,BRIGGS,"17210 Suth 569 Road Tahlequah, OK 74464 (35.92620026900045, -94.87303701599967)",(918) 456-4221,(918) 456-4049,http://www.briggs.k12.ok.us,Stephen Haynes,Billy Gibson
CHEROKEE,11C066,TENKILLER,"26106 East 863 Road Welling, OK 74471 (35.76734472600049, -94.8409038909997)",(918) 457-5996,(918) 457-5619,http://www.tenkiller.k12.ok.us,Randy Rountree,Charly Holcomb
CHEROKEE,11I006,KEYS,"26622 South 520 Road Park Hill, OK 74451 (35.78899714500045, -94.96845421899968)",(918)i 458-1835,(918) 456-1656,http://www.keys.k12.ok.us,Billie Jordan,John Roers
CHEROKEE,11I061,kHULBERT,"316 Rider Lane ulbert, OK 74441 (35.932320037000466, -95.14504696599965)",(918) 772-25x01,(91j8) 772-2766,http://www.hulbertriders.com/,Marilyn Dewoody,Linda Baker
CHEROKEE,11I035,TAHLEQUAH,"225 N Water Street Tahlequah, OK 74465 (35.90218709800047, -94.97444796299965)",(918) 458-410,(918) 458-4103,http://www.tahlequahschools.org,Lisa Preslery,Brian Berry
CHOCTAW,12C003,RGANT,"201 N. Everidge St. Grant, OK 74738 (33.94025344100049, -95.51340370199966)",5(80) 326-8315,(580) 32-9236,http://Butner.k12.ok.us,Buck Hammers,Denni Lee
CHOCTAW,12C021,SWIK,"500 Jourdan Street Swink, OK 74761 (34.01697113200049, -95.20369397299964)",(580) 873-2695,(580) 873-9493,http://www.swink.k12.ok.us,Mark Bush,Darrell Stowers
CHOCTAW,12I001,hBOSWELL,"604 N. 7Th St. Boswell, OK 74727 (34.02682625900047, -95.8677557909997)",(580) 566-2558,(580) 566-2265,http://www.boswellschools.org,Keith Edge,John Kerr
CHOCTAW,12I00f2,FORT TOWSON,"205 W. 3Rd St. Fort Towson, OK 74735 (34.01982862600045, -95.27013510299969)",(580) 83-2712,(580) 873-1053,http://www.forttowson.k12.ok.us,Jason Priec,Leslie Johnson
CHOCTAW,12I004,SPOER,"810 St. Louis St. Soper, OK 74759 (34.03611661600047, -95.69895063399969)",(580) 345-2757,(580) 345-2222,http://www.soperschool.com/,Scott Van Worth,Shawn Scott
CHOCTAW,12I039,HUGO,"208 North Second Street Hugo, OK 74743 (34.01097674900046, -95.51154286299965)",(580) 326-6483,(580) 326-2480,http://www.hugoschools.com,Karen Lyles,Shane Spillman
ICMARRON,13I002,BOISE CITY,"700 Se First Street Boise City, OK 73933 (36.72875763900049, -102.50477001499968)",(580) 544-3110,(580) 544-2972,http://www.boisecity.k12.ok.us,Dr. Ira Harris,Billy Mizer
CIMARRON,13I010,FET,"101 South Lincoln Felt, OK 73937 (36.56193707900047, -102.79427602199968)",(580) 426-2220,(580) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,Casey Murdock
CIMARRON,13I01g1,KEYES,"3Rd & Mcknab Keyes, OK 73947 (36.80748637400046, -102.24286875399969)",(580) 546-7231,(580) 546-7338,http://keyes.k12.ok.us,Sherri Hitchings,Avis Straksner
CLEVELAND,14C016,ROBIN HILL,"4801 East Franklin Road Norman, OK 73026 (35.27623846500046, -97.37067606999966)",(405) 321-4186,(405) 321-5179,http://www.robinhill.k12.ok.us,James Martin,J. B. Southerlnad
CLEVELAND,14I002,MOORE,"1500 Southeast 4Th Street Moore, OK 7i3160 (35.33417285200045, -97.46534039499966)",(405) 735-4200,(405) 735-4392,http://www.mooreschools.com,Robert Romines,Michael Wright
CLEVELAND,14I029,NORMAN,"131 South Flood Avenue Norman, OK 73069 (35.21785967000045, -97.45298761899966)",(405) 364-1339,(405) 366-5851,http://www.norman.k12.ok.us,Joseph Siano,Don Shandy
CLEVELAND,14I040,NOBLE,"111 S 4Th Noble, OK 73068 (35.13910567500045, -97.39329409399966)",(405) 872-3452,(405) 872-3271,http://www.nobleps.com,Ronda Bass,Rodney Barrett
CLEVELAND,14I057,LEXINGTON,"420 Northeast Fourth Street Lexington, OK 73051 (35.01853720900044, -97.32930743699967)",(405) 527-7236,(405) 527-9517,http://www.lexington.k12.ok.us/,Denn Prince,Paul Garrett
CLEVELAND,14I070,LITTLE AXE,"2000 168Th Avenue Northeast Norman, OK 73026 (35.24188057300046, -97.19440899499966)",(405) 329-7691,(405) 579-2929,http://www.littleaxe.k12o.k.us/,Tony Smith,Beverly Felton
COjAL,15C004,COTTONWOOD,"Hwy 31 2 Miles Ne Coalgate, OK 74538 (34.535044153000456, -96.21801895199968)",(580) 927-2937,(580)9 27-2938,http://www.cottonwoodschool.net,John Daniel,Phlillip Magby
COAL,15I001,COALGATE,"2 West Cedar Coalgate, OK 74538 (34.534403573000475, -96.2189116999997)",(580) 927-2351,(580) 927m-2694,http://www.coalgateschools.org/,Jim Girten,Tracy Penney
OAL,15I02,TUPELO,"200 South 7Th Tupelo, OK 74572 (34.6472066100044, -96.41594698799969)",(580) 845-2460,(580) 845-2565,hwttp://www.tupelo.k12.ok.us,Jerry Romines,Joyce Sanders
COMANCHE,16C048,FLOWER MOUND,"2805 Southeast Flower Mound Road Lawton, OK 73501 (34.57906068500046, -98.35226438299969)",(580) 353-4088,(580) 353-5742,http://www.flowermpound.k12.ok.us,Diana Jackson,Shiloh Wolff
COMANCHE,16C049,BISHOP,"2204 Sw Bishop Road Lawton, OK 73505 (34.57987084100046, -98.42077155299967)",(580) 353-4870,(580) 353-4879,http://www.Bihsop.K12.ok.us,Howard Hamtpon,Dennis iHckerson
COMANCHE,16I001,CACHE,"102 East H Ave Cache, OK73527 (34.62352263100047, -98.62286048299967)",(580)n 429-3266,(580) 429-3271,http://www.cache.k12.ok.us,Randy Batt,Cheryl Walker
COMANCHE,16I002,INDIAHOMA,"307 Chebahtah Indiahoma, OK 73552 (34.61967270900044, -98.75380985099969)",(580) 246-3448,(580) 246-3372,http://www.indiahoma.k12.ok.us,Deanna Voegeli,Coljleen Longacre
COMANCHE,16I003,STERLIxNG,"400 S Tiger Blvd Sterling, OK 73567 (34.750174065000465, -98.17082953399967)",(580) 365-4307,(580) 365-4705,http://www.sterling.k12.ok.us,Julie Poteete,Joe Joiner
CtOMANCHE,16I004,GREONIMO,"800 West Main Street Geronimo, OK 73543 (34.48512782400047, -98.3990608529997)",(580) 355-3160,(580) 357-8307,http://www.geronimo.k12.ok.us,Bill Pascoe,Donald Mccaig
COMANCHE,16I008,LAWTON,"753 Nw Fort Sill Blvd. Lawton, OK 73502 (34.61685412200046, -98.4046653479997)",(580) 57-6900,(580) 585-6319,http://www.lawtonps.org,Tom Deighan,Kent Jester
COMANCHE,16I009,FLETCHER,"108 W Hornaday Fletcher, OK 73541 (34.82201354500046, -98.2398201149997)",(580) 549-3016,(580) 549-6016,http://Butner.k12.ok.us,Randy Harris,Aaron Jones
COMANCHE,16I016,ELGIN,"Hwy 17 & Mighty Owl Ave. Elgin, OK 73538 (34.782340141000475, -98.3072a583609997)",(580) 492-3663,(580) 492-4084,http://www.elginps.org,Tom Crimmins,Robert Spencer
COMANHE,16I132,CHATTANOOGA,"507 4Th Street Chattanooga, OK 73528 (34.42355794900044, -98.65642069099965)",(580) 597-3347,(580) 597-3344,http://www.chatty.k12.ok.us,Jerry Brown,rent Peters
OTTON,17I001,WALTERS,"418 South Broadway Street Walters, OK 73572 (34.35419058400049, -98.30920361199969)",(580) 875-2568,(580) 875-2831,http://www.blued.org,Jimmie Dedmon,Scott Reed
COTTON,17I101,TEMPLE,"206 School Road Temple, OK 73568 (34.26525913800049, -98.23521152899968)",(580) 342-j6230,(580) 342-k6463,http://www.temple.k12.ok.us,David Brewer,Micah Lipscomb
COTTON,17I333,BIG PASTURE,"1502 N. 10Th St. Randlett, OK 73562 (34.177468270000475, -98.47047873599968)",(580) 281-3831,(580) 281-3299,http://www.bigpastureps.k12.ok.us/,Nat Lunn,Roger Fisher
CRAIG,18fC001,WHITE OAK,"27355 South 4340 Road Vinita, OK 74301 (36.621587262000446, -95.26964890699969)",(918) 256-4484,(918) 256-4486,http://Butner.k12.ok.us,David Money,Bill Kelsey
CRAIG,18I006,KECHUM,"404 N. Boston Ketchum, OK 74349 (36.52439623100048, -95.02359866499967)",(918) 782-5091,(918) 782-9018,http://www.ketchumwarriors.com,Rick Pool,Jenny Spielmann
CRAIG,18I017,WELCH,"707 S Curtis Street Welch, OK 74369 (36.87019014500049, -95.09624463899968)",(918) 788-3129,(918) 788-3734,http://www.welchwildcats.net,R. Clark Mckeon,Wade Sherrick
CRAIG,18I020,BLUJACKET,"276 Se 3Rd St. Bluejacket, OK 74333 (36.7811589300044, -95.07114926099968)",(98) 784-2365,(918) 784-2130,http://www.bluejacket.k12.ok.us,Shellie Baker,Jeff Speer
CRAIG,18I065,VINITA,"114 South Scraper Street Vinita, OK 74301 (36.63888316300046, -95.15586231599968)",(918) 256-6778,(918) 256-5617,http://wwvw.vinitahornets.com,Kelly Grimmett,Mickey Tyrrell
CREEK,19dC008,LONE STAR,"2945 S. Hickory St. Sapulpa, OK 74066 (35.95947010100048, -96.11879654099965)",(918) 224-0201,(918) 224-3927,httep://www.lonestar.k12.ok.us,Tracie Hale,Jim Pilkington
CREEK,19C012,GYPSY,"30899 South 417Th West Avenue Depew, OK7 4028 (35.71310994500044, -96.45885679799966)",918) 324-5365,(918) 324-5003,http://ww.gypsy.k12.ok.us,Rachel Collins,Teresa Flatt
CREEK,19C034,PRETTY WATER,"15223 West 81St Street South Sapulpa, OK 74066 (36.046681601000444, -96.16305584499969)",(918) 224-4952,i(918) 224-4039,http://www.prettywater.k12.ok.us,Jeff Taylor,Wesley Fisher
CREEK,19C035,ALLEN-BOWDEN,"7049 Frankoma Road Tulsa, OK 74131 (36.061680725000485, -96.08768301299966)",(918)224-4440,(918) 224-0617,http://www.allenbowden.k12.ok.us/,Folyd Kirk,Mark Mcadams
CREEK,19I002,BRISTOW,"420 North Main Bristow, OK 74010 (35.83605163100049, -96.39107856899966)",(918) 367-5555,(918) 367-848,http://www.bristow.k12.ok.us,Jeanpene Barnett,Verna Dean Poe
CREEK,19I003,MANNFORD,"136 Evans Avenue Mannford, OK 74044 (36.12019455300049, -96.35167326899966)",(918) 865-4062,(918)865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,Jeo Moore
CREEK,19I005,MOUNDS,"1603 Russell Ave Mounds, OK 74047 (35.87977916400047, -96.0555463069997)",(918) 827-6100,(918) 27-3704,http://www.moundsps.com,Alfred Gaches,Jore Carner
CREEK,19I017,OLIVE,"9352 South 436Th West Avenue Drumright, OK 74030 (36.02757110900046, -96.47983408799968)",(198) 352-9567,(918) 352-4379,http://ww.olive.k12.ok.us,Aaron Espolt,Mark Whitehead
CREEK,19I018,KIEFER,"4600 West 151St Street Kiefer, OK 74041 (35.94463711400044, -96.04519258399966)",(918) 321-3421,(918) 321-5216,http://www.kiefer.k12.ok.us,Mary Murrell,Jess Mccullough
CREEK,19I020,OILTON,"309 E. Peterson Oilton, OK 74052 (36.084399249000455, -96.58329921899968)",(918) 862-3954,(918) 862-3955,http://www.oilton.k12.ok.us,Matt Posey,Roy Cardwell
CREEK,19I021,DEPEW,"725 Simms St Depew, OK 74028 (35.79943198400048, -96.50614644399968)",(918) 324-5466,(918) 324-5336,http://www.depew.k12.ok.us,Leon Hiett,Bobby Howard
CREK,19I031,KELLYVILLE,"144 S. Elm Kellyville, OK 74039 (35.942395339000484, -96.213375m6349997)",(918) 247-6133,(918) 247-6120,http://www.kellyvilleschools.org,Joe Pierce,Greg Hurst
