Case_Id,Case_Status,Case_ProgramYear,ZipCode,Contact_DistrictLocation,Contact_Neighborhood,InquiryForm_1978,InquiryForm_Children,InquiryForm_Disabled,InquiryForm_Elderly,Household_Size,Household_AMIRatio,Borrower_1_Ethnicity,Borrower_1_Gender,Borrower_1_Race,Funding_ARP_AmericanRescuePlan,ObjectId
13009,Case in Administrative Review,2022,40211,5,Chickasaw,Yes,No,No,No,1,67.15%,Non-Hispanic,Female,African American,"$22,876.44 ",23
13133,Initial Inspection,2022,40216,12,Pleasure Ridge Park,Yes,No,Yes,No,3,78.45%,Non-Hispanic,Female,White, $-   ,24
13134,Ready for Assignment,2023,40218,2,Newburg,Yes,No,No,No,2,56.31%,Non-Hispanic,Female,African American, $-   ,25
13639,Case Monitoring,2022,40211,5,Chickasaw,Yes,No,No,No,1,0.00%,Non-Hispanic,Male,African American,"$21,364.70 ",26
13772,Case in Administrative Review,2022,40211,1,Park DuValle,Yes,Yes,No,No,4,0.00%,Non-Hispanic,Male,African American,"$25,108.39 ",27
13786,Case in Progress,2022,40212,5,Portland,Yes,No,No,Yes,2,71.20%,Non-Hispanic,Male,African American, $-   ,28
13787,Case in Progress,2022,40213,2,Newburg,No,No,Yes,No,1,18.60%,Non-Hispanic,Male,White,"$5,269.82 ",29
15542,Case Closed,2022,40211,5,Chickasaw,Yes,No,Yes,Yes,1,30.62%,Non-Hispanic,Male,African American,"$20,650.00 ",30
15623,Ready for Assignment,2023,40212,5,Shawnee,Yes,No,Yes,Yes,2,58.97%,Non-Hispanic,Female,African American, $-   ,31
15626,Ready for Assignment,2023,40204,6,Paristown Pointe,No,No,No,No,1,46.86%,Non-Hispanic,Male,White, $-   ,32
15641,Ready for Assignment,2023,40219,2,Newburg,No,No,Yes,Yes,2,50.40%,Non-Hispanic,Male,African American, $-   ,33
15664,Ready for Assignment,2023,40214,21,Kenwood Hill,Yes,Yes,No,No,6,33.52%,Unknown,,, $-   ,34
15683,Ready for Assignment,2023,40213,21,Lynnview,Yes,No,Yes,No,1,18.11%,Non-Hispanic,Female,, $-   ,35
15685,Application In Progress,2023,40210,6,Algonquin,Yes,Yes,No,No,4,34.96%,Non-Hispanic,Female,Others, $-   ,36
15734,Ready for Assignment,2023,40216,1,St. Dennis,Yes,No,No,No,1,8.21%,Non-Hispanic,Female,African American, $-   ,37
15753,Application In Progress,2023,40215,15,Wyandotte,Yes,Yes,No,No,5,0.00%,Hispanic,Female,African American, $-   ,38
15758,Ready for Assignment,2023,40211,1,Park DuValle,Yes,No,No,Yes,1,30.98%,Non-Hispanic,Female,African American, $-   ,39
15784,Ready for Assignment,2023,40214,21,Iroquois,No,Yes,Yes,No,4,22.66%,Unknown,,White, $-   ,40
15815,Ready for Assignment,2023,40211,5,Shawnee ,Yes,Yes,Yes,No,1,31.43%,Non-Hispanic,Female,African American, $-   ,41
15829,Case in Administrative Review,2023,40216,12,Pleasure Ridge Park ,Yes,No,Yes,Yes,1,28.63%,Unknown,,,"$15,400.00 ",42
15848,Ready for Assignment,2023,40204,6,Parristown Pointe,No,No,Yes,Yes,1,35.51%,Non-Hispanic,Female,White, $-   ,43
15863,Application In Progress,2023,40211,1,Park Duvalle,No,Yes,No,No,3,37.82%,Unknown,Female,African American, $-   ,44
15903,Ready for Assignment,2023,40212,5,Shawnee,Yes,Yes,No,No,3,74.00%,Non-Hispanic,Female,African American, $-   ,45
15918,Ready for Assignment,2023,40212,5,Shawnee,Yes,Yes,No,Yes,5,58.17%,Non-Hispanic,Male,African American, $-   ,46
15943,Ready for Assignment,2023,40216,3,Shively,Yes,No,Yes,Yes,1,31.69%,Non-Hispanic,Female,, $-   ,47
15949,Ready for Assignment,2023,40210,4,California,Yes,Yes,Yes,No,3,17.96%,Unknown,Female,African American, $-   ,48
15966,Ready for Assignment,2023,40216,3,,Yes,No,No,Yes,2,36.31%,Non-Hispanic,Female,African American, $-   ,49
15971,Ready for Assignment,2023,40212,5,Shawnee,Yes,No,Yes,Yes,1,45.96%,Non-Hispanic,Female,African American, $-   ,50
16017,Ready for Assignment,2023,40216,3,Shively ,Yes,No,No,No,1,53.32%,Unknown,,, $-   ,51
16027,Ready for Assignment,2023,40216,3,Shively,Yes,No,Yes,Yes,1,54.29%,Non-Hispanic,Female,African American, $-   ,52
16030,Ready for Assignment,2023,40203,5,Portland,Yes,No,Yes,Yes,1,16.81%,Unknown,,, $-   ,53
16039,Ready for Assignment,2023,40210,4,California,Yes,No,Yes,No,1,59.12%,Non-Hispanic,Female,African American, $-   ,54
16077,Ready for Assignment,2023,40210,6,Algonquin,Yes,Yes,No,No,3,15.36%,Unknown,,, $-   ,55
16124,Application Review,2023,40210,3,Shively,No,No,Yes,Yes,1,29.11%,Non-Hispanic,Female,African American, $-   ,56
16126,Case Monitoring,2023,40215,3,Taylor Berry,Yes,Yes,No,No,3,39.21%,Non-Hispanic,Female,African American,"$14,600.00 ",57
16135,Ready for Assignment,2023,40215,3,Taylor Berry,Yes,No,Yes,Yes,1,32.80%,Non-Hispanic,Female,White, $-   ,58
16198,Ready for Assignment,2023,40216,3,Shively,Yes,Yes,Yes,Yes,2,64.00%,Unknown,,, $-   ,59
16211,Ready for Assignment,2023,40211,5,Chickasaw,No,No,No,Yes,1,54.04%,Non-Hispanic,Female,African American, $-   ,60
16217,Ready for Assignment,2023,40213,21,Edgewood,Yes,No,No,No,1,39.26%,Unknown,Female,African American, $-   ,61
16237,Ready for Assignment,2023,40210,3,Algonquin,Yes,Yes,No,No,3,61.69%,Non-Hispanic,Male,African American, $-   ,62
16246,Ready for Assignment,2023,40214,21,Wilder Park,Yes,No,Yes,Yes,2,27.22%,Non-Hispanic,Female,White, $-   ,63
16276,Ready for Assignment,2023,40211,5,Shawnee,Yes,No,No,Yes,1,23.83%,Non-Hispanic,Female,African American, $-   ,64
16317,Ready for Assignment,2023,40272,14,Valley Station,No,No,Yes,No,1,0.00%,Unknown,,, $-   ,65
16346,Application Review,2023,40215,15,Jacobs,Yes,Yes,No,No,3,54.47%,Non-Hispanic,Female,African American, $-   ,66
16347,Ready for Assignment,2023,40215,3,Taylor Berry,Yes,No,Yes,No,3,18.54%,Unknown,,, $-   ,67
16369,Ready for Assignment,2023,40211,1,Chickasaw,Yes,No,No,Yes,1,45.73%,Non-Hispanic,Male,African American, $-   ,68
16403,Application In Progress,2023,40210,3,Algonquin,Yes,No,Yes,No,1,,Non-Hispanic,Female,African American, $-   ,69
16411,Ready for Assignment,2023,40215,15,Iroquois ,Yes,No,Yes,No,1,26.50%,Non-Hispanic,Female,White, $-   ,70
16417,Application In Progress,2023,40213,2,Newburg,,,,,,,Unknown,,, $-   ,71
16418,Application Review,2023,40214,15,Hazelwood,Yes,Yes,Yes,Yes,3,57.20%,Non-Hispanic,Female,African American, $-   ,72
16447,Ready for Assignment,2023,40204,6,Paristown Point,No,No,No,Yes,1,22.38%,Non-Hispanic,Female,White, $-   ,73
16473,Ready for Assignment,2023,40208,3,South Louisville,Yes,Yes,No,Yes,1,23.61%,Unknown,Female,African American, $-   ,74
16561,Initial Inquiry Review,2023,40216,1,St Dennis,Yes,Yes,No,No,4,,Non-Hispanic,Male,African American, $-   ,75
16580,Application Review,2023,40210,6,Park Hill,No,No,Yes,No,1,31.07%,Non-Hispanic,Female,Others, $-   ,76
16595,Ready for Assignment,2023,40272,14,,Yes,Yes,No,Yes,2,34.60%,Non-Hispanic,Female,African American, $-   ,77
16624,Ready for Assignment,2023,40210,3,,Yes,No,Yes,No,1,40.34%,Non-Hispanic,Male,African American, $-   ,78
16658,Ready for Assignment,2023,40216,3,Shively,Yes,Yes,Yes,Yes,2,55.35%,Non-Hispanic,Female,African American, $-   ,79
16761,Ready for Assignment,2023,40216,1,St. Dennis,No,Yes,Yes,Yes,1,29.38%,Non-Hispanic,Female,African American, $-   ,80
16768,Application In Progress,2023,40212,5,Shawnee,Yes,No,No,Yes,1,32.37%,Non-Hispanic,Female,African American, $-   ,81
16810,Application Review,2023,40216,7,Shively ,Yes,No,No,Yes,1,28.40%,Non-Hispanic,Female,African American, $-   ,82
17650,Ready for Assignment,2023,40218,2,Buechel,Yes,No,Yes,No,1,22.40%,Unknown,Female,African American, $-   ,83
