psapid,psap_name,county,city,state,typeof_changefulltext,date_last_modified,geocode_city_level
2210,Edwards County Sheriffs Department,Edwards,Albion,IL,No Changes have been made.,NULL,"Albion, IL
(38.377003, -88.056281)"
445,St James Parish 9-1-1,St. James,Convent,LA,No Changes have been made.,NULL,"Hometown, IL
(41.73199, -87.73231)"
5688,Noble County Sheriff,Noble,Perry,OK,No Changes have been made.,NULL,"Perry, OK
(36.289708, -97.285801)"
6574,West Allis Police And Fire,Milwaukee,West Allis,WI,No Changes have been made.,NULL,"West Allis, WI
(43.016629, -88.007282)"
2210,Bethel Police Department,Fairfield,Bethel,CT,No Changes have been made.,NULL,"Bethel, CT
(41.371727, -73.407448)"
7656,Vermilion Parish Communications District,Vermilion,Abbeville,LA,No Changes have been made.,NULL,"Abbeville, LA
(29.973848, -92.134547)"
445,Rosemont Public Safety Department,Cook,Rosemont,IL,No Changes have been made.,NULL,"Rosemont, IL
(41.991886, -87.863316)"
7344,Woodhaven Police Department,Wayne,Woodhaven,MI,No Changes have been made.,NULL,"Woodhaven, MI
(42.138557, -83.244281)"
5093,Charleston Afb Fire Department,Charleston,Charleston,SC,No Changes have been made.,NULL,"Charleston, SC
(32.77647, -79.931027)"
6574,Calloway County Fiscal Court E911,Calloway,Murray,KY,PSAP was added since the original posting of the FCC Registry.,06/10/2010,"Murray, KY
(36.610582, -88.315258)"
5475,Peekskill City Police Department,Westchester,Peekskill,NY,No Changes have been made.,NULL,"Peekskill, NY
(41.290357, -73.921894)"
7531,Slidell Police Department,St. Tammany,Slidell,LA,No Changes have been made.,NULL,"Slidell, LA
(30.278641, -89.779372)"
6574,Warrick Central Dispatch,Warrick,Boonville,IN,No Changes have been made.,NULL,"Boonville, IN
(38.049999, -87.274302)"
2847,Trego County Law Enforcement Center,Trego,Wakeeney,KS,No Changes have been made.,NULL,"Wakeeney, KS
(39.021331, -99.88078)"
7656,Wilkes County Sheriffs Communications,Wilkes,Wilkesboro,NC,No Changes have been made.,NULL,"Wilkesboro, NC
(36.145878, -81.161309)"
2321,Fall River Police Department,Bristol,Fall River,MA,No Changes have been made.,NULL,"Fall River, MA
(41.701025, -71.155389)"
5461,Marion Police Department,Crittenden,Marion,KY,No Changes have been made.,NULL,"Marion, KY
(37.332986, -88.08132)"
5461,Reedy Creek Emergency Services,Orange,Lake Buena Vista,FL,PSAP was added since the original posting of the FCC Registry.,08/02/2007,"Lake Buena Vista, FL
(28.393671, -81.528968)"
2313,Lynwood-thornton East Hazel Crest Police Fire Ems,Cook,Lynwood,IL,No Changes have been made.,NULL,"Lynwood, IL
(41.531192, -87.539041)"
5461,Ohio State Highway Patrol-sandusky,Erie,Sandusky,OH,No Changes have been made.,NULL,"Sandusky, OH
(41.454934, -82.710963)"
2984,Beaureguard Parish Communications District,Beauregard,Deridder,LA,No Changes have been made.,NULL,"Deridder, LA
(30.847861, -93.285518)"
5688,Roswell Police Department,Chaves,Roswell,NM,No Changes have been made.,NULL,"Roswell, NM
(33.393142, -104.522734)"
3354,Oneida County Sheriff,Oneida,Malad City,ID,No Changes have been made.,NULL,"Malad City, ID
(42.183976, -112.248058)"
7656,Montgomery County Sheriffs Office,Montgomery,Independence,KS,No Changes have been made.,NULL,"Independence, KS
(37.232351, -95.706596)"
7656,Hanceville Police Department,Cullman,Hanceville,AL,No Changes have been made.,NULL,"Hanceville, AL
(34.065461, -86.764111)"
7832,Sandwich Police,Barnstable,Sandwich,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Sandwich, MA
(41.757724, -70.500139)"
2321,Orange Police Department,Orange,Orange,CA,No Changes have been made.,NULL,"Orange, CA
(33.791489, -117.853096)"
2619,Jersey County Sheriffs Department,Jersey,Jerseyville,IL,No Changes have been made.,NULL,"Jerseyville, IL
(39.119444, -90.327431)"
5475,Beavercreek Police Department,Greene,Beavercreek,OH,No Changes have been made.,NULL,"Beavercreek, OH
(39.73277, -84.065876)"
7832,Ardsley Village Police Department,Westchester,Ardsley,NY,No Changes have been made.,NULL,"Ardsley, NY
(41.008591, -73.841246)"
2321,Us Navy Navsta Great Lakes,Lake,Great Lakes,IL,PSAP was added since the original posting of the FCC Registry.,10/04/2012,"Peru, IN
(40.753762, -86.069115)"
2321,Sacramento International Airport Police,Sacramento,Sacramento,CA,PSAP was added since the original posting of the FCC Registry.,05/05/2015,"Inez, KY
(37.866646, -82.539105)"
5093,Lumpkin County 9-1-1,Lumpkin,Dahlonega,GA,No Changes have been made.,NULL,"Dahlonega, GA
(34.533691, -83.983274)"
5461,Cynthiana-harrison County E9-1-1,Harrison,Cynthiana,KY,No Changes have been made.,NULL,"Cynthiana, KY
(38.392918, -84.292489)"
445,Derby Police Department,New Haven,Derby,CT,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
2984,Platteville Police Department,Grant,Platteville,WI,No Changes have been made.,NULL,"Platteville, WI
(42.732914, -90.4781)"
5137,Mayfield Heights Police,Cuyahoga,Mayfield Heights,OH,No Changes have been made.,NULL,"Mayfield Heights, OH
(41.520067, -81.463245)"
2619,Miami County Sheriffs Office,Miami,Paola,KS,No Changes have been made.,NULL,"Paola, KS
(38.576654, -94.868369)"
2847,State Police-lincoln Barracks,Providence,Lincoln,RI,No Changes have been made.,NULL,"Lincoln, RI
(41.926671, -71.445401)"
2321,Wilmer Police Department,Dallas,Wilmer,TX,No Changes have been made.,NULL,"Wilmer, TX
(32.59067, -96.684108)"
3354,Stamford Emergency Communication Center,Fairfield,Stamford,CT,No Changes have been made.,NULL,"Stamford, CT
(41.051924, -73.539475)"
2313,Atlanta Police Department,Cass,Atlanta,TX,No Changes have been made.,NULL,"Atlanta, TX
(33.117758, -94.155238)"
5093,Macon County Sheriffs Office,Macon,Tuskegee,AL,No Changes have been made.,NULL,"Tuskegee, AL
(32.423636, -85.690489)"
2028,Westcom,Polk,West Des Moines,IA,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"West Des Moines, IA
(41.575505, -93.713031)"
2619,Osceola County Sheriff's Office,Osceola,Sibley,IA,"PSAP Name, State, County or City text has been modified since the original posting.",08/30/2017,"Sibley, IA
(43.404, -95.751208)"
2313,Galena Health Center,Yukon-koyukuk Census Area,Galena,AK,No Changes have been made.,NULL,"Galena, AK
(64.73396, -156.928334)"
5093,Vermilion Police Department,Erie,Vermilion,OH,No Changes have been made.,NULL,"Vermilion, OH
(41.422021, -82.364611)"
2028,Wickliffe Police,Lake,Wickliffe,OH,No Changes have been made.,NULL,"Wickliffe, OH
(41.605007, -81.475558)"
2984,Tanana Emergency Medical Services,Yukon-koyukuk Census Area,Tanana,AK,No Changes have been made.,NULL,"Markham, IL
(41.593513, -87.694621)"
2619,Hohenwald Police Department,Lewis,Hohenwald,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Hohenwald, TN
(35.54945, -87.560075)"
2984,Pawtucket Fire And Rescue Department,Providence,Pawtucket,RI,No Changes have been made.,NULL,"Pawtucket, RI
(41.8799, -71.382408)"
2984,Forest Park City,Clayton,Forest Park,GA,No Changes have been made.,NULL,"Forest Park, GA
(33.620529, -84.366322)"
5211,Cal-fire Fortuna (humboldt/del Norte Unit),Humboldt,Fortuna,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/29/2010,"Fortuna, CA
(40.58858, -124.146858)"
2847,Clay County Sheriffs Department,Clay,Piggott,AR,No Changes have been made.,NULL,"Piggott, AR
(36.382142, -90.190529)"
7656,Lapush Police Department,Clallam,Lapush,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Lapush, WA
(47.908901, -124.6353)"
5461,Brookshire Police Department,Waller,Brookshire,TX,No Changes have been made.,NULL,"Brookshire, TX
(29.786298, -95.9513)"
5461,Irving Police Department East,Dallas,Irving,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Irving, TX
(32.813879, -96.949933)"
1968,Joint Emergency Communications Center (jecc),Johnson,Iowa City,IA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Iowa City, IA
(41.66124, -91.530128)"
1968,University Park Police Department,Dallas,University Park,TX,No Changes have been made.,NULL,"University Park, TX
(32.851576, -96.79495)"
7656,Tomball Police Department,Harris,Tomball,TX,No Changes have been made.,NULL,"Tomball, TX
(30.097205, -95.616006)"
4972,Southwick Police,Hampden,Southwick,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Southwick, MA
(42.054808, -72.770113)"
2313,Monrovia Police Department,Los Angeles,Monrovia,CA,No Changes have been made.,NULL,"Markham, IL
(41.593513, -87.694621)"
448,Kearny Police Department,Pinal,Kearny,AZ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/05/2017,"Kearny, AZ
(33.058594, -110.903704)"
3354,Marion County Sheriffs Department,Marion,Ocala,FL,No Changes have been made.,NULL,"Inez, KY
(37.866646, -82.539105)"
2313,Clark County Sheriffs Department,Clark,Clark,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/20/2016,"Clark, SD
(44.8777, -97.734918)"
5093,Webster County Law Enforcement Center-ft Dodge,Webster,Ft Dodge,IA,No Changes have been made.,NULL,"Markham, IL
(41.593513, -87.694621)"
2619,Lyon County Dispatch Center,Lyon,Yerington,NV,No Changes have been made.,NULL,"Yerington, NV
(38.988757, -119.163163)"
4972,Buecomm,Bureau,Princeton,IL,"PSAP Name, State, County or City text has been modified since the original posting.",05/16/2013,"Peru, IN
(40.753762, -86.069115)"
445,Balcones Heights Police Department,Bexar,San Antonio,TX,"PSAP Name, State, County or City text has been modified since the original posting.",09/23/2005,"San Antonio, TX
(29.425173, -98.494599)"
2321,Sea Isle City Police Department,Cape May,Sea Isle City,NJ,No Changes have been made.,NULL,"Sea Isle City, NJ
(39.153421, -74.692903)"
2619,Baldwin Park Police Department,Los Angeles,Baldwin Park,CA,No Changes have been made.,NULL,"Baldwin Park, CA
(34.08538, -117.960355)"
2619,Methuen Police,Essex,Methuen,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Methuen, MA
(42.726101, -71.191399)"
2984,Lower Brule County,Lyman,Lower Brule,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Lower Brule, SD
(44.07109, -99.581761)"
2210,Amberly Village Police Department,Hamilton,Amberly,OH,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
2984,Bernardsville Borough Police Department,Somerset,Bernardsville,NJ,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/21/2010,"Bernardsville, NJ
(40.719225, -74.569359)"
2210,Scarsdale Village Police Department,Westchester,Scarsdale,NY,No Changes have been made.,NULL,"Scarsdale, NY
(40.988732, -73.796583)"
6466,Putnam County Sheriffs Office,Putnam,Hennepin,IL,No Changes have been made.,NULL,"Hennepin, IL
(41.252926, -89.343256)"
445,Sturtevant Police,Racine,Sturtevant,WI,No Changes have been made.,NULL,"Sturtevant, WI
(42.69799, -87.89603)"
2321,Woodward County 911 Communications,Woodward,Woodward,OK,"PSAP Name, State, County or City text has been modified since the original posting.",05/22/2015,"Woodward, OK
(36.433741, -99.398387)"
5093,Morristown Rescue Squad,Hamblen,Morristown,TN,No Changes have been made.,NULL,"Morristown, TN
(36.214459, -83.295107)"
7832,Glendora Police Department,Los Angeles,Glendora,CA,No Changes have been made.,NULL,"Glendora, CA
(34.136001, -117.865485)"
5093,Tillman County E9-1-1,Tillman,Frederick,OK,"PSAP Name, State, County or City text has been modified since the original posting.",02/04/2010,"Frederick, OK
(34.392082, -99.010781)"
2619,Butte County Sheriff (oroville),Butte,Oroville,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"Oroville, CA
(39.512339, -121.554608)"
2619,Logan County,Logan,Napoleon,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Napoleon, ND
(46.503786, -99.769071)"
2984,River Oaks Police Department,Tarrant,River Oaks,TX,No Changes have been made.,NULL,"River Oaks, TX
(32.773231, -97.399845)"
6466,Benton County Sheriffs Office,Benton,Fowler,IN,No Changes have been made.,NULL,"Fowler, IN
(40.617668, -87.323452)"
7832,Pipestone County Psap,Pipestone,Pipestone,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Pipestone, MN
(44.000535, -96.30752)"
2619,Slocomb Police Department,Geneva,Slocomb,AL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Inez, KY
(37.866646, -82.539105)"
2984,Crystal City Police Department,Zavala,Crystal City,TX,No Changes have been made.,NULL,"Crystal City, TX
(28.694299, -99.830747)"
445,Silver Falls 9-1-1,Marion,Silverton,OR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Peru, IN
(40.753762, -86.069115)"
6466,Burnet County Sheriff's Office,Burnet,Burnet,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"Burnet, TX
(30.758093, -98.22876)"
5688,Bia Law Enforcement-turtle Mountain Agency,Rolette,Belcourt,ND,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Belcourt, ND
(48.839153, -99.744853)"
2619,Lawrenceburg Police Department,Anderson,Lawrenceburg,KY,No Changes have been made.,NULL,"Lawrenceburg, KY
(38.034294, -84.895387)"
2984,Woonsocket Police Department,Providence,Woonsocket,RI,No Changes have been made.,NULL,"Woonsocket, RI
(42.000971, -71.505472)"
2321,Morris City Police Department,Grundy,Morris,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Peru, IN
(40.753762, -86.069115)"
2321,Red Oak Police Department,Ellis,Red Oak,TX,No Changes have been made.,NULL,"Hometown, IL
(41.73199, -87.73231)"
5475,Issaquah Police Department,King,Issaquah,WA,No Changes have been made.,NULL,"Markham, IL
(41.593513, -87.694621)"
3354,Temple Terrace Police Department,Hillsborough,Temple Terrace,FL,No Changes have been made.,NULL,"Hometown, IL
(41.73199, -87.73231)"
445,Madison County Sheriff,Madison,Virginia City,MT,No Changes have been made.,NULL,"Virginia City, MT
(45.293704, -111.944132)"
7531,Wisconsin Dells Police Department,Columbia,Wisconsin Dells,WI,No Changes have been made.,NULL,"Wisconsin Dells, WI
(43.652392, -89.775781)"
8302,Dawson Springs Police Department,Hopkins,Dawson Springs,KY,PSAP was added since the original posting of the FCC Registry.,05/05/2011,"Peru, IN
(40.753762, -86.069115)"
2619,Warwick Fire And Rescue Department,Kent,Warwick,RI,No Changes have been made.,NULL,"Warwick, RI
(41.698709, -71.460018)"
6574,Wilmington 9-1-1 Center,New Castle,Wilmington,DE,"PSAP Name, State, County or City text has been modified since the original posting.",11/21/2005,"Peru, IN
(40.753762, -86.069115)"
2984,Selfridge Air National Guard,Macomb,Selfridge,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Inez, KY
(37.866646, -82.539105)"
445,Faribault Police Department,Faribault,Faribault,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Hometown, IL
(41.73199, -87.73231)"
5211,Seymour Police Department,Jackson,Seymour,IN,No Changes have been made.,NULL,"Seymour, IN
(38.957531, -85.885428)"
5093,John Day Emergency Communications Center,Grant,John Day,OR,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"John Day, OR
(44.389673, -118.950086)"
7531,Quanah-hardeman County Sheriffs Department,Hardeman,Quanah,TX,No Changes have been made.,NULL,"Quanah, TX
(34.297752, -99.739597)"
5093,Yavapai-prescott Tribal Police,Yavapai,Prescott,AZ,No Changes have been made.,NULL,"Prescott, AZ
(34.541445, -112.470124)"
6574,Conecuh County Sheriff's Office Dispatch,Conecuh,Evergreen,AL,"PSAP Name, State, County or City text has been modified since the original posting.",08/14/2013,"Evergreen, AL
(31.435609, -86.956377)"
5475,Hazelwood Police Department,St. Louis,Hazelwood,MO,No Changes have been made.,NULL,"Hazelwood, MO
(38.785254, -90.390119)"
8302,City Of Canton Police,Stark,Canton,OH,No Changes have been made.,NULL,"Canton, OH
(40.797388, -81.377036)"
7344,Hamilton County Ems,Hamilton,Chattanooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/11/2013,"Chattanooga, TN
(35.045756, -85.308287)"
445,Haskell County Sheriff,Haskell,Stigler,OK,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/24/2014,"Stigler, OK
(35.253391, -95.122361)"
8302,Tucson Fire Medics,Pima,Tucson,AZ,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
2028,Montgomery County Department Of Public Safety,Montgomery,Eagleville,PA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Eagleville, PA
(41.056647, -77.593035)"
6466,Alton Police Department,Hidalgo,Alton,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Markham, IL
(41.593513, -87.694621)"
445,Leecomm,Lee,Montrose,IA,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2014,"Peru, IN
(40.753762, -86.069115)"
5688,Garden Grove Police Department,Orange,Garden Grove,CA,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
6466,Hayes County,Hayes,Hayes Center,NE,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Hayes Center, NE
(40.509317, -101.016136)"
5137,Malmstrom Air Force Base,Cascade,Malmstrom Afb,MT,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/19/2005,"Malmstrom Afb, MT
(47.509384, -111.190689)"
2619,Eaton Police Department,Preble,Eaton,OH,No Changes have been made.,NULL,"Eaton, OH
(39.747897, -84.636411)"
1968,Petersburg Volunteer Fire Department,Wrangell-petersburg Census Area,Petersburg,AK,No Changes have been made.,NULL,"Inez, KY
(37.866646, -82.539105)"
7656,Kirtland Police,Lake,Kirtland,OH,No Changes have been made.,NULL,"Kirtland, OH
(41.615523, -81.356079)"
4972,Loudonville Police Department,Ashland,Loudonville,OH,No Changes have been made.,NULL,"Loudonville, OH
(40.635591, -82.233485)"
7531,Ballard County Detention Center,Ballard,Wickliffe,KY,No Changes have been made.,NULL,"Wickliffe, KY
(36.964811, -89.089171)"
5211,Airport Communications,Marion,Indianapolis,IN,PSAP was added since the original posting of the FCC Registry.,10/02/2007,"Indianapolis, IN
(39.76845, -86.156212)"
448,Lafayette Police Department,Tippecanoe,Lafayette,IN,No Changes have been made.,NULL,"Lafayette, IN
(40.417328, -86.890617)"
7344,Parker County Sheriffs Department,Parker,Weatherford,TX,No Changes have been made.,NULL,"Weatherford, TX
(32.757462, -97.814529)"
5422,Mercer County Sheriffs Office,Mercer,Celina,OH,No Changes have been made.,NULL,"Celina, OH
(40.549993, -84.570811)"
2619,Eloy Police Department,Pinal,Eloy,AZ,No Changes have been made.,NULL,"Eloy, AZ
(32.751976, -111.55485)"
1622,Palm Beach Shores Public Safety Department,Palm Beach,Palm Beach Shores,FL,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
1468,Calhoun County Sheriffs Department,Calhoun,Blountstown,FL,No Changes have been made.,NULL,"Blountstown, FL
(30.445812, -85.04496)"
3230,Prince Georges County Emerg Communications Center,Prince George's,Landover,MD,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Landover, MD
(38.933597, -76.907114)"
2984,Union County 911,Union,Liberty,IN,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2015,"Liberty, IN
(39.633401, -84.923328)"
3354,Chp-los Angeles Communications Center-baldwin Park,Los Angeles,Los Angeles,CA,"PSAP Name, State, County or City text has been modified since the original posting.",06/24/2010,"Los Angeles, CA
(34.052238, -118.243344)"
2619,Ballwin Police Department,St. Louis,Ballwin,MO,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2008,"Ballwin, MO
(38.595104, -90.544918)"
2984,Hickory County Sheriffs Department,Hickory,Hermitage,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/30/2004,"Hermitage, MO
(37.944885, -93.325027)"
2321,Coshocton County Sheriffs Office,Coshocton,Coshocton,OH,No Changes have been made.,NULL,"Coshocton, OH
(40.269647, -81.850516)"
445,Polk County Psap,Polk,Crookston,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Crookston, MN
(47.773789, -96.606834)"
5951,Cranston Fire And Rescue Department,Providence,Cranston,RI,No Changes have been made.,NULL,"Cranston, RI
(41.778963, -71.435808)"
5211,Ablemarle Emergency Communications Center,Albemarle,NULL,VA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,01/03/2005,"VA
(37.542699, -78.45822)"
3260,Kennebunkport Police Department,York,Kennebunkport,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/02/2008,"Kennebunkport, ME
(43.360884, -70.474104)"
7401,Burnett County Sheriffs Department,Burnett,Siren,WI,No Changes have been made.,NULL,"Siren, WI
(45.782603, -92.38116)"
5688,Keweenaw County Sheriffs Office,Keweenaw,Eagle River,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Eagle River, MI
(47.413852, -88.29555)"
5744,Weatherford Police Department,Custer,Weatherford,OK,No Changes have been made.,NULL,"Markham, IL
(41.593513, -87.694621)"
6830,Pharr Police Department,Hidalgo,Pharr,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Pharr, TX
(26.193348, -98.184175)"
4516,Kidder County Sheriff,Kidder,Steele,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Steele, ND
(46.856574, -99.91569)"
769,Irwindale Police Department,Los Angeles,Irwindale,CA,No Changes have been made.,NULL,"Irwindale, CA
(34.103775, -117.934149)"
445,Rice / Steele County Combined 911 Center,Steele,Owatonna,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Owatonna, MN
(44.084811, -93.225492)"
445,Park Ridge Police Department,Cook,Park Ridge,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/02/2008,"Park Ridge, IL
(42.011007, -87.835869)"
1809,Mcduffie County Communications,Mcduffie,Thomson,GA,"PSAP Name, State, County or City text has been modified since the original posting.",03/31/2014,"Thomson, GA
(33.466202, -82.502554)"
7531,Iowa Tribal Police Department,Payne,Perkins,OK,No Changes have been made.,NULL,"Perkins, OK
(35.976226, -97.027773)"
4972,Hamburg,Erie,Hamburg,NY,No Changes have been made.,NULL,"Hamburg, NY
(42.723291, -78.839026)"
2984,Donna Police Department,Hidalgo,Donna,TX,No Changes have been made.,NULL,"Donna, TX
(26.1707, -98.054279)"
2619,Spokane Fire Department,Spokane,Spokane,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Markham, IL
(41.593513, -87.694621)"
6574,Candler County Sheriffs Office,Candler,Metter,GA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24/2014,"Metter, GA
(32.39722, -82.060135)"
2202,Dupage County Sheriff,Du Page,Wheaton,IL,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
7531,Imperial County Fire Department,Imperial,Imperial,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/06/2010,"Peru, IN
(40.753762, -86.069115)"
4516,Morrow Emergency Communications,Clayton,Morrow,GA,No Changes have been made.,NULL,"Morrow, GA
(33.583311, -84.341454)"
445,Palmer Police,Hampden,Palmer,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Palmer, MA
(42.159663, -72.328976)"
445,Carroll County E-911,Carroll,Carrollton,MO,"PSAP Name, State, County or City text has been modified since the original posting.",07/30/2008,"Markham, IL
(41.593513, -87.694621)"
2217,Elmwood Park Public Safety Center,Cook,Elmwood Park,IL,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
2619,York P D,York,York,ME,"PSAP Name, State, County or City text has been modified since the original posting.",05/03/2013,"York, ME
(43.139349, -70.69604)"
830,Montebello Police Department,Los Angeles,Montebello,CA,No Changes have been made.,NULL,"Montebello, CA
(34.019457, -118.116473)"
