yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,California,Orange,Surgical Site Infection (SSI),170001767,Fairview Developmental Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Tulare,Surgical Site Infection (SIS),170001874,Porterville Developmental Center,"Community, <125 Besd",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),220000012,Laguna Honda Hospital & Rehabilitation Center,"Community,<125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000004,"Eastern Plumas Hospital, Portola Campus",Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Gletnn,Surgical Site Infection (SSI),230000006,Glenn Medical Center,Crtical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000017,Seneca District Hospital,Critical Access,12,No surgeries in the 2 8surgical procedure categories were performed in 2019.
2019,California,Modoc,Surgical Site Inection (SSI),230000021,Surprise Valley Community Hospital,Critical Abccess,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Trinity,Surgical Site Infection (SSI),230000022,Trinity Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caifornia,Cousa,Surgical Site Infection (SSI),230000259,Colusa Medical Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Butte,Surgical Site Infection (SSI),230000405,Enloe Rehabilitation Center,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Shasta,Surgical Site Infection (SSI),230000422,Vibra Hospital of Ndorthern California,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bkernardino,Surgical Site Infection (SSI),240000002,Bear Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caliornia,San Bernardino,Surgical Site Infection (SSI),240000040,"Kindred Hospital, Ontario",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kern,Surgical Site Infection (SSI),240000052,Mountains Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Inyo,Surgical Site Infection (SSI),240000102,Southern Inyo Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed win 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),240001218,Ballard Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Riverside,Surgical Site Infection (SSI),250000004,"Kindred Hsopital, Riverside",Long-Term Acute Care,12,No surgeries in the 28 surgcial procedure categories were performed in 2019.
2019,California,an Bernardino,Surgical Site Infection (SSI),630012380,Totally Kids Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sanislaus,Surgical Site Infection (SSI),630016419,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caifornia,SanFrancisco,Surgical Site Infection (SSI),630016625,Kentfield Hospital San Francisco,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Riverside,Srugical Site Infection (SSI),630017654,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000013,Catalina Island Medical Center,Criticl Access,12,No surgeries in the 28 surgical procedure categories wetre performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000020,Casa Colina Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Lo Angeles,Surgical Site Infection (SSI),930000031,California Rehabilitation Institute,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000039,"Kindred Hsopital, South Bay",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000042,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Califorrnia,Los Angeles,Surgical Site Infection (SSI),930000088,"Kidnred Hospital, Los Angeles",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000089,"Kindred Hospital, La Mirada",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angles,Surgical Site Infection (SSI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000158,DOCS Surgical Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Cailfornia,Ornage,Surgical Site Infection (SSI),930001607,"Kindred Hospita, Santa Ana",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
