objectid(long),routeid(long),beginpoint(double precision),endpoint(double precision),routedirection,roadnumber(long),roadsuffix,nedesc,assumedownership,assmowndesc,assumedroadtype,assmrdtypdesc,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
4328,13573295,0.0,0.54,L,1,W,MADISON SCHOOLS (Madison),PRI,Private Entity,M,Mainline,75,MADISON,2022,8a8488db-e62c-45ae-98e8-6f2489119bf6,2836.13483388593
4329,13573299,0.0,0.44,L,1,W,LEGEND HILL RD (Private),PRI,Private Entity,M,Mainline,75,MADISON,2022,897cfb88-0c47-4fca-a8fa-102899783fb6,2359.77080508438
4330,13573437,0.0,0.14,L,1,W,CHESTER AIRPORT N (Chester),PRI,Private Entity,M,Mainline,26,CHESTER,1406,458de257-b71e-4951-b40d-5487d79f33e8,774.147680643209
4331,13573460,0.0,0.07,L,1,W,WASHINGTON PLAZA (Middletown),PRI,Private Entity,M,Mainline,82,MIDDLETOWN,2022,7f2c3bdc-dd3b-42cd-8f83-abf8dc50d18a,403.89264584582
4332,13475713,0.0,0.05,L,1,W,TARGET (Newington),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,93,NEWINGTON,2022,a8abf4b4-386c-49f3-ab21-2c5782ce79cc,266.837121382817
4333,13475717,0.0,0.13,L,1,W,DEERFIELD APARTMENTS (Newington),PRI,Private Entity,AR,Access Road,93,NEWINGTON,2022,384d6893-c61b-438a-acf5-f2881fed3be3,698.651822609257
4334,13475722,0.0,0.32,L,1,W,FAITH RD (Private),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,fb1d8d23-4e4a-4ed8-aae9-94ce161ad171,1694.18107843023
4335,13496972,0.0,0.09,L,1,W,RIVER CAMP DR (Private),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,77571d76-0dc1-45f9-a6fd-068d28a70dca,487.301749408723
4336,13496976,0.0,0.11,L,1,W,SURREY DR (Private),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,4299c5d5-c23a-4996-bed6-5ab079cfcc10,583.724410516632
4337,13539429,0.0,0.02,L,1,W,URGENT CARE (Newington),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,d41acc70-543b-4798-9784-cbf1f3e6010f,109.435550778118
4338,13541143,0.0,0.37,L,1,W,DUNHAM ST (Private),PRI,Private Entity,M,Mainline,159,WETHERSFIELD,2022,9566cf59-6cc4-496e-9411-694c15b6ea4d,1994.00149013283
4339,13556134,0.0,0.08,L,1,W,RENTSCHLER FIELD (East Hartford),PRI,Private Entity,M,Mainline,42,EAST HARTFORD,2022,c9334674-3aac-430a-8b1e-c1fc43c2807e,416.600334752983
4340,13556144,0.0,0.07,L,1,W,SILVER LANE PLAZA (East Hartford),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,42,EAST HARTFORD,2022,96c46a90-4f34-410d-b9e6-eaac5f32b887,382.504415908616
4341,13556207,0.0,0.09,L,1,W,VINCENT DR (Private),PRI,Private Entity,M,Mainline,7,BERLIN,2022,8c63fe93-b8fa-4806-b579-f05abb81e5fd,498.424266421714
4342,13556215,0.0,0.13,L,1,W,COSTCO (New Britain),PRI,Private Entity,M,Mainline,88,NEW BRITAIN,2022,61d70dd0-4659-4d14-9ea4-fd6bf31202e6,695.457359037991
4343,13556230,0.0,0.1,L,1,W,TARGET (New Britain),PRI,Private Entity,M,Mainline,88,NEW BRITAIN,2022,165848d6-a832-4c2e-93de-150f9df3e806,549.848544991259
4344,13556379,0.0,0.09,L,1,W,BRIARWOOD LA (Private),PRI,Private Entity,M,Mainline,37,DURHAM,2022,5f651cfe-58a7-42c2-952d-6460595ad83e,468.970637422233
4345,13556437,0.0,0.46,L,1,W,HARGER DR (Private),PRI,Private Entity,M,Mainline,58,GROTON,2022,972218f8-f5e2-4c80-bdc5-db84d5972bac,2438.29535854136
4346,13556440,0.0,0.13,L,1,W,LORETTA AVE (Private),PRI,Private Entity,M,Mainline,101,NORTH STONINGTON,2582,3e4d4f70-870d-4d85-aa47-54e673fcf9c4,693.998248585448
4347,13556513,0.0,0.09,L,1,W,SHOP RITE (Cromwell),PRI,Private Entity,M,Mainline,33,CROMWELL,2145,617ff4ae-b8a4-402d-8c0f-968db77eef50,457.056739854923
4348,13561161,0.0,0.68,L,1,W,OXFORD HIGH SCHOOL (Oxford),PRI,Private Entity,M,Mainline,107,OXFORD,2022,77cf536b-462c-4bd2-87f8-66002317dccc,3654.96950796006
4349,13561204,0.0,0.02,L,1,W,PATTY'S PANTRY (Southbury),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,130,SOUTHBURY,2022,434f04c1-20c4-4f22-9e61-917e95746f78,81.3655956749336
4350,13561234,0.0,0.03,L,1,W,TERRY COMMONS (Bristol),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,96b56c3f-1d86-427a-a453-091255a8f579,204.335395674097
4351,13561236,0.0,0.07,L,1,W,WESTOVER SCHOOL (Middlebury),PRI,Private Entity,M,Mainline,80,MIDDLEBURY,2022,7b619ca2-a98c-41d9-b2f0-6ea49392d3fe,417.501435956115
4352,13561338,0.0,0.05,L,1,W,HARTFORD HEALTH (Stonington),PRI,Private Entity,M,Mainline,137,STONINGTON,2022,4e8363fa-1cbf-46df-87e9-642ebb0eaf44,321.560581239794
4353,13561423,0.0,0.03,L,1,W,NORTH MADISON SHOPPING CENTER (Madison),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,75,MADISON,2022,2aae9c21-fa02-41bd-97a3-a2cac3c6566f,161.311062441144
4354,13598097,0.0,0.17,L,1,W,A ST (Private),PRI,Private Entity,M,Mainline,58,GROTON,2022,57941881-4334-466d-be1b-8d63b9cacd42,873.347596120192
4355,13598132,0.0,0.03,L,1,W,CONVENTION CENTER (Hartford),PRI,Private Entity,M,Mainline,63,HARTFORD,2022,eb4a2ff7-6abb-4322-8977-42d5a84c8e5b,174.851099550088
4356,13598143,0.0,0.22,L,1,W,MILLSTONE ACCESS RD (Waterford),PRI,Private Entity,M,Mainline,152,WATERFORD,2218,bbf281ba-64c2-45a0-a54d-229c7bba73ef,1165.75728472075
4357,13598152,0.0,0.03,L,1,W,BAYVIEW HEALTHCARE (Waterford),PRI,Private Entity,M,Mainline,152,WATERFORD,2022,620d41c7-a389-455d-b8f4-be6024111d09,205.491533697202
4358,13601609,0.0,0.22,L,1,W,PROMENADE SHOPS (Orange),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,106,ORANGE,2022,76a44c60-9949-4e36-bed1-aa2cfc2e23c5,1197.25952425738
4359,13604445,0.0,0.25,L,1,W,OCEAN STATE JOB LOT (Windsor),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,164,WINDSOR,2022,2e481c09-16ab-4805-a0c5-14302d49a430,1356.28582949861
4360,13604514,0.0,0.54,L,1,W,MACDOUGALL WALKER CORRECTIONAL INSTITUTE (Suffield),PRI,Private Entity,M,Mainline,139,SUFFIELD,2022,86f4e4fe-1a80-4532-a6d2-0778606aac24,2871.64414449237
4361,13604542,0.0,0.26,L,1,W,GREEN BRIAR DR (Private),PRI,Private Entity,M,Mainline,139,SUFFIELD,2022,652e3cb3-3cf6-4638-b148-3b3fb09d009e,1363.66816225979
4362,13604550,0.0,0.37,L,1,W,GREENDALE DR (Private),PRI,Private Entity,M,Mainline,139,SUFFIELD,2022,8ffd2b33-1f2b-483c-a48f-46ad75f596be,1999.00345406149
4363,13604583,0.0,0.1,L,1,W,RIVERVIEW DR (Private),PRI,Private Entity,M,Mainline,107,OXFORD,2022,da10a31a-e810-4e4e-a712-82b0a1003302,550.685756871496
4364,13604588,0.0,0.22,L,1,W,RIVERBEND DR (Private),PRI,Private Entity,M,Mainline,107,OXFORD,2022,b40e1759-5550-48c3-bd50-e6844d4eca28,1172.65286368149
4365,13604883,0.0,0.18,L,1,W,DINGLEY DELL RD (Private),PRI,Private Entity,M,Mainline,84,MONROE,2022,c9ce77a1-24c6-4b2e-b785-1ba6d3cced6c,964.006560700647
4366,13604930,0.0,0.14,L,1,W,MAPLEWOOD CONDOS (Derby),PRI,Private Entity,M,Mainline,36,DERBY,1731,0c580968-1868-43d0-84d6-d1c56d83bb0e,712.469640823557
4367,13605012,0.0,0.78,L,1,W,MARGINAL DR (Private),PRI,Private Entity,M,Mainline,156,WEST HAVEN,2022,863898e4-e394-49d7-ab29-7fc22bd118e1,4096.91415816559
4368,13605067,0.0,0.06,L,1,W,TRUMAN ST (Private),PRI,Private Entity,M,Mainline,92,NEW HAVEN,2022,eac552d9-1b81-4f95-b28a-f95975ed7b47,286.531990420183
4369,13605997,0.0,0.02,L,1,W,RITEAID PLAZA (Hamden),PRI,Private Entity,M,Mainline,61,HAMDEN,1965,0f1a187c-3684-48ec-a062-c43cfbc249c7,95.9963713336369
4370,13606027,0.0,0.1,L,1,W,WOLFS DEN CAMP (East Haddam),PRI,Private Entity,M,Mainline,40,EAST HADDAM,2022,f210d004-9da2-4aff-b9b5-37e5c6baddbd,545.432640482973
4371,13607041,0.0,0.19,L,1,W,CHARLTON HILL (Hamden),PRI,Private Entity,M,Mainline,61,HAMDEN,2022,bf916f59-98db-405b-b929-9dda41befbce,1006.52803960481
4372,13607109,0.0,0.2,L,1,W,MAHAN SCHOOL (Norwich),PRI,Private Entity,M,Mainline,103,NORWICH,2022,f5b355aa-6d17-4bd0-aebf-bee93d688a02,1094.44734671105
4373,13607134,0.0,0.2,L,1,W,JOYCE HILL (Private),PRI,Private Entity,M,Mainline,90,NEW FAIRFIELD,2022,bf2d735b-7912-463f-8590-8a437eea5fea,1058.62826234066
4374,13607143,0.0,0.09,L,1,W,PENNEY LA (Private),PRI,Private Entity,M,Mainline,90,NEW FAIRFIELD,1979,c1e546cb-f0e0-477a-bbfd-566aee502836,491.657325323721
4375,13607174,0.0,0.02,L,1,W,OAK TREE PLAZA (Norwich),PRI,Private Entity,M,Mainline,103,NORWICH,2022,eb3ea663-91b3-47b7-a73f-b155413d17f2,149.955937210554
4376,13607224,0.0,0.23,L,1,W,PINEWOOD SHORES (Private),PRI,Private Entity,M,Mainline,127,SHERMAN,2022,c5a01eb1-bb72-40ca-973f-adf7af689d73,1206.17820648937
4377,13607580,0.0,0.37,L,1,W,HUDSON LA (Private),PRI,Private Entity,M,Mainline,164,WINDSOR,2022,923e5870-5751-44ca-95b7-3604b6b64722,2001.75656379152
4378,13607597,0.0,0.08,L,1,W,POQUONOCK SCHOOL (Windsor),PRI,Private Entity,M,Mainline,164,WINDSOR,2022,52dbc029-dd6d-486f-bccc-d910102507c5,447.474424302957
4379,13607623,0.0,0.19,L,1,W,FIREHOUSE DR (Private),PRI,Private Entity,M,Mainline,165,WINDSOR LOCKS,2022,d24e3d62-1230-47b1-8a71-27fce80ed44a,1048.63222617647
4380,13607640,0.0,0.1,L,1,W,PERIMETER RD (Private),PRI,Private Entity,M,Mainline,165,WINDSOR LOCKS,2022,7c3024e0-3fef-4b42-aae0-4c0db7269169,533.221312833677
4381,13607647,0.0,0.18,L,1,W,STONEGATE LA (Private),PRI,Private Entity,M,Mainline,139,SUFFIELD,2022,260b3aed-7ba0-4182-89cc-2657de3307d9,961.467630698195
4382,13607693,0.0,0.11,L,1,W,CONN COLLEGE ATHLETICS (New London),PRI,Private Entity,M,Mainline,94,NEW LONDON,2022,67bbef00-a76d-47c7-91b8-323197219589,591.942682388428
4383,13607699,0.0,0.2,L,1,W,MARGERIE VIEW DR (Private),PRI,Private Entity,M,Mainline,34,DANBURY,1377,543b8d79-577e-4171-aa0c-c8a159105e34,1090.03374358908
4384,13608089,0.0,0.09,R,1,W,MANSFIELD DRIVE IN THEATER (Mansfield),PRI,Private Entity,M,Mainline,77,MANSFIELD,2022,132c75c3-2c5f-4145-9bf1-0b4e5a5491a1,516.910231098645
4385,13608107,0.0,0.16,L,1,W,OLD COLONY RD (Private),PRI,Private Entity,M,Mainline,77,MANSFIELD,2022,4debba6a-dcd5-48e9-98a9-e9cc5d20d76a,876.768018813761
4386,13608166,0.0,0.16,L,1,W,WATERFORD TOWN HALL (Waterford),PRI,Private Entity,M,Mainline,152,WATERFORD,2022,5bc35de6-0fde-42ab-aa37-727bd4a4931b,903.034247128806
4387,13608192,0.0,0.02,L,1,W,TA TRAVEL CENTER (Willington),PRI,Private Entity,M,Mainline,160,WILLINGTON,1651,96b5c778-93a8-48b1-8d7f-c7325053e432,136.660113006235
4388,13608213,0.0,0.07,L,1,W,WEST RIVER PLAZA (West Haven),PRI,Private Entity,M,Mainline,156,WEST HAVEN,2022,3302470f-7b33-4d8d-87e5-d86240f06f86,396.289827060179
4389,13608255,0.0,0.15,L,1,W,KILLINGLY COMMONS EAST (Killingly),PRI,Private Entity,M,Mainline,68,KILLINGLY,1744,2ec5a1c0-28c3-4946-a81e-25805fa46f1c,831.24696872016
4390,13608261,0.0,0.04,L,1,W,GLENDEVON DR (Private),PRI,Private Entity,M,Mainline,156,WEST HAVEN,2022,145e0c7b-4946-4e4d-8625-75ec84600249,253.372131649961
4391,13609433,0.0,0.06,L,1,W,HOLLY HOUSE CT (Private),PRI,Private Entity,M,Mainline,73,LITCHFIELD,2022,52f45bbb-0dbb-40e8-b752-3dc1adb808e4,325.564040222096
4392,13610126,0.0,0.08,L,1,W,BUMPY LA (Private),PRI,Private Entity,M,Mainline,158,WESTPORT,2250,a49ad59e-8e43-4fa0-900b-fd862e613150,403.757754637871
4393,13610136,0.0,0.11,L,1,W,TWIN FALLS LA (Private),PRI,Private Entity,M,Mainline,158,WESTPORT,2022,2a530c22-88c3-4965-a539-4dcef2f3ed65,578.122332003678
4394,13610163,0.0,0.19,L,1,W,CHERRY HILL (Chester),PRI,Private Entity,M,Mainline,26,CHESTER,2022,3dd3248a-21cb-47cd-aabb-bf455f8409a4,1026.63019825183
4395,13655398,0.0,0.04,L,1,W,CHESHIRE PARK (Cheshire),PRI,Private Entity,M,Mainline,25,CHESHIRE,2022,d70a459a-1a8d-495b-bf97-527ef386cdfa,208.138756433407
4396,13663558,0.0,0.05,L,1,W,GULF (Cheshire),PRI,Private Entity,M,Mainline,25,CHESHIRE,1463,d92dbe15-da12-4c7f-adf3-c4fd6f9b756e,246.534248884047
4397,13728707,0.0,0.12,L,1,W,ROBINSON CORRECTIONAL EAST (Enfield),PRI,Private Entity,M,Mainline,48,ENFIELD,2022,2f7ce258-3d5d-4742-9183-13b47bb138c0,604.573722481617
4398,13728736,0.0,0.09,L,1,W,DEVONSHIRE (Southington),PRI,Private Entity,M,Mainline,131,SOUTHINGTON,2022,f8b4ae3a-3614-41bf-adb8-9881d082945a,466.910646853151
4399,13728747,0.0,0.05,L,1,W,ASHTON WOODS (Southington),PRI,Private Entity,M,Mainline,131,SOUTHINGTON,2022,299613b5-bc86-429f-a132-c8a388c1db4a,241.450940795536
4400,13728767,0.0,0.22,L,1,W,FARM LA (Private),PRI,Private Entity,M,Mainline,154,WESTBROOK,2022,419141f1-aeb7-41e8-992d-7d5c03addd11,1133.31938020488
4401,13729592,0.0,0.08,L,1,W,ST ARMAND ESTATES (Southington),PRI,Private Entity,M,Mainline,131,SOUTHINGTON,2022,79cdc827-795c-4f7b-8aa3-96c9ea979fdc,424.377104044365
4402,13729602,0.0,0.07,L,1,W,RICCIO WAY (Private),PRI,Private Entity,M,Mainline,131,SOUTHINGTON,2403,8455bbc1-4c97-4bad-b34d-1a794ff56bce,365.076510457905
4403,13729611,0.0,0.22,L,1,W,STOP AND SHOP (Southington),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,131,SOUTHINGTON,2022,f2c87805-449e-4306-9a73-d971af9032ba,1147.50622692642
4404,13729635,0.0,0.05,L,1,W,PONEMAH MILLS N (Norwich),PRI,Private Entity,M,Mainline,103,NORWICH,2022,92a7b02b-76de-4c3b-94b7-d8835d7a0bb9,271.513416733673
4405,13729693,0.0,0.07,L,1,W,PRICE CHOPPER (Southington),PRI,Private Entity,M,Mainline,131,SOUTHINGTON,2022,882bf12d-3839-4bc9-83cc-d75286dde0fa,390.509608052949
4406,13730133,0.0,0.17,L,1,W,CASSIDY DR NO 1 (Private),PRI,Private Entity,M,Mainline,109,PLAINVILLE,2022,0d5e82de-95b3-44f2-a826-bbee4abd5086,878.92836015544
4407,13730203,0.0,0.13,L,1,W,WELLINGTON DR (Private),PRI,Private Entity,M,Mainline,51,FARMINGTON,2022,b2036622-fec8-48d5-8403-c84cac36547b,700.448717008597
4408,13730948,0.0,0.06,L,1,W,BALDWIN SCHOOL (Canterbury),PRI,Private Entity,M,Mainline,22,CANTERBURY,2022,564c243d-64c6-4d0a-a5a4-32e34542758b,355.720080875831
4409,13730969,0.0,0.02,L,1,W,PARK AND RIDE (Windsor Locks),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,165,WINDSOR LOCKS,2022,09a6bea3-4344-4fa8-8224-ec434b9d6490,149.049270679648
4410,13732752,0.0,0.4,L,1,W,AVONWOOD RD (Private),PRI,Private Entity,M,Mainline,4,AVON,2947,dd9e0592-e30d-4cf2-b5e0-b8936f44cc0d,2104.11696548423
4411,13803802,0.0,0.13,L,1,W,HARLAND HEIGHTS (Norwich),PRI,Private Entity,M,Mainline,103,NORWICH,1339,63bbd594-1287-485a-935d-57232a34245c,717.64276338902
4412,13844616,0.0,0.21,L,1,W,TALCOTT ACRES CONDOS (Simsbury),PRI,Private Entity,M,Mainline,128,SIMSBURY,2022,c0ef0fb7-0714-4389-9681-ba481eb6d89d,1089.11233037569
4413,13844663,0.0,0.04,L,1,W,EBAD (Simsbury),PRI,Private Entity,M,Mainline,128,SIMSBURY,1047,6439fd66-3979-4534-b2d8-82c436ebf997,194.418670456461
4414,13844967,0.0,0.6,L,1,W,TALCOTT FARMS RD (Private),PRI,Private Entity,M,Mainline,104,OLD LYME,2022,abb36dba-3877-4429-a789-d7eaf694a44e,3169.58470393633
4415,13846434,0.0,0.03,L,1,W,BRADFORD GREEN (Monroe),PRI,Private Entity,M,Mainline,84,MONROE,2022,513e1467-beb5-4b6c-a6c9-efe98b33c6bf,204.173636720749
4416,13846454,0.0,0.14,L,1,W,TYLER WOODS (Private),PRI,Private Entity,M,Mainline,60,HADDAM,2022,9e0c8266-218a-4766-a211-2861d2da1747,772.424307654088
4417,13847548,0.0,0.16,L,1,W,GATES WAY (Private),PRI,Private Entity,M,Mainline,60,HADDAM,2022,9d2a3c1d-385b-428b-9b49-e22b470a2faf,861.270341732994
4418,13849835,0.0,0.6,L,1,W,LIBRARY LA (Private),PRI,Private Entity,M,Mainline,128,SIMSBURY,2022,ba7e895e-8b37-4651-8e88-6aaf6753a591,3237.15300826142
4419,13849868,0.0,0.1,L,1,W,NORTON PARK (Plainville),PRI,Private Entity,M,Mainline,109,PLAINVILLE,2022,830874e8-4016-4684-9320-e13aa86178da,541.661737504398
4420,13850192,0.0,0.14,L,1,W,WEST LA (Private),PRI,Private Entity,M,Mainline,11,BLOOMFIELD,2275,54b58632-def8-41d6-911c-125bbbdfbcca,740.35191524128
4421,13850213,0.0,0.03,L,1,W,HYUNDAI MOBIS (South Windsor),PRI,Private Entity,M,Mainline,132,SOUTH WINDSOR,2022,a7faf4fe-e9cb-4146-a427-efe21da97f5f,163.469484912913
4422,13850220,0.0,0.08,L,1,W,SULLIVAN PLACE CENTER (South Windsor),PRI,Private Entity,M,Mainline,132,SOUTH WINDSOR,2022,799bf772-943d-4d45-ba17-1f5be11b0b91,461.204538461775
4423,13850259,0.0,0.23,L,1,W,MAPLE HEIGHTS (Enfield),PRI,Private Entity,M,Mainline,48,ENFIELD,1705,55eef4e3-cb01-4b05-83e8-3b7c30125c3c,1241.54262006503
4424,13850271,0.0,0.18,L,1,W,ENFIELD TOWN ANNEX (Enfield),PRI,Private Entity,M,Mainline,48,ENFIELD,1539,a4069d2e-d70c-4b95-b65c-6c865c894dca,933.713136723307
4425,13850589,0.0,0.06,L,1,W,FOUR CORNERS GROCERY (Middlebury),PRI,Private Entity,M,Mainline,80,MIDDLEBURY,2805,d16669c9-0243-4bd8-b2a0-071a923492d6,355.015637113971
4426,13850662,0.0,0.08,L,1,W,BLACK ROCK SCHOOL (Thomaston),PRI,Private Entity,M,Mainline,140,THOMASTON,2022,ae5e5069-ace6-44c4-a1c7-326179d21735,456.337987558823
4427,13850704,0.0,0.02,L,1,W,PETCO PLAZA (Waterford),PRI,Private Entity,M,Mainline,152,WATERFORD,2022,7cb13236-ffc2-451e-9a4e-ffdafffba2cb,156.772718558944
4428,13850729,0.0,0.15,L,1,W,MANITOOK RD (Private),PRI,Private Entity,M,Mainline,55,GRANBY,2022,7401a8ee-3a62-4dbe-bd89-b9ed8771a4ba,772.649697206508
4429,13573756,0.0,0.81,L,1,W,LAKEWOOD DR (Private),PRI,Private Entity,M,Mainline,70,LEBANON,2022,b61ea3ff-f3a2-4da5-b4c4-b330508b3694,4247.65414313337
4430,13573780,0.0,0.43,L,1,W,JOBS GATE (Private),PRI,Private Entity,M,Mainline,112,PORTLAND,2022,6cf60bf9-5a99-4e1e-ac62-483bf0e06b6c,2281.3377597559
4431,13573861,0.0,0.19,L,1,W,LAKE VISTA (Private),PRI,Private Entity,M,Mainline,41,EAST HAMPTON,2022,3d1d8cbf-0e6b-48e3-b2f4-ffdeeeff6066,1029.54687827882
4432,13573883,0.0,0.14,L,1,W,PINE TR (Private),PRI,Private Entity,M,Mainline,41,EAST HAMPTON,2022,50df63d3-55c0-4779-81a5-f0d4b7f4bbab,728.218030465994
4433,13573972,0.0,0.02,L,1,W,SUNOCO (Mansfield),PRI,Private Entity,M,Mainline,77,MANSFIELD,2022,a0d5aecf-84db-498a-b19b-763c532be14f,145.155995553082
4434,13574003,0.0,0.05,L,1,W,EO SMITH HIGH SCHOOL S (Mansfield),PRI,Private Entity,M,Mainline,77,MANSFIELD,2022,b567ba7b-78b1-4204-9953-343e2a221e1a,267.285714046213
4435,13574039,0.0,0.03,L,1,W,STAPLES PLAZA (Mansfield),PRI,Private Entity,M,Mainline,77,MANSFIELD,2022,33a917ea-af23-47fb-b926-52863904de1a,195.517513338365
4436,13574430,0.0,0.16,L,1,W,HARMON DR (Private),PRI,Private Entity,M,Mainline,139,SUFFIELD,2022,bf61bb3b-d831-4f2b-adfe-d775bb2ef0f0,850.603494779536
4437,13580289,0.0,0.21,L,1,W,AVON HIGH SCHOOL (Avon),PRI,Private Entity,M,Mainline,4,AVON,2022,61f086d8-bbb6-4719-bddb-dec43b1e9b89,1152.97567239364
4438,13581082,0.0,0.02,L,1,W,SALS PIZZA PASTA (Old Saybrook),PRI,Private Entity,M,Mainline,105,OLD SAYBROOK,2022,49d778dd-4b76-4140-b2f7-e7626a3d7839,106.729320995668
