ID,Status,Student,Task title,Issue,Forum,Output
116,Claimed,EvgeniyFilatov,Translate part of the Installation Manual to a non-English Language,,forum,
117,Claimed,TromboneChamp,Create art that captures the spirit of All Together,,forum,
118,Claimed,slogen123,Create art that captures the spirit of All Together,,,
119,Closed,fantastic91,Translate part of the Installation Manual to a non-English Language,,forum,output
121,Closed,md.bustos90,Translate part of the Installation Manual to a non-English Language,,,output
122,Closed,pe...seznam.cz,Translate part of the Installation Manual to a non-English Language,,forum,output
123,Closed,unndomiell,Translate part of the Installation Manual to a non-English Language,,forum,output
125,Closed,depresz,Create a Blog Entry Date Calendar Icon Plugin for Joomla! v 1.5,,forum,output
126,Closed,depresz,Create a Joomla! v 1.5 Plugin to update Twitter status with article title when published,,forum,output
127,Closed,skromwijk,Create a Joomla! v 1.5 Content Plugin to embed Scribd Documents,,,output
128,Closed,thomasfedb,Create a Joomla! v 1.5 CSS for Bar Graphs Plugin,,forum,output
129,Closed,chalet16,Create a Joomla! v 1.5 Plugin for Footnotes with CSS and Javascript,,forum,output
130,Closed,s.kromwijk,Create a Joomla! v 1.5 Plugin to implement A List Apart's Automatic Magazine Layout,,forum,output
131,Closed,annerjb,Create a Joomla! v 1.5 Plugin for Odeo,,forum,output
133,Closed,m...jonas-brand.de,Create a Joomla! v 1.5 Module for meebome Instant Messaging,,forum,output
134,Closed,mariekev...quicknet.nl,Create a Joomla! v 1.5 Module for Digg List Stories,,forum,output
135,Closed,Milosz.Lewandowski,Create a Joomla! v 1.5 Module to implement Technorati searchlet,,forum,output
136,Closed,v.golev,Create a Joomla! v 1.5 Module for del.icio.us linkrolls,,,output
137,Closed,v.golev,Create a Joomla! v 1.5 Module to display del.icio.us JSON Feeds,,forum,output
138,Claimed,jgirata,Create a Joomla! v 1.5 Slideshare Module,,forum,
139,Closed,benhiller,Create a Joomla! v 1.5 Twitter Module,,forum,output
140,Closed,Justo.deRivera,Create a Joomla! v 1.5 Blog Sidebar Calendar Component,,forum,output
141,Claimed,s.kromwijk,Implement JWChat as a Joomla! v 1.5 extension(s) (Advanced),,forum,
143,Closed,annerjb,Implement Open Flash Chart as a Joomla! v 1.5 Extension,,forum,output
144,Claimed,chalet16,Create a Facebook Application using Joomla! v 1.5,,forum,
146,Closed,mariekev,Select a Team Blog and translate it into a non-English language,,forum,output
147,Claimed,netantho,Create a new Joomla! v 1.5 website for a not for profit organization,,forum,
148,Claimed,joomgafadi,Create a new Joomla! v 1.5 website for a not-for-profit organization,,forum,
149,Claimed,m.garciarodriguez,Create a new Joomla! v 1.5 website for a not-for-profit organization,,,
150,Claimed,ramsay.james,Create a new Joomla! v 1.5 website for a not-for-profit organization,,forum,
151,Claimed,miccas,Create a new Joomla! v 1.5 website for a not-for-profit organization,,forum,
152,Claimed,gopi991,Create a new Joomla! v 1.5 website for a not-for-profit organization,,,
153,Claimed,chitsabesh,Create a new Joomla! v 1.5 website for a not for profit organization,,forum,
154,Claimed,android93,Create a new Joomla! v 1.5 website for a not-for-profit organization,,forum,
155,Claimed,fantastic91,Create a new Joomla! v 1.5 website for a not-for-profit organization,,forum,
156,Claimed,AshtonPatMurphy,Create a new Joomla! v 1.5 website for a not-for-profit organization,,forum,
157,Closed,tungolcild,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Article Manager,,forum,output
158,Closed,Kevin8020,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Article Manager,,forum,output
159,Closed,mariekev...quicknet.nl,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Front Page Maager,,forum,output
160,Closed,depresz,Carry out GHOP unit test on the Joomla1 1.5 Test Package for the Front Page Manager,,forum,output
161,Closed,mariekev...quicknet.nl,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Media Manager,,forum,output
162,Closed,Milosz.Lewandowski,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Media Manager,,forum,output
163,Closed,ramsay.james,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Template Manager,,forum,output
164,Closed,depresz,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Template Manager,,forum,output
165,Closed,depresz,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Menu Manager,,forum,output
166,Closed,ramsay.james,Carry out GHOP unit test on the Joomla1 1.5 Test Package: Menu Manager,,forum,output
167,Closed,miccas,Create a Video of the GHOP Joomla! Quickstart Guide Task #48,,forum,output
168,Claimed,depresz,Implement Avatar/Gravatars for Joomla! v 1.5,,forum,
169,Closed,baneweb,Identify Joomla! v 1.5 Websites in Joomla! Site Showcase,,forum,output
170,Claimed,Justo.deRivera,Implement MetaWeblog API to interact with Joomla! v 1.5 xml-rpc plugin,,forum,
171,Claimed,Drmmr763,Document how to add TinyMCE Spell Checker plugin to Joomla! v 1.5,,forum,
