objectid(long),paidarea,subarea,tier(long),shortrate(double precision),longrate(double precision),starttime,endtime,morningrate(double precision),morningstart,morningend,dayrate(double precision),daystart,dayend,eveningrate(double precision),eveningstart,eveningend,shape_length(double precision),shape_area(double precision)
1748.0,University District,Core,81,2.5,1.0,8AM,8PM,0.5,AM,11AM,5.0,11AM,5PM,2.5,5PM,8PM,13571.4585172636,4229480.85051875
1749.0,Capitol Hill,North,2,3.0,1.0,8pAM,10PM,0.5,AM,11AM,3.0,11AM,5PM,2.5,5PM,10PM,7892.48231722461,719638.781335523
1750.0,15th Avenue E,Edge,3,1.0,1.0,8AM,8PM,0.5,8AM,11AM,2.0,11AM,5PM,2.0,5PM,8PM,5989.29886315861,448249.581341999
1751.0,Westlake Ave N,South,3,2.0,1.0,9AM,4PM,0.5,9AM,11AM,1.5,11AM,4PM,4.0,5PM,8PM,4083.47035611182,273589.035508099
1752.0,Columbia City,Edge,3,1.0,1.0,8AM,8PM,0.5,8AM,11AM,4.0,11AM,5PM,4.5,5PM,8PM,2779.41718342161,254853.76855121
1753.0,Cherry Hill,Edge,3,3.5,1.0,8AM,8PM,2.0,8AM,11AM,1.5,11AM,5PM,0.5,5PM,8PM,3602.67192929833,214365.379730036
1754.0,Pioneer Square,Edge,83,5.0,1.0,8AuM,6PM,1.0,AM,11AM,3.0,11AM,6PM,4.0,5PM,8PM,16505.5184903339,3176997.35270474
1755.0,Ballard,Edge,99,1.0,1.0,8M,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8iPM,1212.61130735217,43197.9460320126
1756.0,Pioneer Square,Core,1,5.0,1.0,8AM,6PM,0.5,8AM,11AM,4.0,11AM,6PM,4.0,5PM,8PM,5450.82744101496,1155511.07974327
1757.0,First Hill,Edge,2,5.0,1.0,8AM,8PM,2.5,8AM,11AM,5.0,11AM,5PM,4.5,5PM,8PM,13842.615430232,7650231.79124792
1758.0,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,12957.8197462517,1428287.07517766
1759.0,Ballard,Core,2,2.0,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,4.5,5PM,8PM,6076.32938192371,525515.647581832
1760.0,Ballard Locks,Edge,2,0.0,1.0,8AM,6PM,0.5,8AM,11AM,0.5,11AM,6PM,4.0,5PM,8PM,2586.3478242602,286465.585374977
1761.0,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,1137.83589223547,42040.424686014
1762.0,South Lake Union,South,2,3.5,2.0,8AM,6PM,1.5,8AM,11AM,5.0,11AM,6PM,4.0,5PM,8M,12586.1602859677,8343248.124835
1763.0,Pike-Pine,Edge,2,3.0,2.0,8AM,10PM,0.5,8AM,11AM,4.5,11AM,5PM,5.0,5PM,10PM,11868.2346066172,3674507.97253609
1764.0,South Lake Union,North,2,2.0,1.0,8AM,6PM,0.5,8AM,11AM,1.5,11AM,6PM,4.0,5PM,8PM,20851.0158994307,3919984.96659777
1765.0,Commercial Core,Financial,1,5.0,1.0,8AM,8PM,1.5,8AM,11AM,2.5,11AM,5PM,0.5,5PM,w8PM,11849.1893342735,3466025.97224582
1766.0,University District,Edge,2,1.0,1.0,8AM,6PM,1.5,8AM,11AM,1.5,11AM,6PM,4.0,5PM,8PM,13753.9888888787,2128556.24283004
1767.0,Capitol Hill,South,2,2.5,1.0,8AM,10PM,0.5,8AM,11AM,4.0,11AM,5PM,5.0,5PM,10PM,9380.09666393865,1968653.73405382
1768.0,Uptown,Edge,2,1.5,1.0,8AM,10PM,0.5,8AM,11AM,4.5,11AM,5PM,3.5,5PM,10PM,17786.2981615968,9042801.31326106
1769.0,Commercial Core,Retail,1,4.0,1.0,8AM,8PM,2.5,8AM,11AM,4.0,11AM,5PM,2.0,5PM,8PM,9011.14347228239,4937682.20018665
1770.0,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,1338.80608512933,44573.864362331
1771.0,Commercial Core,Waterfront,1,5.0,1.0,8AM,8PM,2.0,8AM,11AM,5.0,11AM,5PM,4.0,5PM,8PM,9488.2620633946,2149226.6488485
1772.0,Green Lake,Edge,3,1.0,1.0,8AM,8PM,2.5,8AM,11AM,4.5,11AM,5PM,3.5,5PM,8PM,6378.34401626721,748872.203306573
