OBJECTID,GNLCCCODE,NORWEST,PATCH_ID,MINTEMPC,SLOPE,BT_0BRK,BT_25BRK,BT_50BRK,BT_75BRK,BT_100BRK,LENGTH_KM,NHDVERSION,SHAPELEN
79832,MC_729,MidColumbia,729,6.53,9.75,0.588615,0.52498,0.460523,0.39736,0.337441,10.89,1,0.128959809388165
79833,MC_730,MidColumbia,730,8.6,3.31,0.440577,0.400108,0.360957,0.323571,0.28831,5.14,1,0.0602304870098321
79834,MC_732,MidColumbia,732,7.77,6.23,0.547693,0.481255,0.415474,0.352573,0.294399,11.4,1,0.130396131137221
79835,MC_733,MidColumbia,733,8.69,6.89,0.325468,0.281618,0.24156,0.205569,0.173713,7.73,1,0.0891489618535595
79836,MC_739,MidColumbia,739,9.08,6.99,0.247523,0.215995,0.187483,0.161956,0.13931,5.83,1,0.0593662015173502
79837,MC_740,MidColumbia,740,9.95,6.91,0.142506,0.126239,0.111588,0.098445,0.086699,3.5,1,0.0344481348316244
79838,MC_744,MidColumbia,744,8.96,6.93,0.258997,0.227599,0.198985,0.173163,0.150063,5.42,1,0.0625473401522843
79839,MC_747,MidColumbia,747,8.9,11.53,0.130167,0.130167,0.130167,0.130167,0.130167,3.5,1,0.039557274172838
79840,MC_749,MidColumbia,749,7.19,12.22,0.322927,0.322927,0.322927,0.322927,0.322927,6.59,1,0.0746135140313704
79841,MC_751,MidColumbia,751,8.19,9.22,0.272965,0.242015,0.213542,0.187591,0.164135,4.88,1,0.0528366284280729
79842,MC_752,MidColumbia,752,8.68,12.57,0.12365,0.12365,0.12365,0.12365,0.12365,3.11,1,0.0309532336739879
79843,MC_763,MidColumbia,763,9.1,6.5,0.39598,0.319086,0.250922,0.193187,0.146145,15.73,1,0.173261166559668
79844,MC_764,MidColumbia,764,8.88,5.8,0.361479,0.30964,0.262182,0.219683,0.18237,9.3,1,0.0948334477084845
79845,MC_766,MidColumbia,766,9.04,8.42,0.235993,0.199341,0.167137,0.139231,0.115338,8.23,1,0.0979802678480067
79846,MC_769,MidColumbia,769,8.55,7.75,0.27729,0.245748,0.216717,0.190251,0.166331,4.97,1,0.0562091980965058
79847,MC_770,MidColumbia,770,9.18,13.99,0.076865,0.076865,0.076865,0.076865,0.076865,3.5,1,0.0384381189577189
79848,MC_771,MidColumbia,771,9.58,10.95,0.096505,0.096505,0.096505,0.096505,0.096505,3.45,1,0.0352854411098737
79849,MC_772,MidColumbia,772,9.78,11.61,0.077984,0.077984,0.077984,0.077984,0.077984,3.5,1,0.0329846853996652
79850,MC_773,MidColumbia,773,9.02,11.01,0.132745,0.132745,0.132745,0.132745,0.132745,3.71,1,0.044080241557949
79851,MC_774,MidColumbia,774,8.29,7.56,0.359138,0.312402,0.269194,0.229963,0.194924,7.86,1,0.0875676154044008
79852,MC_775,MidColumbia,775,9.01,7.12,0.26949,0.231816,0.19798,0.168004,0.141763,7.3,1,0.0687659308987698
79853,MC_781,MidColumbia,781,9.09,13.13,0.094413,0.094413,0.094413,0.094413,0.094413,3.89,1,0.0401697884389782
79854,MC_782,MidColumbia,782,7.73,9.29,0.382815,0.332553,0.285834,0.243286,0.205252,8.44,1,0.0971419213713427
79855,MC_783,MidColumbia,783,9.53,7.84,0.152401,0.13612,0.12133,0.107946,0.095877,3,1,0.0340261316669007
79856,MC_784,MidColumbia,784,8.71,11.41,0.146444,0.146444,0.146444,0.146444,0.146444,3.46,1,0.0323927909316926
79857,MC_790,MidColumbia,790,8.94,8.97,0.18416,0.163671,0.145056,0.128234,0.113104,3.67,1,0.0358381830316704
79858,MC_791,MidColumbia,791,7.62,8.05,0.502692,0.434769,0.369209,0.308146,0.253129,11.82,1,0.125529729225138
79859,MC_792,MidColumbia,792,7.63,11.31,0.285863,0.285863,0.285863,0.285863,0.285863,5.8,1,0.0617478698119656
79860,MC_794,MidColumbia,794,8.67,6.61,0.28068,0.253571,0.22825,0.204764,0.183121,3.41,1,0.0251638610847557
79861,MC_795,MidColumbia,795,8.27,8.57,0.315138,0.273803,0.236022,0.202004,0.171786,7.2,1,0.0649143654389491
79862,MC_796,MidColumbia,796,6.4,9.06,0.651492,0.586485,0.518318,0.449463,0.38249,12.01,1,0.117031970117332
79863,MC_797,MidColumbia,797,9.04,10.02,0.16622,0.16622,0.16622,0.16622,0.16622,5.49,1,0.0626153021136195
79864,MC_799,MidColumbia,799,8.97,4.95,0.386516,0.33171,0.281115,0.235516,0.195305,9.66,1,0.0951420339945767
79865,MC_802,MidColumbia,802,8.42,10.01,0.202343,0.202343,0.202343,0.202343,0.202343,3.06,1,0.0292628075802951
79866,MC_805,MidColumbia,805,9.45,6.61,0.193391,0.172484,0.153407,0.136093,0.120455,3.5,1,0.040497049233668
79867,MC_808,MidColumbia,808,8.55,11.03,0.17249,0.17249,0.17249,0.17249,0.17249,3.93,1,0.0386194609911232
79868,MC_811,MidColumbia,811,7.98,11.13,0.218677,0.218677,0.218677,0.218677,0.218677,3.16,1,0.0336554742658796
79869,MC_812,MidColumbia,812,8.08,9.46,0.331706,0.283647,0.240049,0.20127,0.167376,8.87,1,0.0832091920489865
79870,MC_813,MidColumbia,813,8.03,9.77,0.29329,0.256369,0.222631,0.192186,0.165021,6.34,1,0.0666061540738255
79871,MC_815,MidColumbia,815,7.68,10.92,0.277892,0.277892,0.277892,0.277892,0.277892,4.65,1,0.0536617018438459
79872,MC_816,MidColumbia,816,9.4,6.8,0.19336,0.172456,0.153381,0.13607,0.120434,3.5,1,0.0359644968341146
79873,MC_818,MidColumbia,818,8.91,11.31,0.148686,0.148686,0.148686,0.148686,0.148686,5.5,1,0.0531507709218346
79874,MC_820,MidColumbia,820,7.2,12.8,0.288953,0.288953,0.288953,0.288953,0.288953,5.68,1,0.0545600092513824
79875,MC_821,MidColumbia,821,7.07,14.33,0.27723,0.27723,0.27723,0.27723,0.27723,7.5,1,0.079728517447953
79876,MC_822,MidColumbia,822,8.7,7.54,0.258333,0.229935,0.2038,0.179942,0.158321,4.38,1,0.0464279343169116
79877,MC_826,MidColumbia,826,9.15,7.46,0.200845,0.179311,0.159625,0.141727,0.125536,3.5,1,0.034541643056304
79878,MC_828,MidColumbia,828,9.4,10.55,0.120275,0.120275,0.120275,0.120275,0.120275,4.5,1,0.0424347555893588
79879,MC_830,MidColumbia,830,7.61,5.41,0.587854,0.526963,0.46526,0.404602,0.346724,10.2,1,0.105970633793836
79880,MC_832,MidColumbia,832,8.43,6.67,0.353176,0.311502,0.272672,0.237016,0.204711,6.5,1,0.0640787804714343
79881,MC_835,MidColumbia,835,9.15,8.58,0.17262,0.153531,0.136206,0.120557,0.106484,3.5,1,0.0436715977525013
79882,MC_840,MidColumbia,840,9.91,9.51,0.099624,0.087751,0.077172,0.067773,0.059445,3.5,1,0.0322607738157252
79883,MC_843,MidColumbia,843,9.29,11.31,0.114271,0.114271,0.114271,0.114271,0.114271,4.5,1,0.0548562909078571
79884,MC_852,MidColumbia,852,9.53,6.46,0.210227,0.182927,0.15846,0.136718,0.117543,5.57,1,0.0572892928207222
79885,MC_855,MidColumbia,855,9.08,7.05,0.219712,0.196653,0.17547,0.156126,0.138555,3.5,1,0.0403309112005505
79886,MC_857,MidColumbia,857,9.77,11.12,0.084557,0.084557,0.084557,0.084557,0.084557,3.5,1,0.0371795018116308
79887,MC_858,MidColumbia,858,7.67,10.15,0.34397,0.34397,0.34397,0.34397,0.34397,7.45,1,0.0846061781262138
79888,MC_859,MidColumbia,859,6.75,9.72,0.558761,0.493728,0.428907,0.366436,0.308154,11.08,1,0.131606582317304
79889,MC_860,MidColumbia,860,8.28,7.37,0.371163,0.322802,0.277957,0.23716,0.200686,8.11,1,0.0888878415083792
79890,MC_861,MidColumbia,861,8.12,7.48,0.396622,0.34541,0.297549,0.253749,0.214429,8.48,1,0.0966206061365744
79891,MC_865,MidColumbia,865,8.22,6.62,0.337039,0.307827,0.280077,0.253912,0.229412,3.11,1,0.0370845770378491
79892,MC_868,MidColumbia,868,7.87,6.63,0.479211,0.42255,0.367856,0.316363,0.269011,9.07,1,0.100662934694901
