OBJECTID,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION,SHAPEAREA,SHAPELEN,S_USAEcosys_BaileysEcoregionAREA
36,2046676,37,7,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,9.81567879525108,34.8432431019992,50500000000
37,15633.854,38,202,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.0012408327325647,0.272003803476879,6299684
38,4602.81,39,203,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000228435998069008,0.118168113934292,908008.06
39,31305.818,40,204,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00323365374454393,0.530794931440427,16407950
40,656598.62,41,6,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,1.30903361870915,12.7046928817577,6540000000
41,11170.411,42,205,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000384891729362608,0.27568632416122,1531119.2
42,2881.21,43,206,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000150261682024871,0.0529905003642436,606852.18
43,54335.77,44,207,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00422894477312851,0.964498496658291,21287324
44,16915.416,45,210,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00127259164680712,0.303721500515988,6382012.5
45,6813.343,46,211,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000341976655451317,0.167160099938661,1363902.2
46,5602.267,47,212,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000277147559874833,0.0985693128879106,1391611.8
47,59645.992,48,213,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00634235868654767,1.13058519408192,31692356
48,7493.332,49,214,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000716757138827761,0.106462482298586,2884168.5
49,16972.828,50,215,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00219521842285656,0.286664520624977,8862745
50,3096.963,51,216,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,7.8099145614902e-05,0.0474334701383075,431857.62
51,3319.522,52,217,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000109342948406182,0.0437614833627254,604405.68
52,16513.941,53,218,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00131054718770624,0.289777566959497,6527500
53,27800.102,54,219,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00377208237812631,0.499160291271579,18754108
54,72236,55,220,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00389008645226816,1.09701092399996,21608950
55,3507.284,56,221,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000146058990659316,0.0570430926135123,727727.75
56,416043.87,57,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.432834324989162,6.83977166542784,2410000000
57,9964.838,58,222,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000584375955967791,0.180142564727802,2899340
58,12538.852,59,223,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.00210827784961334,0.220405998981136,11024794
59,8575.543,60,224,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000749647479758663,0.158972660982803,3716892.7
60,17460.09,61,225,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.00125965702545279,0.341697967806956,6239065.5
61,77078.836,62,226,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.0101715948558955,1.55203755869464,50206804
62,4647.589,63,227,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,9.53513256043525e-05,0.0745874710292944,476936.5
63,2030.387,64,228,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,5.41059625196515e-05,0.0281446080806818,270426.9
64,2181.361,65,229,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,5.8321598065471e-05,0.0436367351620112,288387.84
65,153450.06,66,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.0363080159649913,1.82470465464235,276496448
66,1137508.1,67,6,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,4.86376283382624,21.1303181598315,23600000000
67,21522.49,68,231,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00274733702920632,0.24892659803138,16644792
68,7091.644,69,232,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000526461489534997,0.145673156770025,2130862.2
69,15629.963,70,233,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00103235765081141,0.196985741247679,7866301
70,4927.863,71,234,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000357293073604717,0.0745933146628784,1447145.1
71,1828.189,72,235,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,3.8779239927916e-05,0.0257526145960425,191987.37
72,1775.643,73,236,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,3.10367266870155e-05,0.0366515936647725,149888.46
73,138219.59,74,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.0533118915748937,2.04301610259923,325354272
74,1778.018,75,237,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,4.32034457362545e-05,0.028513453313174,214019.68
75,2182.649,76,238,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,8.53819145290585e-05,0.0411500974298953,346009.5
76,2226.34,77,239,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,5.93566904526865e-05,0.0303840568003821,294722.87
77,4806.498,78,240,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000167224061104194,0.100410756287477,834384.87
78,2175.873,79,241,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,6.30948684300335e-05,0.0356571193273877,304939.09
79,2654.156,80,242,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,8.35913176996125e-05,0.0337748596359162,415348.21
80,3333.257,81,243,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000124862645575008,0.0554100933747416,622927.75
81,1543.378,82,244,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,3.1968626002258e-05,0.0245994032670439,158882.37
82,26860.234,83,245,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00438375639740985,0.314347176952211,33355152
83,3242.46,84,246,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000100994473118253,0.0444175078126378,565555.06
84,3863.19,85,247,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.0001344525462486,0.0625530200484617,752622
85,3432.218,86,248,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00016155682833255,0.0505114771748366,663137
86,4083.277,87,249,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.000154924153746283,0.0530050622155624,749614.5
87,6085.292,88,250,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000245363934168383,0.0813747071128817,1507468
88,7656.79,89,251,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000595266507344489,0.100070583687123,3169795.7
89,6683.666,90,252,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.000279602224818964,0.0800554865627039,2129422
90,1708.047,91,253,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,2.3258563199321e-05,0.0192488603436168,177182
91,1893.889,92,254,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,2.6849446466259e-05,0.0216409130335615,204468.25
92,4276.592,93,255,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000205008752452633,0.0942584207836081,842602.25
93,10824.119,94,256,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.000418493030566955,0.129886438585506,3188436.5
94,34671.391,95,257,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00360057157986621,0.42546625662713,27529890
95,5194.611,96,258,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000319148289268331,0.12420806558149,1312125.6
96,37710.109,97,259,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00848088249406877,0.449467170713558,64634552
97,3403.93,98,260,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000171135378966275,0.0521771144823308,705685.68
98,4339.146,99,261,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000159442342629669,0.0545481469560377,658091.25
99,2293.242,100,263,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,7.4026188238337e-05,0.0508960444653012,306311.56
100,1616.863,101,264,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,3.4185180584425e-05,0.0301389164146273,170342.59
101,5908.977,102,265,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000373352775983253,0.0991369327730357,1861072.1
102,2329.734,103,266,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,4.25330001239375e-05,0.0273447392882546,326203.37
103,187928.81,104,267,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.039326053326121,2.28187658458329,302646400
104,6629.421,105,268,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000475168241038006,0.113371661138566,1961904
105,25806.303,106,269,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00581761666766202,0.431319989566751,24066798
106,18251.52,107,270,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00337765449357358,0.337071813687376,14032502
107,7869.569,108,271,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000658068124353098,0.111827511467271,3303099.7
108,2283.709,109,272,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,5.9221504463365e-05,0.0314357089438328,297163.06
109,10819.973,110,273,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00119966164841909,0.196605458986645,4977239.5
110,2478.548,111,274,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000103065384174015,0.0434163992983909,426186.09
111,3023.115,112,275,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000126511304064651,0.0494188202019011,674232.68
112,3072.613,113,276,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000141753213601131,0.059482319800098,586643.06
113,13467.335,114,277,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00119982116319762,0.285022556469628,4972256
114,7363.483,115,278,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000584334477562486,0.165251319523849,2419026
115,33527.953,116,279,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.00202239911169753,0.646120685445319,10755669
116,5053.038,117,280,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000284265946885529,0.105436409536426,1177775.8
117,2154.197,118,281,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,5.6293341432784e-05,0.0332405113742662,276226.06
118,18407.131,119,282,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00141371956824015,0.471132584201703,5818092.5
119,2945.373,120,283,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,9.07062677592845e-05,0.0417948868287477,452313.93
120,3967.251,121,284,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.00015855250126112,0.0517052634301106,790863.37
121,15435.324,122,285,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.00109113251579774,0.19478602074106,5451556
122,4970.292,123,286,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000254658394394107,0.100642264890915,1274636.2
123,2631.072,124,287,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,9.10926199606195e-05,0.0614004456710778,375257.06
124,65206.574,125,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.0292122678748367,0.812333315514995,222602944
125,3527.151,126,288,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000200090170574412,0.0724553019745461,824537.06
126,13627.564,127,289,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000929954874685659,0.302271949280238,3836071.7
127,3880.829,128,290,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000220645611079438,0.0682432993010737,914294.25
128,1579664.7,129,8,M131A,POLAR DOMAIN,Subarctic Regime Mountains,Yukon Intermontane Plateaus Tayga-Meadow Province,Nulato Hills Section,9.3615256941475,20.451855047205,50600000000
129,1001546.5,130,5,-131A,POLAR DOMAIN,Subarctic Division,Yukon Intermontane Plateaus Tayga Province,Upper Kobuk Valley Section,8.82293911695386,19.72671014516,43500000000
130,2084.193,131,291,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,5.78979776392815e-05,0.0464847459662582,240932.85
131,4380.31,132,292,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000288438986441367,0.0984725164305975,1200797.5
132,3600.87,133,293,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000182346666335095,0.0764041894674619,761911.75
133,2167.694,134,294,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,4.6257477001339e-05,0.0397633405099094,243569.53
134,10086.831,135,295,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00095472279496408,0.18816420656529,3993274.2
135,4977.76,136,296,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000365225154251586,0.091010750055209,1529208
136,6169.765,137,297,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000432564022384005,0.135297593055513,1811538.2
137,3843943,138,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,13.2197713887298,53.4018817419055,78000000000
138,12009.654,139,298,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00143546105698831,0.162305086747588,8032667
139,2154.316,140,299,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,5.34803356754625e-05,0.0297162827075241,279489.4
140,3941.661,141,300,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.000137287175997657,0.0560059340184308,719272.75
141,4370.537,142,301,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000204509305274639,0.0578269288305379,1155666.2
142,5279.599,143,302,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000204784512937561,0.0655471060035732,1160776.2
143,24721.52,144,303,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00177213736740033,0.313779647451248,10273259
144,2994.023,145,304,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,9.8815045963467e-05,0.0405326395013107,561797.62
145,4914.29,146,305,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000311120495305233,0.0745424888270914,1769711.6
146,3192.155,147,306,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000120020276221165,0.0502290883797104,682312.87
147,6859.653,148,307,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00039584132163876,0.0952131758883765,2248249.7
148,2900.47,149,308,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,7.8474999797445e-05,0.0475468171124996,446577.53
149,3050.402,150,309,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,9.97620554827325e-05,0.043799612062745,568044.12
150,8949.604,151,310,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000620578866265645,0.116547860179887,3528669.5
151,15422.186,152,311,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00101328691439287,0.342018681866234,4245369.5
152,3872.642,153,312,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000137702096967859,0.054757858039295,783906.31
153,3013.585,154,313,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000104778101890118,0.042376892150257,595323.37
154,4446.804,155,314,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,9.2382341916656e-05,0.0477044595462064,524758.87
155,8868.501,156,315,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000513575257214642,0.0985004409637674,2919150.7
156,9425.078,157,316,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000592806806005824,0.12906536954854,3371176
157,4230.995,158,317,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000169570128808513,0.0549565019202001,984254.87
158,4037.187,159,318,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000145999021194545,0.0631553848834435,832045.75
159,27484.543,160,319,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00210644735832227,0.272888002766474,12258113
160,13479.886,161,320,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.00152971958455136,0.222800733273812,8716792
161,5911.548,162,321,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section,0.000322147001238609,0.0723960358048101,1832140.5
162,31844.227,163,322,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00871608819777318,0.365306895327642,66652696
