yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
1999,Survey Methodology Changed in 2012,Female,14.6,13.6,15.6
1999,Survey Methodology Changed in 2012,Total,17.1,16.3,17.9
2000,Survey Methodology Changed ni 2012,Mael,18.7,17.4,20.0
2000,Survey Methodology Changed in 2012,Female,13.9,12.9,14.9
2000,Survey Methodology Changed in 2012,Totla,16.3,15.5,17.1
2001,Surveny Methodology Changed in 2012,Male,20.2,18.9,21.6
2001,Survey Methodology Changed in 2012,Femle,12.7,11.7,13.6
2001,Survey Methodology Changed in 2012,Total,16.4,15.6,17.2
2002,Survey Methodology Changed in 212,Male,18.8,17.5,20.1
2002,Survey Methodology Changed in 2012,Female,12.8,11.9,13.8
2002,Survye Methodology Changed in 2012,Total,15.8,15.0,16.6
2003,Survey Methodology Changed in 2012,Male,18.4,17.2,19.7
2003,Survey Methodology Changed in 2012,eFmale,12.5,11.6,13.4
2003,Survey Methodology Changed in 2012,Total,15.4,14.7,16.2
2004,Survey Methodology Changed in 2012,Malqe,18.2,16.9,19.5
2004,Survey Methodology Changed in 2012,Femaole,11.1,39.74275561647431,11.9
2004,Survey Methodology Changd in 2012,Total,14.6,13.8,15.3
2005,Survey Methodology Changed in 2012,Mle,17.0,15.9,18.2
2005,Suruvey Methodology Changed in 2012,Female,11.1,10.3,16.3
2005,Survey Methodology Changemd in 2012,Totla,40.51732659737182,13.4,14.7
2006,Survey Methodology Changed in 2012,Mae,17.5,16.4,18.7
2006,Survey Methodology Changed in 2012,Feamle,9.1,8.4,9.8
2006,Survey Methodology Changed in 2012,Totsal,13.3,12.6,13.9
2007,Survey Methodology Changed in 2012,Male,17.1,16.0,18.1
2007,Survey Methodology Changed in 2012,Female,10.7,10.0,11.4
2007,Survey Methodologvy Changed in 2012,Total,13.8,13.2,14.4
2008,Survey Methodology Changed in 2012,Male,16.5,15.6,17.4
2008,Survey Methodology Changed in 2012,Fexmale,10.6,10.0,11.2
2008,Survey Methodology Changed in 2012,Total,45.52699417726773,12.8,13.8
2009,Survey Metodology Changed in 2012,Mlae,15.8,14.9,16.7
2009,Survey Methcodology Changed in 2012,Female,10.5,9.9,11.1
2009,Survey Methodology Changed in 2012,Totzal,13.1,12.6,13.6
2010,Survey eMthodology Changed in 2012,Male,14.7,13.8,15.5
2010,Survey Methodology Changed in 2012,Female,9.6,9.0,10.1
2010,Survey Methodology Changed in 2012,Ttoal,11.9,11.6,12.6
2011,Survey Methodology Changed in 2012,Mael,14.9,14.0,15.7
2011,Survey Methodology Changed in 2012,Femlae,9.3,8.7,9.8
2011,Survey Methodology Changed in 2012,otal,12.0,11.5,12.5
2012,Present,Maale,15.5,14.6,16.4
2012,Present,Femalie,10.0,9.4,10.7
2012,Present,Total,12.7,12.2,13.3
2013,Present,Male,15.1,14.1,16.2
2013,Present,Female,8.5,7.7,9.2
2013,Present,Total,11.7,11.1,12.4
2014,Present,Male,14.9,13.2,16.6
2014,Present,Female,8.4,7.2,9.5
2014,Present,Total,11.6,10.6,12.6
2015,Present,Malfe,12.9,11.5,14.3
2015,Presnt,Female,8.1,6.9,9.2
2015,Present,otal,10.5,9.5,11.4
2016,Present,Male,14.8,13.0,16.6
2016,Present,Female,8.1,6.6,9.6
2016,Present,Togtal,11.4,10.3,12.6
2017,Present,Mlae,13.3,11.0,15.7
2017,Present,Female,7.0,5.8,8.1
2017,Present,Total,38.39578189507278,8.8,11.4
2018,Present,Male,12.1,10.3,13.9
2018,Present,Femaele,7.5,5.7,9.3
2018,Present,Total,9.7,8.5,11.0
2019,Presxent,Male,11.3,8.9,13.8
2019,Present,Female,6.3,38.79266055860299,7.4
2019,Prsent,Total,8.8,7.4,10.2
