objectid(long),statefp(long),countyfp(long),tractce(long),geoid(long),namevalue(double precision),namelsad,mtfcc,funcstat,aland(long),awater(long),li_cor_dac,shape_area(double precision),shape_length(double precision)
69.0,6,65,530801.0,6037602003.0,9404.0,Census Tract 9404,G5020,S,1117289.0,0,Both,16680748.484375,43066.2005863693
70.0,6,71,2602.0,6037139200.0,26.02,Census Tract 26.02,G5020,S,2012382.0,0,Both,1828892.28515625,7559.59202807264
4.0,6,71,201.0,6037700200.0,2.01,Census Tract 2.01,G5020,S,2941050.0,0,DAC,2024724.8671875,7877.4605034406
52.0,6,77,3900.0,6077004902.0,49.02,Census Tract 49.02,G5020,S,239480449.0,1708049,DAC,1266062.875,6256.07826386147
73.0,6,77,139502.0,6037201301.0,31.1,Census Tract 31.10,G5020,S,1341993.0,0,Both,2165061.7890625,6217.1008835227
74.0,6,77,139302.0,6037201402.0,51.22,Census Tract 2014.01,G5020,S,9995651.0,771280,DAC,2001540.3046875,5170.05380973649
8.0,6,77,181600.0,6077003500.0,35.0,Census Tract 35,G5020,S,2547795.0,54005,DAC,1533835.921875,7211.37944676736
76.0,6,77,201401.0,6077003700.0,1432.0,Census Tract 37,G5020,S,41895923.0,63655,Both,4111521.1875,3382.65553130786
77.0,6,77,3803.0,6077003803.0,38.03,Census Tract 38.03,G5020,S,44063925.0,198561,Both,3122277.35546875,3617.14066767908
41.0,6,77,442500.0,6077003801.0,38.01,Census Tract 38.01,G5020,S,948156.0,252326,DAC,22267342.1289063,7211.37944676736
79.0,6,77,139200.0,6013336201.0,40.01,Census Tract 40.01,G5020,S,280738745.0,18928874,Both,485178728.257813,113296.394471338
80.0,6,77,201402.0,6037139200.0,38.01,Census Tract 33.08,G5020,S,2327921.0,0,Both,834564.18359375,6256.07826386147
23.0,6,77,3900.0,6077003900.0,39.0,Census Tract 39,G5020,S,1047548.0,36387815,Both,853031487.753906,6256.07826386147
82.0,6,37,143200.0,6037183610.0,1816.0,Census Tract 9011.01,G5020,S,378643.0,2777,LIC,7739678.53515625,11842.9225481281
83.0,6,73,139302.0,6037139200.0,116.01,Census Tract 116.01,G5020,S,733715.0,0,Both,1038251.31640625,4323.69951326916
84.0,6,73,11602.0,6073011602.0,116.02,Census Tract 116.02,G5020,S,2842591.0,14299,Both,782907.875,2938.53692242629
7.0,6,73,11700.0,6037183510.0,117.0,Census Tract 117,G5020,S,1630750.0,0,Both,731936.73828125,3382.65553130786
86.0,6,73,201401.0,6037602004.0,118.01,Census Tract 38.01,G5020,S,3115077.0,0,Both,922712.9296875,3382.65553130786
27.0,6,73,303.0,6041130202.0,133.07,Census Tract 1838.20,G5020,S,1308215.0,0,Both,4111521.1875,3382.65553130786
7.0,6,107,201402.0,6037183520.0,3362.01,Census Tract 23.04,G5020,S,987726.0,0,Both,55072349.7617188,4882.74807317722
20.0,6,71,602002.0,6037139302.0,29.01,Census Tract 1432,G5020,S,1296477.0,0,Both,1895740.9609375,3784.33595472837
90.0,6,73,139302.0,6037183101.0,1122.01,Census Tract 133.08,G5020,S,1609626.0,0,LIC,1839324.02734375,7632.58889119395
42.0,6,73,181600.0,6037183520.0,35.01,Census Tract 133.09,G5020,S,2506844.0,0,LIC,3543566.93359375,4730.13109828776
92.0,6,73,1206.0,6037183220.0,1395.02,Census Tract 133.12,G5020,S,3369926.0,0,LIC,910448.23828125,3617.14066767908
9.0,6,107,139502.0,6037201401.0,26.01,Census Tract 26.01,G5020,S,5688639.0,0,Both,8756716.16015625,7211.37944676736
27.0,6,107,201401.0,6107002602.0,26.02,Census Tract 26.02,G5020,S,2870053.0,0,Both,55072349.7617188,3617.14066767908
20.0,6,107,201402.0,6107002901.0,1835.2,Census Tract 29.01,G5020,S,3960101.0,0,Both,7001195.3359375,6256.07826386147
96.0,6,107,201301.0,6107002700.0,3362.01,Census Tract 27,G5020,S,1256563.0,8236634,LIC,1415950.36328125,5182.11921080899
15.0,6,107,143200.0,6107004101.0,3.0,Census Tract 41.01,G5020,S,4426513.0,0,Both,3122277.35546875,5182.11921080899
98.0,6,107,201402.0,6037601502.0,2013.01,Census Tract 13.02,G5020,S,629642050.0,0,Both,17259622.9960938,7559.59202807264
20.0,6,107,1502.0,6077003700.0,15.02,Census Tract 15.02,G5020,S,12859011.0,0,Both,9890641.5625,4482.88992040411
23.0,6,107,3012.0,6107003200.0,32.0,Census Tract32,G5020,S,1250035.0,13713,Both,29290830.5625,4907.77012789812
23.0,6,107,2500.0,6107002500.0,25.0,Cesus Tract 25,G5020,S,126564008.0,0,Both,194781953.054688,5706.54437597325
102.0,6,107,139302.0,6107004300.0,49.02,Census Tract 43,G5020,S,610964651.0,295053,Both,625490.94921875,7211.37944676736
46.0,6,107,301.0,6107000301.0,3.01,Census Tract 3.01,G5020,S,957093.0,857291,Both,216093866.386719,5706.54437597325
10.0,6,107,139200.0,6111003011.0,9.0,ensus Tract 9,G5020,S,182262605.0,329326,Both,3122277.35546875,12812.3431953214
7.0,6,107,201301.0,6111003012.0,30.12,Census Tract 8,G5020,S,152607110.0,31759,Both,9890641.5625,4730.13109828776
23.0,6,107,2800.0,6107002800.0,28.0,Census Tract 28,G5020,S,7391843.0,0,Both,1192884.72265625,5706.54437597325
12.0,6,107,4200.0,6037139200.0,42.0,Census Tract 42,G5020,S,384722819.0,60668,Both,588600235.617188,6101.62882049654
42.0,6,81,201301.0,6029000300.0,20.02,Census Tract 6107,G5020,S,1140186.0,0,LIC,1813233.9375,6596.00454545123
6.0,6,81,610800.0,6037143200.0,6108.0,Census Tract 6108,G5020,S,501698.0,0,LIC,2024724.8671875,7877.4605034406
110.0,6,81,201301.0,6037204420.0,6108.0,Census Tract 6109,G5020,S,610964651.0,0,LIC,1748768.46875,11842.9225481281
111.0,6,71,201301.0,6013336201.0,1836.1,Census Tract 3.01,G5020,S,2695408.0,0,Both,3937442.19921875,4670.29243054758
112.0,6,95,250701.0,6037183220.0,2507.01,Census Tract 2014.01,G5020,S,801273.0,604746,Both,4496485.4609375,7559.59202807264
113.0,6,95,250701.0,6013336201.0,2510.0,Census Tract 1395.02,G5020,S,3369926.0,0,Both,625490.94921875,7003.34503482317
114.0,6,77,201301.0,6077005106.0,51.06,Census Tract 51.06,G5020,S,378643.0,1347109,DAC,162147396.546875,3784.33595472837
115.0,6,77,181600.0,6107002008.0,4425.0,Census Tract 51.19,G5020,S,1941232.0,458126,DAC,1415950.36328125,43066.2005863693
116.0,6,77,442500.0,6037183820.0,5530.0,Census Tract 28,G5020,S,2547795.0,0,Both,11767676.2695313,5182.11921080899
3.0,6,77,4200.0,6077003602.0,36.02,Census Tract 36.20,G5020,S,378643.0,40657,LIC,2290793.09765625,2938.53692242629
41.0,6,77,3109.0,6077003109.0,31.09,Census Tract 31.09,G5020,S,555365.0,44323,DAC,1839324.02734375,5182.11921080899
119.0,6,77,201402.0,6077001800.0,1090.02,Census Tract 18,G5020,S,100900703.0,0,Both,2836120.875,7003.34503482317
38.0,6,77,139502.0,6037208902.0,51.24,Census Tract 3,G5020,S,1084165.0,0,LIC,2024724.8671875,3853.19170418149
30.0,6,77,3700.0,6077003406.0,34.06,Census Tract 6020.03,G5020,S,839429.0,14789,Both,1378813.25,5182.11921080899
23.0,6,77,143200.0,6077003305.0,1432.0,Census Tract 33.05,G5020,S,12394317.0,0,Both,1400949.5234375,2938.53692242629
123.0,6,1,2500.0,6037185310.0,4351.04,Census Tract 1838.20,G5020,S,9995651.0,0,LIC,11566687.7773438,7211.37944676736
42.0,6,1,3109.0,6037502302.0,4053.01,Census Tract 4053.01,G5020,S,227753.0,0,LIC,1911762.359375,5706.54437597325
3.0,6,17,139502.0,6017031302.0,1395.02,Census Tract 313.02,G5020,S,1152031.0,83617,LIC,54993385.7148438,7211.37944676736
1.0,6,17,3109.0,6017030602.0,306.02,Census Tract 1816,G5020,S,957093.0,326934,LIC,2836120.875,7003.34503482317
4.0,6,17,30200.0,6037183610.0,302.0,Census Tract 302,G5020,S,9429895.0,1486394,LIC,18066105.8710938,4730.13109828776
14.0,6,71,30200.0,6107003501.0,3.03,Census Tarct 3.03,G5020,S,2095523.0,0,Both,1533835.921875,2938.53692242629
11.0,6,71,109002.0,6071003401.0,34.01,Census Tract 34.01,G5020,S,2591609.0,0,Both,3789033.2265625,5706.54437597325
24.0,6,107,181600.0,6107002903.0,29.03,Census Tract 29.03,G5020,S,182262605.0,0,LIC,1911762.359375,7211.37944676736
131.0,6,107,201402.0,6037183220.0,1816.0,Census Tract 29.04,G5020,S,1279500.0,0,LIC,4289438.50390625,4907.77012789812
132.0,6,71,3403.0,6037183220.0,93.03,Census Tract 34.03,G5020,S,14357178.0,0,LIC,2845987.64453125,7211.37944676736
22.0,6,71,3700.0,6071003700.0,37.0,Census Tract 37,G5020,S,152607110.0,0,Both,3122277.35546875,7003.34503482317
38.0,6,37,201301.0,6037700200.0,1836.1,Census Tract 7002,G5020,S,698992.0,0,LIC,1021782.171875,5706.54437597325
32.0,6,107,139302.0,6037143200.0,2014.02,Census Tract 30.01,G5020,S,1516444.0,0,Both,2333513.6796875,3617.14066767908
10.0,6,107,201401.0,6037139200.0,4425.0,Census Tract 30.02,G5020,S,6974551.0,0,Both,625490.94921875,3784.33595472837
22.0,6,107,502.0,6037139200.0,5.02,Census Tract 5.02,G5020,S,16203409.0,0,Both,22267342.1289063,3382.65553130786
138.0,6,107,302.0,6073011602.0,3.02,Census Tract 3.02,G5020,S,131133295.0,0,Both,1192884.72265625,67772.938908177
139.0,6,107,181600.0,6037183300.0,626.49,Census Tract 13.01,G5020,S,384722819.0,0,LIC,1400949.5234375,11842.9225481281
7.0,6,107,11700.0,6107003501.0,45.0,Census Tract 45,G5020,S,343542060.0,82605,Both,524538593.773438,4482.88992040411
10.0,6,107,201301.0,6037531000.0,1835.1,Census Tract 6,G5020,S,57979079.0,0,Both,1687319.19140625,7632.58889119395
142.0,6,107,201301.0,6037185310.0,16.02,Census Tract 16.02,G5020,S,948156.0,0,Both,75378626.3984375,5170.05380973649
44.0,6,107,201402.0,6107002400.0,12.06,Census Tract 24,G5020,S,912444.0,978163,DAC,2290793.09765625,7211.37944676736
144.0,6,107,442500.0,6071003401.0,1395.02,Census Tract 33,G5020,S,1256563.0,62874,Both,228537451.914063,3617.14066767908
145.0,6,107,11700.0,6037139502.0,4.01,Census Tract 35.01,G5020,S,182262605.0,0,Both,1687319.19140625,24343.9654274082
14.0,6,107,139502.0,6037139502.0,35.01,Census Tract 39.02,G5020,S,73257597.0,9366663,Both,126797765.246094,5182.11921080899
6.0,6,107,181600.0,6037185310.0,5313.01,Census Tract 7.01,G5020,S,40431017.0,1219358,LIC,2001540.3046875,5706.54437597325
22.0,6,107,3400.0,6107003400.0,6014.02,Census Tract 34,G5020,S,859112.0,1020425,Both,731936.73828125,2938.53692242629
11.0,6,107,139302.0,6037139200.0,1816.0,Census Tract 2.01,G5020,S,9567207.0,0,Both,1687319.19140625,3802.01654083384
150.0,6,107,202.0,6037209401.0,2.02,Census Tract 2.02,G5020,S,839429.0,0,Both,1415950.36328125,3382.65553130786
151.0,6,107,442500.0,6041109002.0,1831.01,Census Tract 21,G5020,S,1256563.0,75948,Both,213749614.039063,2938.53692242629
6.0,6,73,442500.0,6037143200.0,1393.02,Census Tract 83.41,G5020,S,820586.0,0,LIC,1137301.79296875,3802.01654083384
38.0,6,73,201402.0,6037602004.0,83.43,Census Tract 83.43,G5020,S,766103.0,0,LIC,1911762.359375,3802.01654083384
23.0,6,107,201401.0,6037183220.0,10.03,Census Tract 10.03,G5020,S,34601272.0,39512,DAC,2290793.09765625,4720.0809947014
30.0,6,107,3100.0,6037531301.0,31.0,Census Tract 31,G5020,S,240575292.0,403795,Both,625490.94921875,12812.3431953214
156.0,6,71,181600.0,6107004300.0,24.02,Census Tract 24.2,G5020,S,41895923.0,0,Both,731936.73828125,5182.11921080899
1.0,6,71,139502.0,6029000200.0,45.0,Census Tract 24.01,G5020,S,3938446.0,0,Both,5757635.4765625,7877.4605034406
158.0,6,73,1700.0,6037139200.0,134.01,Census Tract 2014.02,G5020,S,33305608.0,0,LIC,2001540.3046875,5170.05380973649
3.0,6,73,143200.0,6073015601.0,1833.0,Census Tract 156.01,G5020,S,610964651.0,0,LIC,1687319.19140625,6256.07826386147
160.0,6,73,4200.0,6107004300.0,157.01,Census Tract 39,G5020,S,3369926.0,0,LIC,2024724.8671875,6256.07826386147
24.0,6,73,143200.0,6073017050.0,35.01,Census Tract 170.50,G5020,S,3960101.0,0,LIC,2836120.875,5182.11921080899
6.0,6,37,502.0,6037275500.0,2755.0,Census Tract 2014.02,G5020,S,500438.0,25712,LIC,1266062.875,2938.53692242629
163.0,6,37,201301.0,6037462001.0,2014.02,Census Tract 4620.01,G5020,S,16122395.0,0,LIC,1687319.19140625,7211.37944676736
6.0,6,13,139302.0,6037601502.0,3601.01,Census Tract 2014.01,G5020,S,3926826.0,0,LIC,6331153.83203125,5182.11921080899
4.0,6,13,201401.0,6037139200.0,3551.09,Census Tract 3362.01,G5020,S,3036785.0,0,LIC,615533.94140625,5984.91604793565
12.0,6,13,201301.0,6013392200.0,1816.0,Census Tract 3922,G5020,S,1152031.0,6081475,Both,28563421.0585938,2938.53692242629
44.0,6,37,610800.0,6037221601.0,2216.01,Census Tract 3.03,G5020,S,14357178.0,0,Both,1415950.36328125,7003.34503482317
14.0,6,37,139200.0,6037183520.0,2220.01,Census Tract 4425,G5020,S,474298.0,0,Both,731936.73828125,3802.01654083384
1.0,6,37,201401.0,6013392200.0,2372.01,Census Tract 2372.01,G5020,S,453406.0,0,Both,661134.03515625,7211.37944676736
170.0,6,37,139200.0,6037239201.0,2392.01,Census Tract 35.01,G5020,S,449869.0,0,Both,1687319.19140625,3382.65553130786
16.0,6,37,1206.0,6037183820.0,1392.0,Census Tract 2396.01,G5020,S,422289.0,0,Both,615575.15625,7211.37944676736
15.0,6,37,303.0,6037980031.0,9800.31,Census Tract 1835.20,G5020,S,100900703.0,13434637,Both,1687319.19140625,5182.11921080899
173.0,6,13,502.0,6013336201.0,3020.07,Census Tract 1432,G5020,S,948156.0,0,LIC,6976903.02734375,5951.00416851176
174.0,6,85,201402.0,6037462001.0,1090.02,Census Tract 5047,G5020,S,152607110.0,0,LIC,4289438.50390625,15615.0475380211
4.0,6,81,139302.0,6081601902.0,626.49,Census Tract 6019.02,G5020,S,2327921.0,0,LIC,2091115.359375,7211.37944676736
84.0,6,83,181600.0,6083000301.0,5311.02,Census Tract 3.01,G5020,S,33781272.0,0,LIC,1400949.5234375,3617.14066767908
42.0,6,83,183300.0,6083001304.0,13.04,Census Tract 13.04,G5020,S,33305608.0,144119,LIC,1400949.5234375,2938.53692242629
3.0,6,71,602002.0,6037183220.0,251.0,Census Tract 1393.02,G5020,S,7231730478.0,44126354,LIC,1400949.5234375,3382.65553130786
179.0,6,37,139302.0,6037139502.0,1395.02,Census Tract 4033.03,G5020,S,4365064.0,89184,LIC,6497610.94921875,12812.3431953214
180.0,6,37,143200.0,6037601502.0,5307.0,Census Tract 4073.02,G5020,S,33305608.0,0,Both,1173592.90234375,8638.71078094456
181.0,6,37,3109.0,6041109002.0,5309.02,Census Tract 1395.02,G5020,S,523080.0,0,Both,625490.94921875,15615.0475380211
9.0,6,37,201301.0,6037183101.0,451.2,Census Tract 2211.10,G5020,S,234230.0,0,Both,731936.73828125,5170.05380973649
231.0,6,37,181600.0,6037212303.0,35.01,Census Tract 2123.03,G5020,S,155646.0,0,LIC,1911762.359375,3617.14066767908
184.0,6,37,201401.0,6029000300.0,4425.0,Census Tract 2012,G5020,S,40431017.0,0,LIC,644404.30078125,5706.54437597325
27.0,6,37,183300.0,6107003501.0,1912.03,Census Tract 1833,G5020,S,205208.0,0,Both,1828892.28515625,7916.89652075906
14.0,6,37,201301.0,6037531000.0,1194.0,Census Tract 2014.01,G5020,S,1117289.0,4269,Both,9890641.5625,67772.938908177
11.0,6,37,201301.0,6037201401.0,2966.0,Census Tract 2014.01,G5020,S,841947.0,0,Both,1220702.4609375,6256.07826386147
9.0,6,37,139200.0,6037183101.0,5753.0,Census Tract 25.02,G5020,S,648066.0,0,Both,940611.78515625,3853.19170418149
189.0,6,37,302.0,6077003803.0,4061.02,Census Tract 26.01,G5020,S,1646574.0,0,LIC,1266062.875,5170.05380973649
33.0,6,37,181600.0,6037554001.0,5540.01,Census Tract 5309.01,G5020,S,100900703.0,0,Both,1911762.359375,2938.53692242629
191.0,6,37,442500.0,6013336201.0,9203.12,Census Tract 1432,G5020,S,1279500.0,4780,LIC,1137301.79296875,5951.00416851176
20.0,6,37,139302.0,6037183510.0,5311.02,Census Tract 5355.01,G5020,S,491742.0,0,Both,1687319.19140625,5984.91604793565
23.0,6,37,181600.0,6037237300.0,626.49,Census Tract 2373,G5020,S,997691.0,0,Both,495484.296875,3617.14066767908
5.0,6,37,143200.0,6037408402.0,4084.02,Census Tract 4425,G5020,S,338288.0,2068,LIC,615533.94140625,3617.14066767908
195.0,6,37,181600.0,6037139200.0,1816.0,Census Tract 2270.10,G5020,S,1279500.0,0,Both,3122277.35546875,6217.1008835227
196.0,6,37,181600.0,6037183300.0,2014.01,Census Tract 2193,G5020,S,948156.0,0,Both,951352.77734375,3617.14066767908
23.0,6,37,442500.0,6037530301.0,5530.0,Census Tract 5303.01,G5020,S,584252.0,0,Both,1415950.36328125,5182.11921080899
4.0,6,37,109002.0,6037204420.0,2044.2,Census Tract 2014.01,G5020,S,302058.0,0,Both,441049.57421875,3853.19170418149
199.0,6,37,139200.0,6037139302.0,4047.01,Census Tract 5530,G5020,S,541305.0,163064,Both,2482315.19921875,43066.2005863693
200.0,6,37,1206.0,6037201401.0,5530.0,Census Tract 2113.20,G5020,S,44063925.0,0,Both,791809.5078125,3784.33595472837
201.0,6,37,201402.0,6107002901.0,3362.01,Census Tract 2063,G5020,S,41895923.0,0,Both,900344.65625,4670.29243054758
8.0,6,37,201301.0,6037218120.0,25.02,Census Tract 2181.20,G5020,S,40431017.0,0,Both,1192884.72265625,5182.11921080899
11.0,6,37,201402.0,6107002901.0,1816.0,Census Tract 2094.03,G5020,S,138199.0,0,Both,201834.76171875,4882.74807317722
16.0,6,37,183300.0,6037208902.0,2089.02,Census Tract 1432,G5020,S,184049.0,0,Both,4204443.0390625,5182.11921080899
22.0,6,37,139302.0,6037212203.0,2122.03,Census Tract 116.01,G5020,S,323251.0,0,Both,451313.2734375,6256.07826386147
