168.shape_area,731936.73828125,692286.4296875
586.geoid,6.071003506E9,6025011300
41.namevalue,1395.02,115.0
173.tractce,502.0,302007
367.namevalue,2013.01,1283.02
3304.namelsad,Cenxsus Tract 26.01,Census Tract 26.01
613.objectid,15.0,613
1886.tractce,11766,11700
4551.namevalue,78.02,25.02
184.geoid,6.0290003E9,6037201200
297.tractce,183300.0,8404
529.shape_length,8158.29963594004,7301.05527522449
401.aland,1250035.0,891389
214.geoid,6.037201401E9,6037183620
4364.namevalue,91.0,24.0
1483.namelsad,Census Tract2 7,Census Tract 27
2064.namelsad,Cenus Tract 18.01,Census Tract 18.01
293.namevalue,83.43,200.28
3892.tractce,1032,1001
3469.namelsad,Census Tratc 1.02,Census Tract 1.02
437.tractce,139200.0,532400
233.shape_length,7003.34503482317,25663.8847371638
468.objectid,163.0,468
287.aland,1279500.0,2115090
3390.tractce,11911,11902
39.shape_area,625490.94921875,709019.09765625
181.tractce,3109.0,530902
2835.namevalue,20.0,3.0
419.tractce,201401.0,219800
626.namelsad,eCnsus Tract 34.03,Census Tract 34.03
351.tractce,40303.0,199110
4362.namelsad,Censu sTract 23,Census Tract 23
526.objectid,5.0,526
458.aland,3.4354206E8,938223
607.objectid,9.0,607
455.objectid,14.0,455
569.namelsad,Census Tract 3306,Census Tract 33.06
548.namelsad,Census Tract 4425,Census Tract 33.10
178.shape_area,1400949.5234375,1.07399731094102E10
120.namelsad,Census Tract 3,Census Tract 51.24
2282.namelsad,Census Tact 1192.01,Census Tract 1192.01
313.aland,1.4357178E7,1035604
92.namevalue,1395.02,133.12
136.shape_length,3784.33595472837,14613.8245981648
3798.tractce,4842,4802
185.tractce,183300.0,191203
203.objectid,11.0,203
207.namelsad,Census Tract 35.01,Census Tract 19.06
59.geoid,6.037139502E9,6107002009
235.shape_length,7559.59202807264,292190.649785344
150.shape_area,1415950.36328125,1.90786023558594E8
493.aland,1.4357178E7,2083137
2037.namelsad,Census Tract h15.07,Census Tract 15.07
3939.namevalue,12.0,5.0
144.geoid,6.071003401E9,6107003300
4257.namelsad,Census Tarct 7,Census Tract 7
301.shape_length,5170.05380973649,12454.1644894188
335.shape_area,1192884.72265625,1135911.71875
39.namevalue,3362.01,6018.01
143.aland,912444.0,172526206
195.namevalue,1816.0,2270.1
342.geoid,6.0371432E9,6031001200
610.namevalue,143.0,104.0
239.aland,2547795.0,7022793
75.tractce,181600.0,3500
352.shape_length,5951.00416851176,16141.6184244561
254.shape_area,1687319.19140625,938441.58984375
2362.namelsad,Census Tract28,Census Tract 28
103.objectid,46.0,103
295.shape_area,8.53031487753906E8,3256306.5
214.shape_length,7877.4605034406,3481.86168486109
274.objectid,14.0,274
242.objectid,6.0,242
246.objectid,96.0,246
53.tractce,3501.0,531102
4136.tractce,4752,4701
3005.namelsad,Cesnus Tract 28.04,Census Tract 28.04
327.geoid,6.041130202E9,6053000102
156.aland,4.1895923E7,3903464
106.shape_length,5706.54437597325,16384.497671384
635.namevalue,59.0,17.0
266.tractce,250701.0,7100
528.objectid,41.0,528
2716.namelsad,Census Tract 17,Census Tract 71
254.namelsad,Census Tract 5310,Census Tract 6037.04
611.geoid,6.0372774E9,6037265510
436.shape_length,5182.11921080899,3563.574060501
362.objectid,11.0,362
274.shape_area,2836120.875,7750671.3046875
2693.tractce,992,901
741.namelsad,Census Tarct 109,Census Tract 109
389.shape_length,4907.77012789812,161644.860369029
477.aland,7.231730478E9,1299418
274.tractce,1206.0,5408
2857.namevalue,44.0,12.0
323.objectid,2.0,323
90.namevalue,1122.01,133.08
192.tractce,139302.0,535501
439.shape_area,1266062.875,1.53015549414063E7
233.tractce,183300.0,9116
533.shape_length,25375.101087556,5159.55134133626
340.objectid,9.0,340
524.shape_length,3784.33595472837,4696.08363846482
345.aland,948156.0,581662
378.aland,2327921.0,311438
4365.namevalue,28.0,22.0
186.geoid,6.037531E9,6037119400
306.namelsad,Census Tract 1831.01,Census Tract 35.06
333.shape_length,6256.07826386147,48637.1409981306
266.shape_area,2290793.09765625,2.22156437109375E7
533.geoid,6.013336201E9,6001436602
240.namelsad,Census Tract 35.01,Census Tract 4061
130.aland,1.82262605E8,2268072
552.shape_length,12713.7689952093,8994.62895338518
3212.namevalue,166.0,110.0
197.shape_area,1415950.36328125,852800.359375
4373.namevalue,6071.01,6015.01
27.aland,7.3257597E7,1293752
3568.tractce,12155,12102
421.objectid,32.0,421
3012.namelsad,Census Tratc 59,Census Tract 59
1026.namelsad,Censu Tract 116,Census Tract 116
228.objectid,58.0,228
316.namevalue,2013.01,29.15
4548.namelsad,Census Tramct 5.01,Census Tract 5.01
597.objectid,1.0,597
395.namevalue,1833.0,2169.0
389.shape_area,2836120.875,6.83673121363281E8
406.shape_length,2938.53692242629,4137.16300359138
513.objectid,41.0,513
4423.namelsad,Census Tract 2.02,Census Tract 12.02
351.objectid,24.0,351
322.geoid,6.03718382E9,6053013500
422.tractce,181600.0,221120
2203.tractce,405859,405800
244.aland,323251.0,44851768
135.namevalue,2014.02,30.01
430.tractce,181600.0,232800
168.objectid,14.0,168
199.geoid,6.037139302E9,6037404701
550.shape_length,7003.34503482317,9123.83465668273
527.objectid,9.0,527
402.shape_length,2938.53692242629,4484.41975644754
171.namevalue,1392.0,2396.01
470.namevalue,1833.0,14.0
574.namelsad,Census Tract 1816,Census Tract 55.08
92.aland,3369926.0,854831
382.shape_length,12072.6473196653,14286.8429730334
190.namelsad,Census Tract 5309.01,Census Tract 5540.01
574.objectid,301.0,574
213.objectid,1.0,213
399.tractce,201301.0,218210
2871.namelsad,CensusTract 5,Census Tract 5
3865.namelsad,Census Tract 02,Census Tract 20
392.geoid,6.037139502E9,6037213402
308.objectid,38.0,308
250.namevalue,5308.01,2.0
506.tractce,143200.0,15900
127.geoid,6.03718361E9,6017030200
105.tractce,201301.0,800
77.shape_length,3617.14066767908,47876.3520452485
69.shape_length,43066.2005863693,17403.198482889
188.namelsad,Census Tract 25.02,Census Tract 5753
152.geoid,6.0371432E9,6073008341
2482.tractce,3060,3002
101.shape_length,5706.54437597325,102866.813844455
328.geoid,6.037139302E9,6053000103
2844.namelsad,Cenus Tract 11.02,Census Tract 11.02
178.shape_length,3382.65553130786,580702.551039123
405.shape_area,1828892.28515625,1026797.84765625
267.aland,555365.0,3198792
472.tractce,143200.0,6301
319.shape_length,7211.37944676736,5682.16290309577
532.namelsad,Census Tract 1432,Census Tract 4363
4146.namelsad,Census Tract 570.1,Census Tract 57.01
117.aland,378643.0,44774226
2975.namevalue,70.01,11.01
2816.namelsad,Census Tract 10.2,Census Tract 1.02
64.tractce,301.0,2502
372.namelsad,Census Tract 5313.02,Census Tract 2945.20
527.namelsad,Census Tract 30.12,Census Tract 32.13
26.shape_length,4720.0809947014,6061.68329172566
4662.tractce,4681,4600
396.tractce,139502.0,217100
4127.namelsad,Cenus Tract 45.05,Census Tract 45.05
386.namelsad,Census Tract 1393.02,Census Tract 305.01
438.objectid,9.0,438
50.geoid,6.041109002E9,6037530802
428.objectid,15.0,428
3813.namevalue,72.01,3.01
2814.namevalue,11.0,10.0
3470.namelsad,Censu sTract 1.01,Census Tract 1.01
4134.tractce,4674,4604
424.tractce,3012.0,221220
479.objectid,3.0,479
373.geoid,6.0014425E9,6037573202
172.shape_length,5182.11921080899,30306.4762668219
182.shape_length,5170.05380973649,2549.32031653474
1796.namelsad,CensusT ract 2,Census Tract 2
3206.namevalue,177.0,145.0
193.objectid,23.0,193
427.objectid,22.0,427
37.objectid,16.0,37
176.tractce,181600.0,301
1862.namelsad,Census rTact 11,Census Tract 11
2251.namevalue,45.019999999999996,26.02
441.objectid,30.0,441
66.shape_length,2938.53692242629,126138.847606742
432.tractce,3109.0,234200
267.shape_length,6256.07826386147,11143.6162245646
3787.namelsad,Censsus Tract 121.01,Census Tract 121.01
46.aland,3.3781272E7,720926
227.tractce,183300.0,9913
454.shape_area,1400949.5234375,1.2514851265625E7
487.objectid,1.0,487
1794.namelsad,Census Tratc 13,Census Tract 13
390.shape_length,4907.77012789812,347515.936201503
172.aland,1.00900703E8,12492184
2331.tractce,1755,1700
485.geoid,6.037139302E9,6071007108
507.objectid,5.0,507
1621.namevalue,121.01,110.01
425.shape_area,4111521.1875,917083.6328125
594.objectid,5.0,594
149.namevalue,1816.0,2.01
185.shape_area,1828892.28515625,299977.5078125
4327.namelsad,Census Tract 20.0w9,Census Tract 20.09
262.objectid,2.0,262
209.tractce,201301.0,1501
120.objectid,38.0,120
400.geoid,6.0371392E9,6037218220
560.shape_area,2024724.8671875,1326799.93359375
549.shape_length,12713.7689952093,37727.9840644201
383.namelsad,Census Tract 444.03,Census Tract 95.04
628.geoid,6.037139502E9,6073008507
3776.namevalue,70.03999999999999,33.04
330.objectid,3.0,330
116.shape_length,5182.11921080899,18509.5186342133
155.geoid,6.037531301E9,6107003100
165.objectid,4.0,165
228.shape_area,2290793.09765625,4.9361001671875E7
278.objectid,9.0,278
413.namelsad,Census Tract 5310,Census Tract 9201.06
170.shape_length,3382.65553130786,3272.55082086827
266.objectid,15.0,266
556.shape_length,3853.19170418149,5972.06374507628
361.shape_length,11842.9225481281,3036.91034378479
162.aland,500438.0,762038
160.namelsad,Census Tract 39,Census Tract 157.01
4363.namelsad,Census Trat 32,Census Tract 32
95.tractce,201402.0,2901
273.tractce,139502.0,801
341.aland,541305.0,788710879
4512.namelsad,Census Tact 51,Census Tract 51
2280.namelsad,Censusr Tract 10.02,Census Tract 10.02
485.namevalue,4425.0,71.08
431.geoid,6.037201402E9,6037234000
368.namelsad,Census Tract 5530,Census Tract 1343.06
2938.namelsad,ensus Tract 11.02,Census Tract 11.02
275.objectid,11.0,275
259.namevalue,35.01,102.0
264.shape_length,7877.4605034406,8351.26205767388
126.objectid,1.0,126
3629.tractce,10286,10200
299.tractce,181600.0,1302
2064.namevalue,65.01,18.01
4733.namelsad,Census Tract 130.3,Census Tract 13.03
221.shape_area,1911762.359375,1.29706185273438E7
239.objectid,6.0,239
628.shape_area,779720.953125,3177049.87109375
3194.tractce,110126,110100
590.shape_area,451313.2734375,1542923.51171875
4266.tractce,10698,10608
405.namevalue,6017.0,2189.0
216.shape_area,1828892.28515625,728482.79296875
551.shape_length,3802.01654083384,6565.01390169483
2988.namelsad,Census Trac 39,Census Tract 39
320.tractce,139200.0,310701
4050.tractce,262,200
118.shape_length,5182.11921080899,9620.53696541119
252.aland,2547795.0,324505
496.geoid,6.037201301E9,6059011715
371.tractce,201.0,910403
300.namevalue,5308.01,5.02
375.shape_length,13306.9793857642,6252.07544197614
318.shape_length,4907.77012789812,7734.83900981094
556.geoid,6.0371432E9,6001440200
131.aland,1279500.0,2034880
125.namevalue,1395.02,313.02
337.objectid,16.0,337
617.tractce,139502.0,602
311.geoid,6.0371432E9,6111002800
167.shape_length,7003.34503482317,3054.14691222047
310.shape_length,6596.00454545123,6152.96456182267
1508.namelsad,Censusx Tract 86,Census Tract 86
3516.namelsad,Census Tvract 6039,Census Tract 6039
487.shape_area,2836120.875,7711421.39453125
494.geoid,6.0371392E9,6059011711
27.shape_area,4289438.50390625,1882664.4375
364.objectid,5.0,364
302.tractce,201401.0,2201
520.namelsad,Census Tract 2013.01,Census Tract 4338
462.aland,484101.0,297002403
56.geoid,6.041130202E9,6037531302
269.tractce,139200.0,504
58.tractce,442500.0,2008
142.aland,948156.0,48886581
316.shape_length,12072.6473196653,6856.03737892248
2964.namelsad,Census Tract 2k1,Census Tract 21
402.aland,3.4601272E7,656666
154.geoid,6.03718322E9,6107001003
4709.tractce,807,802
272.geoid,6.03718352E9,6047000701
364.tractce,201402.0,40808
267.namelsad,Census Tract 2013.01,Census Tract 56.02
60.objectid,4.0,60
414.tractce,183300.0,400
349.shape_length,3617.14066767908,12044.0713928886
168.namelsad,Census Tract 4425,Census Tract 2220.01
415.aland,1256563.0,457009794
550.shape_area,5.88600235617188E8,3493488.44921875
382.namevalue,1392.0,95.03
111.shape_length,4670.29243054758,10270.9111936354
4346.tractce,2609,2600
148.shape_length,2938.53692242629,118699.511448853
4552.tractce,2700,2601
599.geoid,6.03718361E9,6037402502
195.tractce,181600.0,227010
596.shape_length,2938.53692242629,9520.05894710536
383.shape_area,2836120.875,3620537.56640625
496.namevalue,2013.01,117.15
299.namevalue,1835.2,13.02
590.namelsad,Census Tract 2013.01,Census Tract 4081.33
125.aland,1152031.0,33297787
124.shape_area,1911762.359375,365422.15625
460.geoid,6.0290002E9,6065040303
4557.tractce,3843,3803
4541.namelsad,Census Tratc 23,Census Tract 23
2325.tractce,2438,2400
83.tractce,139302.0,11601
103.shape_length,5706.54437597325,97038.3773340741
237.tractce,139200.0,12400
1518.namevalue,130.0,88.0
40.shape_length,3784.33595472837,3881.1447201543
131.namevalue,1816.0,29.04
3420.namelsad,ensus Tract 120.01,Census Tract 120.01
31.shape_length,7211.37944676736,12358.833857371
230.shape_length,3853.19170418149,11959.2220039879
4139.namelsad,Cenuss Tract 50.03,Census Tract 50.03
46.tractce,183300.0,602104
353.tractce,2302.0,187102
398.namevalue,2013.01,2181.1
415.shape_area,1400949.5234375,7.42601756851563E8
430.aland,4.4063925E7,426644
141.geoid,6.037531E9,6107000600
82.geoid,6.03718361E9,6037901101
346.tractce,442500.0,197600
202.objectid,8.0,202
624.tractce,139302.0,3301
361.geoid,6.0014425E9,6037237500
436.namelsad,Census Tract 1831.01,Census Tract 2393.10
2134.namevalue,87.0,9.0
324.tractce,201301.0,13800
3709.namelsad,Cevnsus Tract 13.04,Census Tract 13.04
274.shape_length,6256.07826386147,11443.1856261723
4084.namelsad,Census Trhact 11.03,Census Tract 11.03
441.geoid,6.0290002E9,6031001402
301.geoid,6.03718351E9,6047001700
504.geoid,6.0371816E9,6001427600
248.geoid,6.059062649E9,6023010502
4185.namelsad,Censs Tract 44.04,Census Tract 44.04
4146.namevalue,86.00999999999999,57.01
375.tractce,201301.0,542200
3167.namelsad,Census Tract1 09.02,Census Tract 109.02
601.objectid,151.0,601
20.shape_area,1400949.5234375,1259737.12109375
432.shape_area,2.22673421289063E7,1288341.453125
577.shape_length,7211.37944676736,430167.178330414
501.objectid,30.0,501
4714.namelsad,Census ract 1.04,Census Tract 1.04
481.namevalue,1393.02,65.0
315.shape_area,2001540.3046875,7.59265326585938E8
305.shape_length,5170.05380973649,22520.5344432481
393.shape_length,3784.33595472837,28870.2297966908
153.geoid,6.037602004E9,6073008343
2446.namelsad,Census Tract38,Census Tract 38
475.objectid,24.0,475
288.shape_length,2938.53692242629,18235.839216446
539.namelsad,Census Tract 20.02,Census Tract 4373
65.shape_area,1839324.02734375,1.10892411226563E8
3798.namelsad,Censmus Tract 48.02,Census Tract 48.02
263.shape_area,1533835.921875,1093915.86328125
498.tractce,442500.0,63101
247.geoid,6.071011206E9,6023010102
544.objectid,8.0,544
2594.namevalue,43.0,8.0
331.shape_length,2938.53692242629,4457.28232360965
152.shape_area,1137301.79296875,1166476.578125
631.shape_area,1430838.66015625,2004991.15234375
229.shape_length,7003.34503482317,55001.4311231265
494.shape_length,4720.0809947014,5064.49952933525
1237.namelsad,Cwensus Tract 34,Census Tract 34
62.geoid,6.0014425E9,6065046700
155.shape_area,625490.94921875,3.70213653433594E8
3631.namelsad,eCnsus Tract 78,Census Tract 78
3192.namelsad,Censpus Tract 1012,Census Tract 1012
362.namevalue,1838.2,427.19
335.objectid,11.0,335
627.shape_area,3.17260209542969E8,1832032.93359375
291.objectid,41.0,291
442.shape_length,4907.77012789812,7975.11501215092
2332.namelsad,Census Tact 13,Census Tract 13
171.objectid,16.0,171
127.shape_length,4730.13109828776,37760.2969816085
2359.tractce,3155,3101
294.namelsad,Census Tract 35,Census Tract 80.02
56.tractce,3012.0,531302
2685.namelsad,Cesnus Tract 1,Census Tract 1
4436.namelsad,Census Tract 47.10,Census Tract 47.01
450.namelsad,Census Tract 1432,Census Tract 1218
563.geoid,6.037183101E9,6037407701
3815.tractce,2231,2201
2338.tractce,1425,1400
351.namelsad,Census Tract 3362.01,Census Tract 1991.10
3538.namevalue,127.02,118.02
296.aland,2327921.0,2831600
498.shape_area,1400949.5234375,2834485.8359375
151.namevalue,1831.01,21.0
342.tractce,1206.0,1200
617.shape_area,5.24538593773438E8,6258280.46875
4345.namelsad,Census Tratc 2.03,Census Tract 2.03
2422.tractce,3567,3502
466.objectid,15.0,466
38.tractce,139502.0,601700
271.geoid,6.037201401E9,6047000603
435.tractce,301.0,534102
407.tractce,143200.0,271702
3564.namelsad,eCnsus Tract 100.10,Census Tract 100.10
58.aland,2547795.0,1294570
477.shape_area,2290793.09765625,1900932.625
75.objectid,8.0,75
315.tractce,201401.0,3102
327.objectid,2.0,327
3824.namelsad,Census Tracxt 3.03,Census Tract 3.03
360.geoid,6.037183101E9,6037236400
388.objectid,3.0,388
505.objectid,6.0,505
314.namevalue,2014.02,26.06
409.shape_area,1828892.28515625,661687.78515625
634.geoid,6.0210103E9,6019008302
3651.namelsad,Census Tract 31.9,Census Tract 31.09
432.shape_length,5706.54437597325,4797.50674600501
314.tractce,139200.0,2606
54.tractce,139502.0,531201
3367.namelsad,CensusT ract 28.04,Census Tract 28.04
514.namelsad,Census Tract 1432,Census Tract 4334
139.namevalue,626.49,13.01
440.shape_area,615533.94140625,3801313.484375
484.geoid,6.077004902E9,6071007107
244.shape_area,779720.953125,6.61027828398438E7
1850.namelsad,Censpus Tract 38.02,Census Tract 38.02
503.tractce,201402.0,423602
67.aland,866188.0,3849529
3127.namevalue,96.0,13.0
2052.namelsad,CensusT ract 103,Census Tract 103
246.shape_area,1137301.79296875,4.3334534796875E7
32.tractce,143200.0,130202
112.shape_length,7559.59202807264,12400.2254999732
397.tractce,3803.0,217200
291.shape_area,1839324.02734375,4028901.796875
427.aland,1.82262605E8,767691
326.objectid,6.0,326
268.shape_length,7211.37944676736,13825.2518217207
390.tractce,143200.0,40600
602.shape_area,644404.30078125,930877.81640625
320.shape_length,4323.69951326916,4394.75015690894
3396.namelsad,Census Trauct 4015,Census Tract 4015
458.tractce,139200.0,40203
3367.namevalue,46.04,28.04
328.aland,3.3781272E7,1025709
126.shape_area,2836120.875,5.91613434035156E8
552.namelsad,Census Tract 2014.02,Census Tract 4381
469.objectid,22.0,469
3124.tractce,10914,10901
172.objectid,15.0,172
2251.namelsad,Census Trcat 26.02,Census Tract 26.02
1834.namevalue,64.00999999999999,38.01
2988.namevalue,40.0,39.0
4390.namelsad,Censucs Tract 85.02,Census Tract 85.02
86.tractce,201401.0,11801
448.namelsad,Census Tract 1392,Census Tract 456.04
136.objectid,10.0,136
206.geoid,6.03718352E9,6037433901
302.namevalue,1831.01,22.01
280.geoid,6.017031302E9,6085501402
269.shape_length,7211.37944676736,16289.8621209627
511.objectid,415.0,511
3118.tractce,1072,1000
225.shape_area,451313.2734375,2.00110796328125E7
238.namevalue,5530.0,125.0
463.shape_length,7916.89652075906,117663.664161358
4302.namelsad,Census Tpract 24.02,Census Tract 24.02
37.tractce,181600.0,601600
140.shape_length,4482.88992040411,112076.63245185
682.namelsad,Censsu Tract 35.01,Census Tract 35.01
1840.namelsad,Census Tractp 158.01,Census Tract 158.01
1027.tractce,10565,10500
333.namevalue,1393.02,4046.0
379.namevalue,1816.0,89.11
1862.namevalue,56.0,11.0
4119.namevalue,99.02000000000001,47.02
568.namelsad,Census Tract 1393.02,Census Tract 4310.02
4164.namevalue,6091.0,6026.0
4048.namevalue,71.03,2.03
205.tractce,139302.0,212203
1223.tractce,11190,11102
491.shape_length,5182.11921080899,8215.93259174138
393.namevalue,35.01,90.05
34.objectid,3.0,34
222.shape_length,5706.54437597325,24848.7783368355
168.geoid,6.03718352E9,6037222001
485.objectid,1.0,485
292.shape_length,7003.34503482317,32339.8416258016
2319.namelsad,Censsu Tract 42.02,Census Tract 42.02
213.geoid,6.0371432E9,6037404901
410.aland,1279500.0,430297
569.tractce,3327,3306
2698.namevalue,93.02,10.02
398.shape_area,1533835.921875,874049.859375
2102.tractce,106,100
4180.tractce,4363,4302
376.shape_area,495484.296875,2614079.7265625
211.objectid,42.0,211
452.namelsad,Census Tract 1395.02,Census Tract 1225
308.shape_length,7003.34503482317,5273.91919696541
499.geoid,6.107004101E9,6071004201
4629.namevalue,73.01,7.01
78.shape_area,2.22673421289063E7,7237804.0234375
602.objectid,33.0,602
194.tractce,143200.0,408402
410.shape_length,6101.62882049654,3195.63756027189
580.shape_area,831593.234375,3.19354769777344E8
169.geoid,6.0133922E9,6037237201
286.tractce,181600.0,1501
549.objectid,20.0,549
386.tractce,250701.0,30501
2147.tractce,11829,11800
285.shape_area,5.50723497617188E7,7808622.5625
591.objectid,7.0,591
540.namelsad,Census Tract 30.12,Census Tract 4374
2325.namelsad,Census Tract24,Census Tract 24
51.tractce,139302.0,530901
10.shape_length,5182.11921080899,6283.55312017377
473.shape_length,3617.14066767908,6950.52213723414
113.geoid,6.013336201E9,6095251000
3391.namelsad,Cenus Tract 122,Census Tract 122
339.shape_length,3784.33595472837,88897.1199028229
364.geoid,6.071003401E9,6065040808
2945.namevalue,109.0,15.0
190.shape_area,1911762.359375,1575624.1484375
498.namevalue,12.06,631.01
3026.namelsad,Census ract 12,Census Tract 12
563.objectid,6.0,563
4708.namelsad,Cenus Tract 13.01,Census Tract 13.01
211.shape_area,625490.94921875,2754805.19140625
2970.namelsad,Censzus Tract 37,Census Tract 37
4292.tractce,2760,2708
4262.namevalue,70.01,11.01
610.shape_length,3382.65553130786,33971.507702171
66.tractce,530801.0,44522
3466.namevalue,106.01,24.01
4169.tractce,3383,3302
445.objectid,8.0,445
270.objectid,27.0,270
124.objectid,42.0,124
2295.namelsad,CensusT ract 38.03,Census Tract 38.03
165.namelsad,Census Tract 3362.01,Census Tract 3551.09
285.shape_length,2938.53692242629,13754.9268535453
307.shape_area,1192884.72265625,4119526.0703125
469.shape_length,3784.33595472837,7811.0468413525
4052.namelsad,Census Tract4 ,Census Tract 4
18.objectid,9.0,18
498.shape_length,5170.05380973649,7866.60831625034
2828.namelsad,Censusm Tract 10,Census Tract 10
4412.tractce,3106,3103
307.aland,801273.0,2821514
257.objectid,16.0,257
76.tractce,201401.0,3700
71.shape_length,7877.4605034406,9146.17497658903
581.objectid,42.0,581
52.shape_length,2938.53692242629,5832.28941325594
340.tractce,45217.0,100
403.shape_length,3617.14066767908,4066.66931608861
98.shape_length,7559.59202807264,20473.0090042134
3585.namelsad,Cenqsus Tract 102,Census Tract 102
387.namevalue,6015.02,402.0
269.shape_area,1828892.28515625,1.09166058867188E7
428.shape_length,5182.11921080899,4517.11911401757
228.aland,1279500.0,33688871
112.geoid,6.03718322E9,6095250701
193.tractce,181600.0,237300
203.namevalue,1816.0,2094.03
573.objectid,14.0,573
3474.namelsad,Census Tract 406f6.02,Census Tract 4066.02
71.shape_area,2024724.8671875,4298894.80078125
503.geoid,6.071003401E9,6001423602
4181.namelsad,Cenuss Tract 38.03,Census Tract 38.03
376.geoid,6.1070043E9,6067008910
4367.namelsad,Census Tarct 315.02,Census Tract 315.02
196.aland,948156.0,651811
276.namelsad,Census Tract 1835.10,Census Tract 5336.03
114.aland,378643.0,99907699
3773.namelsad,Census Tracti 48.01,Census Tract 48.01
390.namevalue,3362.01,406.0
4691.namevalue,122.0,33.0
378.shape_length,3382.65553130786,2894.00757689939
4230.namelsad,Census Trat 1,Census Tract 1
497.geoid,6.0371816E9,6001423400
141.shape_length,7632.58889119395,58303.2582079805
433.shape_length,3853.19170418149,3832.69627515761
164.geoid,6.037601502E9,6013360101
186.tractce,201301.0,119400
486.geoid,6.0014425E9,6071007200
265.tractce,201402.0,7003
4446.namelsad,Census Tract3 3,Census Tract 33
55.objectid,11.0,55
166.aland,1152031.0,11629316
2162.namelsad,ensus Tract 5041.01,Census Tract 5041.01
463.objectid,12.0,463
593.namelsad,Census Tract 26.02,Census Tract 118.02
206.tractce,201401.0,433901
466.geoid,6.107000301E9,6033001100
3774.namelsad,Census Tractn 33.01,Census Tract 33.01
531.objectid,12.0,531
3065.tractce,403062,403000
117.tractce,4200.0,3602
468.aland,801273.0,1667714
2342.namevalue,110.02,27.02
280.tractce,2602.0,501402
2812.namelsad,Census Tract6 .02,Census Tract 6.02
860.namevalue,4355.0,4323.0
595.objectid,44.0,595
88.geoid,6.03718352E9,6107002304
190.tractce,181600.0,554001
1854.namevalue,207.0,122.0
157.geoid,6.0290002E9,6071002401
552.objectid,16.0,552
3674.namevalue,149.03,107.03
159.namevalue,1833.0,156.01
2972.namelsad,Census Trct 31.03,Census Tract 31.03
190.objectid,33.0,190
470.shape_area,2836120.875,3372225.3203125
492.objectid,361.0,492
302.shape_area,2.22673421289063E7,8396226.51953125
3033.namevalue,129.0,53.0
29.objectid,5.0,29
4154.namelsad,Cesus Tract 31.02,Census Tract 31.02
426.shape_area,779720.953125,1623373.4609375
599.objectid,3.0,599
157.namevalue,45.0,24.01
411.tractce,181600.0,218800
63.objectid,8.0,63
3699.tractce,12519,12501
68.tractce,442500.0,51300
215.shape_area,9890641.5625,608666.984375
27.tractce,181600.0,552800
516.shape_length,3784.33595472837,7337.4695630886
4052.namevalue,28.0,4.0
2505.namevalue,86.02000000000001,44.02
4075.tractce,937,903
192.shape_length,5984.91604793565,4443.61294727065
3822.namelsad,Cenbsus Tract 9.01,Census Tract 9.01
191.namelsad,Census Tract 1432,Census Tract 9203.12
4051.namelsad,Censs Tract 1,Census Tract 1
463.tractce,201401.0,1000
235.tractce,181600.0,25000
625.shape_area,1430838.66015625,876015.9140625
124.tractce,3109.0,405301
282.namelsad,Census Tract 0.03,Census Tract 10.03
