Cited Patent,Filing date,Publication date,Applicant,Title
US20020046041,10 May 2001,18 Apr 2002,Ken Lang,Automated reputation/trust service
US20020059364,8 Feb 1999,16 May 2002,Christopher M Coulthard,Content certification
US20020069129 *,13 Sep 2001,6 Jun 2002,Takeshi Akutsu,Electronic commerce system for using secure user certification
US20020103801,31 Jan 2001,1 Aug 2002,Lyons Martha L.,Centralized clearinghouse for community identity information
US20020138402 *,6 Sep 2001,26 Sep 2002,Giorgos Zacharia,"Agents, system and method for dynamic pricing in a reputation-brokered, agent-mediated marketplace"
US20020143885,25 Mar 2002,3 Oct 2002,Ross Robert C.,"Encrypted e-mail reader and responder system, method, and computer program product"
US20020178381,11 Jan 2002,28 Nov 2002,Trend Micro Incorporated,System and method for identifying undesirable content in responses sent in reply to a user request for content
US20020180778 *,3 Jun 2002,5 Dec 2002,Hewlett-Packard Company,Identifying a trusted computing entity
US20020194483,25 Jul 2001,19 Dec 2002,"Storymail, Inc.",System and method for authorization of access to a resource
US20030018585 *,26 Mar 2002,23 Jan 2003,International Business Machines Corporation,Method and system for the communication of assured reputation information
US20030023878,4 Jan 2002,30 Jan 2003,Rosenberg Jonathan B.,Web site identity assurance
US20030055737 *,18 Sep 2001,20 Mar 2003,Pope Nicholas Henry,Validation system
US20030088577,11 Jul 2002,8 May 2003,"Surfcontrol Plc,",Database and method of generating same
US20030097591,20 Nov 2001,22 May 2003,Khai Pham,System and method for protecting computer users from web sites hosting computer viruses
US20030172166 *,8 Mar 2002,11 Sep 2003,Paul Judge,Systems and methods for enhancing electronic communication security
US20030182421 *,12 Jul 2002,25 Sep 2003,Yaroslav Faybishenko,Distributed identities
US20040006532,11 Mar 2003,8 Jan 2004,David Lawrence,Network access risk management
US20040088369,31 Oct 2002,6 May 2004,Yeager William J.,Peer trust evaluation using mobile agents in peer-to-peer networks
US20040093506,11 Aug 2003,13 May 2004,Symantec Corporation,Bubble-protected system for automatic decryption of file data on a per-use basis and automatic re-encryption
US20040107363,22 Aug 2003,3 Jun 2004,"Emergency 24, Inc.",System and method for anticipating the trustworthiness of an internet site
US20040122926,23 Dec 2002,24 Jun 2004,"Microsoft Corporation, Redmond, Washington.",Reputation system for web services
US20040123117,18 Dec 2002,24 Jun 2004,Symantec Corporation,Validation for behavior-blocking system
US20040143753,21 Jan 2003,22 Jul 2004,Symantec Corporation,Network risk analysis
US20040153414 *,17 Nov 2003,5 Aug 2004,Ahmedulla Khaishgi,Managing an electronic seal of certification
US20040205354,10 Apr 2003,14 Oct 2004,Symantec Corporation,System and method for detecting malicious applications
US20040250115,21 Apr 2003,9 Dec 2004,Trend Micro Incorporated.,Self-contained mechanism for deploying and controlling data security services via a web browser platform
US20050005111,5 Mar 2004,6 Jan 2005,Gavin Brebner,Methods and devices relating to distributed computing environments
US20050015506,1 Jun 2004,20 Jan 2005,Kristian Padborg,System and method for anonymous information exchange
US20050022018,30 Jun 2003,27 Jan 2005,Symantec Corporation,Signature extraction system and method
US20050033991,24 Jun 2004,10 Feb 2005,Crane Stephen James,Apparatus for and method of evaluating security within a data processing or transactional environment
US20050044423,16 Sep 2004,24 Feb 2005,Mellmer Joseph Andrew,Managing digital identity information
US20050052998,1 Apr 2004,10 Mar 2005,Oliver Huw Edward,Management of peer-to-peer networks using reputation data
US20050071684,9 Nov 2004,31 Mar 2005,Symantec Corporation,System and method for computer security using multiple cages
US20050076222,21 Sep 2004,7 Apr 2005,"Secure Data In Motion, Inc.",System for detecting spoofed hyperlinks
US20050091514,18 Oct 2004,28 Apr 2005,Trend Micro Incorporated,"Communication device, program, and storage medium"
US20050165680 *,24 Nov 2004,28 Jul 2005,Keeling John E.,System and method of registering a vendor with a subscriber account within an electronic bill payment system
US20050216300,15 Mar 2005,29 Sep 2005,Barry Appelman,Sharing social network information
US20060009994 *,7 Jul 2004,12 Jan 2006,Tad Hogg,System and method for reputation rating
US20060015722 *,18 Jul 2005,19 Jan 2006,Geotrust,Security systems and services to provide identity and uniform resource identifier verification
US20060095404,29 Oct 2004,4 May 2006,"The Go Daddy Group, Inc",Presenting search engine results based on domain name related reputation
US20060106866,29 Oct 2004,18 May 2006,Kenneth Green,Methods and systems for scanning and monitoring content on a network
US20060117389,12 Aug 2003,1 Jun 2006,Pool Kenneth D,Method for controlling access to informational objects
US20060212925 *,2 Mar 2006,21 Sep 2006,"Markmonitor, Inc.",Implementing trust policies
US20060235796 *,18 Apr 2006,19 Oct 2006,Microsoft Corporation,Authentication for a commercial transaction using a mobile module
US20060242026 *,22 Apr 2005,26 Oct 2006,Crespo Arturo E,Distributed electronic commerce system with centralized point of purchase
US20060265417,10 Jan 2006,23 Nov 2006,Amato Jerry S,Enhanced graphical interfaces for displaying visual data
US20070079379,5 May 2006,5 Apr 2007,Craig Sprosts,Identifying threats in electronic messages
US20070083929,7 Dec 2006,12 Apr 2007,Craig Sprosts,Controlling a message quarantine
US20070088652 *,30 Mar 2006,19 Apr 2007,Firmage Jonathan D,"Apparatus, system, and method for internet trade"
US20070130350,24 Jan 2007,7 Jun 2007,Secure Computing Corporation,Web Reputation Scoring
WO1999049380A1,8 Mar 1999,30 Sep 1999,Symantec Corp,System for intercepting file accesses and for automatic decryption and re-encryption of file data on a per-use basis
WO2001055873A1,28 Jan 2000,2 Aug 2001,Websense Inc,System and method for controlling access to internet sites
WO2001055905A1,28 Jan 2000,2 Aug 2001,Websense Inc,Automated categorization of internet data
WO2003049403A2,3 Dec 2002,12 Jun 2003,Websense Inc,Filtering techniques for managing access to internet sites or other software applications
WO2003079214A1,11 Mar 2003,25 Sep 2003,Goldman Sachs & Co,Network access risk management
WO2004061703A1,25 Nov 2003,22 Jul 2004,Microsoft Corp,Reputation system for web services
WO2005010649A2,11 May 2004,3 Feb 2005,Squaretrade Inc,Managing an electronic seal of certification
WO2005033978A1,15 Sep 2004,14 Apr 2005,Google Inc,Information retrieval based on historical data
WO2005043351A2,3 Nov 2004,12 May 2005,Cloudmark Inc,Method and apparatus to block spam based on spam reports from a community of users
WO2005043416A2,2 Nov 2004,12 May 2005,Cloudmark Inc,Methods and apparatuses for determining and designating classifications of electronic documents
WO2005043417A2,3 Nov 2004,12 May 2005,Cloudmark Inc,Methods and apparatuses for classifying electronic documents
