characteristic,sex,raceethnicity,year,score,standard_error,note
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,260.0,1.7,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,260.0,1.4,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2013,262.0,1.1,
Hispanic,Male,Hispanic,2002,268.0,2.2,
Hispanic,Male,Hispanic,2003,,,
Hispanic,Male,Hispanic,2004,,,
Hispanic,Male,Hispanic,2005,265.0,1.8,
Hispanic,Male,Hispanic,2006,,,
Hispanic,Male,Hispanic,2007,,,
Hispanic,Male,Hispanic,2008,,,
Hispanic,Male,Hispanic,2009,268.0,1.2,
Hispanic,Male,Hispanic,2010,,,
Hispanic,Male,Hispanic,2011,,,
Hispanic,Male,Hispanic,2012,,,
Hispanic,Male,Hispanic,2013,272.0,0.9,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,280.0,3.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,282.0,3.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,294.0,2.6,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,291.0,2.5,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,273.0,4.4,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,266.0,5.3,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,288.0,4.1,
"White, non-Hispanic",Female,"White, non-Hispanic",2002,301.0,0.9,
"White, non-Hispanic",Female,"White, non-Hispanic",2003,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2004,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2005,299.0,0.8,
"White, non-Hispanic",Female,"White, non-Hispanic",2006,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2007,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2008,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2009,302.0,0.7,
"White, non-Hispanic",Female,"White, non-Hispanic",2010,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2011,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2012,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2013,302.0,0.7,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,271.0,1.8,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,271.0,1.7,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,275.0,1.3,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2013,272.0,1.0,
Hispanic,Female,Hispanic,2002,275.0,1.8,
Hispanic,Female,Hispanic,2003,,,
Hispanic,Female,Hispanic,2004,,,
Hispanic,Female,Hispanic,2005,276.0,1.8,
Hispanic,Female,Hispanic,2006,,,
Hispanic,Female,Hispanic,2007,,,
Hispanic,Female,Hispanic,2008,,,
Hispanic,Female,Hispanic,2009,278.0,1.0,
Hispanic,Female,Hispanic,2010,,,
Hispanic,Female,Hispanic,2011,,,
Hispanic,Female,Hispanic,2012,,,
Hispanic,Female,Hispanic,2013,278.0,1.1,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,287.0,2.9,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,291.0,2.7,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,303.0,2.9,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,302.0,2.4,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,290.0,4.5,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,288.0,5.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,293.0,2.5,
