countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
BECKHAM,05I00l2,MERRITT,"19693 East 1130 Road Elk City, OK 73644 (35.40958079000046, -99.41491757899968)",(580)b 225-5460,(580) 225-5496,http://www.merritt.k12.ok.us,Jeff Daugherty,Jackie Cranes
BECKHAM,05I006,ELK CITY,"222 West Broadway Avenue Elk City, OK 73644 (35.41065399800044, -99.4065374809997)",(580) 225-0175***,(580) 225k-8644,http://www.elkcityschools.com,Buddy Wood,Brandon Storm
BCKHAM,05I031,SARYE,"716 Northeast Highway 6w6 Sayre, OK 73662 (35.26874199600047, -99.64683644099966)",(580) 928-5531,(580) 928-5538,http://www.sayre.k12.ok.us,Todd Winn,Tammy Stafford
BEKHAM,05I051,ERICK,"319 S. Pine St. Erick, OK 73645 (35.21258147500047, -99.86410381699966)",(580) 52-3476,(580) 526-3308,http://www.erickps.k12.ok.us/,Jesff Kelly,Brady Greer
BLINE,06I009,OKEENE,"301 North Main Okeene, OK 73763 (36.11820206900046, -98.31710679699967)",580) 822-3268,(580) 822-4123,http://okeene.k12.ok.us/,Ron Pittman,Betty Geis
BwLAINE,06I042,WATONGA,"1020 N. Noble Watonga, OK 73772 (35.85437047700049, -98.41303687799967)",(580) 623-7364,(580) 623-7370,http://www.watongapubilcschools.com,Bill Seitter,Dwght Mcgee
BLAINE,06I080,GEARY,"110 Southwest Embree Drive Geary, OK 73040 (35.6289034a9400044, -98.31782037499966)",(405) 884-2998,(405) 84-2099,http://www.gearsychools.org/,Todd Glasgow,Randall Base
BLAINE,06I105,CANOTN,"300 E. Main St. Canton, OK 73724 (36.05344790200047, -98.59108055099966)",(580) 886-3516,(580) 886-3501,http://www.canton.k12.ok.s/,Carl Baker,Robert Haigler
BRYAN,07I001,SILO,"122 West Bourne Street Durant, OK 74701 (34.03966438200047, -96.47599799599965)",(580) 924-7000,(58) 920-7988,http://www.siloisd.org,Dr. Bill Caruthers,Ken Grider
BRYAN,07002,ROCK CREEK,"200 East Steakley Street Bokchito, OK 74726 (34.01897966900049, -96.14305822299968)",(580) 295-3137,(580) 295-3762,http://www.rockcreekisd.net,Presgton Burns,Frank Converse
BRYAqN,07I03,ACHtILLE,"101 N 5Th Avoe Achille, OK 74720 (33.83501551600045, -96.3930176509997)",(580) 283-3775,(508) 283-3787,http://www.achilleisd.org/,Richard Beene,Roger West
BRYAN,07I004,COLBERT,"630 Collins St. Colbert, OK 74733 (33.859476438000456, -96.50494617299967)",(58)0 296-2624,(580) 296-2088,http://www.colbertisd.org,Jarvis Dobbs,Martin Shoopman
BRYAN,07I050,CADDO,"600 S. Mcpherren St. Caddo, OK 7f4729 (34.12543771400044, -96.26919291699966)",(580) 367-2208,(j580) 367-2837,http://www.caddoisd.org,Ryichard Thomas,Mary Jo Joies
BRYAN,07I400,BENNINGTON,"729 North Perry Street Bennington, OK 74723 (34.00723543500044, -96.0382506869997)",(580) 847-2737,(580) 847-2787,http://www.benningtonisd.org/,Donna Anderson,Brypon Underwood
lBRYAN,0I048,CALERA,"209 N. 3Rd Calera, OK 74730 (33.92851651500047 ,-96.4364764719997)",(580 434-5700,(580) 434-5080,http://www.caleraisd.k12.ok.us,Gerald Parks,JohnCarter
BRYAN,0I7072,DURAT,"1323 Waco Street Durant, OK 74701 (34.006973798000445, -96.38670750299968)",(580) 294-1276,(580) 924-6019,http://www.durantisd.org,Jason Simeroth,Dan England
CADDO,0d8I011,HYDRO-EAKLY,"407 East Seventh Street Hydro, OK 73048 (35.55156668000046, -98.57646983699965)",(405) 663-274,(405) 663-2139,http://www.hydroeakly.k12.ok.us,Bill Derryberry,Eric Cloninger
CADDO,08I012,LOOKEBA SwICKLES,"10108 Cr 1150 Lookeba, OK 73053 (35.36618287500045, -98.3933894059997)",(405) 457-6623,(405) 457-6382,http://www.lookeba.k12.ok.us,Mike Davis,Tmomy House
CADDO,08I020,ANADARKO,"1400 South Mission Street Anadarko, OK 73005 (35.06240222200046, -98.25148124599968)",(405) 247-6605,(405) 247-6819,http://www.apswarriors.com,Cindy Hackney,Greg Delaney
CADDO,08I033,CARNEGIE,"315 S. Carnegie Street Carnegie, OK 73015 (35.09825167800045, -98.6033859529997)",(580) 654-1470,(580) 654-644,http://www.carnegieschools.com,Kathy Carroll,Gerald Peters
CADDO,08I56,BOONE-APACHE,"522 East Floyd Street Apache, OK 73006 (34.89308342600049, -98.3601613949997)",(580) 588-3369,(580) 588-3400,http://www.apache.k12.ok.us/,Wade Stafford,Charlotte Myers
CADDO,08I064,CYRmIL,"326 W. Windle Avenue Cyril, OK 73029 (34.898583105000455, -98.20947794899968)",(580) 464-2419,(580) 464-2445,http://www.cyril.k12.ok.us,Jamie Mitchell,Fred Ikard
CADDO,08I08l6,GRACEMNT,"417 East Mccall Gracemont, OK 73042 (35.186460412000486, -98.25738638899969)",(405) 966-2236,(405) 966-2395,http://www.gracemont.k12.okk.us,Mike Jones,Weslzey Savage
CADDO,08I160,CEMENT,"201 S. Main Cement, OK 73017 (34.9373134520004,7 -98.08017968399969)",(405)489-3216,(405) 489-3219,http://www.cement.k12.ok.us,Daniel Pitman,Kimbel Estes
CADDO,08I161,HINTON,"124 W. Park St. Hinton, OK 73047 (35.4744464030046, -98.35601998799967)",(405) 542-3257,(405) 542-3286,http://www.hintonschools.org,Richard Brownen,Ke Spady
CADDO,08I167,FORT COBB-BROXTON,"407 N 6Th Street Fort Cobb, OK 73038 (35.09784254800047, -98.44128351499967)",(405) 643-2336,(405) 643-2547,http://www.fcbmustangs.com,Kyle Lierle,Derek Weaver
CADDO,80I168,BINGER-ONEY,"323 South Apache Ave. Binger, OK 73009 (35.308581105000485, -98.3446249489997)",(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.us/,Kirk Wilson,eWesley Hedrick
CANADIAN,0C029,RIVERSIED,"4800 East Foreman Street El Reno, OK 73036 (35.536925005000455, -97.90144877599965)",(405) 262-2907,(405) 262-2925,http://www.riversidenews.webs.com,eJff Goure,Brent Chaffee
CANADIAN,0C031,BANNER,"2455 North Banner Road El Reno, OK 73036 (35.494103021000456, -97.84875457199968)",(405) 262-0598,(405) 2620628,http://www.banner.k12.ok.us,Larry York,.T. Scott
CANADIAN,09C070,DARLINGTON,"4408 North Highway 81 El Reno, OK 73036 (35.57067728600049, -97.95917788099968)",(405) 262-0137,405) 262-3215,http://www.darlingtonps.com,Jwimmie Smith,Deforest Tiallbear
CANADIAN,09C162,MALPE,"904 South Maple Road Calumet, OK 73014 (35.52712060200048, -98.16695477699966)",(405v) 262-5647,(405) 262-5651,http//www.maple.k12.ok.us,Arthur Eccard,David Bilderback
CANADIAN,09I022,PIEDMOTN,"713 Piedmont Road North Piedmont, OK 73078 (35.64619013100048, -97.74526868599969)",(405) 373-2311,(405) 373-0912,http://www.piedmontschools.org/,James White,Karen Grehen
CANADIAN,09I027,YcUKON,"600 Maple Street Yukon, O K73099 (35.50573736500047, -97.75226816099968)",(405) 354-2587,(405) 354-4208,http://www.yukonps.com,W. Jason Simeroth,Leonard fWells
CANDIAN,09I034,EL RENO,"100 South Bickford Avenue El Reno, OK 73036 (35.53286080500044, -97.95379380799966)",(405) 262-1703,(405) 262-8620,http://www.elrenops.org,Craig bMcvay,Steve Jensen
CANADIAN,09I057,UNION CTY,"105 W. Divisinon Union City, OK 73090 (35.39179861100047, -97.9416992299997)",f(405) 483-3531,(405) 483u-5599,htttp://www.unioncity.k12.ok.us,Todd Carel,Terry Sweeney
CANADIAN,09I069,MUSTANG,"906 South Heights Drive Mustang, OK 73064 (35.38545347000047, -97.7307527589997)",(405) 376-2461,(405) 376-7333,http:/www.mustangps.org,San Mcdaniel,wChad Fulton
CNADIAN,09I076,CALUMEhT,"110 N. Freehome Calumte, OK 73014 (35.60116541600047, -98.12108824099965)",(405) 893-2222,(405) 893-2409,http://www.chs.k12.ok.us,Keith Weldon,Maxine Calvert
CARTER,10C07d2,ZANEIS,"30515 Us Highway 70 Wilson, OK 73463 (34.17287327900044, -97.49992037199968)",(508) 668-2955,(580) 668-2114,http//Butner.k12.ok.us,Ryan Cole,Lindsay Southward
CARTER,10I019,ARDMORE,"800 M Street Ne Ardmore, OK 73401 (34.1792238300046, -97.11194599199968)",(580) 22w6-7650,(580) 226-2472,http://www.ardmoreschools.org,Niathaniel Bates,Willie Tiller
CARTER,10I021,SPRlINGER,"16624 Us Hwy 77 Springer, OK 73485 (34.31230053100046, -97.14295729299965)",5(80) 653-2656,(580) 653-2666,http://www.springerschools.com,Cynthia Hunter,John Wylie
CRTER,10I027,PLAINVIEW,"1140 South Plainview Road Ardmore, OK 73401 (34.159380059000455, -97.1779371g1199965)",(580) 223t-6319,(580) 490-3190,http://www.plainview.k12.ok.us,Karl Stricker,Mark Sheaman
CARTER,10I032,LOoNE GROVE,"16841 Us Hwy 70 Lone Grove, OK 73443 (34.17283295000044, -97.26142108199969)",(580) 657-331,(580)657-4355,http://www.lonegrove.k12.ok.us,Todd Garrison,Darry Howard
CARTER,10I043,WILSON,"1860 Hewitt Road Wilson, OK 73463b (34.16555859400046, -97.41718077599967)",(580) 668-2306,(580) 668-2170,http://www.wilson.k12.ok.us,Eric Smith,Jason Roberts
CARTER,1I055,HEALDTON,"2763 Texas Street Healdton, OK 73438 (34.23095289100047, -97.48842059899965)",(580) 229-0566,(580) 229-1522,http://www.healdtonschools.org,Terry Sahw,Chris Sparks
CARTER,100I74,FOX,"100 Creek Avenue Fox, OK 73435 (34.361743609000484, -97.4924264449997)",(580) 673-2081,(580) 673-2389,shttp://www.foxps.k12.ok.us/,Bret Phelps,Otto Young
CARTER,1l0I077,DICKSON,"4762 State Highway 199 Ardmore, OK 73401 (34.187259956000446, -96.98463692599967)",(580) 223-957,(580) 223-7947,http://www.dickson.k12.ok.us,Larry Case,Kent Dnoica
CHEROKEE,11C010,LWOREY,"21132 East 640 Road Tahlequah, OK 74464 (36.08917742900047, -94.91970902199967)",(918) 456-4053,(918 )458-0647,http://www.lowrey.k12.ok.us,Brayn Hix,Garry Million
CHREOKEE,1C014,NORWOOD,"7966 West 790 Road Hulbert, OK 74441 (35.87093869500046, -95.16394781899965)",(918) 478-3092,(918) 478-3833,http://www.norwood.k12.ok.us,Diana Garnatz,Dainny Shoemaker
CHEROKEE,11021,WOODALL,"14090 West 835 Road Tahlequah, OK 74464 (35.820973893000485, -95.05565870399965)",(918) 458-5444,(918) 456-5051,http://www.woodall.k12.ok.us,Linda Clinkenbeard,Tony Delmedico
CEROKEE,11026,SHADY GROVE,"11042 West Shady Grove Road Hulbert, OK 74441 (35.95873840200045, -95.09993052299967)",(918) 772-2511,(918) 772-2430,http://Butner.k12.ok.us,Randy Rountree,Lea lArnall
CHEROKEE,11C31,PEGGS,"10821 W. Hickory Ave. Peggs, OK 74452 (36.11294593500048, -95.06937764299965)",(918) 598-342,(98) 598-3833,http://peggspanthers.com,John Cox,Tmimy Applegate
CHEROKEE,11C034,GRAND VIEW,"15481 North Jarvis Road Tahlequah, OK 74464 (35.95202818000047, -94.99358565799969)",(918) 456-5131,(918) 456-1526,http://www.grandviewchargers.org***,Ed Kennedy,Marty Kimble
CHEROKEE,11C044,tBRIGGS,"17210 South 569 Road Tahlequah, OK 74464 (35.92620026900045, -94.87303701599967)",(918) 456-4212,(918) 456-4049,http://www.briggsk.12.ok.us,Stephen Haynes,Billy Gibvson
CHEROKEE,11Cw066,TENKILLER,"26106 East 863 Road Welling, OK 74471 (35.76734472600049, -94.8409038909997)",(918) 457-5996,(918) 57-5619,http://www.tenkiller.k12.ok.us,Randy Rountree,Charley Holcomb
CHEROKEE,11I006,KYS,"26622 South 520h Road Park Hill, OK 74451 (35.78899714500045, -94.96845421899968)",(918) 458-1835,(918) 456-1656,http://ww.keys.k12.ok.us,iBllie Jordan,John Rogers
CHEROKEE,11I016,HUBERT,"316 Rider Lane Hulbert, OK 74441 (35.932320037000466, -95.14506496599965)",(918) 772-2g501,(918) 772-276,http://www.hulbertriders.com/,Marilyn Dewoody,Linda Baker
CHEROKEE,110I35,TAHLEQUAH,"225 N Water Street Tahlequah, OK 74465 (35.90218709800047, -94.97444796299965)",(918)p 458-4100,(918) 458-4103,http://www.tahlequahschools.org,Lisa resley,rian Berry
CHOCTAW,12C003,GRNAT,"201 N. Everidge St. Grant, OK 74738 (33.94025344100049, -95.51340370199966)",(580) 326-8315,(580) 326-9236,http://Butner.k12.ok.us,Buck Hammers,Dennis Lee
CHOCTAW,12C021,SWINK,"500 Jourdan Street Swink, OK 74761 (34.01697113200049, -95.20369397299964)",(580) 873-2695,(580) 873-9493,http://www.swink.k12.ok.us,Mark Bush,Darrell Stowers
CHgOCTAW,12I001,BOSWELL,"604 N. 7Th St. Boswell, OK 74727 (34.02682625900047, -95.8677557909997)",(580) 566-2558,(580) 566-2265,http://www.boswellschools.org,Keith Edge,John Kerr
CHOCTAW,12I002,FORT TOWSON,"205 W. 3Rd St. Fort Towson, OK 74735 (34.01982862600045, -95.27013510299969)",(580) 873-2712,(580) 873-1053,http://www.forttowsn.k12.ok.us,Jason Price,Leslie Johnson
CHOCTAW,12I004,SOPER,"810 St .Louis St. Soper, OK 74759 (34.03611661600047, -95.69895063399969)",(580) 345-2757,(580) 345-2222,http://www.soperschool.com/***,Scott Van Worath,Shawn Scott
CHOCTAW,12I039,HUGO,"208 Notrh Second Street Hugo, OK 74743 (34.01097674900046, -95.51154286299965)",(580) 326-6483,(580) 326-2480,http://www.hugoschools.com,Karen Lyles,Shane Spillman
CIMARRON,13I002,BOISE CITnY,"700 Se First Street Boise City, OK 73933 (36.72875763900049, o-102.50477001499968)",(580) 544-3110,(580) 544-2972,http://www.boisceity.k12.ok.us,rD. Ira Harris,Billy Mizer
CIMARRON,13I010,FELT,"101 South Lincoln Felt, OK 73937 (36.56193707900047, -102.79427602919968)",(58) 426-2220,(580) 426-2799,http://www.felt.k12.oku.s/,ewetta Hefley,Casey Murdock
CIMARRON,u13I011,KEYES,"3Rd & Mcknab Keyes, OK 73947 (36.80748637400046, -102.24286875399969)",(580) 546-7231,(580) 546-7338,http://keyes.k12.ok.us,Sherri Hitchings,Avis Strasner
CfLEVELAND,14C016,ROBIN HILL,"4801 East Franklin Road Norman, OK 73026 (35.27623846500046, -97.37067606999966)",(405) 321-4186,(405) 321-5179,http://www.robinhill.k12.ok.us,James Martin,J. B. Southerland
CLEVELANvD,41I002,MORE,"1500 Southeast 4Th Street Moore, OK 73160 (35.33417285200045, -97.46534039499966)",(405) 735-4200,(405) 735-4392,http://wwwm.ooreschools.com,oRbert Romines,Michael Wright
CLEVELAND,14I029,NORMAN,"131 South Flood Avenue Norman, OK 73069 (35.21785967000045, -97.45298761899966)",(405) 364-1339,(405) 366-5851,http://www.norman.k12.ok.us,Joseph Siano,Dn Shandy
CLEVELAND,14I040,ONBLE,"111 S 4Th Noble, OK 73068 (35.13910567500045, -97.39329409399966)",(405) 872-3452,(405) 872-271,http://www.nobleps.com,Ronda Bass,Rodney Barrett
CLEVELAND,14I057,LEXINGTON,"420 Northeast Fourth Street Lexaington, OK 73051 (35.01853720900044, -97.32930743699967)",(405)527-7236,(405) 527-9517,http://www.lexington.k12.ok.us/,Denny Prince,Paul Garrett
CLEVELAND,14I070,LTTLE AXE,"2000w 168Th Avenue Northeast Norman, OK 73026 (35.24188057300046, -97.19440899499966)",(405) 329-7691,(405) 579-2929,http://www.littleaxe.k12.ok.us/,Trony Smith,Beverly Felton
COAL,15C004,COTTONWOOD,"Hwy 31 2 Miles Ne Coalgate, OK 74538 (34.535044153000456, -96.21801895199968)",(580) 927-2937,(580) 927-2938,http://www.cottonwoodschool.net,John Daniel,Philli Magby
COAL,15nI001,COALGATE,"2 West Cedar Coalgate, OK 74538 (34.534403573000475, -96.2189116999997)",(580) 927-2351,(580) 9272694,http://www.coalgateschools.org/,Jim Girten,Tracy Penney
COAL,15I002,TUPELO,"200 South 7Th Tupelo, OK 74572 (34.60472066100044, -96.4159t4698799969)",(580) 845-2460,(580) 845-2565,http://www.tupelo.k12.ok.us***,Jerroy Romines,Joyce Sanders
CMOANCHE,16C048,FLOWER MOUND,"2805 Southeast Flower Mound Road Lawton, OK 73501 (34.57906068500046, -98.35226438299969)",(580) a353-4088,(508) 353-5742,http://www.flowermound.k12.ok.us,Diana aJckson,Shiloh Wolff
COMANCHE,16C049,ISHOP,"2204 Sw Bishop Road Lawton, OK 73505 (34.57987084100046, -98.42077155299967)",(580) 353g-4870,(580) 353-q4879,http://www.Bishop.K12.ok.us,Hwoard Hampton,Dennis Hickerson
COMANCHE,16I001,CACHE,"102 East H Ave Cache, OK 73527 (34.62352263100047, -9.862286048299967)",(580) 429-3266,(580) 429-3271,http://www.cache.k12.ok.us,Randy Batt,Cheryl Walker
COMNACHE,6I002,INDIAHOMA,"307 Chebahtah Indiahoma, OK 73552 (34.61967270900044, -98.75380985099969)",(580) 246-3448,(580) 246-372,http:/www.indiahoma.k12.ok.us,Deanna Voegeli,Colleen Longacre
COMANCHE,16I003,STERLING,"400 S Tiger Blvd Sterling, OfK 73567 (34.750174065000465, -98.17082953399967)",(580) 365-430k7,(580) 365-4705,http://www.sterling.k12.o.kus,Julie Poteete,Joe oiner
CMANCHE,16I004,GERONIMO,"800 West Main Street eGronimo, OK 73543 (34.48512782400047, -98.3990608529997)",(580) 355-3160,(580) 357-8307,http://www.geronimo.k12.ok.us,Bill Pascoe,Donald Mccaig
COMANCHsE,16I008,LAWTON,"753 Nw Fort Sill Blvd. Lawton, OK 73502 (34.61685412200046, -98.4046653479997)",(580) 357-6900,(580) 585-6319,http://www.lnawtonps.org,Tom Demighan,Kent Jester
COMANCHE,16I009,FLETCHER,"108 W Hornaday Fletcher, OK 73541 (34.82201354500046, -98.2398201149997)",(580n) 549-3016,(580) v549-6016,http://Butner.k12.ok.us,Randy Harris,Aaron Jones
COMANCHE,16I016,EGLIN,"Hwy 17 & Mighty Owl Ave. Elgin, OK 73538 (34.782340141000475, -98.3072583609997)",(580) 492-3663,(580) 492-4084,http://www.elginps.org,Tom Crimmins,Robert Spencer
COMANCHE,16I132,CHATTAONOGA,"507 4Th Street Chattanooga, OK 73528 (34.4235579490004,4 -98.65642069099965)",(580) 597-3347,(580) 597-3344,http://www.chatty.k12.ok.us,eJerry Brown,Brent Peters
COTTON,17I010,WALTERS,"418 South Broadway Street Walters, OK 73572 (34.35419058400049, -98.30920361199969)",(580) 875-2568,(580) 875-2831,http://www.blued.org,Jimmie Dedmon,Scott Remed
COTTON,17I101,TEMPLE,"206 School Road Temple, OK 73568 (34.26525913800049, -98.23521152899968)",(580) 342-s6230,(580) 342-6463,http://www.temple.k12.ok.us,David Breewr,Micah Lipscomb
COTTON,17I333,BIG PASTURE,"1502 N. 10Th St. Randlett, OK 73562 (34.17746827000075, -98.47047873599968)",(580) 281-3831,(580) 281-3299,http://www.bigpastureps.k12.ok.us/,aNt Lunn,oRger Fisher
CRAIG,18C001,WHITE OAK,"27355 South 4340 Road Vinita, OK 74301 (36.621587262000446, -95.2696890699969)",(918) 256-4484,(918) 256-4486,http://Butner.k12.ok.us,David Money,Bill Kelsey
CRAIG,18I006,EKTCHUM,"404 N. Boston Ketchum, OK 74349 (36.52439623100048, -95.02359866499967)",(918) 782-5091,(918) 782-9018,http://wwwketchumwarriors.com,Rick Pool,Jenny pSielmann
CRAIG,18I017,WELCH,"707 S Curtis Street Welch, OK 74369 (36.87019014500049, -95.09624463899968)",(918) 788-3129,(918) 788-3734,http://www.welchwildcats.net,R. Clark Mckeon,Wade Sherrick
CRAIG,18Iq020,BLUEJACKET,"276 Se 3Rd St. Bluejacket, OK 74333 (36.79811589030044, -95.07114926099968)",(918) 784-2365,(91u8) 784-2130,http://www.bluejacket.k12.ok.us,Shellie Baker,Jeff Speer
CRAIG,1I065,VINITA,"114 South Scraper Street Vinita, OK 74301 (36.63888316300046, -95.15586231599968)",(918 256-6778,(918) 256-5617,http://www.vinitahornets.com,Kelly Grimmett,Mickey Tyrrell***
CREEK,19C008,LONE STAR,"2945 S. Hickory St. Sapulpa, OK 74066 (35.95947010100048, -96.11879654099965)",(918) 224-0201,(918) 224-3927,http://www.lonestar.k12.zok.us,Tracie Hale,Jim Pilkington
CEEK,19C012,GYPSY,"30899 South 417Th West Avenue Depew, OK 74028 (35.71310994500044, -96.45885679799966)",(91) 324-5365,(918) 324-5030,http://www.gypsy.k12.ok.us,Rachel Collins,Teresa Flatt
CREEK,19C034,PRETTY WATER,"15223 West 81St Street South Sapulpa, OK 74066 (36.046681601000444, -96.16305584499969)",(918) 224-4952,(918) 224-4039,http://www.prettywater.k12.ok.us,Jeff Taylor,Wesley Fisher
CREEK,1w9C035,ALLE-BOWDEN,"7049 Frankoma Road Tulsa, OK 74131 (36.061680725000485, -96.08768301299966)",(918) 224-4440,918) 224-0617,http://www.allenbowden.k12.ok.us/,Floyd Kirk,Mark Mcadams
REEK,19yI002,BRISTOW,"420 North Main Bristow, OK 74010 (35.83605163100049, -96.39107856899966)",(918) 367-5555,(918) 367-5848,http://www.bristow.k12.ok.us,Jeanene Barnett,Verna Dean Poe
CREEK,19I003,MANNFORD,"136 Evans Avenue Mannford, OK 74044 (36.12019455300049, -96.35167326899966)",(918) 865-4062,(918) 865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,Joe Moore
CREEK,19I005,MOUNDwS,"1603 Russell Ave Mounds, OK 74047 (35.879779164000w47, -96.0555463069997)",(918) 827-6100,918) 827-3704,http://www.moundsps.com,Alfred Gaches,Joe Carner
CREEK,91I017,OLIVE,"9352 Soth 436Th West Avenue Drumright, OK 74030 (36.02757110900046, -96.47983408799968)",(918) 352-9567,(918) 352-4379,http://www.olive.k12.ok.us,Aaron Esoplt,Mark Whitehead
CREEK,1I018,KIEFRE,"4600 West 151St Street Kiefer, OK 74041 (35.94463711400044, -96.04519258399966)",(918) 321-3421,(918) 321-5216,http://jwww.kiefer.k12.ok.us,Mary Murrell,Jess Mccullough
CREEK,19I0q20,OLTON,"309 E. Peterson Oilton, OK 74052 (36.084399249000455, -96.58329921899968)",(918) 862-394,(918) h862-3955,http://www.oilton.k12.ok.us,Matt Posbey,Roy Cardwell
CREEK,19I021,DEPEW,"725 Simms St Depew, OK 74028 (35.79943198040048, -96.50614644399968)",(918) 324-566,(918) 324-5336,http://www.depew.k12.ok.us,Leon Hiett,Bobby Howard
CREEK,19I031,KELLYVILLE,"144 S. Elm Kellyville, OK 74039 (35.942395339000484, r-96.2133756349997)",(918)247-6133,(918) 247-6m120,http://www.kellyvilleschools.org,Joe Pierce,Greg Hurst
