79.fax,(918) 772-276,(918) 772-2766
335.mailingaddress,"3232 Nw 65Th
Oklahom City, OK 73116
(35.538420259000475, -97.57302107699968)","3232 Nw 65Th
Oklahoma City, OK 73116
(35.538420259000475, -97.57302107699968)"
6.code,010C32,01C032
349.boardpresident,Danny Barens,Danny Barnes
296.fax,(580) 9337-289,(580) 933-7289
205.fax,(58) 662-2683,(580) 662-2683
228.mailingaddress,"Rural Rote 2, Box 88
Mountain View, OK 73062
(35.09809169100049, -98.7502664329997)","Rural Route 2, Box 88
Mountain View, OK 73062
(35.09809169100049, -98.7502664329997)"
243.fax,(918)e 963-4860,(918) 963-4860
115.fax,(91u8) 784-2130,(918) 784-2130
180.mailingaddress,"200 Est Broadway
Pond Creek, OK 73766
(36.66941945500048, -97.79825718499967)","200 East Broadway
Pond Creek, OK 73766
(36.66941945500048, -97.79825718499967)"
355.phone,(405) 77-4461,(405) 737-4461
6.fax,918) 696-7240,(918) 696-7240
45.districtname,CYRmIL,CYRIL
515.mailingaddress,"308 Ne 2Nd St
Wagoner, OK 74467
(35.96199820070048, -95.38071855699968)","308 Ne 2Nd St
Wagoner, OK 74467
(35.96199820700048, -95.38071855699968)"
140.websiteurl,http://www.ridgerunnerys.net,http://www.ridgerunners.net
415.superintendent,Cliff Jyohnson,Cliff Johnson
365.countyname,OKeMULGEE,OKMULGEE
37.mailingaddress,"729 North Perry Street
Bennington, OK 74723
(34.00723543500044, -96.0382506869997)","729 North Perry Street
Bennington, OK 74723
(34.00723543500044, -96.0382560869997)"
489.districtname,TYpRONE,TYRONE
392.boardpresident,Debra Vjincent,Debra Vincent
207.fax,(80) 371-9336,(580) 371-9336
230.websiteurl,htctp://www.wilburtondiggers.org,http://www.wilburtondiggers.org
320.boardpresident,Aaron rable,Aaron Frable
56.mailingaddress,"600 Maple Street
Yukon, O K73099
(35.50573736500047, -97.75226816099968)","600 Maple Street
Yukon, OK 73099
(35.50573736500047, -97.75226816099968)"
261.phone,(405) 969-378,(405) 969-3738
9.boardpresident,Bill Mnuskrat,Bill Muskrat
498.websiteurl,http://www.kipptulsa.ogr,http://www.kipptulsa.org
387.mailingaddress,"600 North Oak Street
Jennings, OK 74038
(36.183400867000444, -9656844068799967)","600 North Oak Street
Jennings, OK 74038
(36.183400867000444, -96.56844068799967)"
465.boardpresident,David hPilpot,David Philpot
23.superintendent,Bre Rider,Bret Rider
379.countyname,SOAGE,OSAGE
177.phone,(405) 453-2747,(405) 453-7247
108.superintendent,eJerry Brown,Jerry Brown
281.websiteurl,http://www.chouteuwildcats.com/,http://www.chouteauwildcats.com/
87.districtname,BOISE CITnY,BOISE CITY
137.fax,9(18) 434-6552,(918) 434-6552
396.fax,(918) 87-2503,(918) 387-2503
272.superintendent,on Tuck,Jon Tuck
444.websiteurl,ttp://www.justustiawah.com,http://www.justustiawah.com
328.phone,(198) 623-0231,(918) 623-0231
349.code,5I006,55I006
156.districtname,ENDI,ENID
422.superintendent,Dora Smith,Doran Smith
125.websiteurl,http://jwww.kiefer.k12.ok.us,http://www.kiefer.k12.ok.us
370.phone,(918q) 263-2135,(918) 263-2135
150.superintendent,Randy Holfley,Randy Holley
503.fax,(91) 366-4241,(918) 366-4241
30.websiteurl,http://www.gearsychools.org/,http://www.gearyschools.org/
331.countyname,KFUSKEE,OKFUSKEE
145.countyname,DWEEY,DEWEY
345.mailingaddress,"1215 N.E. 34Th Street
Oklahoma ity, OK 73111
(35.50502859000045, -97.49056038699968)","1215 N.E. 34Th Street
Oklahoma City, OK 73111
(35.50502859000045, -97.49056038699968)"
53.superintendent,Jwimmie Smith,Jimmie Smith
50.code,80I168,08I168
276.boardpresident,mBruce Sheats,Bruce Sheats
166.websiteurl,http://www.ecpfhs.k12.ok.us,http://www.ecphs.k12.ok.us
405.boardpresident,Bart Howell***,Bart Howell
397.mailingaddress,"20 Southwest Fifth Steet
Krebs, OK 74554
(34.92711851000047, -95.72170330799969)","20 Southwest Fifth Street
Krebs, OK 74554
(34.92711851000047, -95.72170330799969)"
349.fax,(405) 438-3049,(405) 348-3049
485.phone,(80) 545-3327,(580) 545-3327
91.websiteurl,http://wwwm.ooreschools.com,http://www.mooreschools.com
201.countyname,JACKSN,JACKSON
211.mailingaddress,"200 North 8Th Street
Milbrun, OK 73450
(34.24013172400049, -96.55258906599965)","200 North 8Th Street
Milburn, OK 73450
(34.24013172400049, -96.55258906599965)"
426.boardpresident,Joex Brooks,Joe Brooks
498.fax,k(918) 794-8712,(918) 794-8712
442.districtname,SWEETWATRE,SWEETWATER
373.districtname,AWHUSKA,PAWHUSKA
88.websiteurl,http://www.felt.k12.oku.s/,http://www.felt.k12.ok.us/
464.superintendent,Bill Lomndon,Bill London
360.websiteurl,httpj://www.okmulgeeps.com,http://www.okmulgeeps.com
343.superintendent,Tracy Mcdanuiel,Tracy Mcdaniel
482.websiteurl,http://www.braydoylke.k12.ok.us/,http://www.braydoyle.k12.ok.us/
16.superintendent,Toyn Potts,Tony Potts
85.websiteurl,http://www.soperschool.com/***,http://www.soperschool.com/
173.boardpresident,Aaroen Hunter,Aaron Hunter
59.websiteurl,http:/www.mustangps.org,http://www.mustangps.org
444.districtname,USTUS-TIAWAH,JUSTUS-TIAWAH
194.superintendent,Randy Davmenport,Randy Davenport
410.districtname,MCALESTRE,MCALESTER
110.superintendent,David Breewr,David Brewer
100.districtname,ISHOP,BISHOP
394.fax,(918) 225-2556,(918) 225-5256
528.websiteurl,http://www.woodwardps.nte,http://www.woodwardps.net
203.boardpresident,Margaret Wilkesron,Margaret Wilkerson
396.districtname,ALE,YALE
127.phone,(918) 324-566,(918) 324-5466
482.countyname,TEPHENS,STEPHENS
519.phone,(91) 536-2500,(918) 536-2500
7.mailingaddress,"Rural Route 2, Box 1
Watts, OK 74964
(36.16867932100047, -94.56570895099969)***","Rural Route 2, Box 1
Watts, OK 74964
(36.16867932100047, -94.56570895099969)"
143.districtname,OAKS-MISION,OAKS-MISSION
56.boardpresident,Leonard fWells,Leonard Wells
8.fax,(918) 723-3402,(918) 723-3042
298.districtname,SMzITHVILLE,SMITHVILLE
387.boardpresident,Lloyd Mitchlel,Lloyd Mitchell
129.superintendent,Kvin Burr,Kevin Burr
304.phone,(918) 6892152,(918) 689-2152
295.phone,(580) 245-140m6,(580) 245-1406
37.boardpresident,Brypon Underwood,Bryon Underwood
316.superintendent,Kaylin Ctoody,Kaylin Coody
46.code,08I08l6,08I086
450.fax,(918) 341-564,(918) 341-5764
17.boardpresident,Kyeith Cochran,Keith Cochran
468.countyname,SEkQUOYAH,SEQUOYAH
38.code,0I048,07I048
448.countyname,vROGERS,ROGERS
65.boardpresident,Darry Howard,Darryl Howard
171.code,6I002,26I002
46.districtname,GRACEMNT,GRACEMONT
1.websiteurl,http://www.peavinepanothers.net/,http://www.peavinepanthers.net/
1.districtname,EAVINE,PEAVINE
318.countyname,USKOGEE,MUSKOGEE
169.mailingaddress,"3686 State Highway 92
Chickasha, OK 73018
(34.98550451000045, -98m.02149838999969)","3686 State Highway 92
Chickasha, OK 73018
(34.98550451000045, -98.02149838999969)"
211.superintendent,Gorge Kellner,George Kellner
244.boardpresident,Tiomthy Pierson,Timothy Pierson
269.mailingaddress,"301 East Ash
Aline, OK 73716
(36.5067381290004b96, -98.53868638899968)","301 East Ash
Aline, OK 73716
(36.506738129000496, -98.53868638899968)"
27.superintendent,Jesff Kelly,Jeff Kelly
247.fax,918) 567-3507,(918) 567-3507
131.code,20I00h5,20I005
80.boardpresident,rian Berry,Brian Berry
157.websiteurl,http://wwwd.rummond.k12.ok.us,http://www.drummond.k12.ok.us
28.countyname,BLINE,BLAINE
267.countyname,LOuVE,LOVE
218.websiteurl,htt:p//www.tonkawa.k12.ok.us,http://www.tonkawa.k12.ok.us
132.mailingaddress,"920 N. Main
Thomas, OK 7366r9
(35.74769249900049, -98.7475861369997)","920 N. Main
Thomas, OK 73669
(35.74769249900049, -98.7475861369997)"
507.phone,(918) 288e-6258,(918) 288-6258
365.websiteurl,htt:p//www.schulter.k12.ok.us,http://www.schulter.k12.ok.us
397.fax,(918) 423-299,(918) 423-2909
213.countyname,JOHSTON,JOHNSTON
309.phone,(580) 369y-2386,(580) 369-2386
506.countyname,TULAS,TULSA
173.phone,(405) 78-52605,(405) 785-2605
38.countyname,lBRYAN,BRYAN
150.boardpresident,yMark Bay,Mark Bay
331.superintendent,Chris Crater,Chris Carter
440.phone,(580) 655-435,(580) 655-4375
64.countyname,CRTER,CARTER
348.districtname,CcHOCTAW-NICOMA PARK,CHOCTAW-NICOMA PARK
465.superintendent,Greg Rteynolds,Greg Reynolds
519.code,7I4018,74I018
17.districtname,ATKOA,ATOKA
16.code,03I07,03I007
470.countyname,SEQUOAYH,SEQUOYAH
341.code,55E001,55E010
18.fax,(580) 88n9-6144,(580) 889-6144
477.fax,(580) 439-9207,(580) 439-2907
77.fax,(918) 57-5619,(918) 457-5619
523.countyname,WASHIAT,WASHITA
400.mailingaddress,"1461 West State Hwy 31
Mcalester, OK 74501
(34.88539941400046, -95.94811710199969)","11461 West State Hwy 31
Mcalester, OK 74501
(34.88539941400046, -95.94811710199969)"
521.districtname,SENTINhEL,SENTINEL
161.districtname,PAOiLI,PAOLI
389.fax,(918) 358j-3071,(918) 358-3071
300.countyname,MCCUzRTAIN,MCCURTAIN
30.mailingaddress,"110 Southwest Embree Drive
Geary, OK 73040
(35.6289034a9400044, -98.31782037499966)","110 Southwest Embree Drive
Geary, OK 73040
(35.62890349400044, -98.31782037499966)"
320.code,5I001,52I001
480.mailingaddress,"9450 West Cherokee Road
Duyncan, OK 73533
(34.46388034500046, -98.00015590099969)","9450 West Cherokee Road
Duncan, OK 73533
(34.46388034500046, -98.00015590099969)"
381.countyname,TOTAWA,OTTAWA
292.websiteurl,bhttp://www.denison.k12.ok.us,http://www.denison.k12.ok.us
303.boardpresident,Chupck Henry,Chuck Henry
176.boardpresident,Randy Clayopol,Randy Claypool
256.mailingaddress,"214 East Carl Hubbell Boulevard
Meeker, OK 74855
(35.503241855000454, -96.8h9264834699969)","214 East Carl Hubbell Boulevard
Meeker, OK 74855
(35.503241855000454, -96.89264834699969)"
317.superintendent,Mchael Broyles,Michael Broyles
342.countyname,OKLAOMA,OKLAHOMA
438.districtname,MOYESR,MOYERS
316.boardpresident,Akrt Smith,Art Smith
510.code,2I011,72I011
394.superintendent,Koln Kngiht,Koln Knight
453.mailingaddress,"36507 Ew 1301
Wewoka, OK 74884
(35.11585138200047, -96.54296684099967)","36507 Ew 1310
Wewoka, OK 74884
(35.11585138200047, -96.54296684099967)"
227.code,83I002,38I002
510.fax,(918)m 272-8111,(918) 272-8111
424.fax,(405) 723-5056,(405) 273-5056
277.boardpresident,Fred Sordalh,Fred Sordahl
283.boardpresident,Dahwayne Smith,Dawayne Smith
139.fax,(918) 2538970,(918) 253-8970
169.countyname,RADY,GRADY
285.mailingaddress,"101 East Kerley
Washington, OK 73093
(35.1024w23661000444, -97.48311944299968)","101 East Kerley
Washington, OK 73093
(35.102423661000444, -97.48311944299968)"
361.fax,(918 )652-6510,(918) 652-6510
465.code,86C036,68C036
199.code,3I018,33I018
74.phone,(918) 598-342,(918) 598-3412
254.fax,(405) 36-2838,(405) 356-2838
526.superintendent,LorenTackett,Loren Tackett
500.districtname,TUSLA,TULSA
214.fax,(t580) 362-3970,(580) 362-3970
410.phone,(918 423-4771,(918) 423-4771
326.countyname,NOWTA,NOWATA
31.districtname,CANOTN,CANTON
71.code,1C014,11C014
476.fax,(580) j252-2453,(580) 252-2453
411.code,62I00h1,62I001
14.boardpresident,Ccil Mackey,Cecil Mackey
452.districtname,VERDIRIS,VERDIGRIS
123.districtname,MOUNDwS,MOUNDS
200.websiteurl,http://www.eldorado.vk12.ok.us,http://www.eldorado.k12.ok.us
289.fax,(580) 286-b3974,(580) 286-3974
86.mailingaddress,"208 Notrh Second Street
Hugo, OK 74743
(34.01097674900046, -95.51154286299965)","208 North Second Street
Hugo, OK 74743
(34.01097674900046, -95.51154286299965)"
164.districtname,PAUeLS VALLEY,PAULS VALLEY
264.mailingaddress,"4671 Wolfapc Road
Marietta, OK 73448
(34.00590526700046, -97.12601138799965)","4671 Wolfpac Road
Marietta, OK 73448
(34.00590526700046, -97.12601138799965)"
280.fax,9(18) 479-6468,(918) 479-6468
38.mailingaddress,"209 N. 3Rd
Calera, OK 74730
(33.92851651500047 ,-96.4364764719997)","209 N. 3Rd
Calera, OK 74730
(33.92851651500047, -96.4364764719997)"
302.code,p49C003,49C003
93.districtname,ONBLE,NOBLE
165.code,250I38,25I038
391.superintendent,Keqnny Beams,Kenny Beams
250.code,h40I091,40I091
300.boardpresident,James nHamilton,James Hamilton
13.districtname,TIMmBERLAKE,TIMBERLAKE
165.phone,(405)665-2004,(405) 665-2004
445.districtname,CLAEMORE,CLAREMORE
139.countyname,ELAWARE,DELAWARE
358.fax,(405) 587-4043,(405) 587-0443
73.countyname,CEROKEE,CHEROKEE
351.fax,(045) 399-9212,(405) 399-9212
202.superintendent,JimmySmith,Jimmy Smith
441.districtname,CHEYEaNNE,CHEYENNE
451.phone,(918) 341-113,(918) 341-1113
167.fax,(405) 222-516,(405) 222-5416
354.phone,(45) 350-3410,(405) 350-3410
41.districtname,LOOKEBA SwICKLES,LOOKEBA SICKLES
51.districtname,RIVERSIED,RIVERSIDE
315.districtname,MUSKGOEE,MUSKOGEE
241.superintendent,Joh nLong,John Long
491.superintendent,Toom Schroeder,Tom Schroeder
323.phone,(580) 724-3431,(580) 724-3341
58.websiteurl,htttp://www.unioncity.k12.ok.us,http://www.unioncity.k12.ok.us
425.code,3I004,63I004
106.fax,(580) v549-6016,(580) 549-6016
169.websiteurl,htytp://pioneerwarriorsk8.com/,http://pioneerwarriorsk8.com/
106.phone,(580n) 549-3016,(580) 549-3016
256.districtname,MEEER,MEEKER
244.fax,(i918) 969-2493,(918) 969-2493
94.mailingaddress,"420 Northeast Fourth Street
Lexaington, OK 73051
(35.01853720900044, -97.32930743699967)","420 Northeast Fourth Street
Lexington, OK 73051
(35.01853720900044, -97.32930743699967)"
99.superintendent,Diana aJckson,Diana Jackson
2.districtname,MAYRETTA,MARYETTA
219.mailingaddress,"625 West South Street
Newkirk, OK 746m47
(36.87583607300047, -97.06226653999965)","625 West South Street
Newkirk, OK 74647
(36.87583607300047, -97.06226653999965)"
253.fax,(918) 37-72553,(918) 377-2553
506.phone,(9n18) 396-1792,(918) 396-1792
7.boardpresident,Melissa Rynolds,Melissa Reynolds
377.phone,s(918) 885-6511,(918) 885-6511
155.boardpresident,Cleex Jay Hedges,Clee Jay Hedges
430.mailingaddress,"503 Vestal Ave.
Waette, OK 74878
(34.96551065500046, -97.0295635439997)","503 Vestal Ave.
Wanette, OK 74878
(34.96551065500046, -97.0295635439997)"
160.phone,(580) 759-361z5,(580) 759-3615
393.districtname,PERKINS-TYON,PERKINS-TRYON
245.phone,(918) 674-7700,(918) 647-7700
34.code,07I03,07I003
402.countyname,IPTTSBURG,PITTSBURG
240.districtname,POCOAL,POCOLA
248.fax,(918)5 67-2842,(918) 567-2842
267.phone,(580)m 276-9444,(580) 276-9444
398.districtname,FRINK-CHMABERS,FRINK-CHAMBERS
223.phone,(405) 85k3-4321,(405) 853-4321
168.boardpresident,Mark Smhaw,Mark Shaw
113.districtname,EKTCHUM,KETCHUM
257.boardpresident,Jeram yRich,Jeramy Rich
487.boardpresident,Virgl Gibson,Virgil Gibson
381.districtname,WYANDOTE,WYANDOTTE
301.phone,(580) x584-3306,(580) 584-3306
234.superintendent,Bruce Gilolham,Bruce Gillham
229.phone,(580) 5692773,(580) 569-2773
352.fax,(405) 3402835,(405) 340-2835
353.websiteurl,http://ww.millwoodps.org,http://www.millwoodps.org
63.districtname,SPRlINGER,SPRINGER
120.fax,918) 224-0617,(918) 224-0617
347.websiteurl,http://www.lutherlions.korg,http://www.lutherlions.org
362.fax,(918) 33-4205,(918) 733-4205
188.websiteurl,htt:p//www.kinta.k12.ok.us,http://www.kinta.k12.ok.us
71.countyname,CHREOKEE,CHEROKEE
352.boardpresident,Lee AnnK uhlman,Lee Ann Kuhlman
223.code,7I016,37I016
445.code,66I01,66I001
438.boardpresident,Edie Napier,Eddie Napier
206.districtname,WAURKA,WAURIKA
464.mailingaddress,"95266 S. 4610 Rd
Marble City, OK 74945
(35.58229910040047, -94.81862737499966)","95266 S. 4610 Rd
Marble City, OK 74945
(35.58229910400047, -94.81862737499966)"
174.mailingaddress,"601 Wet Blakley
Rush Springs, OK 73082
(34.78274868100044, -97.96067737099969)","601 West Blakley
Rush Springs, OK 73082
(34.78274868100044, -97.96067737099969)"
231.fax,(918) 574-2898,(918) 754-2898
11.code,02I01,02I001
121.code,19yI002,19I002
246.code,4I0049,40I049
22.websiteurl,ttp://www.forgan.k12.ok.us,http://www.forgan.k12.ok.us
176.superintendent,BobbyW aitman,Bobby Waitman
18.countyname,TOKA,ATOKA
295.superintendent,Ted rBewer,Ted Brewer
509.districtname,BERRYwHILL,BERRYHILL
519.districtname,CANEY VALLEY***,CANEY VALLEY
507.boardpresident,Jneff Carter,Jeff Carter
346.code,55eI001,55I001
269.phone,(580) 46-2255,(580) 463-2255
220.boardpresident,Nathan Guin,Nathan Guinn
431.mailingaddress,"306 West Main Street
Maud, OK 74854
(35.13128828800046, -96.77896068599966)***","306 West Main Street
Maud, OK 74854
(35.13128828800046, -96.77896068599966)"
79.mailingaddress,"316 Rider Lane
Hulbert, OK 74441
(35.932320037000466, -95.14506496599965)","316 Rider Lane
Hulbert, OK 74441
(35.932320037000466, -95.14504696599965)"
502.websiteurl,http://www.aschools.org/,http://www.baschools.org/
407.boardpresident,hester Mason,Chester Mason
531.websiteurl,http://www.fortsupply.sk12.ok.us,http://www.fortsupply.k12.ok.us
198.mailingaddress,"300 North Chickaasw
Duke, OK 73532
(34.66263341300049, -99.56645451199967)","300 North Chickasaw
Duke, OK 73532
(34.66263341300049, -99.56645451199967)"
92.boardpresident,Dn Shandy,Don Shandy
50.boardpresident,eWesley Hedrick,Wesley Hedrick
367.mailingaddress,"20 East 5Th Street
Dewar, OK 74431
(35.45800153100049, -95.94109871599966)","204 East 5Th Street
Dewar, OK 74431
(35.45800153100049, -95.94109871599966)"
460.countyname,SEMINxOLE,SEMINOLE
348.fax,(40h5) 769-9821,(405) 769-9821
12.boardpresident,Amber Wilhitde,Amber Wilhite
284.districtname,IBBLE,DIBBLE
335.websiteurl,http://www.icmsokc.om,http://www.icmsokc.com
178.mailingaddress,"401 East Main Street
Amber, OK 73004
(35.160195940i00045, -97.8755692689997)","401 East Main Street
Amber, OK 73004
(35.16019594000045, -97.8755692689997)"
255.websiteurl,http://ww.stroud.k12.ok.us,http://www.stroud.k12.ok.us
361.phone,(918) z652-6523,(918) 652-6523
243.websiteurl,htrtp://www.panama.k12.ok.us/,http://www.panama.k12.ok.us/
52.fax,(405) 2620628,(405) 262-0628
66.mailingaddress,"1860 Hewitt Road
Wilson, OK 73463b
(34.16555859400046, -97.41718077599967)","1860 Hewitt Road
Wilson, OK 73463
(34.16555859400046, -97.41718077599967)"
364.boardpresident,David Reagr,David Reagor
365.code,56I060,56I006
344.countyname,OKLAHMOA,OKLAHOMA
473.fax,(918) 49-5664,(918) 489-5664
493.phone,5(80) 568-2423,(580) 568-2423
345.code,55E06,55E016
132.websiteurl,http://wwwy.thomas.k12.ok.us,http://www.thomas.k12.ok.us
412.countyname,PONTOTaOC,PONTOTOC
262.boardpresident,Amy Hulrst,Amy Hurst
495.websiteurl,http://www.grandfeield.k12.ok.us/,http://www.grandfield.k12.ok.us/
142.websiteurl,http://www.olcordschools.com/,http://www.colcordschools.com/
46.boardpresident,Weslzey Savage,Wesley Savage
257.phone,(045) 567-4455,(405) 567-4455
194.countyname,HGUHES,HUGHES
99.fax,(508) 353-5742,(580) 353-5742
463.superintendent,Jeff Ranom,Jeff Ransom
196.superintendent,Bvill San Millan,Bill San Millan
346.boardpresident,Tamy West,Tammy West
279.superintendent,Toy Thomas,Tony Thomas
111.superintendent,aNt Lunn,Nat Lunn
516.boardpresident,Terry rBackett,Terry Brackett
196.fax,(18) 546-2329,(918) 546-2329
356.superintendent,BradR ichards,Brad Richards
475.websiteurl,http://grandviewscohol.k12.ok.us,http://grandviewschool.k12.ok.us
419.districtname,GoROVE,GROVE
417.websiteurl,http://www.rorff.k12.ok.us/,http://www.roff.k12.ok.us/
