514.statutory_reference,"SB 141,v SECTION 3E","SB 141, SECTION 3E"
1050.agency_name,DEPARTMENT OF HMUAN SERVICES,DEPARTMENT OF HUMAN SERVICES
369.agency_name,EASTERN OKLA. TSATE COLLEGE,EASTERN OKLA. STATE COLLEGE
968.total_amount,$2052751t.78,$2052751.78
309.statutory_reference,"TITLE 74, SEC. 5124B","TITLE 74, SEC. 1524B"
698.class_description,American Recov. & Reinvb. Act,American Recov. & Reinv. Act
991.statutory_reference,"TITLE 74, SECTION 1667.","TITLE 74, SECTION 166.7"
191.class_description,ODOT Contsruction Fund 2009B,ODOT Construction Fund 2009B
1020.total_amount,$000,$0.00
18.total_amount,$7510283.46,$7510283.64
540.class_description,Gamng Regulation Revolving Fd,Gaming Regulation Revolving Fd
172.agency_name,CAPITOL IPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
600.class_description,Revolvidng Fund,Revolving Fund
944.total_amount,$74218.34,$742128.34
290.agency_name,DPEARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE
162.agency_name,CPITOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
857.agency_name,DEPARTMENT OF VETERANS AFFAISR,DEPARTMENT OF VETERANS AFFAIRS
187.agency_name,CAPITOL IMPROVEMENT AUTHORTIY,CAPITOL IMPROVEMENT AUTHORITY
316.total_amount,0.00,$0.00
222.statutory_reference,"TITLE 73, SECTrION 153 AND PROVISIONS OF SENATE","TITLE 73, SECTION 153 AND PROVISIONS OF SENATE"
318.total_amount,$496431.98,$496431.89
1072.statutory_reference,***, 
1029.agency_name,DEPARTMENT OF HUMN SERVICES,DEPARTMENT OF HUMAN SERVICES
749.statutory_reference,"TITLE 74, SECTION 85.5L8","TITLE 74, SECTION 85.58L"
961.statutory_reference,"TITLE 70q, SEC. 4006","TITLE 70, SEC. 4006"
617.statutory_reference,"TITLE 63, SECTION 2-50l3.2","TITLE 63, SECTION 2-503.2"
415.statutory_reference,"TITEL 62, SECTION 34.9","TITLE 62, SECTION 34.9"
697.total_amount,$2226,$22.26
1075.statutory_reference,ESTABLISHED TO ACCOMODATE UTILIZATIOkN OF OPM PR,ESTABLISHED TO ACCOMODATE UTILIZATION OF OPM PR
356.class_description,Americatn Recov. & Reinv. Act,American Recov. & Reinv. Act
393.agency_name,DEPARTMENT OF EDUCATINO,DEPARTMENT OF EDUCATION
261.agency_name,DEPAaRTMENT OF MINES,DEPARTMENT OF MINES
82.statutory_reference,"ITLE 2, SEC 15-60.3","TITLE 2, SEC 15-60.3"
819.agency_name,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLGY,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLOGY
432.class_description,Rural Econ Action Plan RevF d,Rural Econ Action Plan Rev Fd
930.class_description,OCIA 94A Rev Refund Sin kFund,OCIA 94A Rev Refund Sink Fund
404.total_amount,$348247.9j1,$348247.91
32.class_description,Agecy Relationship Fund,Agency Relationship Fund
36.statutory_reference,"TITLE 7,0 SEC. 3901","TITLE 70, SEC. 3901"
374.class_description,America Recov. & Reinv. Act,American Recov. & Reinv. Act
935.statutory_reference,"TIsTLE 70, SEC. 3901","TITLE 70, SEC. 3901"
973.total_amount,$616653.5j3,$616653.53
501.class_description,Federal unds,Federal Funds
1050.statutory_reference,, 
1013.class_description,EBC Wellness ProgramRev Fnd,EBC Wellness Program Rev Fnd
623.agency_name,MENTAL HEALTH AND SUBSTANCE ABUSE ESRV.,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.
164.class_description,2006D Higher Ed Var t - Const,2006D Higher Ed Var Rt - Const
956.statutory_reference,, 
516.statutory_reference,HB 1078 SECTION 1A,"HB 1078, SECTION 1A"
153.total_amount,$k0.00,$0.00
371.agency_name,EASTERN OKL. STATE COLLEGE,EASTERN OKLA. STATE COLLEGE
634.total_amount,$153.97,$1553.97
208.total_amount,$33469.37,$334619.37
137.total_amount,$513j2134.81,$5132134.81
519.total_amount,h$9000000.00,$9000000.00
872.class_description,Capital Bond Projcts,Capital Bond Projects
1067.agency_name,WATER RESOURCES BORD,WATER RESOURCES BOARD
105.statutory_reference,"TITLE 9, SEC. 46.19","TITLE 59, SEC. 46.19"
422.total_amount,0.53,$0.53
143.total_amount,w$4999.74,$4999.74
373.class_description,Capital Bond zProjects,Capital Bond Projects
848.agency_name,CONSERAVTION COMMISSION,CONSERVATION COMMISSION
149.total_amount,1066619.26,$1066619.26
379.agency_name,REDLANDS COMMUNITY OLLEGE,REDLANDS COMMUNITY COLLEGE
243.statutory_reference,"TITLE c62, SEC. 41.8","TITLE 62, SEC. 41.8"
502.class_description,AmericanR ecov. & Reinv. Act,American Recov. & Reinv. Act
859.class_description,Ed & Geni Oper Revolv Fund,Ed & Gen Oper Revolv Fund
669.class_description,Education & Gen Oper kRev Fund,Education & Gen Oper Rev Fund
749.agency_name,DEPARTcMENT OF CENTRAL SERVICES,DEPARTMENT OF CENTRAL SERVICES
710.class_description,PolicePens & Retirement Fund,Police Pens & Retirement Fund
477.class_description,Breast Cancer Ac Revolving Fd,Breast Cancer Act Revolving Fd
585.statutory_reference,"TITLE 70, ESC. 4001","TITLE 70, SEC. 4001"
923.agency_name,STATcE TREASURER,STATE TREASURER
266.class_description,Dept Of Correctiions Rev Fund,Dept Of Corrections Rev Fund
480.total_amount,$192413.m67,$192413.67
235.total_amount,$0.y00,$0.00
750.class_description,Bid Document & Bond oFrf Fund,Bid Document & Bond Forf Fund
485.agency_name,STATE DEPARMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
134.statutory_reference,"ITTLE 62, SECTION 41.5 H D","TITLE 62, SECTION 41.5 H D"
454.agency_name,STATE FIRE MARHSAL,STATE FIRE MARSHAL
625.agency_name,MENTAL HEALToH AND SUBSTANCE ABUSE SERV.,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.
711.class_description,Revolvinbg Fund,Revolving Fund
813.agency_name,SEMINOLE STATE COLEGE,SEMINOLE STATE COLLEGE
384.total_amount,$4368339.8,$436833.98
196.agency_name,CAPITOL IMPROVEMENT AUTHORITfY,CAPITOL IMPROVEMENT AUTHORITY
559.agency_name,OFFgICE OF JUVENILE AFFAIRS,OFFICE OF JUVENILE AFFAIRS
535.agency_name,ISTORICAL SOCIETY,HISTORICAL SOCIETY
198.statutory_reference,"TITLE 7, SECTION 301","TITLE 73, SECTION 301"
481.statutory_reference,"ITLE 47, SECTION 1104.14","TITLE 47, SECTION 1104.14"
122.statutory_reference,TITLE 62 SETCION 34.48 & 34.9,TITLE 62 SECTION 34.48 & 34.9
904.class_description,Seed for O KKids,Seed for OK Kids
593.total_amount,$262238.51,$622238.51
583.class_description,Agency Relartionship Fund,Agency Relationship Fund
398.total_amount,$126641t.72,$126641.72
298.agency_name,DEPARrTMENT OF COMMERCE,DEPARTMENT OF COMMERCE
913.agency_name,STATE TREASUER,STATE TREASURER
816.statutory_reference,"TITLE 28, SEC. 11 1B","TITLE 28, SEC. 111 B"
457.total_amount,$490195.37,$491095.37
603.class_description,Fed GrtF unds Special Projects,Fed Grt Funds Special Projects
589.class_description,American ecov. & Reinv. Act,American Recov. & Reinv. Act
555.total_amount,q$0.00,$0.00
203.class_description,OCIA 1999D Revenue Bond Fudn,OCIA 1999D Revenue Bond Fund
595.agency_name,ELGISLATIVE SERVICE BUREAU,LEGISLATIVE SERVICE BUREAU
895.agency_name,TEACHERS RTIREMENT SYSTEM,TEACHERS RETIREMENT SYSTEM
873.agency_name,S. W. OKLA. ST .UNIV.,S. W. OKLA. ST. UNIV.
805.class_description,Capial Improvements Rev Fund,Capital Improvements Rev Fund
48.class_description,Student Centere Revenue Bonds,Student Center Revenue Bonds
585.class_description,Rev Bond Fd/Cap Ilmprovements,Rev Bond Fd/Cap Improvements
830.statutory_reference,, 
400.class_description,Federpal Indian Educ Fund,Federal Indian Educ Fund
288.class_description,Okla. Ccommerce Rev Fund,Okla. Commerce Rev Fund
185.agency_name,CAPITOpL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
471.agency_name,TATE DEPARTMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
292.class_description,Rural Economic Actio Plan,Rural Economic Action Plan
730.total_amount,$11376.70,$161376.70
802.total_amount,i$70107.72,$70107.72
318.agency_name,CONTSRUCTION INDUSTRIES BOARD,CONSTRUCTION INDUSTRIES BOARD
721.statutory_reference,"TITLE 82, SEC .1462C","TITLE 82, SEC. 1462C"
131.agency_name,STATE BANKINGq DEPARTMENT,STATE BANKING DEPARTMENT
862.class_description,Student Union Rev Bonds 2003***,Student Union Rev Bonds 2003
847.statutory_reference,"TITLE 62, SECTOIN 7.5","TITLE 62, SECTION 7.5"
556.agency_name,OKLAHOMA INSURANCE DEARTMENT,OKLAHOMA INSURANCE DEPARTMENT
118.statutory_reference,k , 
433.class_description,Armerican Recov. & Reinv. Act,American Recov. & Reinv. Act
869.statutory_reference,"TITLE 2, SEC. 41.8","TITLE 62, SEC. 41.8"
447.total_amount,$0.0o0,$0.00
135.class_description,ICS Reovlving Fund,ICS Revolving Fund
224.total_amount,$.04,$0.04
190.total_amount,$336.04,$3369.04
1024.class_description,Indigent Hecalth Care Rev Fund,Indigent Health Care Rev Fund
333.agency_name,CORPORATION COMISSION,CORPORATION COMMISSION
264.agency_name,COMMISSION ON HCILDREN AND YOUTH,COMMISSION ON CHILDREN AND YOUTH
915.agency_name,STATE TRESURER,STATE TREASURER
464.total_amount,$19.423,$194.23
640.statutory_reference,"TITLE 62, SEC. 41d.8","TITLE 62, SEC. 41.8"
660.total_amount,5$345304.46,$5345304.46
971.statutory_reference,***, 
725.class_description,Oklahoma State Park Trsut Fund,Oklahoma State Park Trust Fund
584.total_amount,$c0.00,$0.00
1007.total_amount,$21692642.26,$12692642.26
994.class_description,FY06 Rehab Sevrices Disb Fund,FY06 Rehab Services Disb Fund
954.agency_name,UNIVERSITY OF OKLAHOAM,UNIVERSITY OF OKLAHOMA
216.agency_name,CAPITOL IPMROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
498.statutory_reference,"TITLE 3Ai, SECTION 616","TITLE 3A, SECTION 616"
878.agency_name,J.D.M CCARTY CENTER,J.D. MCCARTY CENTER
865.total_amount,1634175.08,$1634175.08
295.class_description,Ok Viticulture Enology lRevl Fd,Ok Viticulture Enology Revl Fd
168.class_description,OICA 2005 Revenue Fund,OCIA 2005 Revenue Fund
153.class_description,Capital Bond Prhojects,Capital Bond Projects
684.agency_name,NORTHWESTERN OKLA. SfTATE UNIVERSITY,NORTHWESTERN OKLA. STATE UNIVERSITY
637.total_amount,0.00,$0.00
707.total_amount,$168611.75,$168611.57
350.class_description,exual Assault Exam Fund,Sexual Assault Exam Fund
997.statutory_reference,TITEL,TITLE
351.total_amount,$002,$0.02
927.agency_name,STAET TREASURER,STATE TREASURER
980.total_amount,$67441.46,$67414.46
903.agency_name,STATEr TREASURER,STATE TREASURER
1003.statutory_reference,, 
704.class_description,Capintal Bond Projects,Capital Bond Projects
1068.total_amount,$t423594.82,$423594.82
296.agency_name,EPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE
56.total_amount,$0.0o0,$0.00
217.statutory_reference,TITLE l62 SEC 34.9,TITLE 62 SEC 34.9
675.total_amount,$0.0,$0.00
