objectid(long),namevalue,b_one_seven_zero_two_zero_zero_zero_one_e(long),b_one_seven_zero_two_zero_zero_zero_two_e(long),b_one_seven_zero_two_zero_zero_zero_three_e(long),b_one_seven_zero_two_zero_zero_zero_four_e(long),b_one_seven_zero_two_zero_zero_zero_five_e(long),b_one_seven_zero_two_zero_zero_zero_six_e(long),b_one_seven_zero_two_zero_zero_zero_seven_e(long),b_one_seven_zero_two_zero_zero_zero_eight_e(long),b_one_seven_zero_two_zero_zero_zero_nine_e(long),b_one_seven_zero_two_zero_zero_one_zero_e(long),b_one_seven_zero_two_zero_zero_one_one_e(long),b_one_seven_zero_two_zero_zero_one_two_e(long),b_one_seven_zero_two_zero_zero_one_three_e(long),b_one_seven_zero_two_zero_zero_one_four_e(long),b_one_seven_zero_two_zero_zero_one_five_e(long),b_one_seven_zero_two_zero_zero_one_six_e(long),b_one_seven_zero_two_zero_zero_one_seven_e(long),b_one_seven_zero_two_zerocalcpct_pov_e(double precision),b_one_seven_zero_two_zerocalcnum_child_pov_e(long),b_one_seven_zero_two_zerocalcpct_child_pov_e(double precision),b_one_seven_zero_two_zerocalcnum_tot_child_e(long),city,shape_area(double precision),shape_length(double precision)
50.0,Census Tract 4222.11,2555.0,359,20,49,63,173,44,0,10,2196.0,112,125,106,1292.0,371,150,40,14.1,132,27.8,475,Other,3656284.296875,7641.54059440638
51.0,Census Tract 4222.12,4204.0,342,71,26,82,142,21,0,0,3862.0,281,305,211,1698.0,1039,270,58,8.1,179,18.3,976,Mesa,3251847.52734375,7722.93829521401
52.0,Census Tract 4222.13,2780.0,232,46,43,0,138,5,0,0,2548.0,137,233,189,1577.0,318,65,29,8.3,89,13.7,648,Mesa,1879192.09375,5860.87489587511
53.0,Census Tract 4222.18,3150.0,314,24,41,48,158,36,3,4,2836.0,161,182,207,1895.0,306,55,30,10.0,113,17.0,663,Chandler,1947106.34765625,5911.1234904647
54.0,Census Tract 8100,3362.0,305,75,0,3,180,47,0,0,3057.0,203,161,130,1884.0,617,40,22,9.1,78,13.6,572,Tempe,3995118.7890625,10213.6300589136
55.0,Census Tract 8101,6667.0,76,0,0,16,58,2,0,0,6591.0,362,517,395,3645.0,1295,342,35,1.1,16,1.2,1290,Tempe,7404754.984375,15307.1516788365
56.0,Census Tract 8102,3814.0,331,28,83,13,142,65,0,0,3483.0,232,202,205,2302.0,460,67,15,8.7,124,16.3,763,Chandler,1863902.96484375,5800.21467056303
57.0,Census Tract 8103,5905.0,363,23,0,176,149,4,0,11,5542.0,405,433,446,3128.0,944,103,83,6.1,199,13.4,1483,Chandler,3682746.66015625,7734.49663292763
58.0,Census Tract 8104,4957.0,232,54,0,32,104,22,20,0,4725.0,330,352,303,2859.0,763,115,3,4.7,86,8.0,1071,Chandler,7796898.703125,13694.5978071601
59.0,Census Tract 8105,4475.0,221,0,0,0,221,0,0,0,4254.0,355,216,292,2490.0,780,107,14,4.9,0,0.0,863,Chandler,4209375.234375,8693.95636807029
60.0,Census Tract 8106,6801.0,176,0,0,0,72,71,33,0,6625.0,501,687,489,3860.0,935,73,80,2.6,0,0.0,1677,Chandler,5114143.640625,9690.17854014357
61.0,Census Tract 9413,8261.0,2862,386,373,186,1445,301,171,0,5399.0,345,229,338,2789.0,1055,229,414,34.6,945,50.9,1857,Unincorporated Maricopa County,317597938.570313,95088.1305871087
62.0,Census Tract 1138,2403.0,510,111,0,33,288,61,0,17,1893.0,136,48,34,1552.0,91,27,5,21.2,144,39.8,362,Phoenix,26100917.0429688,23391.651174063
63.0,Census Tract 1167.38,6381.0,418,100,9,0,309,0,0,0,5963.0,242,462,388,3938.0,564,283,86,6.6,109,9.1,1201,Phoenix,7618369.45703125,20535.6359931706
64.0,Census Tract 3190.01,0.0,17,74,0,0,57,99,61,39,0.0,57,0,85,0.0,54,23,0,4.9,0,20.0,12,Tempe,1368986.62890625,4822.33377628159
65.0,Census Tract 3190.02,2121.0,696,0,0,0,671,10,0,15,1425.0,5,32,77,1131.0,143,28,9,32.8,0,0.0,114,Tempe,2356415.578125,7965.70127252817
66.0,Census Tract 3197.07,28.0,0,79,0,58,0,91,11,0,94.0,24,0,27,0.0,0,0,50,84.9,43,26.0,0,Tempe,995322.81640625,4478.40756967329
67.0,Census Tract 3197.08,4073.0,334,137,41,0,149,7,0,0,3739.0,63,34,117,2046.0,1191,215,73,8.2,178,45.4,392,Tempe,2952135.9296875,8395.90276117332
68.0,Census Tract 3197.09,0.0,28,0,86,54,68,71,92,89,90.0,0,19,0,0.0,87,82,0,4.9,90,0.0,18,Tempe,2594958.82421875,6732.58264321719
69.0,Census Tract 3197.10,2092.0,438,0,3,120,283,32,0,0,1654.0,39,73,36,1286.0,159,45,16,20.9,123,45.4,271,Tempe,8738348.1640625,15407.7064226909
70.0,Census Tract 3198.01,3021.0,500,48,42,0,302,29,79,0,2521.0,202,163,76,1719.0,238,123,0,16.6,90,16.9,531,Tempe,1775942.53125,5604.32053844642
71.0,Census Tract 3198.02,3695.0,206,0,0,0,133,73,0,0,3489.0,86,179,120,2650.0,372,61,21,5.6,0,0.0,385,Tempe,1891976.65625,5818.0735677489
72.0,Census Tract 4222.26,51.0,0,0,72,22,0,0,0,0,0.0,0,58,0,0.0,0,0,64,89.9,60,0.0,0,Mesa,576034.6015625,3272.54736250448
73.0,Census Tract 4222.27,1652.0,94,9,5,12,59,9,0,0,1558.0,116,107,47,908.0,305,68,7,5.7,26,8.8,296,Mesa,1714131.21875,5613.81952500824
