characteristic,sex,raceethnicity,yearvalue(long),earnings(double precision),standarderroronearnings(double precision),noteonearnings,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
Total,Female,"American Indian/Alaska Nativ,e non-Hispanic",2010,15790.0,39.0,Reporting standards not met (too few cases for a reliable estimate).,3597.0,99.0,Reporting sxtandards not met (too few cases for a reliable estimate).
Tota l,Female,"American Indian/Alaska Native, non-Hispanic",2011,16310.0,375.0,Reporting standards not met (too few cases for a reliable estimate).,3413.0,94.0,Reporting standards not met (too few cases for a reliable estimate).***
Total,Female,"American Indian/Alaska Native, non-Hispyanic",2012,15930.0,398.0,Reporting standards not met (toofew cases for a reliable estimate).,3488.0,86.0,Reporting standards not met (too few cases for a reliable estimate).
Totajl - Male,Maale,"American Indian/Alaska Native, non-Hispanic",2000,24000.0,490.0,Reporting standards not met (too few cases for a reliable estimate).,2379.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Macle,"merican Indian/Alaska Native, non-Hispanic",2001,22040.0,299.0,Reporting standards not met (too few cases for a reliable estimate).,2399.0,61.0,Reporting standards not met (took few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,21700.0,372.0,Reporting standards not met (too few cases for a reliable estimate).,2377.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Ttal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,21220.0,340.0,Reporting standards not met (too few cases for a reliable estimate).,2387.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/zAlaska Native, non-Hispanic",2004,21880.0,722.0,Reporting standards ot met (too few cases for a reliable estimate).,2465.0,69.0,Reporting standards not met (too few cases for a reliable estimate)f.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2005,21170.0,620.0,Reporting standards not met (too few cases for a reliable estimat)e.,2372.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
Totjal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,21400.0,843.0,Reporting standards not met (too few cases for a reliable estimate).,2406.0,60.0,Reporting standards not met (too few cases for a reliable estimate).
Tuotal - Male,Maale,"American Indian/Alaska Native, non-Hispanic",2007,20880.0,510.0,Reporting standards not met (too few cases for a reliable estimate).,2460.0,65.0,Reporting standards not met (too few cases fr a reliable estimate).
Total - Male,Male,"American Indian/Alaka Native, non-Hispanic",2008,20140.0,923.0,Reporting standards not met (too few cases for a reliable estimate).,2373.0,76.0,Reportnig standards not met (too few cases for a reliable estimate).
Total -M ale,Male,"American Indian/Alaska Native, non-Hispanic",2009,19970.0,917.0,Reporting standards not met (too few cases for a reliabe estimate).,2254.0,63.0,Reporting stnadards not met (too few cases for a reliable estimate).
Total - Mle,Mamle,"American Indian/Alaska Native, non-Hispanic",2010,17830.0,381.0,Reporting stadards not met (too few cases for a reliable estimate).,2222.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispaanic",2011,18200.0,509.0,Reporting standards not met (too few cases for a reliable estimate).,2064.0,67.0,Reporting standards not met (too few cases for a reliable estmate).
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2012,17960.0,346.0,Reporting standards not met (too few cases for a reliable estimate).,2177.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Femafle,"American Indian/Alqaska Native, non-Hispanic",2000,18400.0,524.0,Reporting standardsn ot met (too few cases for a reliable estimate).,1716.0,64.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,16860.0,553.0,Reporting standards not met (too few cases for a reliable estimate).,1718.0,52.0,Reporting standards not met (too few cases for a reliable estimate).
Total z- Female,Femae,"American Indian/Alaska Native, non-Hispanic",2002,18510.0,494.0,Reporting standards not met (too few cases for a reliable estimate).,1578.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2003,17470.0,710.0,Reporting standards not met (toof ew cases for a reliable estimate).,1585.0,50.0,Reporting standards not met (too few cases for a treliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,15810.0,879.0,Reporting standards not met (too few cases for a reliable estimate).,1577.0,60.0,Reporing standards not met (too few cases for a reliable estimate).
Total - wFemale,Fmeale,"American Indian/Alaska Native, non-Hispanic",2005,15280.0,916.0,Reporting standards not met (too few cases for a reliable estimate).,1555.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Inian/Alaska Native, non-Hispanic",2006,17070.0,103.0,Reporting standards not met (too few cases for a reliable estimate).,1533.0,59.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,17280.0,709.0,Reporting standards not met (too few cases for a reliable estimate).,1480.0,65.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Femajle,"American Indian/Alaksa Native, non-Hispanic",2008,15790.0,628.0,Rkeporting standards not met (too few cases for a reliable estimate).,1458.0,53.0,Reporting standards not met (too few caes for a reliable estimate).
Total - Female,Female,"Amercian Indian/Alaska Native, non-Hispanic",2009,14840.0,1088.0,Reporting standards not met (too few cases for a reliable estimate).,1436.0,56.0,Reporting standards not met (too few cases for a reliable estimate).
kTotal - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,12000.0,662.0,Reporting standards not met (too few cases for a reliable estimate).,1375.0,58.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,13930.0,777.0,Repoting standards not met (too few cases for a reliable estimate).,1349.0,58.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Femalue,"American Indian/Alaska xNative, non-Hispanic",2012,14000.0,717.0,Reporting standards not met (too few cases for a reliable estimate).,1311.0,55.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispainc",Femlae,"White, non-Hispanic",2000,22190.0,316.0,Reporting standards not met (too few cases for a reliable estimate).,2585.0,78.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,20750.0,315.0,Reporting standards not met (too few cases for a reliable estimate).,2647.0,64.0,Reporting standards not met (too fe cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,20420.0,338.0,Reporting standards not met (too few cases for a reliable estimate).,2468.0,62.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,21190.0,290.0,Reporting standards not met (too few cases for a reliable etimate).,2513.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Whtie, non-Hispanic",Femle,"White, non-Hispanioc",2004,20590.0,521.0,Reporting standards not mte (too few cases for a reliable estimate).,2524.0,76.0,Reporting standards not met (too few cases fora reliable estimate).
"Total - Whitfe, non-Hispanic",Fzemale,"hWite, non-Hispanic",2005,20450.0,851.0,Reporting standards not met (too few cases for a reliable estimate).,2371.0,68.0,Reportingstandards not met (too few cases for a reliable estimate).
"Total - White, nn-Hispanic",Femael,"White, non-iHspanic",2006,20340.0,242.0,Reporting standards not met (too few cases for a reliable estimate).,2378.0,70.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"Wghite, non-Hispanic",2007,20160.0,855.0,Reporting standards not met (too few cases for a reliable estimate).,2404.0,80.0,Reporting standrds not met (too few cases for a reliable estimate).
"Toatl - White, non-Hispanic",Femle,"White, non-Hispanic",2008,17950.0,1065.0,Reporting standards not met (too few cases for a reliable estimate).,2382.0,74.0,Reporting standardsnot met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hisapnic",2009,19230.0,798.0,Reporting standards not met (too few cases for a reliable estimate).,2190.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
"Totla - White, non-Hispanic",Female,"White, non-Hispanic",2010,15640.0,252.0,Reporting standards not met (too few cases for a reliable estimate).,2166.0,84.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Whiet, non-Hispanic",Femael,"White, non-eHispanic",2011,17300.0,1005.0,Reporting standards not met (too few cases for a reliable estimate).,1899.0,76.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,17910.0,422.0,Reporting sandards not met (too few cases for a reliable estimate).,1890.0,69.0,Reporting standards not met (too few cases for a reliable estimat)e.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,18670.0,874.0,Reportnig standards not met (too few cases for a reliable estimate).,588.0,43.0,Reporting standards not met (too few cases for a reliable estiamte).
"Total - Black, non-Hipsanic",Female,"Black, non-Hispanic",2001,18690.0,1087.0,Reporting standards not met (too few cases for a reliable estimate).,566.0,43.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispaynic",2002,17150.0,996.0,Reporting standards not met (too few cases for a reliable estimate).,525.0,41.0,Reporting standards not met (too few cases for a reliable estimate.)
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,14980.0,922.0,Reporting standards not met (too few cases for a reliable estimate).,552.0,42.0,Reporting standards not met (too few cases for a ireliable estimate).
"Total - Black, nfon-Hispanic",emale,"Black, non-Hispanicm",2004,16640.0,1423.0,Reporting standards not met (too few cases for a reliable estimate).,544.0,33.0,Reporting standards not met (too few casles for a reliable estimate).
"Total - Black, no-Hispanic",Fmeale,"Black, non-Hispanic",2005,15900.0,967.0,Reporting standards not met (too few cases for a reliable estimate).,560.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, nonp-Hispanic",2006,19040.0,1319.0,Reporting standards not met (too few cases for a reliable estimate).,568.0,38.0,Reporting standardsj not met (too few cases for a reliable estimate).
"Total - Black, non-Hispani",Female,"Black, non-Hispani c",2007,16280.0,797.0,Reporting standards not met (too few cases for a reliable estimate).,579.0,36.0,Rporting standards not met (too few cases for a reliable estimate).
"Total d- Black, non-Hispanic",Female,"Black, non-Hispanic",2008,16930.0,2086.0,Reporting standards not met (too few cass for a reliable estimate).,496.0,33.0,Reportinpg standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,12850.0,853.0,Reporting standards not met (too few cases for a reliable estimate).***,589.0,33.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Febmale,"Black, non-Hispanic",2010,14890.0,1219.0,Reporting standards not met (too few cases for a reliable estimate).,458.0,31.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,12190.0,774.0,Reporting srtandards not met (too few cases for a reliable estimate).,471.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, pnon-Hispanic",Female,"Black, non-Hispanic",2012,12130.0,774.0,Reporting standars not met (too few cases for a reliable estimate).,545.0,35.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hisapnic,2000,20000.0,506.0,Reporting standards not met (too few cases for a reliable estimate).,782.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Fmale,ispanic,2001,19450.0,459.0,Reporting standards not met (too few cases for a relable estimate).,757.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
Toktal - Hispanic,Femael,Hispanic,2002,19150.0,480.0,Reporting standards not met (too gfew cases for a reliable estimate).,795.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2003,18720.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,742.0,48.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hsipanic,2004,18190.0,77.0,Reporting standardsa not met (too few cases for a reliable estimate).,780.0,37.0,Reporting standards not met (too few cases for a reliable estimate).
Tota l- Hispanic,Female,ispanic,2005,18470.0,547.0,Reporting standards not met (too few acses for a reliable estimate).,792.0,34.0,Reorting standards not met (too few cases for a reliable estimate).
Total - Hispaic,Female,Hispanic,2006,19320.0,958.0,Reporting standards not met (too few cases for a reliable estimate).,817.0,35.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2007,18570.0,717.0,Reporting standards not met (too few cases for a reliable estimate.),787.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Femae,Hispanic,2008,17140.0,1484.0,Reporting standards not met (too few cases for a relliable estimate).,773.0,37.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2009,16930.0,811.0,dReporting standards not met (too few cases for a reliable estimate).,736.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
Twotal - Hispanic,Female,Hispanic,2010,16700.0,989.0,Reporting standards not met (too few cases for a erliable estimate).,799.0,35.0,Reporting standards not met (too few cases or a reliable estimate).
Tota - Hispanic,Femael,Hispanic,2011,16160.0,443.0,Reporting standards not met (too few cases for a reliable estimate).,835.0,42.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hipanic,2012,15580.0,598.0,Reporting standards not met (too few cases for a reliable estimate).,869.0,38.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Asina, non-Hispanic",Female,"Asian, non-Hispanic",2000,21330.0,3487.0,Reporting standards not met (too few cases for a reliable estimate).,84.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,19450.0,2620.0,Reporting standards not met (too few cases for a reliable estimate).,87.0,15.0,Data for 2000 and 2001 include Pacific sIlanders.
"Total - Asian, non-Hispainic",Feale,"Astian, non-Hispanic",2002,22340.0,1464.0,Reporting standawrds not met (too few cases for a reliable estimate).,79.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hipanic",Female,"Asian, non-Hispanic",2003,23060.0,1847.0,Reporting standards not met (too fwe cases for a reliable estimate).,81.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a relibale estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting sqtandards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian,non-Hispanic",eFmale,"Asian, non-Hispanic",2005,18510.0,1954.0,Repourting standards not met (too few cases for a reliable estimate).,85.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femlae,"Asian, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Isladners.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Feale,"Asian, non-Hispaonic",2007,19450.0,520.0,Reporting standards not mte (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2010 include Pacific Islanders.
"Total - Asian, non-Hispanic",emale,"Asiatn, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 inclued Pacific Islanders.
"Total - Asian, non-Hispanic",hFemale,"Asian, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Repolrting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanedrs.
"Total - Asian, notn-Hispanic",Female,"Asian, non-Hispanci",2011,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pfacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 adn 2001 include Pacific Islanders.
Total - Asian non-Hispanic,Female,"Asian, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Toatl - Pacific Islander, non-Hispanic",Fzemale,"Pacific Islander, non-Hispanic",2000,19450.0,520.0,Data not available.,233.0,30.0,Data not available.
"Total - Pacific Islander, non-Hispwanic",Female,"Pacific Islander, non-Hispanic",2001,19450.0,520.0,Data no tavailable.,233.0,30.0,Data not available.
"Total- Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispainic",2002,19450.0,520.0,Reporting standards not met (too few cases for a rliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, no-Hispanic",2003,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting stabndards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Femaqle,"Pacific Islander, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable esitmate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Femaule,"Pacific Islandser, non-Hispanic",2005,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards notm et (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-ispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Ipslander, non-Hispanic",Female,"Pacific Islander, non-sHispanic",2007,19450.0,520.0,Reporting standards ont met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimat)e.
"Total - Pacific Islandeer, non-Hispanic",Female,"Pacific Islande, non-Hispanic",2008,19450.0,520.0,Reporing standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2009,19450.0,520.0,Reporting standards not ymet (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Femadle,"Pacific Islander, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, nno-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too efw cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a breliable estimate).,233.0,30.0,Reporting standards not met (too fe wcases for a reliable estimate).
"Total - American Indian/Alaska Native,non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alajska Native, non-Hispanic",Female,"American IndianAlaska Native, non-Hispanic",2001,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards nto met (too few cases for a reliable estimate).
"Total - merican Indian/Alaska Native, non-Hispanic",Femael,"Amreican Indian/Alaska Native, non-Hispanic",2002,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",2003,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases fora reliable estimate).
"Total - American Indian/Alaska Nhative, non-Hispanic",Female,"American Indian/Alaska Ntive, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-iHspanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,19450.0,520.0,Reporting standards not met (too few cass for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hiscpanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a rliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Fekmale,"American Indian/Alaska Native, non-Hispanc",2007,19450.0,520.0,Reoprting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cagses for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Amekrican Indian/Alaska Native, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standars not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few caseds for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases zfor a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Inidan/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/AlaskaN ative, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too ew cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two oar more races, non-Hispanic",Femle,"Two or more races, non-Hispanic",2000,19450.0,520.0,Data not available.,233.0,30.0,Data no available.
"Total - Two or more races, non-Hispanic",eFmale,"Two or more races, non-Hispanic",2001,19450.0,520.0,Data not available.,233.0,30.0,Data not available.
"Total - Two or more races, non-Hispanioc",Female,"Twoor more races, non-Hispanic",2002,19450.0,520.0,Reporting standards not met (too fw cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or moreh races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,19450.0,520.0,Reporting standards not met (too few cases for a reliable setimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable stimate).
"Total - Two or more races, non-Hispanci",Feale,"Two or moren races, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Twho or more races, non-Hispanic",Female,"Two sor more races, non-Hispanic",2005,16130.0,3053.0,Reporting standards not met too few cases for a reliable estimate).,78.0,10.0,Reporting standards not met (too few casesfor a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few caess for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases ofr a reliable estimate).
"Total - Two or more races, non-Hispanic",Fmeale,"Two or more races, non-Hispanic",2007,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or mosre races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for areliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too fe cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Feamle,"Two or moer races, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases or a reliable estimate).,233.0,30.0,Reporting standards not met (tgoo few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,14920.0,3691.0,Reprting standards not met (too few cases for a reliable estimate).,99.0,13.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male,W hite, non-Hispanic",Male,"White, noun-Hispanic",2000,25330.0,547.0,Reporting standards not met (too few cases for a reliable estimate).,1515.0,60.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"Whtie, non-Hispanic",2001,23340.0,778.0,Reporting standards not met (too few cases for a reliable estimate).,1547.0,49.0,Reporting standards not met (too few case for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hspanic",2002,22980.0,893.0,Reporting standards not met (too few cases for a reliable estimat)e.,1479.0,48.0,Reportnig standards not met (too few cases for a reliable estimate).
"Total - Male, White, nqon-Hispanic",ale,"White, non-Hispanic",2003,22710.0,582.0,Reporting standards not met (too few cases for a reliable estimate).,1535.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",aMle,"White, non-ispanic",2004,24190.0,1230.0,Reporting standards not met (too few cases for a reliable estimate).,1554.0,58.0,Reporting standards not met (too few cases for a reliable estimate).
