OBJECTID,FISH_TYPE,MGMT_AREA,COMMENT,STREAM_NO,STREAM,LAKE_NO,LAKE,SHAPE_Length,SHAPE_Area
75,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,1966,Natchaug River Dam,22253.8109438529,4334889.8555902
76,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Bogue Road, Torrington, downstream to the Thomaston Dam (Upper Section).",1182,Naugatuck River,0, ,56942.7696302915,2112227.92023664
77,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1603.65234246127,73179.8816020658
78,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,7091.99497905848,419021.277841009
79,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,901.782246870747,32973.5149442886
80,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,374.807961757981,9083.49189135059
81,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,31353.6848933553,1687287.21939526
82,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3951.9775125824,228514.471221026
83,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9272.93441390522,2150017.13103448
84,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9138.00171441164,834624.777991934
85,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,8343.11740649646,2925970.3362091
86,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2617.77059456099,107166.398479139
87,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,660.45072576576,31561.9893969077
88,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9364.95820313876,732238.438051063
89,Northern Pike,Northern Pike Management Area,Bantam Lake,62,Bantam River,110,Bantam Lake,14222.555880555,11383755.3949224
90,Trout,Wild Trout Management Area (Class 2),Entire brook in Glastonbury downstream of Addison Pond,1498,Salmon Brook,0, ,1065.87860217927,46637.9090840489
91,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5969.63460773201,373981.989843586
92,Northern Pike,Northern Pike Management Area,Bantam Lake,62,Bantam River,110,Bantam Lake,37834.060049499,30235394.5232384
93,Walleye,Walleye Management Lake,Batterson Park Pond,0, ,136,Batterson Park Pond,11945.8555364825,6337751.61927639
94,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6365.62792004326,348025.000979422
95,Trout,Trout Management Area,From Rte. 14 bridge to confluence with Quinebaug River,0, ,0, ,2442.78845548129,52391.8349598499
96,Trout,Trout Management Area,From Rte. 14 bridge to confluence with Quinebaug River,0, ,0, ,21266.6547879198,485166.065770567
97,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7623.15983872708,420562.650174123
98,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Bogue Road, Torrington, downstream to the Thomaston Dam (Upper Section).",1182,Naugatuck River,0, ,1332.74719549159,34511.6407570312
99,Trout,Wild Trout Management Area (Class 3),From Rte. 94 to Connecticut River,1454,Roaring Brook,41,Angus Park Pond,3554.90826806963,407175.937174808
100,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,1516.90804190147,50536.9351805496
101,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,5229.47905436407,232034.332166246
102,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,2037.56016786048,84036.4573921106
103,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,1408.36384219104,68713.7414580217
104,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,26555.7354633326,1579785.72619774
105,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,7975.86303701086,506265.64589914
106,Trout,Wild Trout Management Area (Class 3),From Rte. 94 to Connecticut River,1454,Roaring Brook,0, ,654.181706454906,24094.8976121152
107,Trout,Wild Trout Management Area (Class 3),From Rte. 94 to Connecticut River,1454,Roaring Brook,1257,Hodges Pond,1525.53300891994,76196.4942311118
108,Trout,Wild Trout Management Area (Class 3),From Lake Waramaug to confluence with Housatonic River.,502,East Aspetuck River,3567,Woodruff Pond,2034.55659144658,39449.7966728643
109,Trout and Bass,Bull's Bridge Trout Management Area / Bass Management Area,From Bull's Bridge Impoundment Dam (Kent) to Gaylordsville Bridge (Rt 7) New Milford plus Ten Mile R,823,Housatonic River,0, ,328.051582277832,2917.77840063452
110,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,2023.04747404164,77409.7056026888
111,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,2131.95384737628,133519.065987699
112,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,15991.920194244,1062725.28190561
113,Trout,Wild Trout Management Area (Class 3),From Rte. 94 to Connecticut River,1454,Roaring Brook,293,Brainard Pond,1907.13132003887,78499.2222446346
114,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Scotland Dam, Scotland, downstream to the Occum Dam, Norwich.",1567,Shetucket River,0, ,50534.3514088084,4614349.50335399
115,Trout,Wild Trout Management Area (Class 3),From Rte. 94 to Connecticut River,1454,Roaring Brook,2646,Slocomb Pond No 2,753.316278996222,22007.6760507595
116,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7360.37379012589,517140.032380067
117,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,3287.5204463669,163940.031464071
118,Trout,Trout Park,Black Rock Lake,1397,Purgatory Brook,240,Black Rock Lake,5702.27296928835,412750.527910233
119,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,4174.90002862474,251861.686908792
120,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,4510.2208133415,252615.091527418
121,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,12890.2167738943,1091543.26768004
122,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,36515.7026175168,2423917.45690078
123,Trout,Wild Trout Management Area (Class 1),Entire river in Southington.,548,Eightmile River,1052,Grannis Pond,11456.0855527248,1225201.37411469
124,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1725.54870998221,146448.954756566
125,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,25179.414716115,1842379.6726645
126,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,535.184054397329,18851.9907831087
127,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2150.37038902931,84876.870991493
128,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Scotland Dam, Scotland, downstream to the Occum Dam, Norwich.",1567,Shetucket River,2082,Occum Pond,42688.3644618835,4689131.24668079
129,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,884.949007242329,57111.1443547215
130,Trout,Wild Trout Management Area (Class 1),Entire river in Southington.,548,Eightmile River,0, ,1203.8535052401,50055.3438141156
131,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3425.29335860553,294455.829871745
132,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3557.27180297365,149772.914575166
133,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,6805.53619772217,313547.294574652
134,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5806.70125071741,387564.950401296
135,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1163.10778019797,47801.2214679221
136,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,727.641886032811,25223.4032442178
137,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,15324.0269755717,1032066.82605568
138,Walleye,Walleye Management Lake,Beach Pond,0, ,142,Beach Pond,26569.9139386015,15180159.007783
139,Northern Pike,Northern Pike Management Area,Pachaug Pond,1259,Pachaug River,2134,Pachaug Pond,70126.0672734291,35588721.0902309
140,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4909.61451414648,293787.212759132
141,Trout,Trout Management Area,From Barstow Rd. (Lebanon) downstream to bridge at intersection of Fitchville and Schwartz Rd.,1970,Yantic River,1012,Gilman Pond,7354.7953936901,352983.982695007
142,Trout,Trophy Trout Lake,Lake Candlewood,0, ,1490,Lake Candlewood,25922.6154876523,9345231.88895855
143,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,592.481691756552,21811.1258916484
144,Trout,Trophy Trout Lake,Lake Candlewood,0, ,1490,Lake Candlewood,12482.4229709216,1827727.60278156
145,Walleye,Walleye Management Lake,Beach Pond,0, ,142,Beach Pond,9611.91237211643,2574961.46966922
146,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1694.18039339743,74253.2939485147
147,Trout,Trout Management Area,From Barstow Rd. (Lebanon) downstream to bridge at intersection of Fitchville and Schwartz Rd.,1970,Yantic River,2155,Papermill Pond,4125.44348731025,189129.290301019
148,Trout,Trophy Trout Stream,"Entire river in Windham, Scotland, Sprague, and Norwich",1567,Shetucket River,0, ,63174.5434871864,8533261.4740362
149,Trout,Trout Management Area,From Barstow Rd. (Lebanon) downstream to bridge at intersection of Fitchville and Schwartz Rd.,1970,Yantic River,0, ,4509.50749564213,143658.841111949
150,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,686.409554776889,16233.0640607034
151,Trout,Trophy Trout Lake,Lake Candlewood,0, ,1490,Lake Candlewood,267923.0350148,185734117.304093
152,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,50358.6521113538,3380932.35084257
153,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1648.66236343298,69080.5491203261
154,Bass,Bass Management Lake,Taftville Reservoir No 1,0, ,2838,Taftville Reservoir No 1,5834.16658927656,1118666.83871609
155,Trout,Wild Trout Management Area (Class 1),"Entire river in Southington, and in Cheshire upstream from Cheshire Street.",1405,Quinnipiac River,0, ,72518.9800598097,1900874.79690549
156,Trout,Trout Management Area/Trout Park,From confluence of Blackledge and Jeremy Rivers downstream to Rte. 16,1500,Salmon River,0, ,55554.6285796248,2830154.44814027
157,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3024.78754655581,119750.223716499
158,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,829.49890406376,37791.5091442995
159,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2530.19237151444,121409.326576205
160,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9400.37301164325,620219.058693825
161,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4148.55646039097,198880.214206908
162,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1192.87595287485,36590.0477432451
163,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2615.2385622203,96334.0546601052
164,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,17815.7010106807,1369523.389905
165,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1866.14654571919,66643.6111029257
166,Trout,Trophy Trout Stream,Entire river in Woodbury and Southbury (from near Rt. 47 to the confluence with Lake Zoar).,1357,Pomperaug River,0, ,20389.0120398428,305635.040928952
167,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,17805.7048093961,1067966.42409044
168,Northern Pike,Northern Pike Management Area,Pachaug Pond,1259,Pachaug River,2134,Pachaug Pond,7698.53617205019,867749.264377441
169,Bass,Bass Management Lake,Spaulding Pond,0, ,2689,Spaulding Pond,3909.73103755566,622698.560247203
170,Trout and Walleye,Trophy Trout / Walleye Management Lake,Squantz Pond,652,Glen Brook,2719,Squantz Pond,28210.3425600501,11622071.5631751
171,Trout,Trophy Trout Stream,Entire river in Woodbury and Southbury (from near Rt. 47 to the confluence with Lake Zoar).,1357,Pomperaug River,0, ,5446.57757562278,95879.7940734941
172,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6115.68895032981,467064.922232214
173,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9218.94780572376,443558.854677839
174,Bass,Bass Management Lake,Pickerel Lake,0, ,2234,Pickerel Lake,14162.3588365384,3576706.77982881
175,Trout,Trophy Trout Stream,Entire river in Woodbury and Southbury (from near Rt. 47 to the confluence with Lake Zoar).,1357,Pomperaug River,0, ,11869.4331725742,280731.780054167
176,Bass,Bass Management Lake,Lake Hayward,0, ,1507,Lake Hayward,20347.3369876271,7510199.16252461
177,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5994.54663680848,449428.304447694
178,Trout,Trophy Trout Lake,Lake Candlewood,0, ,1490,Lake Candlewood,4954.48086923564,686610.672043259
179,Bass,Bass Management Lake,Black Pond,0, ,239,Black Pond,6925.76840321303,1531366.06789799
180,Bass and Walleye,Bass / Walleye Management Lake,Gardner Lake,1915,Whittle Brook,985,Gardner Lake,30886.4156819215,22968838.4666127
181,Trout,Trophy Trout Stream,Entire river in Woodbury and Southbury (from near Rt. 47 to the confluence with Lake Zoar).,1357,Pomperaug River,0, ,109793.39657322,2959007.79144864
182,Trout and Bass,Trophy Trout / Bass Management Lake,Amos Lake,0, ,33,Amos Lake,13730.652853355,4897188.16508967
183,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1336.7681478372,46787.2070651112
184,Bass,Bass Management Lake,Black Pond,0, ,238,Black Pond,2488.4008536818,173742.298118186
185,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4119.25387039392,321483.285292487
186,Bass,Bass Management Lake,Moodus Reservoir,1325,Pine Brook,1902,Moodus Reservoir,61417.6060993845,19198670.2799867
187,Bass,Bass Management Lake,Billings Lake,0, ,216,Billings Lake,17084.1788022153,4132876.22627116
188,Trout,Trophy Trout Lake,Lake Candlewood,0, ,1490,Lake Candlewood,8757.59038913197,2232198.72837042
189,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,0, ,2197,Pecks Meadow Pond,3415.16848830276,569549.308344059
190,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5960.83854766495,343322.859126636
191,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3718.15742851002,267949.913906496
192,Trout,Wild Trout Management Area (Class 3),Entire stream in Montville,1684,Stony Brook,2771,Stony Brook Reservoir,9125.95499074833,3250878.53914629
193,Bass,Bass Management Lake,Bashan Lake,0, ,127,Bashan Lake,28316.0774740248,11567107.0965521
194,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5841.44342626729,403109.279516224
195,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1527.01546083691,63553.5278468225
196,Bass,Bass Management Lake,Wyassup Lake,0, ,3586,Wyassup Lake,13628.9600368686,4309741.26154564
197,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2277.97896873475,82101.9095445605
198,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4214.16123758308,285784.422549265
199,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,39745.2373897732,8639913.81518807
200,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,413.184027851769,8678.92246867949
201,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,2118.88269104543,212826.419649856
202,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,2623.91647072253,219949.358889265
203,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1172.61744044497,83176.7272287144
204,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1195.14504304394,49475.0714959185
205,Trout,Wild Trout Management Area (Class 3),Entire stream in Montville,1684,Stony Brook,0, ,597.830056379577,21466.4279540617
206,Trout,Wild Trout Management Area (Class 3),Entire stream in Montville,1684,Stony Brook,0, ,456.628215335379,11608.4684232099
207,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,580.22679637569,23009.4921670576
208,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,805.274613696892,15154.5643723667
