52.county,Sptanislaus,Stanislaus
55.notes,kNo surgeries in the 28 surgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
7.notes,No surgeries in the 28 surgical procedure categories wee performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
52.facilityname,Centravl Valley Specialty Hospital,Central Valley Specialty Hospital
16.notes,No surgeries in the 28 surgical procedure categories were preformed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
5.facilitytype,Majorr Teaching,Major Teaching
24.statevalue,Califobrnia,California
57.hai,Surgical Site Infections o(SSI),Surgical Site Infections (SSI)
13.yearvalue,020H1,2020H1
44.notes,No surgeries in the 28 surgical procedure categories were performed infirst half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
27.facilityname,"Kindred Hospital, Ontaroi","Kindred Hospital, Ontario"
34.facilityname,Kindred Hospiatl Paramount,Kindred Hospital Paramount
17.notes,No surgeries in the 28 surgical procedure categories were performed in firsthalf of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
10.hai,Surgical SiteI nfections (SSI),Surgical Site Infections (SSI)
36.facilitytype,Long-eTrm Acute Care,Long-Term Acute Care
21.facilitytype,Free-Stanvding Rehabilitation,Free-Standing Rehabilitation
6.hai,Surgical Site Infections (SI),Surgical Site Infections (SSI)
40.statevalue,alifornia,California
16.hai,Surgical Site Infectinons (SSI),Surgical Site Infections (SSI)
33.hai,Srgical Site Infections (SSI),Surgical Site Infections (SSI)
13.notes,No surgeries in the 28 surgical procedure categories were perormed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
23.facilityname,"Kindred Hosiptal, Riverside","Kindred Hospital, Riverside"
51.facilitytype,Criticla Access,Critical Access
28.facilityname,Southern Clifornia Hospital at Hollywood,Southern California Hospital at Hollywood
29.hai,Surgical Sit eInfections (SSI),Surgical Site Infections (SSI)
49.facilitytype,Critical Acess,Critical Access
65.facilitytype,"Community, <t125 Beds","Community, <125 Beds"
7.facilityname,Glenn MedicalC enter,Glenn Medical Center
13.county,odoc,Modoc
60.county,Los Anglees,Los Angeles
32.facilityname,Encio Hospital Medical Center,Encino Hospital Medical Center
11.notes,No surgeries in the 2c8 surgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
5.yearvalue,200H1,2020H1
1.facilitytype,Free-Stnding Rehabilitation,Free-Standing Rehabilitation
11.county,Tularoe,Tulare
55.yearvalue,220H1,2020H1
61.hai,Surgical Site Infections j(SSI),Surgical Site Infections (SSI)
5.statevalue,Califonia,California
41.notes,No surgeries in the 28 surgical procedure categories were performed in firsth alf of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
9.yearvalue,20201H,2020H1
36.notes,No surgeries in the 28 surgical procedurte categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
65.hai,Surgical Site Infetcions (SSI),Surgical Site Infections (SSI)
54.facilityname,Enloe Rehabivlitation Center,Enloe Rehabilitation Center
6.notes,No surgeries in the 28 surgibcal procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
51.hai,Surgical Site Inefctions (SSI),Surgical Site Infections (SSI)
35.yearvalue,2020jH1,2020H1
62.notes,No surgeries in the 28 surgical procedure categoriesw ere performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
18.facilityname,"Kindred Hospitqal, Westminster","Kindred Hospital, Westminster"
17.hai,Srgical Site Infections (SSI),Surgical Site Infections (SSI)
25.notes,No surgeries in the 28 surgical procedure categories were perforsmed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
35.facilityname,"Healthbridge Childrne's Hospital, Orange","Healthbridge Children's Hospital, Orange"
27.hai,Surgical Siteo Infections (SSI),Surgical Site Infections (SSI)
4.county,Mrodoc,Modoc
54.hai,Surgical Site Infetcions (SSI),Surgical Site Infections (SSI)
55.facilityname,Fairmont Hopsital,Fairmont Hospital
45.facilitytype,Long-Term Acute Cae,Long-Term Acute Care
19.yearvalue,20d20H1,2020H1
47.notes,No srgeries in the 28 surgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
30.hai,Surgical Site Infection s(SSI),Surgical Site Infections (SSI)
5.notes,No qsurgeries in the 28 surgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
52.hai,Surgical Site Infectons (SSI),Surgical Site Infections (SSI)
9.statevalue,Califrnia,California
19.county,nKern,Kern
8.statevalue,Cnalifornia,California
41.county,aMrin,Marin
