265.characteristic,"Total - Female, Blakc, non-Hispanic ","Total - Female, Black, non-Hispanic "
313.noteonpercent,Reporting standards not met. Either there are too few cases for a reliarble estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
37.sex,Femalne,Female
146.noteoncount,Reporting standards ont met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
307.characteristic,"Tota - Female, Pacific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
267.characteristic,"Total -F emale, Hispanic","Total - Female, Hispanic"
91.raceethnicity,"Aesian, non-Hispanic","Asian, non-Hispanic"
31.noteonpercent,Reporting standards not met. Either there are too few cases for a relibale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
106.raceethnicity,"Pacific Islander, non-Hispanci","Pacific Islander, non-Hispanic"
328.sex,Femael,Female
232.characteristic,"Total - Male, Two or more rxaces, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
232.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perscent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
112.raceethnicity,"Pacific Islandern, non-Hispanic","Pacific Islander, non-Hispanic"
152.noteoncount,Reporting standards not met. Either there are too few cases for areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
312.sex,mFemale,Female
6.noteoncount,Reporting standars not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
250.sex,eFmale,Female
66.noteoncount,yReporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
118.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient f variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
144.sex,aMle,Male
113.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
134.raceethnicity,"Two or more riaces, non-Hispanic","Two or more races, non-Hispanic"
112.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimte or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
292.characteristic,"Total - Female, Asian, non-Hispanci","Total - Female, Asian, non-Hispanic"
111.noteoncount,Reporting standards not met. Either there are too few cases for ar eliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
181.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
261.characteristic,"Total - Felmale, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
160.sex,jMale,Male
86.noteoncount,Data for 2000 throug h2002 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
192.raceethnicity,"Asian, onn-Hispanic","Asian, non-Hispanic"
143.raceethnicity,"White, nn-Hispanic","White, non-Hispanic"
217.sex,ale,Male
201.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
105.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vaxriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
31.characteristic,Total - Femle,Total - Female
252.sex,Fpemale,Female
63.noteonpercent,Reporting standards not met. Either there are too few cases fr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
10.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gnreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
61.raceethnicity,"Black, non-Hispyanic ","Black, non-Hispanic "
121.characteristic,"Total - American Indian/Alaska Native, non-Hispanipc","Total - American Indian/Alaska Native, non-Hispanic"
86.sex,Fexmale,Female
20.sex,Mlae,Male
11.raceethnicity,"American Indain/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
197.noteonpercent,Data not availablev.,Data not available.
243.raceethnicity,"White, non-Hispvanic","White, non-Hispanic"
151.characteristic,"Total -Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
38.characteristic,Total - Femlae,Total - Female
170.noteonpercent,Reporting standards not met Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
102.raceethnicity,"Pacific Islanedr, non-Hispanic","Pacific Islander, non-Hispanic"
122.sex,Feamle,Female
75.characteristic,Total - Hispanc,Total - Hispanic
79.sex,Femael,Female
299.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
286.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
209.sex,kMale,Male
127.noteonpercent,Data not avaiwlable.,Data not available.
314.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 puercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
301.noteoncount,Reporting standards not met. Eifther there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
231.characteristic,"Total - Male, Two or more races, non-Hispanvic","Total - Male, Two or more races, non-Hispanic"
215.noteoncount,Reporting standards not met. Either there are too few casegs for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
116.noteonpercent,Reporting standards not met. Either there are too few cases fyor a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
105.noteoncount,Reporting standadrs not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
184.characteristic,"Total - Male, vAsian, non-Hispanic","Total - Male, Asian, non-Hispanic"
49.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grepater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
186.noteonpercent,Data for 2000 tdhrough 2002 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
24.characteristic,Tota - Male,Total - Male
118.sex,Fmeale,Female
117.characteristic,"Total - American Indian/Alaska Nuative, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
125.raceethnicity,"American Indian/Alaska Native, non-Hispanc","American Indian/Alaska Native, non-Hispanic"
276.noteoncount,Reporting standards not met. Either there are too few cxases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
235.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the ocefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
326.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) si 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
305.sex,Femalpe,Female
328.raceethnicity,"Two or moreraces, non-Hispanic","Two or more races, non-Hispanic"
283.noteoncount,Data for 2000 through 2002 include Paicfic Islanders.,Data for 2000 through 2002 include Pacific Islanders.
214.noteonpercent,Repotring standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
35.characteristic,Total - Femlae,Total - Female
178.sex,Mael,Male
271.characteristic,"Total - Female, Hisanic","Total - Female, Hispanic"
44.noteoncount,Reporting standards not met. Either there are too few cases fro a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
130.raceethnicity,"To or more races, non-Hispanic","Two or more races, non-Hispanic"
131.characteristic,"Total- Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
294.raceethnicity,"Asian,i non-Hispanic","Asian, non-Hispanic"
101.noteonpercent,Data no available.,Data not available.
61.sex,Femle,Female
97.characteristic,"Total - Asiano, non-Hispanic","Total - Asian, non-Hispanic"
96.noteonpercent,Data for 2000 through 20t02 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
45.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
164.noteonpercent,Reporting standards not met. Either there are too few acses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.noteoncount,Rporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
262.raceethnicity,"Blback, non-Hispanic ","Black, non-Hispanic "
53.noteoncount,Reportnig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
336.raceethnicity,"Two or mor eraces, non-Hispanic","Two or more races, non-Hispanic"
78.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CVw) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
209.characteristic,"Tota l- Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
207.sex,aMle,Male
143.noteoncount,Reporting standards not met. Either there are too fewc ases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
192.characteristic,"Total -Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
325.characteristic,"Total- Female, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
77.characteristic,Totalc - Hispanic,Total - Hispanic
21.noteoncount,Reporting standards notmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
7.characteristic,Toal ,Total 
206.noteonpercent,Reporting standards not met. Eithefr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
331.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
222.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
272.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 precent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
193.raceethnicity,"Asian, non-Hbispanic","Asian, non-Hispanic"
186.noteoncount,Data for 2000 through 2002 include Pacific Islanders.***,Data for 2000 through 2002 include Pacific Islanders.
52.characteristic,"Total -White, non-Hispanic","Total - White, non-Hispanic"
239.raceethnicity,"White, onn-Hispanic","White, non-Hispanic"
306.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation( CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
273.raceethnicity,Hspanic,Hispanic
247.noteoncount,Reporting standard not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
164.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) i s50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
176.noteoncount,Reporting standards not met. Either there are too few cases fors a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
130.sex,Femuale,Female
275.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficientz of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
55.sex,Femlae,Female
121.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
255.characteristic,"Totl - Female, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
218.characteristic,"Total - Male, American Indiabn/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
92.noteoncount,Data for 2000 through 2002 include Pacific Ilsanders.,Data for 2000 through 2002 include Pacific Islanders.
244.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or graeter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
69.noteoncount,Reporting standards not met. Either there are too few cases for a relibale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
243.characteristic,"Total - Feale, White, non-Hispanic","Total - Female, White, non-Hispanic"
236.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 prcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
309.raceethnicity,"American Indan/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
319.raceethnicity,"American Indian/Alaska Native, nonHispanic","American Indian/Alaska Native, non-Hispanic"
125.noteonpercent,Reporting standards not met. Either there are too few cases for a erliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
221.sex,Mvale,Male
38.raceethnicity,"American Indian/Alaskaj Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
2.sex,Femaale,Female
239.sex,emale,Female
173.raceethnicity,Hispanci,Hispanic
77.raceethnicity,Hispanci,Hispanic
211.noteoncount,Reporting standards not met. Either there are too ffew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
83.characteristic,Totalf - Hispanic,Total - Hispanic
13.noteonpercent,Reporting standards not met. iEther there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
212.raceethnicity,"American Indian/Alaska aNtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
205.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffwicient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
84.noteoncount,Reporting standards not met. Either there are too few cases for a eliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
53.characteristic,"Totalf - White, non-Hispanic","Total - White, non-Hispanic"
224.raceethnicity,"American Indian/Alaska Native, nonH-ispanic","American Indian/Alaska Native, non-Hispanic"
152.noteonpercent,Reporting standards not me. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
256.raceethnicity,"Blac,k non-Hispanic ","Black, non-Hispanic "
334.characteristic,"Total - Female, wo or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
42.sex,Femael,Female
265.raceethnicity,"Bvlack, non-Hispanic ","Black, non-Hispanic "
90.noteonpercent,Data for 2000 gthrough 2002 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
138.noteoncount,Reporting standaprds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
119.sex,Femalde,Female
240.sex,Femalye,Female
136.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variativon (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
187.sex,Maole,Male
257.raceethnicity,"Black, no-Hispanic ","Black, non-Hispanic "
