OBJECTID,SLRU_ID,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,SLRU_NR,ADMIN_FO_NM,SLRU_EVAL,SLRU_ORIG_DT,SLRU_MOD_DT,SL_OVRL_RT,SL_OVRL_TX,SLRU_NRTV,GlobalID,created_date,last_edited_date,SHAPE_Length,SHAPE_Area
62,SLCON04000062,CO,N04000,COG02000,062,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{061C3FA4-2EC8-4625-8235-36BF5DF9C385},,2018/02/20 19:26:12+00,26444.6390677409,15591890.6813984
63,SLCON04000063,CO,N04000,COG02000,063,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{FA6204CE-2422-4FAC-8F6D-70452C154D59},,2018/02/20 19:26:23+00,3999.86815756751,679742.736801258
64,SLCON04000064,CO,N04000,COG02000,064,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{35EE5A72-4E26-4582-BD5B-C2F000EE0F8A},,2018/02/20 19:26:36+00,7542.6705358382,2290603.23970354
65,SLCON04000065,CO,N04000,COG02000,065,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{47FDEEF2-267D-4B62-920D-E8B29FBFEBC1},,2018/02/20 19:26:47+00,22397.5665871314,19320199.4389337
66,SLCON04000066,CO,N04000,COG02000,066,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{BA204001-F8FE-4F93-82C4-7AD176DA04E2},,2018/02/20 19:27:00+00,4832.80605516248,1058703.06642329
67,SLCON04000067,CO,N04000,COG02000,067,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{2060416C-01EC-4E34-9E59-9D4EB4DC1C48},,2018/02/20 19:28:07+00,16642.6816243549,6011505.66975755
68,SLCON04000009,CO,N04000,COG02000,009,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{5CD7CA1B-1773-43C7-B09E-63F1CB8B1F0C},,,13199.7584992423,4345238.75072059
69,SLCON04000010,CO,N04000,COG02000,010,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{95DC75AF-1066-4184-A0AD-1BD32B3AEC68},,,7535.76671951922,3107546.26369995
70,SLCON04000011,CO,N04000,COG02000,011,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{47040CCF-BFCC-4DDD-BC23-E7688839A45D},,,10355.5868351141,3549029.01828186
71,SLCON04000012,CO,N04000,COG02000,012,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Low,Unknown,,{98201BEB-C3FC-4EBF-A541-7CAF451CD5DE},,,20724.8848328695,5259683.67002694
72,SLCON04000013,CO,N04000,COG02000,013,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Low,Unknown,,{B66037E9-2981-4F91-AA92-9A314AA393DC},,,1301.35273286128,89004.0082982541
73,SLCON04000014,CO,N04000,COG02000,014,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{160ABFDA-BDAD-4343-A409-EFDAE72C067B},,,8385.84344203521,2240879.65423605
74,SLCON04000015,CO,N04000,COG02000,015,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Low,Unknown,,{3DB47CFE-C14D-4FEF-9065-FE98ABFC115C},,,1169.80019118384,58981.7356623463
75,SLCON04000016,CO,N04000,COG02000,016,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{E3BB8CA5-3F7B-492A-BE5A-EA39C894A63D},,,82375.657165546,195554534.752769
76,SLCON04000017,CO,N04000,COG02000,017,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{1B625145-7879-44EF-B0E3-1F80EFD37ECE},,,171773.579454471,608550825.925962
77,SLCON04000018,CO,N04000,COG02000,018,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,High,Unknown,,{43D8C6A0-51DC-4D3B-A00E-A1B524578395},,,43349.0295550083,66058065.8498407
78,SLCON04000019,CO,N04000,COG02000,019,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{A958C39B-2861-4A65-8FF8-754781E6EAC2},,,20746.593378084,8657923.44423582
79,SLCON04000020,CO,N04000,COG02000,020,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Low,Unknown,,{7D94F5B6-ABAC-4AF8-9371-65874A3387FF},,,39183.6881502859,42501722.6786354
80,SLCON04000021,CO,N04000,COG02000,021,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{4819BEA3-13A3-4540-9AB6-DD41F40BC551},,,56329.5259325739,67882028.801896
81,SLCON04000022,CO,N04000,COG02000,022,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{E00F7D03-A60F-4A60-99EF-3C66AD166FD5},,2014/03/19 20:13:08+00,76461.2443592468,49053486.4653477
82,SLCON04000023,CO,N04000,COG02000,023,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{BD3AF24F-5C6D-4DBC-889C-21B0C584FF12},,,25030.614956449,20876090.7532062
83,SLCON04000024,CO,N04000,COG02000,024,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Low,Unknown,,{7ACC2458-7E26-42BE-A6D5-AF6CC9B62599},,2014/03/19 20:13:08+00,3470.56594478879,6505.91726985433
85,SLCON04000026,CO,N04000,COG02000,026,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{6ED16BED-AB34-41BB-A637-B656D8A4087E},,2014/03/19 20:13:08+00,94184.9947658942,103963196.234336
86,SLCON04000027,CO,N04000,COG02000,027,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{C4E2A949-2421-4817-96CE-F63F79C1F698},,,45888.8151533611,73877784.3628051
87,SLCON04000028,CO,N04000,COG02000,028,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{3AD08A65-AF61-4421-AA10-F3C58970512A},,2014/03/19 22:15:43+00,124871.307935813,392060185.666919
88,SLCON04000029,CO,N04000,COG02000,029,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,High,Unknown,,{A3F494B8-1D26-4A7D-B1F1-CE60D1480A06},,2014/03/19 20:13:08+00,720938.004202327,1286411644.05254
89,SLCON04000030,CO,N04000,COG02000,030,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{B5D9494F-705D-4C2D-BF07-5B8C7F51A0E5},,,117032.785999013,193363819.356541
90,SLCON04000031,CO,N04000,COG02000,031,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{8CF64DA2-A467-4A53-BAD6-BBD9EDCC4A7C},,,1571.90445425884,167906.678531043
91,SLCON04000032,CO,N04000,COG02000,032,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{99384FFB-C38D-440C-B28A-B13DCD5C171D},,,17962.209953047,8465781.38192233
92,SLCON04000033,CO,N04000,COG02000,033,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,High,Unknown,,{79D8D6F3-FE54-4D4E-AA80-C9B67655DF9E},,,6720.52119477763,1016384.08725319
93,SLCON04000034,CO,N04000,COG02000,034,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{8F33CF52-F88A-4CD1-A03C-30131ADBDCAA},,,49123.0873919248,76155684.8715309
94,SLCON04000035,CO,N04000,COG02000,035,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,High,Unknown,,{BF0E4462-B917-43BE-BF43-066EE171A064},,,9805.12984338067,2339577.49617564
95,SLCON04000036,CO,N04000,COG02000,036,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{BD9F6C6F-DD9C-4947-A423-740C8C821D4E},,,105034.517583967,162185000.17376
96,SLCON04000037,CO,N04000,COG02000,037,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{DB9A3031-508B-495F-B790-E237EEA23DC5},,,24870.3863518266,32187758.0012014
97,SLCON04000038,CO,N04000,COG02000,038,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{7EE30A56-CE6D-42CA-A8AA-92BEA14D7DB2},,,9208.73728635469,2444178.33279032
98,SLCON04000039,CO,N04000,COG02000,039,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{9210A1D4-8F70-4DC5-9622-04DB6CCC513E},,,10635.3588313077,4959533.26202894
99,SLCON04000040,CO,N04000,COG02000,040,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{C84EF0C3-3921-410F-8E29-A8E8B758AE2E},,,38719.6630544104,47179647.4684123
100,SLCON04000041,CO,N04000,COG02000,041,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,High,Unknown,,{1DB461F8-C920-4D4F-BE59-9000ED3B1C6F},,,616865.770760886,1283392246.88078
101,SLCON01000001,CO,N01000,CON01000,001,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,High,"High use and high sensitivity, area also well-known worldwide.","SLRU represents fringe of mountainous NFS lands, including the Yampa River corridor leading into this area.",{943CD3D3-741E-4698-BE7C-C1E193754DA6},,,725305.329376959,1972089292.48291
102,SLCON01000004,CO,N01000,CON01000,004,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,High,High sensitivity due to high scenic and recreational use.,"SLRU represents finge area of NFS lands used mostly for hunting, fishing, camping, and backpacking.",{00FDFEBA-C873-431E-BA45-87AAB01E7B50},,,106810.229542108,105805817.442481
103,SLCON01000003,CO,N01000,CON01000,003,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,"Access issues affect amount of recreational use. Some historical sites. Grazing, tourism; highway use-somewhat low, hunting, ranching.",SLRU represents and area where land is used infrequently by the general public.,{0BDC34A4-95FF-4CE2-800D-D7EDAC710984},,,207819.572378904,711094647.030464
104,SLCON01000007,CO,N01000,CON01000,007,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,Some public interest due to seasonal use.,"SLRU represents areas north and south of the Yampa river, where seasonal hunting use is particularly high.",{1069C7B2-4758-4E8B-A009-A8EFFB8AEE97},,,170599.139871807,461856553.64771
105,SLCON01000018,CO,N01000,CON01000,018,Little Snake,"CJohnson, MMeyer, GRobison, SDittlinger",2011/08/25 00:00:00+00,,High,High public interest and special area ratings with controversial Wild and Scenic River proposal and Little Yampa Canyon SRMA. Public input included this area as highly sensitive.,"SLRU represents an area of relatively low use, with high public sensitivity.",{C9115668-A2C3-47B1-A6BD-6423DED6BC28},,,65084.4621196588,265884259.108552
106,SLCON01000008,CO,N01000,CON01000,008,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,Some public sensitivity due to river setting.,SLRU represents area of the Yampa River valley where boating and fishing are popular.,{CD3173E6-E05A-410A-A553-4B4A74F7D102},,,101860.810414486,203948686.809087
107,SLCON01000009,CO,N01000,CON01000,009,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Low,Low sensitivity as access issues limit use.,"SLRU represents the mostly private Danforth Hills area, where oil and gas, grazing, some recreational hunting are common.",{3EC9B59A-EBE5-46E8-80C5-17A7C3E29A01},,,234344.557642576,1024105785.79061
108,SLCON01000017,CO,N01000,CON01000,017,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,Some interest due to proximity to Craig.,SLRU represents an area of high recreation use due to it's close porximity to Craig.,{55D4A81C-7D3E-4D4C-B543-5F47118722E1},,,27036.0585288465,58166129.8985814
109,SLCON01000012,CO,N01000,CON01000,012,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,High,High sensitivity even though use/visibility is limited,SLRU represents Douglas Mountain area of limited hunting and hiking/backpacking use adjacent to Dinosaur National Monument.,{968CAEE3-7AED-4CB5-8B19-3A275258C47F},,,233370.955862231,634768438.012167
110,SLCON01000016,CO,N01000,CON01000,016,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,High,High sensitivity due to wide range of outdoor activities.,"SLRU represents area used for dispersed recreation, including Browns Park National Wildlife Refuge, Gates of Lodore access, Butch Cassidy history, and the swinging bridge.",{3BAC3E3B-6798-465E-A784-A6DF9C7BB89F},,,142330.763724387,291303346.802029
111,SLCON01000011,CO,N01000,CON01000,011,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Low,"Low sensitivity due to disparate types of use and existing transmission line, public input included 'low' rating.",SLRU represents area used mostly for OHV recreation and wild horse viewing.,{8D872DD3-4562-4B00-8782-69AF93641F06},,,84536.8307750938,347163674.665019
112,SLCON01000014,CO,N01000,CON01000,014,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,High,"Some public interest, but remote","SLRU represents Irish Canyon area used for camping, hiking, archaeology, and travel to Rock Springs.",{D21607BA-0447-48EB-B2DE-75723C79B137},,,48943.3284043031,132908842.065623
113,SLCON01000005,CO,N01000,CON01000,005,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,Some public interest but limited public use.,"SLRU represents areas adjacent to Black Mountain, Freeman Reservoir, and Wilderness Ranch used for grazing, hunting, ranching, and some oil and gas development.",{E1367899-1BB2-463F-94FC-AC90F3399A7C},,,364444.903552697,1702630513.25963
114,SLCON01000013,CO,N01000,CON01000,013,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,Environmental and oil/gas controversy,SLRU represents area sensitive to controversy over potential use for oil and gas development.,{12CAE033-9660-408A-BFA4-05864AB449EF},,,141140.604690838,564194776.600816
115,SLCON01000015,CO,N01000,CON01000,015,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,High,Users are highly sensitive.,SLRU represents remote area used primarily for grazing and trophy hunting.,{2A232604-34A2-4503-89DA-E3BFDD76FE8C},,,62179.1439122679,194569680.157666
116,SLCON01000006,CO,N01000,CON01000,006,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Low,Low use or interest may be due to lack of visibility.,"SLRU represents vast, mostly flat area used for recreation, grazing, oil and gas, wildlife viewing, and hunting.",{D4A00AE3-6A75-42EF-A6AC-B5042472AEB8},,,414332.794998744,2918802845.79231
117,SLCON01000019,CO,N01000,CON01000,019,Little Snake,"GRobison, SDittlinger",2011/09/26 00:00:00+00,,High,Scenic area used for hunting and wildlife viewing,"SLRU represents cenic area adjacent to Little Snake River used for hunting, wildlife viewing, and heritage tourism.",{D8134E68-4174-4EE9-94B3-BDA835290C19},,,79864.0751294765,287185430.832147
118,SLCON01000002,CO,N01000,CON01000,002,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,"Forest land nearby, conflicting user groups.",SLRU represents area of mostly local hunting interest.,{BFDC9CB3-0EA7-4B67-A31C-DE03AE270E44},,,109610.103157189,221579382.87604
119,SLCON01000010,CO,N01000,CON01000,010,Little Snake,"MMeyer, LNordan, CJohnson, GRobison, SDittlinger, SSales, LSabeff",2011/07/21 00:00:00+00,,Moderate,Some local sensitivity due to controlled use.,"SLRU represents area of elevated local sensitivity used for hunting, grazing, auto travel on Highway 318, and access to ACEC's, Brown's Park, Sand Wash, Vermillion Basin, WSA's, Dinosaur Mountain, and Vermillion Falls.",{3D22344C-DAF7-4069-B5BC-CC9F94001660},,,425828.170289464,1382160837.7124
120,SLCON05000013,CO,N05000,CON05000,013,White River,"Chad, Ted, Julie",2011/07/21 00:00:00+00,,Low,"Lack of access; interest of development in the areas.","Oil and gas, predominantly private (industry-owned); DOE-naval oil shale. Public interest-vegetative interest and variety-oaks, aspen. Adjacent  users cannot see much of the area.",{7640E460-1BDC-4EE5-97EF-807893CC02EC},,2014/03/19 20:13:08+00,174195.760245224,637577385.055114
121,SLCON05000024,CO,N05000,CON05000,024,White River,"Chad, Jimmy",2011/08/31 00:00:00+00,,High,WSA and public interest requested higher rating.,"Limited use by locals for hunting, and oil and gas industry as unit is isolated with minimal access. Area is visible from southern end of the scenic byway; public interest rated higher due to WSA.",{FC9DBFCE-8DA7-4608-8377-73C20A5C1055},,2018/04/26 19:06:34+00,69389.034242803,252067149.695568
122,SLCON05000007,CO,N05000,CON05000,007,White River,"Ted, Julie, Chad, Jimmy",2011/07/21 00:00:00+00,,High,"Visible from scenic byway, Cathedral Bluffs; public requested higher rating","Due to livestock and hunting use, disturbance would be noticeable. Minimal use by ranchers and hunters; Bluffs can be seen from scenic byway, so  public would be sensitive to change of setting.  Use of adjacent land would impact the byway.",{B1384173-E3F2-4167-9E4A-B4315C2D8129},,,136979.798900622,679980622.907267
123,SLCON05000006,CO,N05000,CON05000,006,White River,"Ted, Julie, Chad",2011/07/21 00:00:00+00,,Moderate,"WSA and scenic byway with isolated, limited access.","Isolated with minimal access, but used for hunting, livestock, and oil and gas.  WSA visible from adjacent land (south end of byway), but area is not well known except as a destination.",{BCC02F89-D27B-4390-8D94-FCD9CDD86415},,,161760.995449286,418032720.700504
124,SLCON05000018,CO,N05000,CON05000,018,White River,"Ted, Chad, Julie",2011/07/21 00:00:00+00,,Moderate,"High use, some sensitivity by users.","A lot of commuter, oil and gas, industry traffic from Rifle.  There is limited visibility from adjacent uses. Gateway to Meeker from south.",{435FFD85-86FF-45E5-8647-5AE077E73A90},,2014/03/19 20:13:08+00,90668.1796095153,135363757.689075
125,SLCON05000019,CO,N05000,CON05000,019,White River,"Ted, Chad, Julie",2011/07/21 00:00:00+00,,High,"Moderate use, but is a destination for a lot of recreational use.","Used by ranchers, agricultural, some residential, some summer and autumn recreation, hunting, and camping. These well-known, highest concentration of recreational sites are  destination for large number of visitors.  Meeker and National Forest adjacent.",{F5AB2550-7BCF-4629-AF3F-40C5879BB9CA},,2014/03/19 22:15:44+00,137693.332589123,343376259.252496
126,SLCON05000020,CO,N05000,CON05000,020,White River,"Chad, Ted, Julie",2011/07/21 00:00:00+00,,High,"High use, high sensitivity, very scenic.","Lots of recreational use and access; some ""trophy"" (custom) homes. High public interest due to scenic byway and gateway to Forest and Wilderness Area. Views of and visible from adjacent lands including the National Forest.",{8DA6D216-7608-4CD8-B648-8201F6BFE69F},,,133604.347032442,201227767.054231
127,SLCON05000004,CO,N05000,CON05000,004,White River,"Ted, Julie",2011/07/21 00:00:00+00,,Low,"Low use, mostly oil and gas, some hunting, fairly isolated","Used mostly for oil and gas, hunting, and rangeland for livestock use.  Insignificant landmarks; not visible from adjacent areas.",{B9E6C1E6-6797-4911-A0BC-DF1D69574B4D},,,75811.8173052729,388437688.084118
128,SLCON05000005,CO,N05000,CON05000,005,White River,"Ted, Julie",2011/07/21 00:00:00+00,,High,"High use, well known worldwide, destination","Dinosaur Diamond Byway and Canyon Pintado historic/cultural district, byway draws year-round, world-wide tourists, especially to Dinosaur Monument; not very visible from adjacent land uses (valley).  Small amount of oil and gas traffic.",{0B8CD5BA-FAC4-4E74-BDA1-FBD4B5D0FD1F},,,126937.48174455,461829679.648809
129,SLCON05000012,CO,N05000,CON05000,012,White River,"Chad, Ted, Julie",2011/07/21 00:00:00+00,,Moderate,"A lot of interest, a lot of use.","A lot of oil and gas, some hunting, some livestock/range, and industry traffic. Public interest in Herd Management areas, oil shale, oil and gas industry. Not really visible from surrounding areas; special areas are ACECs, HMA, bladder pod.",{EF49189B-6599-45D8-8EE9-99223DEB5B22},,,143923.807281355,1456681428.87174
130,SLCON05000010,CO,N05000,CON05000,010,White River,"Ted, Chad, Julie",2011/07/21 00:00:00+00,,Moderate,"Public interest, highly travelled corridor.","Used for moderate levels of commuting and tourists.  Much seasonal tourist traffic due to riparian interest/color.  Also serves as a link between Meeker/Rangely, especially Meeker's historic district, and a small portion of adjacent Black Mountain WSA.",{74F6C79E-C390-475F-93ED-FFE2C341C635},,,200318.866832274,365536351.096633
131,SLCON05000014,CO,N05000,CON05000,014,White River,"Chad, Ted, Julie",2011/07/21 00:00:00+00,,Moderate,"Scenic drive with local interest, but low usage.","Limited use by local traffic, and ranchers but visual change would be of concern.  Only local interest as visibility from outside unit is low; no special areas.",{0D60F1C9-C988-419F-B6FA-3205666664CD},,,36907.789213243,61453927.0787826
132,SLCON05000023,CO,N05000,CON05000,023,White River,"Chad, Jimmy",2011/08/31 00:00:00+00,,Low,Public interest is low and public requested lower rating.,"Oil and gas on private and public land; only scenic byway of public interest.  No special areas within the unit; two ACECs adjacent.",{D5D75509-F092-45CB-B21C-501F8E9A1588},,2018/04/26 19:03:42+00,53509.8337806481,147876405.354548
133,SLCON05000011,CO,N05000,CON05000,011,White River,"Chad, Ted, Julie",2011/07/21 00:00:00+00,,High,"Public interest, long-time users, Meeker community.","Used seasonally by hunters, recreationists, ranchers, landowners, outfitters, and long-time users.  Proximity adjacent to Meeker and WSA.",{DED4A821-2C29-44F0-91FD-81F87261B126},,,51256.5691017117,147990623.83387
134,SLCON05000015,CO,N05000,CON05000,015,White River,"Ted, Chad, Julie",2011/09/08 00:00:00+00,,High,"High public interest; moderate level of use, important areas -  Thornburgh cultural site.","Moderate level of use by ranchers, homes, some hunting, coal mine.  Adjacent to Meeker and to Routt National Forest. Areas of special interest to tourists is the Thornburgh Battle Site.",{8949D4CC-26D6-479D-90A9-5D95A362A86D},,,139430.367855699,360657956.743355
135,SLCON05000016,CO,N05000,CON05000,016,White River,"Ted, Chad, Julie",2011/07/21 00:00:00+00,,Moderate,"Heavy use, but not a lot of interest.","Moderate to a lot of mining, industry, commuter traffic on Hwy 13, heavily travelled area but not a lot of interest or terribly scenic. Area is not very visible from adjacent uses.",{EF866FE3-9FBB-42D9-95D2-D707A96FADD4},,,36066.7684258315,29423529.679025
136,SLCON05000027,CO,N05000,CON05000,027,White River,"Ted, Chad, Julie",2011/09/08 00:00:00+00,,Moderate,"Moderate level of use, some important adjacent areas - Oakridge State Wildlife and Thornburgh cultural site","Local, moderate use by ranchers, homes, some hunting, and industry use (gravel pits); close to Meeker, adjacent to State Wildlife Area (Oakridge).",{DE271770-CCBA-41BA-8444-646DABF27DCA},,2018/04/26 19:04:12+00,50102.5033008628,124129633.496576
137,SLCON05000025,CO,N05000,CON05000,025,White River,"Chad, Jimmy",2011/08/31 00:00:00+00,,Moderate,Proximity to developing oil and gas field.,"Moderate use by oil and gas, seasonal hunters, and locals with proximity to Meeker, ACEC and WSAs.",{557D71C6-2AA7-403D-B564-85C3925B244F},,2018/04/26 19:04:41+00,53258.9294170165,148279798.235773
138,SLCON05000003,CO,N05000,CON05000,003,White River,"Ted, Julie",2011/07/21 00:00:00+00,,Moderate,"Some public interest, adjacent to WSA, has ACECs but have oil and gas also.","Oil and gas on private land and along river; coal mining on public.  Local hunting; public interest due to scenic byway.  SA-ACECs; adjacent to WSAs.",{63AEED37-E3EA-49B3-98D8-A448C8684ACD},,,122880.444887608,389251632.237237
139,SLCON05000026,CO,N05000,CON05000,026,White River,"Chad, Jimmy",2011/08/31 00:00:00+00,,High,Public requested higher rating,"Moderate use by locals and hunters, public interest is high being adjacent to WSA.",{43746F00-9156-4B63-9A01-3DC0A616E38D},,2018/04/26 19:05:05+00,58541.0848016623,139567304.958844
