16.statecounty,eAZ_Maricopa,AZ_Maricopa
508.fipstwo,f30047***,f30047
687.county,Catgtaraugus ,Cattaraugus 
798.statecounty,OR_Clcakamas,OR_Clackamas
877.county,Neport ,Newport 
861.statevalue,AP,PA
743.statevalue,HO,OH
971.statevalue,X,TX
558.statevalue,CN,NC
1060.county,Racinze ,Racine 
263.county,Marshallb ,Marshall 
295.county,Ellisn ,Ellis 
681.county,Humbolt ,Humboldt 
826.statevalue,A,PA
397.fipstwo,f2603,f26043
1043.statecounty,WI_Kenolsha,WI_Kenosha
814.statecounty,OR_Umaltilla,OR_Umatilla
1080.statecounty,WV_Maason,WV_Mason
981.fipstwo,51025,f51025
12.county,Glia ,Gila 
897.county,Meaide ,Meade 
504.fipstwo,f30j037,f30037
996.fipstwo,f05021,f50021
456.county,Lyokn ,Lyon 
681.fipstwo,f3f2013,f32013
245.statecounty,N_Delaware,IN_Delaware
125.fipstwo,f12343,f13243
385.fipstwo,fo26003,f26003
804.statevalue,eOR,OR
1055.fipstwo,fa55087,f55087
405.statecounty,MI_Kalkasoka,MI_Kalkaska
147.fipstwo,f1977,f19077
609.statevalue,EN,NE
320.statevalue,iKS,KS
46.statecounty,CA_San Joauin,CA_San Joaquin
683.fipstwo,f3019,f32019
785.statecounty,OK_MClain,OK_McClain
652.county,Glokucester ,Gloucester 
499.statevalue,T,MT
769.fipstwo,fy40045,f40045
403.statevalue,IM,MI
202.county,Burea u,Bureau 
855.fipstwo,f4k2095,f42095
359.statevalue,MdD,MD
788.fipstwo,f04119,f40119
510.statecounty,MT_Megher,MT_Meagher
89.county,ashington ,Washington 
62.statevalue,ChO,CO
153.county,Jacksonx ,Jackson 
726.fipstwo,f9045,f39045
850.statevalue,A,PA
1064.county,auk ,Sauk 
468.county,Popke ,Pope 
19.statecounty,AxZ_Pinal,AZ_Pinal
317.statevalue,SK,KS
267.statecounty,INN_oble,IN_Noble
135.county,Css ,Cass 
547.fipstwo,37127,f37127
391.fipstwo,26021,f26021
251.fipstwo,f18036,f18063
1002.fipstwo,cf53017,f53017
30.statecounty,CA_Lasen,CA_Lassen
136.statevalue,dIA,IA
413.fipstwo,f261d07,f26107
1069.statevalue,I,WI
537.statecounty,NCt_Gaston,NC_Gaston
563.county,Wayrne ,Wayne 
698.statecounty,NaY_Lewis,NY_Lewis
347.statevalue,yKY,KY
743.county,Pickaweay ,Pickaway 
176.statecounty,A_Van Buren,IA_Van Buren
229.fipstwo,17149,f17149
154.statecounty,IAJasper,IA_Jasper
308.statevalue,SK,KS
658.statevalue,J,NJ
398.statevalue,IM,MI
60.fipstwo,f06131,f06113
368.statecounty,MD_Hafrord,MD_Harford
740.statevalue,HO,OH
143.fipstwo,kf19061,f19061
408.statecounty,MIc_Lenawee,MI_Lenawee
823.fipstwo,f420b11,f42011
521.statecounty,MT_Yellostone,MT_Yellowstone
782.statecounty,OK_Lgoan,OK_Logan
321.fipstwo,2f0141,f20141
519.statecounty,T_Teton,MT_Teton
1067.fipstwo,55121,f55121
460.statecounty,MNM_ower,MN_Mower
71.county,Gilpiin ,Gilpin 
74.county,Kaiowa ,Kiowa 
307.statecounty,KS_Kinmgan,KS_Kingman
891.statevalue,D,SD
656.county,Mrris ,Morris 
25.statecounty,CA_Freso,CA_Fresno
225.statecounty,IzL_Mercer,IL_Mercer
44.statecounty,CA_Sn Bernardino,CA_San Bernardino
503.county,Glcier ,Glacier 
780.statevalue,K,OK
79.fipstwo,f0075,f08075
764.statecounty,OK_Celveland,OK_Cleveland
242.county,Casse ,Cass 
982.statecounty,VA_Cmpbell,VA_Campbell
913.statecounty,TX_Colotrado,TX_Colorado
433.county,Belrtami ,Beltrami 
77.statecounty,CO_Lahrimer,CO_Larimer
297.statevalue,SK,KS
493.fipstwo,f2209,f29209
630.statevalue,E,NE
887.statevalue,DS,SD
729.statecounty,H_Geauga,OH_Geauga
430.county,Wexfor d,Wexford 
316.statecounty,KS_Mithell,KS_Mitchell
699.county,Livington ,Livingston 
534.fipstwo,af37065,f37065
1053.statevalue,tWI,WI
673.statecounty,NM_hRoosevelt,NM_Roosevelt
463.county,nNorman ,Norman 
705.county,Otsegoa ,Otsego 
934.fipstwo,4f8191,f48191
707.county,Renssleaer ,Rensselaer 
428.fipstwo,f2617,f26157
1085.fipstwo,56039,f56039
980.statevalue,A,VA
258.statevalue,IyN,IN
34.statevalue,jCA,CA
836.statevalue,fPA,PA
1045.fipstwo,f55065***,f55065
963.statevalue,X,TX
98.fipstwo,09013,f09013
394.statevalue,I,MI
653.statecounty,NJ_Hgunterdon,NJ_Hunterdon
1020.county,Bronw ,Brown 
1010.county,Pnierce ,Pierce 
779.statecounty,OK_Kingfsher,OK_Kingfisher
333.statecounty,KS_cRush,KS_Rush
107.statevalue,LF,FL
463.statevalue,MkN,MN
202.statecounty,IL_uBreau,IL_Bureau
75.fipstwo,f08603,f08063
115.county,Orang e,Orange 
209.fipstwo,1f7061,f17061
173.county,Soac ,Sac 
784.statevalue,KO,OK
371.fipstwo,f20431,f24031
810.statevalue,RO,OR
748.statecounty,OH_tark,OH_Stark
669.statecounty,NM_iLncoln,NM_Lincoln
28.statevalue,A,CA
783.statevalue,OaK,OK
294.statecounty,S_Edwards,KS_Edwards
529.statecounty,NCr_Catawba,NC_Catawba
1077.fipstwo,f5511,f55141
890.fipstwo,f4h6047,f46047
837.statevalue,A,PA
425.statevalue,MjI,MI
932.statecounty,TX_Guadaupe,TX_Guadalupe
946.fipstwo,f4825,f48275
61.fipstwo,f0800t1,f08001
475.statecounty,MN_t. Louis,MN_St. Louis
182.statevalue,D,ID
800.statevalue,OsR,OR
646.statevalue,HN,NH
548.fipstwo,f3713r5,f37135
705.statecounty,NY_Otsxego,NY_Otsego
629.statevalue,E,NE
6.fipstwo,yf02290,f02290
392.statecounty,MI_ranch,MI_Branch
1031.statevalue,WaI,WI
1058.statecounty,IW_Polk,WI_Polk
167.fipstwo,1f9139,f19139
36.statevalue,A,CA
585.statevalue,EN,NE
184.county,Bois e,Boise 
237.statecounty,ILW_hiteside,IL_Whiteside
42.fipstwo,0f6067,f06067
568.statecounty,NDBottineau,ND_Bottineau
407.statecounty,MI_Leuelanau,MI_Leelanau
472.county,Roseua ,Roseau 
274.fipstwo,f11845,f18145
821.statevalue,A,PA
1081.county,Ming o,Mingo 
439.statecounty,M_Cass,MN_Cass
301.fipstwo,20069,f20069
770.county,Garfiel ,Garfield 
69.fipstwo,f80043,f08043
168.fipstwo,19141,f19141
293.county,Doniphaan ,Doniphan 
97.statevalue,TC,CT
7.fipstwo,f05070,f05007
703.county,Onondag a,Onondaga 
434.statevalue,N,MN
474.statevalue,NM,MN
790.statevalue,KO,OK
254.county,Jackso n,Jackson 
509.statecounty,MT_Lewis ad Clark,MT_Lewis and Clark
1003.fipstwo,53019,f53019
771.statecounty,OK_Grayd,OK_Grady
833.statecounty,A_Clinton,PA_Clinton
547.county,Nasvh ,Nash 
927.county,Garaz ,Garza 
55.statecounty,AC_Stanislaus,CA_Stanislaus
67.county,Claer Creek ,Clear Creek 
978.statecounty,VA_Accomak,VA_Accomack
693.statevalue,xNY,NY
126.statevalue,A,GA
1065.statecounty,WI_Swhawano,WI_Shawano
311.statevalue,S,KS
199.fipstwo,16087,f16087
757.fipstwo,f04007,f40007
201.statecounty,IL_tBoone,IL_Boone
253.county,Howardo ,Howard 
909.county,aCldwell ,Caldwell 
324.fipstwo,f21047,f20147
929.fipstwo,f4p8173,f48173
210.statecounty,ILHenderson,IL_Henderson
349.statevalue,AM,MA
688.county,Cayuega ,Cayuga 
636.statecounty,EN_Thurston,NE_Thurston
1067.statevalue,dWI,WI
456.fipstwo,f270z83,f27083
898.statecounty,DS_Minnehaha,SD_Minnehaha
954.statecounty,TX_Mills***,TX_Mills
93.county,artford ,Hartford 
695.statecounty,NqY_Franklin,NY_Franklin
662.county,Bernaliollo ,Bernalillo 
424.statecounty,M_IOtsego,MI_Otsego
505.statevalue,MzT,MT
962.fipstwo,f48451,f48415
540.fipstwo,37097,f37097
292.statecounty,KS_ickinson,KS_Dickinson
1035.fipstwo,fc55043,f55043
572.statecounty,ND_cKenzie,ND_McKenzie
786.statevalue,OiK,OK
18.fipstwo,f04109,f04019
373.statecounty,MD_Taalbot,MD_Talbot
145.statevalue,AI,IA
165.county,Mitchel ,Mitchell 
102.fipstwo,f10005***,f10005
617.fipstwo,31127,f31127
18.statevalue,AcZ,AZ
340.fipstwo,f20158,f20185
770.fipstwo,40047,f40047
689.statevalue,bNY,NY
805.statecounty,OjR_Josephine,OR_Josephine
164.statevalue,IgA,IA
181.statecounty,DI_Ada,ID_Ada
518.county,Stillwate r,Stillwater 
332.county,Roks ,Rooks 
383.fipstwo,2f3025,f23025
59.statevalue,AC,CA
95.statevalue,oCT,CT
874.county,Manait Municipio,Manati Municipio
213.fipstwo,17089,f17089
772.county,Grnt ,Grant 
893.statecounty,SDHamlin,SD_Hamlin
452.statecounty,MN_aKndiyohi,MN_Kandiyohi
63.statecounty,CO_mArchuleta,CO_Archuleta
506.fipstwo,f300h43,f30043
1043.statevalue,WvI,WI
491.statecounty,O_Perry,MO_Perry
124.statecounty,GA_Mitchelil,GA_Mitchell
408.statevalue,MzI,MI
880.statevalue,CS,SC
784.county,Marshll ,Marshall 
337.county,Sahwnee ,Shawnee 
155.statevalue,AI,IA
567.statecounty,DN_Barnes,ND_Barnes
647.fipstwo,f3401,f34001
525.statevalue,C,NC
635.fipstwo,31169,f31169
351.county,Brsitol ,Bristol 
932.fipstwo,f4187,f48187
52.statevalue,CwA,CA
96.statevalue,T,CT
734.statecounty,OH_Hurn,OH_Huron
558.statecounty,NC_uSrry,NC_Surry
531.statecounty,NC_Curritvuck,NC_Currituck
138.statevalue,IhA,IA
446.county,Godhue ,Goodhue 
523.county,Ash ,Ashe 
1083.statevalue,WaY,WY
472.fipstwo,f21735,f27135
415.county,Missuakee ,Missaukee 
735.fipstwo,cf39081,f39081
245.fipstwo,f18053,f18035
119.fipstwo,f21127,f12127
574.statevalue,NzE,NE
999.statevalue,A,WA
1014.statecounty,AW_Whatcom,WA_Whatcom
980.statecounty,VABedford,VA_Bedford
767.county,Cster ,Custer 
60.county,Yol o,Yolo 
287.statevalue,oKS,KS
448.county,ubbard ,Hubbard 
34.statecounty,CA_ariposa,CA_Mariposa
565.statevalue,CN,NC
5.statevalue,K,AK
270.statevalue,hIN,IN
417.statecounty,MI_Montcmalm,MI_Montcalm
14.county,Greeunlee ,Greenlee 
686.fipstwo,f30607,f36007
741.fipstwo,f39119***,f39119
439.statevalue,N,MN
291.fipstwo,20039,f20039
206.statecounty,IaL_Crawford,IL_Crawford
851.county,Mecrer ,Mercer 
953.county,Mridland ,Midland 
81.fipstwo,f8089,f08089
17.county,Moave ,Mohave 
807.fipstwo,4f1039,f41039
314.statevalue,SK,KS
288.statecounty,S_Brown,KS_Brown
782.county,Logavn ,Logan 
956.county,Moqtley ,Motley 
197.statecounty,DI_Payette,ID_Payette
525.fipstwo,f30717,f37017
82.fipstwo,f00893,f08093
201.statevalue,LI,IL
314.statecounty,KS_McPhqerson,KS_McPherson
82.statecounty,CsO_Park,CO_Park
621.statecounty,N_Pierce,NE_Pierce
815.county,Unions ,Union 
940.fipstwo,fa48221,f48221
1078.statecounty,WV_Bereley,WV_Berkeley
599.fipstwo,f3109,f31069
587.fipstwo,f3041,f31041
561.statecounty,CN_Wake,NC_Wake
233.statecounty,IL_Stepenson,IL_Stephenson
574.county,Adamcs ,Adams 
36.county,Motnerey ,Monterey 
522.county,Allseghany ,Alleghany 
239.fipstwo,f18010,f18001
214.statevalue,kIL,IL
501.statevalue,T,MT
98.statecounty,CT_Tollapnd,CT_Tolland
561.statevalue,CN,NC
719.county,Yatse ,Yates 
864.statevalue,A,PA
152.county,da ,Ida 
603.fipstwo,f31018,f31081
975.county,Yoakhum ,Yoakum 
357.fipstwo,f5023,f25023
51.fipstwo,f06y089,f06089
730.statevalue,H,OH
329.statecounty,KS_Repubic,KS_Republic
465.county,Otter Tailt ,Otter Tail 
486.statevalue,dMO,MO
988.statevalue,AV,VA
313.statecounty,KS_Marhall,KS_Marshall
511.fipstwo,f30m063,f30063
822.fipstwo,f420x09,f42009
238.county,Winnbeago ,Winnebago 
449.county,Isawnti ,Isanti 
36.statecounty,CA_Mnterey,CA_Monterey
265.fipstwo,18109,f18109
1018.statevalue,kWI,WI
356.county,Noprfolk ,Norfolk 
949.statevalue,XT,TX
1059.statevalue,IW,WI
311.statecounty,KS_Logna,KS_Logan
401.fipstwo,f2606f9,f26069
818.statevalue,A,PA
653.statevalue,JN,NJ
481.statecounty,M_Wadena,MN_Wadena
842.statecounty,PA_mIndiana,PA_Indiana
905.fipstwo,f480n25,f48025
536.statecounty,NsC_Franklin,NC_Franklin
632.county,Shrman ,Sherman 
103.statecounty,FL_xBradford,FL_Bradford
413.statecounty,MIM_ecosta,MI_Mecosta
564.statecounty,NC_ilkes,NC_Wilkes
168.county,'Brien ,O'Brien 
290.county,Covmanche ,Comanche 
664.fipstwo,f3009,f35009
621.county,Pirce ,Pierce 
663.statevalue,M,NM
532.statecounty,NC_Daer,NC_Dare
41.statecounty,oCA_Riverside,CA_Riverside
977.statecounty,UT_Box Edlder,UT_Box Elder
591.statecounty,NE_Dioxn,NE_Dixon
66.fipstwo,f0817,f08017
124.fipstwo,f1d3205,f13205
526.statecounty,NC_Bunombe,NC_Buncombe
1049.statevalue,WmI,WI
432.fipstwo,2f7005,f27005
795.statecounty,OgK_Woods,OK_Woods
160.county,Lyo n,Lyon 
942.statecounty,TX_Jef fDavis,TX_Jeff Davis
1020.statevalue,WxI,WI
680.county,aEureka ,Eureka 
644.statevalue,H,NH
414.county,Menaominee ,Menominee 
643.statecounty,NH_Hillsboorugh,NH_Hillsborough
1081.statevalue,WhV,WV
913.statevalue,X,TX
238.fipstwo,f1720j1,f17201
363.statevalue,D,MD
567.statevalue,sND,ND
864.county,Uion ,Union 
809.county,Mahleur ,Malheur 
959.statecounty,TX_Parmehr,TX_Parmer
709.county,Saraoga ,Saratoga 
1073.county,Wukesha ,Waukesha 
454.county,Lake of teh Woods ,Lake of the Woods 
1021.county,uBffalo ,Buffalo 
658.statecounty,NJ_Passasic,NJ_Passaic
212.statevalue,L,IL
747.fipstwo,f39417,f39147
312.statecounty,S_Marion,KS_Marion
698.statevalue,Y,NY
809.statecounty,OR_Malhuer,OR_Malheur
933.statevalue,X,TX
970.statecounty,TXq_Wharton,TX_Wharton
955.fipstwo,f48373,f48337
410.statevalue,I,MI
957.county,Nloan ,Nolan 
793.statevalue,KO,OK
203.county,Carrol l,Carroll 
655.fipstwo,f340v23,f34023
488.fipstwo,f20959,f29059
511.statecounty,TM_Missoula,MT_Missoula
1011.county,Sopkane ,Spokane 
1017.statecounty,WI_Adtams,WI_Adams
171.fipstwo,19151,f19151
322.fipstwo,f2143,f20143
654.statecounty,N_Mercer,NJ_Mercer
964.statecounty,TX_Stonewall***,TX_Stonewall
908.statecounty,TX_urnet,TX_Burnet
346.county,aBllard ,Ballard 
710.statevalue,Y,NY
213.statevalue,mIL,IL
58.statevalue,AC,CA
278.statecounty,I_Sullivan,IN_Sullivan
232.fipstwo,17173,f17173
321.statecounty,KS_Osboren,KS_Osborne
52.fipstwo,f06039,f06093
1061.statevalue,WfI,WI
590.fipstwo,f31094,f31049
1047.county,Linclon ,Lincoln 
1046.county,Lanmglade ,Langlade 
844.statevalue,zPA,PA
150.statecounty,IA_Howtard,IA_Howard
489.fipstwo,f92087,f29087
507.county,JudithB asin ,Judith Basin 
1036.statevalue,I,WI
116.county,aPasco ,Pasco 
1047.fipstwo,f50569,f55069
284.statecounty,IN_Wjarren,IN_Warren
281.fipstwo,f1865,f18165
774.statevalue,K,OK
720.county,Auglize ,Auglaize 
999.county,Bentn ,Benton 
63.county,Archulxeta ,Archuleta 
365.fipstwo,f2407,f24017
823.county,Beryks ,Berks 
951.fipstwo,f84317,f48317
11.statevalue,AxZ,AZ
674.statevalue,MN,NM
378.statecounty,ME_Cuberland,ME_Cumberland
505.statecounty,TM_Granite,MT_Granite
1005.fipstwo,hf53025,f53025
521.fipstwo,30111,f30111
459.statecounty,MN_Morrion,MN_Morrison
369.fipstwo,f2402n7,f24027
740.statecounty,OH_Montgomcery,OH_Montgomery
826.county,Buks ,Bucks 
31.statecounty,CA_Lhos Angeles,CA_Los Angeles
42.statecounty,CA_Sacramenuto,CA_Sacramento
1072.fipstwo,f5531,f55131
747.statecounty,OH_Senecna,OH_Seneca
462.fipstwo,f2105,f27105
254.statecounty,IN_Jacson,IN_Jackson
871.statevalue,R,PR
29.fipstwo,0f6033,f06033
534.statecounty,NC_Edgecobe,NC_Edgecombe
716.county,Wayn ,Wayne 
1075.fipstwo,5f5137,f55137
366.statevalue,DM,MD
728.county,Fultton ,Fulton 
318.statevalue,KoS,KS
862.county,Sullizvan ,Sullivan 
203.statevalue,IjL,IL
687.statevalue,Y,NY
1019.statecounty,WI_Barrn,WI_Barron
303.statevalue,SK,KS
790.statecounty,OKf_Roger Mills,OK_Roger Mills
430.fipstwo,vf26165,f26165
876.statecounty,IR_Kent,RI_Kent
400.fipstwo,2f6067,f26067
151.fipstwo,fd19091,f19091
246.fipstwo,f8039,f18039
635.statecounty,NE_Tkhayer,NE_Thayer
299.fipstwo,f2003,f20063
973.statecounty,TX_Wilbargier,TX_Wilbarger
225.statevalue,iIL,IL
886.statevalue,D,SD
217.statevalue,IpL,IL
1067.county,Tempealeau ,Trempealeau 
86.statevalue,OC,CO
679.fipstwo,f30203,f32003
291.county,fDecatur ,Decatur 
139.fipstwo,f19034,f19043
495.fipstwo,f3003,f30003
714.fipstwo,fn36103,f36103
732.statevalue,OuH,OH
21.statecounty,Z_Yavapai,AZ_Yavapai
1046.fipstwo,f5506w7,f55067
436.statevalue,NM,MN
836.statecounty,PA_Cumberlad,PA_Cumberland
209.statecounty,L_Greene,IL_Greene
642.statecounty,H_Grafton,NH_Grafton
929.statecounty,TX_Glasscck,TX_Glasscock
801.statecounty,R_Crook,OR_Crook
215.statecounty,ILw_LaSalle,IL_LaSalle
670.county,Lupna ,Luna 
815.fipstwo,f4161,f41061
841.statevalue,AP,PA
715.county,Wsahington ,Washington 
648.statevalue,JN,NJ
320.county,sage ,Osage 
330.county,Rcie ,Rice 
185.county,Canykon ,Canyon 
706.fipstwo,f36097,f36079
624.county,ed Willow ,Red Willow 
524.fipstwo,f37011***,f37011
746.statecounty,OH_Snadusky,OH_Sandusky
1082.statecounty,WY_Goshhen,WY_Goshen
534.county,dgecombe ,Edgecombe 
460.statevalue,MaN,MN
71.statecounty,CO_Grilpin,CO_Gilpin
716.statevalue,NcY,NY
884.fipstwo,pf45085,f45085
617.county,Nemahal ,Nemaha 
89.fipstwo,f0t8121,f08121
190.fipstwo,f10643,f16043
795.statevalue,K,OK
98.county,Tollwand ,Tolland 
985.fipstwo,f5107b7,f51077
691.statevalue,NxY,NY
697.county,Jefefrson ,Jefferson 
220.fipstwo,1f7119,f17119
662.statecounty,MN_Bernalillo,NM_Bernalillo
335.county,Sctt ,Scott 
498.statecounty,M_Cascade,MT_Cascade
515.statevalue,T,MT
121.statevalue,A,GA
340.statecounty,KS_tSafford,KS_Stafford
134.statevalue,AI,IA
831.statevalue,AP,PA
146.county,Farnklin ,Franklin 
755.statevalue,HO,OH
974.fipstwo,kf48491,f48491
859.fipstwo,f42017,f42107
370.statevalue,DM,MD
191.fipstwo,f16o055,f16055
117.statecounty,FLPolk,FL_Polk
242.statecounty,IN_Csas,IN_Cass
45.statecounty,CAS_an Diego,CA_San Diego
359.statecounty,MD_Alleganhy,MD_Allegany
912.statecounty,TX_Collinigsworth,TX_Collingsworth
676.statecounty,NM_aTos,NM_Taos
1030.county,Dunn ***,Dunn 
658.fipstwo,f3031,f34031
473.fipstwo,f27193,f27139
525.county,Baden ,Bladen 
434.county,Bentoun ,Benton 
1.fipstwo,f02i016,f02016
147.county,Guthriye ,Guthrie 
953.statevalue,XT,TX
752.statecounty,OH_Wahington,OH_Washington
671.county,Mhora ,Mora 
894.statevalue,D,SD
118.statevalue,FcL,FL
673.county,Rboosevelt ,Roosevelt 
1071.county,Wahsburn ,Washburn 
992.fipstwo,f5161,f51161
946.statecounty,T_Knox,TX_Knox
365.statevalue,D,MD
268.statecounty,IN_Pakre,IN_Parke
59.fipstwo,f061j11,f06111
240.statevalue,N,IN
627.statecounty,NE_Sapry,NE_Sarpy
1085.county,Tteon ,Teton 
330.statecounty,KS_Rwice,KS_Rice
65.statecounty,CO_hCaffee,CO_Chaffee
584.statecounty,NE_oClay,NE_Clay
