characteristic,sex,raceethnicity,year,score,standard_error,note
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American IndianAlaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"Amberican Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native,non-Hispanic",2008,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,290.0,4.5,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,288.0,5.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,293.0,2.5,NULL
