X,Y,OBJECTID,EvaluationID,PlotID,SiteName,VisitType,SamplingApproach,PlotLayout,CowardinAttribute,HGMClass,WetlandType,EcotypeAlaska,AdminState,StateCode,SpeciesState,WetlandIndicatorRegion,FieldEvalDate,LatitudeWGS84,LongitudeWGS84,Elevation_m,ProtocolVersion,SppInv_Richness_Cnt,SppInv_CValue_Avg,SppInv_Native_Pct,SppInv_Nonnative_Pct,SppInv_Noxious_Cnt,SppInv_Hydrophyte_Pct,SppInv_HydroFAC_Pct,SppInv_Forb_Pct,SppInv_Graminoid_Pct,SppInv_Shrub_Pct,SppInv_Tree_Pct,SppInv_Annual_Pct,SppInv_Perennial_Pct,NumSpp_PreferredForb,Spp_PreferredForb,TotalFoliarCover,AH_BasalCover,AH_NativeCover,AH_NonnativeCover,AH_NoxiousCover,AH_HydrophyteCover,AH_HydroFACCover,AH_ForbCover,AH_GraminoidCover,AH_ShrubCover,AH_TreeCover,AH_AnnualCover,AH_PerennialCover,AH_AnnualGraminoidCover,AH_PreferredForbCover,AH_TotalLitterThatchCover,AH_MossCover,AH_AlgaeCover,AH_LichenCover,AH_RockCover,AH_SaltCrustCover,AH_WaterCover,FH_TotalLitterThatchCover,FH_MossCover,FH_AlgaeCover,FH_LichenCover,FH_RockCover,FH_SaltCrustCover,FH_WaterCover,BareSoilCover,BareOrganicMaterialCover,Hgt_Herbaceous_Avg,Hgt_Herbaceous_Cnt,Hgt_Woody_Avg,Hgt_Woody_Cnt,Hgt_Water_Avg,Hgt_Water_Cnt,Hgt_AllLitterThatch_Avg,Hgt_AllLitterThatch_Cnt,Hgt_HerbLitter_Avg,Hgt_HerbLitter_Cnt,Hgt_WoodyLitter_Avg,Hgt_WoodyLitter_Cnt,Hgt_DecidLitter_Avg,Hgt_DecidLitter_Cnt,WS_HgtClass1_PctQdrts,WS_HgtClass2_PctQdrts,WS_HgtClass3_PctQdrts,WS_HgtClass4_PctQdrts,WS_HgtClass5_PctQdrts,WS_HgtClass6_PctQdrts,WS_WoodySpp_PctQdrts,WS_DominantHgtClass,WS_WoodyHgtClass_Cnt,WS_Rhizomatous_Cnt,WS_Seedling_Cnt,WS_Young_Cnt,WS_Mature_Cnt,WS_Rhizomatous_PctQdrts,WS_Seedling_Pct,WS_Young_Pct,WS_Mature_Pct,H_Hummock_Cnt,H_Hummock_Pct,H_HummockHgt_Avg,H_HummockWidth_Avg,H_HummockTroughWidth_Avg,H_HummockSlope_Avg,H_HummockVegCover_Avg,WQ_SampleCnt,GapCover_25_50,GapCover_51_100,GapCover_101_200,GapCover_201_plus,GapCover_25_plus,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,GlobalID
-115.937198047,33.095136783,11,CA-CDD-TW-22039_2022-05-01,CA-CDD-TW-22039,San Felipe Creek,Full Sample Visit,Targeted,Spoke,RpSS,Riverine,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/01 12:00:00+00,33.09513678,-115.93719805,-50,March 2022 Draft,7,3.67,83.33,16.67,1,66.67,66.67,33.33,16.67,50,0,0,100,0,,49.33,0,24,27.33,27.33,24,24,22.67,2,27.33,0,0,49.33,0,0,43.33,0,2.67,0,0,48,10,10,0,0,0,0,28,2,10.67,0,137.33,3,75.35,23,20.67,3,21.67,24,48,3,3.4,5,22.44,16,21.57,39.22,43.14,5.88,0,0,88.24,Height Class 2 (>0.5 - 1.0 m),62,33,0,5,10,64.71,0,33.33,66.67,0,0,,,,,,1,,,,,,,,,{62A83DB6-6418-4174-A203-CB427AEEC86C}
-115.823818333,33.457863333,12,CA-CDD-TW-22017_2022-04-26,CA-CDD-TW-22017,Dos Palmas - Salt Creek,Full Sample Visit,Targeted,Transverse,RpSS,Riverine,Riparian Shrubland,,CA,CA,CA,Arid West,2022/04/26 12:00:00+00,33.45786333,-115.82381833,-59,March 2022 Draft,3,0,50,50,1,50,50,0,33.33,66.67,0,0,100,0,,78.67,1.33,7.33,74.67,74.67,7.33,7.33,0,0,78.67,0,0,78.67,0,0,81.33,0,0,0,0,0,3.33,16,0,0,0,0,0,0,5.33,0,,0,196,28,,0,36.72,29,,0,36.72,29,,0,0,11.76,45.1,45.1,11.76,0,100,Height Class 3 (>1.0 - 2.0 m),62,39,0,1,2,76.47,0,33.33,66.67,0,0,,,,,,3,,,,,,,,,{665FA01C-7239-41D7-828B-D746B58B2A8F}
-109.974825271,38.7392890130001,13,UT-CYD-TW-22010_2022-04-27,UT-CYD-TW-22010,MB-TR-49910 ,Full Sample Visit,Targeted,Spoke,RpSS,Riverine,Riparian Shrubland,,UT,UT,UT,Arid West,2022/04/27 12:00:00+00,38.73928901,-109.97482527,1304,March 2022 Draft,52,1.73,80.43,19.57,2,8.89,24.44,58.33,18.75,20.83,2.08,42.22,57.78,25,"LEMO2; PHCR; CRCR3; CRPT; PLPA2; MEOF; PHNE5; ASMO7; TAOF; SPGR2; SPPA2; ERCI6; OEPA; OEAL; CLLI2; LUPIN; ASPU6; DACA7; COUM; XAST; ASPR5; CHST; TOAN; ABAR; IPGU",58,0,21.33,38.67,1.33,3.33,50.67,6.67,18,44.67,6.67,14,54,12,2.67,52.67,0,0,0,0,0,0,10.67,0,0,0,0,0,0,31.33,0,16.31,26,267.55,22,,0,7.57,30,6,10,7.93,14,6.8,5,11.76,19.61,70.59,47.06,5.88,7.84,96.08,Height Class 3 (>1.0 - 2.0 m),113,9,0,5,47,17.65,0,9.62,90.38,0,0,,,,,,1,,,,,,,,,{7B891827-E348-4645-AF01-AEDE7688BBB1}
-110.00030525,38.7265413530001,14,UT-CYD-TW-22011_2022-04-28,UT-CYD-TW-22011,TEN MILE CANYON CK AB TRAIL CANYON,Full Sample Visit,Targeted,Spoke,RpSS,Riverine,Riparian Shrubland,,UT,UT,UT,Arid West,2022/04/28 12:00:00+00,38.72654135,-110.00030525,1289,March 2022 Draft,50,1.96,85.37,14.63,1,14.63,26.83,54.55,25,18.18,2.27,36.59,63.41,19,"MEOF; PLPA2; SPPA2; TOAN; CRCR3; SPGR2; OEPA; XAST; ERCI6; MOGL; IPGU; LEMO2; OPPO; CLLI2; PHCR; ASLE8; ASPA14; ASAS; CRCO12",48.67,0,31.33,16,0,0.67,42,3.33,3.33,24.67,26,5.33,46,2.67,1.33,42,0,0,2.67,0,0,0,9.33,0,0,2,0,0,0,40,0,15.06,18,480.95,21,,0,9.55,29,3.67,6,12.11,19,6.25,4,33.33,35.29,41.18,35.29,13.73,19.61,88.24,Height Class 1 (0.0 - 0.5 m),143,1,0,27,37,1.96,0,42.19,57.81,0,0,,,,,,0,,,,,,,,,{4717FEBD-3A3B-4FBC-A27D-DBE8D6FEA2F9}
-110.025301762,38.7124501170001,15,UT-CYD-TW-22012_2022-04-30,UT-CYD-TW-22012,Tenmile no. 3,Full Sample Visit,Targeted,Diagonal,RpFO,Riverine,Riparian Forest or Woodland,,UT,UT,UT,Arid West,2022/04/30 12:00:00+00,38.71245012,-110.02530176,1266,March 2022 Draft,55,2.45,86.96,13.04,2,11.11,22.22,55.1,18.37,24.49,2.04,26.67,73.33,22,"OECA10; CRCR3; MEOF; PLPA2; SPPA2; DACA7; ASMO7; SPGR2; IPRO; TOAN; ASPA14; ABEL; HYFI; ASAS; XAST; IPGU; LUPIN; OEPA; OPPO; PHCR; LEMO2; TAOF",32.67,0,28,5.33,4,3.33,26,5.33,6.67,2,22,2.67,30,2,2,30,0,0,0,2,0.67,13.33,18.67,0,0,0,2,0,13.33,33.33,0,8.53,17,460.93,15,43.6,5,4.3,27,1.75,4,8,8,3,15,41.18,7.84,5.88,1.96,9.8,23.53,62.75,Height Class 1 (0.0 - 0.5 m),90,0,0,52,10,0,0,83.87,16.13,0,0,,,,,,1,,,,,,,,,{559E743E-0838-4950-B378-0EF67953E3A0}
-117.895743033,39.926096058,16,NV-NCD-RW-22536_2022-05-01,NV-NCD-RW-22536,Dixie valley flat,Full Sample Visit,Random,Transverse,PEMB,Depression,Spring or Seep,,NV,NV,NV,Arid West,2022/05/01 12:00:00+00,39.92609606,-117.89574303,1029,March 2022 Draft,12,1.93,81.82,18.18,0,36.36,72.73,33.33,50,16.67,0,33.33,66.67,1,GNPA,68.67,0.67,68,0,0,7.33,66,3.33,64.67,2.67,0,3.33,67.33,0,0.67,76.67,0,0,0,0,0,0,26.67,0,0,0,0,0,0,4.67,0,32.93,29,63.67,3,,0,17.5,30,17.17,29,27,1,,0,21.57,11.76,3.92,0,0,0,31.37,Height Class 1 (0.0 - 0.5 m),22,0,2,11,0,0,15.38,84.62,0,0,0,,,,,,1,,,,,,,,,{6143AA06-129A-44FC-ACE8-51DD1E5552A0}
-119.425524508,39.69815277,17,NV-NCD-RW-22518_2022-04-30,NV-NCD-RW-22518,N/A,Full Sample Visit,Random,Linear,PEMB,Slope,Vegetated Drainageway,,NV,NV,NV,Arid West,2022/04/30 12:00:00+00,39.69815277,-119.42552451,1822,March 2022 Draft,30,1.16,65.52,34.48,2,37.93,55.17,50,33.33,13.33,3.33,27.59,72.41,12,"ALDE; COPA3; TAOF; MIGU; VEAN2; TECA2; TRWO; VIAM; RUCR; MELU; VEAM2; EPCI",95.33,0.67,95.33,8.67,0.67,94,94,58,90.67,4,0,43.33,94,0,51.33,18.67,5.33,0,0,0.67,0,0,0.67,0,0,0,0.67,0,0,0,3.33,38.33,30,79.25,4,1.37,19,9.39,23,9.55,22,6,1,,0,11.76,15.69,17.65,0,0,0,31.37,Height Class 2 (>0.5 - 1.0 m),31,3,3,6,1,5.88,30,60,10,0,0,,,,,,1,,,,,,,,,{18A003C6-1BBA-46B3-8AE6-6010C48408EB}
-119.50027214,39.5652501970001,18,NV-NCD-RW-22534_2022-05-02,NV-NCD-RW-22534,Truckee River,Full Sample Visit,Random,Linear,RpFO,Riverine,Riparian Forest or Woodland,,NV,NV,NV,Arid West,2022/05/02 12:00:00+00,39.5652502,-119.50027214,1293,March 2022 Draft,21,1.44,52.63,47.37,2,36.84,63.16,45,40,10,5,31.58,68.42,7,"VEAM2; PLMA4; RUCR; XAST; SOOL; LASE; EPILO",76,2.67,68.67,14.67,0,27.33,71.33,6,34.67,14.67,49.33,3.33,76,3.33,6,57.33,0,4.67,0,12,0,8,13.33,0,0,0,2,0,2,6.67,0,21.77,26,375.96,25,9.5,10,17.38,26,15.44,16,23.75,8,7.5,2,0,31.37,60.78,23.53,25.49,27.45,90.2,Height Class 3 (>1.0 - 2.0 m),134,0,6,37,3,0,13.04,80.43,6.52,0,0,,,,,,1,,,,,,,,,{9ECAE5CE-FEA2-4217-89CC-3C3584268B66}
-117.170511667,36.1126383330001,19,CA-CDD-TW-22025_2022-05-06,CA-CDD-TW-22025,Surprise Canyon,Full Sample Visit,Targeted,Transverse,PSSE,Slope,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/06 12:00:00+00,36.11263833,-117.17051167,867,March 2022 Draft,12,3.06,83.33,16.67,1,41.67,58.33,41.67,8.33,41.67,8.33,8.33,91.67,2,"LEFR2; MEOF",91.33,0,91.33,0,0,84,85.33,82,0,40.67,4,0,91.33,0,0,60,0,0,0,38.67,0,53.33,2,0,0,0,6,0,0.67,0,0,119.45,29,178.08,24,3.4,20,31.88,24,36.79,19,16.25,4,1,1,0,11.76,84.31,41.18,0,0,92.16,Height Class 3 (>1.0 - 2.0 m),137,0,0,7,49,0,0,12.5,87.5,0,0,,,,,,1,,,,,,,,,{DD521B6F-8E8B-4A76-94F2-DCE3744E18F5}
-117.172452298,36.112130655,20,CA-CDD-TW-22026_2022-05-05,CA-CDD-TW-22026,Surprise Canyon,Full Sample Visit,Targeted,Diagonal,PSSC,Slope,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/05 12:00:00+00,36.11213066,-117.1724523,838,March 2022 Draft,23,1.92,78.26,21.74,1,26.09,30.43,39.13,13.04,43.48,4.35,21.74,78.26,7,"SOOL; SOCA6; MEOF; ERIN4; STEL; SPAM2; LEFR2",72,0,71.33,0.67,0,41.33,62,22,0,45.33,26,0.67,71.33,0,2,44.67,0,0.67,0,34,0,8.67,5.33,0,0,0,6,0,3.33,13.33,0,55.73,11,242.77,26,6.33,3,6.77,22,11,8,12,2,3.08,12,9.8,35.29,86.27,27.45,17.65,0,98.04,Height Class 3 (>1.0 - 2.0 m),156,0,2,13,29,0,4.55,29.55,65.91,0,0,,,,,,1,,,,,,,,,{DDA649A8-1492-4B54-B4C6-752550909CED}
-117.150956667,36.112961667,21,CA-CDD-TW-22024_2022-05-07,CA-CDD-TW-22024,Surprise Canyon,Full Sample Visit,Targeted,Linear,RpSS,Slope,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/07 12:00:00+00,36.11296167,-117.15095667,1189,March 2022 Draft,8,3.11,87.5,12.5,0,37.5,62.5,37.5,12.5,50,0,12.5,87.5,2,"CLLI2; ARLU",86.67,3.33,86.67,0,0,64.67,86.67,0,0,86.67,0,0,86.67,0,1.33,96.67,0,0,0,38,0,2.67,13.33,0,0,0,0,0,0,0,0,,0,292.53,30,,0,27.67,30,,0,41.92,13,16.76,17,3.92,21.57,90.2,84.31,9.8,0,100,Height Class 4 (>2.0 - 4.0 m),197,0,0,0,40,0,0,0,100,0,0,,,,,,1,,,,,,,,,{9E2941E0-FD7F-48E9-816C-35335C0BEFA0}
-116.36899973,35.0324935950001,22,CA-CDD-TW-22004_2022-05-11,CA-CDD-TW-22004,Afton Canyon,Full Sample Visit,Targeted,Spoke,PSSC,Riverine,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/11 12:00:00+00,35.0324936,-116.36899973,418,March 2022 Draft,7,3.17,85.71,14.29,1,66.67,100,14.29,42.86,42.86,0,0,100,0,,68,0.67,54.67,18.67,18.67,6.67,54.67,2.67,54.67,18.67,0,0,68,0,0,87.33,0,0,0,0,26,6,27.33,0,0,0,0,3.33,0,1.33,0,37.59,27,240.91,11,2.75,4,18.07,30,17.86,21,18.56,9,,0,9.8,11.76,13.73,31.37,1.96,0,68.63,Height Class 4 (>2.0 - 4.0 m),35,12,0,0,0,23.53,,,,0,0,,,,,,1,,,,,,,,,{1F41A402-CD76-4A41-9CCA-6F4B6D8986FC}
-116.391548333,35.0378700000001,23,CA-CDD-TW-22003_2022-05-12,CA-CDD-TW-22003,Afton Canyon,Full Sample Visit,Targeted,Spoke,PSSA,Riverine,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/12 12:00:00+00,35.03787,-116.39154833,423,March 2022 Draft,7,3.2,71.43,28.57,2,42.86,71.43,28.57,14.29,42.86,14.29,0,100,0,,62.67,0.67,58.67,7.33,7.33,44.67,58.67,0,13.33,42,18,0,62.67,0,0,98.67,0,0,0,0,0.67,0,37.33,0,0,0,0,0,0,0,0,28.33,6,308.65,20,,0,60.47,30,15,1,66.48,27,2,2,5.88,23.53,54.9,21.57,1.96,13.73,96.08,Height Class 3 (>1.0 - 2.0 m),68,25,0,0,1,49.02,0,0,100,0,0,,,,,,0,,,,,,,,,{94B115CA-F892-407E-9C21-15077B5486C8}
-119.220634037,41.3501596190001,24,NV-WND-RW-22541_2022-05-11,NV-WND-RW-22541,Soldier Meadows spring,Full Sample Visit,Random,Spoke,PEMB,Slope,Wet or Mesic Meadow,,NV,NV,NV,Arid West,2022/05/11 12:00:00+00,41.35015962,-119.22063404,1364,March 2022 Draft,21,2.27,73.68,26.32,0,22.22,55.56,40,45,15,0,21.05,78.95,7,"ERNA10; TAOF; RUCR; MIGU; HECA7; PODRB2; ERIGE2",54.67,2,51.33,3.33,0,47.33,51.33,5.33,52,0,0,0,54.67,0,4.67,94.67,0,0,0,0,2.67,2,42,0,0,0,0,2,0.67,0.67,0,39.53,30,,0,6,1,31,30,31,30,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,2,0.81,16.5,30.5,3719.5,41.5,4,1,,,,,,,,,{C547F879-BDC2-4729-8AE2-57805BC9D393}
-116.566520305,34.040969471,25,CA-CDD-TW-22020_2022-05-12,CA-CDD-TW-22020,Big Morongo Creek,Full Sample Visit,Targeted,Spoke,PSSC,Riverine,Riparian Shrubland,,CA,CA,CA,Arid West,2022/05/12 12:00:00+00,34.04096947,-116.5665203,714,March 2022 Draft,12,3.67,75,25,0,25,75,70,0,20,10,18.18,81.82,4,"CLLI2; APCA; LASE; SOAS",72,1.33,73.33,0,0,72,73.33,13.33,0,2,64,0,73.33,0,2,98.67,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,31.09,11,445.14,22,,0,93.6,30,79.67,3,95.15,27,,0,11.76,1.96,7.84,21.57,39.22,9.8,92.16,Height Class 5 (>4.0 - 8.0 m),47,22,0,0,0,43.14,,,,0,0,,,,,,0,,,,,,,,,{5BF27071-7B34-48D9-96DA-216C09538250}
